PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,RN,TT,PMC,CON,SI,CIN,OTO,OT,IR,FIR,IRAD,OID,GN,EIN
2669186,NLM,MEDLINE,19890915,20151119,0036-4355 (Print) 0036-4355 (Linking),34,3,1989 Jun,[Advances in the treatment of acute myeloid leukemia in children. Experience of the Argentinian Group of Acute Leukemia Treatment and the Latin American Group of Malignant Hemopathies Treatment 1967-1987].,221-8,"Three hundred and seventy-one children below 16 years, with newly diagnosed acute myeloid leukaemia, were included in six consecutive GATLA/GLATHEM protocols, from November 1967 to December 1987. The study was divided in three periods: 1967 to 1975, 1976 to 1982, and 1983 to 1987. Three induction schedules were used during the first two periods, and different maintenance schemes alternating with monthly consolidations were explored; the value of immunotherapy with C. Parvum and androgen therapy with stanozolol was also tested. Protocol 3-AML-83, representing the third period, included a four-week induction phase with vincristine, adriamycin, cytosine-arabinoside, prednisone and 6-mercaptopurine, followed by a consolidation phase with cyclophosphamide, cytosine-arabinoside and 6-mercaptopurine for four weeks. Maintenance phase included daily, oral 6-mercaptopurine, and monthly cytosine-arabinoside, both during two years, and adriamycin every eighth week, for one year. Complete remission rates for the first two periods of therapy were 40% and 55%, whereas that of the last period was 74%. The overall results of the period 1967-1982, showed actuarial duration rates of complete remission, event-free survival and survival, at 60 months, between 2% and 6%, their median duration being of 9, 8 and 10 months respectively. No significant difference was observed between the first two periods or protocols. Protocol 3-AML-83, activated in March 1983, achieved actuarial rates of continuous complete remission, event-free survival, and survival of 51%, 37% and 39% respectively, at 48 months. The difference between the first two periods and the last one was highly significant (P less than 0.0001).(ABSTRACT TRUNCATED AT 250 WORDS)","['Freigeiro, D', 'Scaglione, C', 'Santarelli, M T', 'Sackmann Muriel, F', 'Jimenez, E', 'Pavlovsky, S', 'Bustelo, P', 'Richard, L', 'Kohan, R', 'Kvicala, R']","['Freigeiro D', 'Scaglione C', 'Santarelli MT', 'Sackmann Muriel F', 'Jimenez E', 'Pavlovsky S', 'Bustelo P', 'Richard L', 'Kohan R', 'Kvicala R', 'et al.']",,['spa'],"['Clinical Trial', 'Comparative Study', 'English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Doxorubicin/administration & dosage', 'Evaluation Studies as Topic', 'Humans', 'Infant', 'Leukemia, Myeloid, Acute/*drug therapy', 'Methotrexate/administration & dosage', 'Prednisolone/administration & dosage', 'Prednisone/administration & dosage', 'Thioguanine/administration & dosage', 'Vincristine/administration & dosage']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1989 Jun;34(3):221-8.,,,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'FTK8U1GZNX (Thioguanine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)', 'BFM 78 protocol', 'DAP protocol', 'VAPA protocol']",Progresos en el tratamiento de la leucemia mieloide aguda en ninos. Experiencia del GATLA/GLATHEM 1967-1987.,,,,,,,,,,,,
2669036,NLM,MEDLINE,19890918,20190828,0167-8140 (Print) 0167-8140 (Linking),15,2,1989 Jun,Single dose versus hyperfractionated total body irradiation before allogeneic bone marrow transplantation: a non-randomized comparative study of 54 patients at the Institut Gustave-Roussy.,151-60,"At the Institut Gustave-Roussy (IGR), from January 1982 to December 1986, 54 patients received total body irradiation (TBI) as a part of the conditioning regimen before allogeneic bone marrow transplantation. The patients were non-randomly assigned to either single dose TBI (STBI) (31 patients receiving 10 Gy at a 4.5 cGy/min dose rate, 8 Gy to the lungs) or to a hyperfractionated scheme (HTBI) (23 patients receiving 13.2 Gy in 11 fractions, 3 fractions per day, 9 Gy to the lungs). Relapse rate and overall survival were not significantly different in the two STBI and HTBI groups, in spite of a larger number of 2nd and 3rd remission patients in the HTBI subset. The incidence of interstitial pneumonitis (IP) was significantly reduced in the HTBI group (13%, versus 45% after STBI, p = 0.02). Lethality by IP was also lower after HTBI (4%, versus 26% after STBI, p = 0.08). There was no case of veno-occlusive disease of the liver in the HTBI group, whereas three cases were observed after STBI. Based on these results, the IGR activated, in January 1987, a randomized trial comparing the single dose 10 Gy TBI (8 Gy to the lung) to a new hyperfractionated schedule (11 fractions of 1.35 Gy, 3 fractions per day, 9 Gy to the lungs).","['Cosset, J M', 'Baume, D', 'Pico, J L', 'Shank, B', 'Girinski, T', 'Benhamou, E', 'Briot, E', 'Malaise, E', 'Hayat, M', 'Dutreix, J']","['Cosset JM', 'Baume D', 'Pico JL', 'Shank B', 'Girinski T', 'Benhamou E', 'Briot E', 'Malaise E', 'Hayat M', 'Dutreix J']","['Department of Radiotherapy, Institut Gustave-Roussy, Villejuif, France.']",['eng'],"['Comparative Study', 'Journal Article']",Ireland,Radiother Oncol,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,8407192,IM,"['Adult', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Female', 'Graft Rejection', 'Graft vs Host Disease/prevention & control', 'Humans', 'Leukemia/therapy', 'Male', 'Radiotherapy Dosage', 'Whole-Body Irradiation/*methods']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']","['0167-8140(89)90129-1 [pii]', '10.1016/0167-8140(89)90129-1 [doi]']",ppublish,Radiother Oncol. 1989 Jun;15(2):151-60. doi: 10.1016/0167-8140(89)90129-1.,,,,,,,,['Radiother Oncol. 1989 Jun;15(2):207-12. PMID: 2669037'],,,,,,,,
2669013,NLM,MEDLINE,19890911,20071115,0033-3182 (Print) 0033-3182 (Linking),30,3,1989 Summer,Bone marrow transplantation: mastering the experience despite psychological risk factors.,337-41,,"['Kaehler, S L', 'Goodwin, J M', 'Young, L D']","['Kaehler SL', 'Goodwin JM', 'Young LD']",,['eng'],"['Case Reports', 'Journal Article']",England,Psychosomatics,Psychosomatics,0376506,IM,"['Abortion, Therapeutic/*psychology', 'Adult', '*Bone Marrow Transplantation', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*psychology/therapy', 'Pregnancy', 'Pregnancy Complications, Neoplastic/*psychology/therapy', '*Sick Role']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']","['S0033-3182(89)72282-9 [pii]', '10.1016/S0033-3182(89)72282-9 [doi]']",ppublish,Psychosomatics. 1989 Summer;30(3):337-41. doi: 10.1016/S0033-3182(89)72282-9.,,,,,,,,,,,,,,,,
2668871,NLM,MEDLINE,19890919,20151119,0031-5125 (Print) 0031-5125 (Linking),68,3 Pt 2,1989 Jun,Motor and cognitive testing of bone marrow transplant patients after chemoradiotherapy.,1227-41,"Assessment of cognitive and motor performance of bone marrow transplant patients prior to, during, and following intensive toxic chemoradiotherapy may provide an important adjunct to measures of physiological and medical status. The present study is an attempt to assess whether, as side-effects, these aggressive treatments result in cognitive performance deficits, and if so, whether such changes recover posttreatment. Measurement of cognitive ability in this situation presents special problems not encountered with one-time tests intended for healthy adults. Such tests must be sensitive to changes within a single individual, which emphasizes the crucial importance of high reliability, stability across repeated-measures, and resistance to confounding factors such as motivation and fatigue. The present research makes use of a microbased portable test battery developed to have reliable and sensitive tests which were adapted to study the special requirements of transplant patients who may suffer cognitive deficits as a result of treatment. The results showed slight but significant changes in neuropsychological capacity when compared to baseline levels and controls, particularly near the beginning of treatment. The sensitivity of the battery in detecting such subtle temporary changes is discussed in terms of past research showing effects of other stressors, such as stimulated high altitude and ingestion of alcohol, on these measures.","['Parth, P', 'Dunlap, W P', 'Kennedy, R S', 'Ordy, J M', 'Lane, N E']","['Parth P', 'Dunlap WP', 'Kennedy RS', 'Ordy JM', 'Lane NE']","['Fred Hutchinson Cancer Research Center, Seattle, Washington.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Percept Mot Skills,Perceptual and motor skills,0401131,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Brain/radiation effects', 'Child', 'Cognition Disorders/*etiology', 'Combined Modality Therapy', 'Cyclophosphamide/adverse effects', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia/*surgery', 'Male', 'Neurocognitive Disorders/*etiology', 'Neuropsychological Tests', 'Postoperative Complications/*etiology', 'Psychomotor Disorders/*etiology', 'Radiation Injuries/etiology', 'Substance-Related Disorders/etiology', 'Whole-Body Irradiation']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",['10.2466/pms.1989.68.3c.1227 [doi]'],ppublish,Percept Mot Skills. 1989 Jun;68(3 Pt 2):1227-41. doi: 10.2466/pms.1989.68.3c.1227.,,['CA38552/CA/NCI NIH HHS/United States'],['8N3DW7272P (Cyclophosphamide)'],,,,,,['NASA'],"['NASA Discipline Neuroscience', 'Non-NASA Center']",['Kennedy RS'],"['Kennedy, R S']","['Essex Corp, Orlando, FL']",,,
2668845,NLM,MEDLINE,19890912,20131121,0950-9232 (Print) 0950-9232 (Linking),4,8,1989 Aug,Two promoters that map to 5'-sequences of the human p53 gene are differentially regulated during terminal differentiation of human myeloid leukemic cells.,945-53,"p53 is overexpressed in many transformed cells and expression of the gene is known to alter during terminal differentiation of cells in culture. Through analysis of recombinant vectors expressing the chloramphenicol acetyl transferase (CAT) gene we found that two promoters map to the 5'-portion of the human p53 oncogene. One promoter, p53p1, maps upstream of the non-coding first exon and the second, p53p2, maps within the first intron. By primer extension analysis of cellular RNA from a number of human cell lines, we found that p53p2 is a functional promoter in vivo. In order to test whether differential regulation of these promoters may be correlated with the control of expression of the p53 gene during differentiation, we have measured the activity of the two promoters by their ability to direct expression of the CAT gene during terminal differentiation of the human promyelocytic leukemia cell line HL-60. HL-60 cells stably harboring Epstein-Barr virus-derived recombinant plasmids that express the CAT gene from either p53p1 or p53p2 were induced to undergo terminal differentiation by a variety of chemical inducers to either granulocytes or monocytes and expression of the CAT gene was measured. The results indicate that while expression of p53p1 remained constant, expression from p53p2 was induced 5- to 10-fold during differentiation of these cells to either granulocytes or monocytes. Similarly, the endogenous p53p2 was found to be induced in HL-60 cells undergoing differentiation. Although the product of the p53p2 initiated transcript has not yet been characterized these results indicate that altered regulation of these two promoters may be important in modulating the expression of mRNA from this gene during terminal differentiation.","['Reisman, D', 'Rotter, V']","['Reisman D', 'Rotter V']","['Department of Cell Biology, Weizmann Institute of Science, Rehovot, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,IM,"['Cell Cycle', '*Cell Differentiation/drug effects', 'Cloning, Molecular', 'Dimethyl Sulfoxide/pharmacology', '*Gene Expression Regulation/drug effects', 'Granulocytes/cytology', '*Hematopoiesis/drug effects', 'Leukemia, Promyelocytic, Acute/pathology', 'Monocytes/cytology', 'Neoplasm Proteins/*genetics', 'Phosphoproteins/*genetics', '*Promoter Regions, Genetic', 'Tetradecanoylphorbol Acetate/pharmacology', 'Transcription, Genetic', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Oncogene. 1989 Aug;4(8):945-53.,,['IR01 CA4003/CA/NCI NIH HHS/United States'],"['0 (Neoplasm Proteins)', '0 (Phosphoproteins)', '0 (Tumor Suppressor Protein p53)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,,,,,,,,,,
2668844,NLM,MEDLINE,19890912,20211203,0950-9232 (Print) 0950-9232 (Linking),4,8,1989 Aug,Analysis of ras gene mutations and methylation state in human leukemias.,1029-36,"We have screened a large series of primary human leukemias for activating point mutations at codons 12, 13 and 61 of the N-ras and K-ras proto-oncogenes and at codons 12 and 61 of the H-ras proto-oncogene by using panels of oligonucleotide probes in conjunction with polymerase chain reaction gene amplification. 13 of 64 (20%) acute lymphoblastic leukemia cases had ras gene mutations mostly involving N-ras codon 12/13, G-A (gly-asp) transitions. Consistent with previous studies, a comparable pattern and frequency of ras mutation was found amongst 45 cases of acute myeloid leukemia and myelodysplasia. By contrast, of 30 cases of mature B cell chronic lymphocytic leukemia, only one in terminal prolymphocytoid transformation harboured an activated ras gene. These patterns of mutation did not correlate with ras gene methylation state, a finding not obviously compatible with differential gene accessibility being an important determinant of ras gene mutation patterns in leukemogenesis. Our data suggest that activated ras is more important in tumourigenesis of immature than mature lymphocyte progenitors whilst similar mechanisms associated with aetiology and/or target cell susceptibility probably underlie the similar patterns of ras gene mutations seen in acute leukemias of both myeloid and lymphoid cell lineages.","['Browett, P J', 'Norton, J D']","['Browett PJ', 'Norton JD']","['Department of Hematology, Royal Free Hospital School of Medicine, Hampstead, London, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,IM,"['Blotting, Southern', 'DNA Probes', 'DNA, Neoplasm/genetics', 'Gene Amplification', '*Genes, ras', 'Humans', 'Leukemia/*genetics', 'Methylation', 'Mutation', 'Myeloproliferative Disorders/genetics', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins p21(ras)', 'Restriction Mapping']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Oncogene. 1989 Aug;4(8):1029-36.,,['Wellcome Trust/United Kingdom'],"['0 (DNA Probes)', '0 (DNA, Neoplasm)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', 'EC 3.6.5.2 (HRAS protein, human)', 'EC 3.6.5.2 (Proto-Oncogene Proteins p21(ras))']",,,,,,,,,,,,,
2668805,NLM,MEDLINE,19890921,20060424,0142-0372 (Print) 0142-0372 (Linking),3,40,1989 Aug,Nursing the patient with leukaemia.,19-22,,"['Morgan, G']",['Morgan G'],,['eng'],['Journal Article'],England,Nursing (Lond),Nursing,8009575,,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', '*Bone Marrow Transplantation', 'Humans', 'Leukemia/*nursing/psychology/therapy', 'Nurse-Patient Relations']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Nursing (Lond). 1989 Aug;3(40):19-22.,,,,,,,,,,,,,,,,
2668743,NLM,MEDLINE,19890920,20071115,0026-9298 (Print) 0026-9298 (Linking),137,6,1989 Jun,[Systemic salmonella infections in chemotherapy in 2 children with acute lymphoblastic leukemia].,337-40,"A 15 year old patient with acute lymphoblastic leukemia, previously diagnosed as being a salmonella carrier, developed S. typhimurium sepsis after allogeneic bone marrow transplantation, in spite of pretreatment with chloramphenicol. Clinical improvement and termination of salmonella excretion were achieved by treatment with multiple antibiotics. Another patient with acute lymphoblastic leukemia, a 3 year old boy not previously identified as a salmonella carrier, also developed sepsis and osteomyelitis, together with pathological fractures during chemotherapy. Chloramphenicol, administered after isolation of S. typhimurium from blood cultures, led to resolution of the bony defects, complete recovery, and cessation of salmonella excretion. Selective cultures for salmonellae seem indicated in patients with malignant diseases, prior to chemotherapy.","['Muhlbauer, B', 'Huber, S', 'Hoppe, J E', 'Stier, B', 'Dopfer, R', 'Niethammer, D']","['Muhlbauer B', 'Huber S', 'Hoppe JE', 'Stier B', 'Dopfer R', 'Niethammer D']",['Universitats-Kinderklinik Tubingen.'],['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Monatsschr Kinderheilkd,Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde,8206462,IM,"['Adolescent', 'Antineoplastic Agents/*therapeutic use', '*Bone Marrow Transplantation', 'Carrier State/diagnosis', 'Child, Preschool', 'Combined Modality Therapy', 'Feces/microbiology', 'Femoral Fractures/diagnosis', 'Fractures, Spontaneous/diagnosis', 'Humans', 'Male', 'Opportunistic Infections/*diagnosis', 'Osteomyelitis/diagnosis', 'Postoperative Complications/*diagnosis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Salmonella Infections/*diagnosis', 'Salmonella typhimurium/isolation & purification', 'Sepsis/*diagnosis']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Monatsschr Kinderheilkd. 1989 Jun;137(6):337-40.,,,['0 (Antineoplastic Agents)'],Systemische Salmonellosen unter Chemotherapie bei zwei Kindern mit akuter lymphoblastischer Leukamie.,,,,,,,,,,,,
2668739,NLM,MEDLINE,19890921,20211203,0270-7306 (Print) 0270-7306 (Linking),9,6,1989 Jun,A transfected L-myc gene can substitute for c-myc in blocking murine erythroleukemia differentiation.,2734-7,"We investigated the ability of the proto-oncogene L-myc to substitute for c-myc in blocking murine erythroleukemia differentiation. Murine erythroleukemia cells (line C19) were transfected with recombinant plasmids containing genomic and cDNA fragments of the L-myc gene driven by a Moloney murine leukemia virus long terminal repeat. Clones expressing constitutive high levels of L-myc failed to differentiate in response to the chemical inducer N,N'-hexamethylene bisacetamide (HMBA). The block to differentiation correlated with the level of L-myc expression. Furthermore, transfected clones grown in the presence of inducer for an extended period of time showed an increased level of L-myc expression. These results suggest that functional domains of the c-myc gene involved in differentiation are located in the discrete regions of homology between the c- and L-myc genes.","['Birrer, M J', 'Raveh, L', 'Dosaka, H', 'Segal, S']","['Birrer MJ', 'Raveh L', 'Dosaka H', 'Segal S']","['Navy Medical Oncology Branch, National Cancer Institute, Bethesda, Maryland 20892.']",['eng'],['Journal Article'],United States,Mol Cell Biol,Molecular and cellular biology,8109087,IM,"['Acetamides', 'Blotting, Northern', '*Cell Differentiation', 'Cell Line, Transformed', 'DNA', 'Globins/biosynthesis/genetics', 'Humans', 'Moloney murine leukemia virus/genetics', 'Plasmids', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-myc', '*Proto-Oncogenes', 'RNA, Messenger/biosynthesis/genetics', 'Repetitive Sequences, Nucleic Acid', 'Sequence Homology, Nucleic Acid', 'Transfection']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",['10.1128/mcb.9.6.2734-2737.1989 [doi]'],ppublish,Mol Cell Biol. 1989 Jun;9(6):2734-7. doi: 10.1128/mcb.9.6.2734-2737.1989.,,,"['0 (Acetamides)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-myc)', '0 (RNA, Messenger)', '9004-22-2 (Globins)', '9007-49-2 (DNA)', 'LA133J59VU (hexamethylene bisacetamide)']",,PMC362347,,,,,,,,,,,
2668733,NLM,MEDLINE,19890921,20210526,0270-7306 (Print) 0270-7306 (Linking),9,6,1989 Jun,Growth factor gene activation and clonal heterogeneity in an autostimulatory myeloid leukemia.,2414-23,"Cell lines were isolated from an in vivo-passaged myelomonocytic leukemia, WEHI-274, that arose in a mouse infected with the Abelson leukemia virus-Moloney leukemia virus complex. Clones were isolated in vitro in the presence or absence of a source of a hemopoietic growth factor, interleukin-3 (IL-3), and were divisible into three distinct classes. All three classes were leukemogenic in vivo. In vitro, the class I clone grew slowly at low cell density but responded with an increased growth rate to IL-3, granulocyte-macrophage colony-stimulating factor (GM-CSF), and autoconditioned medium. Supernatants of these cultures contained a factor with the biological, biochemical, and antigenic properties of IL-3. Class II clones grew better in vitro at low cell densities than did the class I clone and also responded with an increased growth rate to IL-3, GM-CSF, and autoconditional medium but produced GM-CSF rather than IL-3. In contrast, class III clones died in vitro at all cell densities unless exogenous IL-3 or GM-CSF was added. Moreover, they produced no autostimulatory factors. In the class I and class II clones, one allele of the respective IL-3 or GM-CSF gene is rearranged, and in each case, grossly abnormal RNA transcripts of the rearranged gene are present. Neither rearrangements nor abnormal RNA transcripts of the IL-3 or GM-CSF gene were detected in the class III clones. All three classes exhibited a common rearrangement of the c-myb gene, which suggested that all were derived from the one ancestral cell. These experiments demonstrate that two distinct and independent autostimulatory events were involved in the progression of a single disease.","['Leslie, K B', 'Schrader, J W']","['Leslie KB', 'Schrader JW']","['Walter and Eliza Hall Institute of Medical Research, Royal Melbourne Hospital, Victoria, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,IM,"['Animals', 'Cloning, Molecular', 'Colony-Stimulating Factors/genetics/physiology', '*Gene Expression Regulation', 'Gene Rearrangement', 'Granulocyte-Macrophage Colony-Stimulating Factor', 'Growth Substances/*genetics/physiology', 'Immunoblotting', 'Interleukin-3/genetics/physiology', 'Leukemia, Myeloid/*genetics', 'Mice', 'Mice, Inbred BALB C', 'Proto-Oncogenes', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Transcriptional Activation', 'Transfection', 'Tumor Cells, Cultured']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",['10.1128/mcb.9.6.2414-2423.1989 [doi]'],ppublish,Mol Cell Biol. 1989 Jun;9(6):2414-23. doi: 10.1128/mcb.9.6.2414-2423.1989.,,['5R01 CA38684-02/CA/NCI NIH HHS/United States'],"['0 (Colony-Stimulating Factors)', '0 (Growth Substances)', '0 (Interleukin-3)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,PMC362314,,,,,,,,,,,
2668726,NLM,MEDLINE,19890915,20071115,0026-6620 (Print) 0026-6620 (Linking),86,5,1989 May,Prolonged spontaneous remission of case of malignant lymphoma.,275-7,"A case is reported of malignant lymphoma which appeared in eight different locations during seven years following initial diagnosis, and subsequently has been followed by 22 years of complete remission. The literature on regressions or remissions of malignant lymphomas is reviewed, and various implications of the present case are discussed.","['Wolf, J W']",['Wolf JW'],,['eng'],"['Case Reports', 'Journal Article']",United States,Mo Med,Missouri medicine,0400744,IM,"['Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/pathology', 'Lymphoma, Non-Hodgkin/pathology/*physiopathology', 'Middle Aged', 'Remission, Spontaneous']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",,ppublish,Mo Med. 1989 May;86(5):275-7.,,,,,,,,,,,,,,,,
2668657,NLM,MEDLINE,19890919,20131121,0887-6924 (Print) 0887-6924 (Linking),3,9,1989 Sep,A mutant RAS gene acts through protein kinase C to augment interleukin-3 dependent proliferation in a fastidious immortal myeloid cell line.,662-8,"The functional role of a mutant RAS gene in immortal myeloid cell proliferation was examined in a fastidious interleukin-3 (IL-3) dependent cell line (NFS/N1.H7) formed by forced proliferation in IL-3 of marrow cells of the NFS/N mouse. The NFS/N1.H7 cell line was strictly dependent upon IL-3 for growth, and the cell line could be activated by phorbol esters (PMA) to augment IL-3 dependent proliferation, but when pKC was downregulated, diminished IL-3 proliferative response resulted. Transfection (electroporation) of the T24 RAS-containing vector pAL8 to NFS/N1.H7 led to clones (H7 NeoRas.F3, H7 NeoRas.E2) that had incorporated the entire 6.6 Kb human mutant H-RAS genome. The mutant RAS-containing clones demonstrated greater proliferation than parent cells or cells containing a control (neo-resistance) vector over a range of suboptimal IL-3 does and in optimal IL-3 concentrations had a faster doubling rate than parent cells. The clone H7 NeoRas.F3 was studied biochemically, and found to constitutively form 3-fold more 3H-diacylglycerol than the parent cell line upon exposure to 3H-glycerol. PMA could partially repair the proliferative defect of NFS/N1.H7 compared to the RAS-expressor. These studies affirm a secondary, accelerating role for a mutant RAS gene product acting through pKC to promote clonal expansion of immortal myeloid cells stimulated by IL-3.","['Boswell, H S', 'Harrington, M A', 'Burgess, G S', 'Nahreini, T L', 'Derigs, H G', 'Hodges, T D', 'English, D', 'Crean, C D', 'Gabig, T G']","['Boswell HS', 'Harrington MA', 'Burgess GS', 'Nahreini TL', 'Derigs HG', 'Hodges TD', 'English D', 'Crean CD', 'Gabig TG']","['Department of Medicine, Indiana University Medical Center, Indianapolis.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,IM,"['Animals', '*Bone Marrow Cells', '*Caenorhabditis elegans Proteins', 'Carrier Proteins', 'Cell Division/*drug effects', 'Cell Line', 'Diglycerides/physiology', 'Enzyme Activation', '*Genes, ras', 'Interleukin-3/*pharmacology', 'Mice', 'Mutation', 'Protein Kinase C/*physiology', 'Receptors, Drug/metabolism', 'Transfection']",1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1989 Sep;3(9):662-8.,,"['F32 GM11789/GM/NIGMS NIH HHS/United States', 'R01 CA45571/CA/NCI NIH HHS/United States', 'R01 CA45677/CA/NCI NIH HHS/United States', 'etc.']","['0 (Caenorhabditis elegans Proteins)', '0 (Carrier Proteins)', '0 (Diglycerides)', '0 (Interleukin-3)', '0 (Receptors, Drug)', '0 (phorbol ester binding protein)', '0 (phorbol ester receptor)', 'EC 2.7.11.13 (Protein Kinase C)']",,,,,,,,,,,,,
