PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,RF,PMC,SI,GR,CON,TT,EFR,MID,EIN,CRF,OID,OTO,OT,GN,ROF
9136949,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Long-term clinical outcome of B-cell chronic lymphocytic leukaemia patients in clinical remission phase evaluated at phenotypic level.,113-8,"This retrospective study aimed to evaluate the long-term prognostic impact of phenotypic remission in B-cell chronic lymphocytic leukaemia (CLL) patients who have achieved clinical, haematological and bone-marrow complete remission (CR) after conventional chemotherapy. The clinical and phenotypic data of 77 CLL patients in CR with a median follow-up from CR achievement of 54 months (range 5-127) were analysed. 32 patients (42%) displayed a normalized phenotype as evaluated by k:lambda ratio or by CD5+/CD19+ cell numbers. Patients with normalized phenotype demonstrated a significantly higher incidence of female sex, a lower relapse rate, a trend for higher prevalence of stage A and a lower occurrence of CLL-related deaths. The relapse-free survival of patients with normalized phenotype was significantly longer (P = 0.02), whereas no difference in overall survival was found between the two groups. Interestingly, Binet's stage at diagnosis was highly predictive of the overall survival following CR achievement. From the results of the present study we conclude that a phenotype normalization at CR obtained with conventional chemotherapy indicates a higher probability of a longer CR but it does not translate into prolonged survival. Clinical features at diagnosis, such as stage distribution, are apparently stronger predictors of the final outcome. These results emphasize, however, the need for a routine assessment of the quality of response since this information could be crucial in designing therapeutic strategies for young patients suffering from advanced CLL.","['Brugiatelli, M', 'Claisse, J F', 'Lenormand, B', 'Morabito, F', 'Callea, V', 'Malloum, K', 'Chevret, S', 'Binet, J L', 'Dighiero, G', 'Travade, P']","['Brugiatelli M', 'Claisse JF', 'Lenormand B', 'Morabito F', 'Callea V', 'Malloum K', 'Chevret S', 'Binet JL', 'Dighiero G', 'Travade P']","['Dipartimento di Emato-Oncologia, Azienda Ospedaliera Bianchi-Melacrino-Morelli, Reggio Calabria, Italy.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Disease-Free Survival', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Male', 'Middle Aged', '*Phenotype', 'Remission Induction', 'Retrospective Studies', 'Treatment Outcome']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.9922637.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):113-8. doi: 10.1046/j.1365-2141.1997.9922637.x.,['Br J Haematol. 1997 Nov;99(2):464-5. PMID: 9375774'],,,,,,,,,,,,,,,
9136948,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Polymorphism of the tumour necrosis factor-alpha and lymphotoxin-alpha genes in chronic lymphocytic leukaemia.,107-12,"The neoplastic cells of CLL are able to produce TNF which is known to stimulate the proliferation of CLL cells in an autocrine and paracrine manner. Genetic polymorphism of molecules of the TNF ligand superfamily has been described and certain alleles were suspected to predispose to variant biological responses. Previously, the rare allele TNFB*1 of the TNF-beta/lymphotoxin (LT)-alpha gene (NcoI, asparagine at amino acid position 26) was found to be associated with a stronger LT-alpha response of PBMC in vitro. We now report on a significant increase of the allele TNF1 (TNFA -308 G) of the TNF-alpha promoter/enhancer polymorphism in a group of 73 CLL patients when compared to healthy individuals (RR = 3.18, 95% confidence interval 1.57-8.3; P = 0.006). The allelic distribution of the TNF-beta/LT-alpha NcoI polymorphism did not differ significantly from randomized healthy controls. On the other hand, the frequency of the allele TNFB*2 was increased in CLL patients with advanced clinical stage (P = 0.004). These findings indicate immunogenetic associations involving polymorphisms of cytokine genes serving as paracrine and autocrine growth factors, which thus can contribute to the pathogenesis of the TNF/LT-sensitive haematological malignancy CLL.","['Demeter, J', 'Porzsolt, F', 'Ramisch, S', 'Schmidt, D', 'Schmid, M', 'Messer, G']","['Demeter J', 'Porzsolt F', 'Ramisch S', 'Schmidt D', 'Schmid M', 'Messer G']","['Department of Medicine III, University of Ulm, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Lymphotoxin-alpha)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Gene Frequency', 'Genotype', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Lymphotoxin-alpha/*genetics', 'Male', 'Middle Aged', '*Polymorphism, Genetic', 'Tumor Necrosis Factor-alpha/*genetics']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.9912636.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):107-12. doi: 10.1046/j.1365-2141.1997.9912636.x.,,,,,,,,,,,,,,,,
9136947,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Which compartments are involved in Philadelphia-chromosome positive chronic myeloid leukaemia? An answer at the single cell level by combining May-Grunwald-Giemsa staining and fluorescence in situ hybridization techniques.,99-106,"Chronic myeloid leukaemia (CML) is believed to represent a stem cell disorder involving all three cell lineages. The typical chromosomal aberration, the Philadelphia chromosome, is the translocation (9;22)(q34;q11). Several studies with cytogenetics, fluorescence in situ hybridization (FISH), or polymerase chain reaction have investigated the presence of the t(9;22) in different cell compartments. However, questions still remain. In six cases of CML we combined the standard May-Grunwald-Giemsa staining with FISH at the single-cell level and were able to demonstrate that not only all maturation stages of granulopoiesis, erythropoiesis, and megakaryocytes, but also plasma cells, eosinophils, basophils and monocytes carried the Philadelphia chromosome in 53-98% of samples. Using immunological identification of single cells we were able to demonstrate that the t(9;22) is detectable in 34% of CD3-positive T lymphocytes, in 32% of CD19-positive B lymphocytes, and in 82% of CD34-positive precursor cells. The results give new insight into the biology of CML and may have implications for future therapeutic strategies.","['Haferlach, T', 'Winkemann, M', 'Nickenig, C', 'Meeder, M', 'Ramm-Petersen, L', 'Schoch, R', 'Nickelsen, M', 'Weber-Matthiesen, K', 'Schlegelberger, B', 'Schoch, C', 'Gassmann, W', 'Loffler, H']","['Haferlach T', 'Winkemann M', 'Nickenig C', 'Meeder M', 'Ramm-Petersen L', 'Schoch R', 'Nickelsen M', 'Weber-Matthiesen K', 'Schlegelberger B', 'Schoch C', 'Gassmann W', 'Loffler H']","['Department of Haematology and Oncology, University of Gottingen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,['0 (Azure Stains)'],IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Azure Stains', 'B-Lymphocytes/pathology', 'Cell Lineage', '*Chromosomes, Human, Pair 22', '*Chromosomes, Human, Pair 9', 'Female', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/pathology', 'Male', 'Middle Aged', 'Polymerase Chain Reaction', 'Staining and Labeling', 'T-Lymphocytes/pathology', '*Translocation, Genetic']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.9662656.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):99-106. doi: 10.1046/j.1365-2141.1997.9662656.x.,['Br J Haematol. 1997 Dec;99(3):707-8. PMID: 9401090'],,,,,,,,,,,,,,,
9136946,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Spontaneous exodus of high numbers of normal early progenitor cells (Ph-negative LTC-IC) in the peripheral blood of patients with chronic myeloid leukaemia at the beginning of the disease.,94-8,"Elevated white blood cell counts are frequently found in patients with chronic myeloid leukaemia (CML). Although some studies have disclosed that bone marrow of CML patients may contain some normal Philadelphia-negative early progenitor cells, it has been assumed that the dramatic increase of white blood cells was entirely related to the leukaemic cell expansion. In this study we attempted to quantify the number of normal and leukaemic progenitor cells in the bone marrow and peripheral blood of newly diagnosed CML patients. Bone marrow and peripheral blood cells of eight newly diagnosed CML patients were analysed for clonogenic colony-forming cells (CFC) and very early progenitor cells, i.e. long-term culture initiating cells (LTC-IC). The leukaemic (Ph-positive) or normal (Ph-negative) origin of progenitor cells was revealed by cytogenetic analysis performed on single colonies arising from in-vitro assays. In 6/8 patients the marrow CFC frequency ranged from 400 to 9300/10(6) mononuclear cells (MNC), 0-50% being Philadelphia chromosome negative; the LTC-IC frequency ranged from 0 to 11/10(6) MNC, and were 80-100% Ph-negative. The corresponding absolute values into peripheral blood were: CFC = 1-35.5 x 10(3)/ml, 0-50% Ph-negative, and LTC-IC = 0-2.5 x 10(3)/ml, 0-100% Ph-negative. In one patient, no LTC-IC were detected in either the marrow or the peripheral blood. In conclusion, in the peripheral blood of some CML patients, the number of normal LTC-IC is more than 3 times the number of leukaemic progenitor cells, and is much higher (50 times) than the corresponding value found in normal subjects in steady state (2.5/ml v 124/ml). These data support the concept that leukaemic 'stem cells', with respect to normal ones, may be considerably fewer than previously thought. In addition it is shown that at the beginning of CML high numbers of normal LTC-IC are spontaneously mobilized into the blood. Finally, the presence of Ph-negative early progenitors into the blood may represent a potential source of normal stem cells available for autografting providing they can be separated from leukaemic cells.","['Podesta, M', 'Piaggio, G', 'Sessarego, M', 'Pitto, A', 'Benvenuto, F', 'Vassallo, F', 'Fugazza, G', 'Carella, A M', 'Frassoni, F']","['Podesta M', 'Piaggio G', 'Sessarego M', 'Pitto A', 'Benvenuto F', 'Vassallo F', 'Fugazza G', 'Carella AM', 'Frassoni F']","['Divisione Ematologia, Ospedale San Martino, Genova, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Adult', 'Bone Marrow/pathology', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood/pathology', 'Lymphocyte Count', 'Male', 'Middle Aged', 'Stem Cells/*pathology']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.d01-2128.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):94-8. doi: 10.1046/j.1365-2141.1997.d01-2128.x.,,,,,,,,,,,,,,,,
9136945,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Molecular response of CML patients treated with interferon-alpha monitored by quantitative Southern blot analysis. German chronic myeloid leukaemia (CML) Study Group.,86-93,"We analysed 459 samples from 206 chronic myeloid leukaemia (CML) patients at diagnosis and during or after treatment with interferon-alpha (IFN-alpha) by quantitative Southern blot analysis for BCR rearrangement. In a minority (2%) of Ph-positive patients, no BCR rearrangement was detectable due to breakpoints outside the major breakpoint cluster region (M-bcr) or possibly due to M-bcr deletions. Results from 235 samples were compared with the proportion of Ph-positive metaphases found in contemporaneous bone marrow specimens analysed by conventional cytogenetics. The rank correlation between both methods was 0.82 (P < 0.001). The proportion of CML cells in samples determined by Southern blot analysis (BCR ratio) was significantly different between cytogenetically-defined minor, partial, and complete response groups (P < 0.001). Empirically-derived cut-off points in the BCR ratio were introduced in order to define molecular response groups for comparison to standard cytogenetic response groups: a BCR ratio of 0% was defined as complete molecular response and ratios of 1-24%, 25-50%, and > 50% were defined as partial, minor, and no molecular response, respectively. Using these cut-off points the concordance between both methods was 67% (P < 0.0001), a major cytogenetic response could be predicted or excluded in more than 90% of cases (P < 0.0001). Our findings demonstrated that quantitative Southern blot was as sensitive as cytogenetics and as peripheral blood samples are suitable for this technique it should be considered as the method of choice for routine monitoring IFN-alpha therapy in CML patients.","['Reiter, A', 'Skladny, H', 'Hochhaus, A', 'Seifarth, W', 'Heimpel, H', 'Bartram, C R', 'Cross, N C', 'Hehlmann, R']","['Reiter A', 'Skladny H', 'Hochhaus A', 'Seifarth W', 'Heimpel H', 'Bartram CR', 'Cross NC', 'Hehlmann R']","['III. Medizinische Klinik, Klinikum Mannheim der Universitat Heidelberg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Interferon-alpha)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Blotting, Southern', 'Child', 'Female', 'Gene Rearrangement', 'Humans', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myeloid, Chronic-Phase/*therapy', 'Male', 'Middle Aged', '*Protein-Tyrosine Kinases', 'Proto-Oncogene Proteins/metabolism', 'Proto-Oncogene Proteins c-bcr']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.32645.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):86-93. doi: 10.1046/j.1365-2141.1997.32645.x.,,,,,,,,,,,,,,,,
9136944,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Comparative analysis of the impact of risk profile and of drug therapy on survival in CML using Sokal's index and a new score. German chronic myeloid leukaemia (CML)-Study Group.,76-85,"Survival times in chronic myeloid leukaemia (CML) may vary widely depending on the risk profiles of patients. This fact is frequently not, or not sufficiently, considered in evaluating survival in CML, and some studies do not report risk profiles. Therefore we analysed the relative impact of risk profile and therapy on survival using the median survival times of therapy groups and of risk groups of the three-arm randomized German CML Study I (interferon alpha v hydroxyurea v busulphan; median survival times 65 v 56 v 45 months, n = 490, median observation time 70.4 months). The impact of risk profile (Sokal) on survival as determined by the survival difference between high and low risk patients (40 months) was twice the maximum survival difference between treatment groups (20 months). A similar ratio was obtained after stratification for therapy and for risk profile. Since Sokal's index has been reported to prognostically discriminate IFN-treated patients less well than chemotherapy-treated patients, a new score with better discrimination of IFN-treated patients was also used. The results were similar for both scores. We conclude that the risk profile at diagnosis is still more important for survival of CML patients than therapy. Therefore patients should be stratified according to risk profile for comparisons of survival times between studies and treatment arms.","['Hehlmann, R', 'Ansari, H', 'Hasford, J', 'Heimpel, H', 'Hossfeld, D K', 'Kolb, H J', 'Loffler, H', 'Pralle, H', 'Queisser, W', 'Reiter, A', 'Hochhaus, A']","['Hehlmann R', 'Ansari H', 'Hasford J', 'Heimpel H', 'Hossfeld DK', 'Kolb HJ', 'Loffler H', 'Pralle H', 'Queisser W', 'Reiter A', 'Hochhaus A']","['III. Medizinische Klinik, Klinikum Mannheim, Universitat Heidelberg, Germany.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antineoplastic Agents)', '0 (Interferon-alpha)', 'G1LN9045DK (Busulfan)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*therapeutic use', 'Busulfan/*therapeutic use', 'Female', 'Humans', 'Hydroxyurea/*therapeutic use', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Male', 'Middle Aged', 'Risk Factors', '*Severity of Illness Index', 'Survival Analysis', 'Survival Rate']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.102652.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):76-85. doi: 10.1046/j.1365-2141.1997.102652.x.,,,,,,,,,,,,,,,,
9136940,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Australian Leukaemia Study Group myeloma II: a randomized trial of intensive combination chemotherapy with or without interferon in patients with myeloma.,38-45,"The Australian Leukaemia Study Group has performed a randomized trial of interferon alpha-2A (Roferon-A) as a co-induction agent together with intensive combination chemotherapy and as maintenance following completion of 12 cycles of induction treatment. When used as a co-induction agent, interferon-alpha did not improve response rates, time-to-treatment failure, or overall survival. Patients who had interferon together with intensive combination therapy (PCAB: prednisone 60 mg/m2 days 1-5, cyclophosphamide 600 mg/m2 day 1, BCNU 30 mg/m2 day 1, doxorubicin 30 mg/m2 day 1, repeated every 28 d for a total of 12 cycles) had more leucocyte and granulocyte toxicity and received a lower dose intensive of cytotoxic drugs than those patients who received PCAB without interferon. There was a trend towards prolongation of plateau phase which did not reach significance. Interferon, however, did improve the survival of patients who achieved plateau; for those patients interferon was associated with a 33% decrease in the rate of death after adjusting for initial beta-2 microglobulin level.","['Joshua, D E', 'Penny, R', 'Matthews, J P', 'Laidlaw, C R', 'Gibson, J', 'Bradstock, K', 'Wolf, M', 'Goldstein, D']","['Joshua DE', 'Penny R', 'Matthews JP', 'Laidlaw CR', 'Gibson J', 'Bradstock K', 'Wolf M', 'Goldstein D']","['Institute of Haematology, Royal Prince Alfred Hospital, New South Wales, Australia.']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'U68WG3173Y (Carmustine)', 'VB0R961HZT (Prednisone)']",IM,"['Activities of Daily Living', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Carmustine/administration & dosage/adverse effects', 'Cyclophosphamide/administration & dosage/adverse effects', 'Doxorubicin/administration & dosage/adverse effects', 'Female', 'Humans', 'Interferon alpha-2', 'Interferon-alpha/administration & dosage/adverse effects', 'Male', 'Middle Aged', 'Multiple Myeloma/*drug therapy', 'Multivariate Analysis', 'Prednisone/administration & dosage/adverse effects', 'Quality of Life', 'Recombinant Proteins', 'Remission Induction', 'Time Factors', 'Treatment Failure', 'Treatment Outcome']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.9942643.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):38-45. doi: 10.1046/j.1365-2141.1997.9942643.x.,,,,,,,,,,,,,,,,
9136938,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,Diverse effects of anti-CD44 antibodies on the stromal cell-mediated support of normal but not leukaemic (CML) haemopoiesis in vitro.,22-8,"We have identified three non-cross-reacting anti-human CD44 monoclonal antibodies that have significant positive or negative (or no) effects on normal human haemopoiesis in the long-term culture (LTC) system. These effects manifested as increases or decreases in the number of LTC-initiating cells (LTC-IC), and the number of colony-forming cells (CFC) recovered from cultures in which either unseparated or highly purified CD34+ CD38- normal marrow cells were placed on pre-established normal marrow feeder layers in the presence or absence of each antibody. The effects seen were rapid and sustained, and dependent on the presence of a preformed feeder layer. Interestingly, the same anti-CD44 antibodies had no effect on the maintenance of leukaemic (Ph+) progenitors (from patients with chronic myeloid leukaemia) when these cells were cultured on preformed feeder layers established from normal marrow. CD44 appears to be part of a mechanism by which stromal elements can regulate primitive normal haemopoietic cells but not their leukaemic (Ph+) counterparts.","['Ghaffari, S', 'Dougherty, G J', 'Eaves, A C', 'Eaves, C J']","['Ghaffari S', 'Dougherty GJ', 'Eaves AC', 'Eaves CJ']","['Department of Pathology and Laboratory Medicine, University of British Columbia, Vancouver, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD34)', '0 (Epitopes)', '0 (Hyaluronan Receptors)']",IM,"['Antibodies, Monoclonal/*immunology', 'Antibody Specificity', 'Antigens, CD34/immunology', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Epitopes', 'Hematopoiesis/*immunology', 'Hematopoietic Stem Cells/immunology', 'Humans', 'Hyaluronan Receptors/*immunology', 'Leukemia, Myeloid, Chronic-Phase/*immunology', 'Tumor Cells, Cultured']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.d01-2139.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):22-8. doi: 10.1046/j.1365-2141.1997.d01-2139.x.,,,,,,,,,,,,,,,,
9136935,NLM,MEDLINE,19970619,20190705,0007-1048 (Print) 0007-1048 (Linking),97,1,1997 Apr,The role of granulocyte- and granulocyte-macrophage-colony-stimulating factors in the treatment of acute myeloid leukaemia.,1-8,,"['Johnson, P R', 'Yin, J A']","['Johnson PR', 'Yin JA']","['Department of Haematology, Western General Hospital, Edinburgh.']",['eng'],"['Journal Article', 'Review']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Antineoplastic Agents)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Antineoplastic Agents/therapeutic use', 'Decision Making', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myeloid/*therapy', 'Randomized Controlled Trials as Topic']",1997/04/01 00:00,1997/04/01 00:01,['1997/04/01 00:00'],"['1997/04/01 00:00 [pubmed]', '1997/04/01 00:01 [medline]', '1997/04/01 00:00 [entrez]']",['10.1046/j.1365-2141.1997.00984.x [doi]'],ppublish,Br J Haematol. 1997 Apr;97(1):1-8. doi: 10.1046/j.1365-2141.1997.00984.x.,,48,,,,,,,,,,,,,,
9136934,NLM,MEDLINE,19970529,20211203,0890-9369 (Print) 0890-9369 (Linking),11,8,1997 Apr 15,mirror encodes a novel PBX-class homeoprotein that functions in the definition of the dorsal-ventral border in the Drosophila eye.,1073-82,"The Drosophila eye is composed of dorsal and ventral mirror-image fields of opposite chiral forms of ommatidia. The boundary between these fields is known as the equator. We describe a novel gene, mirror (mrr), which is expressed in the dorsal half of the eye and plays a key role in forming the equator. Ectopic equators can be generated by juxtaposing mrr expressing and nonexpressing cells, and the path of the normal equator can be altered by changing the domain of mrr expression. These observations suggest that mrr is a key component in defining the dorsal-ventral boundary of tissue polarity in the eye. In addition, loss of mrr function leads to embryonic lethality and segmental defects, and its expression pattern suggests that it may also act to define segmental borders. Mirror is a member of the class of homeoproteins defined by the human proto-oncogene PBX1. mrr is similar to the Iroquois genes ara and caup and is located adjacent to them in this recently described homeotic cluster.","['McNeill, H', 'Yang, C H', 'Brodsky, M', 'Ungos, J', 'Simon, M A']","['McNeill H', 'Yang CH', 'Brodsky M', 'Ungos J', 'Simon MA']","['Department of Biological Sciences, Stanford University, California 94305, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Genes Dev,Genes & development,8711660,"['0 (DNA-Binding Proteins)', '0 (Drosophila Proteins)', '0 (Eye Proteins)', '0 (Homeodomain Proteins)', '0 (MAS1 protein, human)', '0 (Pre-B-Cell Leukemia Transcription Factor 1)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (Transcription Factors)', '0 (mirr protein, Drosophila)', '0 (pbx1 protein, human)']",IM,"['Amino Acid Sequence', 'Animals', 'Body Patterning', 'Cloning, Molecular', 'DNA-Binding Proteins/genetics', 'Drosophila/*embryology/genetics', '*Drosophila Proteins', 'Eye Proteins/genetics/*physiology', 'Gene Expression Regulation, Developmental', 'Genes, Insect/genetics', 'Homeodomain Proteins/genetics/*physiology', 'Molecular Sequence Data', 'Mutation', 'Photoreceptor Cells, Invertebrate/*embryology', 'Pre-B-Cell Leukemia Transcription Factor 1', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/genetics', 'RNA, Messenger/analysis', 'Sequence Analysis, DNA', 'Sequence Homology, Amino Acid', '*Transcription Factors']",1997/04/15 00:00,1997/04/15 00:01,['1997/04/15 00:00'],"['1997/04/15 00:00 [pubmed]', '1997/04/15 00:01 [medline]', '1997/04/15 00:00 [entrez]']",['10.1101/gad.11.8.1073 [doi]'],ppublish,Genes Dev. 1997 Apr 15;11(8):1073-82. doi: 10.1101/gad.11.8.1073.,,,,['GENBANK/U95021'],,,,,,,,,,,,
9136924,NLM,MEDLINE,19970521,20190822,0361-8609 (Print) 0361-8609 (Linking),55,1,1997 May,Type III hypersensitivity reaction with the use of interferon-alpha.,53-4,,"['Maurtua, M A', 'Moscinski, L C', 'Messina, J', 'Miller, L', 'Ballester, O F']","['Maurtua MA', 'Moscinski LC', 'Messina J', 'Miller L', 'Ballester OF']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)']",IM,"['Female', 'Humans', 'Hypersensitivity, Delayed/*immunology/pathology', 'Interferon alpha-2', 'Interferon-alpha/adverse effects/*immunology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/therapy', 'Middle Aged', 'Recombinant Proteins', 'Skin/immunology']",1997/05/01 00:00,2000/06/20 09:00,['1997/05/01 00:00'],"['1997/05/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1997/05/01 00:00 [entrez]']","['10.1002/(SICI)1096-8652(199705)55:1<53::AID-AJH14>3.0.CO;2-7 [pii]', '10.1002/(sici)1096-8652(199705)55:1<53::aid-ajh16>3.0.co;2-7 [doi]']",ppublish,Am J Hematol. 1997 May;55(1):53-4. doi: 10.1002/(sici)1096-8652(199705)55:1<53::aid-ajh16>3.0.co;2-7.,,,,,,,,,,,,,,,,
