PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,TT,PL,TA,JT,JID,SB,EIN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,CON,CIN,AID,PMC,CI,GR,RF,SI,CN,CRI,OID,OAB,OABL,OTO,OT,GN,LID,PS,FPS
10396303,NLM,MEDLINE,19990720,20041117,0002-9173 (Print) 0002-9173 (Linking),112,1 Suppl 1,1999 Jul,Molecular pathology of leukemia and lymphoma.,S76-92,"Molecular dissection of physiologic and pathologic genetic phenomena in hematologic malignancy has provided the pathologist with a broad menu of new assays. By integrating the data gleaned from these techniques we can formulate more rational and biologically based diagnoses, which should lead to the ultimate goal of targeted therapy for these specific entities. We summarize some of the more relevant molecular genetic assays and present an overview of those genetic mechanisms usually evaluated in the current practice of hematopathology. The usefulness of such assays extends beyond refining diagnoses in that they also provide relevant prognostic information. Moreover, since most are based on the polymerase chain reaction and reverse transcriptase polymerase chain reaction, we are more sensitively able to monitor for residual disease after attempts at curative therapy, and our definition of remission has been dramatically altered. However, molecular genetic tests are not without limitations, and we must remain cognizant of their cost effectiveness and be aware of current deficiencies in standardization. The challenge will be to meaningfully and economically harness and integrate the information we obtain from these and future technologies into appropriate clinical practice.","['Bagg, A', 'Kallakury, B V']","['Bagg A', 'Kallakury BV']","['Department of Pathology, Georgetown University Medical Center, Washington, DC 20007, USA.']",['eng'],"['Journal Article', 'Review']",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,,"['DNA, Neoplasm/*analysis', '*Genetic Techniques', 'Humans', 'Leukemia/genetics/*pathology', 'Lymphoma/genetics/*pathology', 'RNA, Neoplasm/*analysis']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1999 Jul;112(1 Suppl 1):S76-92.,"['0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)']",,,,,,,115,,,,,,,,,,,,
10396294,NLM,MEDLINE,19990722,20190513,0002-9173 (Print) 0002-9173 (Linking),112,1,1999 Jul,Myeloperoxidase detection by three-color flow cytometry in acute lymphoblastic leukemia.,122-4,,"['Garcia Vela, J A', 'Delgado, I', 'Ona, F']","['Garcia Vela JA', 'Delgado I', 'Ona F']",,['eng'],"['Comment', 'Letter']",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,,"['Antibodies, Monoclonal/metabolism', 'Antigens, CD/metabolism', 'Biomarkers, Tumor/metabolism', 'Bone Marrow/metabolism/pathology', 'Burkitt Lymphoma/classification/diagnosis/*enzymology', 'Flow Cytometry/methods', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/classification/diagnosis/*enzymology', 'Peroxidase/*analysis']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1999 Jul;112(1):122-4. doi: 10.1093/ajcp/112.1.122.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Biomarkers, Tumor)', 'EC 1.11.1.7 (Peroxidase)']",['Am J Clin Pathol. 1998 Aug;110(2):163-9. PMID: 9704614'],,['10.1093/ajcp/112.1.122 [doi]'],,,,,,,,,,,,,,,,
10396293,NLM,MEDLINE,19990722,20190513,0002-9173 (Print) 0002-9173 (Linking),112,1,1999 Jul,Acute promyelocytic leukemia with additional chromosomal abnormalities and absence of Auer rods.,113-8,"We report 4 acute promyelocytic leukemia cases that demonstrated karyotypic abnormalities in addition to the classic t(15;17) translocation and did not contain any Auer rods in leukemic blasts and dysplastic promyelocytes, either in the peripheral blood or in the bone marrow. Morphologically, 2 cases were characterized as the common or hypergranular type, and 2 were otherwise typical of the microgranular variant. Three patients had typical clinical and laboratory signs of disseminated intravascular coagulation. Immunophenotypic analysis of the blasts and dysplastic promyelocytes by dual-color flow cytometry revealed an immunoprofile consistent with acute promyelocytic leukemia. Cytogenetic analysis of the bone marrow revealed the following karyotypes: case 1, [47,XY,t(15;17)(q22;q12),+21]; case 2, [47,XY,t(15;17)(q22;q12),-16,+2 mar]; case 3, [47,XX,t(15;17)(q22;q12)ider(17)(q10),+8]; and case 4, [47,XY,der(5)t(5;?9)(p15;q12).t(15;17)(q22;q12]. Review of an additional 7 cases with t(15;17) as the sole cytogenetic abnormality revealed Auer rods in all cases. Our findings emphasize the importance of cytogenetics in evaluating acute myeloid leukemias. Acute promyelocytic leukemia without Auer rods, which may be morphologically confused with other types of leukemia (in particular, acute myeloblastic leukemia, type M2 or M5) or agranulocytosis with maturation arrest, appears to be associated with additional chromosomal abnormalities and possibly a poorer prognosis.","['Kaleem, Z', 'Watson, M S', 'Zutter, M M', 'Blinder, M A', 'Hess, J L']","['Kaleem Z', 'Watson MS', 'Zutter MM', 'Blinder MA', 'Hess JL']","['Lauren V. Ackerman Laboratory of Surgical Pathology, Department of Pathology, Washington University School of Medicine, St Louis, MO, USA.']",['eng'],"['Case Reports', 'Journal Article']",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,,"['Adult', 'Aged', 'Bone Marrow Cells/pathology', 'Chromosome Aberrations/*genetics', 'Chromosomes, Human, Pair 15/genetics', 'Chromosomes, Human, Pair 17/genetics', 'Fatal Outcome', 'Female', 'Flow Cytometry', 'Humans', 'Immunophenotyping', '*Inclusion Bodies/pathology', 'Karyotyping', 'Leukemia, Promyelocytic, Acute/*genetics/pathology', 'Male', 'Middle Aged', 'Translocation, Genetic']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1999 Jul;112(1):113-8. doi: 10.1093/ajcp/112.1.113.,,,,['10.1093/ajcp/112.1.113 [doi]'],,,,,,,,,,,,,,,,
10396290,NLM,MEDLINE,19990722,20190513,0002-9173 (Print) 0002-9173 (Linking),112,1,1999 Jul,"Clonality analysis using X-chromosome inactivation at the human androgen receptor gene (Humara). Evaluation of large cohorts of patients with chronic myeloproliferative diseases, secondary neutrophilia, and reactive thrombocytosis.",93-100,"Chronic myeloproliferative diseases (MPDs) are not associated with consistent cytogenetic or molecular abnormalities. Demonstration of clonal cell growth by analysis of X-chromosome inactivation (XCI) patterns in females provides a promising tool for diagnosis. However, this technique can be complicated by excessive lyonization of normal cells mimicking clonal cell growth: We analyzed XCI patterns at the human androgen receptor (HUMARA) locus in 146 healthy females, 65 women with secondary neutrophilia, 31 women with reactive thrombocytosis, and 86 women with chronic MPDs. A skewed XCI pattern with greater than 75% amplification of 1 allele (allele ratio > 3:1) was found in 22 (9.1%) of 242 control subjects. The incidence of skewing was statistically significantly lower in women younger than 30 years (2/73) compared with women older than 60 years (10/53). Of 86 patients with a chronic MPD, 71 (82%) exhibited an allele ratio greater than 3:1, whereas only 10 (12%) of 86 age-matched control subjects showed a skewed XCI pattern. Although statistical evaluation of the data showed a significant difference between patients with a chronic MPD and control subjects, proof of clonality in individual, especially elderly, patients is difficult.","['Mitterbauer, G', 'Winkler, K', 'Gisslinger, H', 'Geissler, K', 'Lechner, K', 'Mannhalter, C']","['Mitterbauer G', 'Winkler K', 'Gisslinger H', 'Geissler K', 'Lechner K', 'Mannhalter C']","['Department of Laboratory Medicine, University of Vienna, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Alleles', 'Chronic Disease', 'Clone Cells', 'Cohort Studies', 'DNA Primers/chemistry', '*Dosage Compensation, Genetic', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/genetics/pathology', 'Leukocytosis/*genetics/pathology', 'Middle Aged', 'Myeloproliferative Disorders/blood/*genetics/pathology', 'Neutrophils/*pathology', 'Polycythemia Vera/blood/genetics', 'Polymerase Chain Reaction', 'Primary Myelofibrosis/blood/genetics/pathology', 'Receptors, Androgen/*genetics', 'Thrombocytosis/blood/genetics/pathology']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Am J Clin Pathol. 1999 Jul;112(1):93-100. doi: 10.1093/ajcp/112.1.93.,"['0 (DNA Primers)', '0 (Receptors, Androgen)']",,,['10.1093/ajcp/112.1.93 [doi]'],,,,,,,,,,,,,,,,
10396223,NLM,MEDLINE,19990715,20041117,0007-1285 (Print) 0007-1285 (Linking),72,855,1999 Mar,MR findings in ovarian granulocytic sarcoma.,301-3,"Granulocytic sarcoma (chloroma) is a mass of malignant myeloid precursor cells in an extramedullary location. The female genital tract, including the ovary, may be the first site for clinical manifestation of granulocytic sarcoma. The MR findings are reported in a case of ovarian granulocytic sarcoma which preceded acute myelogenous leukaemia. Granulocytic sarcoma shows a mixed cystic and solid adnexal mass with intermediate signal intensity on T1 weighted images and hypointensity on T2 weighted images.","['Jung, S E', 'Chun, K A', 'Park, S H', 'Lee, E J']","['Jung SE', 'Chun KA', 'Park SH', 'Lee EJ']","[""Department of Radiology, St Mary's Hospital, College of Medicine, Catholic University of Korea, Seoul, Korea.""]",['eng'],"['Case Reports', 'Journal Article']",,England,Br J Radiol,The British journal of radiology,0373125,IM,,"['Child', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis/pathology', 'Magnetic Resonance Imaging', 'Ovarian Neoplasms/*diagnosis/pathology']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Br J Radiol. 1999 Mar;72(855):301-3. doi: 10.1259/bjr.72.855.10396223.,,,,['10.1259/bjr.72.855.10396223 [doi]'],,,,,,,,,,,,,,,,
10396096,NLM,MEDLINE,19990720,20041117,0213-005X (Print) 0213-005X (Linking),17,5,1999 May,[Bacteremia by Stomatococcus mucilaginosus in leukemic patients].,254-5,,"['Batista, N', 'Diez, O', 'Diaz, J', 'Moreno, A', 'Gonzalez, A']","['Batista N', 'Diez O', 'Diaz J', 'Moreno A', 'Gonzalez A']",,['spa'],"['Case Reports', 'Letter']",Bacteriemia por Stomatococcus mucilaginosus en pacientes leucemicos.,Spain,Enferm Infecc Microbiol Clin,Enfermedades infecciosas y microbiologia clinica,9104081,IM,,"['Acute Disease', 'Bacteremia/*complications/microbiology', 'Child', 'Female', 'Gram-Positive Bacterial Infections/*complications/microbiology', 'Humans', 'Leukemia/*complications', 'Male', 'Middle Aged', 'Opportunistic Infections/*complications/microbiology']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Enferm Infecc Microbiol Clin. 1999 May;17(5):254-5.,,,,,,,,,,,,,,,,,,,,
10396064,NLM,MEDLINE,19990820,20190831,0070-217X (Print) 0070-217X (Linking),246,,1999,Molecular pathogenesis of B cell malignancy: the role of BCL-6.,257-63; discussion 263-5,,"['Dalla-Favera, R', 'Migliazza, A', 'Chang, C C', 'Niu, H', 'Pasqualucci, L', 'Butler, M', 'Shen, Q', 'Cattoretti, G']","['Dalla-Favera R', 'Migliazza A', 'Chang CC', 'Niu H', 'Pasqualucci L', 'Butler M', 'Shen Q', 'Cattoretti G']","['Department of Pathology, College of Physicians and Surgeons, Columbia University, New York, NY 10032, USA.']",['eng'],['Journal Article'],,Germany,Curr Top Microbiol Immunol,Current topics in microbiology and immunology,0110513,IM,,"['Animals', 'DNA-Binding Proteins/*genetics', 'Gene Expression Regulation', 'Germinal Center/cytology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Lymphoma, B-Cell/*genetics', 'Mice', 'Multiple Myeloma/*genetics', 'Mutation', 'Proto-Oncogene Proteins/*genetics', 'Proto-Oncogene Proteins c-bcl-6', 'Transcription Factors/*genetics', 'Translocation, Genetic']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Curr Top Microbiol Immunol. 1999;246:257-63; discussion 263-5. doi: 10.1007/978-3-642-60162-0_32.,"['0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-6)', '0 (Transcription Factors)']",,,['10.1007/978-3-642-60162-0_32 [doi]'],,,,,,,,,,,,,,,,
10396062,NLM,MEDLINE,19990820,20171116,0070-217X (Print) 0070-217X (Linking),246,,1999,Alternative splicing of CD79a (Ig alpha) and CD79b (Ig beta) transcripts in human B-CLL cells.,241-6; discussion 247-8,,"['Alfarano, A', 'Circosta, P', 'Vallario, A', 'Camaschella, C', 'Indraccolo, S', 'Amadori, A', 'Caligaris-Cappio, F']","['Alfarano A', 'Circosta P', 'Vallario A', 'Camaschella C', 'Indraccolo S', 'Amadori A', 'Caligaris-Cappio F']","['Dipartimento di Scienze Biomediche e Oncologia Umana, Universita di Torino, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,Germany,Curr Top Microbiol Immunol,Current topics in microbiology and immunology,0110513,IM,,"['Alternative Splicing', 'Antigens, CD/*genetics', 'CD79 Antigens', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/*immunology', 'RNA, Messenger/genetics/metabolism', 'RNA, Neoplasm/genetics/metabolism', 'Receptors, Antigen, B-Cell/*genetics', 'Tumor Cells, Cultured']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Curr Top Microbiol Immunol. 1999;246:241-6; discussion 247-8.,"['0 (Antigens, CD)', '0 (CD79 Antigens)', '0 (CD79A protein, human)', '0 (CD79B protein, human)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Receptors, Antigen, B-Cell)']",,,,,,,28,,,,,,,,,,,,
10396058,NLM,MEDLINE,19990820,20190831,0070-217X (Print) 0070-217X (Linking),246,,1999,Unusual immunoglobulin and T-cell receptor gene rearrangement patterns in acute lymphoblastic leukemias.,205-13; discussion 214-5,"Immunoglobulin (Ig) and T-cell receptor (TCR) genes are rearranged in virtually all acute lymphoblastic leukemia (ALL) cases. However, the recombination patterns display several unusual features as compared to normal lymphoid counterparts. Cross-lineage gene rearrangements occur in more than 90% of precursor-B-ALL and in approximately 20% of T-ALL, whereas they are rare in normal lymphocytes. Approximately 25-30% of the Ig and TCR gene rearrangements at diagnosis are oligoclonal, and can undergo continuing or secondary recombination events during the disease course. Based on our extensive molecular studies we hypothesize that the unusual Ig and TCR gene rearrangements in ALL occur as an early postoncogenic event resulting from the continuing V(D)J recombinase activity on accessible gene loci. This hypothesis is on the one hand supported by the virtual absence of cross-lineage gene rearrangements in normal lymphocytes and mature lymphoid malignancies and on the other hand by the presence of oligoclonality and secondary Ig and TCR gene rearrangements in ALL.","['Szczepanski, T', 'Pongers-Willemse, M J', 'Langerak, A W', 'van Dongen, J J']","['Szczepanski T', 'Pongers-Willemse MJ', 'Langerak AW', 'van Dongen JJ']","['Dept. of Immunology, University Hospital Rotterdam/Erasmus University Rotterdam, The Netherlands.']",['eng'],"['Journal Article', 'Review']",,Germany,Curr Top Microbiol Immunol,Current topics in microbiology and immunology,0110513,IM,,"['Base Sequence', 'DNA Nucleotidyltransferases/metabolism', 'DNA Primers/genetics', '*Gene Rearrangement, B-Lymphocyte', '*Gene Rearrangement, T-Lymphocyte', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/genetics/immunology', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/genetics/immunology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/*immunology', 'Recombination, Genetic', 'VDJ Recombinases']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Curr Top Microbiol Immunol. 1999;246:205-13; discussion 214-5. doi: 10.1007/978-3-642-60162-0_26.,"['0 (DNA Primers)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.- (VDJ Recombinases)']",,,['10.1007/978-3-642-60162-0_26 [doi]'],,,,30,,,,,,,,,,,,
10396053,NLM,MEDLINE,19990820,20190831,0070-217X (Print) 0070-217X (Linking),246,,1999,Analysis of B-cell neoplasias by spectral karyotyping (SKY).,169-74,"B-cell neoplasias represent a heterogeneous group of diseases, including acute lymphocytic leukemia (ALL) and the broad spectrum of non-Hodgkin's lymphomas (NHL). Conventional cytogenetic analysis has revealed specific chromosomal aberrations in ALL as well as in NHL. Spectral karyotyping (SKY) is a novel molecular cytogenetic technique which allows the visualization of all human chromosomes in different colors, therefore greatly facilitating the recognition of chromosomal aberrations. The potential of SKY is exemplified by the fact that in our experience, 70% of the cases analyzed resulted in karyotypes where the majority of aberrations were either refined or new aberrations were detected when compared to their G-banding karyotypes. This also applies to the analysis of B-cell neoplasias. In hematologic malignancies, especially acute leukemias, specific chromosomal aberrations are of etiologic as well as diagnostic and prognostic importance. The identification of new recurrent chromosomal aberrations could therefore lead to a better characterization of disease entities or subgroups in ALL and NHL and further improve diagnosis, treatment stratification and ultimately prognosis. Interestingly, the comparison of the pattern of chromosomal aberrations in hematological neoplasias and carcinomas revealed striking differences. While about 50% of the aberrations in hematological malignancies are balanced translocations, such aberrations are exceedingly rare in epithelial cancers in which unbalanced structural and numerical aberrations prevail.","['Hilgenfeld, E', 'Padilla-Nash, H', 'Schrock, E', 'Ried, T']","['Hilgenfeld E', 'Padilla-Nash H', 'Schrock E', 'Ried T']","['Genetics Department, National Cancer Institute (NCI), National Institutes of Health (NIH), Bethesda, MD, USA.']",['eng'],"['Comparative Study', 'Journal Article', 'Review']",,Germany,Curr Top Microbiol Immunol,Current topics in microbiology and immunology,0110513,IM,,"['Burkitt Lymphoma/*genetics', 'Chromosome Aberrations', 'Chromosome Painting', 'Cytogenetics', 'Humans', 'Karyotyping/*methods', 'Lymphoma, B-Cell/*genetics', 'Translocation, Genetic']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Curr Top Microbiol Immunol. 1999;246:169-74. doi: 10.1007/978-3-642-60162-0_21.,,,,['10.1007/978-3-642-60162-0_21 [doi]'],,,,18,,,,,,,,,,,,
10396045,NLM,MEDLINE,19990820,20190831,0070-217X (Print) 0070-217X (Linking),246,,1999,Human macrophage-derived chemokine (MDC) is strongly expressed following activation of both normal and malignant precursor and mature B cells.,103-10,,"['Ghia, P', 'Schaniel, C', 'Rolink, A G', 'Nadler, L M', 'Cardoso, A A']","['Ghia P', 'Schaniel C', 'Rolink AG', 'Nadler LM', 'Cardoso AA']","['Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,Germany,Curr Top Microbiol Immunol,Current topics in microbiology and immunology,0110513,IM,,"['B-Lymphocytes/cytology/*immunology', 'Base Sequence', 'Cell Differentiation', 'Chemokine CCL22', 'Chemokines, CC/*genetics', 'DNA Primers/genetics', 'Gene Expression', 'Humans', 'Leukemia, B-Cell/genetics/*immunology', 'Lymphocyte Activation']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Curr Top Microbiol Immunol. 1999;246:103-10. doi: 10.1007/978-3-642-60162-0_13.,"['0 (CCL22 protein, human)', '0 (Chemokine CCL22)', '0 (Chemokines, CC)', '0 (DNA Primers)']",,,['10.1007/978-3-642-60162-0_13 [doi]'],,,"['P01-CA66996-01/CA/NCI NIH HHS/United States', 'P01-CA68484-02/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
10395794,NLM,MEDLINE,19990830,20110620,0888-7543 (Print) 0888-7543 (Linking),59,1,1999 Jul 1,Induction of erythrocyte protein 4.2 gene expression during differentiation of murine erythroleukemia cells.,6-17,"Protein 4.2 (P4.2) is an important component in the erythrocyte membrane skeletal network that regulates the stability and flexibility of erythrocytes. Recently, we provided the evidence for specific P4.2 expression in erythroid cells during development (L. Zhu et al., 1998, Blood 91, 695-705). Using dimethyl sulfoxide (DMSO)-induced differentiation of murine erythroleukemia (MEL) cells as a model, transcription of the P4.2 gene was found to be induced during erythroid differentiation. To examine the mechanism for this induction, we isolated the mouse P4.2 genomic DNA containing the 5' flanking sequence and defined the location of the P4.2 promoter. Transcription of the mouse P4.2 gene initiates at multiple sites, with the major initiation site mapped at 174 nucleotides upstream of the ATG start codon. The mouse P4.2 promoter is TATA-less and contains multiple potential binding sites for erythroid transcription factors GATA-1, NF-E2, EKLF, and tal-1/SCL. Transient transfection experiments demonstrated that a 1.7-kb mouse P4.2 promoter fused with the luciferase coding regions was induced in DMSO-treated MEL cells. Deletion analysis showed that a 259-bp P4.2 promoter DNA (nucleotide position -88 to +171 relative to the major transcription initiation site designated +1), containing a GATA-binding site at position -29 to -24, could still respond to the induction in differentiated MEL cells. Importantly, mutations in the -29/-24 GATA motif rendered the promoter unresponsive to DMSO induction. Electrophoretic mobility shift assay revealed that GATA-1 could bind to the -29/-24 GATA motif and this was confirmed by the observation that the nuclear protein bound to the motif was supershifted by an anti-GATA-1 monoclonal antibody. Taken together, these results suggest that the erythroid transcription factor GATA-1 plays an important role in the induction of P4.2 gene expression during erythroid cell differentiation.","['Karacay, B', 'Chang, L S']","['Karacay B', 'Chang LS']","[""Department of Pediatrics, Children's Hospital and The Ohio State University, Columbus, Ohio 43205-2696, USA.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Genomics,Genomics,8800135,IM,,"['Animals', 'Base Sequence', 'Binding Sites', 'Blood Proteins/*genetics', 'Cell Differentiation/*genetics', 'Cytoskeletal Proteins', 'DNA, Neoplasm/genetics/metabolism', 'DNA-Binding Proteins/metabolism', 'Erythrocytes/chemistry/cytology', 'Erythroid-Specific DNA-Binding Factors', 'Friend murine leukemia virus', 'GATA1 Transcription Factor', 'Gene Expression Regulation', 'Gene Expression Regulation, Neoplastic', 'Leukemia, Erythroblastic, Acute', 'Luciferases/genetics/metabolism', 'Membrane Proteins', 'Mice', 'Mice, Inbred BALB C', 'Molecular Sequence Data', 'NF-E2 Transcription Factor', 'NF-E2 Transcription Factor, p45 Subunit', 'Promoter Regions, Genetic/genetics', 'RNA/genetics/metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'TATA Box', 'Transcription Factors/metabolism', 'Tumor Cells, Cultured']",1999/07/09 00:00,1999/07/09 00:01,['1999/07/09 00:00'],"['1999/07/09 00:00 [pubmed]', '1999/07/09 00:01 [medline]', '1999/07/09 00:00 [entrez]']",ppublish,Genomics. 1999 Jul 1;59(1):6-17. doi: 10.1006/geno.1999.5846.,"['0 (Blood Proteins)', '0 (Cytoskeletal Proteins)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (GATA1 Transcription Factor)', '0 (Gata1 protein, mouse)', '0 (Membrane Proteins)', '0 (NF-E2 Transcription Factor)', '0 (NF-E2 Transcription Factor, p45 Subunit)', '0 (Nfe2 protein, mouse)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '0 (erythrocyte membrane band 4.2 protein)', '63231-63-0 (RNA)', 'EC 1.13.12.- (Luciferases)']",,,"['10.1006/geno.1999.5846 [doi]', 'S0888-7543(99)95846-9 [pii]']",,['Copyright 1999 Academic Press.'],,,['GENBANK/AF102234'],,,,,,,,,,,
10395592,NLM,MEDLINE,19990811,20181224,0022-3166 (Print) 0022-3166 (Linking),129,7,1999 Jul,10-Formyl-dihydrofolic acid is bioactive in human leukemia cells.,1315-8,"The bioactivity of 10-formyl-7,8-dihydrofolic acid and 10-formyl-folic acid was determined in human leukemia (CCRF-CEM) cells grown in a folate-depleted medium containing methotrexate. Excess 10-formyl-7,8-dihydrofolic acid, (but not 10-formyl folic acid) supported the growth of these cells, but it was less potent than5-formyl-5,6,7,8-tetrahydrofolic acid (a control). 10-formyl-7, 8-dihydrofolic acid (not 10-formyl folic acid) was active as substrate for aminoimidazole carboxamide ribotide transformylase and dihydrofolate reductase. This is the first experimental evidence that 10-formyl-7,8-dihydrofolic acid is a bioactive folate in mammalian cells. These experiments and several other lines of evidence in the literature suggest that 10-formyl-folic acid must be metabolized to bioactive folate by enteric bacteria before it can be utilized by the vertebrate host.","['Baggott, J E', 'Johanning, G L']","['Baggott JE', 'Johanning GL']","['Department of Nutrition Sciences, University of Alabama at Birmingham, Birmingham, AL 35294, USA.']",['eng'],['Journal Article'],,United States,J Nutr,The Journal of nutrition,0404243,IM,,"['Analysis of Variance', 'Antimetabolites, Antineoplastic/therapeutic use', 'Dose-Response Relationship, Drug', 'Folic Acid/analogs & derivatives/*metabolism/pharmacology', 'Folic Acid Deficiency/*metabolism', 'Hematinics/*metabolism/pharmacology', 'Humans', 'Methotrexate/therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/enzymology/*metabolism', 'Tetrahydrofolate Dehydrogenase/metabolism', 'Tumor Cells, Cultured/enzymology/*metabolism']",1999/07/08 00:00,1999/07/08 00:01,['1999/07/08 00:00'],"['1999/07/08 00:00 [pubmed]', '1999/07/08 00:01 [medline]', '1999/07/08 00:00 [entrez]']",ppublish,J Nutr. 1999 Jul;129(7):1315-8. doi: 10.1093/jn/129.7.1315.,"['0 (Antimetabolites, Antineoplastic)', '0 (Hematinics)', '935E97BOY8 (Folic Acid)', 'C3XPF4ILH4 (10-formyl-7,8-dihydrofolic acid)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",,,['10.1093/jn/129.7.1315 [doi]'],,,,,,,,,,,,,,,,
