PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,GR,SI,TT,CON,EIN,CIN,PMC,ROF,MID,LID,CRI
9067575,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,Detection and quantitation of the CBFbeta/MYH11 transcripts associated with the inv(16) in presentation and follow-up samples from patients with AML.,364-9,"['Evans, P A', 'Short, M A', 'Jack, A S', 'Norfolk, D R', 'Child, J A', 'Shiach, C R', 'Davies, F', 'Tobal, K', 'Liu Yin, J A', 'Morgan, G J']","['Evans PA', 'Short MA', 'Jack AS', 'Norfolk DR', 'Child JA', 'Shiach CR', 'Davies F', 'Tobal K', 'Liu Yin JA', 'Morgan GJ']","['Molecular Oncology, The General Infirmary at Leeds, West Yorkshire, UK.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,IM,"['Acute Disease', 'Adult', 'Aged', 'Child', '*Chromosome Inversion', '*Chromosomes, Human, Pair 16', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid/*genetics/*metabolism', 'Male', 'Middle Aged', 'Oncogene Proteins, Fusion/*biosynthesis/*genetics', 'Polymerase Chain Reaction/methods', 'Transcription, Genetic']",,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400578 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):364-9. doi: 10.1038/sj.leu.2400578.,"We have developed a competitor-based RT-PCR technique which will detect and quantitate the CBFbeta/MYH11 transcripts associated with inv(16)(q22;p13) and have used it to study presentation and follow-up samples of acute myeloid leukaemia (AML). The levels of the leukaemia-specific transcripts are expressed as a ratio to a ubiquitously expressed mRNA species (Abl) which controls for RNA degradation. This technique has been applied to 75 consecutive patients presenting with either de novo AML or tMDS; 6/75 patients analysed were positive for the inv(16), all were confirmed by conventional cytogenetics. The inv(16) has a strong association with M4Eo, but we found only 2/6-positive patients to have this diagnosis (two patients with M2, one patient M1 and one patient had MDS). At presentation the levels of CBFbeta/MYH11 transcripts were 0.1-10/Abl transcript (mean 3.3/Abl transcript). Seventeen follow-up samples were available on 5/6 of these patients, and on two further patients in whom stored material was available. Following the first cycle of chemotherapy the level of transcripts was at least 10(-2) lower (0.1-10 x 10(-2)/abl transcript) than their presentation sample. Subsequent samples on these patients when in remission gave transcript levels in the range (1.0 x 10(-4) - 2 x 10(-3)/abl transcript), and three long-term follow-up samples were negative. We have developed a quantitative test which opens the possibility of predicting relapse by detecting changes in the numbers of leukaemia-specific transcripts.","['0 (CBFbeta-MYH11 fusion protein)', '0 (Oncogene Proteins, Fusion)']",,,,,,,,,,,
9067574,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,Frequent clonal loss of heterozygosity (LOH) in the chromosomal region 1p32 occurs in childhood T cell acute lymphoblastic leukemia (T-ALL) carrying rearrangements of the TAL1 gene.,359-63,"['Iolascon, A', 'Faienza, M F', 'Coppola, B', 'Moretti, A', 'Basso, G', 'Amaru, R', 'Vigano, G', 'Biondi, A']","['Iolascon A', 'Faienza MF', 'Coppola B', 'Moretti A', 'Basso G', 'Amaru R', 'Vigano G', 'Biondi A']","[""Dipartimento di Biomedicina dell'Eta Evolutiva Universita di Bari, Italy.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Adolescent', 'Alleles', 'Basic Helix-Loop-Helix Transcription Factors', 'Blotting, Southern', 'Child', 'Child, Preschool', 'Chromosome Mapping', '*Chromosomes, Human, Pair 1', 'DNA-Binding Proteins/*genetics', 'Female', '*Gene Deletion', 'Gene Rearrangement', 'Heterozygote', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*genetics', 'Male', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', '*Proto-Oncogene Proteins', 'T-Cell Acute Lymphocytic Leukemia Protein 1', '*Transcription Factors']",,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400596 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):359-63. doi: 10.1038/sj.leu.2400596.,"Deletions and chromosomal translocations involving the 1p32 region, are frequently observed in T cell acute lymphoblastic leukemia (T-ALL). One of the most common genetic changes is the breakage of the TAL1 gene, which was originally described to be involved in the T-ALL carrying the t(1;14)(p32;q11) translocation. Site-specific deletions in the TAL1 gene are reported to occur in 12-26% of T-ALL with apparently normal karyotype. In order to investigate the presence of other subkaryotypic abnormalities involving the 1p32 chromosomal region, where TAL1 gene is mapped, we assessed losses of heterozygosity (LOH) for microsatellite markers, in a series of 22 children with T-ALL. Microsatellite polymorphic markers flanking the TAL1 gene (D1S211, D1S197, D1S200 and D1S220) were analyzed to detect LOH. Eight patients displayed LOH for at least one of the markers, suggesting the existence of hot spot regions at the short arm of chromosome 1. Two out of 11 with no molecular evidences of TAL1 gene involvement, compared to six out of 11 in the group of TAL1 rearranged gene, showed LOH at 1p32. TAL1 gene rearrangements and clonal LOH may represent two independent events, but could be related to the same causes. For the first time this study provides evidences that LOH at 1p32 region, occurs in T-ALL in the same region known to be involved in chromosomal deletions and translocations. LOH mapping may help to define the location of a new putative tumor-suppressor gene implicated in the transformation and progression of children T-ALL.","['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (T-Cell Acute Lymphocytic Leukemia Protein 1)', '0 (Transcription Factors)', '135471-20-4 (TAL1 protein, human)']",,,,,,,,,,,
9067573,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,The leukemia-associated gene MDS1/EVI1 is a new type of GATA-binding transactivator.,352-8,"['Soderholm, J', 'Kobayashi, H', 'Mathieu, C', 'Rowley, J D', 'Nucifora, G']","['Soderholm J', 'Kobayashi H', 'Mathieu C', 'Rowley JD', 'Nucifora G']","['Department of Medicine, University of Chicago, IL, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,IM,"['3T3 Cells', 'Adult', 'Aged', 'Animals', 'COS Cells', 'Chromosomes, Human, Pair 3', 'DNA, Neoplasm/genetics/metabolism', 'DNA-Binding Proteins/*genetics/*metabolism', 'Erythroid-Specific DNA-Binding Factors', 'Female', 'GATA1 Transcription Factor', 'Gene Expression', 'Gene Rearrangement', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/*metabolism', 'MDS1 and EVI1 Complex Locus Protein', 'Male', 'Mice', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics/*metabolism', 'Promoter Regions, Genetic', '*Proto-Oncogenes', 'Repetitive Sequences, Nucleic Acid', 'Trans-Activators/*metabolism', 'Transcription Factors/genetics/metabolism', 'Zinc Fingers']",,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400584 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):352-8. doi: 10.1038/sj.leu.2400584.,"EVI1, located at chromosome band 3q26, encodes a 1051 amino acid zinc finger protein inappropriately expressed in the leukemic cells of 2-5% of acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS) patients. The activation of EVI1 often follows a chromosomal rearrangement involving band 3q26, and the two most frequent rearrangements are the t(3;3)(q21;q26) and the inv(3)(q21q26). EVI1 exists also as a longer protein that includes 188 additional amino acids at the N-terminus, named MDS1/EVI1. Both genes are expressed at very low levels in the normal bone marrow. The genomic region between the first coding exon of MDS1/EVI1 and the first coding exon of EVI1 is 150-300 kb. The majority of the chromosomal breakpoints at the 5' end of EVI1 in the t(3;3) resulting in EVI1 activation have been mapped in this region. As a consequence of the t(3;3), the cell would be unable to express MDS1/EVI1, although it would express EVI1. We have compared the transcriptional activity of MDS1/EVI1 and EVI1, and we show that MDS1/EVI1 is a strong activator of promoters containing the AGATA motif, whereas EVI1 is a repressor. In addition, whereas EVI1 represses activation by the GATA-1 erythroid factor, MDS1/EVI1 does not, and is itself repressed by EVI1. By gene fusion to the DNA-binding domain of Gal4, we further show that the activation properties of MDS1/EVI1 are restricted to an acidic segment encoded by the second and third exons in the 5' untranslated region of EVI1. We have also examined the relative expression of the two genes in normal bone marrow and in the bone marrow of leukemia patients with 3q26 rearrangements. Our results indicate that the rearrangements at 3q26 affect expression of EVI1, but not of MDS1/EVI1. We propose that rearrangements at 3q26 involving EVI1 could result in leukemia by a two-step process involving first transcriptional disruption of MDS1/EVI1, and next by inappropriately activating expression of EVI1.","['0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (GATA1 Transcription Factor)', '0 (GATA1 protein, human)', '0 (Gata1 protein, mouse)', '0 (MDS1 and EVI1 Complex Locus Protein)', '0 (MECOM protein, human)', '0 (Mecom protein, mouse)', '0 (Trans-Activators)', '0 (Transcription Factors)']","['CA 42557/CA/NCI NIH HHS/United States', 'CA 67189/CA/NCI NIH HHS/United States']",,,,,,,,,,
9067572,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,Increases of sICAM-1 during neutropenic pneumonia in leukemic patients.,346-51,"['Sudhoff, T', 'Wehmeier, A', 'Arning, M', 'Bauser, U', 'Schlomer, P', 'Aul, C', 'Schneider, W']","['Sudhoff T', 'Wehmeier A', 'Arning M', 'Bauser U', 'Schlomer P', 'Aul C', 'Schneider W']","['Department of Haematology and Oncology, Heinrich-Heine-University, Dusseldorf, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Clinical Trials as Topic', 'E-Selectin/blood', 'Female', 'Humans', 'Intercellular Adhesion Molecule-1/*blood', 'Leukemia, Myeloid, Acute/*blood/complications/drug therapy', 'Male', 'Middle Aged', 'Multicenter Studies as Topic', 'Neutropenia/*blood/*chemically induced/complications', 'Pneumonia/*blood/*etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/complications/drug therapy', 'Solubility', 'Vascular Cell Adhesion Molecule-1/blood']",,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400574 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):346-51. doi: 10.1038/sj.leu.2400574.,"Aggressive chemotherapy of leukemia increases the risk of severe infections during treatment-induced myelosuppression. However, the assessment of an infectious origin of neutropenic fever is often difficult. Leukocyte adhesion molecules such as E-selectin, intercellular adhesion molecule 1 (ICAM-1) and vascular cell adhesion molecule 1 (VCAM-1) are involved in early inflammatory response. We studied plasma concentrations of their soluble isoforms during 48 treatment courses with myeloablative chemotherapy in 32 leukemic patients. There were 35 febrile episodes during neutropenia. Pneumonia was clinically and microbiologically documented in 15 cases, six had proven infections but normal chest radiograph, and 14 were classified as fever of unknown origin. Longitudinal studies revealed a sustained increase of sICAM-1 plasma levels associated with pneumonia. Increase of sICAM-1 plasma levels distinguished patients with pneumonia from those with fever not related to pneumonia (positive predictive value 0.87, negative predictive value 0.94). Plasma levels of sICAM-1 were elevated in both, fungal and non-fungal pneumonia. Increases of sICAM-1 paralleled first radiographic evidence of pulmonary infiltrations in most cases. In contrast, no elevation of sVCAM-1 or sE-selectin was documented during febrile events prior to recovery of leukocyte counts.","['0 (E-Selectin)', '0 (Vascular Cell Adhesion Molecule-1)', '126547-89-5 (Intercellular Adhesion Molecule-1)']",,,,,,['Leukemia. 1997 Sep;11(9):1596-7. PMID: 9305621'],,,,,
9067571,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,Regulation of the cyclin-dependent kinase inhibitor p27 by degradation and phosphorylation.,342-5,"['Alessandrini, A', 'Chiaur, D S', 'Pagano, M']","['Alessandrini A', 'Chiaur DS', 'Pagano M']","['Renal Unit, Massachusetts General Hospital East, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Leukemia,Leukemia,8704895,IM,"['Animals', '*Cell Cycle Proteins', 'Cyclin-Dependent Kinase Inhibitor p27', 'Humans', 'Microtubule-Associated Proteins/*metabolism', 'Phosphorylation', 'Proteins', '*Tumor Suppressor Proteins']",63,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400581 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):342-5. doi: 10.1038/sj.leu.2400581.,"The cell cycle has been the object of extensive studies for the past years. A complex network of molecular interactions has been identified. In particular, a class of cell cycle inhibitory proteins has been cloned and characterized but details of the molecular mechanism of their action have yet to be resolved. These inhibitors regulate the progression through G1 and the G1/S transition via the inhibition of the cyclin-dependent kinase (Cdk) activity. The potential function of these negative regulators as tumor suppressors provides new insights into the link between the cell cycle and oncogenesis. p27 is a potent inhibitor of Cdks. In quiescent cells p27 accumulates without an increase in mRNA or protein synthesis. Cell cycle regulation of p27 levels, both in normal and transformed human cells, occurs via the ubiquitin-proteasome pathway and, compared to proliferating cells, quiescent cells contain a far lower amount of p27 ubiquitinating activity. The specific proteolysis of p27 is probably involved in the pathway of activation of Cdks. p27 is a phosphoprotein and its phosphorylation is cell cycle regulated. Often phosphorylation is a signal for ubiquitination. p27 is phosphorylated exclusively on serine by Erk1 and almost exclusively on threonine by Cdk1 in in vitro experiments. This finding raises the question of whether and how phosphorylation by these kinases is involved in the process of p27 proteolysis.","['0 (Cell Cycle Proteins)', '0 (Microtubule-Associated Proteins)', '0 (Proteins)', '0 (Tumor Suppressor Proteins)', '147604-94-2 (Cyclin-Dependent Kinase Inhibitor p27)']","['CA42580-11/CA/NCI NIH HHS/United States', 'CA66229-02/CA/NCI NIH HHS/United States']",,,,,,,,,,
9067570,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,Hematopoietic growth factors in acute leukemia.,328-41,"['Rowe, J M', 'Liesveld, J L']","['Rowe JM', 'Liesveld JL']","['Department of Medicine, University of Rochester School of Medicine and Dentistry, NY 14642, USA.']",['eng'],"['Journal Article', 'Review']",England,Leukemia,Leukemia,8704895,IM,"['Clinical Trials as Topic', 'Granulocyte Colony-Stimulating Factor/therapeutic use', 'Granulocyte-Macrophage Colony-Stimulating Factor/therapeutic use', 'Hematopoietic Cell Growth Factors/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy']",135,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400592 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):328-41. doi: 10.1038/sj.leu.2400592.,"The hematopoietic growth factors are glycoproteins that can be produced by recombinant DNA technology. They have many potential clinical uses in acute leukemia; several areas have been explored extensively and much data are available from clinical trials. Other areas are of potential interest, but have a paucity of clinical information. The past decade has seen major strides in the development and clinical application of cytokines in acute leukemia and it is expected that this trend will continue over the next decade as further areas are explored and results of clinical trials mature to enable us to determine the precise role of cytokines in the clinical setting.","['0 (Hematopoietic Cell Growth Factors)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,,,,,['Leukemia. 1997 Dec;11(12):2210-1. PMID: 9447843'],,,,,
9067569,NLM,MEDLINE,19970404,20190914,0887-6924 (Print) 0887-6924 (Linking),11,3,1997 Mar,Application of myeloid growth factors in the treatment of acute myeloid leukemia.,315-27,"['Terpstra, W', 'Lowenberg, B']","['Terpstra W', 'Lowenberg B']","['Institute of Hematology, Erasmus University, Rotterdam, The Netherlands.']",['eng'],"['Journal Article', 'Review']",England,Leukemia,Leukemia,8704895,IM,"['Acute Disease', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*therapeutic use', 'Clinical Trials as Topic', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Middle Aged']",136,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1038/sj.leu.2400561 [doi]'],ppublish,Leukemia. 1997 Mar;11(3):315-27. doi: 10.1038/sj.leu.2400561.,The current interest in the clinical use of the hematopoietic growth factors (HGF) in the treatment of patients with acute myeloid leukemia (AML) relates to the promise of reducing morbidity and improving survival through mitigating the complications of cytotoxic therapy. Another possible mode of employment of HGFs is derived from the ability of these peptides to directly stimulate leukemic cells and potentially enhance the efficacy of antileukemic therapy. Here we discuss the experimental basis and the rationale of the application of HGFs in AML and review the accumulating results from clinical studies.,"['0 (Antineoplastic Agents)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,,,,,['Leukemia. 1997 Dec;11(12):2210-1. PMID: 9447843'],,,,,
9067520,NLM,MEDLINE,19970404,20190512,0009-9104 (Print) 0009-9104 (Linking),107,3,1997 Mar,Syncytial cell formation in vivo by type C retroviral particles in the systemic lupus erythematosus (SLE) lung.,474-9,"['Tamura, N', 'Sekigawa, I', 'Hashimoto, H', 'Yamamoto, N', 'Kira, S']","['Tamura N', 'Sekigawa I', 'Hashimoto H', 'Yamamoto N', 'Kira S']","['Department of Respiratory Medicine, Juntendo University School of Medicine, Bunkyo-ku, Tokyo, Japan.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,IM,"['Adult', 'Bronchoalveolar Lavage Fluid/virology', 'Female', 'Gammaretrovirus/*physiology', 'Giant Cells/*pathology/*virology', 'Humans', 'Leukemia, Promyelocytic, Acute', 'Lipopolysaccharides/pharmacology', 'Lung/*pathology/*virology', 'Lung Diseases, Interstitial/pathology/virology', 'Lupus Erythematosus, Systemic/*pathology/*virology', 'Tumor Cells, Cultured']",,1997/03/01 00:00,1997/03/01 00:01,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '1997/03/01 00:01 [medline]', '1997/03/01 00:00 [entrez]']",['10.1046/j.1365-2249.1997.3201212.x [doi]'],ppublish,Clin Exp Immunol. 1997 Mar;107(3):474-9. doi: 10.1046/j.1365-2249.1997.3201212.x.,"Significant numbers of syncytial cells were observed in the bronchoalveolar lavage fluid (BALF) of a 42-year-old patient who had SLE with interstitial pneumonia. Electron microscopic study of the BALF cells and positive reverse transcriptase activity in the supernatant of the cultured cells revealed unknown retroviral particles in the BALF cells. No antibodies to known human retroviruses or proviral sequences were detected. Type C retroviral particles and positive reverse transcriptase activity were also observed in co-cultured U937 cells. To evaluate the pathogenic role of unknown type C retroviral particles, screening for antibodies to this retroviral particle was performed by immunofluorescence in 26 patients with idiopathic pulmonary fibrosis, 17 patients with SLE, 22 patients with lung cancer, and 58 healthy volunteers. Serum antibody to this putative type C retrovirus was detected in 24% of SLE patients, 27% of idiopathic pulmonary fibrosis patients, none of the lung cancer patients and 2% of healthy volunteers. Although no direct evidence of this virus as the pathogen for SLE could be demonstrated, a possible role in the development of SLE and interstitial pneumonia might be suggested.",['0 (Lipopolysaccharides)'],,,,,,,PMC1904598,,,,
9067496,NLM,MEDLINE,19970408,20190822,0361-8609 (Print) 0361-8609 (Linking),54,3,1997 Mar,Expression profile of MDM-2 proteins in chronic lymphocytic leukemia and their clinical relevance.,189-95,"['Haidar, M A', 'El-Hajj, H', 'Bueso-Ramos, C E', 'Manshouri, T', 'Glassman, A', 'Keating, M J', 'Maher, A']","['Haidar MA', 'El-Hajj H', 'Bueso-Ramos CE', 'Manshouri T', 'Glassman A', 'Keating MJ', 'Maher A']","['Hematopathology Program, University of Texas M.D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Amino Acid Sequence', '*Biomarkers, Tumor', 'Humans', 'Immunoblotting', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism/physiopathology', 'Molecular Sequence Data', 'Neoplasm Proteins/analysis/biosynthesis', '*Nuclear Proteins', 'Prognosis', 'Proto-Oncogene Proteins/analysis/*biosynthesis', 'Proto-Oncogene Proteins c-mdm2']",,1997/03/01 00:00,2000/06/20 09:00,['1997/03/01 00:00'],"['1997/03/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1997/03/01 00:00 [entrez]']","['10.1002/(SICI)1096-8652(199703)54:3<189::AID-AJH3>3.0.CO;2-S [pii]', '10.1002/(sici)1096-8652(199703)54:3<189::aid-ajh3>3.0.co;2-s [doi]']",ppublish,Am J Hematol. 1997 Mar;54(3):189-95. doi: 10.1002/(sici)1096-8652(199703)54:3<189::aid-ajh3>3.0.co;2-s.,"The MDM-2 oncoprotein exists in an autoregulatory feedback loop with the tumor suppressor protein p53. Therefore, intracellular levels of these two proteins may play important roles in cell proliferation and tumorigenesis. Several MDM-2 proteins (Mr 35-100 Kd) have been demonstrated in human cell lines. We report here the expression profile of MDM-2 and p53 proteins in 87 cases of chronic lymphocytic leukemia (CLL) as detected by immunoblot analysis. The MDM-2 proteins (p57, p59, p67, and p90) were found to be overexpressed in different combinations in 56/87 (64%) of cases of CLL when compared with normal volunteers. The MDM-2 protein p57 was predominantly overexpressed 46/87 (53%) in CLL. In 22/87 (25%) cases of CLL p57 was overexpressed alone, and in 24/87 (28%) cases it was co-overexpressed with other MDM-2 proteins p59/p67/p90. Six of the 87 cases of CLL showed overexpression of the tumor suppressor protein p53 by immunoblot analysis, and five of those cases also co-overexpress MDM-2 protein p57. No statistically significant correlation of MDM-2 protein overexpression to clinical disease stage and history of previous chemotherapy of CLL patients has been found. However, considering the oncogenic potential of overexpressed MDM-2 proteins, a possible role of MDM-2 proteins in the promotion of CLL disease remains to be evaluated.","['0 (Biomarkers, Tumor)', '0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Proto-Oncogene Proteins)', 'EC 2.3.2.27 (MDM2 protein, human)', 'EC 2.3.2.27 (Proto-Oncogene Proteins c-mdm2)']",['HL-02229/HL/NHLBI NIH HHS/United States'],,,,,,,,,,
9067424,NLM,MEDLINE,19970408,20190702,0027-5107 (Print) 0027-5107 (Linking),374,1,1997 Mar 4,Moloney murine leukemia reverse transcriptase suspect in the production of multiple misincorporations during hprt cDNA synthesis.,145-8,"['Curry, J', 'Glickman, B W']","['Curry J', 'Glickman BW']","['Department of Biology, University of Victoria, British Columbia, Canada. jcurry@uvic.ca']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Mutat Res,Mutation research,0400763,IM,"['Animals', '*DNA Replication', 'DNA, Complementary/biosynthesis', 'Hypoxanthine Phosphoribosyltransferase/*genetics', 'In Vitro Techniques', 'Mice', 'Moloney murine leukemia virus/*enzymology', 'Mutagenesis', 'Nucleic Acid Heteroduplexes', 'Polymerase Chain Reaction', 'RNA-Directed DNA Polymerase/*metabolism']",,1997/03/04 00:00,1997/03/04 00:01,['1997/03/04 00:00'],"['1997/03/04 00:00 [pubmed]', '1997/03/04 00:01 [medline]', '1997/03/04 00:00 [entrez]']","['S0027-5107(96)00251-5 [pii]', '10.1016/s0027-5107(96)00251-5 [doi]']",ppublish,Mutat Res. 1997 Mar 4;374(1):145-8. doi: 10.1016/s0027-5107(96)00251-5.,"Our laboratory has characterized several hundred mutant hprt cDNAs produced using Moloney murine leukemia reverse transcriptase to convert mRNA to cDNA. During the characterization of these mutants we have detected six T-lymphocyte mutants that demonstrate multiple G:C --> A:T transitions along the hprt cDNA coding sequence. Attempts to repeat the mRNA to cDNA conversion and subsequent characterization have demonstrated that the multiple transitions are likely artifacts. We suggest that reverse transcriptase is directly responsible for these multiple base substitutions and as such, that multiple mutations be viewed as suspect requiring confirmation at the genomic level.","['0 (DNA, Complementary)', '0 (Nucleic Acid Heteroduplexes)', 'EC 2.4.2.8 (Hypoxanthine Phosphoribosyltransferase)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",,,,,,,,,,,
