PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,IP,AB,GS,PMC,CON,CIN,EIN,SI,TT,CRF,OID,OTO,OT,GN,OAB,OABL
8090030,NLM,MEDLINE,19941018,20131121,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Recognition of the ALL-specific BCR-ABL junction in P190bcr-abl by monoclonal antibody ER-FP1.,1503-9,"['van Denderen, J', 'ten Hacken, P', 'Berendes, P', 'Zegers, N', 'Boersma, W', 'Grosveld, G', 'van Ewijk, W']","['van Denderen J', 'ten Hacken P', 'Berendes P', 'Zegers N', 'Boersma W', 'Grosveld G', 'van Ewijk W']","['Department of Immunology, Erasmus University, Rotterdam, The Netherlands.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antibodies, Monoclonal)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Antibodies, Monoclonal/immunology', 'Antibody Specificity', 'Chromosomes, Human, Pair 22', 'Chromosomes, Human, Pair 9', 'Fluorescent Antibody Technique', 'Fusion Proteins, bcr-abl/*genetics/immunology', 'Genes, abl', 'Humans', 'Male', 'Middle Aged', '*Philadelphia Chromosome', 'Precipitin Tests', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*genetics/metabolism', 'Protein-Tyrosine Kinases/immunology', 'Translocation, Genetic']",,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1503-9.,,9,"The pH chromosome, resulting from the t(9;22) translocation, is the most frequently observed cytogenetic aberration in acute lymphoblastic leukemia (ALL). Two genes, bcr and abl, are involved in this translocation. As a consequence, parts of the bcr and abl genes are fused, resulting in chimeric bcr-abl genes encoding chimeric BCR-ABL proteins. Three bcr-abl genes and proteins have been identified: e1-a2 P190bcr-abl, b2-a2 P210bcr-abl, and b3-a2 P210bcr-abl. Since these chimeric proteins only occur in Ph-chromosome-positive leukemic cells, they are by definition tumor-specific markers. Ph-chromosome-positive ALL is correlated with a bad prognosis, therefore the detection of chimeric BCR-ABL proteins is of prime importance in ALL diagnosis. In the present study, we report on the generation of a monoclonal antibody termed ER-FP1, raised against the tumor-specific e1-a2 BCR-ABL junction in P190bcr-abl. We show that ER-FP1 reacts highly specifically with e1-a2 P190bcr-abl in different assays. The reactivity of ER-FP1 with e1-a2 P190bcr-abl in soluble form was analyzed in an immunoprecipitation assay; specificity was confirmed by peptide inhibition studies. Binding of ER-FP1 to e1-a2 P190bcr-abl at the single cell level was detected by using immunofluorescence techniques. Immunological double-staining experiments using ER-FP1 and a monoclonal antibody recognizing all BCR-ABL proteins confirmed the specificity of ER-FP1 for the e1-a2 fusion point.",,,,,,,,,,,,,,
8090029,NLM,MEDLINE,19941018,20171116,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Topoisomerase II alpha expression in acute myeloid leukaemia and its relationship to clinical outcome.,1498-502,"['McKenna, S L', 'West, R R', 'Whittaker, J A', 'Padua, R A', 'Holmes, J A']","['McKenna SL', 'West RR', 'Whittaker JA', 'Padua RA', 'Holmes JA']","['Department of Haematology, University of Wales College of Medicine, Heath Park, Cardiff, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Isoenzymes)', '0 (RNA, Messenger)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antigens, Neoplasm', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', '*DNA Topoisomerases, Type II/genetics/*metabolism', 'DNA-Binding Proteins', 'Drug Resistance', 'Female', 'Humans', 'Isoenzymes/genetics/*metabolism', 'Leukemia, Myeloid, Acute/drug therapy/*enzymology', 'Male', 'Middle Aged', 'Prognosis', 'RNA, Messenger/metabolism', 'Remission Induction']",,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1498-502.,,9,"The treatment of acute myeloid leukaemia (AML) is often complicated by resistance to chemotherapeutic drugs. Many of the most effective drugs used to treat haematological malignancies target the nuclear enzyme topoisomerase II. Resistance to these drugs in vitro has been associated with quantitative and qualitative changes in the enzyme. In this study, we have investigated topoisomerase II mRNA expression in leukaemic blasts from 23 AML patients. Expression levels ranged from 1-47% relative to the haemopoietic cell line HL60 in 16 evaluable patients. Thirteen of 16 patients achieved complete remission (CR). We have therefore chosen ease of entry into CR as the most sensitive clinical correlate. Decreased topoisomerase II mRNA expression in vitro results in drug resistance. The clinical relevance of reduced expression is not known. All cases of AML and de novo AML have been studied separately. We are unable to identify a correlation between topoisomerase II mRNA levels and ease of entry into CR in either of these groups. Taking these findings into account, group size calculations have been undertaken and indicate that a multi-centre study of this question is warranted.",,,,,,,,,,,,,,
8090028,NLM,MEDLINE,19941018,20131121,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Raised intracellular glutathione levels correlate with in vitro resistance to cytotoxic drugs in leukaemic cells from patients with acute lymphoblastic leukemia.,1487-91,"['Maung, Z T', 'Hogarth, L', 'Reid, M M', 'Proctor, S J', 'Hamilton, P J', 'Hall, A G']","['Maung ZT', 'Hogarth L', 'Reid MM', 'Proctor SJ', 'Hamilton PJ', 'Hall AG']","['Leukaemia Research Fund Laboratory, University of Newcastle-upon-Tyne, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', 'GAN16C9B8O (Glutathione)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*pharmacology', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Child, Preschool', 'Drug Resistance', 'Drug Screening Assays, Antitumor', 'Female', 'Glutathione/*metabolism', 'Humans', 'Infant', 'Lymphocytes/drug effects/metabolism/pathology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*metabolism/pathology', 'Recurrence', 'Remission Induction', 'Tumor Cells, Cultured/drug effects/metabolism/pathology']",,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1487-91.,,9,"Lymphoblasts were separated from the peripheral blood or bone marrow of 19 children (age 1-15, median 4 years) and 13 adults (age 18-59, median 47 years) with acute lymphoblastic leukaemia (ALL). Twenty-one samples were examined at presentation (16 from children and five from adults) and 13 at relapse (three children and ten adults). Glutathione (GSH) levels in leukaemic blasts were compared with in vitro sensitivity to a variety of cytotoxic drugs assessed using 3-(4-5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide (MTT) as an indicator of cell viability. There was a statistically significant positive correlation between GSH levels and in vitro sensitivity to daunorubicin (Spearman's rank correlation coefficient rs = 0.38, p < 0.04), melphalan (rs = 0.39, p < 0.04) and prednisolone (rs = 0.48, p < 0.01), but not mitozantrone, etoposide or 6-thioguanine. There was no statistically significant difference in median GSH levels between blasts from children and adults or between samples taken at presentation or relapse. The sample median GSH levels in blasts from patients who responded to therapy (n = 21) and those who did not (n = 7) were 1.05 fmol/cell (97.3% confidence interval (CI) 0.78-1.52) and 2.66 fmol/cell (98.4% CI 0.53-5) respectively, and this difference was statistically significant (p < 0.02, Mann-Whitney U test). In two patients for whom paired samples were available, GSH levels in blasts on relapse were greater than 2-fold higher than on presentation. These results provide evidence that elevation of GSH in leukaemic blasts may be associated with resistance to drugs used in the treatment of children and adults with ALL.",,,,,,,,,,,,,,
8090027,NLM,MEDLINE,19941018,20171116,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Poor outcome of intensive chemotherapy for adult acute lymphoblastic leukemia: a possible dose effect.,1469-73,"['Chiu, E K', 'Chan, L C', 'Liang, R', 'Lie, A', 'Kwong, Y L', 'Todd, D', 'Chan, T K']","['Chiu EK', 'Chan LC', 'Liang R', 'Lie A', 'Kwong YL', 'Todd D', 'Chan TK']","['Department of Medicine, University of Hong Kong, Queen Mary Hospital.']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', '957E6438QA (Teniposide)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'Q573I9DVLP (Leucovorin)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Female', 'Humans', 'Leucovorin/administration & dosage', 'Male', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prednisone/administration & dosage', 'Prognosis', 'Recurrence', 'Remission Induction', 'Retrospective Studies', 'Survival Rate', 'Teniposide/administration & dosage', 'Vincristine/administration & dosage']",,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1469-73.,,9,"Fifty consecutive adult patients with acute lymphoblastic leukemia (ALL) were treated with an intensive cyclical chemotherapy and the mean received dose of individual cytotoxic drug was retrospectively studied. The median age was 28 years. Twenty-one (43%) had white blood cell (WBC) count over 30 x 10(9)/l. Of the 26 patients with successful cytogenetic studies, ten (28%) had unfavorable clonal chromosomal abnormalities (four Philadelphia chromosome, six others). A high complete remission (CR) rate (86%) was achieved. This was associated with delivery of 100% of the planned dosage of vincristine, prednisone, and daunorubicin at induction. Dose reduction of asparaginase, the fourth drug in the induction protocol, was recorded in 20 (40%) patients. The CR rate of these patients was not adversely affected. Dose reduction was recorded during consolidation (38 of 43 remitters) and maintenance (18 of 20 remitters) as a result of treatment toxicity. The mean received dose of teniposide, Ara-C, asparaginase, mercaptopurine, and methotrexate was 73% (SD 7%), 73% (SD 7%), 62% (SD 41%), 65% (SD 15%) and 73% (SD 17%) of the planned dosage, respectively. The 5-year overall survival and leukemia-free survival (LFS) were 11% (95% CI: 0-27%) and 13% (95% CI: 0-26%), respectively. Even standard-risk patients had 4-year LFS of only 26% (95% CI: 0-57%). Among 36 remitters not withdrawn from consolidation, there were 29 treatment failures after a median follow-up of 42 months; 25 (86%) of these were leukemia relapse, three (10%) were toxic death during consolidation, and one patient (4%) died from therapy-related myelodysplastic syndrome. We postulate inadequate drug delivery during postremission therapy contributed to the high relapse rate in the whole group as well as the standard-risk patients.",,,,['Leukemia. 1995 May;9(5):933-4. PMID: 7769860'],,,,,,,,,,
8090026,NLM,MEDLINE,19941018,20131121,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Effect of granulocyte-macrophage colony-stimulating factor on the metabolism of arabinosylcytosine triphosphate in blasts during therapy of patients with chronic myelogenous leukemia.,1463-8,"['Gandhi, V', 'Du, M', 'Kantarjian, H M', 'Plunkett, W']","['Gandhi V', 'Du M', 'Kantarjian HM', 'Plunkett W']","['Department of Clinical Investigation, University of Texas M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (Deoxycytosine Nucleotides)', '04079A1RDZ (Cytarabine)', '13191-15-6 (Arabinofuranosylcytosine Triphosphate)', ""2056-98-6 (2'-deoxycytidine 5'-triphosphate)"", '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Arabinofuranosylcytosine Triphosphate/*pharmacokinetics', 'Blast Crisis/*metabolism/pathology/therapy', 'Cytarabine/*therapeutic use', 'Deoxycytosine Nucleotides/metabolism', 'Drug Therapy, Combination', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism/pathology/therapy', 'Tumor Cells, Cultured/metabolism']",,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1463-8.,"['CA32839/CA/NCI NIH HHS/United States', 'CA55164/CA/NCI NIH HHS/United States', 'CA57629/CA/NCI NIH HHS/United States']",9,"Because in vitro studies have indicated that granulocyte-macrophage colony-stimulating factor (GM-CSF) stimulates arabinosylcytosine (ara-C) metabolism in leukemia blasts, we analyzed the pharmacokinetics of ara-C triphosphate (ara-CTP) in the blasts of patients with chronic myelogenous leukemia who were undergoing therapy with GM-CSF and ara-C. Patients received a 2-h infusion of 1.0 g/m2 ara-C followed by daily infusions of GM-CSF (125 micrograms/m2/day i.v. over 6 h) for 2-4 days. After the last GM-CSF infusion, a second, identical dose of ara-C was administered. The cellular pharmacokinetics of ara-CTP in circulating blasts were determined during and after each ara-C dose, and the area under the accumulation and elimination curve (AUC) measured over 12 h was compared before and after GM-CSF. Ara-CTP accumulation peaked within 1 h after the end of each ara-C infusion. Comparison of the AUC of ara-CTP before and after GM-CSF administration suggested that in the blasts of three of four patients, GM-CSF treatment decreased the ara-CTP AUC; the AUC values were altered only slightly in a fourth patient. Studies of these patients' blasts incubated in vitro with ara-C before and after clinical infusion of GM-CSF revealed similar ara-CTP accumulation patterns. Together, these studies suggest that 2-4 days of GM-CSF administration does not increase the accumulation of ara-CTP in the circulating blasts from patients in the blastic phase of chronic myelogenous leukemia.",,,,,,,,,,,,,,
8090025,NLM,MEDLINE,19941018,20130304,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Treatment with very low-dose GM-CSF in myelodysplastic syndromes with neutropenia. A report on 28 cases.,1458-62,"['Rose, C', 'Wattel, E', 'Bastion, Y', 'Berger, E', 'Bauters, F', 'Coiffier, B', 'Fenaux, P']","['Rose C', 'Wattel E', 'Bastion Y', 'Berger E', 'Bauters F', 'Coiffier B', 'Fenaux P']","['Service des Maladies du Sang, Centre Hospitalier Universitaire, Lille, France.']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase I', 'Clinical Trial, Phase II', 'Journal Article']",England,Leukemia,Leukemia,8704895,['83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)'],IM,"['Aged', 'Aged, 80 and over', 'Erythema/etiology', 'Female', 'Follow-Up Studies', 'Granulocyte-Macrophage Colony-Stimulating Factor/*administration & dosage/adverse effects/therapeutic use', 'Humans', 'Leukocyte Count', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*complications', 'Neutropenia/etiology/*therapy', 'Neutrophils', 'Prognosis']",,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1458-62.,,9,"We treated 28 cases of myelodysplastic syndrome (MDS) with neutropenia by very low-dose GM-CSF (0.25 or 0.5 micrograms/kg/day). Median age was 69 years. Nine patients had RA, 18 had RAEB, and one had RARS. Eighteen patients had absolute neutrophil counts (ANC) < or = 0.5 x 10(9)/l, and ten had ANC between 0.5 and 1.0 x 10(9)/l. Ten patients had experienced > or = WHO grade II infection(s) during the preceding 3 months. Eighteen patients (64%) had a response (i.e. ANC at least doubled and > or = 1 x 10(9)/l after 1 month), including 4/8 patients treated at 0.25 mu/kg/day, and 14/20 treated at 0.5 microgram/kg/day (difference not significant). Two of the non-responders obtained a response after dose escalation to 0.5 and 1 microgram/kg/day, respectively. The only prognostic factor of response was FAB subtype (10/11 responses in patients with RA or RARS, vs. 8/17 in RAEB, p = 0.04). Patients with ANC < or = 0.5 x 10(9)/l had a 55% (10/18) response rate, which was not significantly lower than the 80% (8/10) response rate observed in patients with ANC > 0.5 x 10(9)/l. Side-effects were generally moderate, except in three patients where the drug had to be discontinued, including the only patient who progressed to AML. In responders, GM-CSF was continued during 2 to 14 months (median 6), and the response persisted in all but one case, who relapsed after 60 days of treatment. During follow-up, only one responder had > or = WHO grade II infections, as compared to five of the non-responders (of whom two had fatal infectious episodes). In conclusion, very low-dose GM-CSF can durably increase ANC in about two thirds of MDS with neutropenia. Although it remains to be shown in randomized trials that it can reduce the incidence of infections and improve survival in MDS, very low-dose GM-CSF may be an interesting approach in MDS, associated to reasonable cost.",,,,,,,,,,,,,,
8090024,NLM,MEDLINE,19941018,20130304,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Fluorescence in situ hybridization in leukemias: 'the FISH are spawning!'.,1447-52,"['Bentz, M', 'Dohner, H', 'Cabot, G', 'Lichter, P']","['Bentz M', 'Dohner H', 'Cabot G', 'Lichter P']","['Deutsches Krebsforschungszentrum, Abt. Organisation komplexer Genome, Heidelberg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Leukemia,Leukemia,8704895,,IM,"['Chromosome Aberrations', 'Humans', '*In Situ Hybridization, Fluorescence', 'Leukemia/*genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics', 'Leukemia, Myeloid, Acute/genetics', 'Myelodysplastic Syndromes/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics']",89,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1447-52.,,9,"Fluorescence in situ hybridization (FISH) is a powerful tool for the analysis of chromosomal abnormalities in metaphase and interphase cells. Interphase cytogenetics has become an important technique for the analysis of leukemias, since in many cases it may be difficult to obtain metaphase spreads representative for the malignant clone(s). Using suitable DNA probes, leukemia samples can be screened for the most relevant chromosomal abnormalities. Alternatively, chromosomal imbalances can be identified by applying the new approach of comparative genomic hybridization. In this review, recent advances in the analysis of leukemia made possible by FISH are presented and future prospects of molecular cytogenetics are discussed.",,,,,,,,,,,,,,
8090023,NLM,MEDLINE,19941018,20130304,0887-6924 (Print) 0887-6924 (Linking),8,1994 Sep,Acute promyelocytic leukemia: morphological aspects.,1441-6,"['Castoldi, G L', 'Liso, V', 'Specchia, G', 'Tomasi, P']","['Castoldi GL', 'Liso V', 'Specchia G', 'Tomasi P']","['Institute of Hematology, University of Ferrara, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Leukemia,Leukemia,8704895,"['EC 1.11.1.7 (Peroxidase)', 'EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.1.- (chloroacetate esterase)']",IM,"['Basophils/pathology', 'Bone Marrow/pathology', 'Carboxylic Ester Hydrolases/analysis', 'Cytoplasm/pathology/ultrastructure', 'Cytoplasmic Granules/pathology/ultrastructure', 'Granulocytes/enzymology/pathology/ultrastructure', 'Histocytochemistry', 'Humans', 'Leukemia, Promyelocytic, Acute/enzymology/*pathology', 'Peroxidase/analysis']",44,1994/09/01 00:00,1994/09/01 00:01,['1994/09/01 00:00'],"['1994/09/01 00:00 [pubmed]', '1994/09/01 00:01 [medline]', '1994/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1994 Sep;8(9):1441-6.,,9,"Among AML with maturation, acute promyelocytic leukemia (APL) represents a distinct subtype which accounts for 5-10% of all the FAB variants. APL may be recognized by different cytological pictures: (i) Hypergranular APL, the most typical form, showing promyelocytes with cytoplasm packed with purple granules. Most of the primary granules may be incorporated into Auer rods, sometimes stacked in bundles of faggots. (ii) Microgranular APL, characterized by fine dustlike granulation in the cytoplasm; some promyelocytes may even appear agranular by light microscopy. Most of the cells show bilobed or folded nuclei, a picture which may simulate that of acute myelomonocytic leukemia. (iii) Hyperbasophilic form, characterized by cells with high N/C ratio, and strongly basophilic cytoplasm with either sparse or no granules. Conspicuous cytoplasmatic budding is usually present, recalling the feature of micromegakaryocytes. Strong positivity for myeloperoxidase, Sudan black B and chloroacetate esterase represents the typical cytochemical pattern of M3; usually a weaker reactivity may be observed in M3v. However, sometimes a degree of cytochemical heterogeneity of APL cells may be observed, as suggested by cases displaying a strong sodium fluoride-sensitive non-specific esterase reaction. Recently a distinct entity associated with basophilic differentiation has been described. Differential diagnosis of this form with M2-baso subtype and with cases of MDS or AML with basophilia (M2, M4 with t(6;9) translocation) may be obtained by the use of cytochemistry, cytogenetic investigations, and electron microscopy.",,,,,,,,,,,,,,
8089947,NLM,MEDLINE,19941018,20071115,0301-1542 (Print) 0301-1542 (Linking),32,1994 Jun,[Pulmonary nocardiosis concurrent with Pneumocystis carinii pneumonia in a case of smoldering adult T-cell leukemia].,581-6,"['Owan, I', 'Sugama, I', 'Nakamoto, A', 'Kusano, N', 'Fukuhara, H', 'Kaneshima, H', 'Saito, A']","['Owan I', 'Sugama I', 'Nakamoto A', 'Kusano N', 'Fukuhara H', 'Kaneshima H', 'Saito A']","['First Department of Internal Medicine, Faculty of Medicine, University of Ryukyus, Okinawa, Japan.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Nihon Kyobu Shikkan Gakkai Zasshi,Nihon Kyobu Shikkan Gakkai zasshi,7505737,,IM,"['Aged', 'Humans', 'Leukemia, Prolymphocytic, T-Cell/*complications', 'Lung Diseases/*complications', 'Male', 'Nocardia Infections/*complications', 'Nocardia asteroides', 'Opportunistic Infections/complications', 'Pneumonia, Pneumocystis/*complications']",,1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",,ppublish,Nihon Kyobu Shikkan Gakkai Zasshi. 1994 Jun;32(6):581-6.,,6,"A 76-year-old man, with concomitant pulmonary nocardiosis and Pneumocystis carinii (PC) pneumonia, is described. He suffered from smoldering type adult T-cell leukemia and strongyloidiasis. Chest X-rays showed bilateral infiltrative shadows. Nocardia asteroides was isolated from sputum and bronchofiberscopic aspirates. PC was not detected, however, despite the chest X-ray raising the suspicion of PC pneumonia. Since PC antigen was detected by immunoelectrophoresis in the absence of other clinical or histologic data, we diagnosed a latent PC infection. He improved with the use of cefuzonam and ST compounds, but experienced recurrence five months after discharge. N. asteroides and PC were detected from sputum on the second admission. As multiple concurrent infections with opportunistic organisms are not uncommon in immunocompromised hosts, we must maintain a high index of suspicion for opportunistic infection in cases such as this one.",,,,,,,,,,,,,,
8089911,NLM,MEDLINE,19941014,20080212,0030-9982 (Print) 0030-9982 (Linking),44,1994 Jun,Hairy cell leukaemia--diagnosis and current treatment.,149-55,"['Shamsi, T S', 'Hashmi, K Z']","['Shamsi TS', 'Hashmi KZ']","[""Department of Haematology, United Medical and Dental School, Guy's Hospital, London.""]",['eng'],"['Journal Article', 'Review']",Pakistan,J Pak Med Assoc,JPMA. The Journal of the Pakistan Medical Association,7501162,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Combined Modality Therapy', 'Female', 'Humans', 'Leukemia, Hairy Cell/*diagnosis/pathology/*therapy', 'Male', 'Middle Aged']",70,1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['4774 [pii]'],ppublish,J Pak Med Assoc. 1994 Jun;44(6):149-55.,,6,,,,,,,,,,,,,,,
8089909,NLM,MEDLINE,19941014,20080212,0030-9982 (Print) 0030-9982 (Linking),44,1994 Jun,A morphological pattern of 234 cases of leukemias.,145-8,"['Hassan, K', 'Ikram, N', 'Shah, S H']","['Hassan K', 'Ikram N', 'Shah SH']","['Department of Pathology, Rawalpindi Medical College.']",['eng'],['Journal Article'],Pakistan,J Pak Med Assoc,JPMA. The Journal of the Pakistan Medical Association,7501162,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Chronic Disease', 'Female', 'Humans', 'Infant', 'Leukemia/*epidemiology/*pathology', 'Leukemia, Lymphocytic, Chronic, B-Cell/epidemiology/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/epidemiology/pathology', 'Leukemia, Myeloid/epidemiology/pathology', 'Leukemia, Myeloid, Acute/epidemiology/pathology', 'Leukemia, Myelomonocytic, Acute/epidemiology/pathology', 'Male', 'Middle Aged', 'Pakistan/epidemiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/pathology']",,1994/06/01 00:00,1994/06/01 00:01,['1994/06/01 00:00'],"['1994/06/01 00:00 [pubmed]', '1994/06/01 00:01 [medline]', '1994/06/01 00:00 [entrez]']",['4772 [pii]'],ppublish,J Pak Med Assoc. 1994 Jun;44(6):145-8.,,6,"Morphological pattern of 234 consecutive cases of various types of leukemias is presented. Acute leukemias (62.8%) were commoner than chronic (37.2%). Amongst acute leukemias, myeloid leukemias (AML) were more frequent as compared to lymphoblastic (ALL). AML:ALL ratio was 2.57:1 in adults and 1:3 in children. Amongst AML cases, M4 was the commonest, followed by M2, M1, M3 and M4 and M6 and M7 respectively. In ALL patients, L1 was the commonest, followed by L2 and L3 respectively. Amongst chronic leukemias, myelocytic leukemia (CML) was more common than lymphocytic leukemia (CLL) with a CML:CLL ratio of 3.1:1. In a total of 60 CML cases, two had juvenile CML, four were between 10 and 15 years of age and the remaining 54 were adults. Hairy cell leukemia (2 cases) and lymphoma/leukemia syndrome (5 cases) were uncommon.",,,,,,,,,,,,,,
