PMID,OWN,STAT,DCOM,LR,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,IS,TT,AID,PMC,PS,FPS,OID,OAB,OABL,OTO,OT,GR,RPI
388169,NLM,MEDLINE,19800124,20081121,74,34,1979 Aug 24,[Clinical significance of lymphocyte populations].,1199-206,,"['Flad, H D']",['Flad HD'],['ger'],"['Journal Article', 'Review']",Germany,Med Klin,Medizinische Klinik,0376637,['0 (Immunoglobulin A)'],IM,"['Agammaglobulinemia/immunology', 'B-Lymphocytes/immunology', 'Dysgammaglobulinemia/immunology', 'Hodgkin Disease/immunology', 'Humans', 'Immunoglobulin A', 'Immunologic Deficiency Syndromes/*immunology', 'Killer Cells, Natural/immunology', 'Leukemia, Lymphoid/immunology', 'Lupus Erythematosus, Systemic/immunology', 'Lymphocytes/*immunology', 'Multiple Myeloma/immunology', 'Mycosis Fungoides/immunology', 'Neoplasms/immunology', 'Sezary Syndrome/immunology', 'T-Lymphocytes/immunology']",32,1979/08/24 00:00,2000/03/22 09:00,['1979/08/24 00:00'],"['1979/08/24 00:00 [pubmed]', '2000/03/22 09:00 [medline]', '1979/08/24 00:00 [entrez]']",ppublish,Med Klin. 1979 Aug 24;74(34):1199-206.,0025-8458 (Print) 0025-8458 (Linking),Die klinische Bedeutung der Lymphozytenpopulationen.,,,,,,,,,,,
388014,NLM,MEDLINE,19800119,20071115,63,5,1979 Nov,Migration inhibition factor activity in sera of patients with chronic lymphatic leukemia.,1175-7,"Migration inhibition factor (MIF) activity, expressed as a migration index, was studied in the sera of 48 chronic lymphatic leukemia (CLL) patients and 48 healthy controls. MIF activity was detected in the sera of 50% of the CLL patients. The medical condition of patients in advanced clinical stages (III and IV) and with detectable MIF activity was more stable (after 18-mo follow-up) than was that of the patients in advanced stages but without detectable MIF activity. No relationship was found between the clinical stage of the disease, absolute lymphocyte count, and MIF activity.","['Benjamin, D', 'Aderka, D', 'Livni, E', 'Joshua, H', 'Shaklai, M', 'Pinkhas, J']","['Benjamin D', 'Aderka D', 'Livni E', 'Joshua H', 'Shaklai M', 'Pinkhas J']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['0 (Macrophage Migration-Inhibitory Factors)'],IM,"['Adult', 'Aged', 'Female', 'Humans', '*Immunity, Cellular', 'Leukemia, Lymphoid/blood/*immunology/pathology', 'Leukocyte Count', 'Macrophage Migration-Inhibitory Factors/*blood', 'Male', 'Middle Aged', 'Neoplasm Staging']",,1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1979 Nov;63(5):1175-7.,0027-8874 (Print) 0027-8874 (Linking),,,,,,,,,,,,
387877,NLM,MEDLINE,19800119,20071115,123,6,1979 Dec,Human cell membrane components dominant in T cell lineage: identification and characterization of human TL-like antigens.,2906-14,"Cell membrane components that contain beta 2-microglobulin were purified from cells of a human T cell-type leukemia cell line, HPB-ALL. They contained membrane components that have the same molecular size and the same subunit structure as HLA(A,B,C) antigens but are separable from the typical beta 2-microglobulin-containing cell membrane components, i.e., the HLA (A,B,C) antigens, by xenoantibody reagents. A sensitive radioimmunoassay was constructed for detection of the T cell membrane components. The assay revealed that the cell membrane components are expressed exclusively on cells of T cell-type leukemia cell lines among the human lymphoid cell lines tested, predominantly in thymus, among the human organs and tissues tested. They were not present on cells of human B cell-type cell lines or on cells of nonlymphoid organs and tissues. No alloantibodies directed to the T cell membrane components, the putative human homologues of mouse TL antigens, were found in any of the human tissue typing sera tested.","['Tanigaki, N', 'Tokuyama, H', 'Fukunishi, T', 'Minowada, J', 'Pressman, D']","['Tanigaki N', 'Tokuyama H', 'Fukunishi T', 'Minowada J', 'Pressman D']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Neoplasm)', '0 (HLA Antigens)', '0 (Isoantibodies)', '0 (Peptides)', '0 (beta 2-Microglobulin)']",IM,"['Animals', '*Antigens, Neoplasm', 'Binding Sites', 'Cell Line', 'Cell Membrane/immunology', 'HLA Antigens', 'Histocompatibility Testing', 'Humans', 'Isoantibodies', 'Leukemia, Experimental/*immunology', 'Leukemia, Lymphoid/immunology', 'Organ Specificity', 'Peptides/immunology', 'Rabbits', 'T-Lymphocytes/*immunology', 'Thymus Gland/immunology', 'beta 2-Microglobulin/immunology']",,1979/12/01 00:00,1979/12/01 00:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '1979/12/01 00:01 [medline]', '1979/12/01 00:00 [entrez]']",ppublish,J Immunol. 1979 Dec;123(6):2906-14.,0022-1767 (Print) 0022-1767 (Linking),,,,,,,,,,,,
387825,NLM,MEDLINE,19800124,20190709,1,1,1979 Jul,Cutaneous plasmacytomas. A review and presentation of an unusual case.,59-66,"Recent reviews separate four types of plasma cell tumor: multiple myeloma, extramedullary plasmacytoma (without multiple myeloma), solitary myeloma of bone, and plasma cell leukemia. Cutaneous plasma cell tumors may arise from lymphatic or vascular spread of tumor (metastatic cutaneous plasmacytoma) or by direct extension from bone lesions. The former, metastatic cutaneous plasmacytomas, are quite rare. Specific malignant plasmacyte cutaneous tumors can also be seen in extramedullary plasmacytoma, solitary myeloma of bone, and plasma cell leukemia. We present a patient with multiple myeloma and lymphedema of the right arm, who developed a pathologic fracture of the right humerus and subsequently developed numerous metastatic cutaneous plasmacytomas localized to the lymphedematous arm. Direct immunofluorescence of frozen sections and enzymatically released cells from tumor nodule failed to reveal cell-associated immunoglobulins.","['Jorizzo, J L', 'Gammon, W R', 'Briggaman, R A']","['Jorizzo JL', 'Gammon WR', 'Briggaman RA']",['eng'],"['Case Reports', 'Journal Article']",United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,,IM,"['Female', 'Fluorescent Antibody Technique', 'Humans', 'Middle Aged', 'Multiple Myeloma/immunology/*pathology', 'Neoplasm Metastasis', 'Skin Neoplasms/immunology/*pathology']",,1979/07/01 00:00,1979/07/01 00:01,['1979/07/01 00:00'],"['1979/07/01 00:00 [pubmed]', '1979/07/01 00:01 [medline]', '1979/07/01 00:00 [entrez]']",ppublish,J Am Acad Dermatol. 1979 Jul;1(1):59-66. doi: 10.1016/s0190-9622(79)70006-5.,0190-9622 (Print) 0190-9622 (Linking),,"['S0190-9622(79)70006-5 [pii]', '10.1016/s0190-9622(79)70006-5 [doi]']",,,,,,,,,,
387804,NLM,MEDLINE,19800119,20190902,95,1,1979 Sep,Hodgkin's disease in childhood.,75-81,"The histopathologic study of 103 patients with Hodgkin's disease including 5 cases who had staging laparotomy during the last 10 years were reviewed. The following conclusions were drawn: 1. No significant sex difference among subtypes were noted. 2. Associated glomerulopathy, nephrotic syndromes, and amyloidosis were occasionally found. 3. In childhood lymphomas excluding leukemia are the most frequent malignacies. Among the lymphomas, Hodgkin's disease predominates. 4. The most frequent subtype both in the original biopsy and after staging laparotomy was mixed cellularity. The nodular sclerosis type was the rarest. The subtypes generally did not change in the subsequent biopsies and in laparatomy done up to 6 months later. 5. It is most frequently noted in cervical area. Males are affected more than females. The peak incidence was in the first decade of age group. A brief review of the literature and discussion on the comparison of data from other countries is given.","['Alsabti, E A']",['Alsabti EA'],['eng'],"['Comparative Study', 'Journal Article', 'Review']",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Epidemiologic Methods', 'Female', 'Hodgkin Disease/classification/epidemiology/*pathology', 'Humans', 'Infant', 'Male', 'Prognosis']",34,1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",ppublish,J Cancer Res Clin Oncol. 1979 Sep;95(1):75-81. doi: 10.1007/BF00411112.,0171-5216 (Print) 0171-5216 (Linking),,['10.1007/BF00411112 [doi]'],,,,,,,,,,
387711,NLM,MEDLINE,19800128,20141120,62,4,1979 Jul,Overview and status of in vitro transformation.,889-99,"The development of standardized assay procedures has permitted the exploitation of cell culture systems as bioassay tools for the detection of chemical carcinogens. These systems fall generally into 3 classes: diploid cell strains, Syrian hamster embryo cells; cell lines, mouse BALB/c-3T3 and mouse C3H-10T1/2; and cells+virus, Fischer rat cells infected with Rauscher leukemia virus and Syrian hamster embryo cells infected with adenovirus. The results accumulated to date show a good correlation between transformation response in cell culture and carcinogenicity of chemicals in whole animal studies. The major advantages of these systems are their relative brevity (10 days-6 weeks) and resultant low costs, their agreement with whole animal bioassays, and their direct biological relevance to the carcinogenic process. The present major disadvantages are the uncertain nature of the metabolic capabilities of the target cells and the lack of a metabolic activation system that is reliable and adaptable for routine bioassays. The development of epithelial cell systems such as breast, liver, lung, and skin may solve the problem of carcinogen metabolism as well as provide target cells that are representative of major organ sites for cancer in man. The rational use of cell culture bioassays for neoplastic transformation is a valuable component of the toxicological armamentarium to assess risk to humans from exposure to chemicals.","['Sivak, A']",['Sivak A'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,J Assoc Off Anal Chem,Journal - Association of Official Analytical Chemists,7505559,['0 (Carcinogens)'],IM,"['Adenoviridae', 'Animals', 'Carcinogens/*toxicity', '*Cell Transformation, Neoplastic', 'Cell Transformation, Viral', 'Clone Cells', 'Cricetinae', 'Drug Evaluation, Preclinical/methods', 'Embryo, Mammalian', 'Fibroblasts', 'Humans', 'In Vitro Techniques', 'Mesocricetus', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C3H', 'Rats', 'Rauscher Virus']",36,1979/07/01 00:00,1979/07/01 00:01,['1979/07/01 00:00'],"['1979/07/01 00:00 [pubmed]', '1979/07/01 00:01 [medline]', '1979/07/01 00:00 [entrez]']",ppublish,J Assoc Off Anal Chem. 1979 Jul;62(4):889-99.,0004-5756 (Print) 0004-5756 (Linking),,,,,,,,,,,,
387645,NLM,MEDLINE,19800128,20190918,60,,1979,Alternatives to classical mitosis in hemopoietic tissues of vertebrates.,93-120,,"['Engelbert, V E']",['Engelbert VE'],['eng'],"['Journal Article', 'Review']",United States,Int Rev Cytol,International review of cytology,2985180R,"['9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Bone Marrow/physiology', 'Cell Differentiation', 'Cell Division', 'Cell Nucleus/physiology', 'Cells, Cultured', 'Clone Cells/cytology', 'DNA/metabolism', 'Erythropoiesis', 'Hematopoietic Stem Cells/*cytology', 'Histological Techniques', 'Leukemia, Experimental/pathology', '*Mitosis', 'Spleen/cytology', 'Thymidine/metabolism']",92,1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Int Rev Cytol. 1979;60:93-120. doi: 10.1016/s0074-7696(08)61260-7.,0074-7696 (Print) 0074-7696 (Linking),,['10.1016/s0074-7696(08)61260-7 [doi]'],,,,,,,,,,
387405,NLM,MEDLINE,19800128,20180123,18,1,1979 Feb,History of the use and toxicity of thorotrast.,6-12,,"['Abbatt, J D']",['Abbatt JD'],['eng'],"['Historical Article', 'Journal Article']",Netherlands,Environ Res,Environmental research,0147621,"['0 (Contrast Media)', '9XA7X17UQC (Thorium Dioxide)']",IM,"['Contrast Media/adverse effects', 'Hemangioendothelioma/etiology', 'History, 20th Century', 'Humans', 'Leukemia, Radiation-Induced/etiology', 'Neoplasms, Radiation-Induced/etiology', 'Radiographic Image Enhancement', 'Radiography/methods', 'Thorium Dioxide/adverse effects/*history', 'Time Factors']",,1979/02/01 00:00,1979/02/01 00:01,['1979/02/01 00:00'],"['1979/02/01 00:00 [pubmed]', '1979/02/01 00:01 [medline]', '1979/02/01 00:00 [entrez]']",ppublish,Environ Res. 1979 Feb;18(1):6-12.,0013-9351 (Print) 0013-9351 (Linking),,['0013-9351(79)90131-2 [pii]'],,,,,,,,,,
387315,NLM,MEDLINE,19800124,20190819,14,3,1979 Nov,Serum migration-inhibitory activity in patients with acute leukemia and early leukemic lymphosarcoma.,368-78,,"['Fassas, A', 'Bruley-Rosset, M', 'Guibout, C', 'Jasmin, C']","['Fassas A', 'Bruley-Rosset M', 'Guibout C', 'Jasmin C']",['eng'],['Journal Article'],United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,"['0 (Culture Media)', '0 (Leukocyte Migration-Inhibitory Factors)', '0 (Lymphokines)']",IM,"['Acute Disease', 'Cell Movement', 'Chemical Fractionation', 'Culture Media', 'Humans', 'Leukemia/complications/drug therapy/*immunology', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Leukocyte Migration-Inhibitory Factors/*blood', 'Leukocytes/immunology', 'Lymphokines/*blood', 'Lymphoma, Non-Hodgkin/complications/drug therapy/*immunology', 'Remission, Spontaneous', 'Time Factors']",,1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",ppublish,Clin Immunol Immunopathol. 1979 Nov;14(3):368-78. doi: 10.1016/0090-1229(79)90162-4.,0090-1229 (Print) 0090-1229 (Linking),,['10.1016/0090-1229(79)90162-4 [doi]'],,,,,,,,,,
387279,NLM,MEDLINE,19800124,20190827,2,1,1979,"Clinical trials with daunorubicin-DNA and adriamycin-DNA in acute lymphoblastic leukemia of childhood, acute nonlymphoblastic leukemia, and bronchogenic carcinoma.",67-71,"Treatment with daunorubicin-DNA (DNR-DNA) or adriamycin-DNA (ADM-DNA) has been evaluated in acute lymphoblastic leukemia of childhood (ALL), acute nonlymphoblastic leukemia (ANLL) and bronchogenic carcinoma (BC). The Five-year survival rate in 69 children with ALL was 73.7% when ADM-DNA was introduced in the treatment and 38% with DNR-DNA (P = 0.03). A randomization between free DNR and DNR-DNA for remission induction in 26 patients with ANLL has shown that the drugs were of equivalent effectiveness. The one-year survival rate was 66% for the DNR group and 64% for the DNR-DNA group. In 59 patients with BC, a randomized trial between ADM-DNA and cyclophosphamide-vinblastine (CTX-VLB) did not show an advantage in favor of one of these treatments. In anaplastic BC (51 patients), there was no difference in survival rate or remission rate between patients treated with ADM or ADM-DNA. No cardiotoxicity was noted among the patients treated with the complexed drugs. ADM-DNA and DNR-DNA are as effective as the free drugs. Cardiotoxicity appears to be reduced.","['Ferrant, A', 'Hulhoven, R', 'Bosly, A', 'Cornu, G', 'Michaux, J L', 'Sokal, G']","['Ferrant A', 'Hulhoven R', 'Bosly A', 'Cornu G', 'Michaux JL', 'Sokal G']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['80168379AG (Doxorubicin)', '9007-49-2 (DNA)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Carcinoma, Bronchogenic/*drug therapy', 'Child', 'Clinical Trials as Topic', 'DNA/*therapeutic use', 'Daunorubicin/*therapeutic use', 'Doxorubicin/*therapeutic use', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/*drug therapy', 'Lung Neoplasms/*drug therapy', 'Time Factors']",,1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1979;2(1):67-71. doi: 10.1007/BF00253108.,0344-5704 (Print) 0344-5704 (Linking),,['10.1007/BF00253108 [doi]'],,,,,,,,,,
387229,NLM,MEDLINE,19800124,20191021,6 Suppl,,1979 Jun,Clinical pharmacology of the 6-thiopurines.,19-25,,"['Grindey, G B']",['Grindey GB'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Netherlands,Cancer Treat Rev,Cancer treatment reviews,7502030,"['0 (Purines)', '63CZ7GJN5I (Allopurinol)', 'E7WED276I5 (Mercaptopurine)', 'FTK8U1GZNX (Thioguanine)']",IM,"['Allopurinol/pharmacology', 'Drug Interactions', 'Drug Resistance', 'Humans', 'Leukemia/drug therapy', 'Mercaptopurine/metabolism/*pharmacology', 'Neoplasms/*drug therapy/metabolism', 'Purines/biosynthesis', 'Thioguanine/metabolism/*pharmacology']",53,1979/06/01 00:00,1979/06/01 00:01,['1979/06/01 00:00'],"['1979/06/01 00:00 [pubmed]', '1979/06/01 00:01 [medline]', '1979/06/01 00:00 [entrez]']",ppublish,Cancer Treat Rev. 1979 Jun;6 Suppl:19-25. doi: 10.1016/s0305-7372(79)80006-7.,0305-7372 (Print) 0305-7372 (Linking),,"['S0305-7372(79)80006-7 [pii]', '10.1016/s0305-7372(79)80006-7 [doi]']",,,,,,,,,,
387218,NLM,MEDLINE,19800128,20141120,39,12,1979 Dec,In vitro studies of cell-mediated immunity to Moloney murine leukemia virus and Moloney leukemia-associated surface antigens.,4887-93,"Cell-mediated immunity to Moloney murine leukemia virus (M-MuLV) and to tumor-associated surface antigens of leukemia cells induced by the virus was studied with an in vitro migration inhibition factor assay. Spleen cells of C57BL/6N mice at Day 14 following inoculation with Moloney murine sarcoma virus, produced migration inhibition factor in response to M-MuLV. The Moloney murine sarcoma virus-immune spleen cells, however, did not respond to other murine type C viruses, to AKR and Rauscher viruses, or to murine mammary tumor virus. The immune spleen cells also responded specifically to purified glycoprotein with molecular weights of 69,000 and 71,000 and proteins with molecular weights of 30,000 and 12,000, but not to protein with a molecular weight of 10,000, of the homologous M-MuLV. Migration inhibition factor production was also observed in response to soluble 3 M KCl extracts of leukemia cells, MBL-2, induced by M-MuLV. Similarly, the immune spleen cells responded to membrane fractions purified from the MBL-2 cells. Comparable membrane fractions prepared from a Gross virus-induced leukemia, E male G2, and a radiation-induced leukemia, RL male 1, were not active. The tumor-associated surface antigens of MBL-2 membranes could be solubilized by the detergent, Nonident P-40. Thus, C57BL/6N mice inoculated with Moloney murine sarcoma virus developed cell-mediated immunity to envelope and some internal antigens of M-MuLV and also to tumor-associated surface antigens of a tumor induced by this leukemia virus.","['Ng, A K', 'Ames, R S Jr', 'McIntire, R K', 'Herberman, R B']","['Ng AK', 'Ames RS Jr', 'McIntire RK', 'Herberman RB']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Antigens, Viral)', '0 (Macrophage Migration-Inhibitory Factors)']",IM,"['Animals', '*Antigens, Neoplasm', 'Antigens, Surface', '*Antigens, Viral', '*Immunity, Cellular', 'In Vitro Techniques', 'Leukemia, Experimental/*immunology', 'Macrophage Migration-Inhibitory Factors/biosynthesis', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Moloney murine leukemia virus/*immunology', 'Sarcoma, Experimental/immunology', 'Spleen/immunology', 'Tumor Virus Infections/*immunology']",,1979/12/01 00:00,2001/03/28 10:01,['1979/12/01 00:00'],"['1979/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1979/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1979 Dec;39(12):4887-93.,0008-5472 (Print) 0008-5472 (Linking),,,,,,,,,,,,
387211,NLM,MEDLINE,19800124,20190619,44,5,1979 Nov,Current concepts of bacteremia in children with malignancies.,1939-44,"One hundred fifteen episodes of bacteremia occurred among 2790 children with malignancies hospitalized during a 45-month period. The mean age was 9.3 years with a male predilection (62%). A greater (p less than .025) number of children over 10 years of age died with bacteremia when compared to younger children. The majority of episodes occurred in children with leukemia (56%); however, once bacteremia developed, a significantly (p less than .05) greater number of children with lymphoma died when compared to children with other malignancies. Absolute polymorphonuclear leukocyte counts were greater in survivors (p less than .025) than in children who died. Thirty-seven different microorganisms were isolated with E. coli, S. Aureus, P. aeruginosa, and K. pneumoniae accounting for 50% of the episodes. Anaerobes were isolated from blood of 12 (10%) children. Twelve children had polymicrobial bacteremia and 14 had recurrent bacteremia which occurred during antibiotic therapy. Mortality (78%) in these children was significantly (p less than .001) greater then in children from whom one microorganism was isolated (47%). Interesting aspects include the resurgence of S. aureus, failure of development of meningitis in children with bacteremia, and unchanged antibiotic susceptibility since the last review of bacteremia in this institution. Polymicrobial and recurrent bacteremia necessitate obtaining simultaneous and sequential blood cultures to facilitate administration of appropriate antimicrobial therapy until bone marrow function improves.","['Hoecker, J L', 'Pickering, L K', 'Groschel, D', 'Kohl, S', 'van Eys, J']","['Hoecker JL', 'Pickering LK', 'Groschel D', 'Kohl S', 'van Eys J']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,['0 (Anti-Bacterial Agents)'],IM,"['Adolescent', 'Adult', 'Anti-Bacterial Agents/therapeutic use', 'Child', 'Child, Preschool', 'Escherichia coli Infections/complications', 'Female', 'Humans', 'Infant', 'Klebsiella Infections/complications', 'Leukemia/complications', 'Lymphoma/complications', 'Male', 'Neoplasms/*complications', 'Pseudomonas Infections/complications', 'Sepsis/*complications/drug therapy', 'Staphylococcal Infections/complications']",,1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",ppublish,Cancer. 1979 Nov;44(5):1939-44. doi: 10.1002/1097-0142(197911)44:5<1939::aid-cncr2820440557>3.0.co;2-l.,0008-543X (Print) 0008-543X (Linking),,['10.1002/1097-0142(197911)44:5<1939::aid-cncr2820440557>3.0.co;2-l [doi]'],,,,,,,,,,
387207,NLM,MEDLINE,19800119,20190619,44,4,1979 Oct,Cardiac tamponade resulting from pericardial extramedullary hematopoiesis: a case report and review of the literature.,1504-6,"A patient with an unusual myeloproliferative disorder, characterized by hepatosplenomegaly, myelofibrosis, ringed sideroblasts, and conversion to acute myeloblastic leukemia developed cardiac tamponade secondary to pericardia extramedullary hematopoiesis. Diagnostic criteria are discussed. Irradiation and systemic chemotherapy were successful in controlling the effusion.","['Pipoly, G M', 'Rogers, J']","['Pipoly GM', 'Rogers J']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Cancer,Cancer,0374236,,IM,"['Adolescent', 'Cardiac Tamponade/*etiology', 'Female', '*Hematopoiesis', 'Humans', 'Pericardial Effusion/*complications', 'Primary Myelofibrosis/*complications']",18,1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,Cancer. 1979 Oct;44(4):1504-6. doi: 10.1002/1097-0142(197910)44:4<1504::aid-cncr2820440447>3.0.co;2-m.,0008-543X (Print) 0008-543X (Linking),,['10.1002/1097-0142(197910)44:4<1504::aid-cncr2820440447>3.0.co;2-m [doi]'],,,,,,,,,,
387108,NLM,MEDLINE,19800124,20131121,88,10,1979 Oct,[Change of toxic and antineoplastic properties of ftorafur by means of action on nonspecific microsomal oxidase].,442-4,"The inducers of microsomal hydroxylases, phenobarbitone and methylcholanthrene, inhibited the development of neurotoxic shock provoked by high doses of ftorafur in mice, but stimulated the animal mortality on the 4th-8th day after the drug administration. The opposite effect on both toxicity manifestations has been obtained under the action of the inhibitor SKF 525-A. Pretreatment of the animals with phenobarbitone or phenobarbitone-methylcholanthrene combination markedly increased the antineoplastic activity of ftorafur determined by a loss of the spleen weight in mice infected with Rauscher's leukemia.","['Belitskii, G A', 'Bukhman, V M', 'Konopleva, I A']","['Belitskii GA', 'Bukhman VM', 'Konopleva IA']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,"['1548R74NSZ (Tegafur)', '56-49-5 (Methylcholanthrene)', 'A510CA4CBT (Proadifen)', 'EC 1.- (Oxidoreductases)', 'U3P01618RT (Fluorouracil)', 'YQE403BP4D (Phenobarbital)']",IM,"['Animals', 'Drug Antagonism', 'Drug Synergism', 'Enzyme Induction', 'Fluorouracil/*analogs & derivatives', 'Leukemia, Experimental/*drug therapy', 'Methylcholanthrene/therapeutic use', 'Mice', 'Microsomes/*enzymology', 'Oxidoreductases/antagonists & inhibitors/*biosynthesis', 'Phenobarbital/therapeutic use', 'Premedication', 'Proadifen/therapeutic use', 'Rauscher Virus', 'Spleen/*pathology', 'Tegafur/*toxicity']",,1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,Biull Eksp Biol Med. 1979 Oct;88(10):442-4.,0365-9615 (Print) 0365-9615 (Linking),Izmenenie toksicheskikh i protivoopukholevykh svoistv ftorafura putem vozdeistviia na nespetsificheskie oksidazy mikrosom.,,,,,,,,,,,
386863,NLM,MEDLINE,19791227,20190619,91,5,1979 Nov,Acute leukemia: biology and treatment.,758-73,"A fundamental abnormality in acute myeloid leukemia is a block in cell differentiation with resultant accumulation of immature leukocytes. This abnormality can be studied in continuously growing leukemic cell lines that differentiate with simple chemical signals. Surface antigenic modulation occurring with cell differentiation can be monitored by specific antisera. These antisera have great potential as diagnostic and therapeutic reagents. More than 90% of patients with acute lymphoblastic leukemia and more than 70% of patients with acute myeloid leukemia can achieve remission of disease with aggressive multiagent chemotherapy. Long-term, disease-free survival is obtainable in about one half of patients with acute lymphoblastic leukemia but in less than 15% of patients with acute myeloid leukemia. The future directions of research for achieving cure of acute leukemia seem to be well defined.",,,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Ann Intern Med,Annals of internal medicine,0372351,"['0 (Antigens, Neoplasm)', '0 (Antineoplastic Agents)', '0 (Immune Sera)']",IM,"['Antigens, Neoplasm', 'Antineoplastic Agents/administration & dosage', 'B-Lymphocytes/immunology', 'Drug Therapy, Combination', 'Humans', 'Immune Sera', '*Leukemia, Lymphoid/drug therapy/immunology', '*Leukemia, Myeloid, Acute/drug therapy/etiology/immunology', 'T-Lymphocytes/immunology']",156,1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1979 Nov;91(5):758-73. doi: 10.7326/0003-4819-91-5-758.,0003-4819 (Print) 0003-4819 (Linking),,['10.7326/0003-4819-91-5-758 [doi]'],,,,,,,,,,
