PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RF,GR,SI,CON,CIN,OTO,OT,IR,FIR,IRAD,TT,EIN,CN,OID,GN,RIN,EFR
8897439,NLM,MEDLINE,19970205,20191101,1357-4310 (Print) 1357-4310 (Linking),2,10,1996 Oct,Recombinant immunotoxins: protein engineering for cancer therapy.,439-46,"Recombinant immunotoxins for cancer therapy are composed of the variable regions of 'cancer-specific' antibodies fused to truncated toxins that are usually derived from bacteria or plants. Protein engineering has been used to modify these molecules so that the toxin moiety by itself does not bind to normal human cells, but retains all other cytotoxic functions. The antibody moiety directs the toxin selectively to cancer cells, which are killed; cells that do not carry that particular cancer antigen are not recognized and are therefore spared. Many recombinant immunotoxins show a high degree of cytotoxic activity and specificity towards cancer cells cultured in vitro and have been shown to cause the regression of human tumor xenografts grown in mice. Clinical trials that are in progress will show whether these promising pre-clinical results can be translated into successful cancer therapy.","['Brinkmann, U']",['Brinkmann U'],"['Laboratory of molecular biology, National Institutes of Health, National Cancer Institute, Bethesda, MD 20892-4255, USA. uli@helix.nih.gov']",['eng'],['Journal Article'],England,Mol Med Today,Molecular medicine today,9508560,"['0 (Antibodies, Monoclonal)', '0 (Antigens)', '0 (Bacterial Toxins)', '0 (Exotoxins)', '0 (Growth Substances)', '0 (Immunoglobulin Fab Fragments)', '0 (Immunoglobulin Variable Region)', '0 (Immunotoxins)', '0 (Recombinant Fusion Proteins)', '0 (Virulence Factors)', '0 (immunotoxin LMB-7)', 'EC 2.4.2.- (ADP Ribose Transferases)', 'EC 2.4.2.31 (toxA protein, Pseudomonas aeruginosa)']",IM,"['*ADP Ribose Transferases', 'Animals', 'Antibodies, Monoclonal/immunology/therapeutic use', 'Antigens/immunology', 'Bacterial Toxins', 'Exotoxins/pharmacology', 'Growth Substances/genetics/metabolism', 'Humans', 'Immunoglobulin Fab Fragments/immunology', 'Immunoglobulin Variable Region/immunology', 'Immunotoxins/chemistry/*genetics/metabolism/therapeutic use', 'Leukemia/therapy', 'Lymphoma/therapy', 'Mice', 'Models, Molecular', 'Neoplasms/*therapy', 'Protein Engineering', 'Recombinant Fusion Proteins/chemistry/*genetics/therapeutic use', '*Virulence Factors']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']","['1357-4310(96)84848-9 [pii]', '10.1016/1357-4310(96)84848-9 [doi]']",ppublish,Mol Med Today. 1996 Oct;2(10):439-46. doi: 10.1016/1357-4310(96)84848-9.,,,,,,,,,,,,,,,,,,
8897364,NLM,MEDLINE,19970211,20190905,0730-725X (Print) 0730-725X (Linking),14,6,1996,Dark ring sign: finding in patients with fungal liver lesions and transfusional hemosiderosis undergoing treatment with antifungal antibiotics.,615-8,"OBJECTIVE: To describe the MR appearance of necrotizing fungal granulomas occurring in the liver of leukemic patients with hepatosplenic fungal disease and transfusional hemosiderosis on antifungal antibiotics. SUBJECTS AND METHODS: Four patients with acute myelogenous leukemia (n = 2) or acute lymphocytic leukemia (n = 2) who developed hepatosplenic fungal disease, and were treated with antifungal medication, underwent MRI examination on a 1.5 T MR imager. MR images were prospectively evaluated and correlated with liver biopsy (three patients), and clinical picture (one patient). RESULTS: Multiple liver lesions measuring approximately 1 cm in diameter were identified in all patients. Lesions possessed a distinctive MR appearance: central mild hyperintensity with a peripheral ring of very low signal intensity on precontrast T1- and T2-weighted images. The central region of the lesions enhanced following gadolinium administration with the peripheral ring remaining low in signal intensity. CONCLUSION: Necrotizing fungal granulomas in the liver of patients with transfusional hemosiderosis on treatment with antifungal antibiotics have a distinctive appearance of moderate high signal intensity center on T1- and T2-weighted and postgadolinium MR images with a peripheral rim of low signal intensity. This appearance reflects the presence of iron-laden macrophages in the periphery of granulomas and may be expected in processes that initiate an immune response involving aggregation of macrophages in the liver of patients with transfusional iron overload.","['Kelekis, N L', 'Semelka, R C', 'Jeon, H J', 'Sallah, A S', 'Shea, T C', 'Woosley, J T']","['Kelekis NL', 'Semelka RC', 'Jeon HJ', 'Sallah AS', 'Shea TC', 'Woosley JT']","['Department of Radiology, University of North Carolina at Chapel Hill 27599-7510, USA.']",['eng'],['Journal Article'],Netherlands,Magn Reson Imaging,Magnetic resonance imaging,8214883,"['0 (Antifungal Agents)', '304NUG5GF4 (Itraconazole)', '7XU7A7DROE (Amphotericin B)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Amphotericin B/therapeutic use', 'Antifungal Agents/*therapeutic use', 'Candidiasis/complications/*diagnosis/drug therapy/pathology', 'Child', 'Female', 'Granuloma/diagnosis', 'Hemosiderosis/*complications/etiology', 'Humans', 'Itraconazole/therapeutic use', 'Leukemia/complications', 'Liver/*pathology', '*Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Necrosis', 'Opportunistic Infections/complications/diagnosis/drug therapy/pathology', '*Transfusion Reaction']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']","['0730-725X(96)00090-2 [pii]', '10.1016/0730-725x(96)00090-2 [doi]']",ppublish,Magn Reson Imaging. 1996;14(6):615-8. doi: 10.1016/0730-725x(96)00090-2.,,,,,,,,,,,,,,,,,,
8897312,NLM,MEDLINE,19970206,20131121,1079-9893 (Print) 1079-9893 (Linking),16,3-4,1996 May-Jul,Characterization of P2 purinergic receptors on human erythro leukemia cells.,209-24,"We have investigated the nature of the nucleotide receptors on human erythro leukemia (HEL) cells, a cell line with some megakaryocytic properties, using a combination of pharmacological, photoaffinity labeling, and molecular biological techniques. Fura-2 loaded HEL cells responded to 2-methylthio ATP, ATP, 2-methylthio ADP, ADP and UTP with an increase in intracellular calcium. 2 Methylthio ADP was the most potent agonist. When external calcium was chelated with EDTA, calcium responses were observed indicating the mobilization of intracellular stores. These responses showed evidence of both homologous and heterologous receptor desensitization. In photoaffinity labeling experiments, beta-[32P]-AzPET-ADP was incorporated into three protein species with mobilities corresponding to M(r) approximately 55 kDa (doublet) and approximately 43 kDa. Labeling of approximately 55 kDa proteins was specifically inhibited by ADP, while that of the approximately 43 kDa was inhibited specifically by UTP. Nucleotide sequence analysis of the positive clones obtained by screening the HEL cell cDNA library with mouse P2U cDNA revealed that the P2U receptor from HEL cells is identical to the previously cloned human P2U receptor. These experiments suggest that the HEL cells contain a P2Y purinoceptor responding to ADP, in addition to a P2U receptor and possibly also a third P2 purinoceptor with a unique agonist profile.","['Akbar, G K', 'Dasari, V R', 'Sheth, S B', 'Ashby, B', 'Mills, D C', 'Kunapuli, S P']","['Akbar GK', 'Dasari VR', 'Sheth SB', 'Ashby B', 'Mills DC', 'Kunapuli SP']","['Department of Physiology, Temple University School of Medicine, Philadelphia PA 19140, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Recept Signal Transduct Res,Journal of receptor and signal transduction research,9509432,"['0 (Affinity Labels)', '0 (Receptors, Purinergic P2)', '61D2G4IYVH (Adenosine Diphosphate)', 'SY7Q814VUP (Calcium)']",IM,"['Adenosine Diphosphate/pharmacology', 'Affinity Labels/metabolism', 'Animals', 'Calcium/metabolism', 'Humans', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Mice', 'Receptors, Purinergic P2/*analysis/classification/genetics', 'Tumor Cells, Cultured']",1996/05/01 00:00,1996/05/01 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1996/05/01 00:01 [medline]', '1996/05/01 00:00 [entrez]']",['10.3109/10799899609039949 [doi]'],ppublish,J Recept Signal Transduct Res. 1996 May-Jul;16(3-4):209-24. doi: 10.3109/10799899609039949.,,,,,,,,,,,,,,,,,,
8896736,NLM,MEDLINE,19970130,20190830,0160-564X (Print) 0160-564X (Linking),20,10,1996 Oct,Veno-occlusive disease of the liver following bone marrow transplantation: a clinical-pathological study of autopsy cases.,1145-50,"A total of 28 patients with leukemia underwent intensive therapy with megadose chemotherapy and stem cell transplantation. Of 16 patients who had busulfan therapy, 2 developed the clinical syndrome of veno-occlusive disease of the liver (VOD) characterized by progressive abnormalities in liver function, abdominal pain, and ascites. Postmortem findings showed VOD of the central and sublobular hepatic vein. Immunohistochemical analysis using anti-actin and CD34 mAb was employed in an attempt to clarify the process of fibrosis. Actin positive cells had accumulated around the central vein. Ito cell activation might be responsible for secondary fibrosis following endothelial injury. We report autopsy findings and immunohistochemical results.","['Watanabe, K', 'Iwaki, H', 'Satoh, M', 'Ikeda, T', 'Ichimiya, S', 'Suzuki, N', 'Kudoh, T', 'Oda, T', 'Matsuura, A', 'Mori, M', 'Kikuchi, K']","['Watanabe K', 'Iwaki H', 'Satoh M', 'Ikeda T', 'Ichimiya S', 'Suzuki N', 'Kudoh T', 'Oda T', 'Matsuura A', 'Mori M', 'Kikuchi K']","['Department of Clinical Pathology, Sapporo Medical University Hospital, Japan.']",['eng'],['Journal Article'],United States,Artif Organs,Artificial organs,7802778,"['0 (Antigens, CD34)']",IM,"['Adolescent', 'Antigen-Antibody Reactions', 'Antigens, CD34/immunology', 'Autopsy', 'Bone Marrow Transplantation/*adverse effects/immunology', 'Cell Transplantation', 'Endothelium, Vascular/injuries', 'Female', 'Hepatic Veno-Occlusive Disease/immunology/*mortality', 'Humans', 'Immunohistochemistry', 'Leukemia/mortality/therapy', 'Liver/injuries/pathology', 'Liver Function Tests', 'Male', 'Staining and Labeling', 'Stem Cells/cytology']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['10.1111/j.1525-1594.1996.tb00652.x [doi]'],ppublish,Artif Organs. 1996 Oct;20(10):1145-50. doi: 10.1111/j.1525-1594.1996.tb00652.x.,,,,,,,,,,,,,,,,,,
8896601,NLM,MEDLINE,19961205,20190508,0021-9525 (Print) 0021-9525 (Linking),135,2,1996 Oct,Myristylation of FBR v-fos dictates the differentiation pathways in malignant osteosarcoma.,457-67,"Myristylation of FBR v-fos, a c-fos retroviral homologue that causes osteosarcomas in mice, determines many of its transcriptional properties in vitro. To determine whether myristylation of FBR v-fos contributes to in vivo tumorigenicity, we examined its transforming capability in comparison to a nonmyristylated FBR v-fos (G2A-R). Retroviral infections with FBR v-fos and G2A-R transform BALB/c-3T3 cells. The number, size, and cellular morphology of foci generated by both FBR and G2A-R are indistinguishable. However, marked biological differences were found in transgenic mice expressing either the myristylated FBR v-fos or the nonmyristylated G2A-R. 11 of 26 FBR v-fos transgenic mice died as a result of gross tumor burden. None of the 28 G2A-R transgenic mice died from tumor burden, and only two of the G2A-R mice developed bone tumors. Histologic examination of the tumors reveals that the FBR v-fos bone tumors contain malignant cells with features of four cell lineages (osteocytes, chondrocytes, myocytes, and adipocytes) in an environment rich in extracellular matrix (ECM). However, the G2A-R tumors exist in an environment devoid of ECM and display malignant cells with features of adipocytes. Masson staining reveals that the ECM of the FBR tumors stains strongly for collagen. Immunohistochemical staining with collagen III antibody demonstrates an abundance of collagen III expression in this ECM. While NH2-terminal myristylation is not required for FBR immortalization and transformation, it is essential in determining the degree of differentiation and tumorigenicity of malignant cells.","['Jotte, R M', 'Holt, J T']","['Jotte RM', 'Holt JT']","['Department of Cell Biology, Vanderbilt University Medical Center, Nashville, Tennessee 37232, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Cell Biol,The Journal of cell biology,0375356,"['0 (Myristic Acids)', '0 (Oncogene Proteins v-fos)', '0I3V7S25AW (Myristic Acid)']",IM,"['3T3 Cells', 'Animals', 'Base Sequence', 'Cell Differentiation', '*Cell Transformation, Neoplastic', 'Mice', 'Mice, Inbred BALB C', 'Mice, Transgenic', 'Moloney murine leukemia virus/genetics', 'Myristic Acid', 'Myristic Acids/*metabolism', 'Oncogene Proteins v-fos/*metabolism', 'Osteosarcoma/genetics/*pathology', 'Polymerase Chain Reaction', '*Protein Processing, Post-Translational', 'Repetitive Sequences, Nucleic Acid', 'Sarcoma Viruses, Murine/*genetics']",1996/10/01 00:00,1996/10/01 00:01,['1996/10/01 00:00'],"['1996/10/01 00:00 [pubmed]', '1996/10/01 00:01 [medline]', '1996/10/01 00:00 [entrez]']",['10.1083/jcb.135.2.457 [doi]'],ppublish,J Cell Biol. 1996 Oct;135(2):457-67. doi: 10.1083/jcb.135.2.457.,PMC2121035,,"['523C-MO 7347-14/PHS HHS/United States', 'R01CA51735/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,
8896564,NLM,MEDLINE,19961216,20170922,1061-4036 (Print) 1061-4036 (Linking),14,3,1996 Nov,Positional cloning of the Fanconi anaemia group A gene.,324-8,"Fanconi anaemia (FA) is an autosomal recessive disorder associated with progressive bone-marrow failure, a variety of congenital abnormalities, and predisposition to acute myeloid leukaemia. Cells from FA patients show increased sensitivity to bifunctional DNA crosslinking agents such as diepoxybutane and mitomycin C, with characteristic chromosome breakage. FA is genetically heterogeneous, at least five different complementation groups (FA-A to FA-E) having been described. The gene for group C (FAC) was cloned by functional complementation and mapped to chromosome 9q22.3 (refs 3, 5), but the genes for the other complementation groups have not yet been identified. The group A gene (FAA) has recently been mapped to chromosome 16q24.3 by linkage analysis, and accounts for 60-65% of FA cases. We narrowed the candidate region by linkage and allelic association analysis, and have isolated a gene that is mutated in FA-A patients. The gene encodes a protein of 1,455 amino acids that has no significant homology to any other known proteins, and may therefore represent a new class of genes associated with the prevention or repair of DNA damage.",,,,['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Nat Genet,Nature genetics,9216904,"['0 (Cell Cycle Proteins)', '0 (DNA-Binding Proteins)', '0 (FANCC protein, human)', '0 (Fanconi Anemia Complementation Group C Protein)', '0 (Fanconi Anemia Complementation Group Proteins)', '0 (Nuclear Proteins)', '0 (Proteins)']",IM,"['Amino Acid Sequence', 'Base Sequence', '*Cell Cycle Proteins', 'Chromosome Mapping', 'Cloning, Molecular/methods', '*DNA-Binding Proteins', 'Fanconi Anemia/epidemiology/*genetics', 'Fanconi Anemia Complementation Group C Protein', 'Fanconi Anemia Complementation Group Proteins', 'Gene Deletion', 'Genetic Linkage', 'Haplotypes', 'Heterozygote', 'Humans', 'Molecular Sequence Data', '*Mutation', '*Nuclear Proteins', 'Polymerase Chain Reaction', 'Polymorphism, Single-Stranded Conformational', 'Proteins/*genetics', 'Sequence Analysis, DNA', 'Tissue Distribution']",1996/11/01 00:00,2000/05/19 09:00,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '2000/05/19 09:00 [medline]', '1996/11/01 00:00 [entrez]']",['10.1038/ng1196-324 [doi]'],ppublish,Nat Genet. 1996 Nov;14(3):324-8. doi: 10.1038/ng1196-324.,,,"['E.0364/Telethon/Italy', 'HL32987/HL/NHLBI NIH HHS/United States']","['GENBANK/R07212', 'GENBANK/R07213', 'GENBANK/R60950', 'GENBANK/R61618']",,,,,"['Apostolou S', 'Whitmore SA', 'Crawford J', 'Lennon G', 'Sutherland GR', 'Callen DF', 'Ianzano L', 'Savino M', ""D'Apolito M"", 'Notarangelo A', 'Memeo E', 'Piemontese MR', 'Zelante L', 'Savino A', 'Gibson RA', 'Tipping AJ', 'Morgan NV', 'Hassock S', 'Jansen S', 'de Ravel TJ', 'Van Berkel C', 'Pronk JC', 'Easton DF', 'Mathew CG', 'Levran O', 'Verlander PC', 'Batish SD', 'Erlich TE', 'Auerbach AD', 'Cleton-Jansen AM', 'Moerland EW', 'Cornelisse CJ', 'Doggett NA', 'Deaven LL', 'Moyzis RK']","['Apostolou, S', 'Whitmore, S A', 'Crawford, J', 'Lennon, G', 'Sutherland, G R', 'Callen, D F', 'Ianzano, L', 'Savino, M', ""D'Apolito, M"", 'Notarangelo, A', 'Memeo, E', 'Piemontese, M R', 'Zelante, L', 'Savino, A', 'Gibson, R A', 'Tipping, A J', 'Morgan, N V', 'Hassock, S', 'Jansen, S', 'de Ravel, T J', 'Van Berkel, C', 'Pronk, J C', 'Easton, D F', 'Mathew, C G', 'Levran, O', 'Verlander, P C', 'Batish, S D', 'Erlich, T E', 'Auerbach, A D', 'Cleton-Jansen, A M', 'Moerland, E W', 'Cornelisse, C J', 'Doggett, N A', 'Deaven, L L', 'Moyzis, R K']",,,,['Fanconi anaemia/Breast cancer consortium'],,,,
8896539,NLM,MEDLINE,19961204,20190512,0022-1899 (Print) 0022-1899 (Linking),174 Suppl 3,,1996 Nov,Varicella vaccine for immunocompromised children: results of collaborative studies in the United States and Canada.,S320-3,"Varicella vaccine in immunocompromised children was clinically evaluated in 575 US and Canadian children with leukemia in remission by the Varicella Vaccine Collaborative Study. Most children had chemotherapy stopped 1 week before and 1 week after immunization. Steroids were stopped for 3 weeks (1 week before to 2 weeks after vaccination). Varicella vaccine was safe, immunogenic, and effective in leukemic children at risk for serious disease or death from chickenpox. The major side effect was mild rash in 50% approximately 1 month after immunization. About 40% of children who developed rash were treated with acyclovir. Vaccine efficacy was judged by the degree of protection after a household exposure to varicella; of 123 exposed children, 17 (14%) developed a mild form of varicella. The vaccine protected completely against severe varicella. Leukemic vaccines were less likely to develop zoster than were comparable children with leukemia who had wild type varicella. Thus, varicella vaccine, administered carefully with close follow-up, is extremely beneficial for leukemic children.","['LaRussa, P', 'Steinberg, S', 'Gershon, A A']","['LaRussa P', 'Steinberg S', 'Gershon AA']","['Department of Pediatrics, Columbia University College of Physicians and Surgeons, New York, New York 10032, USA.']",['eng'],['Journal Article'],United States,J Infect Dis,The Journal of infectious diseases,0413675,['0 (Chickenpox Vaccine)'],IM,"['Canada', 'Chickenpox/*prevention & control', 'Chickenpox Vaccine/adverse effects/*immunology', 'Child', 'Humans', 'Immunization', 'Immunocompromised Host', 'Leukemia/*immunology', 'United States']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1093/infdis/174.supplement_3.s320 [doi]'],ppublish,J Infect Dis. 1996 Nov;174 Suppl 3:S320-3. doi: 10.1093/infdis/174.supplement_3.s320.,,,,,,,,,,,,,,,,,,
8896494,NLM,MEDLINE,19961127,20190512,0022-1899 (Print) 0022-1899 (Linking),174,5,1996 Nov,Endemic infection with human T cell leukemia/lymphoma virus type IIB in Argentinean and Paraguayan Indians: epidemiology and molecular characterization.,944-53,"Human T cell leukemia/lymphoma virus (HTLV-II) type II infection was detected by polymerase chain reaction or serologic analyses (or both) in 22% of 697 Indians of six different ethnic back-grounds inhabiting the Argentinean and Paraguayan Gran Chaco. None was infected with HTLV-I. The prevalence of HTLV-II increased with age (14% in those < 13 years and 23% in those > or = 13 years). HTLV-II infection was found in all 20 Gran Chaco communities studied, but marked differences (44%-4%) in the rate of infection were observed even in communities separated by only a few miles. These variations correlated closely with ethnicity. In the high-incidence communities, infection clustered within families, with evidence for both sexual and perinatal transmission, primarily via breast-feeding. By contrast, only 2% of 94 Mapuche Indians from southern Argentina were positive for HTLV-II. Analyses of pol and long terminal repeat sequences from 15 Gran Chaco HTLV-II strains indicated that they constitute a highly conserved branch of the HTLV-IIB substrain.","['Ferrer, J F', 'Esteban, E', 'Dube, S', 'Basombrio, M A', 'Segovia, A', 'Peralta-Ramos, M', 'Dube, D K', 'Sayre, K', 'Aguayo, N', 'Hengst, J', 'Poiesz, B J']","['Ferrer JF', 'Esteban E', 'Dube S', 'Basombrio MA', 'Segovia A', 'Peralta-Ramos M', 'Dube DK', 'Sayre K', 'Aguayo N', 'Hengst J', 'Poiesz BJ']","['Comparative Leukemia and Retrovirus Unit, New Bolton Center, University of Pennsylvania, Kennett Square, PA 19348, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Infect Dis,The Journal of infectious diseases,0413675,,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Argentina/epidemiology', 'Child', 'Child, Preschool', 'Female', 'HTLV-II Infections/*epidemiology/transmission', 'Human T-lymphotropic virus 2/*genetics', 'Humans', 'Indians, South American', 'Male', 'Paraguay/epidemiology', 'Phylogeny', 'Polymerase Chain Reaction']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1093/infdis/174.5.944 [doi]'],ppublish,J Infect Dis. 1996 Nov;174(5):944-53. doi: 10.1093/infdis/174.5.944.,,,['HB-67021/HB/NHLBI NIH HHS/United States'],,,,,,,,,,,,,,,
8896451,NLM,MEDLINE,19961206,20211203,0261-4189 (Print) 0261-4189 (Linking),15,20,1996 Oct 15,G2 arrest and impaired nucleocytoplasmic transport in mouse embryos lacking the proto-oncogene CAN/Nup214.,5574-83,"The vertebrate nucleopore complex (NPC) is a 125 MDa multiprotein assembly that mediates nucleocytoplasmic transport. One of its components, CAN/Nup214, is an FXFG repeat-containing protein known to be involved in myeloid leukemia in humans. We have devised a powerful genetic approach, using maternally derived protein in murine null embryos, to show that CAN/ Nup214 is essential for NPC function in vivo. We demonstrate that CAN-/- mouse embryonic stem (ES) cells are not viable and that CAN-/- embryos die in utero between 4.0 and 4.5 days postcoitum, following the depletion of their CAN from maternal sources. In 3.5-day-old mutant embryos, cultured in vitro, progressive depletion of CAN leads to cell cycle arrest in G2 phase, and eventually to blastocoel collapse, impaired NLS-mediated protein uptake and nuclear accumulation of polyadenylated RNA. Remarkably, these defective CAN-depleted embryos do not display any gross morphological abnormalities in their nuclear envelopes or NPCs. Our data suggest that CAN is critical to cell cycle progression and required for both nuclear protein import and mRNA export.","['van Deursen, J', 'Boer, J', 'Kasper, L', 'Grosveld, G']","['van Deursen J', 'Boer J', 'Kasper L', 'Grosveld G']","[""Department of Genetics, St Jude Children's Research Hospital, Memphis, TN 38105, USA.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,EMBO J,The EMBO journal,8208664,"['0 (MAS1 protein, human)', '0 (Nuclear Pore Complex Proteins)', '0 (Nuclear Proteins)', '0 (Nup214 protein, mouse)', '0 (Oncogene Proteins)', '0 (Proto-Oncogene Mas)', '0 (RNA, Messenger)']",IM,"['Animals', 'Biological Transport', 'Blastocyst/*cytology', 'Cell Nucleus/metabolism', 'Cytoplasm/metabolism', 'Fluorescent Antibody Technique, Indirect', '*G2 Phase', 'Mice', 'Mice, Mutant Strains', '*Nuclear Pore Complex Proteins', 'Nuclear Proteins/*physiology', 'Oncogene Proteins/*physiology', 'Proto-Oncogene Mas', 'RNA, Messenger/metabolism']",1996/10/15 00:00,1996/10/15 00:01,['1996/10/15 00:00'],"['1996/10/15 00:00 [pubmed]', '1996/10/15 00:01 [medline]', '1996/10/15 00:00 [entrez]']",,ppublish,EMBO J. 1996 Oct 15;15(20):5574-83.,PMC452302,,['CA-21765/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
8896437,NLM,MEDLINE,19961216,20210216,0006-4971 (Print) 0006-4971 (Linking),88,9,1996 Nov 1,Itraconazole more bioavailable in solution.,3662-3,,"['Prentice, A G', 'Warnock, D W']","['Prentice AG', 'Warnock DW']",,['eng'],['Letter'],United States,Blood,Blood,7603509,"['0 (Antifungal Agents)', '304NUG5GF4 (Itraconazole)']",IM,"['Antifungal Agents/*therapeutic use', 'Graft Rejection/*prevention & control', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Itraconazole/*therapeutic use', 'Leukemia, Myeloid, Acute/*drug therapy', 'Transplantation, Autologous']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['S0006-4971(20)61385-4 [pii]'],ppublish,Blood. 1996 Nov 1;88(9):3662-3.,,,,,,,,,,,,,,,,,,
8896436,NLM,MEDLINE,19961216,20210216,0006-4971 (Print) 0006-4971 (Linking),88,9,1996 Nov 1,Transduction of hematopoietic cells by foamy virus vectors.,3654-61,"Foamy viruses are retroviruses of the spumavirus family that are often isolated from primary cultures of primate cells. We previously constructed vectors based on human foamy virus (HFV) and found that they were able to transduce a wide variety of vertebrate cells by integration of the vector genome. Here we show that several types of hematopoietic cells are efficiently transduced by an HFV vector that encodes alkaline phosphatase (AP). These cell types include transformed cell lines and primary hematopoietic progenitors from mice, baboons, and humans. The transduction rates of HFV vectors compare favorably with those obtained by murine leukemia virus vectors, which suggests that HFV vectors may be effective in the treatment of hematologic diseases by gene therapy.","['Hirata, R K', 'Miller, A D', 'Andrews, R G', 'Russell, D W']","['Hirata RK', 'Miller AD', 'Andrews RG', 'Russell DW']","['Department of Medicine, University of Washington, Seattle 98195-7720, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Animals', 'Cell Adhesion/genetics', 'Cell Differentiation/genetics', 'Cell Line, Transformed', 'Cells, Cultured', 'Coculture Techniques', '*Genetic Vectors', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Mice', 'Papio', '*Spumavirus']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['S0006-4971(20)61384-2 [pii]'],ppublish,Blood. 1996 Nov 1;88(9):3654-61.,,,"['HL03100/HL/NHLBI NIH HHS/United States', 'HL53750/HL/NHLBI NIH HHS/United States', 'N01-AI35191/AI/NIAID NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,
