PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,OID,GN,GR,SI,OTO,OT
630604,NLM,MEDLINE,19780508,20211203,0008-8749 (Print) 0008-8749 (Linking),36,1,1978 Mar 1,The immunocompetence of tumor T cells and their role in generalized immunosuppression and immunostimulation following inoculation of dimethylbenzanthracene-induced leukemia virus in mice.,128-42,,"['Roder, J C', 'Tyler, L', 'Ball, J K', 'Singhal, S K']","['Roder JC', 'Tyler L', 'Ball JK', 'Singhal SK']",['eng'],['Journal Article'],Netherlands,Cell Immunol,Cellular immunology,1246405,,IM,"['Animals', '*Antibody Formation', 'Cell Transformation, Viral', 'Immunosuppression Therapy', 'Leukemia, Experimental/etiology/*immunology', 'Mice', 'Spleen/cytology']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']","['0008-8749(78)90256-3 [pii]', '10.1016/0008-8749(78)90256-3 [doi]']",ppublish,Cell Immunol. 1978 Mar 1;36(1):128-42. doi: 10.1016/0008-8749(78)90256-3.,,,,,,,,
630548,NLM,MEDLINE,19780517,20190619,0008-543X (Print) 0008-543X (Linking),41,2,1978 Feb,Liver disease complicating the management of acute leukemia during remission.,737-42,"Eight adults who developed persisting liver function abnormalities during remission from acute leukemia (6 acute nonlymphoblastic leukemia and 2 acute lymphoblastic leukemia) are reported. These patients constituted 20% of the adults with acute leukemia attaining remission over the time period studied. Although we were unable to be absolutely certain of the etiology of the liver dysfunction, the following findings characterize the problem: 1) onset following red blood cell and platelet transfusions in all cases; 2) minimal symptoms and signs except for transient episodes of jaundice; 3) fluctuating, but often marked, increases in liver transaminases; 4) no other consistent laboratory abnormalities; 5) liver biopsies showing varying degrees of inflammation; 6) a consistent decrease in transaminase levels following pulse chemotherapy; 7) absence of progression of abnormalities during the observation period. This group of patients did not have a worse prognosis than patients with normal liver function. We feel that it is important to recognize this entity and to not withhold antileukemic therapy.","['Armitage, J O', 'Burns, C P', 'Kent, T H']","['Armitage JO', 'Burns CP', 'Kent TH']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', 'EC 2.6.1.1 (Aspartate Aminotransferases)']",IM,"['Acute Disease', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Aspartate Aminotransferases/blood', 'Blood Transfusion', 'Female', 'Hepatitis, Viral, Human/complications', 'Humans', 'Leukemia/*complications/therapy', 'Liver Diseases/*complications/enzymology/etiology', 'Male', 'Middle Aged', 'Remission, Spontaneous']",1978/02/01 00:00,1978/02/01 00:01,['1978/02/01 00:00'],"['1978/02/01 00:00 [pubmed]', '1978/02/01 00:01 [medline]', '1978/02/01 00:00 [entrez]']",['10.1002/1097-0142(197802)41:2<737::aid-cncr2820410246>3.0.co;2-7 [doi]'],ppublish,Cancer. 1978 Feb;41(2):737-42. doi: 10.1002/1097-0142(197802)41:2<737::aid-cncr2820410246>3.0.co;2-7.,,,,,,,,
630255,NLM,MEDLINE,19780517,20190501,0007-1447 (Print) 0007-1447 (Linking),1,6113,1978 Mar 11,High incidence of vincristine-induced neuropathy in lymphomas.,610-2,"The incidence of vincristine-induced neuropathy was studied in 60 unselected patients, of whom 23 had lymphoma and 37 had other malignant disease. All were treated with vincristine combined with other cytotoxic agents. Fourteen of the patients with lymphoma (61%) developed neuropathy compared with five patients with leukaemia or non-lymphoid cancer (14%), even though all patients received comparable doses of vincristine. The difference between the two groups in the incidence of neuropathy was highly significant. Of the patients who developed neuropathy, 17 did so within the first three months of treatment and seven in the first month. Patients with lymphoma who are receiving vincristine should be observed carfully for symptoms and signs of neuropathy. Vincristine should be withdrawn if progressive neurotoxicity develops.","['Watkins, S M', 'Griffin, J P']","['Watkins SM', 'Griffin JP']",['eng'],"['Comparative Study', 'Journal Article']",England,Br Med J,British medical journal,0372673,['5J49Q6B70F (Vincristine)'],IM,"['Age Factors', 'Humans', 'Liver Neoplasms', 'Lymphoma/*drug therapy', 'Neoplasm Metastasis', 'Nervous System Diseases/*chemically induced', 'Vincristine/administration & dosage/*adverse effects']",1978/03/11 00:00,1978/03/11 00:01,['1978/03/11 00:00'],"['1978/03/11 00:00 [pubmed]', '1978/03/11 00:01 [medline]', '1978/03/11 00:00 [entrez]']",['10.1136/bmj.1.6113.610 [doi]'],ppublish,Br Med J. 1978 Mar 11;1(6113):610-2. doi: 10.1136/bmj.1.6113.610.,,PMC1603389,,,,,,
630218,NLM,MEDLINE,19780517,20190501,0007-1447 (Print) 0007-1447 (Linking),1,6112,1978 Mar 4,Occupational exposure to petroleum products in men with acute non-lymphocytic leukaemia.,553,,"['Brandt, L', 'Nilsson, P G', 'Mitelman, F']","['Brandt L', 'Nilsson PG', 'Mitelman F']",['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,"['0 (Petroleum)', 'J64922108F (Benzene)']",IM,"['Adult', 'Aged', 'Benzene/adverse effects', 'Environmental Exposure', 'Humans', 'Leukemia/*chemically induced', 'Male', 'Middle Aged', 'Occupational Diseases/*chemically induced', 'Petroleum/*adverse effects']",1978/03/04 00:00,1978/03/04 00:01,['1978/03/04 00:00'],"['1978/03/04 00:00 [pubmed]', '1978/03/04 00:01 [medline]', '1978/03/04 00:00 [entrez]']",['10.1136/bmj.1.6112.553 [doi]'],ppublish,Br Med J. 1978 Mar 4;1(6112):553. doi: 10.1136/bmj.1.6112.553.,,PMC1603268,,,,,,
630114,NLM,MEDLINE,19780517,20210216,0006-4971 (Print) 0006-4971 (Linking),51,4,1978 Apr,Osmotic fragility of peripheral blood lymphocytes in chronic lymphatic leukemia and malignant lymphoma.,645-51,"The osmotic fragility (OF) of peripheral blood lymphocytes from patients with chronic lymphatic leukemia (CLL) and non-Hodgkin malignant lymphoma (ML) was investigated employing an automatic recording method and compared with that of lymphocytes from healthy subjects and from patients suffering from various non-neoplastic diseases. The curves from CLL and ML showed a pattern of increased lymphocyte OF compared with those of the two control groups, and the difference was statistically significant ( less than 0.001). In CLL the increase in OF was more pronounced than in ML, and the shape of the curve was different from that in the other groups. The employment of peripheral blood lymphocyte OF as an additional diagnostic parameter in the diagnosis of CLL and ML is suggested.","['Resnitzky, P', 'Reichman, N']","['Resnitzky P', 'Reichman N']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Lymphoid/*blood', 'Light', 'Lymphocytes/*physiology', 'Lymphoma/*blood', 'Male', 'Middle Aged', 'Osmotic Fragility', 'Time Factors']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",['S0006-4971(20)72668-6 [pii]'],ppublish,Blood. 1978 Apr;51(4):645-51.,,,,,,,,
630112,NLM,MEDLINE,19780517,20210216,0006-4971 (Print) 0006-4971 (Linking),51,4,1978 Apr,Erythrokinetics and ferrokinetics of a viral-induced murine erythroblastosis.,623-32,"A variant of Rauscher leukemia virus, designated RLV-A, induced a slow progressive impairment of erythropoiesis in BALB/c mice. Identified in this study were a shortened red cell 51-cr half-time, anemia with indices showing minimal but significant hypochromia, ineffective erythropoiesis, and infiltration of the liver, spleen, and peripheral blood with erythroid pecursors. Ferrokinetic studies indicated a normal plasma iron turnover in infected mice but a decreased red cell iron turnover. Large amounts of 59Fe were taken up by the enlarged liver and spleen. Peak splenic heme 59Fe synthesis was delayed 12 hr in the infected mice. The substantial increase in the splenic intraerythrocytic nonheme iron pool and the hypochromic indices indicate a process analogous to that seen in the sideroblastic anemias. The disease produced by this RLV-A variant may prove useful for studying various aspects of the preleukemic sideroblastic anemias and DiGuglielmo syndrome.","['Morse, B', 'Giuliani, D', 'Fredrickson, T', 'LoBue, J']","['Morse B', 'Giuliani D', 'Fredrickson T', 'LoBue J']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,['E1UOL152H7 (Iron)'],IM,"['Anemia/complications', 'Animals', 'Blood Volume', 'Erythrocyte Aging', '*Erythrocytes', 'Hematopoiesis', 'Iron/blood/*metabolism', 'Kinetics', 'Leukemia, Experimental/blood/*etiology', 'Liver/pathology', 'Mice', 'Mice, Inbred BALB C', 'Rauscher Virus']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",['S0006-4971(20)72666-2 [pii]'],ppublish,Blood. 1978 Apr;51(4):623-32.,,,,,,,,
629894,NLM,MEDLINE,19780517,20190503,0007-1072 (Print) 0007-1072 (Linking),35,1,1978 Feb,Arsenic exposure and mortality: a case-referent study from a Swedish copper smelter.,8-15,"An increased mortality from lung cancer, cardiovascular disease, haematolymphatic malignancy and cirrhosis of the liver has been reported among smelter workers and others exposed to arsenic. This study uses the case-referent (case-control) technique and is concerned with workers in a copper smelter in a complex work environment, characterised by the presence of trivalent arsenic in combination with sulphur dioxide and copper, and also with other agents. Lung cancer mortality was found to be increased about five-fold and cardiovascular disease about two-fold, showing a dose-response relationship to arsenic exposure. Mortality from malignant blood disease (leukaemia and myeloma) and cirrhosis of the liver was also slightly increased. This mortality pattern among the smelter workers is consistent with earlier reports. An increased mortality from cardiovascular disease in this type of industry is of particular interest as it has been reported only once before.","['Axelson, O', 'Dahlgren, E', 'Jansson, C D', 'Rehnlund, S O']","['Axelson O', 'Dahlgren E', 'Jansson CD', 'Rehnlund SO']",['eng'],['Journal Article'],England,Br J Ind Med,British journal of industrial medicine,0370637,['N712M78A8G (Arsenic)'],IM,"['Adult', 'Aged', 'Arsenic/*adverse effects', 'Cardiovascular Diseases/mortality', 'Cerebrovascular Disorders/mortality', 'Environmental Exposure', 'Humans', 'Liver Cirrhosis/mortality', 'Lung Neoplasms/mortality', 'Male', '*Metallurgy', 'Middle Aged', 'Occupational Diseases/chemically induced/*mortality', 'Sweden']",1978/02/01 00:00,1978/02/01 00:01,['1978/02/01 00:00'],"['1978/02/01 00:00 [pubmed]', '1978/02/01 00:01 [medline]', '1978/02/01 00:00 [entrez]']",['10.1136/oem.35.1.8 [doi]'],ppublish,Br J Ind Med. 1978 Feb;35(1):8-15. doi: 10.1136/oem.35.1.8.,,PMC1008317,,,,,,
629678,NLM,MEDLINE,19780426,20190704,0003-9950 (Print) 0003-9950 (Linking),96,2,1978 Feb,Human albinism. Light and electron microscopy study.,305-10,"The eyes of a 13-year-old leukemic boy with the attributes of tyrosinase-negative oculocutaneous albinism were obtained for light and electron microscopic study. Repeated examinations had failed to reveal WBCs with giant oxidase-positive granules, and leukemic involvement of the fundus never occurred. Light microscopic examination of horizontal and vertical sections through the retina confirms earlier reports that the fovea is absent in albinos. The synaptic apparatus of the photoreceptor terminals appears abnormal. The rough endoplasmic reticulum of the retinal pigment epithelial cells is sparse though the presence of phagosomes suggests that phagocytic function is intact. Suggestions as to the importance that the morphological findings may have on albino visual function are made.","['Fulton, A B', 'Albert, D M', 'Craft, J L']","['Fulton AB', 'Albert DM', 'Craft JL']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Ophthalmol,"Archives of ophthalmology (Chicago, Ill. : 1960)",7706534,,IM,"['Acute Disease', 'Adolescent', 'Albinism/complications/*pathology', 'Humans', 'Leukemia/complications', 'Male', 'Microscopy', 'Microscopy, Electron', 'Photoreceptor Cells/pathology', 'Pigment Epithelium of Eye/pathology/ultrastructure', 'Retina/*pathology/ultrastructure', 'Visual Pathways/*pathology/ultrastructure']",1978/02/01 00:00,1978/02/01 00:01,['1978/02/01 00:00'],"['1978/02/01 00:00 [pubmed]', '1978/02/01 00:01 [medline]', '1978/02/01 00:00 [entrez]']",['10.1001/archopht.1978.03910050173014 [doi]'],ppublish,Arch Ophthalmol. 1978 Feb;96(2):305-10. doi: 10.1001/archopht.1978.03910050173014.,,,,,,,,
629594,NLM,MEDLINE,19780426,20190823,0003-9896 (Print) 0003-9896 (Linking),33,1,1978 Jan-Feb,Mortality among individuals occupationally exposed to benzene.,3-10,"The mortality experience of 594 individuals occupationally exposed to benzene was investigated using a retrospective cohort design. Three hundred thirty-five of the employees began working in benzene areas prior to 1950, which provided a sound data base from which to examine latency. Data derived from work histories and industrial hygiene records permitted estimation of exposure intensities and cumulative dosages for each employee. No mortalities directly attributable to benzene exposure were observed. Several cases of leukemia and other blood disorders were noted and discussed.","['Ott, M G', 'Townsend, J C', 'Fishbeck, W A', 'Langner, R A']","['Ott MG', 'Townsend JC', 'Fishbeck WA', 'Langner RA']",['eng'],['Journal Article'],United States,Arch Environ Health,Archives of environmental health,0212627,"['0 (Benzene Derivatives)', 'J64922108F (Benzene)']",IM,"['Anemia/epidemiology', 'Benzene/*adverse effects', 'Benzene Derivatives/*adverse effects', 'Dose-Response Relationship, Drug', 'Humans', 'Leukemia/epidemiology', 'Male', 'Michigan', '*Mortality', 'Occupational Diseases/epidemiology', '*Occupational Medicine', 'Retrospective Studies', 'Time Factors']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",['10.1080/00039896.1978.10667299 [doi]'],ppublish,Arch Environ Health. 1978 Jan-Feb;33(1):3-10. doi: 10.1080/00039896.1978.10667299.,,,,,,,,
629437,NLM,MEDLINE,19780426,20061115,0002-9645 (Print) 0002-9645 (Linking),39,1,1978 Jan,Thymus cell variations in AKR leukemia.,145-9,"The thymus cells from spontaneous and 1st generation AKR leukemic mice were investigated, using electronic cell-volume distributions. The growth pattern of thymus cells in the mice with transplanted leukemic cells varied with the type of donor cells injected. After the transplantation of leukemic cells into 2 month-old recipients, the cortex of thymus decreased in size and medulla of thymus enlarged. The thymus underwent atrophy next, followed by a proliferation of the large-sized cells (greater than channel 40, 136 micrometer3). The electronic cell-volume distributions of the thymus cells from the spontaneous leukemic mice encompass the distributions of thymus cells during the growth of the transplanted leukemia.","['Zucker, R M', 'Helfman, D M', 'Tershakovec, A M']","['Zucker RM', 'Helfman DM', 'Tershakovec AM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Vet Res,American journal of veterinary research,0375011,,IM,"['Animals', 'Bone Marrow/pathology', 'Leukemia, Experimental/*pathology', 'Lymph Nodes/pathology', 'Mice', '*Mice, Inbred AKR', 'Neoplasm Transplantation', 'Spleen/pathology', 'Thymus Gland/*pathology', 'Transplantation, Homologous']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1978 Jan;39(1):145-9.,,,,,,,,
628851,NLM,MEDLINE,19780426,20190702,0038-4348 (Print) 0038-4348 (Linking),71,3,1978 Mar,Otolaryngologic manifestations of acute leukemia and lymphoma.,277-80,"This paper reviews the otolaryngologic manifestations of acute leukemia and lymphoma. Our experience includes 50 patients with acute leukemia and 61 patients with lymphoma of the head and neck. Acute leukemia was manifested by infection, bleeding, tissue infiltration, and complications of chemotherapy. Lymphoma manifestations were usually head and neck masses. The otolaryngologist must be familiar with the manifestations of these disease entities.","['Fierstein, J T', 'Thawley, S E']","['Fierstein JT', 'Thawley SE']",['eng'],['Journal Article'],United States,South Med J,Southern medical journal,0404522,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Bacterial Infections/etiology', 'Head and Neck Neoplasms/*complications', 'Hemorrhage/etiology', 'Humans', 'Leukemia/*complications/drug therapy', 'Lymphoma/*complications/drug therapy', 'Otorhinolaryngologic Diseases/*etiology', 'Pharyngitis/etiology']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",['10.1097/00007611-197803000-00023 [doi]'],ppublish,South Med J. 1978 Mar;71(3):277-80. doi: 10.1097/00007611-197803000-00023.,,,,,,,,
628663,NLM,MEDLINE,19780426,20061115,0552-2080 (Print) 0552-2080 (Linking),23,1,1978 Jan,[Characteristics of hemoblastosis incidence on various territories of the Soviet Union (according to the data of sampling studies)].,3-9,,"['Khokhlova, M P', 'Iashanova, N D', 'Osechinskii, I V', 'Martirosov, A R', 'Abdushelishvili, R G']","['Khokhlova MP', 'Iashanova ND', 'Osechinskii IV', 'Martirosov AR', 'Abdushelishvili RG']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,IM,"['Humans', 'Leukemia/*epidemiology', 'Lymphoma/*epidemiology', 'Sampling Studies', 'USSR']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1978 Jan;23(1):3-9.,Kharakteristika zabolevaemosti gemoblastozami na razlichnykh territoriiakh Sovetskogo Soiuza (po dannym vyborochnykh issledovanii).,,,,,,,
628662,NLM,MEDLINE,19780426,20071115,0552-2080 (Print) 0552-2080 (Linking),23,1,1978 Jan,[Lymphocyte blast-transformation in lymphocytic leukemia].,24-27,,"['Biriukova, I V', 'Buravleva, I V']","['Biriukova IV', 'Buravleva IV']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,IM,"['Adult', 'Aged', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Lymphocyte Activation', 'Lymphocytes/*immunology', 'Middle Aged']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1978 Jan;23(1):24-27.,Blasttransformatsiia limfotsitov pri khronicheskom limfoleikoze.,,,,,,,
628224,NLM,MEDLINE,19780426,20131213,0025-6196 (Print) 0025-6196 (Linking),53,3,1978 Mar,Infectious mononucleosis in the older patient.,146-50,"Six cases of infectious mononucleosis in patients more than 60 years old were reviewed. The geriatric patient with infectious mononucleosis often presents with nonspecific constitutional symptoms, without exudative pharyngitis. The disease may present as fever of obscure origin or mimic chronic lymphocytic leukemia in this age group. Diagnosis is established through characteristic findings on hematologic and serologic studies.","['Carter, J W', 'Edson, R S', 'Kennedy, C C']","['Carter JW', 'Edson RS', 'Kennedy CC']",['eng'],"['Case Reports', 'Journal Article']",England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,,IM,"['Age Factors', 'Aged', 'Female', 'Humans', 'Infectious Mononucleosis/*diagnosis', 'Male', 'Middle Aged']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,Mayo Clin Proc. 1978 Mar;53(3):146-50.,,,,,,,,
628213,NLM,MEDLINE,19780426,20190819,0022-4790 (Print) 0022-4790 (Linking),10,1,1978,Response of lymphoid leukemia L1210 in mice to implantable sustained release cytosine arabinoside capsules.,1-7,"The lifespan of BDF mice with ascitic L1210 leukemia is more than doubled when they are treated with a single subcutaneously or intraperitoneally implanted sustained release cytosine arabinoside capsule. These capsules are drug-polymer composites, with dimensions of 1.0 cm in diameter and 0.15 cm in thickness, and a drug content of 17 +/- 3 mg each. Blank silicone rubber discs implanted intraperitoneally or subcutaneously in the leukemic mice produced no beneficial effects. Control healthy mice receiving the ARA-C releasing capsules continued to live with no obvious signs of drug toxicity. In vitro release of ARA-C from the discs was measured. Drug release was maintained above 20 micrograms per day for more than 35 days. ARA-C extracted from discs recovered from implant studies showed that less than 16% of the total drug content was released in vivo.","['Fu, J C', 'Khwaja, T', 'Moyer, D L', 'Cummings, L', 'Varvan, J', 'Elshire, D']","['Fu JC', 'Khwaja T', 'Moyer DL', 'Cummings L', 'Varvan J', 'Elshire D']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Surg Oncol,Journal of surgical oncology,0222643,"['0 (Drug Implants)', '04079A1RDZ (Cytarabine)']",IM,"['Animals', 'Cytarabine/*administration & dosage/therapeutic use', '*Drug Implants', 'Leukemia L1210/*drug therapy/mortality', 'Mice', 'Time Factors']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",['10.1002/jso.2930100102 [doi]'],ppublish,J Surg Oncol. 1978;10(1):1-7. doi: 10.1002/jso.2930100102.,,,,,,,,
628189,NLM,MEDLINE,19780426,20091111,0023-2165 (Print) 0023-2165 (Linking),172,1,1978 Jan,[Impaired visual perception in progressive multifocal leukoencephalopathy; a clinical diagnosis based on sequential computerized axial tomography (author's transl)].,94-9,"Progressive multifocal leukoencephalopathy (PML) is a viral illness affecting principally cerebral white matter of patients, who have diminished immunologic resistance. A patient is presented, whose initial complaint was blurred vision. Relentless progression over a period of seven months to left hemianopsia, prosopagnosia, alexia with agraphia and eventually cortical blindness was observed. Accompanying the visual impairment was a steady deterioration of mental function. Sequential computerized axial tomography defined low density lesions in the occipital white matter with sparing of the cortical ribbon. As hemianopsia progressed to cortical blindness, the scans confirmed the evolution of bilaterial occipital lesions. The diagnosis was made clinically and established on histological and cultural grounds. Computerized tomography seems to be valuable in diagnosis and monitoring progress of PML.","['Hamann, K U', 'Shults, W T', 'Hoyt, W F']","['Hamann KU', 'Shults WT', 'Hoyt WF']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Klin Monbl Augenheilkd,Klinische Monatsblatter fur Augenheilkunde,0014133,,IM,"['Aged', 'Hemianopsia/etiology', 'Humans', 'Leukemia, Lymphoid/complications', 'Leukoencephalopathy, Progressive Multifocal/complications/*diagnosis', 'Male', 'Tomography, X-Ray Computed', 'Vision Disorders/*etiology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Klin Monbl Augenheilkd. 1978 Jan;172(1):94-9.,Visuelle Wahrnehmungsstorungen bei progressiver multifokaler Leukoenzephalopathie (Ein Fall klinisch diagnostiziert mit Hilfe der Computertomographie).,,,,,,,
628129,NLM,MEDLINE,19780426,20091111,0021-7263 (Print) 0021-7263 (Linking),142,3,1978 Mar,Association of blue rubber bleb nevus syndrome with chronic lymphocytic leukemia and hypernephroma.,91-4,"A male patient with clinical and pathologic features of blue rubber bleb nevus syndrome is described. Multiple hemangiomata were disseminated throughout the skin and gastrointestinal tract, and typical findings of B cell chronic lymphocytic leukemia and renal cell carcinoma were evident. This case demonstrates a unique instance of associated neoplasia in blue rubber bleb nevus syndrome.","['Hoffman, T', 'Chasko, S', 'Safai, B']","['Hoffman T', 'Chasko S', 'Safai B']",['eng'],"['Case Reports', 'Journal Article']",United States,Johns Hopkins Med J,The Johns Hopkins medical journal,0072456,,IM,"['Adenocarcinoma/*complications/pathology', 'Aged', 'Chronic Disease', 'Hemangioma/pathology', 'Humans', 'Kidney/pathology', 'Kidney Neoplasms/*complications/pathology', 'Leukemia, Lymphoid/*complications', 'Liver/pathology', 'Liver Neoplasms/pathology', 'Male', '*Neoplasms, Multiple Primary', 'Nevus, Pigmented/*complications', 'Syndrome']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,Johns Hopkins Med J. 1978 Mar;142(3):91-4.,,,,,,,,
628005,NLM,MEDLINE,19780426,20190709,0022-2623 (Print) 0022-2623 (Linking),21,3,1978 Mar,Antineoplastic agents. Structure-activity relationship study of bis(substituted aminoalkylamino)anthraquinones.,291-4,"A structure-activity relationship study was conducted on a number of bis(substituted aminoalkylamino)anthraquinones. These compounds were prepared by the condensation of substituted or unsubstituted leucoquinizarin with appropriate amines, followed by air oxidation. Both the position and the nature of the center nitrogen atom of the side chain are vital to the antineoplastic activity. The possible mode of action of these aminoquinones was discussed. 1,4-Dihydroxy-5,8-bis[[2-(hydroxyethyl)amino]ethyl]amino-9,10-anthracenedione (DHAQ) was found to possess potent inhibitory activity against both the P-388 leukemia system (T/C of 299 at 0.5 mg/kg with 4/6 cures) and the B-16 melanoma system (T/C of 503 at 1 mg/kg with 7/10 cures).","['Zee-Cheng, R K', 'Cheng, C C']","['Zee-Cheng RK', 'Cheng CC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Anthraquinones)', '0 (Antineoplastic Agents)']",IM,"['Animals', 'Anthraquinones/chemical synthesis/pharmacology/*therapeutic use', 'Antineoplastic Agents/chemical synthesis', 'Leukemia, Experimental/*drug therapy', 'Melanoma/drug therapy', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Structure-Activity Relationship']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",['10.1021/jm00201a012 [doi]'],ppublish,J Med Chem. 1978 Mar;21(3):291-4. doi: 10.1021/jm00201a012.,,,,,,,,
628003,NLM,MEDLINE,19780426,20190709,0022-2623 (Print) 0022-2623 (Linking),21,3,1978 Mar,Adriamycin analogues. 2. Synthesis of 13-deoxyanthracyclines.,280-3,"The syntheses of several 13-deoxyanthracyclines are described. Koenigs-Knorr condensation of epsilon-rhodomycinone (12) with the protected daunosaminyl chloride 15 afforded 14 after deprotection. Efforts to decarbomethoxylate 12, as well as attempts to selectively deoxygenate the 13 position of daunomycinone and adriamycinone, were unsuccessful as approaches to 13-deoxyanthracyclines. However, reaction of the readily available tosylhydrazones 4 and 5, of daunorubicin and adriamycin with NaCNBH3 in acidic MeOH, afforded the 13-deoxy analogues 6 and 7 in satisfactory yield. These compounds retained antitumor activity, being comparable to the parent compounds in both efficacy and potency in the P-388 mouse leukemia screen. The epsilon-rhodomycinone glycoside 14 was less active than 6 and 7.","['Smith, T H', 'Fujiwara, A N', 'Henry, D W']","['Smith TH', 'Fujiwara AN', 'Henry DW']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['80168379AG (Doxorubicin)', '9007-49-2 (DNA)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'DNA/metabolism', 'Daunorubicin/pharmacology', 'Doxorubicin/*analogs & derivatives/chemical synthesis/pharmacology/therapeutic use', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Mice']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",['10.1021/jm00201a009 [doi]'],ppublish,J Med Chem. 1978 Mar;21(3):280-3. doi: 10.1021/jm00201a009.,,,,,,,,
