PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,PMC,CON,EIN,CIN,SI,RIN,LID,RF,PS,FPS
2747983,NLM,MEDLINE,19890825,20071115,0026-4806 (Print) 0026-4806 (Linking),80,6,1989 Jun,[Clinical significance of the determination of lactate dehydrogenase in acute leukemia and non-Hodgkin's lymphoma].,549-52,"The serum concentration of LDH increases in various cancers and its increase can represent a prognostic marker of the disease and a good indicator of the tumoral mass's degree of growth. In patients with acute leukaemia, LDH can show a moderate increase only in some cases of acute non-lymphoblastic leukaemia with FAB M4 and M5 cytotype, whereas in acute lymphoblastic leukaemia LDH almost always increases, an event related to the number of white cells during remission or a relapse of the disease. In non-Hodgkin lymphomas, measurement of total LDH is not on its own a useful aid for monitoring the therapeutic response and the course of the disease. In such cases it is right to also evaluate LDH isoenzymes because they pinpoint the persistence of residual lymphomatous foci which do not affect the level of total LDH and have not clinical evidence.","[""D'Angelo, G"", 'Giardini, C', 'Calvano, D']","[""D'Angelo G"", 'Giardini C', 'Calvano D']","['U.S.S.L. n. 6, Gallarate Varese.']",['ita'],"['English Abstract', 'Journal Article']",Italy,Minerva Med,Minerva medica,0400732,"['0 (Isoenzymes)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['*Clinical Enzyme Tests', 'Humans', 'Isoenzymes', 'L-Lactate Dehydrogenase/analysis/*blood', 'Leukemia, Myeloid, Acute/*diagnosis', 'Lymphoma, Non-Hodgkin/*diagnosis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis', 'Prognosis', 'Tissue Distribution']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",,ppublish,Minerva Med. 1989 Jun;80(6):549-52.,,Significato clinico del dosaggio dell'enzima lattico deidrogenasi in corso di leucemie acute e linfomi non-Hodgkin.,,,,,,,,,,
2747977,NLM,MEDLINE,19890818,20161123,0026-4806 (Print) 0026-4806 (Linking),80,5,1989 May,[Chronic lymphatic leukemia with cerebral localization. A case report].,491-3,"Central nervous system (C.N.S.) involvement is present in 20% of leukemic patients, while it accounts for only 2% of primary extranodal localizations of malignant lymphoma (M.L.). A clinical case in which a neurological syndrome is the opening symptom of chronic lymphatic leukemia (C.L.L.) is described.","['Pandolfi, C', 'Sbalzarini, G', 'Nodari, C']","['Pandolfi C', 'Sbalzarini G', 'Nodari C']","['U.S.S.L. n. 56 Ospedale Maggiore, Lodi.']",['ita'],"['Case Reports', 'Journal Article']",Italy,Minerva Med,Minerva medica,0400732,,IM,"['Aged', 'Brain/diagnostic imaging', 'Brain Neoplasms/diagnostic imaging/pathology/*secondary', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnostic imaging/pathology', 'Male', 'Tomography, X-Ray Computed']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",,ppublish,Minerva Med. 1989 May;80(5):491-3.,,Leucemia linfatica cronica con localizzazione cerebrale. Descrizione de un caso.,,,,,,,,,,
2747749,NLM,MEDLINE,19890815,20071115,0028-4793 (Print) 0028-4793 (Linking),321,3,1989 Jul 20,Reducing the cost of the cure in childhood leukemia.,185-7,,"['Civin, C I']",['Civin CI'],,['eng'],"['Comment', 'Editorial']",United States,N Engl J Med,The New England journal of medicine,0255562,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*adverse effects', 'Child', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Ovary/*drug effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy', 'Testis/*drug effects']",1989/07/20 00:00,1989/07/20 00:01,['1989/07/20 00:00'],"['1989/07/20 00:00 [pubmed]', '1989/07/20 00:01 [medline]', '1989/07/20 00:00 [entrez]']",['10.1056/NEJM198907203210309 [doi]'],ppublish,N Engl J Med. 1989 Jul 20;321(3):185-7. doi: 10.1056/NEJM198907203210309.,,,,"['N Engl J Med. 1989 Jul 20;321(3):143-51. PMID: 2501681', 'N Engl J Med. 1989 Jul 20;321(3):136-42. PMID: 2787477']",,,,,,,,
2747672,NLM,MEDLINE,19890825,20171116,0027-2507 (Print) 0027-2507 (Linking),56,2,1989 Mar,Human immunodeficiency virus infection in transfused patients with acute leukemia.,86-9,"The human immunodeficiency virus (HIV) is transmitted by sexual contact and by blood products. Patients with acute leukemia are extensively transfused as part of their supportive care. We conducted a retrospective study of the incidence of HIV antibody positivity in patients treated for acute leukemia at The Mount Sinai Medical Center between 1970 and 1986. Serum samples from 106 patients were studied, including 71 (67%) with at least one posttransfusion specimen. Six were found to have HIV antibodies. All positive specimens occurred in patients treated between 1980 and April 1985, when mandatory HIV testing of blood donors began. Twelve percent of the 51 patients studied from this time period underwent seroconversion documented by the presence of HIV-negative specimens prior to transfusion. These results show that these extensively transfused patients were at significant risk for HIV infection during the time period 1980 to April 1985.","['Troy, K M', 'Cuttner, J', 'Louie, J E']","['Troy KM', 'Cuttner J', 'Louie JE']",,['eng'],['Journal Article'],United States,Mt Sinai J Med,"The Mount Sinai journal of medicine, New York",0241032,,IM,"['Acquired Immunodeficiency Syndrome/*transmission', 'Acute Disease', 'Adult', 'Aged', 'Female', 'HIV Seropositivity/diagnosis', 'Humans', 'Leukemia/*therapy', 'Leukemia, Myeloid, Acute/therapy', 'Male', 'Middle Aged', 'New York City', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Retrospective Studies', 'Risk', '*Transfusion Reaction']",1989/03/01 00:00,1989/03/01 00:01,['1989/03/01 00:00'],"['1989/03/01 00:00 [pubmed]', '1989/03/01 00:01 [medline]', '1989/03/01 00:00 [entrez]']",,ppublish,Mt Sinai J Med. 1989 Mar;56(2):86-9.,,,,,,,,,,,,
2747662,NLM,MEDLINE,19890825,20061115,0540-889X (Print) 0540-889X (Linking),29,2,1989 Apr,"[Ochronosis, based on a case].",119-23,A case of ochronosis is reported which caused no clinical symptoms and was recognized during postmortem. The diagnosis was verified by histological and chemical examinations. In the family of the deceased no alcaptonuria occurred. With decreasing isolation of the Czechoslovak mountain villages this disease is expected to become sporadic.,"['Folker, T']",['Folker T'],,['hun'],"['Case Reports', 'English Abstract', 'Journal Article']",Hungary,Morphol Igazsagugyi Orv Sz,Morphologiai es igazsagugyi orvosi szemle,0400757,,IM,"['Cartilage/pathology', 'Humans', 'Leukemia, Myeloid/complications/*pathology', 'Male', 'Middle Aged', 'Ochronosis/*pathology', 'Rheumatic Fever/complications/*pathology', 'Ribs/pathology']",1989/04/01 00:00,1989/04/01 00:01,['1989/04/01 00:00'],"['1989/04/01 00:00 [pubmed]', '1989/04/01 00:01 [medline]', '1989/04/01 00:00 [entrez]']",,ppublish,Morphol Igazsagugyi Orv Sz. 1989 Apr;29(2):119-23.,,Az ochronosisrol egy eset kapcsan.,,,,,,,,,,
2747642,NLM,MEDLINE,19890818,20210526,0270-7306 (Print) 0270-7306 (Linking),9,5,1989 May,Regulation of c-myc mRNA stability in vitro by a labile destabilizer with an essential nucleic acid component.,1996-2006,"The turnover rates of some mRNAs vary by an order of magnitude or more when cells change their growth pattern or differentiate. To identify regulatory factors that might be responsible for this variability, we investigated how cytosolic fractions affect mRNA decay in an in vitro system. A 130,000 X g supernatant (S130) from the cytosol of exponentially growing erythroleukemia cells contains a destabilizer that accelerates the decay of polysome-bound c-myc mRNA by eightfold or more compared with reactions lacking S130. The destabilizer is deficient in or absent from the S130 of cycloheximide-treated cells, indicating that it is labile or is repressed when translation is blocked. It is not a generic RNase, because it does not affect the turnover of delta-globin, gamma-globin, or histone mRNA and does not destabilize a major portion of polysomal polyadenylated mRNA. The destabilizer accelerates the turnover of the c-myc mRNA 3' region, as well as subsequent 3'-to-5' degradation of the mRNA body. It is inactivated in vitro by mild heating and by micrococcal nuclease, suggesting that it contains a nucleic acid component. c-myb mRNA is also destabilized in S130-supplemented in vitro reactions. These results imply that the stability of some mRNAs is regulated by cytosolic factors that are not associated with polysomes.","['Brewer, G', 'Ross, J']","['Brewer G', 'Ross J']","['McArdle Laboratory for Cancer Research, University of Wisconsin, Madison 53706.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Nucleic Acids)', '0 (RNA, Messenger)']",IM,"['Cytosol/metabolism', 'Humans', 'Leukemia, Erythroblastic, Acute/genetics/metabolism', 'Nucleic Acids/metabolism', 'Polyribosomes/metabolism', '*Proto-Oncogenes', 'RNA, Messenger/genetics/*metabolism', 'Tumor Cells, Cultured/metabolism']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",['10.1128/mcb.9.5.1996-2006.1989 [doi]'],ppublish,Mol Cell Biol. 1989 May;9(5):1996-2006. doi: 10.1128/mcb.9.5.1996-2006.1989.,"['CA07175/CA/NCI NIH HHS/United States', 'CA09230/CA/NCI NIH HHS/United States', 'CA23076/CA/NCI NIH HHS/United States']",,PMC362992,,,,,,,,,
2747638,NLM,MEDLINE,19890818,20210526,0270-7306 (Print) 0270-7306 (Linking),9,5,1989 May,Alternative forms of the BCR-ABL oncogene have quantitatively different potencies for stimulation of immature lymphoid cells.,1866-74,"The Philadelphia chromosome (t9:22;q34:q11) is found in more than 90% of patients with chronic myelogenous leukemia, in 10 to 20% of patients with acute lymphocytic leukemia, and in 1 to 2% of patients with acute myelogenous leukemia. Alternative chimeric oncogenes are formed by splicing different sets of BCR gene exons on chromosome 22 across the translocation breakpoint to a common set of ABL oncogene sequences on chromosome 9. This results in an 8.7-kilobase mRNA that encodes the P210 BCR-ABL gene product commonly found in patients with chronic myelogenous leukemia or a 7.0-kilobase mRNA that produces the P185 BCR-ABL gene product found in most Philadelphia chromosome-positive patients with acute lymphocytic leukemia. To compare the efficiency of growth stimulation by these two proteins, we derived cDNA clones for each with identical 5' and 3' untranslated regions and expressed them from retrovirus vectors. Matched stocks were compared for potency to transform immature B-lymphoid lineage precursors. The growth-stimulating effects of P185 for this cell type were found to be significantly greater than those of P210. Structural changes in BCR may regulate the effectiveness of the ABL tyrosine kinase function, as monitored by lymphocyte growth response. Changes in mitogenic potency may help to explain the more acute leukemic presentation usually associated with expression of the P185 BCR-ABL oncogene.","['McLaughlin, J', 'Chianese, E', 'Witte, O N']","['McLaughlin J', 'Chianese E', 'Witte ON']","['Department of Microbiology, University of California, Los Angeles 90024-1570.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (RNA, Messenger)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Cell Division', 'Cell Transformation, Neoplastic', 'Exons', 'Hematopoietic Stem Cells/cytology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Lymphocytes/cytology', '*Oncogenes', 'Protein-Tyrosine Kinases/genetics', 'RNA Splicing', 'RNA, Messenger/genetics', 'Retroviridae/genetics']",1989/05/01 00:00,1989/05/01 00:01,['1989/05/01 00:00'],"['1989/05/01 00:00 [pubmed]', '1989/05/01 00:01 [medline]', '1989/05/01 00:00 [entrez]']",['10.1128/mcb.9.5.1866-1874.1989 [doi]'],ppublish,Mol Cell Biol. 1989 May;9(5):1866-74. doi: 10.1128/mcb.9.5.1866-1874.1989.,,,PMC362977,,,,,,,,,
2747594,NLM,MEDLINE,19890818,20190903,0098-1532 (Print) 0098-1532 (Linking),17,3,1989,Adult-type T-cell lymphoma in an adolescent with human T-lymphotropic virus type 1 seropositivity.,236-8,"Recently, a form of T-cell lymphoma associated with seropositivity for human T-lymphotrop virus type 1 (HTLV-1) antibody has been described in the adult population. The lymphoma frequently presents with massive hepatosplenomegaly, lymphadenopathy and circulating malignant cells, with a normal bone marrow. HTLV-1-associated lymphoma has been seen most frequently in adults from Japan, the Caribbean, and the southeastern United States. We report the first known case of a child with a lymphoma having the clinical and serological features of an HTLV-1-associated T-cell lymphoma.","['Fort, J A', 'Graham-Pole, J', 'Mottshaw, G']","['Fort JA', 'Graham-Pole J', 'Mottshaw G']","['JHMHSC, Shands Teaching Hospital, University of Florida, Gainesville 32610.']",['eng'],"['Case Reports', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['0 (HTLV-I Antibodies)'],IM,"['Adolescent', 'HTLV-I Antibodies/analysis', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*pathology', 'Male']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1002/mpo.2950170313 [doi]'],ppublish,Med Pediatr Oncol. 1989;17(3):236-8. doi: 10.1002/mpo.2950170313.,,,,,,,,,,,,
2747406,NLM,MEDLINE,19890817,20151119,0024-3477 (Print) 0024-3477 (Linking),111,3,1989 Mar,[Terminal deoxynucleotidyl transferase--a marker for lymphatic neoplasms].,63-6,"We used the enzymoimmunoassay for quantitative determination of terminal deoxynucleotidyl transferase (TdT) in twenty patients suffering from various hematopoietic and lymphoproliferative diseases. These results were compared to the cytomorphological and cytochemical classification of the diseases. High TdT values were found in all patients suffering from acute lymphatic leukemia, lymphoblastic malignant lymphoma and in case of chronic myeloid leukemia in blastic transformation, whereas negative values of this enzyme were observed in all patients with acute myeloid leukemia, most patients with chronic myeloid leukemia in blastic transformation, those with hairy-cell leukemia and in refractory anemia with blast excess. The aim of this study was to confirm the clinical significance of terminal deoxynucleotidyl transferase as a biochemical marker in differential diagnostics of leukemias and lymphomas.","['Drobnjak, M']",['Drobnjak M'],,['hrv'],"['English Abstract', 'Journal Article']",Croatia,Lijec Vjesn,Lijecnicki vjesnik,0074253,"['0 (Biomarkers)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Biomarkers/blood', 'DNA Nucleotidylexotransferase/*blood', 'Humans', 'Lymphoproliferative Disorders/*diagnosis']",1989/03/01 00:00,1989/03/01 00:01,['1989/03/01 00:00'],"['1989/03/01 00:00 [pubmed]', '1989/03/01 00:01 [medline]', '1989/03/01 00:00 [entrez]']",,ppublish,Lijec Vjesn. 1989 Mar;111(3):63-6.,,Terminalna deoksinukleotidil transferaza--marker limfatickih neoplazija.,,,,,,,,,,
2747321,NLM,MEDLINE,19890825,20151119,0025-7753 (Print) 0025-7753 (Linking),92,16,1989 Apr 29,[Remission induction treatment in adults with acute myeloid leukemia. 8-year experience with 2 successive protocols].,601-4,"We report our eight year experience remission induction therapy in adult patients with acute myeloblastic leukemia. Overall 67 patients were treated, with a mean age of 43.3 years (range 15-75). Two treatment protocols were used. Complete remission (CR) was achieved in 23 patients of 39 receiving protocol A (58%). The 28 last patients were treated with the more aggressive protocol B, and CR was achieved in 23 patients (82%). CR was achieved in 68% of the overall group. The most outstanding predictive factors were age above 30 years, and M-5 morphology as indicating a poor prognosis.","['del Potro, E', 'Diaz Mediavilla, J', 'Martinez, R', 'Alvarez, A', 'Krsnik, I', 'Guerra, J L', 'Llorente, L', 'Lopez, J C', 'Diaz Morfa, M', 'Villegas, A']","['del Potro E', 'Diaz Mediavilla J', 'Martinez R', 'Alvarez A', 'Krsnik I', 'Guerra JL', 'Llorente L', 'Lopez JC', 'Diaz Morfa M', 'Villegas A']",,['spa'],"['Comparative Study', 'English Abstract', 'Journal Article']",Spain,Med Clin (Barc),Medicina clinica,0376377,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '9PHQ9Y1OLM (Prednisolone)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Leukemia, Myelomonocytic, Acute/drug therapy', 'Leukemia, Promyelocytic, Acute/drug therapy', 'Male', 'Middle Aged', 'Prednisolone/administration & dosage', 'Prognosis', '*Remission Induction', 'Vincristine/administration & dosage']",1989/04/29 00:00,1989/04/29 00:01,['1989/04/29 00:00'],"['1989/04/29 00:00 [pubmed]', '1989/04/29 00:01 [medline]', '1989/04/29 00:00 [entrez]']",,ppublish,Med Clin (Barc). 1989 Apr 29;92(16):601-4.,,Tratamiento de induccion la remision en adultos con leucemia aguda mieloide. Ocho anos de experiencia con dos protocolos sucesivos.,,,,,,,,,,
2747307,NLM,MEDLINE,19890825,20191029,0736-0118 (Print) 0736-0118 (Linking),6,2,1989,"Quality of life and care in leukemia, myeloma and non-malignant disease. Opinions of patients and relatives, and effects of geography and time.",133-41,"In a questionnaire study 140 subjects answered 4200 questions in 1980 and 1986. They consisted of patients with myeloma, acute leukemia, lung carcinoma, and non-malignant disease and their relatives. In 22 additional cases the questionnaire was not answered. The results show that myeloma patients are less content with the general care than leukemia patients (P less than 0.05). Similarly, relatives of decreased myeloma patients are less satisfied with the information given to them than relatives of deceased leukemia patients (P less than 0.001). The information has improved with time, however, since the patients were more satisfied in 1986 than in 1980 (P less than 0.001) and relatives of myeloma patients still alive were more satisfied than relatives of patients who had died earlier (P less than 0.001). The opinions of patients were similar to those of their relatives. However, the relatives of leukemia patients were even more satisfied with the contact with the medical staff than the patients themselves (P less than 0.05). As many as 10-30% of the relatives never gave up hope for their relative's survival. Only two out of 27 deaths were considered not dignified. The lung carcinoma patients reported a less good quality of life (P less than 0.001), and less satisfaction with the information given (P less than 0.01), than the hematological patients from the same year. Similarly, their attitude to the medical care improved less (P less than 0.01), and they were less content with the general care than the leukemia group (P less than 0.05).(ABSTRACT TRUNCATED AT 250 WORDS)","['Osby, E', 'Reizenstein, P']","['Osby E', 'Reizenstein P']","['Department of Medicine, Karolinska Hospital, Stockholm, Sweden.']",['eng'],"['Comparative Study', 'Journal Article']",England,Med Oncol Tumor Pharmacother,Medical oncology and tumor pharmacotherapy,8405039,,IM,"['Adult', 'Aged', 'Family', 'Female', 'Humans', 'Leukemia/*therapy', 'Lung Neoplasms/*therapy', 'Male', 'Middle Aged', 'Multiple Myeloma/*therapy', 'Quality of Health Care/*trends', '*Quality of Life', 'Surveys and Questionnaires', 'Sweden', 'Wales']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1007/BF02985236 [doi]'],ppublish,Med Oncol Tumor Pharmacother. 1989;6(2):133-41. doi: 10.1007/BF02985236.,,,,,,,,,,,,
2747293,NLM,MEDLINE,19890817,20190516,0025-6196 (Print) 0025-6196 (Linking),64,6,1989 Jun,Subdural hematoma in patients with systemic cancer.,637-42,"We reviewed the medical records of 70 patients with systemic cancer in whom a subdural hematoma (SDH) developed. Among patients with a solid tumor, trauma and use of anticoagulants were common causes of SDH, and these patients had a relatively favourable outcome. Among patients with a hematologic cancer and in the rest of the patients with a solid tumor, coagulopathies and dural metastatic involvement were the most common causes of SDH. Recurrent SDH and death due to SDH were common in the latter group.","['Minette, S E', 'Kimmel, D W']","['Minette SE', 'Kimmel DW']","['Department of Neurology, Mayo Clinic, Rochester, MN 55905.']",['eng'],['Journal Article'],England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,['0 (Anticoagulants)'],IM,"['Aged', 'Aged, 80 and over', 'Anticoagulants/*adverse effects', 'Craniocerebral Trauma/*complications', 'Female', 'Hematoma, Subdural/*etiology/surgery', 'Humans', 'Leukemia, Myeloid, Acute/complications', 'Male', 'Meningeal Neoplasms/complications/secondary', 'Middle Aged', 'Neoplasms/*complications', 'Recurrence', 'Risk Factors']",1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']","['S0025-6196(12)65340-3 [pii]', '10.1016/s0025-6196(12)65340-3 [doi]']",ppublish,Mayo Clin Proc. 1989 Jun;64(6):637-42. doi: 10.1016/s0025-6196(12)65340-3.,,,,,,,,,,,,
2747291,NLM,MEDLINE,19890818,20130304,0887-6924 (Print) 0887-6924 (Linking),3,8,1989 Aug,Molecular analysis of Philadelphia positive essential thrombocythemia.,563-5,"Seven patients with Philadelphia (Ph) chromosome positive essential thrombocythemia (ET) were investigated for the presence of a rearrangement within the major breakpoint cluster region (M-bcr) using the Southern blot technique and, in six cases, for the presence of the hybrid bcr-abl mRNA using the polymerase chain reaction (PCR). The molecular studies showed rearrangement of M-bcr in all cases; there was evidence of the b2a2 mRNA junction in one case and of b3a2 junction in five cases. These findings are identical to what might have been expected in Ph-positive chronic myeloid leukemia. These features may explain the poor prognosis of Ph-positive ET in comparison with cytogenetically normal cases. Conversely, the differences in clinical presentation may be due to other genetic changes.","['Martiat, P', 'Ifrah, N', 'Rassool, F', 'Morgan, G', 'Giles, F', 'Gow, J', 'Goldman, J M']","['Martiat P', 'Ifrah N', 'Rassool F', 'Morgan G', 'Giles F', 'Gow J', 'Goldman JM']","['MRC/LRF Leukaemia Unit, Hammersmith Hospital, London, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Aged', 'Female', 'Gene Rearrangement', 'Humans', 'Male', 'Middle Aged', '*Philadelphia Chromosome', 'Thrombocythemia, Essential/*genetics']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1989 Aug;3(8):563-5.,,,,,,,,,,,,
2747290,NLM,MEDLINE,19890818,20130304,0887-6924 (Print) 0887-6924 (Linking),3,8,1989 Aug,Chromosomal rearrangement on chromosome 11q14-q21 in T cell acute lymphoblastic leukemia.,560-2,Deletion and translocation involving the bands 11q14 and 11q21 have been detected in five patients with T cell acute lymphoblastic leukemia (ALL). The breakpoint on chromosome 11 was on the same band as that previously described in some acute nonlymphocytic leukemias: monocytic or myelomocytic. The existence of a new nonrandom rearrangement involving bands 11q14-q21 is postulated in ALL. An unusual rearrangement on 11q13 in a patient with T cell ALL is also reported.,"['Berger, R', 'Le Coniat, M', 'Derre, J', 'Vecchione, D', 'Chen, S J']","['Berger R', 'Le Coniat M', 'Derre J', 'Vecchione D', 'Chen SJ']","['Unite INSERM U. 301, CNRS, Hopital Saint Louis, Paris.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', '*Chromosome Deletion', '*Chromosomes, Human, Pair 11', 'Female', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*genetics', 'Male', '*Translocation, Genetic']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1989 Aug;3(8):560-2.,,,,,,,,,,,,
2747289,NLM,MEDLINE,19890818,20211203,0887-6924 (Print) 0887-6924 (Linking),3,8,1989 Aug,Translocation (3;21) in Philadelphia positive chronic myeloid leukemia: high resolution chromosomal analysis and immunological study on five new cases.,554-9,"Translocation t(3;21)(q26;q22) is a rare but nonrandom event occurring in Philadelphia positive chronic myeloid leukemia. We describe five new cases (two males, three females) where t(3;21) is associated with the progression of the disease. Using FACS analysis, we confirm the myeloid type of the blast crisis. High resolution chromosomal analysis allowed us to define more precisely the chromosomal breakpoints to 3q26.2 and 21q22.2, close to the respective localizations of two genes important in cell proliferation and cancer pathogenesis: the transferrin receptor gene and the ets.2 proto-oncogene.","['Lafage-Pochitaloff-Huvale, M', 'Sainty, D', 'Adriaanssen, H J', 'Lopez, M', 'Maraninchi, D', 'Simonetti, J', 'Mannoni, P', 'Carcassonne, Y', 'Hagemeijer, A']","['Lafage-Pochitaloff-Huvale M', 'Sainty D', 'Adriaanssen HJ', 'Lopez M', 'Maraninchi D', 'Simonetti J', 'Mannoni P', 'Carcassonne Y', 'Hagemeijer A']","['Unite 119 INSERM, Marseille, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, Surface)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)']",IM,"['Adult', 'Aged', 'Antigens, Surface/analysis', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 3', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/immunology', 'Male', 'Middle Aged', 'Proto-Oncogene Mas', '*Translocation, Genetic']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1989 Aug;3(8):554-9.,,,,,,,,,,,,
2747288,NLM,MEDLINE,19890818,20130304,0887-6924 (Print) 0887-6924 (Linking),3,8,1989 Aug,The significance of ultrastructural features in acute myeloid leukemia: a study of 220 patients entered into the Medical Research Council's ninth acute myeloid leukemia trial.,548-53,"Samples of peripheral blood or bone marrow obtained before treatment from 220 patients entered into the Medical Research Council's ninth acute myeloid leukemia (AML) trial were examined by electron microscopy. Several ultrastructural features showed strong correlations with each other, with variants of AML defined by the Hayhoe classification scheme, and with FAB type. However, no ultrastructural feature was found either uniquely in association with any other or specifically in any variant of AML. Each ultrastructural feature was tested for association with achievement of remission, remission duration, and survival time. Only Auer rods were associated with a high remission rate (p = 0.01), but even this association was not quite conventionally significant when the analysis was not quite conventionally significant when the analysis was stratified for age (p = 0.055). Shorter duration of remission was associated with cytoplasmic projections (p = 0.04 stratified for age). Overall survival was worse when convoluted or lobed nuclei were present but only when stratified for age and Hayhoe type (p = 0.04). The possibility of testing combinations of ultrastructural features for correlation with diagnosis or prognosis is discussed but would require data from more than the present 220 patients to be meaningful.","['Pearson, E C', 'Wheatley, K', 'Gray, R G', 'Hayhoe, F G']","['Pearson EC', 'Wheatley K', 'Gray RG', 'Hayhoe FG']","['Department of Haematological Medicine, University of Cambridge Clinical School, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['Bone Marrow/ultrastructure', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Leukocytes/ultrastructure', 'Microscopy, Electron', 'Prognosis']",1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1989 Aug;3(8):548-53.,,,,,,,,,,,,
