PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,EIN,GS,CIN,PMC,TT,CON,GR,SI,EFR
8445946,NLM,MEDLINE,19930406,20130304,0887-6924 (Print) 0887-6924 (Linking),7,3,1993 Mar,Cytokine modulation of the susceptibility of acute T-lymphoblastic leukemia cell lines to LAK activity.,404-9,"We studied the regulatory effects of various cytokines on the susceptibility to lymphocyte-mediated lysis of cell lines established from patients with acute T-lymphoblastic leukemia (T-ALL). None of the cytokines tested affected the sensitivity of these targets to natural killer activity. In contrast, specific cytokines, different for each cell line, enhanced the susceptibility to lymphokine-activated killer (LAK) cells, while interferon gamma (IFN)-gamma always induced resistance. The same cytokines that increased LAK susceptibility also induced proliferative responses. The TALL-101 cell line, which responded to granulocyte-macrophage colony-stimulating factor (GM-CSF) with increased susceptibility to lysis, and to IFN-gamma with resistance, was used as a model to analyze the mechanisms underlying these changes. Cold target inhibition and conjugate formation assays both indicated that the changes in LAK susceptibility were not at the level of effector-target (E/T) binding. Furthermore, no significant changes in surface expression of adhesion molecules involved in E/T binding were induced by either GM-CSF or IFN-gamma on TALL-101 cells. Finally, N-alpha-benzyloxycarbonyl-L-lysine thiobenzyl-esterase assays demonstrated no differences in the ability of these cytokines to trigger the secretion of cytolysins in the bound effectors compared to unstimulated cells. Taken together, these results suggest that the cytokine-modulated susceptibility to lysis of these T-ALL lines might occur at a post-binding stage with mechanisms involving an altered responsiveness to lytic factors.","['Cesano, A', 'Clark, S C', 'Santoli, D']","['Cesano A', 'Clark SC', 'Santoli D']","['Wistar Institute of Anatomy and Biology, Philadelphia, PA 19104.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (Cytokines)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Cell Division/drug effects', 'Child', 'Cytokines/*pharmacology', 'Drug Screening Assays, Antitumor', 'Gene Rearrangement, T-Lymphocyte/genetics', 'Humans', 'Killer Cells, Lymphokine-Activated/*drug effects/*physiology', 'Leukemia-Lymphoma, Adult T-Cell/*drug therapy/*immunology/pathology', 'Phenotype', 'Receptors, Antigen, T-Cell/genetics', 'Tumor Cells, Cultured/drug effects']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Mar;7(3):404-9.,,,,,,,,"['CA-10815/CA/NCI NIH HHS/United States', 'CA-47589/CA/NCI NIH HHS/United States']",,
8445945,NLM,MEDLINE,19930406,20161123,0887-6924 (Print) 0887-6924 (Linking),7,3,1993 Mar,Cellular drug resistance profiles that might explain the prognostic value of immunophenotype and age in childhood acute lymphoblastic leukemia.,392-7,"Immunophenotype and age have prognostic value in childhood acute lymphoblastic leukemia (ALL) but how this operates is not understood. In 84 children with ALL at initial diagnosis we studied the correlation between these factors and the in vitro resistance to eight drugs, determined with the 3-(4,5-dimethylthiazol-2-yl-2, 5-diphenyl tetrazolium bromide (MTT) assay. B-lineage ALL samples were classified into four differentiation stages: the CD10- proB ALL; cALL; preB ALL with cytoplasmic mu positive ALL cells; and B-ALL with surface immunoglobulin-positive (Ig+) cells. cALL and preB ALL cases have the best prognosis; proB and T-ALL cases show a worse prognosis and B-ALL the poorest prognosis. Patients aged < 18 months and > 10 years have a poor prognosis compared to patients in the intermediate age group. Our results show that cALL and preB ALL cells were the most drug-sensitive cells compared to the other phenotypes. No differences were found between cALL and preB ALL cases with the exception that preB cells were more sensitive to mustine and mafosfamide (Maf). Compared to cALL and preB ALL cases, T-ALL cases were significantly more resistant to prednisolone (Pred), daunorubicin (DNR), L-asparaginase (L-Asp), cytosine arabinoside (AraC), and Maf; proB ALL cases were more resistant to Pred, DNR, L-Asp, and 6-thioguanine. The three B-ALL cases were resistant to vincristine and DNR. Two out of three B-ALL were resistant to Pred. Compared to cells from patients aged 18 months to 10 years, cells from children < 18 months were more resistant to Pred and DNR; cells from children > 10 years were more resistant to Pred. We conclude that cellular drug-resistance patterns might at least partly explain the prognostic value of immunophenotype and age in childhood ALL.","['Pieters, R', 'Kaspers, G J', 'van Wering, E R', 'Huismans, D R', 'Loonen, A H', 'Hahlen, K', 'Veerman, A J']","['Pieters R', 'Kaspers GJ', 'van Wering ER', 'Huismans DR', 'Loonen AH', 'Hahlen K', 'Veerman AJ']","['Department of Pediatrics, Free University Hospital, Amsterdam, The Netherlands.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '0 (Tetrazolium Salts)', '0 (Thiazoles)', '5J49Q6B70F (Vincristine)', 'EUY85H477I (thiazolyl blue)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Aging/*physiology', 'Antineoplastic Agents/*pharmacology', 'Child', 'Child, Preschool', 'Daunorubicin/pharmacology', 'Drug Resistance', 'Drug Screening Assays, Antitumor', 'Humans', '*Immunophenotyping', 'Infant', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/*pathology/physiopathology', 'Predictive Value of Tests', 'Prognosis', 'Tetrazolium Salts', 'Thiazoles', 'Tumor Cells, Cultured/drug effects', 'Vincristine/pharmacology']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Mar;7(3):392-7.,,,,,,,,,,
8445944,NLM,MEDLINE,19930406,20130304,0887-6924 (Print) 0887-6924 (Linking),7,3,1993 Mar,Interphase cytogenetics by fluorescent in situ hybridization (FISH) for characterization of monosomy-7-associated myeloid disorders.,384-91,"By circumventing the need for metaphase preparations, fluorescent in situ hybridization (FISH) on interphase nuclei using chromosome-specific probes is a promising tool for the study of numerical chromosome aberrations not only in proliferating, but also in non-dividing cells. We analyzed 15 cases of monosomy-7-associated myeloid disorders with a biotinylated probe to the (peri)centromeric region of chromosome 7. Monosomy 7 was readily confirmed in all cases during active disease. In two patients only a minority of nuclei was monosomic, whereas cytogenetics had shown all metaphases to be missing one chromosome 7. FISH in one of them was able to identify a small marker chromosome as isolated pericentromeric region of chromosome 7. Minimal residual disease however could not be detected in three remission samples analyzed, as percentages of disomic nuclei were within the range of normal controls (96.8% 2.1%). In order to determine lineage involvement of the monosomic clone, a recent technique combining immunophenotyping and FISH (FICTION) was performed in one patient with AML after MPD. Monosomy 7 was found in virtually all myelomonocytic and erythroid cells (as discriminated by lineage-specific antibodies), in a part of CD34-positive precursor cells, but not in lymphocytes. We conclude that monosomy 7 in this patient is restricted to an early committed progenitor cell capable of erythroid and myelomonocytic differentiation.","['Baurmann, H', 'Cherif, D', 'Berger, R']","['Baurmann H', 'Cherif D', 'Berger R']","['Unite INSERM U 301, Institut de Genetique Moleculaire, Paris, France.']",['eng'],"['Comparative Study', 'Journal Article']",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', 'Child, Preschool', 'Chromosomes, Human, Pair 7/*physiology', 'Female', 'Humans', 'Immunophenotyping', '*In Situ Hybridization, Fluorescence', 'Interphase/physiology', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Male', 'Middle Aged', 'Monosomy/*genetics/physiopathology', 'Myelodysplastic Syndromes/*genetics/pathology', 'Myeloproliferative Disorders/*genetics/pathology', 'Sensitivity and Specificity']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Mar;7(3):384-91.,,,,,,,,,,
8445943,NLM,MEDLINE,19930406,20131121,0887-6924 (Print) 0887-6924 (Linking),7,3,1993 Mar,Neurotoxicity associated with fludarabine and cytosine arabinoside chemotherapy for acute leukemia and myelodysplasia.,378-83,"Neurological toxicity occurred in 8/219 patients treated with fludarabine (FAMP), 30 mg/m2 per day and cytosine arabinoside (Ara-C), 0.5 g/m2 per hour for 2-6 hours for 5 days, for new or relapsed acute leukemia or myelodysplasia. Two patients developed severe, progressive cerebral dysfunction that was ultimately fatal. This toxicity was similar to that seen with high-dose fludarabine therapy and was limited to patients with serum creatine > or = 2.0 mg/dl and age over 60 years, occurring in 2/9 such patients compared to 0/210 among the other patients (p < 0.005). Since FAMP is partially excreted by the kidney, toxicity in these two patients was likely due to receiving an effectively high dose of FAMP. Five patients developed peripheral neuropathy but there was no association with age, creatinine, dose of Ara-C, or number of courses. A patient, who also received intrathecal Ara-C, developed myelopathy. At this dose rate and duration of Ara-C peripheral neuropathy rarely arises, and cerebral toxicity is not seen. Neither toxicity was observed in 481 chronic lymphocytic leukemia patients treated with FAMP alone, by the same dose and schedule, suggesting that combination with Ara-C is important for the development of at least the peripheral neuropathy. The incidence of neurotoxicity with FAMP/Ara-C is low especially in comparison with high-dose Ara-C therapy (3 g/m2 over 2 hours). Cerebral toxicity can likely be decreased by dose reduction of FAMP in patients with increased creatinine and peripheral neuropathy decreased by detailed neurological examination before courses of FAMP/Ara-C.","['Kornblau, S M', 'Cortes-Franco, J', 'Estey, E']","['Kornblau SM', 'Cortes-Franco J', 'Estey E']","['Department of Hematology, University of Texas, M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['Case Reports', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Blast Crisis/drug therapy', 'Cytarabine/administration & dosage/adverse effects', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/pathology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*drug therapy', 'Nervous System Diseases/*chemically induced', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Vidarabine/administration & dosage/adverse effects/analogs & derivatives']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Mar;7(3):378-83.,,,,,,,,,,
8445942,NLM,MEDLINE,19930406,20131121,0887-6924 (Print) 0887-6924 (Linking),7,3,1993 Mar,"Granulocyte-macrophage colony-stimulating factor in association to timed-sequential chemotherapy with mitoxantrone, etoposide, and cytarabine for refractory acute myelogenous leukemia.",372-7,"Recombinant human granulocyte-macrophage colony-stimulating factor (GM-CSF), given intravenously 5 micrograms/kg per day, was administered on days 4-8 of timed-sequential chemotherapy (TSC) with mitoxantrone, 12 mg/m2 per day on days 1-3, etoposide, 200 mg/m2 per day on days 8-10 and cytarabine, 500 mg/m2 per day on days 1-3 and 8-10, in 22 patients aged < 60 years with refractory acute myelogenous leukemia in an attempt to increase recruitment of leukemic cells in S phase before the second sequence of TSC. Thirty-eight patients treated with TSC without GM-CSF in a previous trial served as historical controls. In GM-CSF-treated patients, median duration of neutropenia < 0.5 x 10(9)/1 was 33 days and of platelet transfusion requirement 30 days, without any increase by comparison with controls. WHO grade 3 or more extra-hematologic toxicity included sepsis in 60% of patients, vomiting in 30%, diarrhea in 15%, hyper-bilirubinemia in 15%, and mucositis in 10%, without any difference with controls. Among 20 evaluable patients six individuals (30%), with a 95% confidence interval (CI) ranging from 12-54% achieved complete remission, 11 (55%, CI 31-77%) did not respond to therapy and three (15%, CI 3-38%) died from infection. There was no demonstrable in vivo proliferation of leukemic cells during the 5 days of administration of GM-CSF. The average percentage of bone marrow cells in S phase in five patients was 4.0 +/- 2.8 on day 4 and 7.0 +/- 7.2 on day 8 (p = NS). In this cohort of patients refractory to cytarabine, addition of GM-CSF did not increase efficacy of TSC by comparison with historical controls.","['Archimbaud, E', 'Fenaux, P', 'Reiffers, J', 'Cordonnier, C', 'Leblond, V', 'Travade, P', 'Troussard, X', 'Tilly, H', 'Auzanneau, G', 'Marie, J P']","['Archimbaud E', 'Fenaux P', 'Reiffers J', 'Cordonnier C', 'Leblond V', 'Travade P', 'Troussard X', 'Tilly H', 'Auzanneau G', 'Marie JP', 'et al.']","[""Service d'Hematologie, Hopital Edouard Herriot, UFR Alexis Carrel, Lyon, France.""]",['eng'],"['Clinical Trial', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['0 (Recombinant Proteins)', '04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'BZ114NVM5P (Mitoxantrone)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Cell Cycle/drug effects', 'Cytarabine/administration & dosage', 'Drug Administration Schedule', 'Etoposide/administration & dosage', 'Female', 'Granulocyte-Macrophage Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Male', 'Middle Aged', 'Mitoxantrone/administration & dosage', 'Pilot Projects', 'Recombinant Proteins/therapeutic use']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Mar;7(3):372-7.,,,,,,,,,,
8445941,NLM,MEDLINE,19930406,20191210,0887-6924 (Print) 0887-6924 (Linking),7,3,1993 Mar,An infectious etiology for common acute lymphoblastic leukemia in childhood?,349-60,"Childhood leukemia is a biologically and clinically diverse disease and is likely to arise via a number of etiological pathways. The common, B-cell precursor, form of acute lymphoblastic leukemia (cALL) accounts for the peak of childhood leukemia at 2-5 years of age. Recent epidemiological data, reviewed here, indicate that risk of cALL is increased by higher socio-economic status, isolation, and other community characteristics suggestive of abnormal patterns of infection during infancy. These data are compatible with the emerging concept that cALL may be a rare response to common infection(s).","['Greaves, M F', 'Alexander, F E']","['Greaves MF', 'Alexander FE']","['Leukaemia Research Fund Centre, Institute of Cancer Research, London, UK.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Leukemia,Leukemia,8704895,,IM,"['Child', 'Child, Preschool', 'Humans', 'Infant', 'Infections/*complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/etiology/*microbiology', 'Risk Factors']",1993/03/01 00:00,1993/03/01 00:01,['1993/03/01 00:00'],"['1993/03/01 00:00 [pubmed]', '1993/03/01 00:01 [medline]', '1993/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Mar;7(3):349-60.,132,,,,,,,,,
8445789,NLM,MEDLINE,19930402,20061115,0090-3558 (Print) 0090-3558 (Linking),29,1,1993 Jan,Seroprevalence of infectious disease agents in free-ranging Florida panthers (Felis concolor coryi).,36-49,"Serum samples obtained from 38 free-ranging Florida panthers (Felis concolor coryi) in southern Florida, March 1978 through February 1991, were tested for antibodies against eight bacterial, parasitic, and viral disease agents. Sera were positive for antibodies against feline panleukopenia virus (FPV) (78%), feline calicivirus (56%), feline immunodeficiency virus/puma lentivirus (37%), feline enteric coronavirus/feline infectious peritonitis virus (19%), and Toxoplasma gondii (9%). All samples were seronegative for Brucella spp., feline rhinotracheitis virus, and pseudorabies virus. In addition, all the animals tested were negative for feline leukemia virus p27 antigen as determined by enzyme-linked immunosorbent assay. Feline panleukopenia virus was considered to be a potentially significant disease agent; FPV antibodies occurred in the highest prevalences in older age classes (P = 0.027) and in panthers living in the dense mixed hardwood swamps in the western portion of their range compared to the open cypress and sawgrass prairies to the east (P = 0.096). Because < 50 animals remain in this relict population and the probable resultant depression of genetic diversity and lowered disease resistance, FPV or other disease agents could contribute to the extinction of this endangered subspecies.","['Roelke, M E', 'Forrester, D J', 'Jacobson, E R', 'Kollias, G V', 'Scott, F W', 'Barr, M C', 'Evermann, J F', 'Pirtle, E C']","['Roelke ME', 'Forrester DJ', 'Jacobson ER', 'Kollias GV', 'Scott FW', 'Barr MC', 'Evermann JF', 'Pirtle EC']","['Florida Game and Fresh Water Fish Commission, Wildlife Research Laboratory, Gainesville 32601.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Wildl Dis,Journal of wildlife diseases,0244160,"['0 (Antibodies, Bacterial)', '0 (Antibodies, Protozoan)', '0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Bacterial/blood', 'Antibodies, Protozoan/blood', 'Antibodies, Viral/blood', 'Brucella/immunology', 'Brucellosis/epidemiology/*veterinary', '*Carnivora', 'Female', 'Florida/epidemiology', 'Male', 'Prevalence', 'Toxoplasma/immunology', 'Toxoplasmosis, Animal/*epidemiology', 'Virus Diseases/epidemiology/*veterinary']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.7589/0090-3558-29.1.36 [doi]'],ppublish,J Wildl Dis. 1993 Jan;29(1):36-49. doi: 10.7589/0090-3558-29.1.36.,,,,,,,,,,
8445738,NLM,MEDLINE,19930408,20211203,0022-538X (Print) 0022-538X (Linking),67,4,1993 Apr,Localization of the c-ets-2 transactivation domain.,2421-5,"The human ets-2 proto-oncogene is one of the homologs of the v-ets gene, found in avian acutely transforming retrovirus E26 (D. Leprince, A. Gegonne, J. Call, C. de Taisne, A. Schneeberger, C. Lagrou, and D. Stehelin, Nature [London] 306:395-397, 1983; M. F. Nunn, P. H. Seeburg, C. Moscovici, and P. H. Duesberg, Nature [London] 306:391-395, 1983), which causes leukemia in chickens. We used the DNA-binding domain of yeast transcriptional activator GAL4 to locate the transactivation region of human ets-2. The transactivation domain of ets-2 was found in the N-terminal part of the protein, which is homologous to ets-1, and can be disrupted by deletion of a stretch of acidic amino acid residues. A transactivation-deficient mutant of ets-2 failed to transform Rat-1 cells and suppressed the transforming activity of coexpressed wild-type ets-2. A mutation in the putative DNA-binding region of ets-2 abolished transforming activity. We show that the motif crucial for ets-2 transactivation capability is necessary for transforming activity in Rat-1 cells. Mutant ets-2 protein that lacks the transactivation domain has a dominant negative effect on transformation by wild-type ets-2. We were unable to detect ets-2-dependent transcriptional regulation of several enhancers containing ets-binding motifs.","['Chumakov, A M', 'Chen, D L', 'Chumakova, E A', 'Koeffler, H P']","['Chumakov AM', 'Chen DL', 'Chumakova EA', 'Koeffler HP']","['Cedars-Sinai Medical Center, UCLA School of Medicine 90048-1869.']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (DNA-Binding Proteins)', '0 (ERF protein, human)', '0 (ETS2 protein, human)', '0 (Ets2 protein, rat)', '0 (MAS1 protein, human)', '0 (Oligodeoxyribonucleotides)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Protein c-ets-2)', '0 (Proto-Oncogene Proteins)', '0 (Repressor Proteins)', '0 (Trans-Activators)', '0 (Transcription Factors)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cell Transformation, Viral', 'Cells, Cultured', 'Cloning, Molecular', '*DNA-Binding Proteins', 'Gene Expression', 'Humans', 'In Vitro Techniques', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides/chemistry', 'Proto-Oncogene Mas', 'Proto-Oncogene Protein c-ets-2', 'Proto-Oncogene Proteins/*chemistry', 'Rats', '*Repressor Proteins', 'Sequence Deletion', 'Structure-Activity Relationship', '*Trans-Activators', '*Transcription Factors', 'Transcription, Genetic', '*Transcriptional Activation']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['10.1128/JVI.67.4.2421-2425.1993 [doi]'],ppublish,J Virol. 1993 Apr;67(4):2421-5. doi: 10.1128/JVI.67.4.2421-2425.1993.,,,,,PMC240417,,,,,
8445737,NLM,MEDLINE,19930408,20200724,0022-538X (Print) 0022-538X (Linking),67,4,1993 Apr,Sequence specificity of the core-binding factor.,2408-11,"The core-binding factor (CBF) binds the conserved core motif in mammalian type C retrovirus enhancers. We analyzed the phosphate contacts made by CBF on the Moloney murine leukemia virus enhancer by ethylation interference assay. The phosphate contacts span 9 bp centered around the consensus core site. To examine the sequence preferences for CBF binding, we employed the technique of selected and amplified binding sequence footprinting (T. K. Blackwell and H. Weintraub, Science 250:1104-1110, 1990). The consensus binding site for CBF defined by selected and amplified binding sequence footprinting is PyGPyG GTPy.","['Melnikova, I N', 'Crute, B E', 'Wang, S', 'Speck, N A']","['Melnikova IN', 'Crute BE', 'Wang S', 'Speck NA']","['Department of Biochemistry, Dartmouth Medical School, Hanover, New Hampshire 03755.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA-Binding Proteins)', '0 (Phosphates)', '0 (Transcription Factors)']",IM,"['Animals', 'Base Sequence', 'Cattle', 'Consensus Sequence', 'DNA-Binding Proteins/*metabolism', '*Enhancer Elements, Genetic', 'Gene Expression Regulation, Viral', 'In Vitro Techniques', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics', 'Nucleic Acid Conformation', 'Phosphates/chemistry', 'Structure-Activity Relationship', 'Transcription Factors/*metabolism']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['10.1128/JVI.67.4.2408-2411.1993 [doi]'],ppublish,J Virol. 1993 Apr;67(4):2408-11. doi: 10.1128/JVI.67.4.2408-2411.1993.,,,,,PMC240414,,,"['CA23018/CA/NCI NIH HHS/United States', 'CA51065-01A1/CA/NCI NIH HHS/United States']",,
8445734,NLM,MEDLINE,19930408,20200724,0022-538X (Print) 0022-538X (Linking),67,4,1993 Apr,"The p12I, p13II, and p30II proteins encoded by human T-cell leukemia/lymphotropic virus type I open reading frames I and II are localized in three different cellular compartments.",2360-6,"Three protein isoforms are encoded by the human T-cell leukemia/lymphotropic virus type I pX region open reading frames (ORF) I and II through alternative splicing. Both the singly and doubly spliced mRNAs from ORF I encode a single 12-kDa protein (p12I), whereas two distinct proteins of 13 kDa (p13II) and 30 kDa (p30II) are encoded from the ORF II alternatively spliced mRNA. Because the p12I protein is very hydrophobic and poorly immunogenic, we genetically engineered its cDNA by adding a short stretch of amino acids from the highly immunogenic epitope HA1 of influenza virus or the AU1 epitope of bovine papillomavirus. The HA1 epitope was also added to the p13II and p30II proteins, albeit rabbit immune sera raised against synthetic peptides were also available. To determine in which cellular compartments these proteins reside, we transfected the tagged and wild-type cDNAs in HeLa/Tat cells and studied their localization by indirect immunofluorescence. The p12I protein was identified in the cellular endomembranes and, particularly, in the perinuclear area. p13II and p30II were found in the nuclei and nucleoli of the transfected cells, respectively. The presence of the HA1 epitope at the carboxy terminus of p13II and p30II did not interfere with their cellular localization, since the rabbit immune sera demonstrated their presence in the same cellular compartments when the untagged proteins were expressed. The defined localization of these proteins in specific cellular compartments warrants further study of their function.","['Koralnik, I J', 'Fullen, J', 'Franchini, G']","['Koralnik IJ', 'Fullen J', 'Franchini G']","['Laboratory of Tumor Cell Biology, National Cancer Institute, Bethesda, Maryland 20892.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Virol,Journal of virology,0113724,"['0 (HTLV-I Antigens)', '0 (Recombinant Proteins)', '0 (Retroviridae Proteins)']",IM,"['Alternative Splicing', 'Amino Acid Sequence', 'Base Sequence', 'Cell Compartmentation', 'Fluorescent Antibody Technique', '*Genes, pX', 'HTLV-I Antigens/metabolism', 'HeLa Cells', 'Human T-lymphotropic virus 1/*metabolism', 'Humans', 'In Vitro Techniques', 'Molecular Sequence Data', 'Open Reading Frames', 'Recombinant Proteins/metabolism', 'Retroviridae Proteins/*metabolism']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['10.1128/JVI.67.4.2360-2366.1993 [doi]'],ppublish,J Virol. 1993 Apr;67(4):2360-6. doi: 10.1128/JVI.67.4.2360-2366.1993.,,,"['pX', 'rex', 'tax']",,PMC240398,,,,"['GENBANK/L08432', 'GENBANK/L08433']",
8445722,NLM,MEDLINE,19930408,20200724,0022-538X (Print) 0022-538X (Linking),67,4,1993 Apr,Envelope-binding domain in the cationic amino acid transporter determines the host range of ecotropic murine retroviruses.,2091-6,"Infection of rodent cells by ecotropic type C retroviruses requires the expression of a cationic amino acid transporter composed of multiple membrane-spanning domains. By exchanging portions of cDNAs encoding the permissive mouse and nonpermissive human transporters and examining their abilities to specify virus infection upon expression in human 293 cells, we have identified the amino acid residues in the extracellular loop connecting the fifth and sixth membrane-spanning segments of the mouse transporter that are required for both envelope gp70 binding and infection. These findings strongly suggest that the role of the mouse transporter in determining infection is to provide an envelope-binding site. This role is analogous to those of host membrane proteins composed of a single membrane-spanning domain that serve as binding proteins or receptors for other enveloped viruses such as human immunodeficiency virus, Epstein-Barr virus, and murine and human coronaviruses.","['Albritton, L M', 'Kim, J W', 'Tseng, L', 'Cunningham, J M']","['Albritton LM', 'Kim JW', 'Tseng L', 'Cunningham JM']","[""Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Amino Acid Transport Systems, Basic)', '0 (Carrier Proteins)', '0 (Gene Products, env)', '0 (Membrane Glycoproteins)', '0 (Membrane Proteins)', '0 (Receptors, Virus)', '0 (Recombinant Fusion Proteins)', '0 (ecotropic murine leukemia virus receptor)', '94ZLA3W45F (Arginine)']",IM,"['3T3 Cells', 'Amino Acid Sequence', 'Amino Acid Transport Systems, Basic', 'Animals', 'Arginine/metabolism', 'Biological Transport', 'Carrier Proteins/chemistry/*metabolism/ultrastructure', 'Extracellular Space/metabolism', 'Gene Products, env/chemistry/*metabolism/ultrastructure', 'Humans', 'In Vitro Techniques', 'Membrane Glycoproteins/chemistry/metabolism/ultrastructure', 'Membrane Proteins/chemistry/*metabolism/ultrastructure', 'Mice', 'Molecular Sequence Data', 'Receptors, Virus/*metabolism', 'Recombinant Fusion Proteins/metabolism', 'Species Specificity', 'Structure-Activity Relationship']",1993/04/01 00:00,1993/04/01 00:01,['1993/04/01 00:00'],"['1993/04/01 00:00 [pubmed]', '1993/04/01 00:01 [medline]', '1993/04/01 00:00 [entrez]']",['10.1128/JVI.67.4.2091-2096.1993 [doi]'],ppublish,J Virol. 1993 Apr;67(4):2091-6. doi: 10.1128/JVI.67.4.2091-2096.1993.,,,,,PMC240296,,,['CA47075/CA/NCI NIH HHS/United States'],,
