PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,GR,RN,SI,PMC,AD,TT,CIN,EIN,OID
2974073,NLM,MEDLINE,19890125,20131121,0265-2048 (Print) 0265-2048 (Linking),5,1,1988 Jan-Mar,The antitumour effect of lipophilic derivatives of 5-fluoro-2'-deoxyuridine incorporated into liposomes.,1-11,"['Supersaxo, A', 'Rubas, W', 'Hartmann, H R', 'Schott, H', 'Hengartner, H', 'Schwendener, R A']","['Supersaxo A', 'Rubas W', 'Hartmann HR', 'Schott H', 'Hengartner H', 'Schwendener RA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Microencapsul,Journal of microencapsulation,8500513,IM,"['Animals', 'Antineoplastic Agents/*administration & dosage/therapeutic use', 'Carcinoma/drug therapy', 'Drug Carriers', 'Female', 'Floxuridine/*administration & dosage/analogs & derivatives/therapeutic use', 'Freeze Fracturing', 'Humans', 'Leukemia, Experimental/*drug therapy', 'Liposomes', 'Lung Neoplasms/drug therapy', 'Male', 'Mammary Neoplasms, Experimental/*drug therapy', 'Mice', 'Mice, Inbred C3H', 'Prodrugs/*administration & dosage']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.3109/02652048809036717 [doi]'],ppublish,J Microencapsul. 1988 Jan-Mar;5(1):1-11. doi: 10.3109/02652048809036717.,"Lipophilic prodrugs of 5-fluoro-2'-deoxyuridine (FUdR), namely 5'-O-palmitoyl-5-fluoro-2'-deoxyuridine (5'-O-palm-FUdR) and 3',5'-O-dipalmitoyl-5-fluoro-2'-deoxyuridine (3',5'-O-dipalm-FUdR), were incorporated into bilayer liposomes. Prodrug incorporation into positively charged liposomes was quantitative and stable, homogeneous bilayer vesicles were obtained. The maximal amounts of prodrug incorporation are 200 micrograms for 5'-O-palm-FUdR and 90 micrograms for 3',5'-O-dipalm-FUdR per mg egg phosphatidylcholine as matrix lipid. The prodrug-liposome preparations were tested in vivo against mammary carcinoma 13/C, Lewis lung carcinoma and L1210 leukaemia and compared to the cytostatic activity of free FUdR and of the prodrugs dissolved in peanut oil. Intraperitoneally administered prodrugs either incorporated into liposomes or dissolved in peanut oil inhibited tumour growth in all animals. The comparison of the doses required for tumour growth inhibition showed that both prodrugs were active at concentrations 20-75 times lower as compared to unmodified FUdR. However, due to the increased toxicity of the prodrug-liposome preparations, the therapeutic index of the parent drug FUdR could not be improved. The cytostatic effect of the prodrug preparations may be explained by altered pharmacokinetic properties of the FUdR derivatives and the additional sustained release action the liposomes are providing. A further increase of the antitumour activity may be obtained by the attachment of tumour-specific antibodies to the surface of such prodrug-containing liposomes.",,"['0 (Antineoplastic Agents)', '0 (Drug Carriers)', '0 (Liposomes)', '0 (Prodrugs)', '039LU44I5M (Floxuridine)']",,,"['Department of Physical Pharmacy, Swiss Federal Institute of Technology, Zurich.']",,,,
2974065,NLM,MEDLINE,19890117,20190508,0022-1007 (Print) 0022-1007 (Linking),168,6,1988 Dec 1,Immunologically mediated regression of a murine lymphoma after treatment with anti-L3T4 antibody. A consequence of removing L3T4+ suppressor T cells from a host generating predominantly Lyt-2+ T cell-mediated immunity.,2193-206,"['Awwad, M', 'North, R J']","['Awwad M', 'North RJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,IM,"['Animals', 'Antibodies, Monoclonal/pharmacology', 'Antigens, Differentiation, T-Lymphocyte/*immunology', 'Female', 'Immunization, Passive', 'Leukemia L5178/*immunology', 'Leukemia, Experimental/*immunology', 'Mast-Cell Sarcoma/immunology', 'Mice', 'T-Lymphocytes, Regulatory/*immunology', 'Whole-Body Irradiation']",,1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",['10.1084/jem.168.6.2193 [doi]'],ppublish,J Exp Med. 1988 Dec 1;168(6):2193-206. doi: 10.1084/jem.168.6.2193.,"This study shows that intravenous injection of 1 mg of anti-L3T4 mAb (GK1.5) into thymectomized mice bearing the syngeneic L5178Y lymphoma results, after a delay of 2-3 d, in complete regression of this tumor and in long-term host survival. A flow cytofluorometric examination of the spleen cells of mAb-treated mice revealed that antibody treatment resulted in the elimination of greater than 98% of L3T4+ T cells, but had no effect on the Lyt-2+ T cells subset. Tumor regression was immunologically mediated, because L5178Y lymphoma cells were shown to be L3T4-, and regression of the tumor failed to occur in mice that had been lethally irradiated before anti-L3T4 mAb was given. Tumor regression was mediated by tumor-sensitized Lyt2+ T cells, as evidenced by the finding that treatment of tumor-bearing mice with anti-Lyt-2 mAb alone, or in combination with anti-L3T4 mAb, resulted in enhancement of tumor growth and a significant decrease in host survival time. Moreover, the spleens of mice whose tumors were undergoing regression in response to anti-L3T4 mAb treatment contained Lyt-2+ T cells capable, on passive transfer, of causing regression of a tumor in recipient mice. These results can be interpreted as showing that removal of tumor-induced L3T4+ suppressor T cells results in the release of Lyt-2+ effector T cells from suppression, and consequently in the generation of enough Lyt-2+ T cell-mediated immunity to cause tumor regression. This can only be achieved, however, if immunity to the tumor is mediated exclusively by Lyt-2+ T cells, as is the case for the L5178Y lymphoma. In the case of the P815 mastocytoma, treatment with anti-L3T4 mAb was without a therapeutic effect, and this was in keeping with the finding that immunity to this tumor is mediated by L3T4+, as well by Lyt-2+ T cells.","['CA-16642/CA/NCI NIH HHS/United States', 'CA-27794/CA/NCI NIH HHS/United States']","['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)']",,PMC2189164,"['Trudeau Institute, Saranac Lake, New York 12983.']",,,,
2974058,NLM,MEDLINE,19890118,20131121,0022-1767 (Print) 0022-1767 (Linking),141,12,1988 Dec 15,A monoclonal antibody that inhibits secretion from rat basophilic leukemia cells and binds to a novel membrane component.,4324-32,"['Ortega Soto, E', 'Pecht, I']","['Ortega Soto E', 'Pecht I']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'Antibodies, Monoclonal/analysis/biosynthesis/*physiology', 'Antigens, Differentiation, B-Lymphocyte/physiology', 'Basophils/*metabolism', '*Binding Sites, Antibody', '*Binding, Competitive', 'Calcium/metabolism', 'Cell Line', 'Cross-Linking Reagents', 'Leukemia/*metabolism', 'Membrane Glycoproteins/immunology/isolation & purification/*metabolism', 'Mice', 'Mice, Inbred C57BL', 'Molecular Weight', 'Precipitin Tests', 'Rats', 'Receptors, Fc/physiology', 'Receptors, IgE']",,1988/12/15 00:00,1988/12/15 00:01,['1988/12/15 00:00'],"['1988/12/15 00:00 [pubmed]', '1988/12/15 00:01 [medline]', '1988/12/15 00:00 [entrez]']",,ppublish,J Immunol. 1988 Dec 15;141(12):4324-32.,"Rat basophilic leukemia (RBL-2H3) cells, like mast cells and basophils, carry monovalent membrane receptors with high affinity for IgE (Fc epsilon R). Cross-linking of these receptors provides the immunologic stimulus which initiates a series of biochemical events, culminating in secretion of inflammatory mediators. In an attempt to identify membrane components involved in the stimulus-secretion coupling of these cells, hybridomas were produced from splenocytes of mice immunized with intact RBL-2H3 cells. Here we report the production of a mAb (designated G63) that inhibits the Fc epsilon R-mediated secretion from RBL cells. At low degrees of Fc epsilon R aggregation, the mAb G63-induced inhibition may be complete, whereas at the maximum of secretion the inhibition is in the range of 30 to 40%. The relative degree of inhibition of secretion is dependent on the dose of mAb G63. Furthermore, inhibition requires the bivalency of G63, as the Fab fragments are inactive. The number of antigenic epitopes recognized by G63 per RBL-2H3 cell is 1.8 x 10(4) epitopes/cell, as determined by direct binding studies of 125I-labeled Fab fragments of G63. This number is 20 to 30 times smaller than that of Fc epsilon R on the same cells. The membrane component to which G63 binds has been identified by immunoprecipitation as a glycoprotein with an apparent Mr of 58 to 70 kDa. All of these results, and the fact that no competition for binding to RBL cells between mAb G63 and IgE can be resolved, indicate that mAb G63 binds to a membrane component which is distinct from the Fc epsilon R. mAb G63 suppresses the Fc epsilon R-mediated rise in cytoplasmic concentration of free Ca2+ ions, known to be one of the biochemical signals involved in the stimulus-secretion coupling in RBL-2H3 cells. G63 does not affect, however, the degranulation induced by the Ca2+ ionophore A23187. Therefore, mAb G63 probably exerts its inhibitory effect on a step preceding the rise in cytoplasmic free Ca2+. Thus, mAb G63 defines a previously unidentified membrane component that is involved in one of the early steps of the RBL-2H3 activation mediated by their Fc epsilon R.",,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Cross-Linking Reagents)', '0 (Membrane Glycoproteins)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', 'SY7Q814VUP (Calcium)']",,,"['Department of Chemical Immunology, Weizmann Institute of Science, Rehovot, Israel.']",,,,
2974027,NLM,MEDLINE,19890126,20171116,0886-0238 (Print) 0886-0238 (Linking),2,2,1988,Different expression of CD3 and CD22 in leukemic cells according to whether tested in suspension or fixed on slides.,73-8,"['Rani, S', 'De Oliveira, M S', 'Catovsky, D']","['Rani S', 'De Oliveira MS', 'Catovsky D']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Hematol Pathol,Hematologic pathology,8707764,IM,"['Antibodies, Monoclonal', '*Antigens, CD', 'Antigens, Differentiation, B-Lymphocyte/*analysis', 'Antigens, Differentiation, T-Lymphocyte/*analysis', 'CD3 Complex', '*Cell Adhesion Molecules', 'Fluorescent Antibody Technique', 'Humans', 'Immunoenzyme Techniques', '*Lectins', 'Leukemia, B-Cell/*immunology', 'Leukemia, T-Cell/*immunology', 'Receptors, Antigen, T-Cell/*analysis', 'Sialic Acid Binding Ig-like Lectin 2', 'Tumor Cells, Cultured/immunology']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Hematol Pathol. 1988;2(2):73-8.,"The expression of antigens detected by monoclonal antibodies of the CD22 and CD3 groups was studied, by immunofluorescence (IF) on cell suspension and by immunoperoxidase (IP) on cells fixed on cytospin slides, in a range of B- and T-cell malignancies. CD22 was demonstrated in the B-cell leukemias more frequently by IP than by IF; in B-lineage acute lymphoblastic leukemia (ALL) it was positive only by IP. In chronic lymphocytic leukemia and lymphoplasmacytic tumors approximately 40% of cases were CD22 positive by IP but few by IF. In other disorders of mature B cells, CD22 was positive by both methods in most cases. CD3 was demonstrated by IP in all 48 cases of T-cell leukemia and lymphoma regardless of the maturation stage (i.e., from early thymic to mature T cells). This was not the case by IF, where only 16% of T-ALL and 73% of cases with postthymic T-cell leukemias were recorded as positive. The greater reactivity of CD3 and CD22 by IP reflect the early cytoplasmic expression of the antigens in immature T and B cells, respectively, as well as the possible greater sensitivity of the IP method. These differences should be taken into account when describing results in lymphoid malignancies. CD3 was not expressed in cells from any of the B-cell leukemias, and likewise, CD22 was not demonstrated in any of the T-cell disorders, confirming that both reagents are highly specific for their respective lineages.",,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD22 protein, human)', '0 (CD3 Complex)', '0 (Cell Adhesion Molecules)', '0 (Lectins)', '0 (Receptors, Antigen, T-Cell)', '0 (Sialic Acid Binding Ig-like Lectin 2)']",,,"['MRC Leukaemia Unit, Royal Postgraduate Medical School, Hammersmith Hospital, London, England.']",,,,
2973848,NLM,MEDLINE,19890119,20190722,0009-9147 (Print) 0009-9147 (Linking),34,12,1988 Dec,Subtyping of erythrocyte phosphoglucomutase-1 as a genetic marker for bone-marrow engraftment and hematopoietic chimerism after allogeneic bone-marrow transplantation in a patient with acute lymphoblastic leukemia.,2586-8,"['Grahovac, B', 'Labar, B', 'Stavijenic, A']","['Grahovac B', 'Labar B', 'Stavijenic A']",['eng'],"['Case Reports', 'Journal Article']",England,Clin Chem,Clinical chemistry,9421549,IM,"['Adult', '*Bone Marrow Transplantation', '*Chimera', 'Erythrocytes/*enzymology', '*Hematopoiesis', 'Humans', 'Isoelectric Focusing', 'Male', 'Phenotype', 'Phosphoglucomutase/*blood', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/enzymology/*therapy', 'Transplantation, Homologous']",,1988/12/01 00:00,1988/12/01 00:01,['1988/12/01 00:00'],"['1988/12/01 00:00 [pubmed]', '1988/12/01 00:01 [medline]', '1988/12/01 00:00 [entrez]']",,ppublish,Clin Chem. 1988 Dec;34(12):2586-8.,"We report an effective follow-up of the establishment of bone-marrow function after an allogeneic bone-marrow transplantation in a patient with acute lymphoblastic leukemia, by means of a suitable genetic marker, phosphoglucomutase-1 (EC 5.4.2.2) isoenzyme. A patient with acute lymphoblastic leukemia received allogeneic bone-marrow graft from a sibling who was of the same sex and blood group, HLA-identical, and mixed-lymphocyte-culture nonreactive. To monitor the bone-marrow engraftment and the type and degree of chimerism established, we used a genetic marker, the phosphoglucomutase-1 isoenzyme system, to reveal the difference between the bone-marrow host and donor. We did phosphoglucomutase-1 isoenzyme subtyping of the host's and donor's erythrocytes before transplantation, and isoenzyme phenotyping of the host's erythrocytes during a year after transplantation. Establishment of bone-marrow graft function, a period of temporary mixed chimerism with a population of both host's and donor's erythrocytes, a period of the exclusive presence of donor's erythrocytes, and the resumed appearance of host's erythrocytes after eight months, with no signs of relapse of leukemia, were all observed by analysis of phenotypes. These isoenzymes served as a significant and practical genetic marker, which could be successfully used in studies on bone-marrow transplantation.",,['EC 5.4.2.2 (Phosphoglucomutase)'],,,"['Novi Zagreb Health Center, Yugoslavia.']",,,,
2973655,NLM,MEDLINE,19881227,20190818,0300-9475 (Print) 0300-9475 (Linking),28,3,1988 Sep,Induction of basophilic differentiation in the human basophilic cell line KU812.,293-300,"['Almlof, I', 'Nilsson, K', 'Johansson, V', 'Akerblom, E', 'Slotte, H', 'Ahlstedt, S', 'Matsson, P']","['Almlof I', 'Nilsson K', 'Johansson V', 'Akerblom E', 'Slotte H', 'Ahlstedt S', 'Matsson P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Scand J Immunol,Scandinavian journal of immunology,0323767,IM,"['Antigens, Differentiation, B-Lymphocyte/analysis', 'Basophils/metabolism/*physiology', 'Butyrates/pharmacology', 'Butyric Acid', '*Cell Differentiation/drug effects', 'Cell Line', 'Culture Media/analysis/pharmacology', 'Cytarabine/pharmacology', 'Dimethyl Sulfoxide/pharmacology', 'Growth Substances/pharmacology', 'Humans', 'Immunoglobulin E/metabolism', 'Interferon-gamma/pharmacology', 'Receptors, Fc/analysis', 'Receptors, IgE', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology']",,1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",['10.1111/j.1365-3083.1988.tb01451.x [doi]'],ppublish,Scand J Immunol. 1988 Sep;28(3):293-300. doi: 10.1111/j.1365-3083.1988.tb01451.x.,"The potential for differentiation of the human basophilic leukaemia cell line KU812 was examined by means of a panel of physiologic and non-physiologic substances used as inducers. The phenotypic characteristics of non-induced KU812 cells included an immature morphology with scanty cytoplasmic granulation, expression of a low amount of high affinity, but no low affinity receptors (CD 23) for IgE, and a capacity for low-rate histamine synthesis. The differentiation process was characterized by a rapid (24 h) increase in histamine production a slower morphological maturation with the development of Alcian blue stainable granula demonstrable after 72 h. Concomitant with the phenotypic alterations, cell growth was inhibited. Differentiation in KU812 cells was inducible by Ara-C and to some extent by sodium butyrate, but not by dimethyl sulphoxide, retinoic acid, or gamma-interferon. Conditioned medium (CM) from cultured peripheral blood cells from atopic individuals and 18 out of 22 analysed glioma cell lines induced differentiation of the KU812 cells, whereas supernatant from only 1 out of 21 other cell lines, including carcinoma, melanoma, sarcoma, leukaemia, and normal fibroblasts had this activity. CM from the T-leukaemic cell line, Mo, also induced KU812 differentiation. A primary fractionation of the active substance from this cell line by reversed phase chromatography eluted the active substance at a concentration of 42-44% acetonitrile. Our present study has shown that the KU812 may serve as an appropriate model to study differentiation of basophils. In addition, its fast and specific response to biological factors makes it suitable as a biological assay for determination of active factor produced by atopic individuals.",,"['0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Butyrates)', '0 (Culture Media)', '0 (Growth Substances)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '04079A1RDZ (Cytarabine)', '107-92-6 (Butyric Acid)', '37341-29-0 (Immunoglobulin E)', '5688UTC01R (Tretinoin)', '82115-62-6 (Interferon-gamma)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,"['Department of Pathology, University of Uppsala, Sweden.']",,,,
2973600,NLM,MEDLINE,19890105,20161209,0755-4982 (Print) 0755-4982 (Linking),17,37,1988 Oct 26,[Ceftazidime for the treatment of infections in neutropenic children].,1974-6,"['Leverger, G', 'Arlet, G', 'Bancillon, A', 'Schaison, G']","['Leverger G', 'Arlet G', 'Bancillon A', 'Schaison G']",['fre'],"['Clinical Trial', 'English Abstract', 'Journal Article', 'Multicenter Study']",France,Presse Med,"Presse medicale (Paris, France : 1983)",8302490,IM,"['Adolescent', 'Agranulocytosis/*complications', 'Bacterial Infections/*drug therapy', 'Ceftazidime/*therapeutic use', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Drug Evaluation', 'Drug Therapy, Combination', 'Humans', 'Infant', 'Multicenter Studies as Topic', 'Netilmicin/*therapeutic use', 'Neutropenia/*complications']",,1988/10/26 00:00,1988/10/26 00:01,['1988/10/26 00:00'],"['1988/10/26 00:00 [pubmed]', '1988/10/26 00:01 [medline]', '1988/10/26 00:00 [entrez]']",,ppublish,Presse Med. 1988 Oct 26;17(37):1974-6.,"Ceftazidime in doses of 100 mg/kg/day was used, combined with netilmicin 6 mg/kg/day, as first-line treatment in two successive studies conducted on febrile neutropenic children (neutrophils less than 500/mm3). Study n. 1, performed at the Infantile Haematology unit of Saint Louis hospital, Paris, included 75 children. Study n. 2 was a multicentre study involving 88 children from 11 medical centres. The children's age in both studies ranged from 2 months to 16 1/2 years (mean 7 years). The percentage of bacteriologically documented febrile episodes was 45 per cent (34/75 and 39/88), and the most frequent infections were those caused by Gram-positive cocci (56 and 58 per cent respectively of the cases). Vancomycin 40 mg/kg/day was introduced if fever was still present 48 hours after the beginning of the antibiotic therapy. Effective treatments were continued until the neutropenia was corrected. These children were being treated for acute leukaemia, lymphoma, solid tumours or bone marrow aplasia. In study n. 1 apyrexia was obtained in 85 per cent of the cases with the ceftazidime-netilmicin combination and in 91 per cent of the cases after addition of vancomycin. The initial therapy was effective in all patients with a documented infection. There were tow super-infections with septicaemia: one due to Streptococcus D, the other to Staph. epidermidis. In study n. 2 73 per cent of the patients were apyretic after the first combination and 85 per cent after vancomycin was introduced. In proven infections the ceftazidime-netilmicin combination was effective in 30 cases and in another 6 cases after addition of vancomycin. Three patients remained febrile until they came out of aplasia. In all cases the bacterial cultures were sterilized by the ceftazidime-netilmicin combination. There was no superinfection. The mean duration of antibiotic therapy was 21 days in study n. 1 and 14 days in study n. 2. The drugs were perfectly tolerated both clinically and biochemically. No death occurred in the two studies. Thus, owing to its broad spectrum, effectiveness and safety ceftazidime is a very useful antibiotic when combined with netilmicin as first-line treatment of febrile neutropenic children.",,"['4O5J85GJJB (Netilmicin)', '9M416Z9QNR (Ceftazidime)']",,,"[""Unite d'Hematologie infantile, Hopital Saint-Louis, Paris.""]",La ceftazidime pour le traitement des infections chez l'enfant neutropenique.,,,
2973596,NLM,MEDLINE,19890105,20161209,0755-4982 (Print) 0755-4982 (Linking),17,37,1988 Oct 26,[Randomized prospective study of ceftazidime versus a cefotaxime-tobramycin combination in acute leukemia in therapeutic aplasia].,1960-3,"['Pellegrin, J L', 'Marit, G', 'Fourche, J', 'Broustet, A', 'Texier-Maugein, J', 'Leng, B', 'Reiffers, J']","['Pellegrin JL', 'Marit G', 'Fourche J', 'Broustet A', 'Texier-Maugein J', 'Leng B', 'Reiffers J']",['fre'],"['Clinical Trial', 'Comparative Study', 'English Abstract', 'Journal Article', 'Randomized Controlled Trial']",France,Presse Med,"Presse medicale (Paris, France : 1983)",8302490,IM,"['Adolescent', 'Adult', 'Cefotaxime/*therapeutic use', 'Ceftazidime/administration & dosage/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Humans', '*Infection Control', 'Leukemia/complications/*therapy', 'Male', 'Prospective Studies', 'Random Allocation', 'Remission Induction', 'Tobramycin/*therapeutic use']",,1988/10/26 00:00,1988/10/26 00:01,['1988/10/26 00:00'],"['1988/10/26 00:00 [pubmed]', '1988/10/26 00:01 [medline]', '1988/10/26 00:00 [entrez]']",,ppublish,Presse Med. 1988 Oct 26;17(37):1960-3.,"In a prospective study, 157 patients with prolonged aplasia (PMN less than 500/mm3 during more than 21 days), hospitalized in a protected environment unit, were randomly assigned to receive ceftazidime alone or cefotaxime + tobramycin for initial febrile episodes. Age, sex, underlying diseases, duration of neutropenia, digestive decontamination regimen, clinical and microbiological characteristics of infections were similar in the two groups. Patients were evaluated for their initial response to antibiotics (defervescence in 48 hours, maintained 7 days) and long term response (prevention of another infection during aplasia). The overall initial response to ceftazidime was 48/71 (68 per cent) and to cefotaxime + tobramycin 55/86 (64 per cent). The long term response to ceftazidime was 33/71 (46.5 per cent) and to cefotaxime + tobramycin 31/86 (36 per cent). In conclusion, ceftazidime alone was as effective as cefotaxime + tobramycin in the first line treatment of febrile episodes in neutropenic patients.",,"['9M416Z9QNR (Ceftazidime)', 'N2GI8B1GK7 (Cefotaxime)', 'VZ8RRZ51VK (Tobramycin)']",,,"['Clinique de Medecine interne et Maladies infectieuses, CHU Bordeaux, Hopital Haut-Leveque, Pessac.']","Etude prospective randomisee, de la ceftazidime versus l'association cefotaxime-tobramycine, dans les leucemies aigues en aplasie therapeutique.",,,
2973595,NLM,MEDLINE,19890105,20161209,0755-4982 (Print) 0755-4982 (Linking),17,37,1988 Oct 26,"[First-line treatment of febrile episodes in leukemia in adults. Randomized, multicenter study of ceftazidime in single antibiotic therapy versus a cefotaxime-amikacin combination].",1954-9,"['Piguet, H', 'Pappo, M']","['Piguet H', 'Pappo M']",['fre'],"['Clinical Trial', 'Comparative Study', 'English Abstract', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",France,Presse Med,"Presse medicale (Paris, France : 1983)",8302490,IM,"['Adult', 'Amikacin/adverse effects/*therapeutic use', 'Cefotaxime/adverse effects/*therapeutic use', 'Ceftazidime/administration & dosage/adverse effects/*therapeutic use', 'Drug Evaluation', 'Drug Therapy, Combination', 'Fever/*drug therapy', 'Humans', 'Leukemia/*complications', 'Multicenter Studies as Topic', 'Prospective Studies', 'Random Allocation']",,1988/10/26 00:00,1988/10/26 00:01,['1988/10/26 00:00'],"['1988/10/26 00:00 [pubmed]', '1988/10/26 00:01 [medline]', '1988/10/26 00:00 [entrez]']",,ppublish,Presse Med. 1988 Oct 26;17(37):1954-9.,"A prospective study was conducted in 10 haematology departments of university hospitals on 174 leukaemic patients with prolonged bone marrow aplasia and presenting with a febrile episode. The patients were allocated at random to either ceftazidime or the cefotaxime-amikacin combination. The two treatment group were similar as regards age, sex, underlying blood disease, duration of neutropenia, presence of a venous catheter, type of digestive tract contamination, clinical and bacteriological findings. Results were assessed mainly on the course of the fever at 48 hours and on the clinical and bacteriological changes observed until the patients came out of aplasia. Documented infections were specifically analyzed. There was no significant difference in terms of success or failure between the two treatment groups. Ceftazidime administered as monotherapy proved as effective as the cefotaxime-amikacin combination in the empirical first-line treatment of febrile episodes in leukaemic patients with neutropenia.",,"['84319SGC3C (Amikacin)', '9M416Z9QNR (Ceftazidime)', 'N2GI8B1GK7 (Cefotaxime)']",,,"[""Service d'Hematologie, Centre Henri Becquerel, Rouen.""]","Traitement de premiere intention des episodes febriles des leucemies de l'adulte. Etude randomisee, multicentrique de la ceftazidime en monoantibiotherapie versus l'association cefotaxime-amikacine.",,,
2973542,NLM,MEDLINE,19881223,20190824,0145-2126 (Print) 0145-2126 (Linking),12,9,1988,Differentiating human leukemia cells express heparanase that degrades heparan sulfate in subendothelial extracellular matrix.,711-7,"['Yahalom, J', 'Fibach, E', 'Bar-Tana, R', 'Fuks, Z', 'Vlodavsky, I']","['Yahalom J', 'Fibach E', 'Bar-Tana R', 'Fuks Z', 'Vlodavsky I']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,IM,"['Cell Line', 'Extracellular Matrix/drug effects/*enzymology', '*Glucuronidase', 'Glycosaminoglycans/*metabolism', 'Glycoside Hydrolases/*metabolism', 'Heparitin Sulfate/*metabolism', 'Humans', 'Leukemia, Monocytic, Acute/*enzymology', 'Leukemia, Promyelocytic, Acute/*enzymology', 'Molecular Weight', 'Plasminogen/pharmacology', 'Tetradecanoylphorbol Acetate/pharmacology']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",['10.1016/0145-2126(88)90003-3 [doi]'],ppublish,Leuk Res. 1988;12(9):711-7. doi: 10.1016/0145-2126(88)90003-3.,"Human promyelocytic (HL-60) and monoblast-like (U-937) leukemia cell lines were tested for expression of an endoglycosidase (heparanase) capable of degrading heparan sulfate (HS) side chains in the subendothelial extracellular matrix (ECM). Heparanase activity has been previously shown to be expressed by activated lymphocytes and macrophages and by highly metastatic tumor cells, in correlation with their ability to invade blood vessels and extracellular matrices. Incubation of HL-60 and U-937 cells with sulfate-labeled ECM in the presence of 12-O-tetradecanoyl-phorbol-13-acetate (TPA) resulted in heparanase-mediated release of heparan sulfate degradation products. This degradation was inhibited by heparin, stimulated by plasminogen and not expressed by cells treated with retinoic acid or dimethylsulfoxide and undergoing neutrophilic differentiation. Heparanase activity was not detected in media conditioned by HL-60 and U-937 cells but was found in their cell lysates, regardless of whether or not the cells were exposed to TPA. These findings imply that TPA-induced differentiation of human myeloid leukemic cells to macrophage-like cells, but not to neutrophilic granulocytes, is associated with expression on the cell surface of a preformed heparanase activity. The enzyme may serve as a marker for human cell differentiation into macrophages, allowing the differentiating cells to traverse the vascular compartment and reach their target sites.",['R01-CA30289/CA/NCI NIH HHS/United States'],"['0 (Glycosaminoglycans)', '9001-91-6 (Plasminogen)', '9050-30-0 (Heparitin Sulfate)', 'EC 3.2.1.- (Glycoside Hydrolases)', 'EC 3.2.1.- (heparanase)', 'EC 3.2.1.31 (Glucuronidase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,"['Department of Radiation Oncology, Memorial Sloan-Kettering Cancer Center, New York, NY 10021.']",,,,
