PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RN,GR,SI,TT,RF,CON,CIN,CRF,EIN,OID,OTO,OT,GN
8754162,NLM,MEDLINE,19961129,20200713,0234-5730 (Print) 0234-5730 (Linking),41,2,1996 Mar-Apr,[Treatment of acute promyelocytic leukemia in children with all-trans-retinoic acid].,43-5,,"['Maschan, A A', 'Klebanova, N G', 'Miakova, N V', 'Tiganova, O A', 'Timakov, A M', 'Samochatova, E V']","['Maschan AA', 'Klebanova NG', 'Miakova NV', 'Tiganova OA', 'Timakov AM', 'Samochatova EV']",,['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Antineoplastic Agents/*therapeutic use', 'Child', 'Female', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Male', 'Recurrence', 'Remission Induction/methods', 'Tretinoin/*therapeutic use']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1996 Mar-Apr;41(2):43-5.,,"['0 (Antineoplastic Agents)', '5688UTC01R (Tretinoin)']",,,Lechenie ostrogo promielotsitarnogo leikoza u detei all-transretinoevoi kislotoi.,,,,,,,,,
8754158,NLM,MEDLINE,19961129,20200713,0234-5730 (Print) 0234-5730 (Linking),41,2,1996 Mar-Apr,[Acute promyelocytic leukemia: model of differential therapy].,29-32,,"['Samochatova, E V', 'Rumiantsev, A G']","['Samochatova EV', 'Rumiantsev AG']",,['rus'],"['Journal Article', 'Review']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/genetics', 'Receptors, Retinoic Acid/genetics', 'Recombination, Genetic', 'Tretinoin/*therapeutic use']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1996 Mar-Apr;41(2):29-32.,,"['0 (Receptors, Retinoic Acid)', '5688UTC01R (Tretinoin)']",,,Ostroi promielotsitarnyi leikoz: model' differentirovochnoi terapii.,40,,,,,,,,
8754152,NLM,MEDLINE,19961129,20200713,0234-5730 (Print) 0234-5730 (Linking),41,2,1996 Mar-Apr,[Transcobalamin II levels in blood plasma of children with acute leukemia].,10-3,"Transcobalamin II (TcII) level was studied in plasma of 40 children with acute leukemia. TcII is a cobalamin-binding protein which mediated the cellular uptake of Cbl and interacted with surface membrane receptor of hemopoietic cells. Plasma TcII and cobalofilins were analysed by PAGE using 57Co-cyanocobalamin. In addition, the mature human placenta with high specificity and affinity to TcII receptors was applied for TcII plasma identification. As compared to control, significant difference of TcII activity in the plasma of children with ALL was noted. There were children with low and high TcII concentration vs. control (484 +/- 42 and 1166 +/- 62, p > 0.001). Therefore, it is necessary to assay individually all the biochemical parameters of Cbl-transport system of children with ALL for adequate metabolic correction.","['Gudkova, M V', 'Oreshkin, A E', 'Miasishcheva, N V', 'Lenskaia, R V', 'Kurdiukov, V B']","['Gudkova MV', 'Oreshkin AE', 'Miasishcheva NV', 'Lenskaia RV', 'Kurdiukov VB']",,['rus'],"['Clinical Trial', 'English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Adolescent', 'Biological Transport/physiology', 'Blood Cells/metabolism', 'Child', 'Child, Preschool', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood', 'Transcobalamins/*metabolism']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1996 Mar-Apr;41(2):10-3.,,['0 (Transcobalamins)'],,,Soderzhanie transkobalamina II v plazme krovi u detei s ostrym leikozom.,,,,,,,,,
8754151,NLM,MEDLINE,19961129,20200713,0234-5730 (Print) 0234-5730 (Linking),41,2,1996 Mar-Apr,[Retrospective evaluation of blood immunologic parameters in the course of remission of acute lymphoblastic leukemia in children].,7-10,"The authors investigated cellular and humoral immunity in 53 children over 3 years of age suffering from acute lymphoblastic leukemia. The children had remission lasting from 6 to 120 months and were followed up for 7-14 years after the diagnosis was made. The treatment was performed according to programs of polychemotherapy practiced in 1981-1988. In November of 1995 42 children were alive, 15 had the disease for 10 years. Lymphocytopenia (absolute number of T-cells and B-cells fell 3-5 and 2-3-fold, respectively) was reported in all the examinees both in early remission and later (6-12, 24-60, 60 and more months since the disease onset). In early remission there was a significant reduction in the serum IgG, IgA and IgM. In children with ALL lethal outcome serum IgM and absolute number of E-RFCa dropped in early remission more significantly indicating deep drug-induced depression of lymphocytopoiesis. After 5 years of treatment the pool of peripheral T-lymphocytes and T/B lymphocyte proportion changed for the best, though their absolute number was subnormal. Serum IgG, IgA and circulating immune complexes were 1.3-1.5 times higher than normal which may be explained by gastrointestinal pathology and food allergy in the majority of children treated.","['Kisliak, N S', 'Lenskaia, R V', 'Shvedova, E Iu', 'Kolenkova, G V', 'Kondratchik, K L', 'Finogenova, N A', 'Mamedova, E A', 'Akk, A M', 'Lutskaia, Ia Ia', 'Dolgina, E N', ""Afanas'eva, A A"", 'Pronina, L Kh']","['Kisliak NS', 'Lenskaia RV', 'Shvedova EIu', 'Kolenkova GV', 'Kondratchik KL', 'Finogenova NA', 'Mamedova EA', 'Akk AM', 'Lutskaia IaIa', 'Dolgina EN', ""Afanas'eva AA"", 'Pronina LKh']",,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,IM,"['Child', 'Child, Preschool', 'Humans', 'Lymphocytes/*immunology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*immunology', 'Remission Induction', 'Retrospective Studies']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1996 Mar-Apr;41(2):7-10.,,,,,Retrospektivnaia otsenka immunologicheskikh pokazatelei krovi u detei v raznye sroki remissii ostrogo limfoblastnogo leikoza.,,,,,,,,,
8753897,NLM,MEDLINE,19961010,20131121,0025-7753 (Print) 0025-7753 (Linking),107,2,1996 Jun 8,[The pathogenesis and treatment of the hemostatic disorder in acute promyelocytic leukemia].,59-61,,"['Velasco, F', 'Lopez-Pedrera, R', 'Paramo, J A']","['Velasco F', 'Lopez-Pedrera R', 'Paramo JA']","['Servicio de Hematologia, Hospital Universitario Reina Sofia, Cordoba.']",['spa'],"['Journal Article', 'Review']",Spain,Med Clin (Barc),Medicina clinica,0376377,IM,"['Anticoagulants/therapeutic use', 'Antifibrinolytic Agents/therapeutic use', 'Blood Coagulation Disorders/blood/drug therapy/*etiology', 'Hemostasis', 'Humans', 'Leukemia, Promyelocytic, Acute/blood/*complications/drug therapy', 'Tretinoin/therapeutic use']",1996/06/08 00:00,1996/06/08 00:01,['1996/06/08 00:00'],"['1996/06/08 00:00 [pubmed]', '1996/06/08 00:01 [medline]', '1996/06/08 00:00 [entrez]']",,ppublish,Med Clin (Barc). 1996 Jun 8;107(2):59-61.,,"['0 (Anticoagulants)', '0 (Antifibrinolytic Agents)', '5688UTC01R (Tretinoin)']",,,Patogenesis y tratamiento de la alteracion hemostatica en la leucemia aguda promielocitica.,27,,,,,,,,
8753812,NLM,MEDLINE,19961010,20131121,0006-291X (Print) 0006-291X (Linking),225,2,1996 Aug 14,Production of granulocyte colony-stimulating factor by THP-1 cells in response to retinoic acid and phorbol ester is mediated through the autocrine production of interleukin-1.,639-46,"The human monocytic leukemic cell line, THP-1, which differentiates toward macrophages in response to phorbol 12-myristate 13-acetate (PMA) was investigated for its ability to produce granulocyte colony-stimulating factor (G-CSF). G-CSF protein was neither produced during PMA-induced differentiation nor in response to retinoic acid (RA) alone. However, when combined, PMA and RA synergistically stimulated G-CSF production with optimal effect observed at 10(-7)M for both PMA and RA. The synergistic interaction between PMA and RA on G-CSF production appeared to be mediated primarily through production of interleukin-1 beta (IL-1 beta) since neutralization of IL-1 beta activity inhibited about 80% of G-CSF production. It has been previously reported that IL-1 potently synergizes with RA to stimulate G-CSF production by THP-1 cells pretreated with PMA Using synthetic ligands to RA receptors (RAR) and retinoid X receptors (RXR) that selectively bind and activate RAR-RXR and RXR-RXR dimers respectively, we showed that the ability of RA to synergize with IL-1 was signaled through RAR-RXR heterodimer pathway. Finally, we demonstrated that RA can also enhance IL-1-induced G-CSF production in primary monocytes of human peripheral blood.","['Wang, Y', 'Zhang, J J', 'Dai, W', 'Pike, J W']","['Wang Y', 'Zhang JJ', 'Dai W', 'Pike JW']","['Department of Molecular and Cellular Physiology, University of Cincinnati College of Medicine, Ohio 45267, USA.']",['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['Drug Synergism', 'Granulocyte Colony-Stimulating Factor/*biosynthesis', 'Humans', 'Interleukin-1/biosynthesis', 'Kinetics', 'Leukemia, Monocytic, Acute/*metabolism/pathology', 'Receptors, Retinoic Acid/metabolism', 'Retinoid X Receptors', 'Signal Transduction', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Transcription Factors/metabolism', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured']",1996/08/14 00:00,1996/08/14 00:01,['1996/08/14 00:00'],"['1996/08/14 00:00 [pubmed]', '1996/08/14 00:01 [medline]', '1996/08/14 00:00 [entrez]']","['S0006-291X(96)91223-1 [pii]', '10.1006/bbrc.1996.1223 [doi]']",ppublish,Biochem Biophys Res Commun. 1996 Aug 14;225(2):639-46. doi: 10.1006/bbrc.1996.1223.,,"['0 (Interleukin-1)', '0 (Receptors, Retinoic Acid)', '0 (Retinoid X Receptors)', '0 (Transcription Factors)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '5688UTC01R (Tretinoin)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,,,['Biochem Biophys Res Commun 1996 Oct 14;227(2):644'],,,,
8753773,NLM,MEDLINE,19961010,20171116,0006-291X (Print) 0006-291X (Linking),225,2,1996 Aug 14,Association of CD24 with the kinase c-fgr in a small cell lung cancer cell line and with the kinase lyn in an erythroleukemia cell line.,384-91,Human CD24 is a highly glycosylated glycosylphosphatidylinositol-linked (GPI-linked) cell surface protein. GPI-linked proteins are involved in signal transduction mediated by members of the protein tyrosine kinase (PTK) family. Therefore we studied associated molecules providing the signaling capacity of CD24. Lysates of SW2 and K562 cells were analysed for expression of PTK of the c-src family by Western blotting. We identified c-fgr in SW2 lysates and c-fgr and also lyn in K562 lysates. To study a putative association of these PTK with CD24 we performed immunoprecipitations with the mAb SWA11 directed against CD24. Western analysis of the precipitates showed an association of c-fgr with CD24 in SW2 cells and lyn in K562 cells. We conclude that either c-fgr or lyn is physically associated with CD24 in a cell-type depending manner. An involvement of these complexes in signaling phenomenons of CD24 in small cell lung cancer and in leukaemias is discussed.,"['Zarn, J A', 'Zimmermann, S M', 'Pass, M K', 'Waibel, R', 'Stahel, R A']","['Zarn JA', 'Zimmermann SM', 'Pass MK', 'Waibel R', 'Stahel RA']","['Department of Medicine, University Hospital, Zurich, Switzerland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['Antigens, CD/*metabolism', 'CD24 Antigen', 'Carcinoma, Small Cell/enzymology/*metabolism', 'Humans', 'Leukemia, Erythroblastic, Acute/enzymology/*metabolism', '*Membrane Glycoproteins', 'Precipitin Tests', 'Proto-Oncogene Proteins/*metabolism', 'Signal Transduction', 'Tumor Cells, Cultured', 'src-Family Kinases/*metabolism']",1996/08/14 00:00,1996/08/14 00:01,['1996/08/14 00:00'],"['1996/08/14 00:00 [pubmed]', '1996/08/14 00:01 [medline]', '1996/08/14 00:00 [entrez]']","['S0006-291X(96)91184-5 [pii]', '10.1006/bbrc.1996.1184 [doi]']",ppublish,Biochem Biophys Res Commun. 1996 Aug 14;225(2):384-91. doi: 10.1006/bbrc.1996.1184.,,"['0 (Antigens, CD)', '0 (CD24 Antigen)', '0 (CD24 protein, human)', '0 (Membrane Glycoproteins)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.2 (lyn protein-tyrosine kinase)', 'EC 2.7.10.2 (proto-oncogene proteins c-fgr)', 'EC 2.7.10.2 (src-Family Kinases)']",,,,,,,,,,,,
8753685,NLM,MEDLINE,19961016,20190826,0340-6997 (Print) 0340-6997 (Linking),23,8,1996 Aug,Application of the linear-quadratic model to myelotoxicity associated with radioimmunotherapy.,953-7,"The purposes of this study were: (1) to use the linear-quadratic model to determine time-dependent biologically effective doses (BEDs) that were delivered to the bone marrow by multiple infusions of radiolabeled antibodies, and (2) to determine whether granulocyte and platelet counts correlate better with BED than administered radioactivity, which does not take stem cell repopulation, i.e., time, into consideration. Twenty patients with B-cell malignancies that had progressed despite intensive chemotherapy and who had a significant number of malignant cells in their bone marrow were treated with multiple 0.7-3.7 GBq/m2 (18-100 mCi/m2) intravenous infusions of Lym-1, a murine monoclonal antibody that binds to a tumour-associated antigen, labeled with iodine-131. Granulocyte and platelet counts were measured in order to assess bone marrow toxicity. BEDs were calculated according to the formula: BED=D(1+gD/(alpha/beta))-0.693(Tn-Tk)/alphaTp, where D represents the absorbed dose of radiation delivered to the red marrow by penetrating emissions of 131I throughout the whole body and nonpenetrating emissions of 131I in the blood and bone marrow, g is a factor that depends on the duration of irradiation relative to the repair half-life of human bone marrow, alpha is the coefficient of nonrepairable damage per Gy, beta is the coefficient of repairable damage per Gy2, Tn is the time required to reach the granulocyte or platelet count nadir after an 131I-Lym-1 infusion, Tk is the time at which bone marrow proliferation begins after the start of treatment and Tp is the doubling time of the bone marrow after the granulocyte or platelet count nadir has been reached. The cumulative 131I-Lym-1 radioactivity administered to each patient was calculated. Biologically effective doses from multiple 131I-Lym-1 infusions were summated in order to arrive at a total BED for each patient. There was a weak association between granulocyte and platelet counts and radioactivity (the correlation coefficients were -0.23 and -0.60, respectively). Likewise, there was a weak association between granulocyte and platelet counts and BED (the correlation coefficients were -0.27 and -0.40, respectively). The attempt to take bone marrow absorbed doses and overall treatment time into consideration with the linear-quadratic model did not produce a stronger association than was observed between peripheral blood counts and administered radioactivity. The association between granulocyte and platelet counts and BED may have been weakened by several factors, including variable bone marrow reserve at the start of 131I-Lym-1 therapy and the delivery of heterogeneous absorbed doses of radiation to the bone marrow.","['Wilder, R B', 'DeNardo, G L', 'Sheri, S', 'Fowler, J F', 'Wessels, B W', 'DeNardo, S J']","['Wilder RB', 'DeNardo GL', 'Sheri S', 'Fowler JF', 'Wessels BW', 'DeNardo SJ']","['Department of Radiation Oncology, University of California Davis Medical Center, Sacramento, California 95817, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Eur J Nucl Med,European journal of nuclear medicine,7606882,IM,"['Agranulocytosis/*etiology', 'Bone Marrow/*radiation effects', 'Dose-Response Relationship, Radiation', 'Granulocytes', 'Humans', 'Iodine Radioisotopes/adverse effects/therapeutic use', 'Leukemia, Lymphocytic, Chronic, B-Cell/*radiotherapy', 'Leukocyte Count', 'Linear Models', 'Lymphoma, Non-Hodgkin/*radiotherapy', 'Platelet Count', 'Radioimmunotherapy/*adverse effects', 'Thrombocytopenia/*etiology', 'Time Factors']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",['10.1007/BF01084370 [doi]'],ppublish,Eur J Nucl Med. 1996 Aug;23(8):953-7. doi: 10.1007/BF01084370.,,['0 (Iodine Radioisotopes)'],['CA 47829/CA/NCI NIH HHS/United States'],,,,,,,,,,,
8753229,NLM,MEDLINE,19961010,20110727,0047-1852 (Print) 0047-1852 (Linking),53 Su Pt 2,,1995 Mar,[Myeloperoxidase].,251-3,,"['Saito, K', 'Furusawa, S']","['Saito K', 'Furusawa S']","['Third Department of Internal Medicine, Dokkyo University School of Medicine.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Acid Phosphatase/*blood', 'Humans', 'Leukemia/diagnosis', 'Leukocytes/enzymology', 'Peroxidase/*blood']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1995 Mar;53 Su Pt 2:251-3.,,"['EC 1.11.1.7 (Peroxidase)', 'EC 3.1.3.2 (Acid Phosphatase)']",,,,6,,,,,,,,
8753226,NLM,MEDLINE,19961010,20110727,0047-1852 (Print) 0047-1852 (Linking),53 Su Pt 2,,1995 Mar,[Isoenzyme of nonspecific esterase in hemopoietic cells].,239-42,,"['Sasaki, R']",['Sasaki R'],"['Department of Internal Medicine, Jichi Medical School.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Carboxylesterase', 'Carboxylic Ester Hydrolases/*blood', 'Hematopoietic Stem Cells/*enzymology', 'Humans', 'Isoenzymes/*blood', 'Leukemia, Myeloid/enzymology', 'Lymphocyte Subsets']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1995 Mar;53 Su Pt 2:239-42.,,"['0 (Isoenzymes)', 'EC 3.1.1.- (Carboxylic Ester Hydrolases)', 'EC 3.1.1.1 (Carboxylesterase)']",,,,10,,,,,,,,
8753222,NLM,MEDLINE,19961010,20110727,0047-1852 (Print) 0047-1852 (Linking),53 Su Pt 2,,1995 Mar,[Neutrophil alkaline phosphatase (NAP) score].,221-4,,"['Aoyagi, M', 'Furusawa, S']","['Aoyagi M', 'Furusawa S']","['Third Department of Internal Medicine, Dokkyo University School of Medicine.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Adult', 'Aged', 'Alkaline Phosphatase/*blood', 'Anemia/enzymology', 'Female', 'Humans', 'Infant, Newborn', 'Leukemia/enzymology', 'Male', 'Myeloproliferative Disorders/enzymology', 'Neutrophils/*enzymology', 'Pregnancy']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1995 Mar;53 Su Pt 2:221-4.,,['EC 3.1.3.1 (Alkaline Phosphatase)'],,,,17,,,,,,,,
8753215,NLM,MEDLINE,19961010,20110727,0047-1852 (Print) 0047-1852 (Linking),53 Su Pt 2,,1995 Mar,[Asialo GM1].,195-7,,"['Nakahara, K']",['Nakahara K'],"['Department of Clinical Pathology, Kyorin University School of Medicine.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['G(M1) Ganglioside/*isolation & purification', 'Humans', 'Leukemia/diagnosis']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1995 Mar;53 Su Pt 2:195-7.,,"['37758-47-7 (G(M1) Ganglioside)', '71012-19-6 (asialo GM1 ganglioside)']",,,,7,,,,,,,,
8753214,NLM,MEDLINE,19961010,20110727,0047-1852 (Print) 0047-1852 (Linking),53 Su Pt 2,,1995 Mar,[Hexosaminidase isoenzyme pattern in leukemia].,190-4,,"['Sasaki, R']",['Sasaki R'],"['Department of Internal Medicine, Jichi Medical School.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Humans', 'Leukemia/*diagnosis', 'beta-N-Acetylhexosaminidases/*analysis']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1995 Mar;53 Su Pt 2:190-4.,,['EC 3.2.1.52 (beta-N-Acetylhexosaminidases)'],,,,13,,,,,,,,
8753213,NLM,MEDLINE,19961010,20110727,0047-1852 (Print) 0047-1852 (Linking),53 Su Pt 2,,1995 Mar,[Terminal deoxynucleotidyl transferase (TdT)].,186-9,,"['Sasaki, R']",['Sasaki R'],"['Department of Internal Medicine, Jichi Medical School.']",['jpn'],"['Journal Article', 'Review']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['DNA Nucleotidylexotransferase/*analysis', 'Humans', 'Leukemia/diagnosis', 'Lymphoma/diagnosis', 'Methods']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1995 Mar;53 Su Pt 2:186-9.,,['EC 2.7.7.31 (DNA Nucleotidylexotransferase)'],,,,9,,,,,,,,
8753067,NLM,MEDLINE,19961203,20211203,0031-6903 (Print) 0031-6903 (Linking),116,6,1996 Jun,[Nutritional and biochemical studies on vitamin D and its active derivatives].,457-72,"We have performed nutritional and biochemical studies on vitamin D and its active derivatives and the following results are obtained. 1. Since recent studies have revealed that dietary supplement of vitamin D (D2 and D3) and calcium is effective for preventing osteoporosis, a simplified routine method for determination of vitamin D in foods is established and applied to the assay on the contents of vitamin D in various kinds of Japanese foods. 2. A simplified routine method for simultaneous determination of vitamin D and its metabolites in the plasma and milk is established and applied to nutritional and clinical studies. 3. Physiological activities of two kinds of novel vitamin D3 derivatives, 22-oxa-1 alpha, 25-dihydroxyvitamin D3 (22-oxa-1,25(OH)2D3, OCT) and 2 beta-(3-hydroxypropoxy)-1,25(OH)2D3 (ED-71) have been studied. OCT, which has less calcemic and stronger cell differentiation activities than 1,25(OH)2D3, is a candidate for curing leukemia and other cancers without hypercalcemia. We have clarified that the property is due to its weak binding affinity for vitamin D binding protein and rapid turn-over in the body and rapid excretion into bile. On the other hand, ED-71, which has stronger effects on intestinal calcium absorption and longer bone turn-over than 1,25(OH)2D3, is a candidate for curing osteoporosis. We have clarified that the properties are due to stronger binding affinity for DBP and longer half-life than 1,25(OH)2D3.","['Kobayashi, T']",['Kobayashi T'],"['Department of Hygienic Sciences, Kobe Pharmaceutical University, Hyogo, Japan.']",['jpn'],"['Journal Article', 'Review']",Japan,Yakugaku Zasshi,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,0413613,IM,"['Animals', 'Asians', 'Bone and Bones/metabolism', 'Calcium/metabolism', 'Female', 'Food Analysis', 'Humans', 'Japan', 'Male', '*Nutrition Surveys', 'Osteoporosis/prevention & control', 'Seasons', '*Vitamin D/metabolism/physiology']",1996/06/01 00:00,1996/06/01 00:01,['1996/06/01 00:00'],"['1996/06/01 00:00 [pubmed]', '1996/06/01 00:01 [medline]', '1996/06/01 00:00 [entrez]']",['10.1248/yakushi1947.116.6_457 [doi]'],ppublish,Yakugaku Zasshi. 1996 Jun;116(6):457-72. doi: 10.1248/yakushi1947.116.6_457.,,"['1406-16-2 (Vitamin D)', 'SY7Q814VUP (Calcium)']",,,,29,,,,,,,,
8753056,NLM,MEDLINE,19961203,20110728,0021-5384 (Print) 0021-5384 (Linking),85,6,1996 Jun 10,[Peripheral blood stem cell transplantation].,886-91,,"['Harada, M']",['Harada M'],,['jpn'],"['Journal Article', 'Review']",Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,IM,"['Adult', 'Breast Neoplasms/therapy', 'Female', 'Graft vs Host Disease/etiology/prevention & control', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia/therapy', 'Lymphoma/therapy', 'Male', 'Ovarian Neoplasms/therapy', 'Testicular Neoplasms/therapy', 'Transplantation, Homologous']",1996/06/10 00:00,1996/06/10 00:01,['1996/06/10 00:00'],"['1996/06/10 00:00 [pubmed]', '1996/06/10 00:01 [medline]', '1996/06/10 00:00 [entrez]']",,ppublish,Nihon Naika Gakkai Zasshi. 1996 Jun 10;85(6):886-91.,,,,,,9,,,,,,,,
8753055,NLM,MEDLINE,19961203,20110728,0021-5384 (Print) 0021-5384 (Linking),85,6,1996 Jun 10,[Bone marrow allograft using unrelated donor tissues].,879-85,,"['Kodera, Y']",['Kodera Y'],,['jpn'],"['Journal Article', 'Review']",Japan,Nihon Naika Gakkai Zasshi,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,19130210R,IM,"['*Bone Marrow Transplantation', 'Histocompatibility Testing', 'Humans', 'Japan', 'Leukemia/mortality/therapy', 'Survival Rate', 'Tissue Banks', 'Tissue Donors', 'Transplantation, Homologous']",1996/06/10 00:00,1996/06/10 00:01,['1996/06/10 00:00'],"['1996/06/10 00:00 [pubmed]', '1996/06/10 00:01 [medline]', '1996/06/10 00:00 [entrez]']",,ppublish,Nihon Naika Gakkai Zasshi. 1996 Jun 10;85(6):879-85.,,,,,,10,,,,,,,,
