PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RN,CIN,EIN,PMC,MID,TT,DEP,CON,CI,SI,LID,CN,OID,OTO,OT,GN
16338472,NLM,MEDLINE,20060323,20071114,0143-4004 (Print) 0143-4004 (Linking),27,2-3,2006 Feb-Mar,Regulation of murine Ada gene expression in the placenta by transcription factor RUNX1.,269-77,"The formation of the trophoblast cell lineage of the placenta is one of the first developmental events to occur in mammalian embryogenesis. To understand the mechanisms of gene regulation in the trophoblast cell lineage we have used the murine adenosine deaminase gene (Ada) as a model. Ada is highly expressed in trophoblast cells of the placenta and is critical for embryo development. A 770bp fragment of the mouse Ada 5' flanking region is capable of directing trophoblast cell-specific expression in a transgenic model system. Earlier studies identified several critical portions of this fragment, including three footprinting regions that are necessary for correct gene expression in the placenta. Using electromobility shift assays (EMSA), we identified a 5bp sequence within footprint 3 that computer databases predicted bound to the transcription factor RUNX1 (also known as acute myeloid leukemia 1). This prediction was confirmed by supershift analysis using antibodies specific for RUNX1. The functional importance of this binding was demonstrated by both transient transfections and transgenic approaches. A significant reduction in expression of the reporter gene in the placenta was seen when the 5bp RUNX1 binding site was mutated. The findings reported here indicate that the RUNX1 transcription factor plays a significant role in regulating Ada gene expression in the trophoblast cell lineage.","['Schaubach, B M', 'Wen, H Y', 'Kellems, R E']","['Schaubach BM', 'Wen HY', 'Kellems RE']","['University of Texas at Houston, Biochemistry and Molecular Biology, 6431 Fannin, Houston, TX 77030, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",Netherlands,Placenta,Placenta,8006349,IM,"[""5' Flanking Region"", 'Adenosine Deaminase/*genetics', 'Animals', 'Base Sequence', 'Binding Sites', 'Cell Lineage/*genetics', 'Core Binding Factor Alpha 2 Subunit/analysis/*metabolism', 'DNA Footprinting', 'Female', 'Gene Expression Regulation, Developmental', 'Mice', 'Mice, Transgenic', 'Molecular Sequence Data', 'Placenta/chemistry/cytology/*metabolism', 'Pregnancy', 'Trophoblasts/*metabolism']",,2005/12/13 09:00,2006/03/24 09:00,['2005/12/13 09:00'],"['2004/10/07 00:00 [received]', '2005/03/02 00:00 [revised]', '2005/03/03 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/03/24 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0143-4004(05)00113-X [pii]', '10.1016/j.placenta.2005.03.001 [doi]']",ppublish,Placenta. 2006 Feb-Mar;27(2-3):269-77. doi: 10.1016/j.placenta.2005.03.001.,"['DK46207/DK/NIDDK NIH HHS/United States', 'HD34130/HD/NICHD NIH HHS/United States']","['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Runx1 protein, mouse)', 'EC 3.5.4.4 (Adenosine Deaminase)']",,,,,,,,,,,,,,,
16338422,NLM,MEDLINE,20060106,20121115,0093-7754 (Print) 0093-7754 (Linking),32,6,2005 Dec,Antisense strategies for oncogene inactivation.,563-72,"Antisense oligonucleotides have been evaluated as antineoplastic agents in a series of clinical trials, with mixed results. However, phase III trials incorporating G3139, a phosphorothioate oligomer targeted to the initiation codon region of the bcl-2 mRNA, have recently been completed in advanced melanoma, myeloma, and chronic lymphocytic leukemia (CLL). This article discusses the mechanism of the antisense effect and its dependence on the cellular internalization of oligonucleotides and the activity of RNase H. It also describes the properties, specific and nonspecific, of phosphorothioate oligonucleotides, the predominant species in current clinical trials, and discusses pharmacokinetic data obtained from earlier phase I and II trials employing these molecules. While the application of antisense technology to the treatment of human cancer is conceptually straightforward, in practice there are many complicated, mechanistically based questions that must be considered.","['Stein, C A', 'Benimetskaya, Luba', 'Mani, S']","['Stein CA', 'Benimetskaya L', 'Mani S']","['Department of Oncology, Albert Einstein-Montefiore Cancer Center, Albert Einstein College of Medicine, Bronx, NY 10467, USA. cstein@montefiore.org']",['eng'],"['Journal Article', 'Review']",United States,Semin Oncol,Seminars in oncology,0420432,IM,"['Clinical Trials as Topic', '*Gene Silencing', 'Humans', 'Neoplasms/genetics/therapy', 'Oligonucleotides, Antisense/chemistry/pharmacokinetics/*pharmacology/*therapeutic use', 'Oncogenes/*drug effects', 'Thionucleotides/pharmacology/therapeutic use']",90,2005/12/13 09:00,2006/01/07 09:00,['2005/12/13 09:00'],"['2005/12/13 09:00 [pubmed]', '2006/01/07 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0093-7754(05)00362-3 [pii]', '10.1053/j.seminoncol.2005.09.003 [doi]']",ppublish,Semin Oncol. 2005 Dec;32(6):563-72. doi: 10.1053/j.seminoncol.2005.09.003.,,"['0 (Oligonucleotides, Antisense)', '0 (Thionucleotides)', '85J5ZP6YSL (oblimersen)']",,,,,,,,,,,,,,,
16338288,NLM,MEDLINE,20060718,20071115,1531-5037 (Electronic) 0022-3468 (Linking),40,12,2005 Dec,Aortobronchial fistula from invasive Aspergillus infection of the lung: an endovascular approach to repair.,e19-22,"We report the case of an 11-year-old girl with an aortobronchial fistula as a complication from an invasive aspergillosis in the lung. This very rare problem has not been reported in children, to our knowledge. Management of Aspergillus infections of the lung in children and aortobronchial fistulas is reviewed.","['Islam, Saleem', 'Williams, David M', 'Teitelbaum, Daniel H']","['Islam S', 'Williams DM', 'Teitelbaum DH']","[""Section of Pediatric Surgery, CS Mott Children's Hospital, University of Michigan, Ann Arbor, MI, USA. sislam@surgery.umsmed.edu""]",['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr Surg,Journal of pediatric surgery,0052631,IM,"['Antifungal Agents', 'Aorta/*microbiology/*pathology', 'Aspergillosis/drug therapy/pathology/*surgery', 'Bronchial Fistula/*microbiology/*therapy', 'Child', 'Debridement', '*Embolization, Therapeutic', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/complications', 'Treatment Outcome']",,2005/12/13 09:00,2006/07/19 09:00,['2005/12/13 09:00'],"['2005/12/13 09:00 [pubmed]', '2006/07/19 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0022-3468(05)00651-2 [pii]', '10.1016/j.jpedsurg.2005.08.040 [doi]']",ppublish,J Pediatr Surg. 2005 Dec;40(12):e19-22. doi: 10.1016/j.jpedsurg.2005.08.040.,,['0 (Antifungal Agents)'],,,,,,,,,,,,,,,
16338067,NLM,MEDLINE,20070405,20061225,0304-3835 (Print) 0304-3835 (Linking),245,1-2,2007 Jan 8,Dok1 expression and mutation in Burkitt's lymphoma cell lines.,44-50,"Dok1 is an adaptor tyrosine kinase substrate with tumor-suppressive activity. The gene encoding Dok1 maps to human chromosome 2p13, which is frequently rearranged in human tumors. We have previously reported a frameshift mutation of this gene and the down-regulation of its expression in chronic lymphocytic leukemia. In this study, we have determined the expression levels of Dok1 in Burkitt's lymphoma (BL) cell lines, lymphoblastoid cell lines from patients with X-linked lymphoproliferative (XLP-LCL), or from control healthy donors. We have also screened for Dok1 gene mutations by heteroduplex analysis and direct sequencing. Dok1 expression was down-regulated in all BL and XLP-LCL cell lines in comparison to the control cells. No Dok1 mutation or polymorphism was found in the coding region of Dok1 in the three types of cells. However, DNA sequence analysis revealed the presence of four nucleotide changes in Dok1 gene, T(90172)C (intron 1), C(89487)T and (89433)InsCTCT (intron 2), and A(87714)G (3' UTR). T(90172)C and (89433)InsCTCT that were detected in about 7% of BL, 9% of XLP-LCL and 4% of normal samples may represent a common polymorphism. C(89487)T and A(87714)G changes were detected in 9 and 6% of analyzed BL lines, respectively, but never in the control and XLP-LCL cells, indicating that these nucleotide substitution occurred during tumor development. Interestingly, the C(89487)T variant is associated with a significantly lower level of Dok1 expression compared to the control samples. A positive association was also found between the presence of EBV in BL and the Dok1 genetic variation. Our data show that Dok1 expression and structure are affected in a subset of Burkitt's lymphoma samples, suggesting its possible role in this type of cancer.","['Lee, Sanghoon', 'Huang, Herve', 'Niu, Yamei', 'Tommasino, Massimo', 'Lenoir, Gilbert', 'Sylla, Bakary S']","['Lee S', 'Huang H', 'Niu Y', 'Tommasino M', 'Lenoir G', 'Sylla BS']","['International Agency for Research on Cancer, 150 Cours Albert-Thomas, Lyon 69008, France.']",['eng'],['Journal Article'],Ireland,Cancer Lett,Cancer letters,7600053,IM,"['Base Sequence', 'Burkitt Lymphoma/genetics/pathology', 'Cell Line, Tumor', 'DNA Mutational Analysis', 'DNA, Neoplasm/chemistry/genetics', 'DNA-Binding Proteins/*genetics', '*Gene Expression Regulation, Neoplastic', 'Heteroduplex Analysis', 'Humans', '*Mutation', 'Phosphoproteins/*genetics', 'RNA, Messenger/genetics/metabolism', 'RNA-Binding Proteins/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",,2005/12/13 09:00,2007/04/06 09:00,['2005/12/13 09:00'],"['2005/09/28 00:00 [received]', '2005/10/25 00:00 [revised]', '2005/10/26 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2007/04/06 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0304-3835(05)00977-8 [pii]', '10.1016/j.canlet.2005.10.045 [doi]']",ppublish,Cancer Lett. 2007 Jan 8;245(1-2):44-50. doi: 10.1016/j.canlet.2005.10.045. Epub 2005 Dec 9.,,"['0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (DOK1 protein, human)', '0 (Phosphoproteins)', '0 (RNA, Messenger)', '0 (RNA-Binding Proteins)']",,,,,,20051209,,,,,,,,,
16337984,NLM,MEDLINE,20060424,20171116,0042-6822 (Print) 0042-6822 (Linking),346,2,2006 Mar 15,"Spontaneous in vivo retrovirus-infected T and B cells, but not dendritic cells, mediate antigen-specific Fas ligand/Fas-dependent apoptosis of anti-retroviral CTL.",287-300,"C57BL/6 (H-2b), but not spontaneous virus-expressing AKR.H-2b congenic, mice generate retrovirus-specific CD8+ CTL responses to the immunodominant Kb-restricted epitope, KSPWFTTL. AKR.H-2b non-responsiveness is mediated by a peripheral tolerance mechanism. When co-cultured with primed B6 antiviral pCTL, AKR.H-2b splenocytes are recognized by the antiviral TcR as ""veto"" cells, which inhibit by an exquisitely virus-specific, MHC-restricted, veto cell FasL/responder T cell Fas, mediated apoptotic mechanism. Here, AKR.H-2b thymus, lymph node, and bone marrow cells are also shown to inhibit antiviral CTL generation. Purified AKR.H-2b CD4+ and CD8+ T cells, and B cells, served effectively as FasL-dependent veto cells. In contrast, AKR.H-2b dendritic cells (DC) did not efficiently veto antiviral CTL responses, despite expressing sufficient MHC class I/viral peptide complexes for TcR recognition. AKR.H-2b DC also expressed FasL mRNA and cell surface protein, albeit at a lower level than AKR.H-2b T and B cells. These findings suggest a fail-safe escape mechanism by virus-infected cells for escape from CTL-mediated immunity.","['Rich, Robert F', 'Cook, W James', 'Green, William R']","['Rich RF', 'Cook WJ', 'Green WR']","['Department of Microbiology and Immunology and the Norris Cotton Cancer Center, Dartmouth Medical School, 1 Medical Center Drive, Borwell 603 West, Lebanon, New Hampshire 03756, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Virology,Virology,0110674,IM,"['AKR murine leukemia virus/immunology', 'Animals', 'Antigens, Viral/immunology', '*Apoptosis', 'B-Lymphocytes/*immunology/virology', 'Cell Line', 'Cells, Cultured', '*Cytotoxicity, Immunologic', 'Dendritic Cells/immunology/virology', 'Fas Ligand Protein', 'Flow Cytometry', 'Gene Expression', 'H-2 Antigens/immunology', 'Leukemia Virus, Murine/*immunology', 'Male', 'Membrane Glycoproteins/physiology', 'Membrane Proteins/analysis/immunology', 'Mice', 'RNA, Messenger/analysis/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'T-Lymphocytes/*immunology/virology', 'T-Lymphocytes, Cytotoxic/*immunology', 'Tumor Necrosis Factors/physiology', 'fas Receptor/physiology']",,2005/12/13 09:00,2006/04/25 09:00,['2005/12/13 09:00'],"['2005/05/06 00:00 [received]', '2005/07/14 00:00 [revised]', '2005/10/12 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/04/25 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0042-6822(05)00657-4 [pii]', '10.1016/j.virol.2005.10.009 [doi]']",ppublish,Virology. 2006 Mar 15;346(2):287-300. doi: 10.1016/j.virol.2005.10.009. Epub 2005 Dec 9.,"['CA-23108/CA/NCI NIH HHS/United States', 'CA82755/CA/NCI NIH HHS/United States']","['0 (Antigens, Viral)', '0 (Fas Ligand Protein)', '0 (Fasl protein, mouse)', '0 (H-2 Antigens)', '0 (Membrane Glycoproteins)', '0 (Membrane Proteins)', '0 (RNA, Messenger)', '0 (Tumor Necrosis Factors)', '0 (fas Receptor)']",,,,,,20051209,,,,,,,,,
16337868,NLM,MEDLINE,20060131,20151119,0165-4608 (Print) 0165-4608 (Linking),163,2,2005 Dec,Duplication of the Ph-chromosome as a possible mechanism of resistance to imatinib mesylate in patients with chronic myelogenous leukemia.,189-90,,"['Ossard-Receveur, A', 'Bernheim, A', 'Clausse, B', 'Danglot, G', 'Fauvet, D', 'Leon, B', 'Lozach, F', 'Bories, D', 'Brouzes, C', 'Bourhis, J H', 'Turhan, A G']","['Ossard-Receveur A', 'Bernheim A', 'Clausse B', 'Danglot G', 'Fauvet D', 'Leon B', 'Lozach F', 'Bories D', 'Brouzes C', 'Bourhis JH', 'Turhan AG']",,['eng'],['Letter'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', '*Chromosome Aberrations', '*Drug Resistance, Neoplasm', 'Humans', 'Imatinib Mesylate', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics', '*Philadelphia Chromosome', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use']",,2005/12/13 09:00,2006/02/01 09:00,['2005/12/13 09:00'],"['2005/12/13 09:00 [pubmed]', '2006/02/01 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0165-4608(05)00260-8 [pii]', '10.1016/j.cancergencyto.2005.05.004 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Dec;163(2):189-90. doi: 10.1016/j.cancergencyto.2005.05.004.,,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",,,,,,,,,,,,,,,
16337864,NLM,MEDLINE,20060131,20061115,0165-4608 (Print) 0165-4608 (Linking),163,2,2005 Dec,A comparison of two contrasting recurrent isochromosomes 20 found in myelodysplastic syndromes suggests that retention of proximal 20q is a significant factor in myeloid malignancies.,176-9,"We compare two different isochromosomes of chromosome 20 in myelodysplastic syndromes (MDS): an isochromosome of the short arm of chromosome 20, idic(20)(q11), and an isochromosome of the long arm of a deleted chromosome 20, ider(20)(q10)del(20)(q11.2). The isochromosomes are of contrasting morphology, because opposite arms are duplicated, but they both show loss of the critical region at 20q12, as well as retention and duplication of the centromere and proximal long arm (20q11). We speculate that a region of proximal 20q is preferentially retained during deletions of the critical region in MDS and acute myeloid leukemia.","['MacKinnon, Ruth N', 'Campbell, Lynda J']","['MacKinnon RN', 'Campbell LJ']","[""Victorian Cancer Cytogenetics Service, Department of Medicine, St. Vincent's Hospital Melbourne and University of Melbourne, Fitzroy Vic, Australia. ruth.mackinnon@svhm.org.au""]",['eng'],"['Case Reports', 'Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Aged', 'Chromosome Banding', '*Chromosomes, Human, Pair 20', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', '*Isochromosomes', 'Karyotyping', 'Myelodysplastic Syndromes/*genetics']",,2005/12/13 09:00,2006/02/01 09:00,['2005/12/13 09:00'],"['2005/04/18 00:00 [received]', '2005/05/20 00:00 [revised]', '2005/06/02 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/02/01 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0165-4608(05)00298-0 [pii]', '10.1016/j.cancergencyto.2005.06.001 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Dec;163(2):176-9. doi: 10.1016/j.cancergencyto.2005.06.001.,,,,,,,,,,,,,,,,,
16337863,NLM,MEDLINE,20060131,20071115,0165-4608 (Print) 0165-4608 (Linking),163,2,2005 Dec,Masked Philadelphia chromosome due to atypical BCR/ABL localization on the 9q34 band and duplication of the der(9) in a case of chronic myelogenous leukemia.,173-5,"The cytogenetic studies and molecular evaluation of a Philadelphia chromosome negative chronic myelogenous leukemia patient with trisomy 21 (100% metaphases) and trisomy 9 (50% metaphases) at diagnosis are described. Fluorescence in situ hybridization revealed an atypical location of the BCR/ABL fusion signal on 9q, which was duplicated in cells with trisomy 9 simulating a double Ph. The patient was successfully treated with Glivec (also known as Gleevec; Novartis, Basel, Switzerland) and achieved complete hematological and cytogenetic response as well as a reduction of BCR/ABL transcripts detected by real-time quantitative PCR.","['Fugazza, Giuseppina', 'Garuti, Anna', 'Marchelli, Stefania', 'Miglino, Maurizio', 'Bruzzone, Roberto', 'Gatti, Anna Maria', 'Castello, Sandra', 'Sessarego, Mario']","['Fugazza G', 'Garuti A', 'Marchelli S', 'Miglino M', 'Bruzzone R', 'Gatti AM', 'Castello S', 'Sessarego M']","['Dipartimento di Medicina Interna e Dipartimento di Ematologia e Oncologia, Universita degli Studi di Genova, Viale Benedetto XV/6, 16132 Genova, Italy.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['*Chromosomes, Human, Pair 9', '*Gene Duplication', '*Genes, abl', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/*genetics', 'Male', 'Middle Aged', '*Philadelphia Chromosome', 'Polymerase Chain Reaction', 'Trisomy']",,2005/12/13 09:00,2006/02/01 09:00,['2005/12/13 09:00'],"['2005/03/03 00:00 [received]', '2005/05/10 00:00 [revised]', '2005/05/17 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/02/01 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0165-4608(05)00277-3 [pii]', '10.1016/j.cancergencyto.2005.05.010 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Dec;163(2):173-5. doi: 10.1016/j.cancergencyto.2005.05.010.,,,,,,,,,,,,,,,,,
16337861,NLM,MEDLINE,20060131,20131121,0165-4608 (Print) 0165-4608 (Linking),163,2,2005 Dec,BCR/ABL rearrangement in two cases of Philadelphia chromosome negative chronic myeloid leukemia: deletion on the derivative chromosome 9 may or not be present.,164-7,"The BCR/ABL gene rearrangement is the causing factor in chronic myeloid leukemia (CML). In most cases, it is cytogenetically visualized as a translocation between chromosomes 9 and 22, known as the Philadelphia (Ph) translocation. About 5-10% of CML patients lack cytogenetic evidence of the Ph translocation but show BCR/ABL fusion by fluorescence in situ hybridization (FISH) or reverse transcriptase-polymerase chain reaction. Deletions around the breakpoints on the derivative 9 including ABL and or BCR sequences occur in 10-15% of Ph+ CML patients and are thought to have prognostic significance. We describe two patients with CML and normal karyotype in whom cryptic rearrangements involving chromosomes 9 and 22 resulted in the causative BCR/ABL gene. FISH with a three-color probe combination revealed BCR/ABL fusion on chromosome 9 without deletion in one patient; the other patient had BCR/ABL on chromosome 22 with an associated derivative 9 deletion. We discuss the proposed mechanisms in the formation of BCR/ABL in the setting of a normal karyotype. Some authors reported that patients with the chimeric gene located on the derivative 9 have a poor clinical course. We suggest that deletion rather than location of the chimeric gene alone is more likely to be associated with prognosis.","['Batista, Denise A S', 'Hawkins, Anita', 'Murphy, Kathleen M', 'Griffin, Constance A']","['Batista DA', 'Hawkins A', 'Murphy KM', 'Griffin CA']","['Department of Pathology, Division of Molecular Pathology, Johns Hopkins University, 600 North Wolfe Street, Park SB 202, Baltimore, MD 21287, USA. dbatist1@jhmi.edu']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adult', 'Chromosomes, Human, Pair 22', '*Chromosomes, Human, Pair 9', 'Female', 'Fusion Proteins, bcr-abl/*genetics', '*Gene Rearrangement', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/*genetics', 'Middle Aged', 'Reverse Transcriptase Polymerase Chain Reaction', '*Sequence Deletion']",,2005/12/13 09:00,2006/02/01 09:00,['2005/12/13 09:00'],"['2005/03/24 00:00 [received]', '2005/04/27 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/02/01 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0165-4608(05)00239-6 [pii]', '10.1016/j.cancergencyto.2005.04.021 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Dec;163(2):164-7. doi: 10.1016/j.cancergencyto.2005.04.021.,,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,,,,
16337859,NLM,MEDLINE,20060131,20051212,0165-4608 (Print) 0165-4608 (Linking),163,2,2005 Dec,Myeloid/natural killer cell precursor acute leukemia with tetraploidy.,156-9,"Myeloid/natural killer (NK) cell precursor acute leukemia is characterized by coexpression of myeloid and natural killer cell antigens and an aggressive clinical course. Here we report a case of myeloid/NK precursor acute leukemia in a 37-year-old woman. Clinical presentation was correlated with leukemic blast morphology, immunophenotype, and cytogenetic analysis. The patient had noted fever, weakness, purpura, peripheral lymphadenopathy, and moderate hepatosplenomegaly. Peripheral blood smears and bone marrow aspirate smears at presentation revealed blastic cells, which were generally L2 shaped, with variation in cell size, round to moderately irregular nuclei and prominent nucleoli, pale cytoplasm, and a lack of azurophilic granules. Immunophenotypic analysis of the blasts displayed coexpression of myeloid and natural killer cell antigens with relatively immature phenotype: CD7+, CD33+, CD34+, CD56+, CD57+, CD16-, MPO-. Cytogenetic analysis of marrow cells showed 62% of cells with a normal female karyotype; in the remaining 38%, tetraploid changes were detected, where the chromosome number was 92, with no preferential losses or gains of chromosomes. Fluorescence in situ hybridization analysis revealed the same abnormality. The patient did not respond to chemotherapy (cytosine arabinoside and idarubicin) and died of a septic complication on the 34th day after admission. To our knowledge, this is the first description of tetraploidy in myeloid/NK cell precursor acute leukemia.","['Dincol, Guncag', 'Palanduz, Sukru', 'Nalcaci, Meliha', 'Ucur, Ali', 'Buyukaydin, Banu']","['Dincol G', 'Palanduz S', 'Nalcaci M', 'Ucur A', 'Buyukaydin B']","['Division of Hematology, Department of Internal Medicine, Istanbul Medical School, University of Istanbul, 34390, Capa, Istanbul, Turkey. gundincol@hotmail.com']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Acute Disease', 'Adult', 'Female', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Killer Cells, Natural/*immunology', 'Leukemia, Myeloid/*genetics/immunology', '*Polyploidy']",,2005/12/13 09:00,2006/02/01 09:00,['2005/12/13 09:00'],"['2004/07/07 00:00 [received]', '2005/03/08 00:00 [revised]', '2005/04/11 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/02/01 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0165-4608(05)00219-0 [pii]', '10.1016/j.cancergencyto.2005.04.012 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Dec;163(2):156-9. doi: 10.1016/j.cancergencyto.2005.04.012.,,,,,,,,,,,,,,,,,
16337853,NLM,MEDLINE,20060131,20070723,0165-4608 (Print) 0165-4608 (Linking),163,2,2005 Dec,Cytogenetic study of 75 erythroleukemias.,113-22,"Chromosomal abnormalities of erythroleukemia (EL) are often described as complex and unspecific. A retrospective study of 75 EL defined following the WHO classification was performed by the Groupe Francophone de Cytogenetique Hematologique (GFCH) in order to reexamine the cytogenetics of this infrequent leukemia subtype. Clonal chromosomal abnormalities were found in 57 patients (76%), distributed in 4 subgroups according to their ploidy status: pseudodiploid (16%), hypodiploid (47%), hyperdiploid (19%), and 18% mixed cases associating 2 different clones (hypodiploid+hyperdiploid) or (pseudodiploid+hyperdiploid). Complex rearrangements and hypodiploid chromosome number were widely dominant (50%). Partial or entire monosomies represented 56% of abnormalities. Chromosomes 5 and 7 were the most frequently involved (41 and 33 times, respectively), followed by chromosomes 8, 16, and 21 (19 times each). Unbalanced abnormalities were more frequent than balanced. All these kinds of abnormalities were observed in de novo as well as in secondary EL. Four out of 7 cases of ""pure erythroid"" leukemia were associated with a BCR-ABL fusion. Lastly, no chromosome abnormality specific to EL could be established. However, the large overlap of chromosomal abnormality patterns of EL (pure erythroid form excepted) and refractory anemia with excess of blasts in transformation (RAEB-t) favors the hypothesis of similarities between these 2 hematologic disorders.","['Lessard, M', 'Struski, S', 'Leymarie, V', 'Flandrin, G', 'Lafage-Pochitaloff, M', 'Mozziconacci, M-J', 'Talmant, P', 'Bastard, C', 'Charrin, C', 'Baranger, L', 'Helias, C', 'Cornillet-Lefebvre, P', 'Mugneret, F', 'Cabrol, C', 'Pages, M-P', 'Fert-Ferret, D', 'Nguyen-Khac, F', 'Quilichini, B', 'Barin, C', 'Berger, R']","['Lessard M', 'Struski S', 'Leymarie V', 'Flandrin G', 'Lafage-Pochitaloff M', 'Mozziconacci MJ', 'Talmant P', 'Bastard C', 'Charrin C', 'Baranger L', 'Helias C', 'Cornillet-Lefebvre P', 'Mugneret F', 'Cabrol C', 'Pages MP', 'Fert-Ferret D', 'Nguyen-Khac F', 'Quilichini B', 'Barin C', 'Berger R']","[""Laboratoire d'Hematologie, Hopital de Hautepierre, 67000 Strasbourg, France. michel.lessard@chru-strasbourg.fr""]",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', 'Child, Preschool', '*Chromosome Aberrations', 'Chromosomes, Human', 'Humans', 'Leukemia, Erythroblastic, Acute/*genetics', 'Middle Aged', 'Ploidies', 'Retrospective Studies', 'Survival Analysis']",,2005/12/13 09:00,2006/02/01 09:00,['2005/12/13 09:00'],"['2005/02/28 00:00 [received]', '2005/04/25 00:00 [revised]', '2005/05/09 00:00 [accepted]', '2005/12/13 09:00 [pubmed]', '2006/02/01 09:00 [medline]', '2005/12/13 09:00 [entrez]']","['S0165-4608(05)00262-1 [pii]', '10.1016/j.cancergencyto.2005.05.006 [doi]']",ppublish,Cancer Genet Cytogenet. 2005 Dec;163(2):113-22. doi: 10.1016/j.cancergencyto.2005.05.006.,,,,,,,,,,,,,['Groupe Francophone de Cytogenetique Hematologique (GFCH)'],,,,
