PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,SI,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CIN,RF,PMC,CI,CON,LID,TT,EIN,MID,COIS,PS,FPS,CRF,UIN,OID,OTO,OT,GN
15540901,NLM,MEDLINE,20050216,20191026,0925-5710 (Print) 0925-5710 (Linking),80,3,2004 Oct,Clinical and oncologic implications in epigenetic down-regulation of CD26/dipeptidyl peptidase IV in adult T-cell leukemia cells.,254-60,"CD26/dipeptidyl peptidase IV (DPPIV), a T-cell-activation antigen, is a 110-kD type II surface glycoprotein expressed on various types of normal cells. CD26/DPPIV is considered a multifunction housekeeping protein. Malignant cells often show altered CD26/DPPIV expression or no CD26/DPPIV expression, thus suggesting a useful marker for assessing some T-cell malignancies. In this study, cell surface protein and messenger RNA expression profiles for CD26/DPPIV were examined in 49 patients with adult T-cell leukemia (ATL), 10 carriers of human T-lymphotropic virus I (HTLV-I), and 4 HTLV-I-infected cell lines to assess the utility of CD26/DPPIV expression as a useful molecular marker for ATL pathology. In contrast to normal lymphocytes, ATL cells and HTLV-I-infected cell lines apparently down-regulated or completely lost the CD26/DPPIV antigen. Furthermore, the positive rate and antigen density for CD26/DPPIV in ATL cells gradually declined along with the advancement of ATL stage. Analysis of genomic DNA and the CD26/DPPIV transcript showed that CD26- ATL cells possessed faintly detected transcripts of the gene that were aberrantly methylated at the CpG islands within the promoter region in parallel with the advancement of ATL, a finding supported by a rescue experiment for transcript reexpression using 5-azacytidine as demethylation agent. Moreover, there was no relationship between loss of CD26/DPPIV and HTLV-I tax expression. These results indicate that ATL cells down-regulate CD26 antigens by means of epigenetic machinery and that this antigen abnormality is a useful molecular marker for the pathology of ATL.","['Tsuji, Tomohiro', 'Sugahara, Kazuyuki', 'Tsuruda, Kazuto', 'Uemura, Akiko', 'Harasawa, Hitomi', 'Hasegawa, Hiroo', 'Hamaguchi, Yukio', 'Tomonaga, Masao', 'Yamada, Yasuaki', 'Kamihira, Shimeru']","['Tsuji T', 'Sugahara K', 'Tsuruda K', 'Uemura A', 'Harasawa H', 'Hasegawa H', 'Hamaguchi Y', 'Tomonaga M', 'Yamada Y', 'Kamihira S']","['Department of Laboratory Medicine, Nagasaki University Graduate School of Biomedical Sciences, Nagasaki, Japan.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Biomarkers)', '63231-63-0 (RNA)', 'EC 3.4.14.5 (Dipeptidyl Peptidase 4)']",IM,"['Biomarkers', 'Case-Control Studies', 'CpG Islands', 'DNA Methylation', 'Dipeptidyl Peptidase 4/analysis/*genetics', 'Down-Regulation', 'Epigenesis, Genetic', 'Gene Expression Profiling', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/diagnosis/*genetics', 'Promoter Regions, Genetic', 'RNA/analysis']",2004/11/16 09:00,2005/02/17 09:00,['2004/11/16 09:00'],"['2004/11/16 09:00 [pubmed]', '2005/02/17 09:00 [medline]', '2004/11/16 09:00 [entrez]']",['10.1532/ijh97.04066 [doi]'],ppublish,Int J Hematol. 2004 Oct;80(3):254-60. doi: 10.1532/ijh97.04066.,,,,,,,,,,,,,,,,,,,
15540898,NLM,MEDLINE,20050216,20191026,0925-5710 (Print) 0925-5710 (Linking),80,3,2004 Oct,Gene expression profiling of human erythroid progenitors by micro-serial analysis of gene expression.,239-45,"We compared the expression profiles of highly purified human CD34+ cells and erythroid progenitor cells by micro-serial analysis of gene expression (microSAGE). Human CD34+ cells were purified from granulocyte colony-stimulating factor-mobilized blood stem cells, and erythroid progenitors were obtained by cultivating these cells in the presence of stem cell factor, interleukin 3, and erythropoietin. Our 10,202 SAGE tags allowed us to identify 1354 different transcripts appearing more than once. Erythroid progenitor cells showed increased expression of LRBA, EEF1A1, HSPCA, PILRB, RANBP1, NACA, and SMURF. Overexpression of HSPCA was confirmed by real-time polymerase chain reaction analysis. MicroSAGE revealed an unexpected preferential expression of several genes in erythroid progenitor cells in addition to the known functional genes, including hemoglobins. Our results provide reference data for future studies of gene expression in various hematopoietic disorders, including myelodysplastic syndrome and leukemia.","['Fujishima, Naohito', 'Hirokawa, Makoto', 'Aiba, Namiko', 'Ichikawa, Yoshikazu', 'Fujishima, Masumi', 'Komatsuda, Atsushi', 'Suzuki, Yoshiko', 'Kawabata, Yoshinari', 'Miura, Ikuo', 'Sawada, Ken-ichi']","['Fujishima N', 'Hirokawa M', 'Aiba N', 'Ichikawa Y', 'Fujishima M', 'Komatsuda A', 'Suzuki Y', 'Kawabata Y', 'Miura I', 'Sawada K']","['Department of Internal Medicine III, Akita University School of Medicine, Akita, Japan.']",['eng'],,,"['Comparative Study', 'Journal Article']",,Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Antigens, CD34)', '0 (RNA, Messenger)']",IM,"['Antigens, CD34', 'Cell Culture Techniques', 'Cells, Cultured', 'Erythroid Precursor Cells/*metabolism', 'Expressed Sequence Tags', 'Gene Expression Profiling/*methods', 'Gene Library', 'Hematopoietic Stem Cells/metabolism', 'Humans', 'RNA, Messenger/analysis/standards']",2004/11/16 09:00,2005/02/17 09:00,['2004/11/16 09:00'],"['2004/11/16 09:00 [pubmed]', '2005/02/17 09:00 [medline]', '2004/11/16 09:00 [entrez]']",['10.1532/ijh97.04053 [doi]'],ppublish,Int J Hematol. 2004 Oct;80(3):239-45. doi: 10.1532/ijh97.04053.,,,,,,,,,,,,,,,,,,,
15540897,NLM,MEDLINE,20050216,20191026,0925-5710 (Print) 0925-5710 (Linking),80,3,2004 Oct,Survivin and leukemia.,232-8,"Survivin is a unique member of the inhibitor-of-apoptosis family. Survivin plays a role in the proliferation and survival of normal hematopoietic cells. Survivin expression is aberrantly enhanced in most cancers and hematopoietic malignancies. Survivin is an attractive therapeutic target, and various approaches to targeting survivin have been tested in vitro and in vivo. We review here progress in survivin research.","['Cong, Xiu Li', 'Han, Zhong Chao']","['Cong XL', 'Han ZC']","['State Key Laboratory of Experimental Hematology, Institute of Hematology and Hospital of Blood Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Tianjin, China.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Antigens, Neoplasm)', '0 (BIRC5 protein, human)', '0 (Inhibitor of Apoptosis Proteins)', '0 (Microtubule-Associated Proteins)', '0 (Neoplasm Proteins)', '0 (Survivin)']",IM,"['Animals', 'Antigens, Neoplasm', 'Cell Survival', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Inhibitor of Apoptosis Proteins', 'Leukemia/drug therapy/*etiology/pathology', 'Microtubule-Associated Proteins/genetics/*physiology', 'Neoplasm Proteins', 'Survivin']",2004/11/16 09:00,2005/02/17 09:00,['2004/11/16 09:00'],"['2004/11/16 09:00 [pubmed]', '2005/02/17 09:00 [medline]', '2004/11/16 09:00 [entrez]']",['10.1532/ijh97.a10408 [doi]'],ppublish,Int J Hematol. 2004 Oct;80(3):232-8. doi: 10.1532/ijh97.a10408.,,,64,,,,,,,,,,,,,,,,
15540894,NLM,MEDLINE,20050216,20191026,0925-5710 (Print) 0925-5710 (Linking),80,3,2004 Oct,Cytokine-mediated cell survival.,210-4,"Pathways through which signals emanating from cytokine receptors support cell survival have long been a focus of intensive research. For Baf-3, a murine interleukin 3-dependent cell line, the 2 distinct pathways involved are JAK/STATs/Bcl-xL and Ras/PI3-K. The latter is indispensable for long-term cell survival through down-regulation of Bim, a BH3-only cell death activator of the Bcl-2 superfamily. Thus, Bim is likely to be a key factor for cytokine-initiated regulation of cell survival in both hematopoietic cells and neuronal cells. Cytokines (like neurotrophic factors) regulate Bim expression at at least 3 levels: (1) at the messenger RNA (mRNA) level through transcriptional regulation and possibly through mRNA stability, (2) at the protein level through proteasome-dependent regulation of protein degradation, and (3) by affecting subcellular localization through regulation of the potential to bind to the dynein motor complex. Bim function may be regulated in different ways in certain situations such that the relative importance of these 3 mechanisms may differ among cell types. For hematopoiesis, mRNA regulation seems to be the most important. Bim is also implicated in leukemogenesis caused by the Bcr-Abl chimeric tyrosine kinase and constitutively active mutants of receptor tyrosine kinases.","['Inaba, Toshiya']",['Inaba T'],"['Department of Molecular Oncology & Leukemia Program Project, Research Institute for Radiation Biology and Medicine, Hiroshima University, Hiroshima, Japan. tinaba@hiroshima-u.ac.jp']",['eng'],,,"['Journal Article', 'Review']",,Japan,Int J Hematol,International journal of hematology,9111627,"['0 (Cytokines)', '0 (Proto-Oncogene Proteins c-bcl-2)']",IM,"['Animals', '*Cell Survival', 'Cytokines/*physiology', 'Gene Expression Regulation', 'Humans', 'Proto-Oncogene Proteins c-bcl-2/genetics/physiology', 'Signal Transduction/physiology']",2004/11/16 09:00,2005/02/17 09:00,['2004/11/16 09:00'],"['2004/11/16 09:00 [pubmed]', '2005/02/17 09:00 [medline]', '2004/11/16 09:00 [entrez]']",['10.1532/ijh97.04093 [doi]'],ppublish,Int J Hematol. 2004 Oct;80(3):210-4. doi: 10.1532/ijh97.04093.,,,48,,,,,,,,,,,,,,,,
15540243,NLM,MEDLINE,20050114,20151119,0008-543X (Print) 0008-543X (Linking),103,1,2005 Jan 1,Granulocyte--colony-stimulating factor (Filgrastim) may overcome imatinib-induced neutropenia in patients with chronic-phase myelogenous leukemia.,210-11,,"['Jorgensen, Heather G', 'Copland, Mhairi', 'Holyoake, Tessa L']","['Jorgensen HG', 'Copland M', 'Holyoake TL']",,['eng'],,,"['Comment', 'Journal Article']",,United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/*adverse effects/therapeutic use', 'Benzamides', 'Dose-Response Relationship, Drug', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Hematopoietic Stem Cells', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myeloid, Chronic-Phase/*drug therapy', 'Neutropenia/*chemically induced/*prevention & control', 'Piperazines/*adverse effects/therapeutic use', 'Pyrimidines/*adverse effects/therapeutic use', 'Reproducibility of Results']",2004/11/13 09:00,2005/01/15 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/01/15 09:00 [medline]', '2004/11/13 09:00 [entrez]']",['10.1002/cncr.20742 [doi]'],ppublish,Cancer. 2005 Jan 1;103(1):210-11. doi: 10.1002/cncr.20742.,,,,,,['Cancer. 2004 Jun 15;100(12):2592-7. PMID: 15197801'],,,,,,,,,,,,,
15540222,NLM,MEDLINE,20050719,20080913,1045-2257 (Print) 1045-2257 (Linking),42,2,2005 Feb,Activation of HLXB9 by juxtaposition with MYB via formation of t(6;7)(q23;q36) in an AML-M4 cell line (GDM-1).,170-8,"Mutation or dysregulation of related homeobox genes occurs in leukemia. Using RT-PCR, we screened members of the EHG family of homeobox genes, comprising EN1 (at 2q14), GBX2 (at 2q36), and EN2, GBX1, and HLXB9 (at 7q36), for dysregulation in acute myeloid leukemia (AML) cell lines indicated by chromosomal breakpoints at these sites. Only one EHG-family gene was expressed, HLXB9, in cell line GDM-1 (AML-M4). Karyotypic analysis of GDM-1 revealed a unique t(6;7)(q23;q35), also present in the patient. Fluorescence in situ hybridization analysis showed chromosomal breakpoints close to the region upstream of HLXB9, at 7q36, a region rearranged in certain AML patients, and at 6q23 upstream of MYB, a gene activated in leukemia. Detailed expression analysis suggested ectopic activation of HLXB9 occurred via juxtaposition with regions upstream of MYB, which was highly expressed in GDM-1. Our data identified a cell line model for a novel leukemic translocation involving MYB with HLXB9, further implicating HLXB9 in leukemogenesis.","['Nagel, Stefan', 'Kaufmann, Maren', 'Scherr, Michaela', 'Drexler, Hans G', 'MacLeod, Roderick A F']","['Nagel S', 'Kaufmann M', 'Scherr M', 'Drexler HG', 'MacLeod RA']","['DSMZ-German Collection of Microorganisms and Cell Cultures, Department of Human and Animal Cell Cultures, Braunschweig, Germany.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,"['0 (Homeodomain Proteins)', '0 (MNX1 protein, human)', '0 (Proto-Oncogene Proteins c-myb)', '0 (Transcription Factors)']",IM,"['Cell Line, Tumor', 'Chromosomes, Human, Pair 6/*genetics', 'Chromosomes, Human, Pair 7/*genetics', 'Cytogenetic Analysis/methods', 'Gene Expression Regulation, Neoplastic/*genetics', 'Genes, myb/*physiology', 'HL-60 Cells/chemistry/metabolism', 'HeLa Cells/chemistry/metabolism', 'Homeodomain Proteins/*genetics/physiology', 'Humans', 'Jurkat Cells/chemistry/metabolism', 'K562 Cells/chemistry/metabolism', 'Leukemia, Myelomonocytic, Acute/*genetics/pathology', 'Proto-Oncogene Proteins c-myb/biosynthesis', 'Transcription Factors/*genetics/physiology', 'Translocation, Genetic/*genetics', 'U937 Cells/chemistry/metabolism']",2004/11/13 09:00,2005/07/20 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/07/20 09:00 [medline]', '2004/11/13 09:00 [entrez]']",['10.1002/gcc.20113 [doi]'],ppublish,Genes Chromosomes Cancer. 2005 Feb;42(2):170-8. doi: 10.1002/gcc.20113.,,,,,"['(c) 2004 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
15540217,NLM,MEDLINE,20050719,20161124,1045-2257 (Print) 1045-2257 (Linking),42,2,2005 Feb,MYST3/CREBBP (MOZ/CBP) and CREBBP/MYST3 (CBP/MOZ) transcripts in AML with t(8;16)(p11;p13).,207-8; author reply 209,,"['Schmidt, H H']",['Schmidt HH'],,['eng'],,,"['Letter', 'Comment']",,United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,"['0 (Nuclear Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Trans-Activators)', 'EC 2.3.1.- (Acetyltransferases)', 'EC 2.3.1.48 (CREB-Binding Protein)', 'EC 2.3.1.48 (CREBBP protein, human)', 'EC 2.3.1.48 (Histone Acetyltransferases)', 'EC 2.3.1.48 (KAT6A protein, human)']",IM,"['Acetyltransferases/*genetics', 'Acute Disease', 'CREB-Binding Protein', 'Chromosomes, Human, Pair 16/*genetics', 'Chromosomes, Human, Pair 8/*genetics', 'Histone Acetyltransferases', 'Humans', 'Leukemia, Myeloid/*genetics', 'Nuclear Proteins/*genetics', 'Oncogene Proteins, Fusion/genetics', 'RNA, Messenger/*genetics', 'RNA, Neoplasm/genetics', 'Trans-Activators/*genetics', 'Translocation, Genetic/genetics']",2004/11/13 09:00,2005/07/20 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/07/20 09:00 [medline]', '2004/11/13 09:00 [entrez]']",['10.1002/gcc.20112 [doi]'],ppublish,Genes Chromosomes Cancer. 2005 Feb;42(2):207-8; author reply 209. doi: 10.1002/gcc.20112.,,,,,,['Genes Chromosomes Cancer. 2004 Jun;40(2):140-5. PMID: 15101047'],,,,,,,,,,,,,
15539800,NLM,MEDLINE,20050629,20131121,0301-0163 (Print) 0301-0163 (Linking),62 Suppl 3,,2004,Genetics and variation in phenotype in Noonan syndrome.,56-9,"Noonan syndrome is a well-known clinical entity comprising multiple congenital anomalies characterized by typical facial features, short stature and congenital heart defect. Approximately 50% of cases are sporadic. Familial cases are generally autosomal dominant. In 2001 a gene responsible for Noonan syndrome, PTPN11, encoding for the non-receptor protein tyrosine phosphatase SHP-2, was identified. Mutation analysis of the PTPN11 gene was carried out in Nijmegen in 150 patients with Noonan syndrome. Mutations were found in 68 patients (45%), the most common being A922G in exon 8. In exon 4 a mutation was found that encoded the C-SH2 domain of the PTPN11 gene in two unique patients who shared some uncommon features. A 218C-->T mutation was found in exon 3 in one patient with Noonan syndrome and mild juvenile myelomonocytic leukaemia.","['Jongmans, Marjolijn', 'Otten, Barto', 'Noordam, Kees', 'van der Burgt, Ineke']","['Jongmans M', 'Otten B', 'Noordam K', 'van der Burgt I']","['Department of Human Genetics, University Medical Centre, Nijmegen, The Netherlands.']",['eng'],,,['Journal Article'],,Switzerland,Horm Res,Hormone research,0366126,"['0 (Intracellular Signaling Peptides and Proteins)', '5Z93L87A1R (Guanine)', '8J337D1HZY (Cytosine)', 'EC 3.1.3.48 (PTPN11 protein, human)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatase, Non-Receptor Type 11)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatases)', 'EC 3.1.3.48 (SH2 Domain-Containing Protein Tyrosine Phosphatases)', 'JAC85A2161 (Adenine)', 'QR26YLT7LT (Thymine)']",IM,"['Adenine', 'Adult', 'Child', 'Cytosine', 'Exons/genetics', 'Female', '*Genetic Variation', 'Genotype', 'Guanine', 'Humans', 'Infant', 'Intracellular Signaling Peptides and Proteins', 'Male', '*Mutation', 'Noonan Syndrome/*genetics/pathology', '*Phenotype', 'Protein Tyrosine Phosphatase, Non-Receptor Type 11', 'Protein Tyrosine Phosphatases/*genetics', 'SH2 Domain-Containing Protein Tyrosine Phosphatases', 'Thymine', 'src Homology Domains/genetics']",2004/11/13 09:00,2005/06/30 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/06/30 09:00 [medline]', '2004/11/13 09:00 [entrez]']","['80500 [pii]', '10.1159/000080500 [doi]']",ppublish,Horm Res. 2004;62 Suppl 3:56-9. doi: 10.1159/000080500.,,,,,"['2004 S. Karger AG, Basel.']",,,,,,,,,,,,,,
15539553,NLM,MEDLINE,20050217,20071115,0013-7227 (Print) 0013-7227 (Linking),146,2,2005 Feb,Leptin serves as an upstream activator of an obligatory signaling cascade in the embryo-implantation process.,694-701,"Leptin is essential for mouse reproduction, but the exact roles it serves are yet to be determined. Treatment of cultured endometrial cells with leptin increases the level of beta3-integrin, IL-1, leukemia inhibitory factor, and their corresponding receptors. These leptin-induced effects are eliminated by inhibitors of leptin receptor (OB-R) signaling. Herein the impact of blocking leptin/OB-R signaling in the mouse endometrium was assessed. Intrauterine injection of either leptin peptide antagonists (LPA-1 or -2) or OB-R antibody on d 3 of pregnancy impaired mouse implantation in comparison to intrauterine injection of scrambled peptides (LPA-Sc) or species-matched IgGs. Significant reduction in the number of implantation sites and uterine horns with implanted embryos was found after intrauterine injection of LPA-1 (1 of 22) vs. LPA-1Sc (11 of 15) and LPA-2 (3 of 17) vs. LPA-2Sc (14 of 16). The impact of disruption of leptin signaling on the endometrial expression of several molecules in pregnant mice was assessed by Western blot, immunohistochemistry, and confocal microscopy. Disruption of leptin signaling resulted in a significant reduction of IL-1 receptor type I, leukemia inhibitory factor, vascular endothelial growth factor receptor 2, and beta3-integrin levels. The levels of colony stimulating factor-1 receptor and OB-R were unaltered after treatment with LPAs compared with controls. Expression of OB-R protein was pregnancy dependent and found only in glandular epithelium after implantation occurred. Our findings support previous observations that leptin signaling is critical to the implantation process and suggest that molecules downstream of leptin-activated receptor may serve obligatory roles in endometrial receptivity and successful implantation.","['Ramos, M P', 'Rueda, B R', 'Leavis, P C', 'Gonzalez, R R']","['Ramos MP', 'Rueda BR', 'Leavis PC', 'Gonzalez RR']","['Boston Biomedical Research Institute, 64 Grove Street, Watertown, Massachusetts 02472, USA.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20041111,United States,Endocrinology,Endocrinology,0375040,"['0 (Integrin beta3)', '0 (Leptin)', '0 (Receptors, Cell Surface)', '0 (Receptors, Cytokine)', '0 (Receptors, Leptin)', '0 (leptin receptor, mouse)']",IM,"['Animals', 'Embryo Implantation/*physiology', 'Endometrium/metabolism', 'Female', 'Integrin beta3/metabolism', 'Leptin/antagonists & inhibitors/*metabolism', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Pregnancy', 'Receptors, Cell Surface/metabolism', 'Receptors, Cytokine/metabolism', 'Receptors, Leptin', 'Signal Transduction/*physiology']",2004/11/13 09:00,2005/02/18 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/02/18 09:00 [medline]', '2004/11/13 09:00 [entrez]']","['en.2004-1186 [pii]', '10.1210/en.2004-1186 [doi]']",ppublish,Endocrinology. 2005 Feb;146(2):694-701. doi: 10.1210/en.2004-1186. Epub 2004 Nov 11.,,,,,,,,,,,,,,,,,,,
15539379,NLM,MEDLINE,20050113,20151119,0002-9173 (Print) 0002-9173 (Linking),122,6,2004 Dec,Relative contributions of enzyme cytochemistry and flow cytometric immunophenotyping to the evaluation of acute myeloid leukemias with a monocytic component and of flow cytometric immunophenotyping to the evaluation of absolute monocytoses.,865-74,"We evaluated the contributions of enzyme cytochemical stains and flow cytometric immunophenotyping (FCI) data to detection of monocytic cells (MCs) in acute myelomonocytic and acute monocytic leukemias (AMMLs and AMoLs) and compared FCI findings in AMoL, chronic myelomonocytic leukemia (CMML), and normal peripheral blood (PB) and bone marrow (BM) monocytes to classify and evaluate absolute monocytoses (AMs). We reviewed 10 AMMLs and 6 AMoLs with a-naphthyl-acetate esterase (ANAE) and a-naphthyl-butyrate esterase stains and a complete FCI profile and compared FCI data for 6 AMoLs, 7 CMMLs, 2 AMs, and normal monocytes. We confirmed increased sensitivity of ANAE staining to FCI data in detecting MCs in AMML and AMoL. CD14 was insensitive for confirming MCs; other characteristic markers of MCs were absent or partially lost in AMML and AMoL. Aberrant expression of CD56 (detected in 50% of AMMLs and AMoLs), CD34, and CD117 indicated malignancy. The mature MCs of the CMMLs revealed variable FCI abnormalities (partial loss of CD13, CD14, and CD15; expression of CD56), as in the monoblasts of AMoL. These FCI abnormalities in morphologically mature MCs might indicate markers for CMML. AMs revealed FCI abnormalities, indicating clues to their correct classification as CMML.","['Dunphy, Cherie H', 'Orton, Susan O', 'Mantell, Janet']","['Dunphy CH', 'Orton SO', 'Mantell J']","['Division of Hematopathology, McLendon Clinical Laboratories, Department of Pathology and Laboratory Medicine, University of North Carolina School of Medicine, Chapel Hill, NC 27599, USA.']",['eng'],,,"['Comparative Study', 'Journal Article']",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,"['0 (Biomarkers, Tumor)', 'EC 3.1.- (Naphthol AS D Esterase)']",IM,"['Biomarkers, Tumor/*analysis', 'Diagnosis, Differential', 'Flow Cytometry', 'Humans', '*Immunohistochemistry/methods', '*Immunophenotyping/methods', 'Leukemia, Myeloid, Acute/*classification/diagnosis', 'Monocytes/metabolism/*pathology', 'Naphthol AS D Esterase/metabolism', 'Sensitivity and Specificity']",2004/11/13 09:00,2005/01/14 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/01/14 09:00 [medline]', '2004/11/13 09:00 [entrez]']","['BH588HVG6UHN2RF2 [pii]', '10.1309/BH58-8HVG-6UHN-2RF2 [doi]']",ppublish,Am J Clin Pathol. 2004 Dec;122(6):865-74. doi: 10.1309/BH58-8HVG-6UHN-2RF2.,,,,,,,,,,,,,,,,,,,
15539370,NLM,MEDLINE,20050104,20130424,1364-503X (Print) 1364-503X (Linking),362,1825,2004 Dec 15,Dynamics of the mammalian nucleus: can microscopic movements help us to understand our genes?,2775-93,"The cell is the basic building block of human life. Each of us has existed as a single cell--the fertilized egg--and each of us is made up of billions of cells specialized in many different ways to form our tissues and organs. The nucleus of the cell, described as far back as 1682, is known to be the site of storage of chromosomes that carry the essential and unique DNA blueprint for life. With the recent publication of the entire human genome, our knowledge of exactly what our genes say has increased immeasurably. This, however, is only a small part of the story. In order for the chromosomal genes to function correctly, a complex cellular machinery must rewrite (or transcribe) the genetic instructions of the DNA into a temporary messenger molecule, messenger RNA (mRNA), rearrange (or splice) this message into a readable format and then produce a protein that accurately represents the DNA code. It is these protein molecules that are the functional result of the genetic information. This whole process is termed 'gene expression'. Both transcription and splicing of the mRNA message are carried out in the nucleus. These events must be performed accurately and efficiently in a minute volume already full of highly packaged DNA. An ever-increasing number of sub-nuclear structures have been described, from the nucleolus (first described in 1835) to newly discovered 'paraspeckles' and 'clastosomes'. In fact, as increasing numbers of molecular probes become available, so the complexity of nuclear structure appears to expand. The functions of some of these structures are currently unknown. Those whose functions are, at least partly, understood play roles in gene expression. Interestingly, alterations in nuclear structure are associated with human diseases such as spinal muscular atrophy and promyelocytic leukaemia, suggesting that the control of nuclear organization may be vital to health. The dynamic nature of the structure of the mammalian nucleus has come under increasing scrutiny over the past few years. This has largely been driven by advances in microscopy as well as the advent of in vivo labelling techniques for sub-nuclear structures. It is now possible, using a protein originally isolated from jellyfish, to visualize sub-nuclear structures in living cultured cells. Together with three-dimensional time-lapse microscopy and an ever-expanding range of photo-bleaching techniques, this technology allows us to ask detailed questions about movements of sub-nuclear structures themselves and of the proteins contained within them. It has recently become clear that sub-nuclear structures are capable of moving within the nucleus and of physically interacting with each other. It is also now known that there is a constant flux of molecules into and out of these mobile structures as well as exchange of molecules between them, rather like passengers travelling on the London Underground. The challenge for the future is to relate dynamic events at the microscopic and molecular levels back to the organism as a whole. Only by understanding how the information encoded on genes is accurately expressed at the right time and in the right place can we really take advantage of the knowledge currently available to us.","['Sleeman, Judith E']",['Sleeman JE'],"['University of Dundee, Division of Pathology and Neuroscience, Ninewells Hospital and Medical School, Dundee DD1 9SY, UK. j.e.sleeman@dundee.ac.uk']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,England,Philos Trans A Math Phys Eng Sci,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",101133385,"['0 (Molecular Motor Proteins)', '0 (Nuclear Proteins)', '9007-49-2 (DNA)']",IM,"['Animals', 'Cell Nucleus/*genetics/*ultrastructure', 'DNA/*genetics/*ultrastructure', 'Humans', 'Mammals', 'Molecular Motor Proteins/physiology/ultrastructure', 'Movement/*physiology', 'Nuclear Proteins/*genetics/metabolism/*ultrastructure']",2004/11/13 09:00,2005/01/05 09:00,['2004/11/13 09:00'],"['2004/11/13 09:00 [pubmed]', '2005/01/05 09:00 [medline]', '2004/11/13 09:00 [entrez]']","['LL5AEY9BYJHDBYLV [pii]', '10.1098/rsta.2004.1463 [doi]']",ppublish,Philos Trans A Math Phys Eng Sci. 2004 Dec 15;362(1825):2775-93. doi: 10.1098/rsta.2004.1463.,,,89,,,,,,,,,,,,,,,,
