PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,TT,PMC,CI,RF,CON,EIN,GR,CIN,SI,OTO,OT,IR,FIR,IRAD,LID,DEP
10654452,NLM,MEDLINE,20000211,20190826,0145-2126 (Print) 0145-2126 (Linking),24,2,2000 Feb,CD38: an 'orphan' protein that may be finding a home?,161-2,"['Felgar, R E']",['Felgar RE'],"['Department of Pathology and Laboratory Medicine, University of Rochester Medical Center, NY 14642, USA. raymond_felgar@urmc.rochester.edu']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Membrane Glycoproteins)', 'EC 3.2.2.5 (ADP-ribosyl Cyclase)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.5 (NAD+ Nucleosidase)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase', 'ADP-ribosyl Cyclase 1', 'Acute Disease', '*Antigens, CD', 'Antigens, Differentiation/*physiology', 'Humans', 'Leukemia, Myeloid/*immunology', 'Membrane Glycoproteins', 'NAD+ Nucleosidase/*physiology', 'Prognosis']",2000/02/02 09:00,2000/02/19 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/02/02 09:00 [entrez]']","['S0145212699001708 [pii]', '10.1016/s0145-2126(99)00170-8 [doi]']",ppublish,Leuk Res. 2000 Feb;24(2):161-2. doi: 10.1016/s0145-2126(99)00170-8.,,,,,,,,,,,,,,,,,
10654451,NLM,MEDLINE,20000211,20211201,0145-2126 (Print) 0145-2126 (Linking),24,2,2000 Feb,Increased CD38 expression is associated with favorable prognosis in adult acute leukemia.,153-9,"['Keyhani, A', 'Huh, Y O', 'Jendiroba, D', 'Pagliaro, L', 'Cortez, J', 'Pierce, S', 'Pearlman, M', 'Estey, E', 'Kantarjian, H', 'Freireich, E J']","['Keyhani A', 'Huh YO', 'Jendiroba D', 'Pagliaro L', 'Cortez J', 'Pierce S', 'Pearlman M', 'Estey E', 'Kantarjian H', 'Freireich EJ']","['Department of Leukemia, The University of Texas, M.D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Membrane Glycoproteins)', 'EC 3.2.2.5 (ADP-ribosyl Cyclase)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.5 (NAD+ Nucleosidase)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase', 'ADP-ribosyl Cyclase 1', 'Acute Disease', 'Adult', '*Antigens, CD', 'Antigens, Differentiation/*immunology', 'Humans', 'Immunophenotyping', 'Karyotyping', 'Leukemia, Myeloid/genetics/*immunology', 'Membrane Glycoproteins', 'Middle Aged', 'Multivariate Analysis', 'NAD+ Nucleosidase/*immunology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/*immunology', 'Prognosis', 'Survival Analysis']",2000/02/02 09:00,2000/02/19 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/02/02 09:00 [entrez]']","['S0145-2126(99)00147-2 [pii]', '10.1016/s0145-2126(99)00147-2 [doi]']",ppublish,Leuk Res. 2000 Feb;24(2):153-9. doi: 10.1016/s0145-2126(99)00147-2.,"CD38 is expressed in acute lymphoblastic leukemia (ALL) and acute myelogenous leukemia (AML) blasts and its prognostic significance is unknown. We investigated CD38 expression in 304 AML and 138 ALL patients. CD38 was lower in AML-M3 compared to other FAB subtypes (5% vs. 41%; P < 0.001), but was similar among ALL subtypes (56.6%; P = 0.69). Ph + ALL and AML with t(15; 17) patients showed lower CD38 expression than the other cytogenetic groups. Overall survival favored AML and ALL patients with higher CD38 levels. Multivariate analysis revealed CD38 expression to be an independent outcome predictor in AML, but not in ALL.",,,,,,,,,,,,,,,,
10654447,NLM,MEDLINE,20000211,20190826,0145-2126 (Print) 0145-2126 (Linking),24,2,2000 Feb,Polyamine-depletion induces p27Kip1 and enhances dexamethasone-induced G1 arrest and apoptosis in human T lymphoblastic leukemia cells.,119-27,"['Choi, S H', 'Kim, S W', 'Choi, D H', 'Min, B H', 'Chun, B G']","['Choi SH', 'Kim SW', 'Choi DH', 'Min BH', 'Chun BG']","['Department of Pharmacology, Korea University College of Medicine, Seoul, South Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Biogenic Polyamines)', '0 (Cell Cycle Proteins)', '0 (Microtubule-Associated Proteins)', '0 (Neoplasm Proteins)', '0 (Tumor Suppressor Proteins)', '147604-94-2 (Cyclin-Dependent Kinase Inhibitor p27)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Apoptosis/*drug effects', 'Biogenic Polyamines/*metabolism', '*Cell Cycle Proteins', 'Cell Division', 'Cyclin-Dependent Kinase Inhibitor p27', 'Dexamethasone/*pharmacology', 'G1 Phase/*drug effects', 'Humans', 'Leukemia, T-Cell/metabolism/*pathology', 'Microtubule-Associated Proteins/*biosynthesis', 'Neoplasm Proteins/metabolism', 'Tumor Cells, Cultured', '*Tumor Suppressor Proteins']",2000/02/02 09:00,2000/02/19 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/02/02 09:00 [entrez]']","['S0145-2126(99)00161-7 [pii]', '10.1016/s0145-2126(99)00161-7 [doi]']",ppublish,Leuk Res. 2000 Feb;24(2):119-27. doi: 10.1016/s0145-2126(99)00161-7.,"Glucocorticoid-induced apoptosis is preceded by G1 arrest and supposed to be up-regulated by polyamine-depletion, which also induces G1, arrest. In CEM leukemia cells, dexamethasone showed an antileukemic effect by inducing G1 arrest and apoptosis. DFMO, which depleted cellular polyamines by inhibiting ornithine decarboxylase, induced G1 arrest but without apoptosis, though it enhanced dexamethasone-induced G1 arrest and apoptosis. The G1 arrest was associated with hypophosphorylation of pRb. Dexamethasone inhibited the increase of mutated p53 expression but had little effect on p2Wafl/Cip1 expression. The p27Kip1, level was increased by dexamethasone or and DFMO in line with the kinetics of G1 arrest. Therefore, the up-regulation of dexamethasone-induced apoptosis by polyamine-depletion may be associated with additive down-regulation of G1 progression via the p27Kip1-pRb pathtway.",,,,,,,,,,,,,,,,
10654445,NLM,MEDLINE,20000211,20190826,0145-2126 (Print) 0145-2126 (Linking),24,2,2000 Feb,Malignant hematopoietic cell lines: in vitro models for the study of myelodysplastic syndromes.,109-15,"['Drexler, H G']",['Drexler HG'],"['DSMZ-German Collection of Microorganisms & Cell Cultures, Department of Human and Animal Cell Cultures, Braunschweig, Germany. hdr@dsmz.de']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,,IM,"['Adult', 'Aged', 'Child, Preschool', 'Female', 'Humans', 'Male', 'Middle Aged', '*Models, Biological', 'Mutation', 'Myelodysplastic Syndromes/genetics/*pathology', 'Tumor Cells, Cultured']",2000/02/02 09:00,2000/02/19 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/02/02 09:00 [entrez]']","['S0145-2126(99)90169-8 [pii]', '10.1016/s0145-2126(99)90169-8 [doi]']",ppublish,Leuk Res. 2000 Feb;24(2):109-15. doi: 10.1016/s0145-2126(99)90169-8.,"The myelodysplastic syndromes (MDS) are clonal myeloid disorders characterized by bone marrow cell dysplasia and ineffective hematopoiesis leading to peripheral refractory cytopenias. The course of the disease ranges from a chronic status with progressively impaired hematopoiesis to rapid evolution to acute myeloid leukemia (AML). A panel of continuous malignant hematopoietic cell lines has been established from the whole spectrum of MDS variants and also from the different stages of the diseases, namely from the MDS phase or the overt leukemia post-MDS phase. Ten cell lines were derived from the various MDS subtypes; 17 cell lines were established from patients with leukemia (mainly AML) post-MDS. While most cell lines display myelocytic, monocytic or erythroid features, some cell lines carry lymphoid characteristics (precursor B-cell, B-cell, or T-cell), With regard to these lymphoid MDS-derived cell lines, more detailed authentication (prove of derivation from the assumed patient) and verification (prove of the malignant nature of the cell line and derivation from the assumed neoplastic cells) are required to validate the cell lines as true in vitro representatives of MDS and to exclude any cross-contamination with other cells or immortalization of normal bystander cells. On the other hand, lymphoid MDS-derived cell lines may attest to the clonal nature of MDS which may afflict progenitor cells giving rise to lymphoid or myelomonocytoid cells. Many of the MDS-derived cell lines carry cytogenetic and molecular genetic abnormalities typically associated with MDS: gain or loss of all or parts of chromosomes 5, 7, 8 and 20 (-5/5q-, -7/7q-, + 8, 20q-); alterations of oncogenes and tumor suppressor genes (IRF-1, p15, p16, p53, RAS, RB). In summary, the present panel of cell lines provides continuously growing cells and thus unlimited cell material for use as in vitro paradigms covering the whole spectrum of MDS-related hematopoetic malignancies. Properly authenticated and verified MDS-derived cell lines which should be made freely available will represent important research tools for the study of MDS biology.",,,,,,,,,,,,,,,,
10654444,NLM,MEDLINE,20000211,20190826,0145-2126 (Print) 0145-2126 (Linking),24,2,2000 Feb,Establishment of a myelodysplastic syndrome (MDS)/secondary AML-derived T lymphoid cell line K2-MDS.,103-8,"['Matsuda, M', 'Maeda, Y', 'Sumimoto, Y', 'Nawata, H', 'Sano, T', 'Higashishiba, M', 'Haga, H', 'Tatsumi, Y', 'Horiuchi, F', 'Irimajiri, K', 'Kanamaru, A']","['Matsuda M', 'Maeda Y', 'Sumimoto Y', 'Nawata H', 'Sano T', 'Higashishiba M', 'Haga H', 'Tatsumi Y', 'Horiuchi F', 'Irimajiri K', 'Kanamaru A']","['Third Department of Internal Medicine, School of Medicine, Kinki University, Osaka-Sayama, Osaka, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Cytokines)', '0 (Mitogens)']",IM,"['Acute Disease', 'Cytokines/pharmacology', 'Gene Rearrangement, T-Lymphocyte', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid/immunology/*pathology', 'Male', 'Middle Aged', 'Mitogens/pharmacology', 'Myelodysplastic Syndromes/genetics/immunology/*pathology', 'T-Lymphocytes/*cytology/immunology']",2000/02/02 09:00,2000/02/19 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/02/02 09:00 [entrez]']","['S0145-2126(99)00168-X [pii]', '10.1016/s0145-2126(99)00168-x [doi]']",ppublish,Leuk Res. 2000 Feb;24(2):103-8. doi: 10.1016/s0145-2126(99)00168-x.,"We have established a T lymphoid cell line, K2-MDS, from the peripheral blood mononuclear cells (PBMC) of a patient with acute myeloblastic leukemia (AML) transformed myelodysplastic syndrome (MDS). K2-MDS cells are positive for the expression of CD4, CD5, CD13, CD25, CD71, CD95, HLA-DR and cytoplasmic CD3. Southern blotting analysis shows T cell receptor (TCR) beta chain genes rearrangements, whereas immunoglobulin heavy chain (IgH) genes are not rearranged. Further, the patient PBMC contains TCR beta chain genes rearrangements in the same manner as K2-MDS cells. The data indicate that K2-MDS is a T lymphoid cell line derived from a myelodysplastic clone in the patient PBMC. This new MDS-derived cell line K2-MDS may be a useful in vitro model for studies on the pathogenetic mechanisms leading to MDS.",,,,,,,,,,,,,,,,
10654412,NLM,MEDLINE,20000228,20201208,0163-3864 (Print) 0163-3864 (Linking),62,12,1999 Dec,DNA polymerase beta inhibitors from Baeckea gunniana.,1624-6,"['Deng, J Z', 'Starck, S R', 'Hecht, S M']","['Deng JZ', 'Starck SR', 'Hecht SM']","['Department of Chemistry, University of Virginia, Charlottesville 22901, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,"['0 (Enzyme Inhibitors)', '0 (Plant Extracts)', '0 (Triterpenes)', '6SMK8R7TGJ (Oleanolic Acid)', 'EC 2.7.7.7 (DNA Polymerase beta)', 'P3M2575F3F (ursolic acid)']",IM,"['Animals', 'Cattle', 'DNA Polymerase beta/*antagonists & inhibitors', 'Enzyme Inhibitors/*isolation & purification', 'Leukemia P388/enzymology', 'Models, Chemical', 'Oleanolic Acid/*analogs & derivatives', 'Plant Extracts/*chemistry', 'Plant Leaves/chemistry', 'Triterpenes/*chemistry', 'Tumor Cells, Cultured']",2000/02/02 09:00,2000/03/04 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/03/04 09:00 [medline]', '2000/02/02 09:00 [entrez]']",['10.1021/np990240w [doi]'],ppublish,J Nat Prod. 1999 Dec;62(12):1624-6. doi: 10.1021/np990240w.,"Crude plant extracts were surveyed for their ability to inhibit DNA polymerase beta. A methyl ethyl ketone extract prepared from Baeckea gunniana was identified as a potent inhibitor of the enzyme. Bioassay-guided fractionation of the extract, using an assay to monitor the inhibitory potential of individual fractions toward DNA polymerase beta, led to the isolation of four active ursane and oleanane triterpenoids (1-4). Inhibitory principle 1 is a new natural product, and 2 is a novel compound. Their structures were established as 3 beta-hydroxyrus-12,19(29)-dien-28-oic acid (1) and 3 beta-hydroxyrus-18,20(30)-dien-28-oic acid (2) by spectroscopic analysis and by comparison with the data for the structurally related compound ursolic acid (4). Also isolated as a DNA polymerase beta inhibitor was oleanolic acid (3). Compounds 1-4 had IC50 values of 5.3-8.5 microM as inhibitors of polymerase beta in the presence of bovine serum albumin (BSA) and 2.5-4.8 microM in the absence of BSA.",,,,,,,['CA50771/CA/NCI NIH HHS/United States'],,,,,,,,,
10654348,NLM,MEDLINE,20000210,20191024,0301-634X (Print) 0301-634X (Linking),38,4,1999 Dec,Relative risks of radiation-associated cancer: comparison of second cancer in therapeutically irradiated populations with the Japanese atomic bomb survivors.,267-83,"['Little, M P', 'Muirhead, C R', 'Haylock, R G', 'Thomas, J M']","['Little MP', 'Muirhead CR', 'Haylock RG', 'Thomas JM']","['National Radiological Protection Board, Chilton, Didcot, Oxon, UK. mark.little@nrpb.org.uk']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",Germany,Radiat Environ Biophys,Radiation and environmental biophysics,0415677,,IM,"['Female', 'Humans', 'Japan', 'Male', 'Neoplasms, Radiation-Induced/*etiology', 'Neoplasms, Second Primary/*etiology', '*Nuclear Warfare', 'Radiotherapy/*adverse effects', 'Risk']",2000/02/02 00:00,2000/02/02 00:01,['2000/02/02 00:00'],"['2000/02/02 00:00 [pubmed]', '2000/02/02 00:01 [medline]', '2000/02/02 00:00 [entrez]']",['10.1007/s004110050167 [doi]'],ppublish,Radiat Environ Biophys. 1999 Dec;38(4):267-83. doi: 10.1007/s004110050167.,"In this paper the radiation-associated relative risks of second primary cancer incidence in groups treated for first primary cancer by radiotherapy are compared with radiation-associated relative risk estimates in the Japanese atomic bomb survivor cancer incidence data. For four cancer sites, namely lung cancer, bone cancer, ovarian cancer and leukaemia, the relative risks in the comparable (age at exposure, time since exposure, sex matched) subsets of the Japanese data are significantly greater than those in the majority of second cancer studies. Even when the differences between the relative risks in the Japanese atomic bomb survivors and the medical series do not approach conventional levels of statistical significance, relative risks tend to be higher in the Japanese data than in the second cancer studies. At least for leukaemia, the discrepancy between the Japanese and second cancer risks can be largely explained by cell-sterilisation effects. There are few indications of modification of radiation-associated second cancer relative risk among those treated with adjuvant chemotherapy, nor are there strong indications of modification of radiation-associated relative risk by heritable genetic factors. If anything, there is evidence that second cancer relative excess risks are lower among those patients with cancer-prone disorders than among non-susceptible patients. However, the higher underlying cancer risk in some of these medically exposed populations should also be considered, in particular for those with cancer-prone conditions, so that the absolute excess risk is sometimes higher than in the Japanese data.",,,,,,,,,,,,,,,,
10654323,NLM,MEDLINE,20000217,20190905,0931-041X (Print) 0931-041X (Linking),14,1,2000 Jan,Concurrent centrifugation plasmapheresis and continuous venovenous hemodiafiltration.,18-21,"['Yorgin, P D', 'Eklund, D K', 'al-Uzri, A', 'Whitesell, L', 'Theodorou, A A']","['Yorgin PD', 'Eklund DK', 'al-Uzri A', 'Whitesell L', 'Theodorou AA']","[""Department of Pediatrics, University of Arizona, Steele Memorial Children's Research Center, Tucson 85724, USA. pyorgin@peds.arizona.edu""]",['eng'],"['Case Reports', 'Journal Article']",Germany,Pediatr Nephrol,"Pediatric nephrology (Berlin, Germany)",8708728,['2968PHW8QP (Citric Acid)'],IM,"['Adolescent', 'Citric Acid/blood', 'Female', 'Hemodiafiltration/instrumentation/*methods', 'Humans', 'Kidney Function Tests', 'Leukemia, Biphenotypic, Acute/complications', 'Plasma Volume', 'Plasmapheresis/instrumentation/*methods', 'Water-Electrolyte Imbalance/complications/therapy']",2000/02/02 09:00,2000/02/19 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/02/02 09:00 [entrez]']",['10.1007/s004670050004 [doi]'],ppublish,Pediatr Nephrol. 2000 Jan;14(1):18-21. doi: 10.1007/s004670050004.,"Continuous venovenous hemofiltration/hemodiafiltration (CVVH/D) is commonly used to provide renal replacement therapy for critically ill patients who are hemodynamically unstable. Occasionally, the addition of plasmapheresis therapy is necessary for some conditions, including immune-mediated acute renal failure, sepsis, fulminant hepatic failure, and thrombotic thrombocytopenic purpura/hemolytic uremic syndrome. Most tertiary care facilities provide centrifugation plasmapheresis instead of membrane plasmapheresis, because of the requirement for both therapeutic plasma exchange and pheresis of cellular blood products. We report a new technique where centrifugation plasmapheresis and CVVHD (P-CVVHD) are combined and used concurrently. Blood from the patient was concurrently filtered utilizing a Hospal BSM 22 machine with a Multiflow 60 hemofilter and a Cobe Spectra continuous cell separator in a parallel configuration. P-CVVHD is technically possible and can be used for long periods of time with limited risks. There may be advantages to P-CVVHD compared with discontinuous combined CVVH/D and plasmapheresis therapy.",,,,,,,,,,,,,,,,
10654081,NLM,MEDLINE,20000314,20190831,0009-5915 (Print) 0009-5915 (Linking),108,7,1999 Dec,"The topological organization of chromosomes 9 and 22 in cell nuclei has a determinative role in the induction of t(9,22) translocations and in the pathogenesis of t(9,22) leukemias.",426-35,"['Kozubek, S', 'Lukasova, E', 'Mareckova, A', 'Skalnikova, M', 'Kozubek, M', 'Bartova, E', 'Kroha, V', 'Krahulcova, E', 'Slotova, J']","['Kozubek S', 'Lukasova E', 'Mareckova A', 'Skalnikova M', 'Kozubek M', 'Bartova E', 'Kroha V', 'Krahulcova E', 'Slotova J']","['Institute of Biophysics, Academy of Sciences, Brno, Czech Republic. kozubek@ibp.cz']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Austria,Chromosoma,Chromosoma,2985138R,"['0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,"['Artificial Gene Fusion', 'Bone Marrow Cells/physiology', 'Cell Line', 'Cell Nucleus/*genetics', 'Chromosome Aberrations', '*Chromosomes, Human, Pair 22/chemistry/ultrastructure', '*Chromosomes, Human, Pair 9/chemistry/ultrastructure', 'Genes, abl', 'Humans', 'Image Processing, Computer-Assisted', 'Leukemia/*genetics', 'Lymphocytes/physiology/radiation effects', 'Male', 'Neutrons', '*Protein-Tyrosine Kinases', 'Proto-Oncogene Proteins/genetics', 'Proto-Oncogene Proteins c-bcr', '*Translocation, Genetic']",2000/02/02 09:00,2000/03/18 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/02 09:00 [entrez]']",['10.1007/s004120050394 [doi]'],ppublish,Chromosoma. 1999 Dec;108(7):426-35. doi: 10.1007/s004120050394.,"The neighborhood relationships of chromosomes can be of great importance for basic cellular processes such as gene expression or translocation induction. In this study, the topological organization of chromosomes 9 and 22 was investigated in cell nuclei of G0-phase lymphocytes. We found that the territories of both chromosomes are predominantly located in the central region of cell nuclei. In addition to this, chromosomes 9 and 22 were frequently associated in pairs detected as false-positive ABL-BCR fusions. Both effects might substantially increase the probability of interaction between chromosomes. Because of this, exchange aberrations were studied in chromosomes 9 and 22 of human lymphocytes irradiated by neutrons. The rate of aberration induction between these chromosomes was 11 times higher than the expected frequency based on the fractional molecular weight of these chromosomes. We show that the increased rate of exchange between chromosomes 9 and 22 induced by neutrons corresponds to the neighborhood relationships of both chromosomes. Similar topological characteristics of ABL and BCR genes were found in several cell lines: T- and B-lymphocytes. HL60 cells and bone marrow cells. This finding suggests that the specific chromatin structure mentioned might be responsible for the high rate of induction of t(9;22)-positive leukemias in the human population.",,,,,,,,,,,,,,,,
10654028,NLM,MEDLINE,20000322,20071115,0268-3369 (Print) 0268-3369 (Linking),25,1,2000 Jan,First report of Epstein-Barr virus lymphoproliferative disease after cord blood transplantation.,120-1,"['Sirvent, N', 'Reviron, D', 'de Lamballerie, X', 'Michel, G']","['Sirvent N', 'Reviron D', 'de Lamballerie X', 'Michel G']",,['eng'],"['Case Reports', 'Letter']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,IM,"['Child, Preschool', 'Epstein-Barr Virus Infections/*etiology', 'Fatal Outcome', 'Female', '*Fetal Blood', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Herpesvirus 4, Human/*isolation & purification', 'Humans', 'Lymphoproliferative Disorders/*etiology/*virology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy']",2000/02/02 09:00,2000/03/25 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/03/25 09:00 [medline]', '2000/02/02 09:00 [entrez]']",['10.1038/sj.bmt.1702079 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jan;25(1):120-1. doi: 10.1038/sj.bmt.1702079.,,,,,,,,,,,,,,,,,
10654023,NLM,MEDLINE,20000322,20211203,0268-3369 (Print) 0268-3369 (Linking),25,1,2000 Jan,"Fulminant hepatitis B following bone marrow transplantation in an HBsAg-negative, HBsAb-positive recipient; reactivation of dormant virus during the immunosuppressive period.",105-8,"['Iwai, K', 'Tashima, M', 'Itoh, M', 'Okazaki, T', 'Yamamoto, K', 'Ohno, H', 'Marusawa, H', 'Ueda, Y', 'Nakamura, T', 'Chiba, T', 'Uchiyama, T']","['Iwai K', 'Tashima M', 'Itoh M', 'Okazaki T', 'Yamamoto K', 'Ohno H', 'Marusawa H', 'Ueda Y', 'Nakamura T', 'Chiba T', 'Uchiyama T']","['Department of Hematology and Oncology, Clinical Sciences for Pathological Organs, Graduate School of Medicine, Kyoto University, Kyoto, Japan.']",['eng'],"['Case Reports', 'Journal Article']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Hepatitis B Antibodies)', '0 (Hepatitis B Antigens)']",IM,"['Bone Marrow Transplantation/*adverse effects', 'Fatal Outcome', 'Hepatitis B/blood/*etiology/immunology/physiopathology', 'Hepatitis B Antibodies/blood/immunology', 'Hepatitis B Antigens/blood/immunology', 'Hepatitis B virus/*isolation & purification', 'Humans', 'Immunosuppression Therapy/adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Male', 'Middle Aged', 'Transplantation, Homologous']",2000/02/02 09:00,2000/03/25 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/03/25 09:00 [medline]', '2000/02/02 09:00 [entrez]']",['10.1038/sj.bmt.1702093 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jan;25(1):105-8. doi: 10.1038/sj.bmt.1702093.,"It is widely accepted that seroconversion of HBsAg to HBsAb indicates clearance of hepatitis B virus. We describe a 50-year-old man with chronic myelocytic leukemia who developed lethal hepatitis B 22 months after allo-BMT. He had been negative for HBsAg and positive for HBsAb before BMT. Hepatitis B virus latently existing in the liver cells before BMT proliferated during the immunosuppressed period causing fatal hepatitis. Recipients with positive HBsAb should be considered to have the potential for active hepatitis B to emerge after BMT. Bone Marrow Transplantation (2000) 25, 105-108.",,,,,,,,,,,,,,,,
10654022,NLM,MEDLINE,20000322,20151119,0268-3369 (Print) 0268-3369 (Linking),25,1,2000 Jan,Purging in BCR-ABL-positive acute lymphoblastic leukemia using immunomagnetic beads: comparison of residual leukemia and purging efficiency in bone marrow vs peripheral blood stem cells by semiquantitative polymerase chain reaction.,97-104,"['Atta, J', 'Fauth, F', 'Keyser, M', 'Petershofen, E', 'Weber, C', 'Lippok, G', 'Hoelzer, D', 'Martin, H']","['Atta J', 'Fauth F', 'Keyser M', 'Petershofen E', 'Weber C', 'Lippok G', 'Hoelzer D', 'Martin H']","['Department of Hematology and Oncology, Johann Wolfgang Goethe-University, Frankfurt/Main, Germany.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Biomarkers, Tumor)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adolescent', 'Adult', 'Biomarkers, Tumor', 'Bone Marrow Purging/*methods', '*Bone Marrow Transplantation', 'Child, Preschool', 'Female', 'Fusion Proteins, bcr-abl/*analysis/genetics', 'Hematopoietic Stem Cell Mobilization/*methods', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunomagnetic Separation', 'Male', 'Middle Aged', 'Neoplasm, Residual/diagnosis/genetics', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/*pathology/*therapy', 'Transplantation, Autologous']",2000/02/02 09:00,2000/03/25 09:00,['2000/02/02 09:00'],"['2000/02/02 09:00 [pubmed]', '2000/03/25 09:00 [medline]', '2000/02/02 09:00 [entrez]']",['10.1038/sj.bmt.1702096 [doi]'],ppublish,Bone Marrow Transplant. 2000 Jan;25(1):97-104. doi: 10.1038/sj.bmt.1702096.,"Twenty autologous bone marrow (BM) and 25 peripheral blood stem cell (PBSC) grafts were collected from a total of 40 consecutive patients with BCR-ABL+ acute lymphoblastic leukemia (ALL) in first (n = 37) or second (n = 3) complete morphological remission and subsequently purged with a cocktail of anti-CD19, -CD10, AB4 MoAbs and immunomagnetic beads (IMB). Residual BCR-ABL-positive cells before purging were detected in 19 of 20 BM grafts at a median of 4 (range 0-6) logs and in 17 of 25 evaluable PBSC grafts at a median of 1 (range 0-3) log above the limit of detection assessed by a semiquantitative limiting log10-dilution RT-PCR (P < 0.0001). IMB purging depleted a median of 2.5 (range 1-4) log of residual BCR-ABL+ cells from BM and a median of 1 (range 0-2) log from PBSC grafts, achieving RT-PCR negativity in 1/20 BM and 12/25 PBSC grafts after purging. Cell recoveries were 62% and 86% (P < 0.0001) of MNC and 74% and 97% (P = 0.065) of CD34+ cells after BM and PBSC purging, respectively. BM purging was superior using the triple MoAb cocktail which depleted 2.64 +/- 0.4 log (n = 14) compared to 1.6 +/- 0.4 log (n = 5) using the MoAb cocktail not including AB4 (P = 0. 02). We conclude that unpurged BM grafts contain 2-3 log more residual BCR-ABL+ cells than unpurged PBSC grafts and that purging efficacy is superior in BM compared to PBSC grafts, but median titers in purged BM grafts still exceed those in purged PBSC grafts. Bone Marrow Transplantation (2000) 25, 97-104.",,,,,,,,,,,,,,,,
