PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,RF,IP,PMC,AB
14081509,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,LEUKEMIC NEOPLASIA IN THE DOG.,633-41,"['SMITH, H A']",['SMITH HA'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', '*Dog Diseases', 'Dogs', '*Hodgkin Disease', '*Leukemia', '*Leukemia, Myeloid', '*Lymphoma', '*Multiple Myeloma', '*Neoplasms', '*Plasmacytoma']",['NLM'],"['*DOG DISEASES', ""*HODGKIN'S DISEASE"", '*LEUKEMIA, MYELOCYTIC', '*LYMPHOMA', '*MULTIPLE MYELOMA', '*PLASMACYTOMA']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:633-41. doi: 10.1111/j.1749-6632.1963.tb13413.x.,['10.1111/j.1749-6632.1963.tb13413.x [doi]'],,,,,
14081507,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,BLOOD ENZYMES IN BOVINE LYMPHOSARCOMA.,1313-20,"['FREEDLAND, R A', 'THEIS, J H', 'CORNELIUS, C E']","['FREEDLAND RA', 'THEIS JH', 'CORNELIUS CE']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,"['EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 1.1.1.49 (Glucosephosphate Dehydrogenase)', 'EC 2.6.1.1 (Aspartate Aminotransferases)']",OM,"['Animals', '*Aspartate Aminotransferases', 'Cattle', '*Cattle Diseases', '*Clinical Enzyme Tests', '*Enzootic Bovine Leukosis', '*Glucosephosphate Dehydrogenase', '*L-Lactate Dehydrogenase', '*Lymphoma', '*Lymphoma, Non-Hodgkin']",['NLM'],"['*ASPARTATE AMINOTRANSFERASE', '*CATTLE DISEASES', '*ENZYME TESTS', '*GLUCOSEPHOSPHATE DEHYDROGENASE', '*LACTATE DEHYDROGENASE', '*LYMPHOSARCOMA']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1313-20. doi: 10.1111/j.1749-6632.1963.tb13453.x.,['10.1111/j.1749-6632.1963.tb13453.x [doi]'],,,,,
14081504,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,HEMATOLOGIC ASPECTS OF BOVINE LYMPHOSARCOMA.,1270-83,"['WEBER, W T']",['WEBER WT'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['*Anemia', 'Animals', '*Blood Cells', '*Bone Marrow', 'Cattle', '*Cattle Diseases', '*Cell Biology', '*Enzootic Bovine Leukosis', '*Lymphocytes', '*Lymphoma', '*Lymphoma, Non-Hodgkin']",['NLM'],"['*ANEMIA', '*BLOOD CELLS', '*BONE MARROW', '*CATTLE DISEASES', '*CYTOLOGY', '*LYMPHOCYTES', '*LYMPHOSARCOMA']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1270-83. doi: 10.1111/j.1749-6632.1963.tb13450.x.,['10.1111/j.1749-6632.1963.tb13450.x [doi]'],,,,,
14081503,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,PREVENTIVE MEASURES IN CATTLE LEUKEMIA: LEUKOSIS ENZOOTICA BOVIS.,1241-67,"['BENDIXEN, H J']",['BENDIXEN HJ'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', 'Denmark', '*Epidemiology', '*Leukemia']",['NLM'],"['*CATTLE DISEASES', '*DENMARK', '*EPIDEMIOLOGY', '*LEUKEMIA']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1241-67. doi: 10.1111/j.1749-6632.1963.tb13448.x.,['10.1111/j.1749-6632.1963.tb13448.x [doi]'],,,,,
14081502,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,ELECTRON MICROSCOPIC OBSERVATIONS OF BOVINE LYMPHOSARCOMA.,1231-40,"['SORENSON, G D', 'THEILEN, G H']","['SORENSON GD', 'THEILEN GH']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', '*Electrons', '*Enzootic Bovine Leukosis', '*Lymphoma', '*Lymphoma, Non-Hodgkin', '*Microscopy', '*Microscopy, Electron']",['NLM'],"['*CATTLE DISEASES', '*LYMPHOSARCOMA', '*MICROSCOPY, ELECTRON']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1231-40. doi: 10.1111/j.1749-6632.1963.tb13447.x.,['10.1111/j.1749-6632.1963.tb13447.x [doi]'],,,,,
14081501,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,A PRELIMINARY STUDY ON TISSUE CULTURES OF BOVINE LYMPHOSARCOMA.,1214-30,"['HATZIOLOS, B C', 'CHANG, S C']","['HATZIOLOS BC', 'CHANG SC']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', '*Enzootic Bovine Leukosis', '*Leukemia', '*Leukemia, Experimental', '*Lymphoma', '*Lymphoma, Non-Hodgkin', 'Mice', '*Oncogenic Viruses', '*Research', '*Tissue Culture Techniques']",['NLM'],"['*CATTLE DISEASES', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*LYMPHOSARCOMA', '*MICE', '*ONCOGENIC VIRUSES', '*TISSUE CULTURE']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1214-30. doi: 10.1111/j.1749-6632.1963.tb13446.x.,['10.1111/j.1749-6632.1963.tb13446.x [doi]'],,,,,
14081499,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,PEDIGREE STUDIES IN BOVINE LYMPHOSARCOMA.,1193-202,"['CROSHAW, J E Jr', 'ABT, D A', 'MARSHAK, R R', 'HARE, W C', 'SWITZER, J', 'IPSEN, J', 'DUTCHER, R M']","['CROSHAW JE Jr', 'ABT DA', 'MARSHAK RR', 'HARE WC', 'SWITZER J', 'IPSEN J', 'DUTCHER RM']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', '*Enzootic Bovine Leukosis', '*Genetics', '*Lymphoma', '*Lymphoma, Non-Hodgkin', '*Neoplasms', '*Pedigree']",['NLM'],"['*CATTLE DISEASES', '*GENETICS', '*LYMPHOSARCOMA', '*NEOPLASMS']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1193-202. doi: 10.1111/j.1749-6632.1963.tb13444.x.,['10.1111/j.1749-6632.1963.tb13444.x [doi]'],,,,,
14081498,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,RESEARCHES ON A VIRUS ISOLATED FROM A CALF AFFECTED WITH LYMPHATIC LEUKEMIA.,1173-92,"['PAPPARELLA, V', 'CALI, A', 'ROSSI, G B', 'IACOBELLI, A']","['PAPPARELLA V', 'CALI A', 'ROSSI GB', 'IACOBELLI A']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', '*Leukemia', '*Leukemia, Lymphoid', 'Mice', '*Neoplasms', '*Neoplasms, Experimental', '*Oncogenic Viruses', '*Research']",['NLM'],"['*CATTLE', '*CATTLE DISEASES', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, LYMPHOCYTIC', '*MICE', '*NEOPLASMS, EXPERIMENTAL', '*ONCOGENIC VIRUSES']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1173-92. doi: 10.1111/j.1749-6632.1963.tb13443.x.,['10.1111/j.1749-6632.1963.tb13443.x [doi]'],,,,,
14081497,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,POSSIBLE VIRAL ETIOLOGY OF BOVINE AND EQUINE LEUKEMIA.,1163-72,"['MCKERCHER, D G', 'WADA, E M', 'STRAUB, O C', 'THEILEN, G H']","['MCKERCHER DG', 'WADA EM', 'STRAUB OC', 'THEILEN GH']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', '*Horse Diseases', 'Horses', '*Leukemia', '*Oncogenic Viruses']",['NLM'],"['*CATTLE DISEASES', '*HORSE DISEASES', '*LEUKEMIA', '*ONCOGENIC VIRUSES']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1163-72. doi: 10.1111/j.1749-6632.1963.tb13442.x.,['10.1111/j.1749-6632.1963.tb13442.x [doi]'],,,,,
14081496,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,ETIOLOGICAL STUDIES ON BOVINE LYMPHOSARCOMA.,1149-62,"['DUTCHER, R M', 'SZEKELY, I', 'LARKIN, E P', 'CORIELL, L L', 'MARSHAK, R R']","['DUTCHER RM', 'SZEKELY I', 'LARKIN EP', 'CORIELL LL', 'MARSHAK RR']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', 'Cattle', '*Cattle Diseases', '*Enzootic Bovine Leukosis', '*Lymphoma', '*Lymphoma, Non-Hodgkin', 'Neoplasms/*etiology']",['NLM'],"['*CATTLE DISEASES', '*LYMPHOSARCOMA', '*NEOPLASM ETIOLOGY']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1149-62. doi: 10.1111/j.1749-6632.1963.tb13441.x.,['10.1111/j.1749-6632.1963.tb13441.x [doi]'],,,,,
14081493,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,TRANSMISSIBLE CANINE MASTOCYTOMA.,1086-105,"['LOMBARD, L S', 'MOLONEY, J B', 'RICKARD, C G']","['LOMBARD LS', 'MOLONEY JB', 'RICKARD CG']",['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', '*Dog Diseases', 'Dogs', '*Genetics', '*Leukemia', '*Leukemia, Experimental', '*Mast Cells', '*Mastocytoma', '*Neoplasms', '*Neoplasms, Experimental', '*Research', '*Skin Neoplasms']",['NLM'],"['*DOG DISEASES', '*DOGS', '*EXPERIMENTAL LAB STUDY', '*GENETICS', '*LEUKEMIA, EXPERIMENTAL', '*MAST CELLS', '*NEOPLASMS', '*NEOPLASMS, EXPERIMENTAL']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:1086-105. doi: 10.1111/j.1749-6632.1963.tb13437.x.,['10.1111/j.1749-6632.1963.tb13437.x [doi]'],,,,,
