PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,MID,OID,RF,CIN,CI,CON,SI,TT,OTO,OT,CN,EIN,IR,FIR,PS,FPS
19754000,NLM,MEDLINE,20091222,20210129,1211-4286 (Print) 1211-4286 (Linking),52,1,2009,Biological prognostic markers in chronic lymphocytic leukemia.,3-8,,"Chronic lymphocytic leukemia (CLL) is the most frequent leukemic disease of adults in the Western world. It is remarkable by an extraordinary heterogeneity of clinical course with overall survival ranging from several months to more than 15 years. Classical staging sytems by Rai and Binet, while readily available and useful for initial assessment of prognosis, are not able to determine individual patient's ongoing clinical course of CLL at the time of diagnosis, especially in early stages. Therefore, newer biological prognostic parameters are currently being clinically evaluated. Mutational status of variable region of immunoglobulin heavy chain genes (IgVH), cytogenetic aberrations, and both intracellular ZAP-70 and surface CD38 expression are recognized as parameters with established prognostic value. Molecules regulating the process of angiogenesis are also considered as promising markers. The purpose of this review is to summarize in detail the specific role of these prognostic factors in chronic lymphocytic leukemia.","['Vroblova, Vladimira', 'Smolej, Lukas', 'Vrbacky, Filip', 'Jankovicova, Karolina', 'Hrudkova, Monika', 'Maly, Jaroslav', 'Krejsek, Jan']","['Vroblova V', 'Smolej L', 'Vrbacky F', 'Jankovicova K', 'Hrudkova M', 'Maly J', 'Krejsek J']","['Charles University in Prague, Faculty of Medicine and University Hospital Hradec Kralove, Czech Republic, Institute of Clinical Immunology and Allergology. vroblvla@fnhk.cz']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,Czech Republic,Acta Medica (Hradec Kralove),Acta medica (Hradec Kralove),9705947,"['0 (Membrane Glycoproteins)', '0 (Nuclear Proteins)', '0 (RNA-Binding Proteins)', '0 (Repressor Proteins)', '0 (YLPM1 protein, human)', 'EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase 1/metabolism', 'Chromosome Deletion', 'Genes, Immunoglobulin Heavy Chain/genetics', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*genetics/*metabolism/physiopathology', 'Membrane Glycoproteins/metabolism', 'Neovascularization, Pathologic', 'Nuclear Proteins/metabolism', 'Phosphotransferases (Alcohol Group Acceptor)/metabolism', 'Prognosis', 'RNA-Binding Proteins', 'Repressor Proteins']",2009/09/17 06:00,2009/12/23 06:00,['2009/09/17 06:00'],"['2009/09/17 06:00 [entrez]', '2009/09/17 06:00 [pubmed]', '2009/12/23 06:00 [medline]']",['10.14712/18059694.2016.99 [doi]'],ppublish,Acta Medica (Hradec Kralove). 2009;52(1):3-8. doi: 10.14712/18059694.2016.99.,,,,65,,,,,,,,,,,,,
19753502,NLM,MEDLINE,20100825,20100524,1478-6427 (Electronic) 1478-6419 (Linking),24,10,2010 Jun,A new cytotoxic iridoid from Callicarpa nudiflora.,899-904,10.1080/14786410802267544 [doi],"A new iridoid, named nudifloside (1), together with three known compounds, was isolated from the EtOH extract of the aerial parts of Callicarpa nudiflora Hook. The structures were elucidated by a study of their physical and spectral data. Nudifloside (1) and the isolated known compound linearoside (2) displayed inhibitory effects towards chronic myelogenous leukaemia K562 cell line, with IC(50) values of 20.7 and 36.0 microg mL(-1), respectively.","['Mei, Wen-Li', 'Han, Zhuang', 'Cui, Hai-Bin', 'Zhao, You-Xing', 'Deng, Yuan-Yuan', 'Dai, Hao-Fu']","['Mei WL', 'Han Z', 'Cui HB', 'Zhao YX', 'Deng YY', 'Dai HF']","['Institute of Tropical Bioscience and Biotechnology, Chinese Academy of Tropical Agricultural Sciences, Haikou, 571101, Hainan, PR China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Nat Prod Res,Natural product research,101167924,"['0 (Iridoids)', '0 (Plant Extracts)']",IM,"['Callicarpa/*chemistry', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Humans', 'Inhibitory Concentration 50', 'Iridoids/*chemistry/*pharmacology', 'Magnetic Resonance Spectroscopy', 'Molecular Structure', 'Plant Components, Aerial/*chemistry', 'Plant Extracts/*chemistry/*pharmacology']",2009/09/16 06:00,2010/08/26 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2010/08/26 06:00 [medline]']","['914864383 [pii]', '10.1080/14786410802267544 [doi]']",ppublish,Nat Prod Res. 2010 Jun;24(10):899-904. doi: 10.1080/14786410802267544.,,,,,,,,,,,,,,,,,
19753378,NLM,MEDLINE,20091221,20131121,1364-548X (Electronic) 1359-7345 (Linking),,37,2009 Oct 7,A dicopper complex chemiluminescence probe for the determination of thiols in the extracts of murine P388 lymphocytic leukemia cell.,5624-6,10.1039/b907844d [doi],A chemiluminescence (CL) probe of peroxidase-like dicopper complex (Cu2L2) for the determination of glutathione (GSH) and related cellular thiols was developed for the first time.,"['Zhang, Xiaoru', 'Zhou, Huanran', 'Ding, Caifeng', 'Zhang, Shusheng']","['Zhang X', 'Zhou H', 'Ding C', 'Zhang S']","['Key Laboratory of Eco-chemical Engineering, Ministry of Education, College of Chemistry and Molecular Engineering, Qingdao University of Science and Technology, Qingdao 266042, Shandong, P. R. China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090818,England,Chem Commun (Camb),"Chemical communications (Cambridge, England)",9610838,"['0 (Organometallic Compounds)', '0 (Proteins)', '0 (Sulfhydryl Compounds)', '5EXP385Q4F (Luminol)', '789U1901C5 (Copper)']",IM,"['Animals', 'Copper/*chemistry', 'Leukemia P388', 'Luminescent Measurements/*methods', 'Luminol/chemistry', 'Mice', 'Organometallic Compounds/*chemistry', 'Proteins/chemistry', 'Sulfhydryl Compounds/*analysis', 'Tumor Cells, Cultured']",2009/09/16 06:00,2009/12/22 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2009/12/22 06:00 [medline]']",['10.1039/b907844d [doi]'],ppublish,Chem Commun (Camb). 2009 Oct 7;(37):5624-6. doi: 10.1039/b907844d. Epub 2009 Aug 18.,,,,,,,,,,,,,,,,,
19752794,NLM,MEDLINE,20091027,20190923,0221-0363 (Print) 0221-0363 (Linking),90,7-8 Pt 1,2009 Jul-Aug,[Answer to june e-quid. Imaging features of meningioma in a patient with underlying myeloproliferative disorder: consider chloroma].,849-51,,,"['Thiriat, S', 'Kremer, S', 'Zollner, G', 'Dietemann, J L']","['Thiriat S', 'Kremer S', 'Zollner G', 'Dietemann JL']","['Service de radiologie 1, Hopital de Hautepierre, Strasbourg. sebastienthiriat@voila.fr']",['fre'],,"['Case Reports', 'Comparative Study', 'Journal Article']",,France,J Radiol,Journal de radiologie,7906266,,IM,"['Adult', 'Diagnosis, Differential', 'Dura Mater', 'Follow-Up Studies', 'Humans', '*Magnetic Resonance Imaging', 'Male', 'Meningeal Neoplasms/*diagnosis/drug therapy', 'Meningioma/diagnosis', 'Sarcoma, Myeloid/*diagnosis/drug therapy', 'Time Factors', 'Treatment Outcome']",2009/09/16 06:00,2009/10/29 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2009/10/29 06:00 [medline]']","['S0221-0363(09)73220-2 [pii]', '10.1016/s0221-0363(09)73220-2 [doi]']",ppublish,J Radiol. 2009 Jul-Aug;90(7-8 Pt 1):849-51. doi: 10.1016/s0221-0363(09)73220-2.,,,,,,,,,Reponse du e-quid de juin. Un aspect de meningiome dans le cadre d'une hemopathie: penser au chlorome.,,,,,,,,
19752749,NLM,MEDLINE,20100623,20211020,1537-4513 (Electronic) 1524-9557 (Linking),32,8,2009 Oct,Development of an Escherichia coli expressing listeriolysin-O vaccine against Wilms tumor gene 1-expressing tumors.,845-55,10.1097/CJI.0b013e3181aee259 [doi],"Through their ability to induce cytotoxic T-lymphocytes and inhibit Foxp3 T-regulatory cells, Escherichia coli expressing listeriolysin-O (LLO) and a model tumor antigen have been shown to exert strong antitumor activity. The aim of this study is to extend these observations to a self-protein and clinically relevant tumor antigen associated with most types of adult leukemia: Wilms tumor gene 1 (WT1). We demonstrate that an E. coli coexpressing LLO and WT1 is capable of inducing a strong antitumor effect against WT1-expressing tumors in vivo through its ability to induce cytotoxic T-lymphocytes and inhibit the function of Foxp3 T-regulatory cells. Furthermore, we have characterized the immunodominant epitope involved in this effect (NAPYLPSCL) and demonstrated that coinjection of NAPYLPSCL with E. coli-LLO resulted in an antitumor effect largely equivalent to that obtained with E. coli-LLO/WT1. Our data demonstrate that the results obtained with a clinically irrelevant model tumor antigen remain valid with a ""real"" tumor antigen and that the adjuvant properties of the E. coli-LLO vaccine can be exploited in conjunction with peptides. The results obtained in this study will facilitate the translation of this work to human studies by combining antigenic motifs relevant to specific human leukocyte antigen haplotypes with the adjuvant effect of E. coli-LLO.","['Dai, Ming-Shen', 'Nitcheu-Tefit, Josianne', 'Alcock, Sally', 'Ramirez-Jimenez, Francisco', 'Chao, Tsu-Yi', 'Baril, Patrick', 'Rocha, Marian', 'Brett, Sara J', 'Stauss, Hans J', 'Vassaux, Georges']","['Dai MS', 'Nitcheu-Tefit J', 'Alcock S', 'Ramirez-Jimenez F', 'Chao TY', 'Baril P', 'Rocha M', 'Brett SJ', 'Stauss HJ', 'Vassaux G']","[""Centre for Molecular Oncology, Institute of Cancer, Queen Mary's School of Medicine, London, UK.""]",['eng'],"['G0700149/MRC_/Medical Research Council/United Kingdom', 'G0900950/MRC_/Medical Research Council/United Kingdom', 'G9721629/MRC_/Medical Research Council/United Kingdom', 'CRUK_/Cancer Research UK/United Kingdom']","['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Immunother,"Journal of immunotherapy (Hagerstown, Md. : 1997)",9706083,"['0 (Adjuvants, Immunologic)', '0 (Bacterial Toxins)', '0 (Cancer Vaccines)', '0 (Heat-Shock Proteins)', '0 (Hemolysin Proteins)', '0 (Immunodominant Epitopes)', '0 (Immunoglobulins)', '0 (Peptide Fragments)', '0 (WT1 Proteins)', 'R06ZRQ1YX9 (hlyA protein, Listeria monocytogenes)']",IM,"['Adjuvants, Immunologic/genetics/*metabolism', 'Adult', 'Animals', 'Bacterial Toxins/genetics/immunology/*metabolism', '*Cancer Vaccines', 'Cell Line, Tumor', 'Escherichia coli/genetics/*immunology', 'Heat-Shock Proteins/genetics/immunology/*metabolism', 'Hemolysin Proteins/genetics/immunology/*metabolism', 'Humans', 'Immunization', 'Immunodominant Epitopes/genetics/immunology/metabolism', 'Immunoglobulins/blood', 'Leukemia/*immunology/pathology/therapy', 'Lymphocyte Activation', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Peptide Fragments/genetics/immunology/metabolism', 'Protein Engineering', 'T-Lymphocytes, Cytotoxic/immunology', 'WT1 Proteins/genetics/immunology/*metabolism']",2009/09/16 06:00,2010/06/24 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2010/06/24 06:00 [medline]']",['10.1097/CJI.0b013e3181aee259 [doi]'],ppublish,J Immunother. 2009 Oct;32(8):845-55. doi: 10.1097/CJI.0b013e3181aee259.,,,,,,,,,,,,,,,,,
19752345,NLM,MEDLINE,20091130,20211203,1527-7755 (Electronic) 0732-183X (Linking),27,30,2009 Oct 20,"ERG expression is an independent prognostic factor and allows refined risk stratification in cytogenetically normal acute myeloid leukemia: a comprehensive analysis of ERG, MN1, and BAALC transcript levels using oligonucleotide microarrays.",5031-8,10.1200/JCO.2008.20.5328 [doi],"PURPOSE: Recently, several novel molecular prognostic markers were identified in cytogenetically normal acute myeloid leukemia (CN-AML). In addition to the well-known influence of FLT3, NPM1, and CEBPA mutations, high transcript levels of the ERG, BAALC, and MN1 genes have been associated with inferior outcomes, but the relative importance of these risk markers remains to be defined. PATIENTS AND METHODS: We analyzed ERG, BAALC, and MN1 expression levels in a cohort of 210 patients with CN-AML who received intensive chemotherapy. Expression levels of ERG, BAALC, and MN1 were determined in bone marrow samples by using oligonucleotide microarrays. RESULTS: High transcript levels of ERG, BAALC, and MN1 were predictors for inferior overall survival (OS) and a lower rate of complete remissions (CRs). There were significant positive correlations between the expression levels of all three genes. ERG expression levels predicted OS in elderly patients (ie, age 60 years or older) with CN-AML (P = .006) as well as in younger patients (P = .013). In multivariate analyses, high ERG expression was independently associated with a lower CR rate (P = .013), shorter event-free survival (P = .008), and shorter OS (P = .005). Patients who had low ERG levels and absent FLT3 internal tandem duplication (ITD) had a 5-year OS of 44%, and patients who had high ERG expression and FLT3 ITD had a 5-year OS of only 5%. CONCLUSION: We analyzed a comprehensive set of molecular risk factors in a large, homogeneous CN-AML patient cohort. In this study, high ERG expression levels emerged as a strong negative prognostic factor and provided prognostic information in addition to established molecular markers.","['Metzeler, Klaus H', 'Dufour, Annika', 'Benthaus, Tobias', 'Hummel, Manuela', 'Sauerland, Maria-Cristina', 'Heinecke, Achim', 'Berdel, Wolfgang E', 'Buchner, Thomas', 'Wormann, Bernhard', 'Mansmann, Ulrich', 'Braess, Jan', 'Spiekermann, Karsten', 'Hiddemann, Wolfgang', 'Buske, Christian', 'Bohlander, Stefan K']","['Metzeler KH', 'Dufour A', 'Benthaus T', 'Hummel M', 'Sauerland MC', 'Heinecke A', 'Berdel WE', 'Buchner T', 'Wormann B', 'Mansmann U', 'Braess J', 'Spiekermann K', 'Hiddemann W', 'Buske C', 'Bohlander SK']","['Department of Internal Medicine III, Institute for Medical Informatics, Biometry, and Epidemiology, University Hospital Grosshadern, Ludwig-Maximilians Universitat, Munchen, Germany.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090914,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (BAALC protein, human)', '0 (ERG protein, human)', '0 (MN1 protein, human)', '0 (NPM1 protein, human)', '0 (Neoplasm Proteins)', '0 (Trans-Activators)', '0 (Transcriptional Regulator ERG)', '0 (Tumor Suppressor Proteins)', '117896-08-9 (Nucleophosmin)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Cohort Studies', 'Female', 'Gene Expression Profiling', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*genetics', 'Male', 'Middle Aged', 'Neoplasm Proteins/genetics', 'Nucleophosmin', 'Oligonucleotide Array Sequence Analysis', 'Prognosis', 'Risk Assessment', 'Risk Factors', 'Survival Analysis', 'Trans-Activators/*genetics', 'Transcription, Genetic', 'Transcriptional Regulator ERG', 'Tumor Suppressor Proteins/genetics', 'Young Adult']",2009/09/16 06:00,2009/12/16 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2009/12/16 06:00 [medline]']","['JCO.2008.20.5328 [pii]', '10.1200/JCO.2008.20.5328 [doi]']",ppublish,J Clin Oncol. 2009 Oct 20;27(30):5031-8. doi: 10.1200/JCO.2008.20.5328. Epub 2009 Sep 14.,,,,,,,,,,,,,,,,,
19752335,NLM,MEDLINE,20091117,20151119,1527-7755 (Electronic) 0732-183X (Linking),27,31,2009 Nov 1,Real-time quantitative polymerase chain reaction detection of minimal residual disease by standardized WT1 assay to enhance risk stratification in acute myeloid leukemia: a European LeukemiaNet study.,5195-201,10.1200/JCO.2009.22.4865 [doi],"PURPOSE: Risk stratification in acute myeloid leukemia (AML) is currently based on pretreatment characteristics. It remains to be established whether relapse risk can be better predicted through assessment of minimal residual disease (MRD). One proposed marker is the Wilms tumor gene WT1, which is overexpressed in most patients with AML, thus providing a putative target for immunotherapy, although in the absence of a standardized assay, its utility for MRD monitoring remains controversial. PATIENTS AND METHODS: Nine published and in-house real-time quantitative polymerase chain reaction WT1 assays were systematically evaluated within the European LeukemiaNet; the best-performing assay was applied to diagnostic AML samples (n = 620), follow-up samples from 129 patients treated with intensive combination chemotherapy, and 204 normal peripheral blood (PB) and bone marrow (BM) controls. RESULTS: Considering relative levels of expression detected in normal PB and BM, WT1 was sufficiently overexpressed to discriminate > or = 2-log reduction in transcripts in 46% and 13% of AML patients, according to the respective follow-up sample source. In this informative group, greater WT1 transcript reduction after induction predicted reduced relapse risk (hazard ratio, 0.54 per log reduction; 95% CI, 0.36 to 0.83; P = .004) that remained significant when adjusted for age, WBC count, and cytogenetics. Failure to reduce WT1 transcripts below the threshold limits defined in normal controls by the end of consolidation also predicted increased relapse risk (P = .004). CONCLUSION: Application of a standardized WT1 assay provides independent prognostic information in AML, lending support to incorporation of early assessment of MRD to develop more robust risk scores, to enhance risk stratification, and to identify patients who may benefit from allogeneic transplantation.","['Cilloni, Daniela', 'Renneville, Aline', 'Hermitte, Fabienne', 'Hills, Robert K', 'Daly, Sarah', 'Jovanovic, Jelena V', 'Gottardi, Enrico', 'Fava, Milena', 'Schnittger, Susanne', 'Weiss, Tamara', 'Izzo, Barbara', 'Nomdedeu, Josep', 'van der Heijden, Adrian', 'van der Reijden, Bert A', 'Jansen, Joop H', 'van der Velden, Vincent H J', 'Ommen, Hans', 'Preudhomme, Claude', 'Saglio, Giuseppe', 'Grimwade, David']","['Cilloni D', 'Renneville A', 'Hermitte F', 'Hills RK', 'Daly S', 'Jovanovic JV', 'Gottardi E', 'Fava M', 'Schnittger S', 'Weiss T', 'Izzo B', 'Nomdedeu J', 'van der Heijden A', 'van der Reijden BA', 'Jansen JH', 'van der Velden VH', 'Ommen H', 'Preudhomme C', 'Saglio G', 'Grimwade D']","['Department of Clinical and Biological Sciences, University of Turin, Turin.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090914,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,"['0 (Biomarkers, Tumor)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biomarkers, Tumor/*genetics', 'Child', 'Child, Preschool', 'DNA Mutational Analysis', 'Gene Expression/drug effects', '*Genes, Wilms Tumor', 'Humans', 'Leukemia, Myeloid, Acute/diagnosis/drug therapy/*genetics', 'Middle Aged', 'Neoplasm, Residual/*genetics', 'Prognosis', '*Reverse Transcriptase Polymerase Chain Reaction/methods', 'Risk Factors', 'Young Adult']",2009/09/16 06:00,2009/11/18 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2009/11/18 06:00 [medline]']","['JCO.2009.22.4865 [pii]', '10.1200/JCO.2009.22.4865 [doi]']",ppublish,J Clin Oncol. 2009 Nov 1;27(31):5195-201. doi: 10.1200/JCO.2009.22.4865. Epub 2009 Sep 14.,,,,,,,,,,,,,,,,,
19752334,NLM,MEDLINE,20091102,20091009,1527-7755 (Electronic) 0732-183X (Linking),27,29,2009 Oct 10,Venous thromboembolism in the hematologic malignancies.,4848-57,10.1200/JCO.2009.22.8197 [doi],"Patients with hematologic malignancies are at high risk of thrombotic or hemorrhagic complications. The incidence of these events is greatly variable and is influenced by many factors, including the type of disease, the type of chemotherapy, and the use of a central venous device. As in solid tumors, a number of clinical risk factors have been identified and contribute to the increasing thrombotic rate in hematologic malignancies. Biologic properties of the tumor cells can influence the hypercoagulable state of patients with these malignancies by several mechanisms. Of interest, oncogenes responsible for neoplastic transformation in leukemia also may be involved in clotting activation. Epidemiologic data allow an estimate of the incidence of venous thromboembolism (VTE) in acute leukemia, lymphomas, and multiple myeloma (MM). In this review, we focus on the epidemiology, pathogenesis, and VTE management in these three hematologic malignancies. No recommendation for routine thromboprophylaxis in these conditions, with the exception of MM, is available. Large, prospective, randomized clinical trials are needed to establish the best practice for thromboprophylaxis and treatment of VTE in these types of cancers.","['Falanga, Anna', 'Marchetti, Marina']","['Falanga A', 'Marchetti M']","['Division of Immunohematology and Transfusion Medicine, Department of Oncology/Hematology, Ospedali Riuniti di Bergamo, Bergamo, Italy. annafalanga@yahoo.com']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20090914,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['0 (Anticoagulants)'],IM,"['Anticoagulants/therapeutic use', 'Comorbidity', 'Female', 'Hematologic Neoplasms/*epidemiology/*pathology', 'Humans', 'Incidence', 'Leukemia, Myeloid, Acute/epidemiology/pathology', 'Lymphoma/epidemiology/pathology', 'Male', 'Multiple Myeloma/epidemiology/pathology', 'Neoplasm Staging', 'Prognosis', 'Risk Factors', 'Severity of Illness Index', 'Survival Analysis', 'Venous Thromboembolism/*diagnosis/drug therapy/*epidemiology']",2009/09/16 06:00,2009/11/03 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2009/11/03 06:00 [medline]']","['JCO.2009.22.8197 [pii]', '10.1200/JCO.2009.22.8197 [doi]']",ppublish,J Clin Oncol. 2009 Oct 10;27(29):4848-57. doi: 10.1200/JCO.2009.22.8197. Epub 2009 Sep 14.,,,,103,,,,,,,,,,,,,
19752191,NLM,MEDLINE,20100217,20211020,1098-5549 (Electronic) 0270-7306 (Linking),30,3,2010 Feb,SET domains of histone methyltransferases recognize ISWI-remodeled nucleosomal species.,552-64,10.1128/MCB.00775-09 [doi],"The trithorax (trxG) and Polycomb (PcG) group proteins recognize and propagate inheritable patterns of gene expression through a poorly understood epigenetic mechanism. A distinguishing feature of these proteins is the presence of a 130-amino-acid methyltransferase domain (SET), which catalyzes the methylation of histones. It is still not clear how SET proteins distinguish gene expression states, how they are targeted, or what regulates their substrate specificity. Many SET domain-containing proteins show robust activity on core histones but relatively weak activity on intact nucleosomes, their physiological substrate. Here, we examined the binding of two SET domain-containing proteins, ALL1 and SET7, to chromatin substrates. The SET domains from these proteins bind and methylate intact nucleosomes poorly but can recognize disrupted nucleosomal structures associated with transcribed chromatin. Interestingly, the remodeling of dinucleosomes by the ISWI class of ATP-dependent chromatin remodeling enzymes stimulated the binding of SET domains to chromatin and the methylation of H3 within the nucleosome. Unexpectedly, dinucleosomes remodeled by SWI/SNF were poor substrates. Thus, SET domains can distinguish nucleosomes altered by these two classes of remodeling enzymes. Our study reveals novel insights into the mechanism of how SET domains recognize different chromatin states and specify histone methylation at active loci.","['Krajewski, Wladyslaw A', 'Reese, Joseph C']","['Krajewski WA', 'Reese JC']","['Institute of Developmental Biology, Moscow 117334, Russian Federation. wkrajewski@hotmail.com']",['eng'],['06-0466/AICR_/Worldwide Cancer Research/United Kingdom'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090914,United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (Chromatin)', '0 (Histones)', '0 (ISWI protein)', '0 (KMT2A protein, human)', '0 (Nucleosomes)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 2.1.1.43 (SETD7 protein, human)', 'EC 2.5.1.18 (Glutathione Transferase)', 'EC 3.6.1.- (Adenosine Triphosphatases)']",IM,"['Adenosine Triphosphatases/*metabolism', 'Animals', 'Chickens', 'Chromatin/metabolism', 'Glutathione Transferase/metabolism', 'Histone-Lysine N-Methyltransferase/*metabolism', 'Histones/metabolism', 'Humans', 'Methylation', 'Mice', 'Myeloid-Lymphoid Leukemia Protein/*metabolism', 'Nucleosomes/*metabolism', 'Recombinant Fusion Proteins/metabolism', 'Transcription Factors/*metabolism']",2009/09/16 06:00,2010/02/18 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2010/02/18 06:00 [medline]']","['MCB.00775-09 [pii]', '10.1128/MCB.00775-09 [doi]']",ppublish,Mol Cell Biol. 2010 Feb;30(3):552-64. doi: 10.1128/MCB.00775-09. Epub 2009 Sep 14.,PMC2812232,,,,,,,,,,,,,,,,
19752004,NLM,MEDLINE,20100108,20200203,1569-8041 (Electronic) 0923-7534 (Linking),20,11,2009 Nov,Essential thrombocythemia transforming into acute biphenotypic leukemia in a patient on hydroxyurea monotherapy.,1899-900,10.1093/annonc/mdp422 [doi],,"['Sandhu, G', 'Ranade, A', 'Siddiqi, S', 'Balderacchi, J L']","['Sandhu G', 'Ranade A', 'Siddiqi S', 'Balderacchi JL']",,['eng'],,"['Case Reports', 'Letter']",20090913,England,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,9007735,"['0 (Antineoplastic Agents)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Aged', 'Antineoplastic Agents/*adverse effects', 'Cell Transformation, Neoplastic/*chemically induced', 'Female', 'Humans', 'Hydroxyurea/*adverse effects', 'Leukemia, Biphenotypic, Acute/*chemically induced/pathology/physiopathology', 'Stroke/complications', 'Thrombocythemia, Essential/drug therapy/*pathology/physiopathology']",2009/09/16 06:00,2010/01/09 06:00,['2009/09/16 06:00'],"['2009/09/16 06:00 [entrez]', '2009/09/16 06:00 [pubmed]', '2010/01/09 06:00 [medline]']","['S0923-7534(19)40007-0 [pii]', '10.1093/annonc/mdp422 [doi]']",ppublish,Ann Oncol. 2009 Nov;20(11):1899-900. doi: 10.1093/annonc/mdp422. Epub 2009 Sep 13.,,,,,,,,,,,,,,,,,
