PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,LID,AB,AD,AID,DEP,GR,PMC,MID,CIN,RF,EIN,CN,CON,OID,TT,IR,FIR,CI,SI,OTO,OT,RIN,COIS,ECI,PS,FPS
19041606,NLM,MEDLINE,20090107,20211020,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,What is the impact of hematopoietic cell transplantation (HCT) for older adults with acute myeloid leukemia (AML)?,667-75,"['Appelbaum, Frederick R']",['Appelbaum FR'],['eng'],"['Journal Article', 'Review']",Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Age Factors', 'Aged', 'Aged, 80 and over', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Leukemia, Myeloid, Acute/mortality/*therapy', 'Middle Aged', 'Transplantation Conditioning/methods', 'Treatment Outcome']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):667-75. doi: 10.1016/j.beha.2008.06.005.,,10.1016/j.beha.2008.06.005 [doi],"Acute myeloid leukemia (AML) patients over the age of 55 years are generally more difficult to treat than younger patients due to intrinsic drug resistance and diminished tolerance to treatment. The unfortunate result is that conventional chemotherapy is toxic and rarely curative. Recent studies suggest a better outcome for older AML patients treated with reduced-intensity conditioning (RIC) hematopoietic cell transplantation (HCT) than those treated with conventional chemotherapy. However, there are major limitations to RIC HCT. Some of these limitations may be able to be overcome, broadening the impact of allogeneic RIC HCT for older patients with AML. Ways to improve RIC HCT include making more patients eligible for RIC HCT by improving initial complete response rates using novel agents or combinations; finding a way to more rapidly identify alternative stem cell sources, such as by using donors that have already undergone HLA profiling or by using unrelated cord blood; eliminating the requirement for a complete response prior to transplant; and educating patients and physicians about the chances of survival after RIC HCT when compared to conventional chemotherapy.","['Clinical Research Division, Fred Hutchinson Cancer Research Center, USA; Division of Medical Oncology, University of Washington School of Medicine, 1100 Fairview Avenue North, D5-310, PO Box 19024, Seattle, WA 98109-1024, USA. fappelba@fhcrc.org']","['S1521-6926(08)00056-X [pii]', '10.1016/j.beha.2008.06.005 [doi]']",,"['P01 CA018029/CA/NCI NIH HHS/United States', 'P01 CA018029-36/CA/NCI NIH HHS/United States']",PMC3163849,['NIHMS267083'],,23,,,,,,,,,,,,,,,,
19041605,NLM,MEDLINE,20090107,20181201,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,What is the role of arsenic in newly diagnosed APL?,659-66,"['Tallman, Martin S']",['Tallman MS'],['eng'],"['Journal Article', 'Review']",Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Anthracyclines/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Arsenic Trioxide', 'Arsenicals/pharmacology/*therapeutic use', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Oxides/pharmacology/*therapeutic use', 'Treatment Outcome', 'Tretinoin/therapeutic use']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):659-66. doi: 10.1016/j.beha.2008.09.002.,"['0 (Anthracyclines)', '0 (Arsenicals)', '0 (Oxides)', '5688UTC01R (Tretinoin)', 'S7V92P67HO (Arsenic Trioxide)']",10.1016/j.beha.2008.09.002 [doi],"Acute promyelocytic leukemia (APL), a highly curable subtype of acute myeloid leukemia (AML) is characterized by the chromosomal translocation t(15;17) and, consequently, the presence of the PML-RARalpha fusion transcript. Most patients are treated with all-trans retinoic acid (ATRA), which targets the RAR-alpha moiety of the PML/RAR-alpha fusion transcript, and anthracycline-based chemotherapy. Arsenic trioxide (ATO) targets the PML moiety and has different mechanisms of action at different concentrations, and induces differentiation and apoptosis. Several clinical trials have tested the combination of ATRA and ATO with outstanding results. Furthermore, other trials have explored ATO as a single agent in newly diagnosed patients. ATRA plus ATO has emerged as a promising strategy, even for those with high-risk disease. Future studies will compare ATRA and ATO to conventional ATRA and anthracycline-based chemotherapy.","['Northwestern University, Feinberg School of Medicine, Division of Hematology/Oncology, Department of Medicine, 676 N. St. Clair Street, Suite 850, Chicago, IL 60611-2927, USA. m-tallman@northwestern.edu']","['S1521-6926(08)00088-1 [pii]', '10.1016/j.beha.2008.09.002 [doi]']",,,,,,31,,,,,,,,,,,,,,,,
19041604,NLM,MEDLINE,20090107,20081201,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,Is asparaginase a critical component in the treatment of acute lymphoblastic leukemia?,647-58,"['Douer, Dan']",['Douer D'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Adult', 'Age Factors', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Asparaginase/pharmacology/*therapeutic use/toxicity', 'Child', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*drug therapy', 'Treatment Outcome']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):647-58. doi: 10.1016/j.beha.2008.08.004.,['EC 3.5.1.1 (Asparaginase)'],10.1016/j.beha.2008.08.004 [doi],"The outcome of pediatric acute lymphoblastic leukemia (ALL) has improved dramatically over the last 40 years through a systematic approach of well-designed large trials including use of asparaginase. Although asparaginase has been incorporated with other drugs in adult ALL protocols, it has been associated with more toxicities in older patients resulting in caution in the inclusion of asparaginase-containing regimens for adults. Consequently, to date, no randomized trials with asparaginase have been performed in adults. Furthermore, adult regimens that do not include asparaginase have shown comparable outcomes to regimens with asparaginase, which makes the necessity of asparaginase in adult regimens unclear. There are several other factors which influence the role of asparaginase use in adults, including the level and sustainability of asparagine depletion, schedule, dosing, and form of asparaginase and the consequent toxicities and immunogenicity reactions.","['USC/Norris Cancer Center, 1441 Eastlake Ave Rm 3460, Los Angeles, CA 90033, United States. douer_d@ccnt.hsc.usc.edu']","['S1521-6926(08)00070-4 [pii]', '10.1016/j.beha.2008.08.004 [doi]']",,,,,,41,,,,,,,,,,,,,,,,
19041603,NLM,MEDLINE,20090107,20181201,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,Are new agents really making a difference in MDS?,639-46,"['Stone, Richard M']",['Stone RM'],['eng'],"['Journal Article', 'Review']",Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Azacitidine/analogs & derivatives', 'Decitabine', 'Humans', 'Lenalidomide', 'Myelodysplastic Syndromes/*drug therapy', 'Thalidomide/analogs & derivatives', 'Treatment Outcome']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):639-46. doi: 10.1016/j.beha.2008.06.004.,"['4Z8R6ORS6L (Thalidomide)', '776B62CQ27 (Decitabine)', 'F0P408N6V4 (Lenalidomide)', 'M801H13NRU (Azacitidine)']",10.1016/j.beha.2008.06.004 [doi],"Myelodysplastic syndromes (MDS) are a heterogeneous group of bone marrow stem cell disorders characterized by dysplastic hypercellular marrows with peripheral cytopenias. The Leukemia & Lymphoma Society estimates the annual US incidence of MDS is at least 12,000. MDS occurs primarily in people over 60 years old. The pathophysiology of most subtypes of MDS is poorly understood. Treating MDS remains a challenge despite the availability of new agents, such as lenalidomide, azacitidine, and decitabine. Whether these drugs have made a real difference in treating this group of diseases remains controversial.","['Harvard Medical School, Dana-Farber Cancer Institute, 44 Binney Street, Boston, MA 02115, USA. rstone@partners.org']","['S1521-6926(08)00055-8 [pii]', '10.1016/j.beha.2008.06.004 [doi]']",,,,,,33,,,,,,,,,,,,,,,,
19041602,NLM,MEDLINE,20090107,20211020,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,Is the focus moving toward a combination of targeted drugs?,629-37,"['Grant, Steven']",['Grant S'],['eng'],"['Journal Article', 'Review']",Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Apoptosis Regulatory Proteins/antagonists & inhibitors', 'Cell Survival/drug effects', 'Drug Delivery Systems/*methods', 'Enzyme Inhibitors/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):629-37. doi: 10.1016/j.beha.2008.08.003.,"['0 (Apoptosis Regulatory Proteins)', '0 (Enzyme Inhibitors)']",10.1016/j.beha.2008.08.003 [doi],"The concept of combining targeted agents for the treatment of acute myeloid leukemia (AML) is a relatively new but potentially promising area of investigation. A number of targeted agents may have limited single-agent activity but could show significant promise when used in conjunction with other types of similar compounds. Combinations of targeted agents may effectively interrupt multiple pathways in either a linear or parallel fashion. There are currently numerous combination regimens under investigation at either the preclinical or clinical levels, including histone deacetylase (HDAC) and CDK inhibitors; HDAC and proteasome inhibitors; HDAC and NF-kappaB (IKKbeta) inhibitors; CHK1 and MEK1/2 inhibitors; and BCL-2 antagonists and CDK inhibitors. Although combinations of targeted agents will not displace conventional cytotoxic regimens in AML or related disorders in the foreseeable future, these combinations clearly warrant further attention.","['Virginia Commonwealth University/Massey Cancer Center, 401 College Street, PO Box 980035, Richmond, VA 23298-0035, USA. stgrant@vcu.edu']","['S1521-6926(08)00069-8 [pii]', '10.1016/j.beha.2008.08.003 [doi]']",,"['P50 CA142509/CA/NCI NIH HHS/United States', 'R21 CA137823/CA/NCI NIH HHS/United States', 'R01 CA100866/CA/NCI NIH HHS/United States', 'R01 CA093738/CA/NCI NIH HHS/United States', 'RC2 CA148431/CA/NCI NIH HHS/United States', 'R21 CA110953/CA/NCI NIH HHS/United States', 'P50 CA130805/CA/NCI NIH HHS/United States']",PMC3208400,['NIHMS84571'],,36,,,,,,,,,,,,,,,,
19041601,NLM,MEDLINE,20090107,20151119,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,Molecular characterization of AML: a significant advance or just another prognostic factor?,621-8,"['Schiffer, Charles A']",['Schiffer CA'],['eng'],"['Journal Article', 'Review']",Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Biomarkers, Tumor', 'Cytogenetic Analysis', 'Humans', 'Leukemia, Myeloid, Acute/classification/*diagnosis/therapy', 'Molecular Diagnostic Techniques', 'Prognosis']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):621-8. doi: 10.1016/j.beha.2008.08.006.,"['0 (Biomarkers, Tumor)']",10.1016/j.beha.2008.08.006 [doi],"Although there have been several major laboratory advances which have been helpful diagnostically and in the general classification of risk groups, they have not resulted in improvement in the overall outcome for patients with AML and, with occasional exceptions, have not provided clues about new therapeutic directions. Gene expression profiling and the identification of a number of unique mutations in leukemia cells may help discriminate among the heterogeneous outcomes observed both in patients with the same karyotypic abnormality and in patients with normal cytogenetics. However, the mechanism(s) by which these new molecular markers affect prognosis are poorly understood, and as more mutations and other patient subgroups are discovered, identifying new, non-empiric therapies and designing efficient clinical trials, becomes even more complicated.","['Division of Hematology/Oncology, Karmanos Cancer Institute, Wayne State University School of Medicine, 4100 John R, Detroit, MI 48201, USA. schiffer@karmanos.org']","['S1521-6926(08)00083-2 [pii]', '10.1016/j.beha.2008.08.006 [doi]']",,,,,,32,,,,,,,,,,,,,,,,
19041600,NLM,MEDLINE,20090107,20211020,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,Can we finally target the leukemic stem cells?,615-20,"['Jordan, Craig T']",['Jordan CT'],['eng'],['Journal Article'],Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Biomarkers', 'Drug Delivery Systems/*methods', 'Humans', 'Leukemia/*drug therapy/pathology', 'Neoplastic Stem Cells/drug effects/*pathology']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):615-20. doi: 10.1016/j.beha.2008.07.006.,['0 (Biomarkers)'],10.1016/j.beha.2008.07.006 [doi],"Two key issues must be addressed in the discussion of targeting leukemic stem cells: (1) can the leukemic stem cell be targeted in vivo, and (2) how to assess whether the leukemic stem cell is actually being targeted. Currently several small molecule and antibody- or ligand-based agents have shown activity in selectively targeting the leukemic stem cell. However, there is debate about how to use these targeted agents and how to identify and quantitate the leukemic stem cell to determine whether or not it is being targeted. Parameters are suggested here to help identify and quantitate leukemic stem cells in the clinical context.","['James P. Wilmot Cancer Center, University of Rochester School of Medicine, 601 Elmwood Avenue, Box 704, Rochester, NY 14642, USA. craig_jordan@urmc.rochester.edu']","['S1521-6926(08)00062-5 [pii]', '10.1016/j.beha.2008.07.006 [doi]']",,"['R01 CA090446/CA/NCI NIH HHS/United States', 'R01 CA090446-05/CA/NCI NIH HHS/United States']",PMC2613248,['NIHMS84569'],,,,,,,,,,,,,,,,,,
19041598,NLM,MEDLINE,20090107,20091119,1532-1924 (Electronic) 1521-6926 (Linking),21,4,2008 Dec,Clinical progress in acute myeloid leukemia. Preface.,597-9,"['Rowe, Jacob M']",['Rowe JM'],['eng'],['Introductory Journal Article'],Netherlands,Best Pract Res Clin Haematol,Best practice & research. Clinical haematology,101120659,IM,"['Cytogenetic Analysis', 'Hematopoietic Stem Cell Transplantation/methods', 'Humans', '*Leukemia, Myeloid, Acute/genetics/mortality/therapy', 'Survival Analysis', 'fms-Like Tyrosine Kinase 3/genetics']",2008/12/02 09:00,2009/01/08 09:00,['2008/12/02 09:00'],"['2008/12/02 09:00 [pubmed]', '2009/01/08 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Best Pract Res Clin Haematol. 2008 Dec;21(4):597-9. doi: 10.1016/j.beha.2008.08.005.,"['EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",10.1016/j.beha.2008.08.005 [doi],,"['Department of Hematology and Bone Marrow Transplantation, Rambam Medical Center and Technion, Israel Institute of Technology, Haifa, Israel. rowe@jimmy.harvard.edu']","['S1521-6926(08)00071-6 [pii]', '10.1016/j.beha.2008.08.005 [doi]']",,,,,,,,,,,,,,,,,,,,,,
19041400,NLM,MEDLINE,20090401,20131121,1096-0279 (Electronic) 1046-5928 (Linking),64,2,2009 Apr,"Cloning, expression, purification and functional characterization of the oligomerization domain of Bcr-Abl oncoprotein fused to the cytoplasmic transduction peptide.",167-78,"['Huang, Shi-Feng', 'Liu, Ding-Bin', 'Zeng, Jian-Ming', 'Xiao, Qing', 'Luo, Miao', 'Zhang, Wen-Ping', 'Tao, Kun', 'Wen, Jian-Ping', 'Huang, Zong-Gan', 'Feng, Wen-Li']","['Huang SF', 'Liu DB', 'Zeng JM', 'Xiao Q', 'Luo M', 'Zhang WP', 'Tao K', 'Wen JP', 'Huang ZG', 'Feng WL']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Protein Expr Purif,Protein expression and purification,9101496,IM,"['Cells, Cultured', 'Cloning, Molecular', 'Cytoplasm/*metabolism', 'Fusion Proteins, bcr-abl/chemistry/*genetics/*isolation & purification', 'Gene Expression', 'Humans', 'K562 Cells', 'Microscopy, Confocal', 'Peptides/*chemistry/genetics/metabolism', 'Protein Structure, Tertiary', 'Recombinant Proteins/chemistry/*genetics/*isolation & purification']",2008/12/02 09:00,2009/04/02 09:00,['2008/12/02 09:00'],"['2008/09/17 00:00 [received]', '2008/10/26 00:00 [revised]', '2008/10/27 00:00 [accepted]', '2008/12/02 09:00 [pubmed]', '2009/04/02 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Protein Expr Purif. 2009 Apr;64(2):167-78. doi: 10.1016/j.pep.2008.10.023. Epub 2008 Nov 17.,"['0 (Peptides)', '0 (Recombinant Proteins)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",10.1016/j.pep.2008.10.023 [doi],"Protein-based cellular therapeutics have been limited by getting molecules into cells and the fact that many proteins require accurate cellular localization for function. Cytoplasmic transduction peptide (CTP) is a newly designed transduction peptide that carries molecules across the cell membrane with a preference to localize in the cytoplasmic compartment and is, therefore, applicable for cytoplasmic targeting. The Bcr-Abl fusion protein, playing major causative role in chronic myeloid leukemia (CML), is a cytoplasmic oncoprotein that contains an N-terminus oligomerization domain (OD) mediating homodimerization of Bcr-Abl proteins, and an intact OD in Bcr-Abl is required both for the activation of its transforming activity and tyrosine kinase. Therefore, disrupting Bcr-Abl oligomerization represents a potential therapeutic strategy for inhibiting Bcr-Abl oncogenicity. In this study, we explored the possible homodimerization-disrupting and tyrosine kinase inhibiting effect of the transduction of OD in Bcr-Abl positive K562 cells. By expressing in Escherichia coli a CTP-OD-HA fusion protein followed by Ni+-NTA affinity purification, immunoblot identification and enterokinase cleavage, we showed that the CTP-OD-HA protein was structurally and functionally active in that it potently transduced and primarily localized into the cytoplasmic compartment, heterodimerized with Bcr-Abl, and potently inhibited the phospho-tyrosine pathways of Bcr-Abl oncoprotein at a low concentration of 4 microM. These results delineate strategies for the expression and purification of therapeutic molecules for intracytoplasmic protein based therapeutics and the CTP-OD-HA-mediated killing strategy could be explored as a promising anti-leukemia agent or an adjuvant to the conventional therapeutic modalities in chronic myeloid leukemia, such as in vitro purging.","['Department of Clinical Hematology, Key Laboratory of Laboratory Medical Diagnostics Designated by the Ministry of Education, Chongqing Medical University, Chongqing 400016, PR China.']","['S1046-5928(08)00296-9 [pii]', '10.1016/j.pep.2008.10.023 [doi]']",20081117,,,,,,,,,,,,,,,,,,,,,
19041354,NLM,MEDLINE,20090312,20211020,0264-410X (Print) 0264-410X (Linking),27,4,2009 Jan 22,Review of companion animal viral diseases and immunoprophylaxis.,491-504,"['Patel, J R', 'Heldens, J G M']","['Patel JR', 'Heldens JG']",['eng'],"['Journal Article', 'Review']",Netherlands,Vaccine,Vaccine,8406899,IM,"['Animal Diseases/*immunology/prevention & control/*virology', 'Animals', 'DNA Viruses/physiology', 'RNA Viruses/physiology', 'Viral Vaccines/*immunology', 'Virus Diseases/immunology/prevention & control/*veterinary']",2008/12/02 09:00,2009/03/13 09:00,['2008/12/02 09:00'],"['2008/08/11 00:00 [received]', '2008/11/05 00:00 [accepted]', '2008/12/02 09:00 [entrez]', '2008/12/02 09:00 [pubmed]', '2009/03/13 09:00 [medline]']",ppublish,Vaccine. 2009 Jan 22;27(4):491-504. doi: 10.1016/j.vaccine.2008.11.027. Epub 2008 Nov 27.,['0 (Viral Vaccines)'],10.1016/j.vaccine.2008.11.027 [doi],"In this article we review important established, newly emergent and potential viral diseases of cats, dogs and rabbits. Topics covered include virus epidemiology, disease pathogenesis, existing and prospective immunoprophylaxis against the viruses. For some feline viruses, notably the immunodeficiency virus, leukaemia virus and peritonitis virus, available vaccines are poorly efficacious but there are good prospects for this. A further challenge for the industry is likely to be due to viruses jumping species and the emergence of more virulent variants of established viruses resulting from mutations as has been the case for the canine parvovirus, coronaviruses and feline calicivirus.","['JAS Biologicals Limited, The Centre for Veterinary Science, Madingley Road, Cambridge CB3OES, UK. jasltd@aol.com <jasltd@aol.com>']","['S0264-410X(08)01552-1 [pii]', '10.1016/j.vaccine.2008.11.027 [doi]']",20081127,,PMC7130499,,,153,,,,,,,,,,,,,,,,
19041304,NLM,MEDLINE,20090225,20211020,1096-0945 (Electronic) 0014-4800 (Linking),86,1,2009 Feb,Systemic pathology in aged mouse models of Down's syndrome and Alzheimer's disease.,18-22,"['Levine, Seymour', 'Saltzman, Arthur', 'Levy, Efrat', 'Ginsberg, Stephen D']","['Levine S', 'Saltzman A', 'Levy E', 'Ginsberg SD']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",Netherlands,Exp Mol Pathol,Experimental and molecular pathology,0370711,IM,"['Aging/*pathology/physiology', 'Alzheimer Disease/*pathology', 'Amyloid beta-Protein Precursor/metabolism', 'Animals', '*Disease Models, Animal', 'Down Syndrome/*pathology', 'Female', 'Humans', 'Male', 'Mice', 'Mice, Inbred Strains', 'Mice, Transgenic', 'Myocardium/cytology/metabolism/pathology', 'Spleen/cytology/metabolism/pathology']",2008/12/02 09:00,2009/02/26 09:00,['2008/12/02 09:00'],"['2008/09/29 00:00 [received]', '2008/10/23 00:00 [accepted]', '2008/12/02 09:00 [entrez]', '2008/12/02 09:00 [pubmed]', '2009/02/26 09:00 [medline]']",ppublish,Exp Mol Pathol. 2009 Feb;86(1):18-22. doi: 10.1016/j.yexmp.2008.10.006. Epub 2008 Nov 7.,['0 (Amyloid beta-Protein Precursor)'],10.1016/j.yexmp.2008.10.006 [doi],"Down's syndrome (DS) in humans is caused by trisomy of chromosome 21 (HSA 21). DS patients have a variety of pathologies, including mental retardation and an unusually high incidence of leukemia or lymphoma such as megakaryocytic leukemia. Individuals with DS develop the characteristic neuropathological hallmarks of Alzheimer's disease (AD) in early adulthood, generally by the fourth decade of life. There are several mouse models of DS that have a segmental trisomy of mouse chromosome 16 (MMU 16) with triplicated genes orthologous to HSA 21. These mice display neurodegeneration similar to DS. Although brain pathology in DS models is known, little information is available about other organs. We studied the extraneural pathology in aged DS mice (Ts65Dn, Ts2 and Ts1Cje aged 8 to 24 months) as well as other mouse models of neurodegeneration, including presenilin (PS), amyloid-beta precursor protein (APP), and tau (hTau and JNPL) transgenic mice. An increased incidence of peripheral amyloidosis, positive for amyloid A (AA) but not amyloid-beta peptide (A beta), was found in APP over-expressing and tauopathic mice as compared to non-transgenic (ntg) littermates or to DS mouse models. A higher incidence of lymphoma was found in the DS models, including Ts1Cje that is trisomic for a small segment of MMU 16 not including the App gene, but not in the APP over-expressing mice, suggesting that high APP expression is not the cause of lymphoma in DS. The occurrence of lymphomas in mouse DS models is of interest in relation to the increased incidence of malignant conditions in human DS.","['Center for Dementia Research, Nathan S. Kline Institute, 140 Old Orangeburg Road, Orangeburg, NY 10962, USA. LEVINES@NKI.RFMH.ORG']","['S0014-4800(08)00113-5 [pii]', '10.1016/j.yexmp.2008.10.006 [doi]']",20081107,"['P01 AG017617-090008/AG/NIA NIH HHS/United States', 'P01 NS048447-050001/NS/NINDS NIH HHS/United States', 'P01 AG017617-070008/AG/NIA NIH HHS/United States', 'P01 NS048447-030001/NS/NINDS NIH HHS/United States', 'P01 AG017617-099001/AG/NIA NIH HHS/United States', 'P01 NS048447-040001/NS/NINDS NIH HHS/United States', 'P01 NS048447/NS/NINDS NIH HHS/United States', 'P01 AG017617-089001/AG/NIA NIH HHS/United States', 'P01 NS048447-020001/NS/NINDS NIH HHS/United States', 'P01 AG017617/AG/NIA NIH HHS/United States', 'P01 AG017617-079001/AG/NIA NIH HHS/United States', 'AG17617/AG/NIA NIH HHS/United States', 'R01 AG043375/AG/NIA NIH HHS/United States', 'P01 NS048447-01A20001/NS/NINDS NIH HHS/United States', 'P01 AG017617-080008/AG/NIA NIH HHS/United States', 'P01 AG017617-069001/AG/NIA NIH HHS/United States', 'NS48447/NS/NINDS NIH HHS/United States', 'P01 AG017617-060008/AG/NIA NIH HHS/United States']",PMC2659493,['NIHMS94704'],,,,,,,,,,,,,,,,,,
19041267,NLM,MEDLINE,20090609,20141021,1059-1311 (Print) 1059-1311 (Linking),18,4,2009 May,Intractable epilepsy in patients treated for childhood acute lymphocytic leukemia.,298-302,"['Fasano, Rebecca E', 'Bergen, Donna C']","['Fasano RE', 'Bergen DC']",['eng'],"['Case Reports', 'Journal Article']",England,Seizure,Seizure,9306979,IM,"['Adult', 'Antirheumatic Agents/*adverse effects', 'Brain/radiation effects', 'Cranial Irradiation/*adverse effects/methods', 'Epilepsy/*etiology', 'Female', 'Humans', 'Male', 'Methotrexate/*adverse effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/pathology/*therapy']",2008/12/02 09:00,2009/06/10 09:00,['2008/12/02 09:00'],"['2008/07/09 00:00 [received]', '2008/10/23 00:00 [accepted]', '2008/12/02 09:00 [pubmed]', '2009/06/10 09:00 [medline]', '2008/12/02 09:00 [entrez]']",ppublish,Seizure. 2009 May;18(4):298-302. doi: 10.1016/j.seizure.2008.10.008. Epub 2008 Nov 28.,"['0 (Antirheumatic Agents)', 'YL5FZ2Y5U1 (Methotrexate)']",10.1016/j.seizure.2008.10.008 [doi],"PURPOSE: In the 1970s and 80s, standard treatment for childhood acute lymphocytic leukemia (ALL) included both intrathecal methotrexate and whole-brain irradiation. During acute treatment, seizures were not uncommon. The development of intractable epilepsy years after treatment, however, has not been well described in the literature. We describe five patients who were treated for acute lymphocytic leukemia as children, who later developed intractable epilepsy. RESULTS: All of the patients were diagnosed with leukemia before age seven. Treatment included both whole-brain irradiation and intrathecal chemotherapy. All five received intrathecal methotrexate; in addition, two also received intrathecal cytosine arabinoside. The first seizure occurred at a mean of 7.5 years after diagnosis. Four patients have multiple seizure types, and all patients have been on multiple antiepileptic drugs. All five patients are cognitively impaired. CONCLUSIONS: Successful treatment for childhood leukemia may be followed by signs of late cerebral injury including intractable epilepsy. We propose that neurotoxicity resulting from exposure to intrathecal methotrexate and cranial irradiation may have contributed to the intractable epilepsy seen in our five patients.","['Department of Neurological Sciences, Rush University Medical Center, 1725 W. Harrison St., Chicago, IL 60612, USA. fasanore@ninds.nih.gov']","['S1059-1311(08)00236-7 [pii]', '10.1016/j.seizure.2008.10.008 [doi]']",20081128,,,,,,,,,,,,,,,,,,,,,
