PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,AB,AD,GR,RN,AID,CIN,EIN,TT,PMC,SI,OID,OAB,OABL,OTO,OT,GN
3325957,NLM,MEDLINE,19880328,20061115,0032-5449 (Print) 0032-5449 (Linking),41,3,1987 May-Jun,[Epidemiology of leukemia. I. Descriptive statistics].,282-301,"['Kwiatkowski, A']",['Kwiatkowski A'],['pol'],"['Comparative Study', 'English Abstract', 'Journal Article', 'Review']",Poland,Postepy Hig Med Dosw,Postepy higieny i medycyny doswiadczalnej,0421052,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/*epidemiology/mortality', 'Male', 'Middle Aged', 'Poland', 'Sex Factors']",46,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Postepy Hig Med Dosw. 1987 May-Jun;41(3):282-301.,,,,,,,,Epidemiologia bialaczek. Cz. I. Statystyka opisowa.,,,,,,,,
3325956,NLM,MEDLINE,19880328,20141120,0032-5449 (Print) 0032-5449 (Linking),41,3,1987 May-Jun,[Determining the role of granulopoiesis (CSF)in the pathogenesis of human leukemia].,256-81,"['Zdunczyk, A', 'Skotnicki, B', 'Blicharski, J']","['Zdunczyk A', 'Skotnicki B', 'Blicharski J']",['pol'],"['English Abstract', 'Journal Article', 'Review']",Poland,Postepy Hig Med Dosw,Postepy higieny i medycyny doswiadczalnej,0421052,IM,"['Animals', 'Cell Division', 'Colony-Stimulating Factors/*blood', 'Granulocytes/*pathology', '*Hematopoiesis', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid, Acute/blood/*etiology', 'Mice']",127,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Postepy Hig Med Dosw. 1987 May-Jun;41(3):256-81.,,,,['0 (Colony-Stimulating Factors)'],,,,Proba okreslenia roli czynnika stymulujacego granulopoeze (CSF) w patogenezie bialaczek ludzkich.,,,,,,,,
3325939,NLM,MEDLINE,19880401,20071115,,29,5,1987,[Myeloid differentiation antigens: characterization and expression in acute myeloblastic leukemias].,327-31,"['Merle-Beral, H', 'Laabid, M', 'Debre, P']","['Merle-Beral H', 'Laabid M', 'Debre P']",['fre'],"['English Abstract', 'Journal Article', 'Review']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,IM,"['*Antigens, Differentiation/analysis/classification', 'Antigens, Neoplasm', 'Humans', 'Leukemia, Myeloid, Acute/*classification/immunology']",17,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1987;29(5):327-31.,"We report the main characteristics of myeloid clusters of differentiation, recently described and confirmed at the 3rd International Workshop on Human Leukocyte Differentiation Antigens (Oxford, September 1986). The principal studies concerning immunopheno-typing of acute myeloblastic leukemias, its concordance with the FAB classification, and its prognostic implications are analysed.","[""Departement d'Hematologie, Hopital Pitie-Salpetriere, Paris, France.""]",,"['0 (Antigens, Differentiation)', '0 (Antigens, Neoplasm)']",,,,Antigenes de differenciation myeloide: caracterisation et expression dans les leucemies aigues myeloblastiques.,,,,,,,,
3325938,NLM,MEDLINE,19880401,20061115,,29,5,1987,"[Basophil leukemia, development of a chronic myeloid leukemia. Apropos of a case and review of the literature].",307-10,"['Lossignol, D', 'Bron, D', 'Debusscher, L', 'Regnier, R', 'Delforge, A', 'Klastersky, J', 'Stryckmans, P']","['Lossignol D', 'Bron D', 'Debusscher L', 'Regnier R', 'Delforge A', 'Klastersky J', 'Stryckmans P']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,IM,"['Basophils', 'Bone Marrow Transplantation', 'Humans', 'Leukemia/pathology/*physiopathology/therapy', 'Leukemia, Myeloid/pathology/*physiopathology', 'Male', 'Middle Aged', 'Whole-Body Irradiation']",21,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Nouv Rev Fr Hematol. 1987;29(5):307-10.,"Basophilic leukemia is a rare disease accounting for less than 2% of all hematopoietic malignancies and little is known about the best therapeutical approach. We report a case of basophilic leukemia occurring as an accelerated phase of chronic myelogenic leukemia in a 50 year old man with a past history of uranium and thorium exposure. He was successfully treated with intensive chemotherapy and total body irradiation followed by autologous peripheral stem cell transplantation. Such an approach has never been reported in this disease. However, the benefit on survival could not be evaluated because of a fatal opportunistic infection. The cases of basophilic leukemia reported in the literature are discussed.","[""Departement d'Hematologie, Institut Jules Bordet, Universite Libre de Bruxelles, Belgique.""]",,,,,,"Leucemie a basophiles, evolution d'une leucemie myeloide chronique. A propos d'un cas et revue de la litterature.",,,,,,,,
3325929,NLM,MEDLINE,19880407,20191101,0167-6555 (Print) 0167-6555 (Linking),9 Suppl,,1987 Dec 11,Ciprofloxacin for infection prevention in patients with acute leukemia.,S45-7,"['Rozenberg-Arska, M', 'Dekker, A W']","['Rozenberg-Arska M', 'Dekker AW']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",Netherlands,Pharm Weekbl Sci,Pharmaceutisch weekblad. Scientific edition,7907992,IM,"['Adult', 'Bacterial Infections/complications/*prevention & control', 'Ciprofloxacin/*therapeutic use', 'Clinical Trials as Topic', 'Colistin/administration & dosage', 'Drug Combinations/administration & dosage', 'Drug Therapy, Combination', 'Humans', 'Leukemia/complications/*drug therapy', 'Random Allocation', 'Sulfamethoxazole/administration & dosage', 'Trimethoprim/administration & dosage', 'Trimethoprim, Sulfamethoxazole Drug Combination']",,1987/12/11 00:00,1987/12/11 00:01,['1987/12/11 00:00'],"['1987/12/11 00:00 [pubmed]', '1987/12/11 00:01 [medline]', '1987/12/11 00:00 [entrez]']",ppublish,Pharm Weekbl Sci. 1987 Dec 11;9 Suppl:S45-7. doi: 10.1007/BF02075259.,"Ciprofloxacin, a new quinolone derivative, was given prophylactically (500 mg twice daily) to 15 patients with acute leukemia during remission induction treatment. The effect on the microbial flora of the alimentary tract was evaluated. A rapid elimination of Enterobacteriaceae was observed. Bacteriodes and Clostridium species were not affected. Few ciprofloxacin resistant strains were isolated but did not lead to colonization. In a randomized study 56 patients with acute leukemia received either ciprofloxacin or trimethoprim-sulfamethoxazole plus colistin for prevention of infections. Six major infections occurred in 28 patients receiving ciprofloxacin, and 11 major infections in 28 patients receiving trimethoprim-sulfamethoxazole plus colistin. No infections caused by Gram-negative bacilli were seen in the ciprofloxacin group compared to 17 in the other group (p less than 0.02). Ciprofloxacin prevented colonization with resistant Gram-negative bacilli while 12 resistant colonizing strains were isolated from 10 patients receiving trimethoprim-sulfamethoxazole (p less than 0.01). Ciprofloxacin was better tolerated than trimethoprim-sulfamethoxazole + colistin; fewer side effects occurred.","['Department of Clinical Microbiology, University Hospital of Utrecht, The Netherlands.']",,"['0 (Drug Combinations)', '5E8K9I0O4U (Ciprofloxacin)', '8064-90-2 (Trimethoprim, Sulfamethoxazole Drug Combination)', 'AN164J8Y0X (Trimethoprim)', 'JE42381TNV (Sulfamethoxazole)', 'Z67X93HJG1 (Colistin)']",['10.1007/BF02075259 [doi]'],,,,,,,,,,,
3325881,NLM,MEDLINE,19880330,20071115,0950-9232 (Print) 0950-9232 (Linking),1,2,1987 May,Novel transforming sequences in human acute myelocytic leukemia cell lines.,175-9,"['Janssen, J W', 'Steenvoorden, A C', 'Losekoot, M', 'Bartram, C R']","['Janssen JW', 'Steenvoorden AC', 'Losekoot M', 'Bartram CR']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,IM,"['Cell Line', 'DNA, Neoplasm/*genetics', 'Genes, ras', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', '*Oncogenes', 'Transfection', 'Tumor Cells, Cultured']",,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Oncogene. 1987 May;1(2):175-9.,"DNA transfection analyses using the tumorigenicity assay were performed on seven human acute myelocytic leukemia (AML) cell lines. DNAs from all cell lines induced tumors in nude mice. Respective transforming sequences could be identified as activated N-ras genes in AML cell lines THP-1, KG-1 and Rc2a. We observed the transfer of five putative novel transforming sequences from DNAs of cell lines U937, ML-1, HEL and CTV-2. These sequences appear to be unrelated to each other and previously known oncogenes. Transfections containing these transforming genes show distinctive biological and morphological characteristics. Our data suggest that the transforming sequences reported here became activated during the transfection process rather than the AML cell line.","['Department of Pediatrics II, University of Ulm, GFR.']",,"['0 (DNA, Neoplasm)']",,,,,,,,,,,,
3325880,NLM,MEDLINE,19880330,20151119,0950-9232 (Print) 0950-9232 (Linking),1,2,1987 May,Expression of normal and mutant ras proteins in human acute leukemia.,157-65,"['Shen, W P', 'Aldrich, T H', 'Venta-Perez, G', 'Franza, B R Jr', 'Furth, M E']","['Shen WP', 'Aldrich TH', 'Venta-Perez G', 'Franza BR Jr', 'Furth ME']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,IM,"['Acute Disease', 'Antibodies, Monoclonal', 'Clone Cells', 'Electrophoresis, Polyacrylamide Gel', 'Gene Expression Regulation', '*Genes, ras', 'Humans', 'Leukemia/genetics/*metabolism', 'Leukemia, Myeloid, Acute/metabolism', 'Molecular Weight', 'Mutation', 'Proto-Oncogene Proteins/*metabolism', '*Proto-Oncogenes', 'Tumor Cells, Cultured']",,1987/05/01 00:00,2001/03/28 10:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Oncogene. 1987 May;1(2):157-65.,"The expression of normal and mutant ras genes in human acute leukemias was assessed by the direct analysis of p21ras polypeptides, using immunoprecipitation with monoclonal antibodies. High-resolution two-dimensional gel electrophoresis permits the identification of a wide array of activated ras alleles encoding proteins with single amino acid substitutions at any of several positions. The products of three ras genes, H-ras, N-ras, and K-ras, were detected in each of 33 specimens of fresh leukemic cells. The normal K-ras and N-ras polypeptides were substantially more abundant than H-ras p21 in all samples. In over three-fourths of the cases the total amount of p21ras exceeded that seen in control hematopoietic cell lines. The level of ras expression did not correlate simply with clinical parameters, although the two samples with the most abundant p21ras were obtained from patients with relapsed T-cell acute lymphocytic leukemia (ALL). Abnormal p21ras, consistent with oncogenic activation, was found in eight patients. Six of 11 samples from acute myelocytic leukemia (AML) patients displayed a mutant N-ras p21, while only one of 20 ALL specimens had abnormal N-ras, and one had a mutant H-ras. In every case the mutant protein comprised a minority of total p21ras. In two T-cell ALL cell lines both normal and activated N-ras gene products were expressed at equal levels. By contrast, in five fresh AML samples the abnormal N-ras protein was several-fold less abundant than the normal N-ras p21. This finding implies that only a proportion of leukemic cells in an individual patient may carry the mutant ras oncogene.","['DeWitt Wallace Research Laboratory, Graduate Program in Molecular Biology, Memorial Sloan-Kettering Cancer Center, New York, New York 10021.']","['CA-08748/CA/NCI NIH HHS/United States', 'CA-16599/CA/NCI NIH HHS/United States', 'CA-40620/CA/NCI NIH HHS/United States', 'etc.']","['0 (Antibodies, Monoclonal)', '0 (Proto-Oncogene Proteins)']",,,,,,,,,,,,
3325877,NLM,MEDLINE,19880330,20131121,0950-9232 (Print) 0950-9232 (Linking),1,2,1987 May,Bryostatin induces changes in protein kinase C location and activity without altering c-myc gene expression in human promyelocytic leukemia cells (HL-60).,111-8,"['Kraft, A S', 'Baker, V V', 'May, W S']","['Kraft AS', 'Baker VV', 'May WS']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,IM,"['Bryostatins', 'Cell Compartmentation', 'Cell Membrane/enzymology', 'Cytoplasm/enzymology', 'Gene Expression Regulation', 'Humans', 'Lactones/*pharmacology', 'Leukemia, Myeloid, Acute/genetics/metabolism/*physiopathology', 'Macrolides', 'Phosphorylation', 'Protein Kinase C/*metabolism', 'Proto-Oncogene Proteins/*genetics', 'RNA, Messenger/genetics', 'Receptors, Transferrin/metabolism', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",,1987/05/01 00:00,1987/05/01 00:01,['1987/05/01 00:00'],"['1987/05/01 00:00 [pubmed]', '1987/05/01 00:01 [medline]', '1987/05/01 00:00 [entrez]']",ppublish,Oncogene. 1987 May;1(2):111-8.,"When human promyelocytic leukemia cells (HL-60) are induced by phorbol esters to differentiate to macrophages, the process is accompanied by immediate activation of protein kinase C (PK-C) in the cytoplasm and later changes in DNA and RNA synthesis. Although these events are temporarily related, it remains unclear how activation of this protein kinase leads to changes in nuclear transcription. In this study, we find that bryostatin, a macrocyclic lactone which does not induce differentiation of HL-60 cells but activates PK-C, mimics the effects of phorbol esters on protein phosphorylation and PK-C location. Treatment of HL-60 cells with bryostatin stimulates phosphorylation of the surface transferrin receptor and in the cytoplasm of five proteins having the molecular weights of 17-43 kDa over the same time course as that stimulated by phorbol esters. Similarly, prolonged treatment with bryostatin, like that with phorbol esters, causes the loss of all cellular PK-C activity. Unlike the phosphorylation studies, bryostatin treatment, over a 1-100 nM concentration range and for varying lengths of time, did not affect HL-60 c-myc RNA levels, while phorbol ester treatment rapidly decreased c-myc RNA levels. These data suggest that neither the activation of PK-C and the phosphorylation of specific substrates nor the loss of total cellular PK-C activity from HL-60 cells is sufficient to induce marked decreases in c-myc levels and differentiation of HL-60 cells.","['University of Alabama, Division of Hematology/Oncology, Birmingham 35294.']","['AM 27157/AM/NIADDK NIH HHS/United States', 'CA 37903/CA/NCI NIH HHS/United States', 'CA 42533/CA/NCI NIH HHS/United States', 'etc.']","['0 (Bryostatins)', '0 (Lactones)', '0 (Macrolides)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (Receptors, Transferrin)', '37O2X55Y9E (bryostatin 1)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,,,,,,,
3325832,NLM,MEDLINE,19880401,20091111,0077-0760 (Print) 0077-0760 (Linking),22,,1987,Anti-idiotype antibodies reveal the existence of somatic mutation in human B cell lymphoma.,194-203,"['Levy, R', 'Levy, S', 'Brown, S L', 'Kon, S', 'Carroll, W']","['Levy R', 'Levy S', 'Brown SL', 'Kon S', 'Carroll W']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Monogr Allergy,Monographs in allergy,0077707,IM,"['Antibodies, Anti-Idiotypic/*immunology', 'B-Lymphocytes/*immunology', 'Clinical Trials as Topic', 'Humans', 'Immunoglobulin Idiotypes/*immunology', 'Immunotherapy', 'Leukemia/genetics/*immunology/therapy', 'Lymphoma/genetics/*immunology/therapy', '*Mutation']",,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Monogr Allergy. 1987;22:194-203.,,"['Department of Medicine, Stanford Medical School, Calif.']","['CA33399/CA/NCI NIH HHS/United States', 'CA34233/CA/NCI NIH HHS/United States']","['0 (Antibodies, Anti-Idiotypic)', '0 (Immunoglobulin Idiotypes)']",,,,,,,,,,,,
3325658,NLM,MEDLINE,19880325,20061115,0485-1439 (Print) 0485-1439 (Linking),28,9,1987 Sep,[Cyclosporine in allogeneic bone marrow transplantation in children].,1576-82,"['Kojima, S', 'Fukuda, M', 'Horibe, K', 'Matsuyama, K']","['Kojima S', 'Fukuda M', 'Horibe K', 'Matsuyama K']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Acute Disease', 'Anemia, Aplastic/therapy', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Cyclosporins/*therapeutic use', 'Female', 'Graft vs Host Disease/*prevention & control', 'Humans', 'Leukemia/therapy', 'Male']",,1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Sep;28(9):1576-82.,,,,['0 (Cyclosporins)'],,,,,,,,,,,,
3325657,NLM,MEDLINE,19880325,20061115,0485-1439 (Print) 0485-1439 (Linking),28,9,1987 Sep,[Immuno-phenotype of hairy cell leukemia in the Japanese].,1511-6,"['Katayama, I', 'Wajima, O', 'Yoshida, K', 'Honma, T', 'Mochino, T', 'Hirashima, K', 'Miura, A', 'Niikawa, K', 'Furusawa, S', 'Abe, T']","['Katayama I', 'Wajima O', 'Yoshida K', 'Honma T', 'Mochino T', 'Hirashima K', 'Miura A', 'Niikawa K', 'Furusawa S', 'Abe T', 'et al.']",['jpn'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Adult', 'Aged', 'Antibodies, Monoclonal/immunology', 'Female', 'Humans', 'Immunoenzyme Techniques', 'Japan', 'Leukemia, Hairy Cell/*immunology', 'Male', 'Middle Aged', 'Phenotype']",,1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1987 Sep;28(9):1511-6.,,,,"['0 (Antibodies, Monoclonal)']",,,,,,,,,,,,
3325522,NLM,MEDLINE,19880328,20190919,0048-0444 (Print) 0048-0444 (Linking),54,6,1987 Dec,[Problems in anti-leukemic drugs chemotherapy of childhood acute leukemia].,573-80,"['Ueda, Y']",['Ueda Y'],['jpn'],"['English Abstract', 'Journal Article', 'Review']",Japan,Nihon Ika Daigaku Zasshi,Nihon Ika Daigaku zasshi,7505726,IM,"['Acute Disease', 'Age Factors', 'Antineoplastic Agents/*administration & dosage', 'Humans', 'Leukemia/*drug therapy', 'Prognosis', 'Quality of Life', 'Remission Induction']",65,1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Nihon Ika Daigaku Zasshi. 1987 Dec;54(6):573-80. doi: 10.1272/jnms1923.54.573.,,,,['0 (Antineoplastic Agents)'],['10.1272/jnms1923.54.573 [doi]'],,,,,,,,,,,
3325268,NLM,MEDLINE,19880407,20061115,0204-3564 (Print) 0204-3564 (Linking),9,6,1987,[Antilymphocytic humoral autoimmune response of mice with developing Rauscher leukemia directed against group-specific retrovirus antigens].,48-51,"['Ter-Grigorov, V S', 'Graf, I A', 'Pivnik, A V', 'Etkin, A F', 'Moskovkina, O Ia']","['Ter-Grigorov VS', 'Graf IA', 'Pivnik AV', 'Etkin AF', 'Moskovkina OIa']",['rus'],"['English Abstract', 'Journal Article']",Ukraine,Eksp Onkol,Eksperimental'naia onkologiia,8406659,IM,"['Animals', 'Antibodies, Viral/analysis', 'Antibody Formation', 'Antigens, Surface/immunology', 'Antigens, Viral/*immunology', 'Autoantibodies/*analysis', 'Binding, Competitive', 'Fluorescent Antibody Technique', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Rauscher Virus/*immunology', 'T-Lymphocytes/*immunology']",,1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",ppublish,Eksp Onkol. 1987;9(6):48-51.,"The methods of indirect membrane immunofluorescence, immunoenzyme analysis, complement-dependent cytotoxicity and sorption tests were used to demonstrate two types of humoral antilymphocytic autoimmune reactions at the early stage of the Rauscher leukemia in mice of BALB/c, BDF1 and C57B1/6 strains. The first one is directed against group-specific oncoviral antigens (p30, p15) expressed on the lymphocyte membrane of both intact mice and of those with leukemia, the second one is virus-independent and possesses strain specificity.",,,"['0 (Antibodies, Viral)', '0 (Antigens, Surface)', '0 (Antigens, Viral)', '0 (Autoantibodies)']",,,,"Antilimfotsitarnye gumoral'nye autoimmunnye reaktsii myshei s razvivaiushchimsia leikozom Raushera, napravlennye protiv gruppospetsificheskikh antigenov retrovirusov.",,,,,,,,
3325236,NLM,MEDLINE,19880401,20091111,0907-8916 (Print) 0907-8916 (Linking),34,6,1987 Dec,Septicaemia in childhood malignancy.,320-2,"['Perrild, B', 'Friis, H']","['Perrild B', 'Friis H']",['eng'],['Journal Article'],Denmark,Dan Med Bull,Danish medical bulletin,0066040,IM,"['Adolescent', 'Agranulocytosis/complications', 'Child', 'Child, Preschool', 'Escherichia coli Infections/etiology', 'Female', 'Humans', 'Immunosuppressive Agents/adverse effects', 'Infant', 'Leukemia/*complications/drug therapy', 'Lymphoma/*complications/drug therapy', 'Male', 'Opportunistic Infections/*etiology', 'Sepsis/*etiology/mortality', 'Staphylococcal Infections/etiology']",,1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Dan Med Bull. 1987 Dec;34(6):320-2.,"In this study, 44 episodes of septicaemia occurred in 32 children over a 5 1/2 year period. The mean number of hospitalised children with malignant diseases was 88 a year. During the study period, there were a total of 1,818 admissions. The mean age was 7 years (2 months to 16 years) with a male predilection (66%). The majority of septicaemias occurred in children with leukaemia (52%), but their mortality was lower than in children with malignant lymphoma. No children with solid tumours died in connection with septicaemia. All deaths in connection with septicaemia occurred in children with less than 0.5 X 10(9) granulocytes per litre, and none of these children were in remission. Twelve different bacterial species were isolated with Staphylococcus aureus, coagulase negative staphylococci, and Escherichia coli, accounting for 75% of these episodes. The mortality was 14%, most often (67%) in connection with septicaemia caused by Gram-negative organisms. It is emphasised that the type of infecting microorganisms and the outcome of the infections must be recorded regularly and the antibiotic regimen adjusted accordingly.","['Paediatric Department, Rigshospitalet, Copenhagen, Denmark.']",,['0 (Immunosuppressive Agents)'],,,,,,,,,,,,
3325158,NLM,MEDLINE,19880401,20161123,0008-4182 (Print) 0008-4182 (Linking),22,7,1987 Dec,Orbital lymphoproliferative and inflammatory lesions.,362-73,"['White, V', 'Rootman, J', 'Quenville, N', 'Worth, A', 'Robertson, W']","['White V', 'Rootman J', 'Quenville N', 'Worth A', 'Robertson W']",['eng'],['Journal Article'],England,Can J Ophthalmol,Canadian journal of ophthalmology. Journal canadien d'ophtalmologie,0045312,IM,"['Adult', 'Aged', 'Diagnosis, Differential', 'Female', 'Hodgkin Disease/pathology', 'Humans', 'Hyperplasia', 'Inflammation/diagnosis', 'Leukemia, Lymphocytic, Chronic, B-Cell/pathology', 'Lymphoid Tissue/pathology', 'Lymphoproliferative Disorders/diagnostic imaging/*pathology', 'Male', 'Middle Aged', 'Orbital Diseases/diagnostic imaging/*pathology', 'Tomography, X-Ray Computed']",,1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Can J Ophthalmol. 1987 Dec;22(7):362-73.,"We reviewed the records and biopsy specimens of 38 patients with clinically similar orbital lymphoproliferative and low-grade inflammatory lesions referred to one ophthalmologist at the University of British Columbia between 1977 and 1984. Twenty-six patients had lymphoproliferative lesions, the main feature being a densely cellular population of small lymphocytes. This group was further divided into reactive lymphoid hyperplasia, malignant lymphoma, Hodgkin's disease and atypical lymphoid hyperplasia. Symptoms and signs were similar within the subgroups. The mean length of follow-up was 3.7 years. Of the 26 patients 14 had extraorbital lymphoproliferative disease, 9 had orbital recurrences and 2 died of widespread disease. Twelve patients had inflammatory lesions with distinctly different histologic features from those of the lymphoproliferative group. Symptoms and signs were similar to those in the latter group. The mean length of follow-up was 2.1 years. Four of the 12 had orbital recurrences; none had extraorbital disease or died of their disease. We feel that orbital lymphoproliferative lesions can easily be separated from clinically similar low-grade inflammatory lesions histologically and that they should be staged and followed like small lymphocytic lymphomas. Guidelines are given for handling these specimens in the laboratory.","['Department of Pathology, Vancouver General Hospital, BC.']",,,,,,,,,,,,,,
3325011,NLM,MEDLINE,19880323,20191210,0004-993X (Print) 0004-993X (Linking),23,6,1987 Dec,Recent advances in bone marrow transplantation.,315-22,"['Vowels, M R']",['Vowels MR'],['eng'],"['Journal Article', 'Review']",Australia,Aust Paediatr J,Australian paediatric journal,15420340R,IM,"['Anemia, Aplastic/therapy', '*Bone Marrow Transplantation', 'Graft vs Host Disease/etiology', 'Humans', 'Infections/etiology', 'Leukemia/therapy', 'Neuroblastoma/therapy', 'Postoperative Complications', 'Recurrence', 'Thalassemia/therapy', 'Tissue Donors', 'Transplantation Immunology']",71,1987/12/01 00:00,1987/12/01 00:01,['1987/12/01 00:00'],"['1987/12/01 00:00 [pubmed]', '1987/12/01 00:01 [medline]', '1987/12/01 00:00 [entrez]']",ppublish,Aust Paediatr J. 1987 Dec;23(6):315-22. doi: 10.1111/j.1440-1754.1987.tb00282.x.,"The major barriers to successful bone marrow transplantation (BMT) are graft-versus-host disease (GVHD), infection, rejection and relapse. The combination of methotrexate and cyclosporin is significantly better than either alone in controlling GVHD. Removal of T cells from donor marrow prior to BMT has also decreased GVHD significantly, but a 5-10% rejection rate occurs and an increased relapse risk is being reported by some centres. Cyclosporin is valuable in the treatment of both acute and chronic GVHD. Interstitial pneumonitis due to cytomegalovirus (CMV) is a major cause of mortality. Protection can be provided with CMV hyperimmune globulin and also by the avoidance of blood donors who are CMV antibody positive. Fractionated total body irradiation is associated with decreased toxicity compared to single dose. There is a 75% 4 year disease-free survival following BMT for acute non-lymphoblastic leukemia in first remission, a 50% survival for acute lymphoblastic leukemia in second remission and an 88% survival for chronic myeloid leukemia in chronic phase. BMT for beta-thalassaemia major in young patients without organ dysfunction cures 80% of patients and identical results are achieved for severe aplastic anaemia when BMT is undertaken prior to blood product transfusion.","[""Prince of Wales Children's Hospital, Randwick, New South Wales, Australia.""]",,,['10.1111/j.1440-1754.1987.tb00282.x [doi]'],,,,,,,,,,,
