PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,OID,OTO,OT,GN
6939448,NLM,MEDLINE,19810720,20190515,0007-0920 (Print) 0007-0920 (Linking),43,3,1981 Mar,"Childhood leukaemia in North West England 1954-1977: epidemiology, incidence and survival.",324-9,"The annual incidence of leukaemia among children aged up to 14 years as estimated by the Manchester Children's Tumour Registry has been analysed for the 24 years 1954-1977. A significant increase in acute lymphoid leukaemia (ALL) was found, while the incidence of acute myeloid leukaemia (AML) remained constant. Other types of leukaemia were too rare to be analysed separately. The increase in ALL was concentrated among boys in the 1--5-year age group. Analysis with respect to initial white-cell count showed the increase to be more pronounced in children with initial white cell counts of 1-5 x 10(4)/microliters. The proportion of cases presenting in Lancashire compared with Greater Manchester did not change during the study period. The distribution of cases with respect to social class and socio-economic group of the parents also remained constant. Due to advances in the treatment of childhood ALL survival improved considerably during the study period and no increase in mortality was seen.","['Birch, J M', 'Swindell, R', 'Marsden, H B', 'Morris Jones, P H']","['Birch JM', 'Swindell R', 'Marsden HB', 'Morris Jones PH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,,IM,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'England', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*epidemiology', 'Leukemia, Lymphoid/blood/epidemiology/mortality', 'Leukocyte Count', 'Male', 'Retrospective Studies', 'Sex Factors']",PMC2010613,1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['10.1038/bjc.1981.51 [doi]'],ppublish,Br J Cancer. 1981 Mar;43(3):324-9. doi: 10.1038/bjc.1981.51.,,,,,,
6939447,NLM,MEDLINE,19810720,20190515,0007-0920 (Print) 0007-0920 (Linking),43,3,1981 Mar,Terminal deoxynucleotidyl transferase in human lymphomas: possible existence of forms with high and low molecular weights.,312-9,"Optimized methods for extraction and enzyme assay in crude tissue preparations were used to determine the amounts of terminal deoxnucleotidyl transferase (TdT) in malignant lymphomas. The TdT concentration was increased only in lymphoblastic lymphomas (LL) and was as high in these tumours as in the white blood cells from untreated patients with acute lymphoblastic leukaemia (ALL). The enzymes extracted from such lymphomas and from the leukaemic lymphoblasts had the same properties. Moreover, forms of TdT with low and high mol. wt were found in the LL tumours, similar to other reports of TdT-positive leukaemias. The overall study points at some basic biochemical identity of certain lymphoblastic malignancies, irrespective of whether the transformed cells are in solid tumours or are disseminated in the blood.","['Vezzoni, P', 'Campagnari, F', 'Di Fronzo, G', 'Clerici, L']","['Vezzoni P', 'Campagnari F', 'Di Fronzo G', 'Clerici L']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Adolescent', 'Adult', 'Aged', 'Centrifugation, Density Gradient', 'Child', 'Child, Preschool', 'DNA Nucleotidylexotransferase/*analysis', 'DNA Nucleotidyltransferases/*analysis', 'Female', 'Humans', 'Leukemia, Lymphoid/enzymology', 'Lymphoma/*enzymology', 'Lymphoma, Non-Hodgkin/enzymology', 'Male', 'Middle Aged', 'Molecular Weight']",PMC2010599,1981/03/01 00:00,1981/03/01 00:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '1981/03/01 00:01 [medline]', '1981/03/01 00:00 [entrez]']",['10.1038/bjc.1981.49 [doi]'],ppublish,Br J Cancer. 1981 Mar;43(3):312-9. doi: 10.1038/bjc.1981.49.,,,,,,
6939434,NLM,MEDLINE,19810623,20190623,0006-2952 (Print) 0006-2952 (Linking),30,3,1981 Feb 1,Biochemical factors affecting the tightness of 5-fluorodeoxyuridylate binding to human thymidylate synthetase.,247-57,,"['Lockshin, A', 'Danenberg, P V']","['Lockshin A', 'Danenberg PV']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Deoxyuracil Nucleotides)', '134-46-3 (Fluorodeoxyuridylate)', 'EC 2.1.1.- (Methyltransferases)', 'EC 2.1.1.45 (Thymidylate Synthase)']",IM,"['Binding Sites', 'Chemical Phenomena', 'Chemistry', 'Deoxyuracil Nucleotides/*metabolism', 'Fluorodeoxyuridylate/*metabolism', 'Humans', 'In Vitro Techniques', 'Kinetics', 'Leukemia, Lymphoid/enzymology', 'Methyltransferases/*metabolism', 'Models, Biological', 'Protein Binding', 'Thymidylate Synthase/*metabolism']",,1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']","['0006-2952(81)90085-X [pii]', '10.1016/0006-2952(81)90085-x [doi]']",ppublish,Biochem Pharmacol. 1981 Feb 1;30(3):247-57. doi: 10.1016/0006-2952(81)90085-x.,"['1 RO1 CA27327/CA/NCI NIH HHS/United States', 'CA-14089/CA/NCI NIH HHS/United States']",,,,,
6939411,NLM,MEDLINE,19810613,20190629,0003-9861 (Print) 0003-9861 (Linking),206,2,1981 Feb,On the mechanisms of erythroid cell sensitivity to chloramphenicol: studies on mitochondria isolated from erythroid and myeloid tumors.,242-8,,"['Abou-Khalil, S', 'Salem, Z', 'Abou-Khalil, W H', 'Yunis, A A']","['Abou-Khalil S', 'Salem Z', 'Abou-Khalil WH', 'Yunis AA']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Biochem Biophys,Archives of biochemistry and biophysics,0372430,"['0 (Amino Acids)', '66974FR9Q1 (Chloramphenicol)']",IM,"['Amino Acids/metabolism', 'Animals', 'Cell Division/drug effects', 'Cells, Cultured', 'Chloramphenicol/*pharmacology', 'Dose-Response Relationship, Drug', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Leukemia, Experimental/metabolism', 'Leukemia, Myeloid/*metabolism', 'Male', 'Mice', 'Mitochondria/*drug effects/metabolism', 'Oxidative Phosphorylation/drug effects', 'Protein Biosynthesis', 'Rats']",,1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']","['0003-9861(81)90088-6 [pii]', '10.1016/0003-9861(81)90088-6 [doi]']",ppublish,Arch Biochem Biophys. 1981 Feb;206(2):242-8. doi: 10.1016/0003-9861(81)90088-6.,['AM 26218/AM/NIADDK NIH HHS/United States'],,,,,
6939358,NLM,MEDLINE,19810613,20071115,0302-4342 (Print) 0302-4342 (Linking),13,12,1980 Dec,[Giant cell pneumonia. Complication in one case of acute lymphoblastic leukemia (author's transl)].,1101-4,"A patient suffering from acute lymphoblastic leukemia, in complete remission for two years, is treated for haematologic relapse with V.P.D. and C.O.A.P. consolidation. After this treatment, develops tiredness, sleepiness, a slight fever and cough, dying some days after, of interstitial pneumonia. Post-mortem anatomic-pathological studies, show giant cell multinucleated pneumopathia, with intranuclear inclusions bodies, that in ultrastructural level resembles paramyxovirus. When this complication took place, the patient had a brother with measles, but he hasn't, the typical symptomatology of said virus disease. According to Siegel, authors point out the frequency of death due to interstitial pneumonia as a complication caused by measles in immunodeficient patients, remarking the importance of an immediate diagnosis and its' prophylaxis.","['Gonzalez Aza, C', 'Leon Lara, A', 'Rafel, E', 'Armenta Gil, D', 'Salgado, W', 'Guzman Zamudio, J L']","['Gonzalez Aza C', 'Leon Lara A', 'Rafel E', 'Armenta Gil D', 'Salgado W', 'Guzman Zamudio JL']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Spain,An Esp Pediatr,Anales espanoles de pediatria,0420463,"['0 (Antineoplastic Agents)', '0 (Immunosuppressive Agents)']",IM,"['Antineoplastic Agents/adverse effects/therapeutic use', 'Female', 'Humans', 'Immunosuppressive Agents/adverse effects/therapeutic use', 'Infant', 'Leukemia, Lymphoid/*complications/drug therapy', 'Measles/*complications', 'Pneumonia, Viral/*etiology']",,1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,An Esp Pediatr. 1980 Dec;13(12):1101-4.,,Neumonia de celulas gigantes. Complicacion de un caso de leucosis linfoblastica aguda.,,,,
6939330,NLM,MEDLINE,19810613,20190627,0002-9394 (Print) 0002-9394 (Linking),91,4,1981 Apr,Corneal toxicity with systemic cytarabine.,500-4,"Three patients with leukemia developed corneal toxicity while receiving high doses (3 g/m2) of systemic cytarabine. Symptoms began five to seven days after initiation of treatment with high doses of systemic cytarabine and consisted of ocular pain, tearing, foreign-body sensation, photophobia, and blurred vision. All three patients developed bilateral conjunctival hyperemia and fine corneal epithelial opacities and refractile microcysts that were more numerous in the central than in the peripheral cornea. The symptoms disappeared without treatment in approximately one week. The corneal changes we observed with high doses of systemic cytarabine resembled descriptions of corneal toxicity from topical cytarabine and were probably secondary to inhibition of DNA synthesis in the corneal epithelium.","['Hopen, G', 'Mondino, B J', 'Johnson, B L', 'Chervenick, P A']","['Hopen G', 'Mondino BJ', 'Johnson BL', 'Chervenick PA']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Ophthalmol,American journal of ophthalmology,0370500,['04079A1RDZ (Cytarabine)'],IM,"['Corneal Diseases/*chemically induced/pathology', 'Corneal Opacity/chemically induced', 'Cytarabine/*adverse effects', 'Female', 'Humans', 'Leukemia, Myeloid/*complications/drug therapy', 'Male', 'Middle Aged']",,1981/04/01 00:00,1981/04/01 00:01,['1981/04/01 00:00'],"['1981/04/01 00:00 [pubmed]', '1981/04/01 00:01 [medline]', '1981/04/01 00:00 [entrez]']","['0002-9394(81)90240-3 [pii]', '10.1016/0002-9394(81)90240-3 [doi]']",ppublish,Am J Ophthalmol. 1981 Apr;91(4):500-4. doi: 10.1016/0002-9394(81)90240-3.,,,,,,
6939329,NLM,MEDLINE,19810613,20190511,0002-9173 (Print) 0002-9173 (Linking),75,4,1981 Apr,In-vitro differentiation of myeloblasts from a patient with acute myeloid leukemia.,617-21,"Although acute myeloid leukemia is characterized by defective granulocytic maturation in vivo, blasts from an occasional patient will differentiate in vitro. Leukemic myeloblasts from a 49-year-old woman who had acute myeloid leukemia were suspended in liquid culture containing McCoy's 5A medium with 15% fetal calf serum. Conditioned medium, prepared from normal human peripheral blood adherent cells incubated with 2-mercaptoethanol in McCoy's 5A medium with 15% fetal calf serum, was added to the cultures at a concentration of 40%. Within six days, cellular differentiation to polymorphonuclear granulocytes was observed. These cells were capable of phagocytosis. Attempts to induce differentiation of leukemic cells in liquid culture will, it is hoped, contribute to the understanding of defective cellular maturation in this disease.","['Kirshner, J', 'Goldberg, J']","['Kirshner J', 'Goldberg J']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Cells, Cultured', 'Female', 'Granulocytes/physiology', '*Hematopoiesis', 'Humans', 'Leukemia, Myeloid, Acute/*blood/drug therapy', 'Leukocyte Count', 'Leukocytes/*physiology/ultrastructure', 'Middle Aged']",,1981/04/01 00:00,1981/04/01 00:01,['1981/04/01 00:00'],"['1981/04/01 00:00 [pubmed]', '1981/04/01 00:01 [medline]', '1981/04/01 00:00 [entrez]']",['10.1093/ajcp/75.4.617 [doi]'],ppublish,Am J Clin Pathol. 1981 Apr;75(4):617-21. doi: 10.1093/ajcp/75.4.617.,,,,,,
6939328,NLM,MEDLINE,19810613,20190511,0002-9173 (Print) 0002-9173 (Linking),75,4,1981 Apr,"Morphology and cytochemistry of ""microgranular"" acute promyelocytic leukemia (FAB M3m).",548-52,"Three cases of a newly recognized ""microgranular"" variant of acute promyelocytic leukemia (FAB M3) are described. This poor-prognosis variant is easily confused with myelomonocytic (M4) or monocytic (M5) leukemia, but is associated with disseminated intravascular coagulation as is ""hypergranular"" M3. Such patients may be inappropriately treated unless the promyelocytic nature of the leukemia is recognized.","['Savage, R A', 'Hoffman, G C', 'Lucas, F V Jr']","['Savage RA', 'Hoffman GC', 'Lucas FV Jr']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adolescent', 'Adult', 'Blood Cells/enzymology/pathology', 'Bone Marrow/pathology', 'Disseminated Intravascular Coagulation/complications', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/blood/complications/*pathology', 'Middle Aged', 'Spleen/pathology']",,1981/04/01 00:00,2001/03/28 10:01,['1981/04/01 00:00'],"['1981/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1981/04/01 00:00 [entrez]']",['10.1093/ajcp/75.4.548 [doi]'],ppublish,Am J Clin Pathol. 1981 Apr;75(4):548-52. doi: 10.1093/ajcp/75.4.548.,,,,,,
6939269,NLM,MEDLINE,19810625,20191031,0065-1435 (Print) 0065-1435 (Linking),7,,1981,Prospective neuropathologic study on the occurrence of Wernicke's encephalopathy in patients with tumours of the lymphoid-hemopoietic systems.,356-8,"In this prospective neuropathologic study, Wernicke's encephalopathy appears to be the most frequent intracranial complication of treated patients with tumours of the lymphoid-hemopoietic systems. The highest incidence of this encephalopathy is found in elderly and in patients with a prolonged survival. The chronic form of Wernicke's encephalopathy is most commonly observed.","['De Reuck, J', 'Sieben, G', 'De Coster, W', 'Vander Eecken, H']","['De Reuck J', 'Sieben G', 'De Coster W', 'Vander Eecken H']",['eng'],['Journal Article'],Germany,Acta Neuropathol Suppl,Acta neuropathologica. Supplementum,0370342,,IM,"['Adolescent', 'Adult', 'Aged', 'Brain/pathology', 'Cerebral Hemorrhage/pathology', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia, Myeloid/*pathology', 'Lymphoma/*pathology', 'Middle Aged', 'Wernicke Encephalopathy/*pathology']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/978-3-642-81553-9_101 [doi]'],ppublish,Acta Neuropathol Suppl. 1981;7:356-8. doi: 10.1007/978-3-642-81553-9_101.,,,,,,
6939268,NLM,MEDLINE,19810625,20191031,0065-1435 (Print) 0065-1435 (Linking),7,,1981,Iatrogenic damage to the central nervous system in malignant systemic disease.,352-5,"The various ways in which the central nervous system can become affected in the course of malignant systemic disease are discussed, with particular emphasis on iatrogenic damage. Examples of presumably iatrogenic damage are presented. It is suggested that minor alterations may be much more frequent than is assumed at present. The need for systematic investigation is stressed--with a view on assessing the frequency of such damage and on unravelling the aetiology and pathogenesis of the lesions.","['Ebels, E J']",['Ebels EJ'],['eng'],"['Case Reports', 'Journal Article']",Germany,Acta Neuropathol Suppl,Acta neuropathologica. Supplementum,0370342,,IM,"['Adult', 'Brain/pathology', 'Calcinosis/*pathology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Iatrogenic Disease', 'Leukemia, Lymphoid/*pathology/therapy', 'Leukemia, Myeloid/*pathology/therapy', 'Leukoencephalopathy, Progressive Multifocal/*pathology', 'Male', 'Meningeal Neoplasms/pathology', 'Spinal Cord/pathology']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/978-3-642-81553-9_100 [doi]'],ppublish,Acta Neuropathol Suppl. 1981;7:352-5. doi: 10.1007/978-3-642-81553-9_100.,,,,,,
6939215,NLM,MEDLINE,19810625,20191031,0065-1435 (Print) 0065-1435 (Linking),7,,1981,Cytological aspects of acute lymphoblastic leukemia (ALL) in children.,116-8,,"['Stam, F C']",['Stam FC'],['eng'],['Journal Article'],Germany,Acta Neuropathol Suppl,Acta neuropathologica. Supplementum,0370342,,IM,"['Child', 'Diagnosis, Differential', 'Humans', 'Leukemia, Lymphoid/drug therapy/*ultrastructure', 'Lymphocytes/ultrastructure', 'Meningeal Neoplasms/*ultrastructure']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/978-3-642-81553-9_35 [doi]'],ppublish,Acta Neuropathol Suppl. 1981;7:116-8. doi: 10.1007/978-3-642-81553-9_35.,,,,,,
6939205,NLM,MEDLINE,19810623,20110728,0001-5806 (Print) 0001-5806 (Linking),43,3,1980 Jun,[Cytogenetic study of 122 patients with chronic myelogenous leukemia (author's transl)].,536-49,,"['Oguma, N']",['Oguma N'],['jpn'],"['English Abstract', 'Journal Article']",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,,IM,"['Adult', 'Chromosome Aberrations', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged']",,1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1980 Jun;43(3):536-49.,,,,,,
6939185,NLM,MEDLINE,19810625,20041117,0044-409X (Print) 0044-409X (Linking),106,5,1981,[Interthoracoscapular amputation (forequarter amputation)].,340-3,,"['Sperling, P', 'Roding, H']","['Sperling P', 'Roding H']",['ger'],"['Case Reports', 'Journal Article']",Germany,Zentralbl Chir,Zentralblatt fur Chirurgie,0413645,,IM,"['Adult', 'Aged', '*Amputation/*methods', 'Arm/*surgery', 'Axilla', 'Breast Neoplasms/surgery', 'Female', 'Humans', 'Leukemia, Myeloid/surgery', 'Lymphatic Metastasis', 'Male', 'Melanoma/surgery', 'Middle Aged', 'Sarcoma/radiotherapy', 'Shoulder/*surgery', 'Thoracic Neoplasms/surgery']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Zentralbl Chir. 1981;106(5):340-3.,,Amputatio interthoracoscapularis (Forequarter amputation).,,,,
6939170,NLM,MEDLINE,19810623,20071115,0043-3284 (Print) 0043-3284 (Linking),76,7,1980 Jul,Tuberculosis and acute leukemia.,159-62,,"['de la Pena, E L', 'de la Pena, C A', 'Anido, V']","['de la Pena EL', 'de la Pena CA', 'Anido V']",['eng'],"['Case Reports', 'Journal Article']",United States,W V Med J,The West Virginia medical journal,0413777,,IM,"['Female', 'Humans', 'Leukemia, Myeloid, Acute/blood/*complications/diagnosis', 'Male', 'Middle Aged', 'Monocytes', 'Tuberculosis/blood/*complications/diagnosis', 'Tuberculosis, Pulmonary/complications', 'Tuberculosis, Urogenital/complications']",,1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,W V Med J. 1980 Jul;76(7):159-62.,,,,,,
6939141,NLM,MEDLINE,19810623,20191031,0098-0366 (Print) 0098-0366 (Linking),7,1,1981 Jan,Isolation and characterization of murine erythroleukemia cell variants nonresponsive to hemin for the expression of globin genes.,11-26,"Thirty-four cloned lines of mouse erythroleukemia (MEL) cells that showed impairment in hemoglobin sy nthesis induced by hemin were isolated from line 745. Among these lines, 75% showed a reduced or nil response to induction by dimethyl sulfoxide (DMSO) and/or hypoxanthine. Four of these clones (three lines nonresponsive to hemin and one not responsive to either hemin or DMSO) were further characterized for the amount of globin mRNA accumulated in the cytoplasm and for the rate of globin synthesis upon exposure to hemin or DMSO. None of the four were induced by hemin to accumulate globin mRNA and all had a reduced rate of globin synthesis by comparison with control line 745. Two of the four lines had a high uninduced level of cytoplasmic globin mRNA not matched by a corresponding rate of globin synthesis, suggesting that they may accumulate defective globin mRNAs.","['Manduca, P']",['Manduca P'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Somatic Cell Genet,Somatic cell genetics,7506054,"['0 (RNA, Messenger)', '743LRP9S7N (Hemin)', '9004-22-2 (Globins)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Line', 'Clone Cells/metabolism', 'Dimethyl Sulfoxide/pharmacology', '*Genes', 'Globins/*genetics', 'Hemin/pharmacology', 'Leukemia, Erythroblastic, Acute/*genetics', 'Leukemia, Experimental/*genetics', 'Mice', '*Protein Biosynthesis', 'RNA, Messenger/biosynthesis']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF01544745 [doi]'],ppublish,Somatic Cell Genet. 1981 Jan;7(1):11-26. doi: 10.1007/BF01544745.,,,,,,
6939139,NLM,MEDLINE,19810613,20041117,0036-4355 (Print) 0036-4355 (Linking),25,6,1980,[Pathologic rupture of the spleen in a case of acute myelomonocytic leukemia].,1112,,"['Gastearena Erice, J', 'Orue Lecue, M T', 'Perez Equiza, E', 'Chavarri, R']","['Gastearena Erice J', 'Orue Lecue MT', 'Perez Equiza E', 'Chavarri R']",['spa'],"['Case Reports', 'Letter']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Aged', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Rupture, Spontaneous', 'Splenic Rupture/*etiology']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1980;25(6):1112.,,Ruptura patologica de bazo en un caso de leucemia aguda mielomonocitica.,,,,
6939138,NLM,MEDLINE,19810613,20061115,0036-4355 (Print) 0036-4355 (Linking),25,6,1980,[Peculiar ultrastructure in an acute monocytic leukaemia (author's transl)].,1105-10,,"['Martin Noya, A', 'Digon, J S', 'Parody, R']","['Martin Noya A', 'Digon JS', 'Parody R']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Aged', 'Humans', 'Leukemia, Monocytic, Acute/*ultrastructure', 'Male', 'Microscopy, Electron']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1980;25(6):1105-10.,,Aspecto ultraestructural peculiar de una leucemia monocitica aguda.,,,,
6939137,NLM,MEDLINE,19810613,20061115,0036-4355 (Print) 0036-4355 (Linking),25,6,1980,[Chronic myelogenous leukaemia with specific skin manifestations (author's transl)].,1099-1104,,"['Diaz-Perez, J L', 'Moreno Benito, J', 'Florian, F', 'Chunchurreta, R M']","['Diaz-Perez JL', 'Moreno Benito J', 'Florian F', 'Chunchurreta RM']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Humans', 'Leukemia, Myeloid/*pathology', 'Male', 'Middle Aged', 'Skin Neoplasms/*secondary']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1980;25(6):1099-1104.,,Leucemia mieloide cronica con lesiones multiples cutaneas especificas.,,,,
6939136,NLM,MEDLINE,19810613,20071115,0036-4355 (Print) 0036-4355 (Linking),25,6,1980,[Haemostasis in untreated acute leukaemia (author's transl)].,1022-33,,"['Kordich, L', 'Sassetti, B', 'Lago, O']","['Kordich L', 'Sassetti B', 'Lago O']",['spa'],"['Comparative Study', 'English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['*Hemostasis', 'Humans', 'Leukemia/*blood', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid/blood']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1980;25(6):1022-33.,,Hemostasia en leucemias agudas no tratadas.,,,,
6939132,NLM,MEDLINE,19810625,20190702,0038-4348 (Print) 0038-4348 (Linking),74,3,1981 Mar,Prolonged WBC depression after cimetidine in a patient with chronic myelogenous leukemia.,353-5,A patient with chronic myelogenous leukemia was treated with cimetidine and antibiotics after pneumonectomy. The prolonged suppression of the WBC that followed may be related to cimetidine administration in a stressed patient. Such patients should have periodic white blood cell counts because substituting the cyanoguanidine group for the thiourea group may not eliminate the hematologic effects of the H2 receptor antagonists.,"['Linhardt, G E Jr', 'Gadacz, T R']","['Linhardt GE Jr', 'Gadacz TR']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,South Med J,Southern medical journal,0404522,"['0 (Guanidines)', '80061L1WGD (Cimetidine)']",IM,"['Aged', 'Cimetidine/*adverse effects', 'Guanidines/*adverse effects', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Leukocyte Count', 'Leukopenia/*chemically induced', 'Male']",,1981/03/01 00:00,2001/03/28 10:01,['1981/03/01 00:00'],"['1981/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1981/03/01 00:00 [entrez]']",['10.1097/00007611-198103000-00027 [doi]'],ppublish,South Med J. 1981 Mar;74(3):353-5. doi: 10.1097/00007611-198103000-00027.,,,,,,
6939123,NLM,MEDLINE,19810613,20061115,0250-5525 (Print) 0250-5525 (Linking),Suppl 11,,1980,[Mortality trends in Switzerland. 3. Tumors: 1921-1978].,1-18,"Analysis of mortality from malignant tumours in Switzerland over the period 1921-1978 shows a considerable rise in the death rates from lung cancer and from malignant melanoma, and also an increase in death rates from cancers of pancreas, kidney, bladder, prostate, ovary and breast. Mortality from cancer of stomach (in the past the biggest killer of all cancers) has, on the other hand, drastically decreased; a decline is also observed in death rates from cancers of buccal cavity, oesophagus, gallbladder, rectum, larynx, uterus, and thyroid , as well as from malignant neoplasms of bone and skin (other than melanoma). Moreover, leukaemia mortality in children has markedly declined over the past twenty years. A number of factors are discussed which may have influenced the trend in death rates from the above malignant tumours, namely better diagnoses, changes in classification, new treatments, introduction of screening, and changes in population exposure to risk factors (tobacco, alcohol, irradiations, etc,).","['Guberan, E']",['Guberan E'],['fre'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Schweiz Med Wochenschr Suppl,Schweizerische medizinische Wochenschrift. Supplementum,7708316,"['0 (Cholesterol, Dietary)']",IM,"['Adolescent', 'Adult', 'Aged', 'Alcohol Drinking', 'Cholesterol, Dietary', 'Female', 'Humans', 'Male', 'Middle Aged', 'Neoplasms/*mortality', 'Smoking', 'Switzerland']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr Suppl. 1980;Suppl 11:1-18.,,Tendances de la mortalite en Suisse. 3. Tumeurs: 1921-1978.,,,,
