PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SB,MH,OTO,OT,GR,MID,RF,CIN,SI,CN,IR,FIR,EIN,CI,CON,TT,COIS,RIN,OID,GN
19607938,NLM,MEDLINE,20100421,20100215,1542-7714 (Electronic) 1542-3565 (Linking),8,2,2010 Feb,Image of the month. Acute lymphoblastic leukemia presenting as painless jaundice.,e15-6,10.1016/j.cgh.2009.07.007 [doi],,"['Potosky, Darryn', 'Twaddell, William', 'Khurana, Sandeep']","['Potosky D', 'Twaddell W', 'Khurana S']","['Division of Gastroenterology and Hepatology, Department of Medicine, University of Maryland School of Medicine, Baltimore, Maryland, USA.']",['eng'],"['Case Reports', 'Journal Article']",20090714,United States,Clin Gastroenterol Hepatol,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,101160775,,2009/07/18 09:00,2010/04/22 06:00,['2009/07/18 09:00'],"['2009/06/11 00:00 [received]', '2009/07/04 00:00 [revised]', '2009/07/07 00:00 [accepted]', '2009/07/18 09:00 [entrez]', '2009/07/18 09:00 [pubmed]', '2010/04/22 06:00 [medline]']","['S1542-3565(09)00655-7 [pii]', '10.1016/j.cgh.2009.07.007 [doi]']",ppublish,Clin Gastroenterol Hepatol. 2010 Feb;8(2):e15-6. doi: 10.1016/j.cgh.2009.07.007. Epub 2009 Jul 14.,,IM,"['Female', 'Histocytochemistry', 'Humans', 'Immunohistochemistry', 'Jaundice/*etiology', 'Liver/*pathology', 'Microscopy', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/*diagnosis']",,,,,,,,,,,,,,,,,,
19606951,NLM,MEDLINE,20100303,20090727,1369-6998 (Print) 1369-6998 (Linking),12,2,2009 Jun,"Costs of haematological adverse events in chronic myeloid leukaemia patients: a retrospective cost analysis of the treatment of anaemia, neutropenia and thrombocytopenia in patients with chronic myeloid leukaemia.",164-9,10.3111/13696990903149479 [doi],"OBJECTIVE: The study aim was to assess costs of haematological adverse events (AE) related to pharmacologic treatment of chronic myeloid leukaemia (CML) patients. METHODS: This was a retrospective cohort study using patient records of adults (n=91) with chronic-phase CML treated at a single university medical centre in the Netherlands. Occurrence of grade III/IV haematological AEs, defined according to CTC-NCI guidelines criteria, was derived from the laboratory registration. Mean age at time of diagnosis was 48 years; 56% male. A healthcare perspective was adopted. Cost estimates are presented in 2006 euros. RESULTS: Average cost of an episode of anaemia was 1,572 euro, of thrombocytopenia 2,955 euro, and of neutropenia 1,152 euro. The mean cost of febrile neutropenia amounted to 2,462 euro. CONCLUSIONS: Treatment costs of AEs varied considerably. However, apart from the cost of anaemia, the results presented seem to be in line with information from the international literature. The key limitations of the study concern the relatively small cohort of patients at a single centre, the retrospective design and the various treatment regimens of CML during the follow-up.","['Bouwmans, Clazien', 'Janssen, Jeroen', 'Huijgens, Peter', 'Uyl-de Groot, Carin']","['Bouwmans C', 'Janssen J', 'Huijgens P', 'Uyl-de Groot C']","['Erasmus MC, Institute for Medical Technology Assessment, Rotterdam, The Netherlands. c.bouwmans-frijters@erasmusmc.nl']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,J Med Econ,Journal of medical economics,9892255,,2009/07/18 09:00,2010/03/04 06:00,['2009/07/18 09:00'],"['2009/07/18 09:00 [entrez]', '2009/07/18 09:00 [pubmed]', '2010/03/04 06:00 [medline]']",['10.3111/13696990903149479 [doi]'],ppublish,J Med Econ. 2009 Jun;12(2):164-9. doi: 10.3111/13696990903149479.,"['0 (Anti-Infective Agents)', '0 (Antifibrinolytic Agents)']",IM,"['Adolescent', 'Adult', 'Aged', 'Anemia/chemically induced/*economics/epidemiology', 'Anti-Infective Agents/adverse effects', 'Antifibrinolytic Agents/adverse effects', 'Cohort Studies', 'Costs and Cost Analysis', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Male', 'Medical Audit', 'Middle Aged', 'Netherlands/epidemiology', 'Neutropenia/chemically induced/*economics/epidemiology', 'Retrospective Studies', 'Thrombocytopenia/chemically induced/*economics/epidemiology', 'Young Adult']",,,,,,,,,,,,,,,,,,
19606865,NLM,MEDLINE,20091103,20090902,1520-5118 (Electronic) 0021-8561 (Linking),57,15,2009 Aug 12,A glycoprotein extracted from golden oyster mushroom Pleurotus citrinopileatus exhibiting growth inhibitory effect against U937 leukemia cells.,6706-11,10.1021/jf901284s [doi],"Mushrooms have become popular sources of natural antitumor, antiviral, antibacterial, antioxidative, and immunomodulatory agents. Golden oyster mushroom, Pleurotus citrinopileatus , is a common mushroom in oriental countries for human consumption. We isolated a functional protein (PCP-3A) from the fresh fruiting body of this mushroom. The isolation procedure included ammonium sulfate fractionation, DEAE-Sepharose CL-6B ion exchange chromatography, and Sephacryl S-300 gel filtration. Electrophoresis demonstrated that PCP-3A is a glycoprotein composed of 10 subunits, each approximately 45.0 kDa in size. In vitro cell study showed that PCP-3A at a concentration about 12.5 microg/mL inhibits the proliferation of human tumor cell line U937, in a time- dependent manner (24, 48, and 72 h). It failed to agglutinate rabbit and human erythrocytes, excluding its possibility from being a lectin. Flow cytometry revealed that it is capable of inhibiting the growth of U937 cells by way of S phase arrest and apoptotic induction. We suggest that PCP-3A is worth further investigating for antitumor use.","['Chen, Jian-Nan', 'Wang, Yuh-Tai', 'Wu, James Swi-Bea']","['Chen JN', 'Wang YT', 'Wu JS']","['Graduate Institute of Food Science and Technology, National Taiwan University, Taipei 106, Taiwan.']",['eng'],['Journal Article'],,United States,J Agric Food Chem,Journal of agricultural and food chemistry,0374755,,2009/07/18 09:00,2009/11/05 06:00,['2009/07/18 09:00'],"['2009/07/18 09:00 [entrez]', '2009/07/18 09:00 [pubmed]', '2009/11/05 06:00 [medline]']",['10.1021/jf901284s [doi]'],ppublish,J Agric Food Chem. 2009 Aug 12;57(15):6706-11. doi: 10.1021/jf901284s.,"['0 (Fungal Proteins)', '0 (Glycoproteins)']",IM,"['Animals', 'Cell Line, Tumor', 'Cell Proliferation/*drug effects', 'Erythrocytes/drug effects/immunology', 'Fruiting Bodies, Fungal/chemistry', 'Fungal Proteins/chemistry/isolation & purification/*pharmacology', 'Glycoproteins/chemistry/isolation & purification/*pharmacology', 'Hemagglutination/drug effects', 'Humans', 'Leukemia/drug therapy/immunology/*physiopathology', 'Pleurotus/*chemistry', 'Rabbits']",,,,,,,,,,,,,,,,,,
19606517,NLM,MEDLINE,20090914,20090716,0192-415X (Print) 0192-415X (Linking),37,3,2009,"Potential anti-cancer activities of Furanodiene, a Sesquiterpene from Curcuma wenyujin.",589-96,,"Furanodiene is a sesquiterpene extracted from the essential oil of the rhizome of Curcuma wenyujin Y.H. Chen et C. Ling (Wen Ezhu). Furanodiene is the primary component in Wen Ezhu's essential oil, accounting for more than 20% by weight. In vitro, MTT assay was used to compare the inhibitory effects of furanodiene and Wen Ezhu's essential oil on 11 human cancer cell lines. Compared to the essential oil, furanodiene showed stronger growth inhibitions on Hela, Hep-2, HL-60, PC3, SGC-7901 and HT-1080 cells with IC(50) between 0.6-4.8 microg/ml. In vivo, furanodiene was also found to exhibit inhibitory effects on the growth of uterine cervical (U14) and sarcoma 180 (Sl80) tumors in mice. Our data suggests that furanodiene, an active component from the essential oil of Wen Ezhu, possesses efficacy against uterine cervical cancer.","['Sun, Xiu-Yan', 'Zheng, Yan-Ping', 'Lin, Dong-Hai', 'Zhang, Hui', 'Zhao, Feng', 'Yuan, Chun-Su']","['Sun XY', 'Zheng YP', 'Lin DH', 'Zhang H', 'Zhao F', 'Yuan CS']","['School of Pharmaceutical Science, Yantai University, Yantai 264005, China.']",['eng'],['Journal Article'],,Singapore,Am J Chin Med,The American journal of Chinese medicine,7901431,,2009/07/17 09:00,2009/09/15 06:00,['2009/07/17 09:00'],"['2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2009/09/15 06:00 [medline]']","['S0192415X09007077 [pii]', '10.1142/S0192415X09007077 [doi]']",ppublish,Am J Chin Med. 2009;37(3):589-96. doi: 10.1142/S0192415X09007077.,"['0 (Drugs, Chinese Herbal)', '0 (Furans)', '0 (Heterocyclic Compounds, 2-Ring)', '0 (Sesquiterpenes)', '19912-61-9 (furanodiene)']",IM,"['Adenocarcinoma', 'Animals', 'Breast Neoplasms', 'Carcinoma, Hepatocellular', 'Cell Division/drug effects', '*Curcuma', 'Drugs, Chinese Herbal/*pharmacology', 'Female', 'Fibrosarcoma/drug therapy/pathology', 'Furans/*pharmacology', 'HL-60 Cells', 'HeLa Cells', 'Heterocyclic Compounds, 2-Ring/*pharmacology', 'Humans', 'K562 Cells', 'Leukemia', 'Liver Neoplasms', 'Lung Neoplasms', 'Mice', 'Mice, Inbred Strains', 'Organ Size', 'Sesquiterpenes/*pharmacology', 'Spleen/pathology', 'Thymus Gland/pathology', 'Uterine Cervical Neoplasms/*drug therapy/pathology', 'Xenograft Model Antitumor Assays']",,,,,,,,,,,,,,,,,,
19606377,NLM,MEDLINE,20110218,20211203,1029-2403 (Electronic) 1026-8022 (Linking),50,9,2009 Sep,The negative prognostic significance of positive direct antiglobulin test in Chinese patients with chronic lymphocytic leukemia.,1482-7,10.1080/10428190903111930 [doi],"Chronic lymphocytic leukemia (CLL) is the most common type of adult leukemia in the Western countries, however, it is infrequent in the Eastern countries. The direct antiglobulin test (DAT) may be positive at some time during the disease course of CLL. The aim of this study was to explore the prognostic impact of positive DAT at diagnosis in Chinese patients with CLL. In 123 Chinese patients with CLL, 34 (27.6%) patients presented with a positive DAT at diagnosis. However only 12 patients (9.8%) with a positive DAT developed autoimmune hemolytic anemia (AHA). According to the correlation analysis, advanced Binet stage (p < 0.001), high level of serum lactate dehydrogenase (LDH) (p = 0.003) and beta(2)-microglobulin (beta(2)-M) (p = 0.011), unmutated immunoglobulin heavy chain variable gene status (p < 0.001), positive ZAP-70 (p = 0.012), and trisomy 12 cytogenetic aberration (p = 0.004) emerged as factors significantly related to the occurrence of DAT-positive. Patients with positive DAT had significantly shorter survival times than patients with negative DAT (p = 0.009). Five-year OS percentages of DAT-positivity and DAT-negative patients were 72.8% and 97.5%, respectively. It was showed that DAT status might be applied for the assessment of prognosis in patients with CLL.","['Xu, Wei', 'Li, Jian-Yong', 'Miao, Kou-Rong', 'Cao, Xin', 'Liu, Qiong', 'Fan, Lei', 'Qiao, Chun', 'Wu, Yu-Jie']","['Xu W', 'Li JY', 'Miao KR', 'Cao X', 'Liu Q', 'Fan L', 'Qiao C', 'Wu YJ']","['Department of Hematology, the First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital, Nanjing, 210029, China.']",['eng'],"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,2009/07/17 09:00,2011/02/22 06:00,['2009/07/17 09:00'],"['2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2011/02/22 06:00 [medline]']","['913171375 [pii]', '10.1080/10428190903111930 [doi]']",ppublish,Leuk Lymphoma. 2009 Sep;50(9):1482-7. doi: 10.1080/10428190903111930.,"['0 (Biomarkers, Tumor)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Asians', 'Biomarkers, Tumor/analysis', '*Coombs Test/methods', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*diagnosis/immunology/mortality', 'Male', 'Middle Aged', 'Predictive Value of Tests', 'Prognosis', 'Retrospective Studies', 'Survival Analysis']",,,,,,,,,,,,,,,,,,
19606213,NLM,MEDLINE,20091110,20211020,1932-6203 (Electronic) 1932-6203 (Linking),4,7,2009 Jul 16,Synergy between proteasome inhibitors and imatinib mesylate in chronic myeloid leukemia.,e6257,10.1371/journal.pone.0006257 [doi],"BACKGROUND: Resistance developed by leukemic cells, unsatisfactory efficacy on patients with chronic myeloid leukemia (CML) at accelerated and blastic phases, and potential cardiotoxity, have been limitations for imatinib mesylate (IM) in treating CML. Whether low dose IM in combination with agents of distinct but related mechanisms could be one of the strategies to overcome these concerns warrants careful investigation. METHODS AND FINDINGS: We tested the therapeutic efficacies as well as adverse effects of low dose IM in combination with proteasome inhibitor, Bortezomib (BOR) or proteasome inhibitor I (PSI), in two CML murine models, and investigated possible mechanisms of action on CML cells. Our results demonstrated that low dose IM in combination with BOR exerted satisfactory efficacy in prolongation of life span and inhibition of tumor growth in mice, and did not cause cardiotoxicity or body weight loss. Consistently, BOR and PSI enhanced IM-induced inhibition of long-term clonogenic activity and short-term cell growth of CML stem/progenitor cells, and potentiated IM-caused inhibition of proliferation and induction of apoptosis of BCR-ABL+ cells. IM/BOR and IM/PSI inhibited Bcl-2, increased cytoplasmic cytochrome C, and activated caspases. While exerting suppressive effects on BCR-ABL, E2F1, and beta-catenin, IM/BOR and IM/PSI inhibited proteasomal degradation of protein phosphatase 2A (PP2A), leading to a re-activation of this important negative regulator of BCR-ABL. In addition, both combination therapties inhibited Bruton's tyrosine kinase via suppression of NFkappaB. CONCLUSION: These data suggest that combined use of tyrosine kinase inhibitor and proteasome inhibitor might be helpful for optimizing CML treatment.","['Hu, Zheng', 'Pan, Xiao-Fen', 'Wu, Fu-Qun', 'Ma, Li-Yuan', 'Liu, Da-Peng', 'Liu, Ying', 'Feng, Ting-Ting', 'Meng, Fan-Yi', 'Liu, Xiao-Li', 'Jiang, Qian-Li', 'Chen, Xiao-Qin', 'Liu, Jing-Lei', 'Liu, Ping', 'Chen, Zhu', 'Chen, Sai-Juan', 'Zhou, Guang-Biao']","['Hu Z', 'Pan XF', 'Wu FQ', 'Ma LY', 'Liu DP', 'Liu Y', 'Feng TT', 'Meng FY', 'Liu XL', 'Jiang QL', 'Chen XQ', 'Liu JL', 'Liu P', 'Chen Z', 'Chen SJ', 'Zhou GB']","['Laboratory of Molecular Target-Based Therapy for Cancer, Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences, Guangzhou, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090716,United States,PLoS One,PloS one,101285081,PMC2705802,2009/07/17 09:00,2009/11/11 06:00,['2009/07/17 09:00'],"['2009/01/25 00:00 [received]', '2009/06/05 00:00 [accepted]', '2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2009/11/11 06:00 [medline]']",['10.1371/journal.pone.0006257 [doi]'],epublish,PLoS One. 2009 Jul 16;4(7):e6257. doi: 10.1371/journal.pone.0006257.,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protease Inhibitors)', '0 (Proteasome Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Blotting, Western', 'Cell Line, Tumor', 'Drug Synergism', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Mice', 'Mice, Inbred BALB C', 'Mice, Nude', 'Piperazines/*therapeutic use', 'Protease Inhibitors/*therapeutic use', '*Proteasome Inhibitors', 'Pyrimidines/*therapeutic use', 'RNA Interference']",,,,,,,,,,,,,,,,,,
19606074,NLM,MEDLINE,20090928,20171116,1543-0790 (Print) 1543-0790 (Linking),7,6,2009 Jun,Pentostatin treatment combinations in chronic lymphocytic leukemia.,386-92,,"There have been great strides in the treatment of chronic lymphocytic leukemia (CLL). Fludarabine is the most widely studied of the purine analogs that have significantly impacted the treatment of this disease. Pentostatin has also been shown to have clinical activity in CLL and appears to be less toxic than its fludarabine counterpart, which may offer some important advantages. This text will review the rationale and more recent clinical trial results for pentostatin-based combinations in both the upfront and relapsed treatment setting for patients with CLL. Attention to the frequency of response, ability to achieve minimal residual disease, and toxicity from these approaches will be emphasized. Where feasible, we will also compare the impact of pentostatin-based treatments to fludarabine-based combinations in CLL. In addition, this review will update the latest relevant work presented at the recent 2008 American Society of Hematology meeting and future directions in regard to the continued study of pentostatin-based combinations will be discussed.","['Lamanna, Nicole', 'Kay, Neil E']","['Lamanna N', 'Kay NE']","['Division of Hematology, Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York, NY, USA.']",['eng'],"['Journal Article', 'Review']",,United States,Clin Adv Hematol Oncol,Clinical advances in hematology & oncology : H&O,101167661,,2009/07/17 09:00,2009/09/29 06:00,['2009/07/17 09:00'],"['2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2009/09/29 06:00 [medline]']",,ppublish,Clin Adv Hematol Oncol. 2009 Jun;7(6):386-92.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antibodies, Neoplasm)', '395575MZO7 (Pentostatin)', '3A189DH42V (Alemtuzumab)', '4F4X42SYQ6 (Rituximab)', '8N3DW7272P (Cyclophosphamide)', 'BZ114NVM5P (Mitoxantrone)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Age Factors', 'Aged', 'Alemtuzumab', 'Antibodies, Monoclonal/administration & dosage', 'Antibodies, Monoclonal, Humanized', 'Antibodies, Monoclonal, Murine-Derived', 'Antibodies, Neoplasm/administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Clinical Trials, Phase II as Topic/statistics & numerical data', 'Cyclophosphamide/administration & dosage', 'Drug Administration Schedule', 'Forecasting', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Middle Aged', 'Mitoxantrone/administration & dosage', 'Multicenter Studies as Topic', 'Pentostatin/administration & dosage/adverse effects', 'Rituximab', 'Salvage Therapy', 'Treatment Outcome', 'Vidarabine/administration & dosage/analogs & derivatives']",,,,,26,,,,,,,,,,,,,
19606019,NLM,MEDLINE,20091016,20191210,1473-5741 (Electronic) 0959-4973 (Linking),20,8,2009 Sep,Melanoma-specific ferrocene esters of the fungal cytotoxin illudin M.,676-81,10.1097/CAD.0b013e32832e056a [doi],"The unfavorable therapeutic index of the fungal cytotoxin illudin M was to be improved by covalent attachment of the redox modulator and phenyl isobiostere ferrocene. Esters of illudin M with ferrocenoic and 1,1'-ferrocenedioic acid were prepared, structurally characterised (X-ray), and tested for cytotoxicity [MTT assay, 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide], induction of apoptosis (TUNEL assay; western blotting for caspase-9), and tumor specificity in cells of human HL-60 leukemia, human 518A2 melanoma, and in nonmalignant human foreskin fibroblasts. The diester of illudin M with 1,1'-ferrocenedioic acid was distinctly more antiproliferative and apoptosis inducing in the melanoma cells [half maximal inhibitory concentration, IC50(48 h) = 0.4+/-0.1 micromol/l] than in the HL-60 cells [IC50(48 h) = 3.0+/-1.6 micromol/l] and in the nonmalignant fibroblasts [IC50(48 h) = 3.7+/-1.9 micromol/l]. This corresponds to a doubling of the therapeutic index with respect to illudin M. The monoester of illudin M with ferrocenoic acid was nine times less efficacious in the cancer cells, when compared with the diester. In conclusion, the ferrocene diminishes the general toxicity of the illudin M moiety and increases its cell line specificity. The bis(illudinyl M) 1,1'-ferrocenedioate presumably operates by a synergistic, two-pronged attack on its molecular targets.","['Knauer, Sebastian', 'Biersack, Bernhard', 'Zoldakova, Miroslava', 'Effenberger, Katharina', 'Milius, Wolfgang', 'Schobert, Rainer']","['Knauer S', 'Biersack B', 'Zoldakova M', 'Effenberger K', 'Milius W', 'Schobert R']","['Chemisches Laboratorium der Universitat Bayreuth, Bayreuth D-95447, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Anticancer Drugs,Anti-cancer drugs,9100823,,2009/07/17 09:00,2009/10/17 06:00,['2009/07/17 09:00'],"['2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2009/10/17 06:00 [medline]']",['10.1097/CAD.0b013e32832e056a [doi]'],ppublish,Anticancer Drugs. 2009 Sep;20(8):676-81. doi: 10.1097/CAD.0b013e32832e056a.,"['0 (Antibiotics, Antineoplastic)', '0 (Esters)', '0 (Ferrous Compounds)', '0 (Metallocenes)', '0 (Polycyclic Sesquiterpenes)', '0 (Sesquiterpenes)', '0ASO6A4L61 (illudin M)', 'EC 3.4.22.- (Caspase 9)', 'GAN16C9B8O (Glutathione)', 'U96PKG90JQ (ferrocene)']",IM,"['Antibiotics, Antineoplastic/chemistry/pharmacology', 'Apoptosis/drug effects', 'Caspase 9/metabolism', 'Cell Line, Tumor', 'Cell Survival/drug effects', 'Esters/chemistry', 'Ferrous Compounds/*chemistry', 'Fibroblasts/cytology/drug effects', 'Glutathione/chemistry', 'Humans', 'Melanoma/*drug therapy', 'Metallocenes', 'Molecular Conformation', 'Molecular Structure', 'Polycyclic Sesquiterpenes', 'Sesquiterpenes/chemistry/pharmacology', 'Spectrophotometry, Ultraviolet', 'Substrate Specificity']",,,,,,,,,,,,,,,,,,
19606007,NLM,MEDLINE,20091027,20131121,1535-1815 (Electronic) 0749-5161 (Linking),25,7,2009 Jul,Therapeutic application of helium-oxygen and mechanical ventilation in a child with acute myelogenous leukemia and airway obstruction.,469-72,10.1097/PEC.0b013e3181aba7de [doi],"Children with mediastinal masses can have a variety of disparate clinical presentations, including chest pain, superior vena cava syndrome, Horner syndrome, pericardial effusion, and cardiac tamponade. Nonetheless, respiratory symptoms are present in 80% of children at presentation and are the most common presenting symptom. Management of respiratory failure due to mediastinal masses is challenging because intubation-with the accompanying sedation and paralysis-is likely to worsen the respiratory failure. For this reason, any new treatments for this condition are welcome. We report the case of an intubated 2-year-old girl with respiratory failure from a mediastinal mass who was successfully weaned from mechanical ventilatory support through the use of a 70%:30% helium-oxygen admixture (heliox). We then review mediastinal masses and the biophysical rationale for use of heliox in airway narrowing.","['Bigham, Michael T', 'Nowak, Jeffrey E', 'Wheeler, Derek S']","['Bigham MT', 'Nowak JE', 'Wheeler DS']","[""Division of Critical Care Medicine, Akron Children's Hospital, Akron, OH 44308, USA. michael.bigham@chmca.org""]",['eng'],"['Case Reports', 'Journal Article']",,United States,Pediatr Emerg Care,Pediatric emergency care,8507560,,2009/07/17 09:00,2009/10/29 06:00,['2009/07/17 09:00'],"['2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2009/10/29 06:00 [medline]']","['10.1097/PEC.0b013e3181aba7de [doi]', '00006565-200907000-00012 [pii]']",ppublish,Pediatr Emerg Care. 2009 Jul;25(7):469-72. doi: 10.1097/PEC.0b013e3181aba7de.,"['206GF3GB41 (Helium)', 'S88TT14065 (Oxygen)']",IM,"['Administration, Inhalation', 'Airway Obstruction/diagnosis/etiology/*therapy', 'Bronchoscopy', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Helium/*administration & dosage', 'Humans', 'Leukemia, Myeloid, Acute/*complications/diagnosis/therapy', 'Oxygen/*administration & dosage', 'Respiration, Artificial/*adverse effects', 'Tomography, X-Ray Computed']",,,,,,,,,,,,,,,,,,
19605917,NLM,MEDLINE,20100205,20131121,1544-2217 (Electronic) 0300-9858 (Linking),46,6,2009 Nov,Diagnostic exercise: sudden death in a mouse with experimentally induced acute myeloid leukemia.,1301-5,10.1354/vp.09-VP-0016-R-DEX [doi],"A 22-week-old female 129/SvEv mouse suddenly died in the context of an experiment aimed at defining the efficacy of valproic acid in a mouse model of PML/RARalpha-induced acute myeloid leukemia. Histologic analysis confirmed the mouse as being affected by a progressive myeloid leukemia, with infiltration of the spleen, bone marrow, liver, kidneys, and lungs. Variably sized intravascular clumps (emboli) of dense basophilic material admixed with necrotic or lytic neoplastic cells were also observed in multiple organs. A positive reaction to Feulgen and Hoechst stain confirmed the high content in chromatin of these basophilic emboli. Cleaved caspase-3 activity was demonstrated both in the leukemic infiltrates and among the intravascular necrotic or lytic neoplastic cells accompanying the basophilic emboli. A diagnosis of acute tumor lysis syndrome related to therapy-induced massive necrosis and/or apoptosis of leukemic cells with subsequent dissemination of emboli of chromatin was proposed.","['Radaelli, E', 'Marchesi, F', 'Patton, V', 'Scanziani, E']","['Radaelli E', 'Marchesi F', 'Patton V', 'Scanziani E']","['Department of Veterinary Pathology, Hygiene and Public Health, Section of Veterinary and Avian Pathology, Faculty of Veterinary Medicine, Universita degli Studi di Milano, Milano, Italy. enrico.radaelli@unimi.it']",['eng'],['Journal Article'],20090715,United States,Vet Pathol,Veterinary pathology,0312020,,2009/07/17 09:00,2010/02/06 06:00,['2009/07/17 09:00'],"['2009/07/17 09:00 [entrez]', '2009/07/17 09:00 [pubmed]', '2010/02/06 06:00 [medline]']","['vp.09-VP-0016-R-DEX [pii]', '10.1354/vp.09-VP-0016-R-DEX [doi]']",ppublish,Vet Pathol. 2009 Nov;46(6):1301-5. doi: 10.1354/vp.09-VP-0016-R-DEX. Epub 2009 Jul 15.,"['0 (Antineoplastic Agents)', '614OI1Z5WI (Valproic Acid)']",IM,"['Acute Disease', 'Animals', 'Antineoplastic Agents/pharmacology', 'Death, Sudden', 'Disease Models, Animal', 'Female', 'Leukemia, Myeloid, Acute/*chemically induced', 'Lung/pathology', 'Mice', 'Tumor Lysis Syndrome/pathology/*veterinary', 'Valproic Acid/pharmacology']",,,,,,,,,,,,,,,,,,
