PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,AB,PMC,OID
4514973,NLM,MEDLINE,19730904,20071115,0007-1285 (Print) 0007-1285 (Linking),46,545,1973 May,Specially designed table for the uniform irradiation of the central nervous system.,394-6,"['Shaw, A', 'Kirk, J', 'Kelman, A W']","['Shaw A', 'Kirk J', 'Kelman AW']",['eng'],['Journal Article'],England,Br J Radiol,The British journal of radiology,0373125,,IM,"['*Central Nervous System', 'Humans', 'Leukemia, Lymphoid/radiotherapy', 'Methods', 'Posture', 'Radiation Protection', 'Radiotherapy/*instrumentation']",1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",ppublish,Br J Radiol. 1973 May;46(545):394-6. doi: 10.1259/0007-1285-46-545-394.,,['10.1259/0007-1285-46-545-394 [doi]'],,,
4514972,NLM,MEDLINE,19730904,20190704,0007-1048 (Print) 0007-1048 (Linking),24,4,1973 Apr,Copper and zinc concentration in the plasma of leukaemic children.,525-31,"['Delves, H T', 'Alexander, F W', 'Lay, H']","['Delves HT', 'Alexander FW', 'Lay H']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['789U1901C5 (Copper)', 'E7WED276I5 (Mercaptopurine)', 'J41CSQ7QDS (Zinc)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Child', 'Child, Preschool', 'Copper/*blood', 'Hepatomegaly/complications', 'Humans', 'Infant', 'Leukemia, Lymphoid/*blood/complications/drug therapy', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Remission, Spontaneous', 'Spectrophotometry, Atomic', 'Splenomegaly/complications', 'Zinc/*blood']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Br J Haematol. 1973 Apr;24(4):525-31. doi: 10.1111/j.1365-2141.1973.tb01678.x.,,['10.1111/j.1365-2141.1973.tb01678.x [doi]'],,,
4514957,NLM,MEDLINE,19730904,20190908,0090-0028 (Print) 0090-0028 (Linking),243,128,1973 Jun 13,Action of 5-bromodeoxyuridine on the induction of haemoglobin synthesis in mouse leukaemia cells resistant to 5-BUdR.,203-5,"['Ostertag, W', 'Crozier, T', 'Kluge, N', 'Melderis, H', 'Dube, S']","['Ostertag W', 'Crozier T', 'Kluge N', 'Melderis H', 'Dube S']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,"['0 (Carbon Isotopes)', '0 (DNA, Neoplasm)', '0 (Hemoglobins)', '10028-17-8 (Tritium)', 'EC 2.7.1.21 (Thymidine Kinase)', 'G34N38R2N1 (Bromodeoxyuridine)', 'GMW67QNF9C (Leucine)', 'VC2W18DGKR (Thymidine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Bromodeoxyuridine/*pharmacology', 'Carbon Isotopes', 'Cell Line', 'Clone Cells', 'DNA, Neoplasm/biosynthesis', 'Dimethyl Sulfoxide/pharmacology', '*Drug Resistance', 'Hemoglobins/*biosynthesis', 'Leucine/metabolism', 'Leukemia, Experimental/*metabolism', 'Mice', 'Thymidine/metabolism', 'Thymidine Kinase/metabolism', 'Tritium']",1973/06/13 00:00,1973/06/13 00:01,['1973/06/13 00:00'],"['1973/06/13 00:00 [pubmed]', '1973/06/13 00:01 [medline]', '1973/06/13 00:00 [entrez]']",ppublish,Nat New Biol. 1973 Jun 13;243(128):203-5. doi: 10.1038/newbio243203a0.,,['10.1038/newbio243203a0 [doi]'],,,
4514956,NLM,MEDLINE,19730904,20190501,0021-9746 (Print) 0021-9746 (Linking),26,5,1973 May,The early diagnosis of monocytic leukemia based on a study of 91 cases.,389-90,"['Humble, J G']",['Humble JG'],['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,,IM,"['Adult', 'Age Factors', 'Aged', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Male', 'Middle Aged', 'Sex Factors', 'Time Factors']",1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1973 May;26(5):389-90. doi: 10.1136/jcp.26.5.389-c.,,['10.1136/jcp.26.5.389-c [doi]'],,PMC477759,
4514920,NLM,MEDLINE,19730831,20091111,0033-4979 (Print) 0033-4979 (Linking),8,1,1972 Mar,[Lysozyme in acute leukemias. Preliminary findings].,151-4,"['Liso, V', 'Troccoli, G', 'Schena, F P', 'Tedesco, F']","['Liso V', 'Troccoli G', 'Schena FP', 'Tedesco F']",['ita'],['Journal Article'],Italy,Quad Sclavo Diagn,Quaderni Sclavo di diagnostica clinica e di laboratorio,0040616,['EC 3.2.1.17 (Muramidase)'],IM,"['Clinical Enzyme Tests', 'Humans', 'Leukemia, Lymphoid/*enzymology', 'Leukemia, Monocytic, Acute/*enzymology', 'Leukemia, Myeloid, Acute/*enzymology', 'Muramidase/*metabolism']",1972/03/01 00:00,1972/03/01 00:01,['1972/03/01 00:00'],"['1972/03/01 00:00 [pubmed]', '1972/03/01 00:01 [medline]', '1972/03/01 00:00 [entrez]']",ppublish,Quad Sclavo Diagn. 1972 Mar;8(1):151-4.,Il lisozima nelle leucemie acute. Risultati preliminari.,,,,
4514919,NLM,MEDLINE,19730831,20091111,0033-4979 (Print) 0033-4979 (Linking),8,1,1972 Mar,[Cellular esterases in the diagnosis of acute leukemias].,146-50,"['Liso, V', 'Troccoli, G']","['Liso V', 'Troccoli G']",['ita'],['Journal Article'],Italy,Quad Sclavo Diagn,Quaderni Sclavo di diagnostica clinica e di laboratorio,0040616,['EC 3.1.- (Esterases)'],IM,"['Diagnosis, Differential', 'Esterases/*metabolism', 'Humans', 'Leukemia, Lymphoid/*diagnosis/enzymology', 'Leukemia, Myeloid, Acute/*diagnosis/enzymology', 'Methods']",1972/03/01 00:00,1972/03/01 00:01,['1972/03/01 00:00'],"['1972/03/01 00:00 [pubmed]', '1972/03/01 00:01 [medline]', '1972/03/01 00:00 [entrez]']",ppublish,Quad Sclavo Diagn. 1972 Mar;8(1):146-50.,Le esterasi cellulari nella diagnostica delle leucemie acute.,,,,
4514841,NLM,MEDLINE,19730831,20190501,0007-1161 (Print) 0007-1161 (Linking),57,5,1973 May,Iris involvement in leukaemia.,320-4,"['Johnston, S S', 'Ware, C F']","['Johnston SS', 'Ware CF']",['eng'],['Journal Article'],England,Br J Ophthalmol,The British journal of ophthalmology,0421041,"['7C0697DR9I (Atropine)', '9PHQ9Y1OLM (Prednisolone)', 'O3FX965V0I (Acetazolamide)', 'X4W7ZR7023 (Methylprednisolone)']",IM,"['Acetazolamide/therapeutic use', 'Atropine/therapeutic use', 'Cerebrospinal Fluid', 'Child, Preschool', 'Eye Diseases/complications/drug therapy', 'Female', 'Humans', 'Intraocular Pressure', '*Iris', 'Leukemia, Lymphoid/*complications', 'Leukocyte Count', 'Methylprednisolone/therapeutic use', 'Prednisolone/therapeutic use', 'Uveitis/complications']",1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",ppublish,Br J Ophthalmol. 1973 May;57(5):320-4. doi: 10.1136/bjo.57.5.320.,,['10.1136/bjo.57.5.320 [doi]'],,PMC1214893,
4514789,NLM,MEDLINE,19730828,20190501,0007-1447 (Print) 0007-1447 (Linking),2,5866,1973 Jun 9,Splenectomy and leucopheresis in chronic granulocytic leukaemia.,610,"['Spiers, A S', 'Tattersall, M H', 'Galton, D A']","['Spiers AS', 'Tattersall MH', 'Galton DA']",['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,['0 (Anti-Bacterial Agents)'],IM,"['Agranulocytosis/therapy', 'Anti-Bacterial Agents/therapeutic use', 'Blood Transfusion', 'Humans', 'Leukemia, Myeloid/*therapy', '*Leukocyte Transfusion', 'Neutrophils', '*Splenectomy', 'Transplantation, Homologous']",1973/06/09 00:00,1973/06/09 00:01,['1973/06/09 00:00'],"['1973/06/09 00:00 [pubmed]', '1973/06/09 00:01 [medline]', '1973/06/09 00:00 [entrez]']",ppublish,Br Med J. 1973 Jun 9;2(5866):610. doi: 10.1136/bmj.2.5866.610.,,['10.1136/bmj.2.5866.610 [doi]'],,PMC1592202,
4514642,NLM,MEDLINE,19730828,20190704,0007-1048 (Print) 0007-1048 (Linking),24,2,1973 Feb,Relationship between blast-cell morphology and occurrence of a syndrome of disseminated intravascular coagulation.,255-9,"['Sultan, C', 'Heilmann-Gouault, M', 'Tulliez, M']","['Sultan C', 'Heilmann-Gouault M', 'Tulliez M']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['9001-24-5 (Factor V)', '9001-32-5 (Fibrinogen)']",IM,"['Adolescent', 'Adult', 'Aged', 'Blood Coagulation Tests', 'Bone Marrow Cells', 'Disseminated Intravascular Coagulation/*etiology', 'Factor V/analysis', 'Female', 'Fibrinogen/metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*complications/pathology', 'Leukocyte Count', '*Lymphocytes', 'Male', 'Middle Aged']",1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",ppublish,Br J Haematol. 1973 Feb;24(2):255-9. doi: 10.1111/j.1365-2141.1973.tb05746.x.,,['10.1111/j.1365-2141.1973.tb05746.x [doi]'],,,
4514641,NLM,MEDLINE,19730828,20171116,0007-1048 (Print) 0007-1048 (Linking),24,2,1973 Feb,"Changing cytokinetic patterns of human leukaemic lymphoblasts during the course of the disease, studied in vivo.",231-44,"['Karle, H', 'Ernst, P', 'Killmann, S A']","['Karle H', 'Ernst P', 'Killmann SA']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['10028-17-8 (Tritium)', '9007-49-2 (DNA)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'VC2W18DGKR (Thymidine)']",IM,"['Adult', 'Bone Marrow Cells', 'DNA/biosynthesis', 'Humans', 'Leukemia, Lymphoid/drug therapy/*pathology', 'Leukocyte Count', '*Lymphocytes/metabolism', 'Male', 'Mercaptopurine/therapeutic use', 'Mitosis', 'Prednisone/therapeutic use', 'Spectrophotometry', 'Thymidine', 'Time Factors', 'Tritium']",1973/02/01 00:00,1973/02/01 00:01,['1973/02/01 00:00'],"['1973/02/01 00:00 [pubmed]', '1973/02/01 00:01 [medline]', '1973/02/01 00:00 [entrez]']",ppublish,Br J Haematol. 1973 Feb;24(2):231-44.,,,,,
4514638,NLM,MEDLINE,19730823,20071115,0035-2640 (Print) 0035-2640 (Linking),23,3,1973 Jan 11,[Life expectancy in acute leukemias].,237-41,"['Weil, M', 'Jacquillat, C']","['Weil M', 'Jacquillat C']",['fre'],['Journal Article'],France,Rev Prat,La Revue du praticien,0404334,,,"['Acute Disease', 'Age Factors', 'Leukemia/drug therapy', 'Leukemia, Lymphoid', 'Leukemia, Myeloid, Acute', 'Life Expectancy', 'Time Factors']",1973/01/11 00:00,1973/01/11 00:01,['1973/01/11 00:00'],"['1973/01/11 00:00 [pubmed]', '1973/01/11 00:01 [medline]', '1973/01/11 00:00 [entrez]']",ppublish,Rev Prat. 1973 Jan 11;23(3):237-41.,Esperance de vie des leucemies aigues.,,,,
4514637,NLM,MEDLINE,19730823,20071115,0035-2640 (Print) 0035-2640 (Linking),23,3,1973 Jan 11,[Leukemic meningitis].,185-93,"['Schaison, G', 'Jacquillat, C', 'Tanzer, J', 'Weil, M', 'Gemon, M F']","['Schaison G', 'Jacquillat C', 'Tanzer J', 'Weil M', 'Gemon MF']",['fre'],['Journal Article'],France,Rev Prat,La Revue du praticien,0404334,,,"['Central Nervous System Diseases', 'Leukemia, Myeloid, Acute/diagnosis/drug therapy/physiopathology', 'Meninges', 'Neoplasms', 'Recurrence']",1973/01/11 00:00,1973/01/11 00:01,['1973/01/11 00:00'],"['1973/01/11 00:00 [pubmed]', '1973/01/11 00:01 [medline]', '1973/01/11 00:00 [entrez]']",ppublish,Rev Prat. 1973 Jan 11;23(3):185-93.,Les meningites leucemiques.,,,,
4514636,NLM,MEDLINE,19730823,20071115,0035-2640 (Print) 0035-2640 (Linking),23,3,1973 Jan 11,[Acute leukemia: syndrome or disease?].,177-82,"['Varet, B', 'Flandrin, G']","['Varet B', 'Flandrin G']",['fre'],['Journal Article'],France,Rev Prat,La Revue du praticien,0404334,,,"['Acute Disease', 'Diagnosis, Differential', 'Leukemia/physiopathology', 'Leukemia, Lymphoid/diagnosis', 'Lymphoma, Non-Hodgkin/diagnosis', 'Spinal Cord Neoplasms/diagnosis']",1973/01/11 00:00,1973/01/11 00:01,['1973/01/11 00:00'],"['1973/01/11 00:00 [pubmed]', '1973/01/11 00:01 [medline]', '1973/01/11 00:00 [entrez]']",ppublish,Rev Prat. 1973 Jan 11;23(3):177-82.,Leucemie aigue: syndrome ou maladie.,,,,
4514635,NLM,MEDLINE,19730823,20071115,0035-2640 (Print) 0035-2640 (Linking),23,3,1973 Jan 11,[Essential factor to therapeutic indications and prognosis of acute leukemias: their cytological subclassification].,151-75,"['Mathe, G', 'Pouillart, P', 'Hayat, M', 'Schwarzenberg, L', 'Steresco, M']","['Mathe G', 'Pouillart P', 'Hayat M', 'Schwarzenberg L', 'Steresco M']",['fre'],['Journal Article'],France,Rev Prat,La Revue du praticien,0404334,,,"['Acute Disease', 'Cytodiagnosis', 'Immunotherapy', 'Leukemia/classification/drug therapy', 'Leukemia, Lymphoid/classification', 'Leukemia, Monocytic, Acute/classification', 'Leukemia, Myeloid', 'Leukemia, Myeloid, Acute/classification', 'Prognosis']",1973/01/11 00:00,1973/01/11 00:01,['1973/01/11 00:00'],"['1973/01/11 00:00 [pubmed]', '1973/01/11 00:01 [medline]', '1973/01/11 00:00 [entrez]']",ppublish,Rev Prat. 1973 Jan 11;23(3):151-75.,Un facteur essentiel pour les indications therapeutiques et le pronostic des leucemies aigues: leur subclassification cytologique.,,,,
4514619,NLM,MEDLINE,19730823,20190709,0002-8614 (Print) 0002-8614 (Linking),21,7,1973 Jul,Three primary malignancies occurring within fourteen months in the same patient.,330-2,"['Korbitz, B C']",['Korbitz BC'],['eng'],"['Case Reports', 'Journal Article']",United States,J Am Geriatr Soc,Journal of the American Geriatrics Society,7503062,,IM,"['Aged', 'Blood Transfusion', 'Breast Neoplasms/*complications/radiotherapy/surgery', 'Cystadenoma/*complications/radiotherapy/surgery', 'Female', 'Humans', 'Leukemia, Myeloid/*complications/etiology/therapy', '*Neoplasms, Multiple Primary', 'Ovarian Neoplasms/*complications/radiotherapy/surgery', 'Radiotherapy/adverse effects']",1973/07/01 00:00,1973/07/01 00:01,['1973/07/01 00:00'],"['1973/07/01 00:00 [pubmed]', '1973/07/01 00:01 [medline]', '1973/07/01 00:00 [entrez]']",ppublish,J Am Geriatr Soc. 1973 Jul;21(7):330-2. doi: 10.1111/j.1532-5415.1973.tb01232.x.,,['10.1111/j.1532-5415.1973.tb01232.x [doi]'],,,
