PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RN,RF,SI,GS,CON,PMC,CIN,LID,TT,OID,OAB,OABL,OTO,OT,GN,EIN
7690733,NLM,MEDLINE,19931021,20100324,0390-6078 (Print) 0390-6078 (Linking),78,3,1993 May-Jun,CD34 expression fails to predict the outcome in adult acute myeloid leukemia.,151-5,"BACKGROUND: The expression of the CD34 antigen on the blast cells of acute myeloid leukemia (AML) has been regarded as an unfavorable prognostic factor for the achievement of complete remission (CR). However, clinical reports on this issue still remain controversial. We evaluated the relationship between CD34 expression, some clinical characteristics and outcome in 80 consecutive adult AML patients. METHODS: Immunophenotyping was performed with a FACSCAN flow cytometer and CD34 was tested by HPCA-1 (My10, Becton-Dickinson). Samples were considered positive when at least 20% of cells were labeled. Promyelocytic leukemias were excluded from the study. Sixty-six patients were designed to receive intensive induction chemotherapy; 14 ""low-dose"" ARA-c. RESULTS AND CONCLUSIONS: Forty percent of AML were CD34 positive. In this group there was a higher incidence of less differentiated FAB subtypes (p = 0.03), but not of pre-existing myelodysplasia. No differences were found in complete remission (CR) rate, remission duration or survival. Excluding induction deaths from the analysis, the CR rate was slightly lower in CD34+ AML (55 vs 65%), without any impact on survival. We could not confirm the prognostic relevance of CD34 in adult AML, but larger studies are needed.","['Ciolli, S', 'Leoni, F', 'Caporale, R', 'Pascarella, A', 'Salti, F', 'Rossi-Ferrini, P']","['Ciolli S', 'Leoni F', 'Caporale R', 'Pascarella A', 'Salti F', 'Rossi-Ferrini P']","['Division of Haematology, University of Florence.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,IM,"['Antigens, CD/*analysis', 'Antigens, CD34', 'Flow Cytometry', 'Humans', 'Immunoglobulin Fab Fragments/analysis', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/drug therapy/*immunology/mortality', 'Middle Aged', 'Prognosis', 'Remission Induction', 'Survival Rate']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",,ppublish,Haematologica. 1993 May-Jun;78(3):151-5.,,"['0 (Antigens, CD)', '0 (Antigens, CD34)', '0 (Immunoglobulin Fab Fragments)']",,,,,,['Haematologica. 1993 Nov-Dec;78(6):420. PMID: 8175042'],,,,,,,,,
7690732,NLM,MEDLINE,19931021,20171116,0390-6078 (Print) 0390-6078 (Linking),78,3,1993 May-Jun,Initial characterization of an anti-CD5 monoclonal antibody obtained from leukemic cells infiltrating lymphocytes.,145-50,"BACKGROUND AND METHODS: CD5 is a monomeric glycoprotein expressed on normal and malignant T cells and on chronic lymphocytic leukemia cells. Murine anti-CD5 monoclonal antibodies (MAbs) were obtained using T cell lines, thymocytes, and blast cells from acute T lymphoblastic leukemia as immunogen. In the present report we describe an anti-CD5 MAb obtained from hybridization of mouse spleen lymphocytes immunized with blast cells from a patient with plasmocytoma who underwent leukemic transformation. RESULTS AND CONCLUSIONS: We demonstrate that this MAb arises from the CD5 determinant of lymphocytes disseminated among the leukemic cells. We present initial characterization of this MAb, which may represent a new CD5 epitope. Potentially, due to its efficient internalization through the cell membrane, this MAb might be used to deliver toxins to immunocompetent T lymphocytes for prevention of acute graft-versus-host disease (aGVHD) after bone marrow transplantation.","['Delfini, C', 'Centis, F', 'Muretto, P', 'Staccioli, M P', 'Pazzaglia, C']","['Delfini C', 'Centis F', 'Muretto P', 'Staccioli MP', 'Pazzaglia C']","['Division of Hematology, Hospital of Pesaro, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,IM,"['*Antibodies, Monoclonal', 'Antibody Specificity', 'Antigens, CD/*immunology', 'Antigens, Neoplasm/immunology', 'CD5 Antigens', 'Epitopes/immunology', 'Fluorescent Antibody Technique', 'Humans', 'Immunohistochemistry', 'Immunophenotyping', 'Immunosorbent Techniques', 'Leukemia-Lymphoma, Adult T-Cell/*immunology', 'T-Lymphocytes/*immunology']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",,ppublish,Haematologica. 1993 May-Jun;78(3):145-50.,,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Neoplasm)', '0 (CD5 Antigens)', '0 (Epitopes)']",,,,,,,,,,,,,,,
7690635,NLM,MEDLINE,19931021,20190920,1040-8703 (Print) 1040-8703 (Linking),5,1,1993 Feb,Supportive care in pediatric oncology.,131-7,"Cure of children with cancer is occurring in ever increasing numbers. Research in supportive care areas such as pain management, emesis control, and infection prevention and treatment, has contributed not only to improved survival, but a better quality of life for children undergoing cancer treatment. Additionally, long-term follow-up of childhood cancer survivors is yielding information that will decrease the morbidity of future treatment regimens.","['Albano, E A', 'Odom, L F']","['Albano EA', 'Odom LF']","[""Department of Hematology/Oncology, Children's Hospital, Denver, CO 80218.""]",['eng'],"['Journal Article', 'Review']",United States,Curr Opin Pediatr,Current opinion in pediatrics,9000850,IM,"['Antineoplastic Agents/adverse effects', 'Child', 'Fertility/drug effects/radiation effects', 'Heart/drug effects', 'Humans', 'Neoplasms/*nursing/*therapy', 'Neoplasms, Second Primary/etiology', 'Palliative Care', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']",['10.1097/00008480-199302000-00020 [doi]'],ppublish,Curr Opin Pediatr. 1993 Feb;5(1):131-7. doi: 10.1097/00008480-199302000-00020.,,['0 (Antineoplastic Agents)'],41,,,,,,,,,,,,,,
7690631,NLM,MEDLINE,19931020,20211203,1042-8194 (Print) 1026-8022 (Linking),10,1-2,1993 May,"Expression, function and activation of the proto-oncogene c-kit product in human leukemia cells.",35-41,"The c-kit proto-oncogene encodes a receptor tyrosine kinase that is considered to play important roles in hematopoiesis. The proto-oncogene c-kit product is expressed on various types of human cell lines derived from leukemic cells of erythroid, megakaryocytic and mast-cell lineages. Also, the c-kit product is detectable in blast cells in most cases of acute myeloblastic leukemia (AML) and in some cases of chronic myelogenous leukemia (CML) in blastic crisis (BC). By contrast, little or no expression of c-kit is observed in human leukemia cell lines of lymphoid lineage and in blast cells in acute lymphoblastic leukemia (ALL). Tyrosine phosphorylation and activation of the c-kit product with the ligand for c-kit (stem cell factor: SCF) results in proliferation of some human leukemia cell lines, such as M07E, and blast cells in a substantial fraction of AML cases. In addition, SCF appears to have an activity in inducing differentiation of certain types of leukemic cells. In some cases, further, the c-kit product is found to be activated in leukemic cells even before the stimulation with SCF. These results suggest that c-kit may be involved in excessive proliferation and aberrant differentiation of human leukemia cells.","['Kanakura, Y', 'Ikeda, H', 'Kitayama, H', 'Sugahara, H', 'Furitsu, T']","['Kanakura Y', 'Ikeda H', 'Kitayama H', 'Sugahara H', 'Furitsu T']","['Second Department of Internal Medicine, Osaka University Medical School, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,IM,"['Cell Adhesion', 'Cell Differentiation', 'Cell Division', 'Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia/metabolism/*pathology', 'Protein-Tyrosine Kinases/*analysis', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins/analysis/genetics/*physiology', 'Proto-Oncogene Proteins c-kit', 'Proto-Oncogenes']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",['10.3109/10428199309147354 [doi]'],ppublish,Leuk Lymphoma. 1993 May;10(1-2):35-41. doi: 10.3109/10428199309147354.,,"['0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",58,,['c-kit'],,,,,,,,,,,,
7690630,NLM,MEDLINE,19931020,20190116,1042-8194 (Print) 1026-8022 (Linking),10,1-2,1993 May,Biological response modifiers render tumor cells susceptible to autologous effector mechanisms by influencing adhesion receptors.,25-33,"Adhesion molecules such as CD2 and its ligand CD58 (LFA-3), as well as CD11a/18 (LFA-1) and CD54 (ICAM-1) regulate not only cell to cell attachment but also participate in lymphocyte activation, recirculation, and effector function including cytolytic activity towards tumor cells. We have investigated the role of CD2/CD58 and CD11a/18/CD54 interactions in cellular immune responses directed towards freshly recovered human T cell leukemias. Downregulation of CD54 and CD58 were observed to correlate with enhanced numbers of blasts in circulation and lack of susceptibility to killing by autologous cytotoxic lymphocytes. Furthermore, culturing tumor cells with recombinant TNF-alpha conditioned medium resulted in reinduction of CD54 and CD58 expression and susceptibility to lymphocyte mediated resulted in reinduction of CD54 and CD58 expression and susceptibility to lymphocyte mediated lysis in vitro. Our findings support the view that adhesion molecules play a pivotal role for tumor cell biology in vivo and stress the point that successful immunotherapy of malignant disease may be facilitated by influencing not only the immune response itself but also adhesion molecules on the malignant tumor targets.","['Schirren, C A', 'Volpel, H', 'Hoffmann, J C', 'Henning, S W', 'Qiao, L', 'Autschbach, F', 'Dengler, T J', 'Dohner, H', 'Meuer, S C']","['Schirren CA', 'Volpel H', 'Hoffmann JC', 'Henning SW', 'Qiao L', 'Autschbach F', 'Dengler TJ', 'Dohner H', 'Meuer SC']","['Angewandte Immunologie, Deutsches Krebsforschungszentrum, Heidelberg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,IM,"['Antigens, CD/analysis', 'CD11 Antigens', 'CD58 Antigens', 'Cell Adhesion Molecules/*analysis/physiology', 'Cell Line', 'Cell Line, Transformed', 'Cytokines/*pharmacology', '*Cytotoxicity, Immunologic', 'Humans', 'Intercellular Adhesion Molecule-1', 'Leukemia, T-Cell/*immunology', 'Membrane Glycoproteins/analysis']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",['10.3109/10428199309147353 [doi]'],ppublish,Leuk Lymphoma. 1993 May;10(1-2):25-33. doi: 10.3109/10428199309147353.,,"['0 (Antigens, CD)', '0 (CD11 Antigens)', '0 (CD58 Antigens)', '0 (Cell Adhesion Molecules)', '0 (Cytokines)', '0 (Membrane Glycoproteins)', '126547-89-5 (Intercellular Adhesion Molecule-1)']",,,,,,,,,,,,,,,
7690622,NLM,MEDLINE,19931018,20190904,0938-8990 (Print) 0938-8990 (Linking),4,8,1993,Mapping of the murine and rat Facc genes and assessment of flexed-tail as a candidate mouse homolog of Fanconi anemia group C.,440-4,"Fanconi anemia is a rare, autosomal recessive disorder characterized at the cellular level by a combination of hypersensitivity to DNA-damaging agents and chromosomal instability. Clinical features include pancytopenia, often associated with specific congenital malformations, and a predisposition to leukemia. We previously cloned the gene defective in Fanconi anemia group C by complementation of the intrinsic sensitivity of Fanconi anemia cells to DNA cross-linking agents, and we recently cloned its mouse homolog (Facc). In this report, we localized Facc to mouse Chromosome (Chr) 13 and its rat homolog to rat Chr 17. A previously described anemic mouse mutant, flexed-tail, maps to the same chromosomal region. Differences were detected between DNA of the flexed-tail and congenic mice, indicating the proximity of the Facc probe to the disease mutation. Analysis of flexed-tail RNA did not reveal detectable difference in Facc message level or size between flexed-tail and congenic mice. On this basis, we conclude that, although flexed-tail remains a candidate for Fanconi anemia in the mouse, there is no evidence currently that Facc is mutated in flexed-tail mice.","['Wevrick, R', 'Barker, J E', 'Nadeau, J H', 'Szpirer, C', 'Buchwald, M']","['Wevrick R', 'Barker JE', 'Nadeau JH', 'Szpirer C', 'Buchwald M']","['Department of Genetics, Hospital for Sick Children, Toronto, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mamm Genome,Mammalian genome : official journal of the International Mammalian Genome Society,9100916,IM,"['Animals', 'Blotting, Southern', 'Chromosome Mapping', 'DNA Mutational Analysis', '*Disease Models, Animal', 'Fanconi Anemia/*genetics', 'Humans', 'Hybrid Cells', 'Mice/*genetics', 'Poly A/analysis', 'RNA/analysis', 'RNA, Messenger', 'Rats/*genetics', 'Sequence Homology, Nucleic Acid', 'Tail/*abnormalities']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",['10.1007/BF00296818 [doi]'],ppublish,Mamm Genome. 1993;4(8):440-4. doi: 10.1007/BF00296818.,"['DK27726/DK/NIDDK NIH HHS/United States', 'HG00189/HG/NHGRI NIH HHS/United States']","['0 (RNA, Messenger)', '24937-83-5 (Poly A)', '63231-63-0 (RNA)']",,,['Facc'],,,,,,,,,,,,
7690555,NLM,MEDLINE,19931012,20190612,0006-291X (Print) 0006-291X (Linking),195,2,1993 Sep 15,Rapid induction of CD38 antigen on myeloid leukemia cells by all trans-retinoic acid.,545-50,"The CD38 or T10 molecule is one of the least understood differentiation antigens. Virtually no information is available on the regulation and functions of CD38 antigen in hematopoietic cells. Using human promyelocytic leukemia cells, we demonstrate that all trans-retinoic acid is a potent and specific inducer of CD38 expression in myeloid lineage. At physiological doses, all trans-retinoic acid induces significant levels (8 to 10-fold) of CD38. Similarly, in patients with promyelocytic leukemia, a significant increase (3 to 6-fold) in CD38 expression was observed in vivo following single oral dose administration of all trans-retinoic acid. The induction of CD38 is a specific response of myeloid cells to retinoic acid and is not seen with other agents that induce differentiation. We believe that the induction of CD38 antigen is an early event in retinoid-regulated gene expression in normal and transformed myeloid cells.","['Drach, J', 'Zhao, S', 'Malavasi, F', 'Mehta, K']","['Drach J', 'Zhao S', 'Malavasi F', 'Mehta K']","['Department of Hematology, University of Texas M.D. Anderson Cancer Center, Houston 77030.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['ADP-ribosyl Cyclase', 'ADP-ribosyl Cyclase 1', 'Antigens, CD/*biosynthesis', 'Antigens, Differentiation/*biosynthesis/drug effects', 'Cells, Cultured', 'Chromosomes, Human, Pair 15', 'Chromosomes, Human, Pair 17', 'Dose-Response Relationship, Drug', 'Gene Expression/drug effects', 'Granulocyte Colony-Stimulating Factor/pharmacology', 'Granulocyte-Macrophage Colony-Stimulating Factor/pharmacology', 'Granulocytes/drug effects/immunology', 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute/blood/genetics/*immunology', 'Membrane Glycoproteins', 'Monocytes/drug effects/immunology', 'Recombinant Proteins/pharmacology', 'Reference Values', 'Tetradecanoylphorbol Acetate/pharmacology', 'Translocation, Genetic', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured']",1993/09/15 00:00,1993/09/15 00:01,['1993/09/15 00:00'],"['1993/09/15 00:00 [pubmed]', '1993/09/15 00:01 [medline]', '1993/09/15 00:00 [entrez]']","['S0006291X83720802 [pii]', '10.1006/bbrc.1993.2080 [doi]']",ppublish,Biochem Biophys Res Commun. 1993 Sep 15;195(2):545-50. doi: 10.1006/bbrc.1993.2080.,,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Membrane Glycoproteins)', '0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '5688UTC01R (Tretinoin)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'EC 3.2.2.5 (ADP-ribosyl Cyclase)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,,,,,,,,,,
7690519,NLM,MEDLINE,19931013,20191210,0361-8609 (Print) 0361-8609 (Linking),43,4,1993 Aug,Mitoxantrone and 5-azacytidine for refractory/relapsed ANLL or CML in blast crisis: a leukemia intergroup study.,286-90,"In an effort to determine if cell cycle active agents are augmented when given after non-cell cycle active agents, 104 patients with either multiply relapsed or refractory acute nonlymphocytic leukemia or blast crisis of chronic myelogenous leukemia were treated with mitoxantrone. Patients whose bone marrow did not show significant cytoreduction received 5-azacytidine. Twenty-seven of the 93 evaluable patients (23%) with ANLL achieved a complete remission. A total of 28% of patients receiving mitoxantrone alone achieved remission compared to 15% for those receiving mitoxantrone and 5-azacytidine. Relapsed patients had a higher CR rate (36%) than refractory patients (15%). Nausea, vomiting, and stomatitis were common but rarely severe. The median duration of remission was 3.7 months and patients with abnormal karyotypes had longer remission durations than those with normal karyotypes. In this patient population, there was no evidence that 5-azacytidine given after mitoxantrone increased the complete remission rate.","['Goldberg, J', 'Gryn, J', 'Raza, A', 'Bennett, J', 'Browman, G', 'Bryant, J', 'Grunwald, H', 'Larson, R', 'Vogler, R', 'Preisler, H']","['Goldberg J', 'Gryn J', 'Raza A', 'Bennett J', 'Browman G', 'Bryant J', 'Grunwald H', 'Larson R', 'Vogler R', 'Preisler H']","['Cooper University Medical Center, Camden, New Jersey 08103.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adult', 'Azacitidine/adverse effects/*therapeutic use', 'Biopsy', '*Blast Crisis', 'Bone Marrow/pathology', 'Cell Cycle', 'DNA, Neoplasm/genetics', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/genetics/*pathology', 'Leukemia, Myeloid, Acute/*drug therapy/genetics/*pathology', 'Male', 'Middle Aged', 'Mitoxantrone/adverse effects/*therapeutic use', 'Outcome Assessment, Health Care', 'Recurrence']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.1002/ajh.2830430411 [doi]'],ppublish,Am J Hematol. 1993 Aug;43(4):286-90. doi: 10.1002/ajh.2830430411.,['CA41285/CA/NCI NIH HHS/United States'],"['0 (DNA, Neoplasm)', 'BZ114NVM5P (Mitoxantrone)', 'M801H13NRU (Azacitidine)']",,,,,,,,,,,,,,,
7690517,NLM,MEDLINE,19931013,20190821,0361-8609 (Print) 0361-8609 (Linking),43,4,1993 Aug,Mechanism of autoimmune hemolytic anemia in chronic lymphocytic leukemia.,259-64,"Chronic lymphocytic leukemia (CLL) is a malignant clonal expansion of CD5+B lymphocytes. The CD5+B lymphocytes have been postulated to produce autoantibodies. CLL patients may demonstrate features of autoimmunity including autoimmune hemolytic anemia. However, the origin of the autoantibodies causing the hemolysis is not clear. The present studies were performed to determine whether these autoantibodies are the products of the neoplastic B-CLL clones. Immunoglobulins (Ig) were eluted from washed red blood cells (RBC) obtained from two CLL patients at the time they had autoimmune (DAT-direct antiglobulin test-positive) hemolytic anemia. The light chain phenotypes of these eluted autoantibodies were determined and found to be monotypic with exact correlation to the light chain expressed on the surface of the B-CLL clones. Elutions from RBC of DAT negative patients or normal volunteers failed to demonstrate measurable amounts of Ig. In contrast, Ig eluted from RBC obtained from SLE patients with DAT positive hemolytic anemia found to be polyclonal autoantibodies exhibiting both light chain types. Furthermore, CD5+B lymphocytes obtained from the same two CLL patients (DAT+) produce, in vitro understimulation with phorbal myristate acetate (PMA), monoclonal antibodies which react and bind to RBC. Thus these studies provide direct evidence demonstrating that the antibodies causing the autoimmune hemolytic anemia in our two CLL patients are the products of the B-CLL neoplastic clones.","['Sthoeger, Z M', 'Sthoeger, D', 'Shtalrid, M', 'Sigler, E', 'Geltner, D', 'Berrebi, A']","['Sthoeger ZM', 'Sthoeger D', 'Shtalrid M', 'Sigler E', 'Geltner D', 'Berrebi A']","['Department of Internal Medicine, Kaplan Hospital, Rehovot, Israel.']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,IM,"['Aged', 'Anemia, Hemolytic, Autoimmune/blood/*complications/immunology', 'Antigens, CD/analysis', 'Autoantibodies/immunology/metabolism', 'Autoimmunity', 'B-Lymphocytes/immunology/metabolism/pathology', 'CD5 Antigens', 'Cells, Cultured', 'Erythrocytes/pathology', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*complications/immunology', 'Male', 'Middle Aged']",1993/08/01 00:00,1993/08/01 00:01,['1993/08/01 00:00'],"['1993/08/01 00:00 [pubmed]', '1993/08/01 00:01 [medline]', '1993/08/01 00:00 [entrez]']",['10.1002/ajh.2830430406 [doi]'],ppublish,Am J Hematol. 1993 Aug;43(4):259-64. doi: 10.1002/ajh.2830430406.,,"['0 (Antigens, CD)', '0 (Autoantibodies)', '0 (CD5 Antigens)']",,,,,,,,,,,,,,,
7690510,NLM,MEDLINE,19931014,20171116,0256-2308 (Print) 0256-2308 (Linking),7,,1993,CD10/common acute lymphoblastic leukemia-associated antigen and adhesion factor expression is predictive for lymphokine-activated killing sensitivity of adult B-lineage acute lymphoblastic leukemia.,90-5,,"['Correale, P', 'Tagliaferri, P', 'Camera, A', 'Caraglia, M', 'Del Vecchio, L', 'De Laurentis, M', 'Pinto, A', 'Rotoli, B', 'Bianco, A R']","['Correale P', 'Tagliaferri P', 'Camera A', 'Caraglia M', 'Del Vecchio L', 'De Laurentis M', 'Pinto A', 'Rotoli B', 'Bianco AR']","['Cattedra di Oncologia Medica, IIa Facolta di Medicina, Universita Federico II, Naples, Italy.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Year Immunol,The Year in immunology,8403229,IM,"['Adult', 'Antigens, CD/analysis', 'Antigens, Neoplasm/*analysis', 'B-Lymphocytes/chemistry/*immunology/pathology', 'CD58 Antigens', 'Cell Adhesion Molecules/*analysis', 'Cytotoxicity, Immunologic', 'Humans', 'Intercellular Adhesion Molecule-1', 'Killer Cells, Lymphokine-Activated/*immunology', 'Leukemia, B-Cell/*immunology/pathology', 'Lymphocyte Function-Associated Antigen-1/analysis', 'Membrane Glycoproteins/analysis', 'Neoplasm Proteins/*analysis', 'Neoplastic Stem Cells/chemistry/*immunology/pathology', 'Neprilysin/*analysis', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*immunology/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*immunology/pathology', 'Tumor Cells, Cultured/immunology']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']",,ppublish,Year Immunol. 1993;7:90-5.,,"['0 (Antigens, CD)', '0 (Antigens, Neoplasm)', '0 (CD58 Antigens)', '0 (Cell Adhesion Molecules)', '0 (Lymphocyte Function-Associated Antigen-1)', '0 (Membrane Glycoproteins)', '0 (Neoplasm Proteins)', '126547-89-5 (Intercellular Adhesion Molecule-1)', 'EC 3.4.24.11 (Neprilysin)']",,,,,,,,,,,,,,,
7690442,NLM,MEDLINE,19931008,20130304,0887-6924 (Print) 0887-6924 (Linking),7,9,1993 Sep,Cytogenetic studies of non-lymphocytic neoplasias using hematopoietic growth factors: GM-CSF provides pronounced mitotic increase and improvement of the quality of banded chromosomes compared to G-CSF.,1471-5,"Thirty patients with a variety of non-lymphocytic neoplasias were studied cytogenetically using short-term liquid cultures of bone marrow or peripheral blood cells with or without either granulocyte colony-stimulating factor (G-CSF) or granulocyte-macrophage CSF (GM-CSF). The final concentration of these growth factors was 10 ng/ml and the duration of culture was 48 h, since these provided optimal increases in mitotic index (MI). In GM-CSF-stimulated culture, 23 out of the 30 patients (77%) had a significantly (p < 0.05) higher MI than that in unstimulated culture, whereas only five (17%) did so in G-CSF-stimulated culture. The quality of banded chromosomes was considerably good in 17 out of the 30 patients (57%) with GM-CSF, whereas it was so only in two (7%) and three (10%) patients with no CSF and G-CSF, respectively. Of the 30 patients, 27 (90%) had the same chromosomal findings with G-CSF/GM-CSF as without CSF, but the remaining three (10%) showed a remarkable change after stimulation. Culture for 72 h with G-CSF or GM-CSF disclosed a minor abnormal clone which was undetected in 24 and 48 h cultures in a patient with myelofibrosis with myeloid metaplasia. Thus, compared with G-CSF, adding GM-CSF to cell culture may be useful for cytogenetic studies of non-lymphocytic neoplasias. The chromosomal findings may, however, be changed by these growth factors for some patients.","['Nakamura, H', 'Sasagawa, I', 'Itoyama, T', 'Mine, M', 'Amenomori, T', 'Sadamori, N', 'Tomonaga, M']","['Nakamura H', 'Sasagawa I', 'Itoyama T', 'Mine M', 'Amenomori T', 'Sadamori N', 'Tomonaga M']","['Department of Hematology, Nagasaki University School of Medicine, Japan.']",['eng'],"['Comparative Study', 'Journal Article']",England,Leukemia,Leukemia,8704895,IM,"['Chromosome Aberrations', 'Chromosome Banding', 'Granulocyte Colony-Stimulating Factor/*pharmacology', 'Granulocyte-Macrophage Colony-Stimulating Factor/*pharmacology', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Mitotic Index', 'Tumor Cells, Cultured/pathology']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1993 Sep;7(9):1471-5.,,"['143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",,,,,,,,,,,,,,,
