PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AD,AID,GR,PMC,EIN,CIN,SI
3184121,NLM,MEDLINE,19881205,20190709,0022-2623 (Print) 0022-2623 (Linking),31,11,1988 Nov,"Synthesis and antileukemic activity of bis[[(carbamoyl)oxy]methyl]- substituted pyrrolo[2,1-a]isoquinolines, pyrrolo[1,2-a]quinolines, pyrrolo[2,1-a]isobenzazepines, and pyrrolo[1,2-a]benzazepines.",2097-102,"A series of bis[[(carbamoyl)oxy]methyl]-substituted pyrrole-fused tricyclic heterocycles were synthesized by using 1,3-dipolar cycloaddition reactions with a trifluoromethanesulfonate salt of an appropriate Resissert compound or with a mesoionic oxazolone intermediate. All of the bis(carbamates) were active in vivo against P388 lymphocytic leukemia with 5,6-dihydro-8-methoxy-1,2- bis(hydroxymethyl)pyrrolo[2,1-a]isoquinoline bis[N-(2-propyl)carbamate] (3c) showing the highest level of activity.","['Anderson, W K', 'Heider, A R', 'Raju, N', 'Yucht, J A']","['Anderson WK', 'Heider AR', 'Raju N', 'Yucht JA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Benzazepines)', '0 (Carbamates)', '0 (Isoquinolines)', '0 (Pyrroles)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Benzazepines/chemical synthesis/therapeutic use', 'Carbamates/*chemical synthesis/therapeutic use', 'Isoquinolines/chemical synthesis/therapeutic use', 'Leukemia P388/*drug therapy', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Pyrroles/chemical synthesis/therapeutic use']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",ppublish,J Med Chem. 1988 Nov;31(11):2097-102. doi: 10.1021/jm00119a008.,"['Department of Medicinal Chemistry, School of Pharmacy, State University of New York, Buffalo 14260.']",['10.1021/jm00119a008 [doi]'],['R01-CA-22935/CA/NCI NIH HHS/United States'],,,,
3183698,NLM,MEDLINE,19881207,20190828,0895-4356 (Print) 0895-4356 (Linking),41,9,1988,Smoking and adult leukemia: a case-control study.,907-14,"Existing data from a large case-control study of tobacco-related cancers were used to examine the relationship between smoking history and leukemia as a whole, as well as specific morphologic types of leukemia. A total of 342 male and 220 female leukemia cases and two series of patients with non-tobacco related conditions (non-cancer controls: N = 9349 and cancer controls: N = 9846) were available for study. Analyses were carried out for all leukemia cases combined and for ANLL (N = 249), ALL (N = 52), CML (N = 78), and CLL (N = 57) separately vs both control groups. In addition to crude and age-adjusted odds ratios and their 95% confidence intervals, logistic regression models including potential confounding variables were used. No positive association with smoking was seen either for all cases combined or for any of the four specific morphologic types.","['Kabat, G C', 'Augustine, A', 'Hebert, J R']","['Kabat GC', 'Augustine A', 'Hebert JR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Clin Epidemiol,Journal of clinical epidemiology,8801383,,IM,"['Adult', 'Aged', 'Epidemiologic Methods', 'Female', 'Humans', 'Leukemia/*etiology/mortality', 'Male', 'Middle Aged', 'Smoking/*adverse effects']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,J Clin Epidemiol. 1988;41(9):907-14. doi: 10.1016/0895-4356(88)90108-4.,"['Division of Epidemiology, Mahoney Institute for Health Maintenance, American Health Foundation, New York, NY 10017.']","['0895-4356(88)90108-4 [pii]', '10.1016/0895-4356(88)90108-4 [doi]']","['CA 17613/CA/NCI NIH HHS/United States', 'CA32617/CA/NCI NIH HHS/United States']",,,,
3183686,NLM,MEDLINE,19881216,20041117,0732-6580 (Print) 0732-6580 (Linking),7,5,1988 Oct,Oral use of human alpha interferon in cats.,513-23,"Low doses (0.5 or 5.0 U) of human alpha interferon (HuIFN alpha) given orally prevented the experimental development of fatal feline leukemia virus (FeLV)-related disease. Twenty-one FeLV-susceptible cats were inoculated with the Rickard strain of FeLV. Cats given oral HuIFN alpha survived significantly (p less than 0.001) longer than untreated FeLV-infected cats. Moreover, only 4 of 13 (30.8%) HuIFN alpha-treated cats developed clinical disease during the course of the study, whereas 100% of the untreated control cats developed fatal FeLV-related disease. Thus, in experimental retroviral disease, heterologous species HuIFN alpha provided significant clinical benefits.","['Cummins, J M', 'Tompkins, M B', 'Olsen, R G', 'Tompkins, W A', 'Lewis, M G']","['Cummins JM', 'Tompkins MB', 'Olsen RG', 'Tompkins WA', 'Lewis MG']",['eng'],['Journal Article'],,United States,J Biol Response Mod,Journal of biological response modifiers,8219656,['0 (Interferon Type I)'],IM,"['Administration, Oral', 'Animals', 'Cats', 'Female', 'Humans', 'Interferon Type I/administration & dosage/*therapeutic use', 'Leukemia, Experimental/mortality/*prevention & control', 'Male']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",ppublish,J Biol Response Mod. 1988 Oct;7(5):513-23.,"['Amarillo Cell Culture Company, Inc., TX 79106.']",,,,,,
3183455,NLM,MEDLINE,19881215,20131121,0021-4671 (Print) 0021-4671 (Linking),23,7,1988 Jul 20,[Intermediate dose of Ara-C (IDAra-C) for the treatment of refractory and relapsed lymphoid malignancies].,1453-8,,"['Taniguchi, S', 'Shibuya, T', 'Morioka, E', 'Ohhara, N', 'Ohtsuka, T', 'Hirota, Y', 'Yamano, Y', 'Miki, K', 'Asano, Y', 'Niho, Y']","['Taniguchi S', 'Shibuya T', 'Morioka E', 'Ohhara N', 'Ohtsuka T', 'Hirota Y', 'Yamano Y', 'Miki K', 'Asano Y', 'Niho Y', 'et al.']",['jpn'],"['English Abstract', 'Journal Article']",,Japan,Nihon Gan Chiryo Gakkai Shi,Nihon Gan Chiryo Gakkai shi,7505713,['04079A1RDZ (Cytarabine)'],IM,"['Adolescent', 'Adult', 'Aged', 'Cytarabine/*administration & dosage', 'Female', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy']",1988/07/20 00:00,1988/07/20 00:01,['1988/07/20 00:00'],"['1988/07/20 00:00 [pubmed]', '1988/07/20 00:01 [medline]', '1988/07/20 00:00 [entrez]']",ppublish,Nihon Gan Chiryo Gakkai Shi. 1988 Jul 20;23(7):1453-8.,,,,,,,
3183432,NLM,MEDLINE,19881201,20041117,0737-1454 (Print) 0737-1454 (Linking),6,5,1988 Sep,Phenotypic instability of tumor cell clones: clonal expression of Fc receptors in the human leukemic K562 cell line and its relationship with hemoglobin expression.,341-51,"Membrane expression of Fc receptors (FcR) was studied in clones of human K562 cells during short- and long-term culture. Using a manual cloning method, well-defined clones were generated either from FcR-positive or FcR-negative cells. The fourth day after cloning, the majority of cloned cells manifested shifts in FcR expression without evidence of an orderly pattern. After long-term culture (about 34 passages), most clones expressed FcR values close to those found in the cell line. In addition, the selection of six clones expressing a stable FcR phenotype suggested that the presence of FcR is correlated to a low hemoglobinization of the multipotential K562 cells.","['Jeannesson, P', 'Gerard, B', 'Jardillier, J C', 'Bernard, J']","['Jeannesson P', 'Gerard B', 'Jardillier JC', 'Bernard J']",['eng'],['Journal Article'],,United States,Int J Cell Cloning,International journal of cell cloning,8308172,"['0 (Hemoglobins)', '0 (Receptors, Fc)']",IM,"['Cell Differentiation', 'Clone Cells', 'Erythrocytes/immunology', 'Hemoglobins/*genetics', 'Humans', 'Kinetics', 'Leukemia/*genetics', 'Phenotype', 'Receptors, Fc/*genetics', 'Rosette Formation', 'Tumor Cells, Cultured']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",ppublish,Int J Cell Cloning. 1988 Sep;6(5):341-51. doi: 10.1002/stem.5530060505.,"['Faculte de Pharmacie, Laboratoire de Biochimie, Reims, France.']",['10.1002/stem.5530060505 [doi]'],,,,,
3183393,NLM,MEDLINE,19881219,20190723,0022-1759 (Print) 0022-1759 (Linking),114,1-2,1988 Nov 10,Isolation and in vitro translation of mRNA from rat peritoneal mast cells and rat basophilic leukemia cells.,219-25,"In the absence of any specific literature on the isolation of RNA from mast cells, our initial attempts established that unusual measures would be needed to prepare acceptable yields of high quality RNA from peritoneal mast cells of normal adult rats. Accordingly, we developed procedures for the isolation and characterization of RNA from rat peritoneal mast cells (PMC) and basophilic leukemia cells (RBL). The significant components of the procedures include: separation and removal of mast cell granules to minimize contamination of RNA with proteins and proteoglycans; use of bentonite in phenol extractions; and repetition of extractions and precipitation. The amounts of total RNA extracted from PMC were about 15% of those from RBL, although the percentage mRNA of total RNA in PMC and RBL was similar (1.8 and 2.0%). Ribosomal RNA banding patterns in agarose gel electrophoresis and in vitro translation experiments indicate that the isolated RNA can be employed for analysis of molecular mechanisms of mast cell function and heterogeneity.","['Fujimaki, H', 'Lee, T D', 'Swieter, M', 'Saito, A', 'Tamaoki, T', 'Befus, A D']","['Fujimaki H', 'Lee TD', 'Swieter M', 'Saito A', 'Tamaoki T', 'Befus AD']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (RNA, Messenger)']",IM,"['Animals', 'Basophils/*metabolism', 'Cell Line', 'Leukemia/*genetics/metabolism', 'Male', 'Mast Cells/*metabolism', 'Molecular Weight', 'Peritoneal Cavity/cytology', '*Protein Biosynthesis', 'RNA, Messenger/genetics/*isolation & purification', 'Rabbits', 'Rats', 'Rats, Inbred Strains', 'Reticulocytes']",1988/11/10 00:00,1988/11/10 00:01,['1988/11/10 00:00'],"['1988/11/10 00:00 [pubmed]', '1988/11/10 00:01 [medline]', '1988/11/10 00:00 [entrez]']",ppublish,J Immunol Methods. 1988 Nov 10;114(1-2):219-25. doi: 10.1016/0022-1759(88)90177-9.,"['Department of Microbiology and Infectious Diseases, University of Calgary, Alberta, Canada.']","['0022-1759(88)90177-9 [pii]', '10.1016/0022-1759(88)90177-9 [doi]']",,,,,
3183059,NLM,MEDLINE,19881214,20181113,0021-9738 (Print) 0021-9738 (Linking),82,5,1988 Nov,Distinct murine macrophage receptor pathway for human triglyceride-rich lipoproteins.,1633-43,"Murine P388D1 macrophages have a receptor pathway that binds human hypertriglyceridemic very low density lipoproteins (HTG-VLDL) that is fundamentally distinct from the LDL receptor pathway. Trypsin-treated HTG-VLDL (tryp-VLDL), devoid of apolipoprotein (apo)-E, fail to bind to the LDL receptor, yet tryp-VLDL and HTG-VLDL cross-compete for binding to P388D1 macrophage receptors, indicating that these lipoproteins bind to the same sites. The specific, high affinity binding of tryp-VLDL and HTG-VLDL to macrophages at 4 degrees C is equivalent and at 37 degrees C both produce rapid, massive, curvilinear (receptor-mediated) triglyceride accumulation in macrophages. Ligand blots show that P388D1 macrophages express a membrane protein of approximately 190 kD (MBP190) that binds both tryp-VLDL and HTG-VLDL; this binding is competed by HTG-VLDL, trypsinized HTG-VLDL, and trypsinized normal VLDL but not by normal VLDL or LDL. The macrophage LDL receptor (approximately 130 kD) and cellular uptake of beta-VLDL, but not MBP 190 nor uptake of tryp-VLDL, are induced when cells are exposed to lipoprotein-deficient medium and decreased when cells are cholesterol loaded. Unlike the macrophage LDL receptor, MBP 190 partitions into the aqueous phase after phase separation of Triton X-114 extracts. An anti-LDL receptor polyclonal antibody blocks binding of HTG-VLDL to the LDL receptor and blocks receptor-mediated uptake of beta-VLDL by P388D1 cells but fails to inhibit specific cellular uptake of tryp-VLDL or to block binding of tryp-VLDL to MBP 190. Human monocytes, but not human fibroblasts, also express a binding protein for HTG-VLDL and tryp-VLDL similar to MBP 190. We conclude that macrophages possess receptors for abnormal human triglyceride-rich lipoproteins that are distinct from LDL receptors in ligand specificity, regulation, immunological characteristics, and cellular distribution. MBP 190 shares these properties and is a likely receptor candidate for the high affinity uptake of TG-rich lipoproteins by macrophages.","['Gianturco, S H', 'Lin, A H', 'Hwang, S L', 'Young, J', 'Brown, S A', 'Via, D P', 'Bradley, W A']","['Gianturco SH', 'Lin AH', 'Hwang SL', 'Young J', 'Brown SA', 'Via DP', 'Bradley WA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Apolipoproteins E)', '0 (Carrier Proteins)', '0 (Lipoproteins, VLDL)', '0 (Membrane Proteins)', '0 (Receptors, LDL)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Animals', 'Apolipoproteins E', 'Binding, Competitive', 'Carrier Proteins/*metabolism', 'Humans', 'Hypertriglyceridemia/*blood', 'Leukemia P388/metabolism', 'Lipoproteins, VLDL/metabolism', 'Macrophages/*metabolism', 'Membrane Proteins/*metabolism', 'Mice', 'Molecular Weight', 'Receptors, LDL/analysis', 'Trypsin/metabolism']",1988/11/01 00:00,1988/11/01 00:01,['1988/11/01 00:00'],"['1988/11/01 00:00 [pubmed]', '1988/11/01 00:01 [medline]', '1988/11/01 00:00 [entrez]']",ppublish,J Clin Invest. 1988 Nov;82(5):1633-43. doi: 10.1172/JCI113775.,"['Department of Medicine, Baylor College of Medicine, Houston, Texas.']",['10.1172/JCI113775 [doi]'],['HL27341/HL/NHLBI NIH HHS/United States'],PMC442732,,,
3183009,NLM,MEDLINE,19881201,20210526,0095-1137 (Print) 0095-1137 (Linking),26,10,1988 Oct,Dysgonic fermenter 3 bacteremia in a neutropenic patient with acute lymphocytic leukemia.,2213-5,Persistent dysgonic fermenter 3 bacteremia occurred in a granulocytopenic leukemic patient on broad-spectrum antibiotic therapy. This is the first reported case of bacteremia with this fastidious gram-negative rod. Characteristic microbiology and antibiotic susceptibility testing are reviewed. Trimethoprim-sulfamethoxazole therapy eliminated the bacteremia.,"['Aronson, N E', 'Zbick, C J']","['Aronson NE', 'Zbick CJ']",['eng'],"['Case Reports', 'Journal Article']",,United States,J Clin Microbiol,Journal of clinical microbiology,7505564,,IM,"['Adult', 'Agranulocytosis/*complications', 'Gram-Negative Bacteria/drug effects/*isolation & purification', 'Humans', 'Male', 'Neutropenia/*complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Sepsis/drug therapy/*etiology']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",ppublish,J Clin Microbiol. 1988 Oct;26(10):2213-5. doi: 10.1128/jcm.26.10.2213-2215.1988.,"['Infectious Disease Service, Walter Reed Army Medical Center, Washington, D.C. 20307.']",['10.1128/jcm.26.10.2213-2215.1988 [doi]'],,PMC266852,,,
3182997,NLM,MEDLINE,19881201,20210526,0095-1137 (Print) 0095-1137 (Linking),26,10,1988 Oct,Oral infections and septicemia in immunocompromised patients with hematologic malignancies.,2105-9,"To estimate the role of oral infections during septicemic episodes in immunocompromised patients with hematologic malignancies, 78 febrile episodes in 46 patients were monitored with daily clinical and microbiological investigations. The 19 septicemic episodes did not differ from the 59 other febrile episodes in the qualitative composition of the aerobic and facultatively anaerobic oral microflora or in the presence of teeth or acute oral infections on day 1. The oral prevalence rates of members of the family Enterobacteriaceae were higher on days 10, 11, and 12 in the febrile episodes with septicemia when compared with those of febrile episodes without septicemia. The prevalence of a probable oral focus in septicemia was 10.5%, and the prevalence of a probable or possible oral origin in septicemia was 31.6%. The results suggest that prevention and elimination of oral infections may reduce the morbidity and perhaps even the mortality in these patients.","['Bergmann, O J']",['Bergmann OJ'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Clin Microbiol,Journal of clinical microbiology,7505564,,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Bacterial Infections/*etiology', 'Female', 'Humans', 'Immune Tolerance', 'Leukemia/*complications/immunology', 'Male', 'Middle Aged', 'Mouth/microbiology', 'Mouth Diseases/*etiology', 'Sepsis/*etiology']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",ppublish,J Clin Microbiol. 1988 Oct;26(10):2105-9. doi: 10.1128/jcm.26.10.2105-2109.1988.,"['University Department of Medicine and Hematology, Aarhus County Hospital, Denmark.']",['10.1128/jcm.26.10.2105-2109.1988 [doi]'],,PMC266825,,,
3182943,NLM,MEDLINE,19881128,20061115,0021-9533 (Print) 0021-9533 (Linking),89 ( Pt 2),,1988 Feb,Cytolocalization of prosomes as a function of differentiation.,151-65,"Prosomes, ubiquitous ribonucleoprotein (RNP) particles of defined biochemical and morphological structure, first isolated as a subcomplex of the repressed globin mRNP in avian and mouse erythroblasts, were also found in the cytoplasm of other vertebrates associated with other mRNAs. Here we show that prosomes are also present in the cell nucleus and, furthermore, that the cytolocalization of specific prosomal peptides is a function of differentiation. Four monoclonal antibodies, raised against the duck prosomal proteins, p27K, p28K, p29K and p31K (K = 10(3) Mr) react to variable degree with prosomes of chicken, mouse, and human cells. Immunocytochemical and biochemical analyses show that all four antigens are present in both the cytoplasm and the nucleus of avian erythroblasts and avian erythroblastosis virus (AEV)-transformed erythroleukaemic cells. Interestingly, the prosomes disappear in the course of the terminal differentiation of erythroblasts to mature erythrocytes. Although all the four prosomal antigens tested are present in both the nuclear and cytoplasmic compartments, slight differences in the immunofluorescent patterns indicate that each antigen may have a particular cytological distribution that varies in the course of differentiation.","['Grossi de Sa, M F', 'Martins de Sa, C', 'Harper, F', 'Coux, O', 'Akhayat, O', 'Pal, J K', 'Florentin, Y', 'Scherrer, K']","['Grossi de Sa MF', 'Martins de Sa C', 'Harper F', 'Coux O', 'Akhayat O', 'Pal JK', 'Florentin Y', 'Scherrer K']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,J Cell Sci,Journal of cell science,0052457,['0 (Ribonucleoproteins)'],IM,"['Animals', 'Cell Differentiation', 'Cell Nucleus/*analysis', 'Chick Embryo', 'Ducks', 'Erythroblasts/*cytology', 'Immunohistochemistry', 'Leukemia, Erythroblastic, Acute/pathology', 'Microscopy, Fluorescence', 'Ribonucleoproteins/*analysis', 'Species Specificity']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,J Cell Sci. 1988 Feb;89 ( Pt 2):151-65.,"['Institut Jacques Monod, Paris, France.']",,,,,,
3182781,NLM,MEDLINE,19881202,20210210,0021-9258 (Print) 0021-9258 (Linking),263,31,1988 Nov 5,Ca2+ priming during vitamin D-induced monocytic differentiation of a human leukemia cell line.,16039-44,"1,25-Dihydroxyvitamin D3 (1,25-(OH)2D3) induces monocytic differentiation of the human promyelocytic leukemia line, HL-60, and enhances Ca2+ transport in target cells of the mineral metabolism system. Hence, we determined whether the steroid's maturational effect on HL-60 involves alterations of intracellular calcium [( Ca2+]i). We found that, as detected by indo-1 fluorescence, [Ca2+]i increases in a slow tonic manner from 99 +/- 11 nM in virgin HL-60 to 182 +/- 19 nM (p less than 0.001) in those treated with 1,25-(OH)2D3 for 24 h. The first apparent rise in [Ca2+]i occurs at between 6 and 12 h and parallels expression of alpha-thrombin and N-formyl-methionyl-leucyl-phenylalanine (fMLP) receptors. This increase in [Ca2+]i is derived from extracellular calcium as its reduction abolishes the effect. The increase in [Ca2+]i is associated with an increase in inositol trisphosphate-stimulated Ca2+ flux from intracellular stores. Interestingly, 1,25-(OH)2D3-mediated HL-60 differentiation as manifest by expression of the macrophage-specific antigen, 63D3, is not blocked by low extracellular calcium. In contrast, the fMLP-induced superoxide ion generation is diminished if the increase in [Ca2+]i is prevented. Furthermore, fMLP-stimulated signal transduction is also reduced by limiting the stimulation of [Ca2+]i during 1,25-(OH)2D3 treatment. Thus, although differentiation of HL-60 to the monocytic phenotype by 1,25-(OH)2D3 is Ca2+-independent, expression of response to regulatory stimuli requires priming of cellular Ca2+ stores. The latter appears to be induced by 1,25-(OH)2D3 via stimulated Ca2+ entry through the plasma membrane.","['Hruska, K A', 'Bar-Shavit, Z', 'Malone, J D', 'Teitelbaum, S']","['Hruska KA', 'Bar-Shavit Z', 'Malone JD', 'Teitelbaum S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['59880-97-6 (N-Formylmethionine Leucyl-Phenylalanine)', 'FXC9231JVH (Calcitriol)', 'SY7Q814VUP (Calcium)']",IM,"['Biological Transport/drug effects', 'Calcitriol/*pharmacology', 'Calcium/*metabolism/pharmacology', 'Cell Differentiation/*drug effects', 'Cell Line', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia, Myeloid, Acute', 'Monocytes/cytology', 'N-Formylmethionine Leucyl-Phenylalanine/pharmacology']",1988/11/05 00:00,1988/11/05 00:01,['1988/11/05 00:00'],"['1988/11/05 00:00 [pubmed]', '1988/11/05 00:01 [medline]', '1988/11/05 00:00 [entrez]']",ppublish,J Biol Chem. 1988 Nov 5;263(31):16039-44.,"['Department of Medicine, Jewish Hospital, Washington University Medical Center, St. Louis, Missouri 63110.']",['S0021-9258(18)37553-7 [pii]'],"['AR32087/AR/NIAMS NIH HHS/United States', 'AR34401/AR/NIAMS NIH HHS/United States', 'DE05413/DE/NIDCR NIH HHS/United States', 'etc.']",,,,
3182722,NLM,MEDLINE,19881221,20071115,0004-5772 (Print) 0004-5772 (Linking),36,6,1988 Jun,Spontaneous rupture of spleen in acute myeloid leukaemia (AML),400,,"['Sarode, R', 'Varma, S C', 'Sakhuja, V', 'Varma, N', 'Ghosh, K', 'Banerjee, G K']","['Sarode R', 'Varma SC', 'Sakhuja V', 'Varma N', 'Ghosh K', 'Banerjee GK']",['eng'],"['Case Reports', 'Letter']",,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,,IM,"['Adolescent', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Male', 'Spleen/pathology', 'Splenic Rupture/*pathology']",1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1988 Jun;36(6):400.,,,,,,,
3182721,NLM,MEDLINE,19881221,20071115,0004-5772 (Print) 0004-5772 (Linking),36,6,1988 Jun,Aleukaemic leukaemia presenting as angina pectoris.,398,,"['Garg, S C', 'Dang, H S']","['Garg SC', 'Dang HS']",['eng'],"['Case Reports', 'Letter']",,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,,IM,"['Adult', 'Angina Pectoris/*etiology', 'Bone Marrow/pathology', 'Humans', 'Leukemia/*complications', 'Male']",1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1988 Jun;36(6):398.,,,,,,,
3182716,NLM,MEDLINE,19881221,20041117,0004-5772 (Print) 0004-5772 (Linking),36,6,1988 Jun,Chronic neutrophilic leukaemia: a case report.,389-90,,"['Sundar, S', 'Singh, V P', 'Dube, R K', 'Dube, B', 'Agrawal, N R']","['Sundar S', 'Singh VP', 'Dube RK', 'Dube B', 'Agrawal NR']",['eng'],"['Case Reports', 'Journal Article']",,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Alkaline Phosphatase/blood', 'Female', 'Humans', 'Leukemia, Neutrophilic, Chronic/*pathology', 'Leukocyte Count', 'Middle Aged', 'Neutrophils/pathology']",1988/06/01 00:00,1988/06/01 00:01,['1988/06/01 00:00'],"['1988/06/01 00:00 [pubmed]', '1988/06/01 00:01 [medline]', '1988/06/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1988 Jun;36(6):389-90.,,,,,,,
3182709,NLM,MEDLINE,19881220,20071115,0004-5772 (Print) 0004-5772 (Linking),36,5,1988 May,Central nervous system involvement in adult acute myeloblastic leukaemia.,355,,"['Rawat, R S', 'Parikh, P M', 'Charak, B S', 'Venugopal, P', 'Advani, S H']","['Rawat RS', 'Parikh PM', 'Charak BS', 'Venugopal P', 'Advani SH']",['eng'],"['Case Reports', 'Letter']",,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,,IM,"['Adult', 'Biopsy, Needle', 'Bone Marrow/pathology', 'Brain Neoplasms/*diagnosis', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis']",1988/05/01 00:00,1988/05/01 00:01,['1988/05/01 00:00'],"['1988/05/01 00:00 [pubmed]', '1988/05/01 00:01 [medline]', '1988/05/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1988 May;36(5):355.,,,,,,,
3182705,NLM,MEDLINE,19881220,20131121,0004-5772 (Print) 0004-5772 (Linking),36,5,1988 May,Chloramphenicol and preleukaemia/leukaemia.,351,,"['Shah, B M']",['Shah BM'],['eng'],"['Case Reports', 'Letter']",,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,['66974FR9Q1 (Chloramphenicol)'],IM,"['Adolescent', 'Chloramphenicol/*adverse effects/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Male', 'Preleukemia/*chemically induced', 'Typhoid Fever/*drug therapy']",1988/05/01 00:00,1988/05/01 00:01,['1988/05/01 00:00'],"['1988/05/01 00:00 [pubmed]', '1988/05/01 00:01 [medline]', '1988/05/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1988 May;36(5):351.,,,,,,"['J Assoc Physicians India. 1990 Sep;38(9):670-1. PMID: 2132493', 'J Assoc Physicians India. 1989 Sep;37(9):613-4. PMID: 2632567']",
3182659,NLM,MEDLINE,19881221,20131121,0004-5772 (Print) 0004-5772 (Linking),36,2,1988 Feb,Carbenicillin induced tremors.,184-5,,"['Charak, B s', 'Parikh, P M', 'Karandikar, S M', 'Pahuja, R', 'Koppikar, S', 'Gopal, R']","['Charak Bs', 'Parikh PM', 'Karandikar SM', 'Pahuja R', 'Koppikar S', 'Gopal R']",['eng'],"['Case Reports', 'Letter']",,India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,['G42ZU72N5G (Carbenicillin)'],IM,"['Adolescent', 'Bacterial Infections/*drug therapy', 'Carbenicillin/*adverse effects/therapeutic use', 'Humans', 'Male', 'Opportunistic Infections/*drug therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,J Assoc Physicians India. 1988 Feb;36(2):184-5.,,,,,,,
