PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,SI,PMC,OID,OTO,OT,GN,OAB,OABL,AD,RF
6888546,NLM,MEDLINE,19831008,20190617,0028-0836 (Print) 0028-0836 (Linking),305,5929,1983 Sep 1-7,Human leukaemia virus mimics cellular antigens.,12,,"['Weiss, R A']",['Weiss RA'],['eng'],['News'],England,Nature,Nature,0410462,"['0 (Antigens, Surface)', '0 (Antigens, Viral)', '0 (HLA Antigens)']",IM,"['Antigens, Surface/*immunology', 'Antigens, Viral/*immunology', 'HLA Antigens/immunology', 'Humans', 'Retroviridae/*immunology']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",['10.1038/305012a0 [doi]'],ppublish,Nature. 1983 Sep 1-7;305(5929):12. doi: 10.1038/305012a0.,,,,,,,,,,,,
6888327,NLM,MEDLINE,19831008,20190904,0098-1532 (Print) 0098-1532 (Linking),11,4,1983,Psychosocial aspects of pediatric leukemia: from diagnosis through the first six months of treatment.,269-78,"Newly diagnosed children with leukemia and their families were subjects of a longitudinal study to describe coping behaviors, to determine adequacy of coping, and to discover predictors of healthy coping with leukemia. Families were followed for six months during which time they were interviewed, completed tests and scales, and were rated by physicians, nurses, and psychosocial staff. Families showed a wide variety of reactions and coping behaviors. The data supported the hypothesis that most families cope well despite the stresses of the first six months post-diagnosis. Based on physicians' ratings, psychosocial intervention appeared to be effective for mothers during the early outpatient phase of treatment. Age of child, previous coping, coping of other family members, a good support system, and lack of additional stresses were significantly correlated with healthy coping. The need for longitudinal assessment of coping was stressed.","['Kupst, M J', 'Schulman, J L', 'Maurer, H', 'Morgan, E', 'Honig, G', 'Fochtman, D']","['Kupst MJ', 'Schulman JL', 'Maurer H', 'Morgan E', 'Honig G', 'Fochtman D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['*Adaptation, Psychological', 'Adolescent', 'Child', 'Child, Preschool', '*Family', 'Humans', 'Infant', 'Leukemia/*psychology', '*Psychology, Child', 'Schools', 'Time Factors']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1002/mpo.2950110412 [doi]'],ppublish,Med Pediatr Oncol. 1983;11(4):269-78. doi: 10.1002/mpo.2950110412.,['CA 19344/CA/NCI NIH HHS/United States'],,,,,,,,,,,
6888324,NLM,MEDLINE,19831008,20190904,0098-1532 (Print) 0098-1532 (Linking),11,4,1983,Central nervous system toxicity of high-dose cytosine arabinoside.,246-50,"Ten patients with refractory acute leukemia were treated with high-dose cytosine arabinoside (Ara-C) infusions. Nine patients had previously achieved at least one complete remission using standard chemotherapy protocols that include cytosine arabinoside. Eight of the ten had been on maintenance therapy. Twelve courses of treatment were given, with the cytosine arabinoside infused over 1-2 hours in a dose of 3 gm/m2. Each course consisted of 12 to 16 doses given at 12-hour intervals. The drug was generally well tolerated but five patients developed central nervous system symptoms characterized by ataxia, dysphasia, nystagmus, dysdiadochokinesis, and a decreased level of consciousness. These changes began 3 to 34 days after the initiation of therapy and were severe at the time of death in two of the patients. One complete and one partial remission, lasting 2.5 months and 1 month, respectively, were documented. This experience suggests that high-dose Ara-C is of limited usefulness in refractory acute leukemia and may be frequently associated with significant neurotoxicity.","['Grossman, L', 'Baker, M A', 'Sutton, D M', 'Deck, J H']","['Grossman L', 'Baker MA', 'Sutton DM', 'Deck JH']",['eng'],['Journal Article'],United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['04079A1RDZ (Cytarabine)'],IM,"['Acute Disease', 'Adult', 'Aged', 'Central Nervous System/*drug effects', 'Cerebellum/drug effects', 'Cytarabine/*toxicity', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Middle Aged']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1002/mpo.2950110408 [doi]'],ppublish,Med Pediatr Oncol. 1983;11(4):246-50. doi: 10.1002/mpo.2950110408.,,,,,,,,,,,,
6888321,NLM,MEDLINE,19831008,20190904,0098-1532 (Print) 0098-1532 (Linking),11,4,1983,Leukemia presenting as central nervous disease without bone marrow involvement.,229-32,"A case of a nine-year-old boy who presented with central nervous system leukemia is described. This case was unusual because he presented without initial bone marrow involvement. Bone marrow involvement was documented 15 months after central nervous disease was diagnosed. Immunologic marker studies revealed that the spinal fluid blasts lacked definable B-cell, pre-B cell, T-cell, and pre-T cell surface markers. The marker studies helped to define the nature of the disease process.","['Ganick, D J', 'Sondel, P M', 'Gilbert, E F', 'Borcherding, W']","['Ganick DJ', 'Sondel PM', 'Gilbert EF', 'Borcherding W']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Bone Marrow/pathology', 'Central Nervous System Diseases/immunology/*pathology/therapy', 'Child', 'Humans', 'Leukemia, Lymphoid/immunology/*pathology/therapy', 'Male']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1002/mpo.2950110404 [doi]'],ppublish,Med Pediatr Oncol. 1983;11(4):229-32. doi: 10.1002/mpo.2950110404.,,,,,,,,,,,,
6888320,NLM,MEDLINE,19831008,20190904,0098-1532 (Print) 0098-1532 (Linking),11,4,1983,Early death in acute leukemia in children.,225-8,"Therapy for acute leukemia in children has improved dramatically in recent years so that early death is rare. A subset of patients with extreme elevation of the WBC at diagnosis have been noted to have a higher rate of early death. We reviewed our experience with acute leukemia in children retrospectively over a 10 year period to assess the incidence and outcome of this problem. Nine early deaths occurred in a total of 185 cases (4.9%). One hundred and sixty patients presented with WBC less than 100,000/mm3 at diagnosis and four (2.5%) early deaths occurred. Twenty-five patients presented with WBC greater than 100,000/mm3 at diagnosis and five (20%) early deaths occurred (p less than 0.001). While early death in acute leukemia in children is uncommon (4.9%), patients with extremely elevated WBC at diagnosis have a significantly higher risk of early death.","['Dearth, J', 'Salter, M', 'Wilson, E', 'Kelly, D', 'Crist, W']","['Dearth J', 'Salter M', 'Wilson E', 'Kelly D', 'Crist W']",['eng'],['Journal Article'],United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Acute Disease', 'Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia/blood/*complications/mortality', 'Leukocyte Count']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1002/mpo.2950110403 [doi]'],ppublish,Med Pediatr Oncol. 1983;11(4):225-8. doi: 10.1002/mpo.2950110403.,,,,,,,,,,,,
6887963,NLM,MEDLINE,19831008,20190825,0145-2126 (Print) 0145-2126 (Linking),7,3,1983,The effect of histidine ammonia-lyase on some murine tumours.,421-9,"The histidine ammonia-lyase from bacterial strain CAMR 5315 was partially purified to assess its effect on the growth of murine tumours. This strain was selected as the source after an extensive screening programme for histidine ammonia-lyases. The enzyme was partially purified by ammonium sulphate fractionation, chromatography on DEAE-cellulose and Sephadex G-150. The enzyme reduced circulating L-histidine levels in Wistar rats and in mice persisted with a half-life of 6-7 h. Neither LDH virus nor chemical modification with ethylacetimidate increased the half-life as observed with L-asparaginase and L-glutaminase. The enzyme was tested in mice against Ehrlich carcinoma, L5178Y lymphoblastic leukaemia, Mc/S sarcoma, B16 melanoma, P8157 mastocytoma, P1798 lymphosarcoma and the Gardner 6C3HED lymphosarcoma. The only tumours to show sensitivity to the enzyme were the Mc/S sarcoma against which a 65% increase in life span was observed at the highest enzyme dose, 1000 U/kg on alternate days over 14 days and the Ehrlich ascites carcinoma where cures were obtained at 250 U/kg on alternate days over 14 days, but only at inocula levels of 10(5) and 10(3) cells/animal respectively.","['Jack, G W', 'Wiblin, C N', 'McMahon, P C']","['Jack GW', 'Wiblin CN', 'McMahon PC']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['EC 4.3.1.- (Ammonia-Lyases)', 'EC 4.3.1.3 (Histidine Ammonia-Lyase)']",IM,"['Ammonia-Lyases/*therapeutic use', 'Animals', 'Bacteria/enzymology', 'Carcinoma, Ehrlich Tumor/*drug therapy', 'Drug Evaluation, Preclinical', 'Histidine Ammonia-Lyase/isolation & purification/metabolism/*therapeutic use', 'Kinetics', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Sarcoma, Experimental/*drug therapy', 'Species Specificity']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1016/0145-2126(83)90106-6 [doi]'],ppublish,Leuk Res. 1983;7(3):421-9. doi: 10.1016/0145-2126(83)90106-6.,,,,,,,,,,,,
6887757,NLM,MEDLINE,19831008,20190711,0023-2173 (Print) 0023-2173 (Linking),61,14,1983 Jul 15,Antimicrobial prophylaxis in acute leukaemia: prospective randomized study comparing two methods of selective decontamination.,691-8,"In a prospective study the efficacy of two regimens for selective decontamination of the digestive tract was studied in patients with acute leukaemia during remission induction therapy. Seventy-eight patients were randomized to receive either a combination of cotrimoxazole, polymyxin B and nystatin (group A) or a combination of nalidixic acid, polymyxin B, neomycin and nystatin. With both regimens the gastrointestinal tract could be decontaminated equally effectively from potential pathogens. In the oropharyngeal region the decontamination from Enterobacteriaceae was significantly better in group A (P less than 0.01). In both groups less than 10% of the acquired infections were caused by gram-negative bacilli and no gram-negative septicaemia occurred in either group. The median time interval until the first acquired infection was 17 days in group A and 36 days in group B, respectively (P less than 0.05). It is concluded that regimen A might be more effective than regimen B though both regimens prevent reliably severe gram-negative infections.","['Kurrle, E', 'Bhaduri, S', 'Krieger, D', 'Pflieger, H', 'Heimpel, H']","['Kurrle E', 'Bhaduri S', 'Krieger D', 'Pflieger H', 'Heimpel H']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,"['0 (Aminoglycosides)', '0 (Anti-Bacterial Agents)', '0 (Cephalosporins)', '0 (Penicillins)', '7XU7A7DROE (Amphotericin B)', 'D83282DT06 (Flucytosine)', 'UH95VD7V76 (Oxacillin)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Aminoglycosides/therapeutic use', 'Amphotericin B/therapeutic use', 'Anti-Bacterial Agents/*therapeutic use', 'Bacterial Infections/*prevention & control', 'Candidiasis/prevention & control', 'Cephalosporins/therapeutic use', 'Enterobacteriaceae Infections/prevention & control', 'Female', 'Flucytosine/therapeutic use', 'Humans', 'Leukemia/*complications', 'Male', 'Middle Aged', 'Oxacillin/therapeutic use', 'Penicillins/therapeutic use', 'Prospective Studies', 'Staphylococcal Infections/prevention & control', 'Streptococcal Infections/prevention & control']",1983/07/15 00:00,1983/07/15 00:01,['1983/07/15 00:00'],"['1983/07/15 00:00 [pubmed]', '1983/07/15 00:01 [medline]', '1983/07/15 00:00 [entrez]']",['10.1007/BF01487614 [doi]'],ppublish,Klin Wochenschr. 1983 Jul 15;61(14):691-8. doi: 10.1007/BF01487614.,,,,,,,,,,,,
6887555,NLM,MEDLINE,19831008,20041117,0368-2811 (Print) 0368-2811 (Linking),13,2,1983 Jun,A study of leukemic cell migration by an agarose plate method.,343-52,"By means of inducing random migration of leukemic cells in human peripheral blood by an agarose plate method, a study was made to see how migration distance and cell morphology after migration differed with the type of leukemia. After 3 days of incubation, the distance of random migration in cells of lymphocytic leukemia patients was on the average 0.41 mm for the cells of 13 patients with adult T-cell leukemia/lymphoma and 0.03 mm for the cells of four patients with chronic lymphocytic leukemia which were all of B-cell origin. Thus leukemic cells of T-cell origin migrated farther than those of B-cell origin. In the cases of myelocytic leukemia, the distance of random migration was on the average 0.54 mm for the cells of five patients with acute myelocytic leukemia, 2.42 mm for the cells of three patients with acute myelomonocytic leukemia, 1.69 mm for the cells of four patients with chronic myelocytic leukemia at blastic crisis and 3.78 mm for the cells of one patient with chronic monocytic leukemia. Thus, cells of monocyte origin migrated quite well. Migrating cells differing from cells of smear samples retained their original natural morphology and were considered to serve as an aid in the differentiation of types of leukemia.","['Yamada, Y', 'Pinkston, J A', 'Neriishi, S', 'Ikeda, S', 'Kinoshita, K', 'Ichimaru, M', 'Finch, S C']","['Yamada Y', 'Pinkston JA', 'Neriishi S', 'Ikeda S', 'Kinoshita K', 'Ichimaru M', 'Finch SC']",['eng'],['Journal Article'],England,Jpn J Clin Oncol,Japanese journal of clinical oncology,0313225,['9012-36-6 (Sepharose)'],IM,"['Adult', 'Aged', 'Cell Movement', 'Female', 'Humans', 'Leukemia/blood/classification/*pathology', 'Leukocyte Count', 'Male', 'Middle Aged', 'Sepharose']",1983/06/01 00:00,1983/06/01 00:01,['1983/06/01 00:00'],"['1983/06/01 00:00 [pubmed]', '1983/06/01 00:01 [medline]', '1983/06/01 00:00 [entrez]']",,ppublish,Jpn J Clin Oncol. 1983 Jun;13(2):343-52.,,,,,,,,,,,,
6887537,NLM,MEDLINE,19831021,20061115,0485-1439 (Print) 0485-1439 (Linking),24,4,1983 Apr,[Interferon-activated killer cells].,363-7,,"['Oshimi, K', 'Mizoguchi, H']","['Oshimi K', 'Mizoguchi H']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['0 (Interferon Type I)'],IM,"['Cytotoxicity, Immunologic', 'Humans', 'Interferon Type I/*pharmacology', 'Killer Cells, Natural/*immunology', 'Leukemia/immunology', 'Lymphoma/immunology']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1983 Apr;24(4):363-7.,,,,,,,,,,,,
6887451,NLM,MEDLINE,19831008,20190630,0098-7484 (Print) 0098-7484 (Linking),250,11,1983 Sep 16,'Individualizing' acute leukemia therapy.,1376-7,,"['Ziporyn, T']",['Ziporyn T'],['eng'],"['Comparative Study', 'News']",United States,JAMA,JAMA,7501160,,IM,"['Acute Disease', 'Drug Administration Schedule', 'Humans', 'Leukemia/*drug therapy/mortality/therapy']",1983/09/16 00:00,1983/09/16 00:01,['1983/09/16 00:00'],"['1983/09/16 00:00 [pubmed]', '1983/09/16 00:01 [medline]', '1983/09/16 00:00 [entrez]']",['10.1001/jama.250.11.1376 [doi]'],ppublish,JAMA. 1983 Sep 16;250(11):1376-7. doi: 10.1001/jama.250.11.1376.,,,,,,,,,,,,
6887234,NLM,MEDLINE,19831008,20190821,0022-2631 (Print) 0022-2631 (Linking),75,1,1983,Relationships between carrier-mediated transport of folate compounds by L1210 leukemia cells: evidence for multiplicity of entry routes with different kinetic properties expressed in plasma membrane vesicles.,11-20,"Various independent kinetic criteria for indicating multiplicity of carrier-mediated entry of folate compounds into L1210 cell plasma membrane vesicles are studied. We find a marked inconsistency between values for influx Km and Ki in reciprocal experiments measuring competition between various folate compounds as well as inconsistent effects of transloading shown for 5-formyltetrahydrofolate influx, but not folic acid influx. These results argue strongly against a one-carrier model for transport of folate compounds. The most straightforward interpretation of our data is that two distinct transport systems mediate entry of folate compounds in L1210 plasma membrane vesicles. If a two-carrier model is correct, then our data indicate that one of the carriers has low capacity and high affinity for folate coenzymes and methotrexate. This system is apparently negligible as a transport route for folic acid. Transtimulation of initial influx by substrates of the low capacity system is obtained following transloading with coenzymes but not by transloading with folic acid. Our data indicate that the second folate transport system postulated by the two-carrier model has a low affinity for all the folate compounds studied. Nevertheless, the putative second system is significant, especially for folic acid transport, because it has a much higher capacity than the first transport system. In contrast to the first system, transloading with any of the folate compounds studied had no effect on initial influx mediated by the second folate transport system. The two systems are also differentially inhibited by pCMBS, DIDS and SITS and the influx Vmax for the high-affinity/low-capacity system was altered in a vesicle preparation derived from a methotrexate resistant L1210 cell line.","['Yang, C H', 'Dembo, M', 'Sirotnak, F M']","['Yang CH', 'Dembo M', 'Sirotnak FM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Membr Biol,The Journal of membrane biology,0211301,"['0 (Formyltetrahydrofolates)', '0 (Tetrahydrofolates)', '935E97BOY8 (Folic Acid)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Biological Transport', 'Cell Membrane/metabolism', 'Cytoplasmic Granules/metabolism', 'Diffusion', 'Drug Resistance', 'Folic Acid/*metabolism', 'Formyltetrahydrofolates/*metabolism', 'Kinetics', 'Leukemia L1210/*metabolism', 'Methotrexate/*metabolism/pharmacology', 'Mice', 'Structure-Activity Relationship', 'Tetrahydrofolates/*metabolism']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/BF01870795 [doi]'],ppublish,J Membr Biol. 1983;75(1):11-20. doi: 10.1007/BF01870795.,"['CA 08748/CA/NCI NIH HHS/United States', 'CA 24153/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6887210,NLM,MEDLINE,19831008,20190709,0022-2623 (Print) 0022-2623 (Linking),26,9,1983 Sep,"Synthesis, evaluation of chemical reactivity, and murine antineoplastic activity of 2-hydroxy-5-(3,4-dichlorophenyl)-6,7-bis(hydroxymethyl)-2,3-dihydro-1H- pyrrolizine bis(2-propylcarbamate) and 2-acyloxy derivatives as potential water-soluble prodrugs.",1333-8,"2-Hydroxy-5-(3,4-dichlorophenyl)-6,7-bis(hydroxymethyl)-2,3-dihydro-1H- pyrrolizine bis(2-propylcarbamate) (11) was prepared in a multistep synthesis. The 2-hydroxy group was used to prepare ester prodrugs 14 and 15, and the antineoplastic activities of 11, 14, and 15a were compared to 1 (the 2-deoxy analogue of 11) in murine P388 lymphocytic leukemia and B16 melanocarcinoma. The alcohol 11 showed comparable activity to 1, while 14 was less active and 15a showed very low activity. The hydrolytic rates of 1, 11, 14, 15a, and 15b were compared, and it was found that the two carbamate moieties were much more susceptible toward hydrolysis than the C-2 esters. The salts 15a and 15b exhibited good water solubility, 3.0 X 10(-2) and 3.88 X 10(-2) M, respectively.","['Anderson, W K', 'Chang, C P', 'McPherson, H L Jr']","['Anderson WK', 'Chang CP', 'McPherson HL Jr']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Carbamates)', '0 (Dosage Forms)', '059QF0KO0R (Water)', '86422-04-0', '(2-hydroxy-5-(3,4-dichlorophenyl)-6,7-bis(hydroxymethyl)-2,3-dihydro-1H-pyrrolizi', 'ne bis(2-propylcarbamate))']",IM,"['Animals', 'Antineoplastic Agents/administration & dosage/*chemical synthesis', 'Carbamates/administration & dosage/*chemical synthesis', 'Chromatography, High Pressure Liquid', 'Dosage Forms', 'Leukemia P388/drug therapy', 'Mice', 'Solubility', 'Water']",1983/09/01 00:00,2001/03/28 10:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1983/09/01 00:00 [entrez]']",['10.1021/jm00363a023 [doi]'],ppublish,J Med Chem. 1983 Sep;26(9):1333-8. doi: 10.1021/jm00363a023.,"['CA 09166/CA/NCI NIH HHS/United States', 'CA 22935/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6887199,NLM,MEDLINE,19831008,20190709,0022-2623 (Print) 0022-2623 (Linking),26,9,1983 Sep,Analogues of hycanthone and lucanthone as antitumor agents.,1240-6,"Hycanthone analogues (5 and 6) containing 7-substituted hydroxyl groups were prepared and evaluated as antitumor agents. These compounds were significantly more active than the corresponding unsubstituted derivatives. The 7-hydroxylated 4-(hydroxymethyl)-9H-xanthen-9-ones, 11 and 12, were also active antitumor agents. However, the 7-hydroxy-9H-xanthen-9-one counterparts of the 7-hydroxylucanthones were totally devoid of antitumor activity. Results obtained thus far are consistent with the hypothesis that 4-hydroxymethyl substituents in the 9H-xanthen-9-one and 9H-thioxanthen-9-one series are required for antitumor activity.","['Archer, S', 'Zayed, A H', 'Rej, R', 'Rugino, T A']","['Archer S', 'Zayed AH', 'Rej R', 'Rugino TA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (Thioxanthenes)', '2BXX5EVN2A (Hycanthone)', 'FC6D57000M (Lucanthone)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Chemical Phenomena', 'Chemistry', 'Hycanthone/analogs & derivatives/*therapeutic use', 'Leukemia P388/drug therapy', 'Lucanthone/*analogs & derivatives/therapeutic use', 'Mice', 'Thioxanthenes/*therapeutic use']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",['10.1021/jm00363a007 [doi]'],ppublish,J Med Chem. 1983 Sep;26(9):1240-6. doi: 10.1021/jm00363a007.,['CA-19674/CA/NCI NIH HHS/United States'],,,,,,,,,,,
6886929,NLM,MEDLINE,19831008,20190630,0022-3476 (Print) 0022-3476 (Linking),103,3,1983 Sep,Biphenotypic neonatal leukemia.,500-1,,"['Ritchey, A K']",['Ritchey AK'],['eng'],['Letter'],United States,J Pediatr,The Journal of pediatrics,0375410,,IM,"['Humans', 'Infant, Newborn', 'Infant, Newborn, Diseases/*diagnosis', 'Leukemia/*diagnosis', 'Phenotype']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']","['S0022-3476(83)80447-8 [pii]', '10.1016/s0022-3476(83)80447-8 [doi]']",ppublish,J Pediatr. 1983 Sep;103(3):500-1. doi: 10.1016/s0022-3476(83)80447-8.,,,,,,,,,,,,
6886869,NLM,MEDLINE,19831028,20131121,0096-1736 (Print) 0096-1736 (Linking),25,8,1983 Aug,Lymphocytic leukemia and exposures to benzene and other solvents in the rubber industry.,598-602,"Previous epidemiological studies on one cohort of rubber industry workers indicated that observed mortality excesses from lymphocytic leukemia were related to solvent exposures. The results of a detailed examination of the solvent exposure histories of 15 cases of lymphocytic leukemia from this cohort and 30 matched industry controls are presented. Extensive review of historical solvent use, raw materials specifications and job description records were used to reconstruct exposures to specific agents. Cases were 4.5 times as likely as controls to have had direct exposures to both benzene and other solvents. Analysis by manufacturing production source of solvent revealed that cases spent greater proportions of their work experience in jobs with potential exposures to coal tar-based benzene and xylene. No differences were seen for petroleum-derived solvents.","['Arp, E W Jr', 'Wolf, P H', 'Checkoway, H']","['Arp EW Jr', 'Wolf PH', 'Checkoway H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Occup Med,Journal of occupational medicine. : official publication of the Industrial Medical Association,7502807,"['0 (Solvents)', '0 (Xylenes)', '9006-04-6 (Rubber)', 'J64922108F (Benzene)']",IM,"['Adult', 'Aged', 'Benzene/*adverse effects', 'Female', 'Humans', 'Leukemia, Lymphoid/*chemically induced/epidemiology', 'Male', 'Middle Aged', 'Occupational Diseases/*chemically induced/epidemiology', 'Rubber', 'Solvents/*adverse effects', 'Xylenes/adverse effects']",1983/08/01 00:00,2001/03/28 10:01,['1983/08/01 00:00'],"['1983/08/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1983/08/01 00:00 [entrez]']",,ppublish,J Occup Med. 1983 Aug;25(8):598-602.,,,,,,,,,,,,
6886861,NLM,MEDLINE,19831008,20131121,0096-1736 (Print) 0096-1736 (Linking),25,7,1983 Jul,Mortality studies of aluminum reduction plant workers: potroom and carbon department.,549-57,"The purpose of this study was to investigate mortality patterns of aluminum reduction plant workers. A cohort was formed of 21,829 workers with five or more years employment in 14 reduction plants. Progress of the study was reported quarterly to a Tripartite Committee consisting of representatives from labor, management and government. Although the results of other studies relative to an excess of lung cancer in aluminum workers were not confirmed, there were indications of a higher than expected mortality in pancreatic cancer, lymphohematopoietic cancers, genitourinary cancer, nonmalignant respiratory disease and benign and unspecified neoplasms.","['Rockette, H E', 'Arena, V C']","['Rockette HE', 'Arena VC']",['eng'],['Journal Article'],United States,J Occup Med,Journal of occupational medicine. : official publication of the Industrial Medical Association,7502807,['CPD4NFA903 (Aluminum)'],IM,"['*Aluminum', 'Cardiovascular Diseases/mortality', 'Electrolysis/*adverse effects', 'Humans', 'Kidney Neoplasms/mortality', 'Leukemia', 'Lymphoma/mortality', 'Male', 'Metallurgy', 'Occupational Diseases/*mortality', 'Pancreatic Neoplasms/mortality', 'Respiratory Tract Neoplasms/mortality', 'Stomach Neoplasms/mortality', 'Urinary Bladder Neoplasms/mortality']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",,ppublish,J Occup Med. 1983 Jul;25(7):549-57.,,,,,,,,,,,,
