PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,AB,TT,PMC,OID,GN,GR
274993,NLM,MEDLINE,19780901,20190619,0008-543X (Print) 0008-543X (Linking),41,6,1978 Jun,The Ommaya reservoir: newly recognized complications and recommendations for insertion and use.,2431-7,"['Bleyer, W A', 'Pizzo, P A', 'Spence, A M', 'Platt, W D', 'Benjamin, D R', 'Kolins, C J', 'Poplack, D G']","['Bleyer WA', 'Pizzo PA', 'Spence AM', 'Platt WD', 'Benjamin DR', 'Kolins CJ', 'Poplack DG']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Antineoplastic Agents/*administration & dosage', 'Brain Neoplasms/*drug therapy', 'Burkitt Lymphoma/drug therapy', 'Catheters, Indwelling/*adverse effects', 'Humans', 'Infant', 'Injections, Intraventricular/*adverse effects/instrumentation', 'Leukemia, Lymphoid/drug therapy', 'Male', 'Meningeal Neoplasms/*drug therapy', 'Methotrexate/administration & dosage', 'Neoplasm Seeding']",1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",['10.1002/1097-0142(197806)41:6<2431::aid-cncr2820410650>3.0.co;2-3 [doi]'],ppublish,Cancer. 1978 Jun;41(6):2431-7. doi: 10.1002/1097-0142(197806)41:6<2431::aid-cncr2820410650>3.0.co;2-3.,"['0 (Antineoplastic Agents)', 'YL5FZ2Y5U1 (Methotrexate)']","Two of 27 patients treated with intraventricular chemotherapy via an Ommaya reservoir developed unusual life-threatening complications attributable to the reservoir. In one patient treated for meningeal Burkitt's lymphoma, the cause of death was a large mass of tumor cells growing around the cannula. Also the tip of the cannula was found in the contralateral cerebral peduncle. In the other patient, the tip of the cannula apparently perforated the ventricular wall postoperatively and migrated into the contralateral thalamus. In both cases evidence for methotrexate-associated leukoencephalopathy was present at autopsy. Based on the experience with these two patients, we offer specific recommendations for reservoir insertion and use.",,,,,
274987,NLM,MEDLINE,19780814,20190501,0007-1447 (Print) 0007-1447 (Linking),1,6126,1978 Jun 10,Long remission after lymphoblastic transformation of chronic granulocytic leukaemia.,1525,"['Joyner, M V', 'Dujardin, P', 'Cassuto, J P', 'Audoly, P', 'Schneider, M']","['Joyner MV', 'Dujardin P', 'Cassuto JP', 'Audoly P', 'Schneider M']",['eng'],"['Case Reports', 'Journal Article']",England,Br Med J,British medical journal,0372673,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myeloid/drug therapy/*pathology', 'Remission, Spontaneous', 'Time Factors']",1978/06/10 00:00,1978/06/10 00:01,['1978/06/10 00:00'],"['1978/06/10 00:00 [pubmed]', '1978/06/10 00:01 [medline]', '1978/06/10 00:00 [entrez]']",['10.1136/bmj.1.6126.1525 [doi]'],ppublish,Br Med J. 1978 Jun 10;1(6126):1525. doi: 10.1136/bmj.1.6126.1525.,,,,PMC1605014,,,
274970,NLM,MEDLINE,19780828,20181113,0028-7091 (Print) 0028-7091 (Linking),54,4,1978 Apr,Epidemiological outlook on cancer.,349-65,"['Curnen, M G']",['Curnen MG'],['eng'],['Journal Article'],United States,Bull N Y Acad Med,Bulletin of the New York Academy of Medicine,7505398,IM,"['Adolescent', 'Adult', 'Aged', 'Breast Neoplasms/epidemiology', 'Female', 'Humans', 'Leukemia/epidemiology', 'Lung Neoplasms/epidemiology', 'Male', 'Middle Aged', 'Neoplasms/*epidemiology', 'Sex Factors', 'United States']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",,ppublish,Bull N Y Acad Med. 1978 Apr;54(4):349-65.,,,,PMC1807507,,,
274968,NLM,MEDLINE,19780828,20200108,0006-5242 (Print) 0006-5242 (Linking),36,6,1978 Jun 20,"[Clinical and cell kinetic data on the combination of cytosine arabinoside with daunorubicin, isosfamide, thioguanine, and vincristine for remission induction and maintenance in patients with acute myelocytic leukaemia (author's transl)].",372-6,"['Buchner, T h', 'Kamanabroo, D', 'Urbanitz, D', 'Hiddemann, W', 'van de Loo, J']","['Buchner Th', 'Kamanabroo D', 'Urbanitz D', 'Hiddemann W', 'van de Loo J']",['ger'],"['English Abstract', 'Journal Article']",Germany,Blut,Blut,0173401,IM,"['Adolescent', 'Adult', 'Aged', 'Cell Movement/drug effects', 'Cyclophosphamide/*analogs & derivatives', 'Cytarabine/*therapeutic use', 'Daunorubicin/*therapeutic use', 'Drug Therapy, Combination', 'Humans', 'Ifosfamide/*therapeutic use', 'Leukemia, Lymphoid/*drug therapy', 'Middle Aged', 'Remission, Spontaneous', 'Thioguanine/therapeutic use', 'Vincristine/*therapeutic use']",1978/06/20 00:00,1978/06/20 00:01,['1978/06/20 00:00'],"['1978/06/20 00:00 [pubmed]', '1978/06/20 00:01 [medline]', '1978/06/20 00:00 [entrez]']",['10.1007/BF01000596 [doi]'],ppublish,Blut. 1978 Jun 20;36(6):372-6. doi: 10.1007/BF01000596.,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'FTK8U1GZNX (Thioguanine)', 'UM20QQM95Y (Ifosfamide)', 'ZS7284E0ZP (Daunorubicin)']","31 adult patients (study A) with acute myelocytic leukaemia were treated for remission induction with cytosine arabinoside (ARA-C, 100 mg/m2/day) by a 7 (5) day continuous infusion. 3 (2) doses of daunorubicin (DNR, 45 mg/m2 i.v.) were added at daily intervals. For maintenance 5 day ARA-C was given monthly in sequential combination with DNR, thioguanine (TG), or ifosfamide (IFOS). 16 (52%) patients achieved complete remission (C.R.) after 1.8 (1-3) courses and 6.7 (3-10) weeks from treatment start. The median survival for responders and non-responders was 11.5 months, early death rate within 6 weeks was 3 (10%). Median remission duration was 13.5 months. Among 11 patients surving for 7-22 months 7 patients are in first remission for 5.5-20.5 months. DNR, IFOS and TG were given before the 3rd day of ARA-C infusion. In a previous group of 34 leukaemic patients and in 44 therapy courses DNA histograms of bone marrow cells using pulse cytophotometry showed marked accumulation in S-phase for 75% of courses. Also (G2 + M)-cells in the DNA distribution and thymidine pulse labelling indices were markedly increased in most cases, whereas thymidine uptake by scintillation counter was diminished and mitotic indices had not changed significantly. In now 15 patients (study B) the induction regimen was intensified by adding vincristine (VCR, 2 mg i.v.) and 3 doses of IFOS (600 mg/m2 i.v.). Preliminary results are 50% C.R. after 1,7 (1-2) courses and 6.8 (5-10) weeks from initiation of therapy. 2 patients died in the first 6 weeks.","Induktionsbehandlung der akuten myeloischen Leukamie mit Cytosin-Arabinosid -- Daunorubicin, zusatzlicher Effekt von Ifosfamid und Vincristin.",,,,
274967,NLM,MEDLINE,19780828,20190902,0006-5242 (Print) 0006-5242 (Linking),36,6,1978 Jun 20,[PHA- and PWM-stimulation in acute leukaemia (author's transl)].,347-351,"['Koeppen, K M', 'Boll, I']","['Koeppen KM', 'Boll I']",['ger'],"['English Abstract', 'Journal Article']",Germany,Blut,Blut,0173401,IM,"['Humans', 'In Vitro Techniques', 'Lectins', 'Leukemia, Myeloid, Acute/*immunology', 'Leukocytes/drug effects/*immunology', 'Lymphocyte Activation/drug effects', 'Mitogens', 'Stimulation, Chemical']",1978/06/20 00:00,1978/06/20 00:01,['1978/06/20 00:00'],"['1978/06/20 00:00 [pubmed]', '1978/06/20 00:01 [medline]', '1978/06/20 00:00 [entrez]']",['10.1007/BF01000592 [doi]'],ppublish,Blut. 1978 Jun 20;36(6):347-351. doi: 10.1007/BF01000592.,"['0 (Lectins)', '0 (Mitogens)']","Peripheral blood cells from patients with acute leukaemia were stimulated in RPMI-medium with Phytohaemagglutinin (PHA) and/or Pokeweed-Mitogen (PWM). Samples of the cultures were taken at 3, 5 and 7 day intervals for cytological characterization. From 119 cultures from 65 patients 76 cultures from 47 patients could be analysed. Cultures stimulated with PHA and/or PWM showed in 43,4% a higher stimulation rate in comparison with cultures from normal persons. These findings are discussed in relation to the increased agar-colony growth growth of leukaemic cells after in vitro PHA-stimulation and transformation of blast cells.",Antigenstimulation peripherer Leukozyten von Patienten mit akuten Leukamien.,,,,
274966,NLM,MEDLINE,19780828,20190902,0006-5242 (Print) 0006-5242 (Linking),36,6,1978 Jun 20,"[ALL-Associated antigen: occurrence on normal blood cells, cell-lines and leukaemic cells (author's transl)].",339-45,"['Rodt, H', 'Netzel, B', 'Thiel, E', 'Haas, R J', 'Huhn, D', 'Thierfelder, S']","['Rodt H', 'Netzel B', 'Thiel E', 'Haas RJ', 'Huhn D', 'Thierfelder S']",['ger'],"['English Abstract', 'Journal Article']",Germany,Blut,Blut,0173401,IM,"['Antigens, Neoplasm/*analysis', 'Cell Line', 'Cells, Cultured', 'Humans', 'Immune Sera', 'In Vitro Techniques', 'Leukemia/pathology', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/immunology']",1978/06/20 00:00,1978/06/20 00:01,['1978/06/20 00:00'],"['1978/06/20 00:00 [pubmed]', '1978/06/20 00:01 [medline]', '1978/06/20 00:00 [entrez]']",['10.1007/BF01000591 [doi]'],ppublish,Blut. 1978 Jun 20;36(6):339-45. doi: 10.1007/BF01000591.,"['0 (Antigens, Neoplasm)', '0 (Immune Sera)']","The specificity of an antiserum against ALL-cells lacking B- and T-cell markers was characterized. The antiserum was used in several indicator systems to investigate the expression of leukaemia-associated antigens on normal lymphocytes, lymphoid cell lines and various leukaemia cells. The relevance of such antisera for the detection and classification of leukaemic cell populations is discussed.","ALL-assoziiertes Antigen: Vorkommen auf normalen Blutzellen, Zell-Linien und Leukamiezellen.",,,,
274965,NLM,MEDLINE,19780814,20210216,0006-4971 (Print) 0006-4971 (Linking),52,1,1978 Jul,Inhibitor of hematopoietic cell proliferation derived from a human leukemic cell line.,143-52,"['Olofsson, T', 'Cline, M J']","['Olofsson T', 'Cline MJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,IM,"['Bone Marrow Cells', 'Cell Line', 'Cell Transformation, Neoplastic', 'Cells, Cultured', '*Hematopoiesis', 'Humans', 'Lectins/pharmacology', 'Leukemia, Myeloid/*blood', 'Lymphocyte Activation']",1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",['S0006-4971(20)68306-9 [pii]'],ppublish,Blood. 1978 Jul;52(1):143-52.,['0 (Lectins)'],"A continuously growing human myeloid leukemia cell line (K562) produced a potent high-molecular-weight inhibitor of hematopoietic cell proliferation. It was most active against myeloid stem cells (CFU-C) and proliferating T lymphocytes; it was less active against erythroid precursors (CFU-E) and did not inhibit fibroblasts or established lines of epithelioid cells or B lymphocytes. Inhibition of CFU-C was by direct interaction rather than by modulation of production of colony-stimulating activity and probably occurred at restricted points in the cell cycle. Inhibition could, within limits, be reversed by washing the target cells. Production of inhibitors of hematopoiesis is not a general property of established cell lines, and only two have thus far been identified in screening of 30 such lines.",,,,,
274942,NLM,MEDLINE,19780715,20190823,0004-8291 (Print) 0004-8291 (Linking),7,6,1977 Dec,Acute myeloblastic leukaemia with marrow fibrosis (malignant myelosclerosis): acute leukaemia or malignant myelosclerosis?,638-41,"['Manoharan, A', 'Pitney, W R']","['Manoharan A', 'Pitney WR']",['eng'],"['Case Reports', 'Journal Article']",Australia,Aust N Z J Med,Australian and New Zealand journal of medicine,1264322,IM,"['Acute Disease', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Middle Aged', 'Primary Myelofibrosis/*complications']",1977/12/01 00:00,1977/12/01 00:01,['1977/12/01 00:00'],"['1977/12/01 00:00 [pubmed]', '1977/12/01 00:01 [medline]', '1977/12/01 00:00 [entrez]']",['10.1111/j.1445-5994.1977.tb02322.x [doi]'],ppublish,Aust N Z J Med. 1977 Dec;7(6):638-41. doi: 10.1111/j.1445-5994.1977.tb02322.x.,,"Malignant myelosclerosis has been described as a rare form of acute myeloproliferative disorder characterised by minimal or absent splenomegaly, cytopenias, circulating myeloblasts and diffuse marrow fibrosis, but distinction between this entity and acute myeloblastic leukaemia with marrow fibrosis is difficult. This report describes a 50-year-old man who presented with features similar to those of malignant myelosclerosis but ther terminal stage was characterised by generalised lymphadenopathy, bone tenderness, marked leucocytosis and myeloblastaemia. Post mortem examination showed multiple chloromata consisting of myeloblasts. These findings suggest that malignant myelosclerosis may be but a variant of acute myeloblastic leukaemia and probably should be treated similarly. A possible association between diagnostic medical irradiation and this acute myeloproliferative disorder is discussed.",,,,,
274919,NLM,MEDLINE,19780724,20190717,0003-9942 (Print) 0003-9942 (Linking),35,6,1978 Jun,Allescheria (Petriellidium) boydii brain abscess in a child with leukemia.,386-8,"['Bell, W E', 'Myers, M G']","['Bell WE', 'Myers MG']",['eng'],"['Case Reports', 'Journal Article']",United States,Arch Neurol,Archives of neurology,0372436,IM,"['Amphotericin B/therapeutic use', 'Ascomycota', 'Brain Abscess/*etiology/therapy', 'Child, Preschool', 'Drainage', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male', 'Mycoses/*etiology/therapy']",1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",['10.1001/archneur.1978.00500300060011 [doi]'],ppublish,Arch Neurol. 1978 Jun;35(6):386-8. doi: 10.1001/archneur.1978.00500300060011.,['7XU7A7DROE (Amphotericin B)'],A 3-year-old boy with acute lymphoblastic leukemia developed a right frontal lobe abscess from which Allescheria (Petriellidium) boydii was cultured. The mycotic infection complicating his underlying disease appeared to be confined to the brain. Surgical drainage and therapy with amphotericin B were followed by eventual recovery with no neurologic deficits.,,,,,
274915,NLM,MEDLINE,19780715,20071115,0003-4509 (Print) 0003-4509 (Linking),35,11-12,1977 Nov-Dec,[Disparity in the regression of various biosyntheses affecting blasts from acute leukemia of low myeloblastic differentiation].,427-33,"['Piette, C', 'Piette, M']","['Piette C', 'Piette M']",['fre'],"['English Abstract', 'Journal Article']",France,Ann Pharm Fr,Annales pharmaceutiques francaises,2985176R,IM,"['Animals', 'Leukemia, Myeloid, Acute/*metabolism/pathology', 'Mice']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",,ppublish,Ann Pharm Fr. 1977 Nov-Dec;35(11-12):427-33.,,,Disparite dans la regression de certaines biosyntheses affectant les blastes des leucemies aigues a faible differenciation myeloblastique.,,,,
274914,NLM,MEDLINE,19780724,20131121,0003-410X (Print) 0003-410X (Linking),129,3,1978 Mar,"[Myelomonocytoid leukemia, abnormal cellular clone with a marker chromosome, evolution with a possible cure].",215-8,"['Rouesse, J', 'Berger, R', 'Amiel, J L']","['Rouesse J', 'Berger R', 'Amiel JL']",['fre'],"['Case Reports', 'Journal Article']",France,Ann Med Interne (Paris),Annales de medecine interne,0171744,IM,"['Adult', 'Chromosomes, Human, 21-22 and Y/analysis', 'Clone Cells/*analysis', 'Cytodiagnosis', 'Cytogenetics', 'Etoposide/therapeutic use', 'Female', 'Humans', 'Leukemia/drug therapy', 'Leukemia, Myeloid/*diagnosis/genetics']",1978/03/01 00:00,1978/03/01 00:01,['1978/03/01 00:00'],"['1978/03/01 00:00 [pubmed]', '1978/03/01 00:01 [medline]', '1978/03/01 00:00 [entrez]']",,ppublish,Ann Med Interne (Paris). 1978 Mar;129(3):215-8.,['6PLQ3CP4P3 (Etoposide)'],,"Leucemie myelomonocytoide, clone cellulaire anormal avec chromosome ""marqueur"", evolution vers une possible guerison.",,,,
274907,NLM,MEDLINE,19780724,20190626,0002-9343 (Print) 0002-9343 (Linking),64,6,1978 Jun,Cellular immunologic studies of a patient with monocytic leukemia.,1061-8,"['Ackerman, S K', 'Bumol, T F', 'Kay, N E', 'Douglas, S D']","['Ackerman SK', 'Bumol TF', 'Kay NE', 'Douglas SD']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Med,The American journal of medicine,0267200,IM,"['Chemotaxis, Leukocyte', 'Cytotoxicity, Immunologic', 'Humans', '*Immunity, Cellular', 'Leukemia, Myeloid/*immunology/pathology', 'Leukocyte Adherence Inhibition Test', 'Leukocytes/immunology', 'Male', 'Middle Aged', 'Monocytes/ultrastructure', 'Receptors, Antigen, B-Cell/analysis']",1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']","['0002-9343(78)90462-X [pii]', '10.1016/0002-9343(78)90462-x [doi]']",ppublish,Am J Med. 1978 Jun;64(6):1061-8. doi: 10.1016/0002-9343(78)90462-x.,"['0 (Receptors, Antigen, B-Cell)']",,,,,,
274906,NLM,MEDLINE,19780724,20190819,0361-8609 (Print) 0361-8609 (Linking),4,1,1978,The distinctive features of acute monocytic leukemia.,97-103,"['Shaw, M T']",['Shaw MT'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Blood Coagulation Disorders/etiology', 'Cell Nucleus/ultrastructure', 'Disseminated Intravascular Coagulation/etiology', 'Esterases', 'Etoposide/therapeutic use', 'Gingival Hypertrophy/etiology', 'Histocytochemistry', 'Humans', 'Leukemia, Monocytic, Acute/*diagnosis/drug therapy', 'Lymph Nodes/pathology', 'Monocytes/ultrastructure', 'Muramidase/blood', 'Prednisolone/therapeutic use', 'Vinblastine/therapeutic use', 'Vincristine/therapeutic use']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",['10.1002/ajh.2830040113 [doi]'],ppublish,Am J Hematol. 1978;4(1):97-103. doi: 10.1002/ajh.2830040113.,"['5J49Q6B70F (Vincristine)', '5V9KLZ54CY (Vinblastine)', '6PLQ3CP4P3 (Etoposide)', '9PHQ9Y1OLM (Prednisolone)', 'EC 3.1.- (Esterases)', 'EC 3.2.1.17 (Muramidase)']","Acute monocytic leukemia is an uncommon form of acute leukemia. Distinctive clinical features include gingival hypertrophy, lymphoadenopathy, coagulation disorders, and lysozymuria. Blast cell morphology and cytochemistry are diagnostic. Receptors for the Fc fragment of IgG have been demonstrated on the basis of a few cases. The drug VP 16-213 has been shown to be very effective in treatment of untreated and previously treated patients.",,,,,
274905,NLM,MEDLINE,19780724,20190819,0361-8609 (Print) 0361-8609 (Linking),4,1,1978,Acute lymphoblastic leukemia--hand mirror cell variant: a detailed cytological and ultrastructural study with an analysis of the immunologic surface markers.,67-77,"['Stass, S A', 'Perlin, E', 'Jaffe, E S', 'Simon, D R', 'Creegan, W J', 'Robinson, J J', 'Holloway, M L', 'Schumacher, H R']","['Stass SA', 'Perlin E', 'Jaffe ES', 'Simon DR', 'Creegan WJ', 'Robinson JJ', 'Holloway ML', 'Schumacher HR']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Binding Sites', 'Bone Marrow/immunology/*ultrastructure', 'Cell Membrane/immunology/ultrastructure', 'Chromosomes, Human', 'Female', 'Humans', 'Immunoglobulin G', 'Immunoglobulin M', 'Karyotyping', 'Leukemia, Lymphoid/immunology/*ultrastructure', 'Microscopy, Electron', 'Rosette Formation']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",['10.1002/ajh.2830040109 [doi]'],ppublish,Am J Hematol. 1978;4(1):67-77. doi: 10.1002/ajh.2830040109.,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)']","Acute lymphoblastic leukemia was observed in a 22-year-old white female patient and was manifested by normal palelet counts, 50--60% hand mirror cells (HMC) in the bone marrow, and prolonged survival without treatment. The characteristic neoplastic cell had a nucleus within the ""mirror"" portion and a cytoplasmic uropod forming the ""handle"" portion. The presence of acid phosphatase and beta-glucuronidase activity suggested that the cell was a T cell lymphoblast. However, extensive immunologic surface marker studies indicated the cells were non-T, non-B. Terminal transferase activity further supported the lymphoid nature of the cell. The hand mirrow cells were considered a real phenomenon since they were demonstrated on phase contrast microscopy, scanning electron microscopy, and transmission electron microscopy. The cells did not grow in tissue culture and cytogenetics revealed a normal female karyotype. From the above observations, the HMC is a lymphoblast with morphological, cytochemical, and immunological features which may differentiate it from the usual cell in acute lymphoblastic leukemia. Therefore, cases involving increased numbers of hand mirror cells in the bone marrow and acute lymphoblastic leukemia require further investigation to elucidate the full importance of this cell. This study represents the first attempt to investigate this cell in detail.",,,,,
274904,NLM,MEDLINE,19780726,20190716,0002-922X (Print) 0002-922X (Linking),132,6,1978 Jun,Spinal fluid LDH activity in children with acute leukemia.,634-5,"['Reeves, J D', 'Hutter, J J Jr', 'Favara, B E']","['Reeves JD', 'Hutter JJ Jr', 'Favara BE']",['eng'],['Journal Article'],United States,Am J Dis Child,American journal of diseases of children (1960),0370471,IM,"['Adolescent', 'Central Nervous System Diseases/*cerebrospinal fluid/etiology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'L-Lactate Dehydrogenase/*cerebrospinal fluid', 'Leukemia, Lymphoid/*cerebrospinal fluid/diagnosis', 'Male', 'Recurrence']",1978/06/01 00:00,2001/03/28 10:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1978/06/01 00:00 [entrez]']",['10.1001/archpedi.1978.02120310098022 [doi]'],ppublish,Am J Dis Child. 1978 Jun;132(6):634-5. doi: 10.1001/archpedi.1978.02120310098022.,['EC 1.1.1.27 (L-Lactate Dehydrogenase)'],,,,,,
274898,NLM,MEDLINE,19780715,20190819,0001-656X (Print) 0001-656X (Linking),67,3,1978 May,Blood volume of children with leukemia.,281-4,"['Linderkamp, O', 'Lau, B', 'Riegel, K P', 'Betke, K']","['Linderkamp O', 'Lau B', 'Riegel KP', 'Betke K']",['eng'],['Journal Article'],Sweden,Acta Paediatr Scand,Acta paediatrica Scandinavica,0000211,IM,"['Adolescent', '*Blood Volume', 'Child', 'Child, Preschool', 'Erythrocyte Volume', 'Hematocrit', 'Hepatomegaly/blood', 'Humans', 'Infant', 'Leukemia/*physiopathology', 'Leukemia, Lymphoid/physiopathology', 'Leukemia, Monocytic, Acute/physiopathology', 'Leukemia, Myeloid/physiopathology', 'Leukemia, Myeloid, Acute/physiopathology', 'Plasma Volume', 'Splenomegaly/blood']",1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",['10.1111/j.1651-2227.1978.tb16321.x [doi]'],ppublish,Acta Paediatr Scand. 1978 May;67(3):281-4. doi: 10.1111/j.1651-2227.1978.tb16321.x.,,"Blood volume was measured using 125iodinated human serum albumin in 27 children with acute lymphoblastic leukemia, and in 7 children with various types of leukemia. Total blood volume was normal in patients without marked enlargement of spleen and liver, and increased progressively as spleen and liver size increased. The hypervolemia was entirely due to expansion of plasma volume. In the children with marked hepatosplenomegaly, only hematocrit (but not red cell mass) was below the normal range in most cases. Both hematocrit and red cell mass were subnormal in the majority of patients without considerably enlarged spleen and liver. Therefore, anemia in children with marked hepatosplenomegaly may be partly caused by hemodilution of red blood cells in expanded plasma volume.",,,,,
274887,NLM,MEDLINE,19780726,20071115,0001-5547 (Print) 0001-5547 (Linking),22,1,1978 Jan-Feb,Intracellular starch granules in cytologic material.,36-7,"['Reinhartz, T', 'Lijovetzky, G', 'Levij, I S']","['Reinhartz T', 'Lijovetzky G', 'Levij IS']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Cytol,Acta cytologica,0370307,IM,"['Cerebrospinal Fluid/*cytology', 'Child', 'Cytodiagnosis', '*Diagnostic Errors', 'Humans', 'Leukemia, Lymphoid/*diagnosis', 'Male', 'Phagocytes/*physiology', '*Phagocytosis', '*Starch']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",,ppublish,Acta Cytol. 1978 Jan-Feb;22(1):36-7.,['9005-25-8 (Starch)'],"Starch glove powder may contaminate the environment and material removed from patients. When such material is not fixed immediately, starch granules may be ingested by viable phagocytes, possibly giving rise to the mistaken impression that phagocytosis took place in the body of the patient. The presence of phagocytosed material in cytologic preparations should not automatically lead to the conclusion that intravital phagocytosis has taken place.",,,,,
274807,NLM,MEDLINE,19780715,20190907,0036-553X (Print) 0036-553X (Linking),20,4,1978 Apr,Familial erythroleukaemia: a cytogenetic and haematological study.,351-9,"['Davidson, R J', 'Walker, W', 'Watt, J L', 'Page, B M']","['Davidson RJ', 'Walker W', 'Watt JL', 'Page BM']",['eng'],"['Case Reports', 'Journal Article']",Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Adult', 'Bone Marrow/ultrastructure', '*Chromosome Aberrations', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/blood/*genetics', 'Male', 'Pedigree']",1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",['10.1111/j.1600-0609.1978.tb02467.x [doi]'],ppublish,Scand J Haematol. 1978 Apr;20(4):351-9. doi: 10.1111/j.1600-0609.1978.tb02467.x.,,Clinical and haematological details of 2 siblings with a familial myeloproliferative disorder (erythroleukaemia) are presented. Their father is presumed to have died from a similar disease. The 2 siblings showed similar but not identical chromosomal abnormalities detected initially in marrow and later in peripheral blood. Serial studies revealed the emergence of an increasingly diverse pattern of chromosomal changes coincident with the haematological and clinical progression of the disease. Other members of the family were screened for cytogenetic and haematological changes. The paternal sibship displayed an increased incidence of cancer.,,,,,
