PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,LID,OID
5237172,NLM,MEDLINE,19680410,20190709,0022-2623 (Print) 0022-2623 (Linking),11,1,1968 Jan,"Irreversible enzyme inhibitors. CX. Candidate irreversible inhibitors of dihydrofolic reductase derived from 4,6-diamino-1,2-dihydro-2,2-dimethyl-1-phenyl-s-triazine. IV.",34-7,"['Baker, B R', 'Lourens, G J']","['Baker BR', 'Lourens GJ']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Amides)', '0 (Amines)', '0 (Benzene Derivatives)', '0 (Folic Acid Antagonists)', '0 (Triazines)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'SBV4XY874G (Bromine)']",IM,"['Amides', 'Amines', 'Animals', 'Benzene Derivatives', 'Binding Sites', 'Bromine', 'Carcinoma 256, Walker/enzymology', 'Chemical Phenomena', 'Chemistry', 'Columbidae', '*Folic Acid Antagonists', 'Leukemia L1210/enzymology', 'Liver/enzymology', 'Methods', 'Mice', 'Rats', 'Tetrahydrofolate Dehydrogenase/metabolism', '*Triazines/chemical synthesis/pharmacology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,J Med Chem. 1968 Jan;11(1):34-7. doi: 10.1021/jm00307a006.,['10.1021/jm00307a006 [doi]'],,,,,
5237171,NLM,MEDLINE,19680410,20190709,0022-2623 (Print) 0022-2623 (Linking),11,1,1968 Jan,"Irreversible enzyme inhibitors. CIX. Candidate irreversible inhibitors of dihydrofolic reductase derived from 4,6-diamino-1,2-dihydro-2,2-dimethyl-1-phenyl-s-triazine. 3.",26-33,"['Baker, B R', 'Lourens, G J']","['Baker BR', 'Lourens GJ']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Amides)', '0 (Amines)', '0 (Benzene Derivatives)', '0 (Folic Acid Antagonists)', '0 (Sulfonic Acids)', '0 (Triazines)', '284SYP0193 (Fluorine)', '4R7X1O2820 (Chlorine)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'SBV4XY874G (Bromine)']",IM,"['Amides', 'Amines', 'Animals', 'Benzene Derivatives', 'Binding Sites', 'Bromine', 'Carcinoma 256, Walker/enzymology', 'Chemical Phenomena', 'Chemistry', 'Chlorine', 'Columbidae', 'Fluorine', '*Folic Acid Antagonists', 'Leukemia L1210/enzymology', 'Liver/enzymology', 'Methods', 'Mice', 'Rats', 'Sulfonic Acids', 'Tetrahydrofolate Dehydrogenase/metabolism', '*Triazines/chemical synthesis/pharmacology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,J Med Chem. 1968 Jan;11(1):26-33. doi: 10.1021/jm00307a005.,['10.1021/jm00307a005 [doi]'],,,,,
5236277,NLM,MEDLINE,19680409,20081121,0044-6912 (Print) 0044-6912 (Linking),5,1,1967 Jun,[Histological investigations on the effect of chemotherapy on the tongue and palatine tonsil in autopsy case with leukemia].,23-9,"['Takeuchi, J', 'Kano, S']","['Takeuchi J', 'Kano S']",['jpn'],['Journal Article'],Japan,Aichi Gakuin Daigaku Shigakkai Shi,Aichi Gakuin Daigaku Shigakkai shi,7501066,['0 (Adrenal Cortex Hormones)'],,"['Adrenal Cortex Hormones/pharmacology', 'Dentistry', 'Leukemia/drug therapy', 'Palatine Tonsil/drug effects', 'Tongue/drug effects', 'Tongue Neoplasms/drug therapy', 'Tonsillar Neoplasms/drug therapy']",1967/06/01 00:00,1967/06/01 00:01,['1967/06/01 00:00'],"['1967/06/01 00:00 [pubmed]', '1967/06/01 00:01 [medline]', '1967/06/01 00:00 [entrez]']",ppublish,Aichi Gakuin Daigaku Shigakkai Shi. 1967 Jun;5(1):23-9.,,,,,,
5236265,NLM,MEDLINE,19680408,20080701,0325-0075 (Print) 0325-0075 (Linking),64,5,1966 May-Aug,[Epidemiology of acute leukemia in childhood].,195-7,"['Delaux, C A']",['Delaux CA'],['spa'],['Journal Article'],Argentina,Arch Argent Pediatr,Archivos argentinos de pediatria,0372460,,IM,"['Child', 'Humans', 'Leukemia, Lymphoid/*epidemiology']",1966/05/01 00:00,1966/05/01 00:01,['1966/05/01 00:00'],"['1966/05/01 00:00 [pubmed]', '1966/05/01 00:01 [medline]', '1966/05/01 00:00 [entrez]']",ppublish,Arch Argent Pediatr. 1966 May-Aug;64(5):195-7.,,Epidemiologia de la leucemia aguda en la infancia.,,,,
5236230,NLM,MEDLINE,19680408,20041117,0026-6620 (Print) 0026-6620 (Linking),65,1,1968 Jan,Preleukemic myelogenous leukemia in the elderly: the value of leukocyte alkaline phosphatase determinations in the diagnosis. Case reports.,"31-5, 9","['Townsend, J F', 'Senhauser, D A']","['Townsend JF', 'Senhauser DA']",['eng'],['Journal Article'],United States,Mo Med,Missouri medicine,0400744,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Age Factors', 'Aged', 'Alkaline Phosphatase/*blood', 'Bone Marrow Examination', 'Female', 'Humans', 'Leukemia, Myeloid/*enzymology', 'Liver/pathology', 'Male', 'Spleen/pathology']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,"Mo Med. 1968 Jan;65(1):31-5, 9.",,,,,,
5236229,NLM,MEDLINE,19680408,20071115,0023-7299 (Print) 0023-7299 (Linking),17,1,1968 Jan-Mar,Radioactive treatment of polycythemia vera.,57-61,"['Norcross, J W']",['Norcross JW'],['eng'],['Journal Article'],United States,Lahey Clin Found Bull,Lahey Clinic Foundation bulletin,7502608,['0 (Phosphorus Isotopes)'],IM,"['Adolescent', 'Adult', 'Child', 'Humans', 'Leukemia, Myeloid, Acute/etiology', 'Leukemia, Radiation-Induced', 'Phosphorus Isotopes/administration & dosage/adverse effects', 'Polycythemia Vera/*radiotherapy']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Lahey Clin Found Bull. 1968 Jan-Mar;17(1):57-61.,,,,,,
5236214,NLM,MEDLINE,19680406,20071115,0042-6644 (Print) 0042-6644 (Linking),94,12,1967 Dec,Surgery in patients with chronic leukemia. Experience with 31 patients.,753-6,"['Bender, A S', 'Leavell, B S']","['Bender AS', 'Leavell BS']",['eng'],['Journal Article'],United States,Va Med Mon (1918),Virginia medical monthly,0407231,,IM,"['Humans', 'Leukemia/*surgery', 'Leukemia, Lymphoid/surgery', 'Leukemia, Myeloid/*surgery', 'Male', 'Postoperative Complications/*epidemiology', 'Prostatectomy', 'Splenectomy']",1967/12/01 00:00,1967/12/01 00:01,['1967/12/01 00:00'],"['1967/12/01 00:00 [pubmed]', '1967/12/01 00:01 [medline]', '1967/12/01 00:00 [entrez]']",ppublish,Va Med Mon (1918). 1967 Dec;94(12):753-6.,,,,,,
5236197,NLM,MEDLINE,19680406,20190609,0006-3002 (Print) 0006-3002 (Linking),148,2,1967 Nov 28,An inhibitor of the glycogen synthetase of leukemic leukocytes found in leukemic plasma.,561-3,"['VanderWende, C']",['VanderWende C'],['eng'],['Journal Article'],Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['9005-79-2 (Glycogen)', 'EC 6.- (Ligases)', 'IY9XDZ35W2 (Glucose)']",IM,"['Glucose/metabolism', 'Glycogen/biosynthesis', 'Humans', 'Leukemia, Myeloid/*enzymology/metabolism', 'Leukocytes/*enzymology/metabolism', 'Ligases/*antagonists & inhibitors']",1967/11/28 00:00,1967/11/28 00:01,['1967/11/28 00:00'],"['1967/11/28 00:00 [pubmed]', '1967/11/28 00:01 [medline]', '1967/11/28 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1967 Nov 28;148(2):561-3. doi: 10.1016/0304-4165(67)90157-2.,"['0304-4165(67)90157-2 [pii]', '10.1016/0304-4165(67)90157-2 [doi]']",,,,,
5236181,NLM,MEDLINE,19680404,20041117,0035-6204 (Print) 0035-6204 (Linking),13,3,1966,[Transfusion of leukocytes].,77-101,"['Sacchetti, C', 'Boccaccio, P']","['Sacchetti C', 'Boccaccio P']",['ita'],['Journal Article'],Italy,Riv Emoter Immunoematol,Rivista di emoterapia ed immunoematologia,0404352,,IM,"['Anemia, Aplastic/therapy', 'Animals', 'Blood Preservation', '*Blood Transfusion', 'Humans', 'Leukemia, Myeloid/therapy', '*Leukocytes', 'Leukopenia/therapy', '*Neutrophils']",1966/01/01 00:00,1966/01/01 00:01,['1966/01/01 00:00'],"['1966/01/01 00:00 [pubmed]', '1966/01/01 00:01 [medline]', '1966/01/01 00:00 [entrez]']",ppublish,Riv Emoter Immunoematol. 1966;13(3):77-101.,,La trasfusione dei leucociti.,,,,
5236109,NLM,MEDLINE,19680330,20161017,0098-7484 (Print) 0098-7484 (Linking),203,10,1968 Mar 4,Auer bodies in mature neutrophils.,895,"['Davies, A R']",['Davies AR'],['eng'],['Journal Article'],United States,JAMA,JAMA,7501160,,IM,"['Adult', 'Bone Marrow Cells', 'Bone Marrow Examination', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis', 'Male', '*Neutrophils']",1968/03/04 00:00,1968/03/04 00:01,['1968/03/04 00:00'],"['1968/03/04 00:00 [pubmed]', '1968/03/04 00:01 [medline]', '1968/03/04 00:00 [entrez]']",ppublish,JAMA. 1968 Mar 4;203(10):895.,,,,,,
5236105,NLM,MEDLINE,19680330,20131121,0038-3139 (Print) 0038-3139 (Linking),64,2,1968 Feb,The search for new drugs in the control of acute leukemia.,46-7,"['Sampey, J R']",['Sampey JR'],['eng'],['Journal Article'],United States,J S C Med Assoc,Journal of the South Carolina Medical Association (1975),7503045,"['0 (Antineoplastic Agents)', '0 (Antiviral Agents)', '0 (Immunosuppressive Agents)', '0 (Nitrogen Mustard Compounds)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Antiviral Agents/therapeutic use', 'Child', 'Drug Synergism', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia/*drug therapy', 'Nitrogen Mustard Compounds/therapeutic use', 'Prednisone/therapeutic use']",1968/02/01 00:00,1968/02/01 00:01,['1968/02/01 00:00'],"['1968/02/01 00:00 [pubmed]', '1968/02/01 00:01 [medline]', '1968/02/01 00:00 [entrez]']",ppublish,J S C Med Assoc. 1968 Feb;64(2):46-7.,,,,,,
5236033,NLM,MEDLINE,19680329,20190727,0041-1132 (Print) 0041-1132 (Linking),8,1,1968 Jan-Feb,Transfusion of fresh platelet concentrates to adult patients with thrombocytopenia.,24-7,"['Cavins, J A', 'Farber, S', 'Roy, A J']","['Cavins JA', 'Farber S', 'Roy AJ']",['eng'],['Journal Article'],United States,Transfusion,Transfusion,0417360,,IM,"['Adult', 'Blood Cell Count', '*Blood Platelets', '*Blood Transfusion', 'Hemorrhage/therapy', 'Humans', 'Leukemia, Myeloid/therapy', 'Lymphoma, Non-Hodgkin/therapy', 'Neoplasms/therapy', 'Thrombocytopenia/*therapy']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Transfusion. 1968 Jan-Feb;8(1):24-7. doi: 10.1111/j.1537-2995.1968.tb02382.x.,['10.1111/j.1537-2995.1968.tb02382.x [doi]'],,,,,
5235897,NLM,MEDLINE,19680324,20091111,0019-509X (Print) 0019-509X (Linking),4,2,1967 Jun,The Philadelphia (Phi) chromosome in chronic myeloid leukaemia.,165-8,"['Chaudhuri, A', 'Roy, S']","['Chaudhuri A', 'Roy S']",['eng'],['Journal Article'],India,Indian J Cancer,Indian journal of cancer,0112040,,IM,"['Adult', '*Chromosome Aberrations', 'Chronic Disease', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male']",1967/06/01 00:00,1967/06/01 00:01,['1967/06/01 00:00'],"['1967/06/01 00:00 [pubmed]', '1967/06/01 00:01 [medline]', '1967/06/01 00:00 [entrez]']",ppublish,Indian J Cancer. 1967 Jun;4(2):165-8.,,,,,,
5235893,NLM,MEDLINE,19680324,20190908,0014-2964 (Print) 0014-2964 (Linking),3,4,1967 Nov,Cytogenetic studies in a case of benzene leukaemia.,251-5,"['Forni, A', 'Moreo, L']","['Forni A', 'Moreo L']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,['J64922108F (Benzene)'],IM,"['Adult', 'Benzene/*poisoning', '*Chromosomes', 'Environmental Exposure', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced/genetics']",1967/11/01 00:00,1967/11/01 00:01,['1967/11/01 00:00'],"['1967/11/01 00:00 [pubmed]', '1967/11/01 00:01 [medline]', '1967/11/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1967 Nov;3(4):251-5. doi: 10.1016/0014-2964(67)90005-9.,['10.1016/0014-2964(67)90005-9 [doi]'],,,,,
5235806,NLM,MEDLINE,19680303,20071115,0008-5472 (Print) 0008-5472 (Linking),28,1,1968 Jan,Replication of type C virus particles in thymus grafts of C57BL mice inoculated with radiation leukemia virus.,98-101,"['Carnes, W H', 'Lieberman, M', 'Marchildon, M', 'Kaplan, H S']","['Carnes WH', 'Lieberman M', 'Marchildon M', 'Kaplan HS']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Cell-Free System', 'Female', 'Leukemia, Experimental/etiology', 'Leukemia, Lymphoid/*etiology', '*Leukemia, Radiation-Induced', 'Lymphoma/etiology', 'Mice', 'Microscopy, Electron', 'Neoplasm Transplantation', 'Retroviridae/*pathogenicity', 'Thymus Gland/*transplantation', 'Thymus Neoplasms', '*Virus Replication']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Cancer Res. 1968 Jan;28(1):98-101.,,,,,,
5235738,NLM,MEDLINE,19680228,20210216,0006-4971 (Print) 0006-4971 (Linking),30,6,1967 Dec,Study on selective single cell isolation method for blood cells.,731-7,"['Nagasaki, T']",['Nagasaki T'],['eng'],['Journal Article'],United States,Blood,Blood,7603509,,IM,"['*Bone Marrow', '*Bone Marrow Cells', '*Culture Techniques', 'Humans', 'Leukemia, Myeloid, Acute/*blood', 'Methods']",1967/12/01 00:00,1967/12/01 00:01,['1967/12/01 00:00'],"['1967/12/01 00:00 [pubmed]', '1967/12/01 00:01 [medline]', '1967/12/01 00:00 [entrez]']",ppublish,Blood. 1967 Dec;30(6):731-7.,['S0006-4971(20)77978-4 [pii]'],,,,,
