PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,RF,CON,GR,GS,TT,SI,PMC,EIN,RIN,OID,OAB,OABL,OTO,OT,GN,SFM,CN
8152900,NLM,MEDLINE,19940512,20041117,,35,6,1994,Cutaneous findings in hairy cell leukemia. Review of 84 cases.,541-3,"The authors of this paper present a retrospective analysis of 84 cases of hairy cell leukaemia diagnosed over the past ten years in two haematology departments. Cutaneous manifestations are noted on 47 occasions, 58% of infectious origin with 60% of these infections due to bacterial agents, results which are in relatively close accord with those of the Mayo Clinic. Since no cases of necrotic angeitis or neutrophilic dermatosis are reported, the considerable number of publications concerning these affections give a poor indication of their rarity. Prospective studies will be required to evaluate the incidence of spinocellular carcinoma and melanoma, while specific lesions are only infrequently encountered and do not appear to bear the same unfavourable prognosis as in other haemopathia.","['Carsuzaa, F', 'Pierre, C', 'Jaubert, D', 'Viala, J J']","['Carsuzaa F', 'Pierre C', 'Jaubert D', 'Viala JJ']","[""Service de Dermatologie, Hopital d'Instruction des Armees Sainte Anne, Toulon Naval, France.""]",['eng'],['Journal Article'],Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,IM,"['Humans', 'Leukemia, Hairy Cell/*complications', 'Retrospective Studies', 'Skin Diseases/*etiology']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1994;35(6):541-3.,,,,,,,,,,,,,,,,,,,
8152899,NLM,MEDLINE,19940512,20041117,,35,6,1994,Performance evaluation of the haematological analyser Cell-Dyn 3000 (Abbott).,535-40,"The Abbott Cell Dyn (CD) 3000 is an automatic analyser, designed to give a complete blood count (CBC) and white blood cell differential (WBCD) by 4 angle diffraction analysis. This instrument was evaluated by comparison of results obtained with those obtained from a Technicon H1 analyser and by microscopic examination. Technical performances with regard to reproducibility, linearity and carryover was acceptable and in normal samples there was close correlation with the optical method (R > 0.9) for neutrophils (NE), lymphocytes (LY) and eosinophils (EO). Correlation for monocytes (MO) and basophils (BA) was poorer but without clinical consequences. Significant thresholds for immature granulocyte (IG) and variant lymphocyte (VL) flags were determined and using these thresholds the false positive rate was reduced to 7%. In haematological diseases, no false negatives were observed as all samples were flagged. However, since no case of acute lymphoblastic leukaemia (ALL) was studied, the detection of lymphoblasts which is known to present difficulties for analysers remains to be evaluated. Blasts in acute myeloblastic leukaemia (AML) and hairy cells were recognised, while in chronic lymphocytic leukaemia (CLL) it was possible to define 3 groups according to the flags released. The CD appears to be a satisfactory analyser for use in general or haematological laboratories performing a large number of WBCD per day.","['Aubert-Letrillart, B', 'Binet, J L', 'Baudet, S', 'Azgui, Z', 'Merle-Beral, H']","['Aubert-Letrillart B', 'Binet JL', 'Baudet S', 'Azgui Z', 'Merle-Beral H']","[""Laboratoire Central d'Hematologie, Hopital Pitie-Salpetrere, Paris, France.""]",['eng'],['Journal Article'],Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,IM,"['Adult', 'Autoanalysis', 'Blood Cell Count', 'Hematologic Diseases/pathology', 'Hematologic Tests/*instrumentation', 'Humans', 'Linear Models', 'Predictive Value of Tests', 'Reference Values', 'Reproducibility of Results']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1994;35(6):535-40.,,,,,,,,,,,,,,,,,,,
8152897,NLM,MEDLINE,19940512,20171116,,35,6,1994,[Utilization of transfusions in the hematology clinic. Recommendations of the Evaluation Commission of the French College of Hematologists for transfusion support in the treatment of acute leukemia in therapeutic aplasia].,517-22,,"['Andreu, G', 'Benbunan, M', 'Boasson, M', 'Bussel, A', 'Cordonnier, C', 'Dosquet, P', 'Marie, J P', 'Miclea, J M', 'Monconduit, M', 'Norol, F']","['Andreu G', 'Benbunan M', 'Boasson M', 'Bussel A', 'Cordonnier C', 'Dosquet P', 'Marie JP', 'Miclea JM', 'Monconduit M', 'Norol F', 'et al.']",,['fre'],"['Journal Article', 'Review']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,IM,"['Acute Disease', 'Erythrocyte Transfusion', 'France', 'Humans', 'Leukemia/*therapy', 'Platelet Transfusion', '*Transfusion Reaction']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1994;35(6):517-22.,,,46,,,,Pratiques transfusionnelles en hematologie clinique. Recommendations de la Commission d'Evaluation du College Francais des Hematologistes pour le support transfusionnel dans le traitement des leucemies aigues en aplasie therapeutique.,,,,,,,,,,,,
8152814,NLM,MEDLINE,19940510,20211203,0950-9232 (Print) 0950-9232 (Linking),9,5,1994 May,"Guanine-rich (GGNNGG) elements at chromosomal breakpoints interact with a loop-forming, single-stranded DNA-binding protein.",1501-5,"Proto-oncogene-activation is frequently preceded by chromosomal translocations. Several models suggest that DNA single-strands and loops may serve as intermediates in the process of illegitimate recombination. Guanine-rich, repetitive elements are preferred sites of chromosomal exchange and can undergo conformational changes which result in the generation of single-stranded DNA. Here we describe a single-stranded DNA-binding protein which binds specifically to guanine-rich elements at the breakpoints of human reciprocal translocations, including the t(14;18), t(2;8), t(9;22), t(15;17) and t(4;11) in leukemia and lymphoma. The primitive binding consensus consists of two guanine-residues on either side separated by a spacer of at least two nucleotides (GGN-NGG). Binding activity is unaltered by a spacer length of up to 46 nucleotides. These data suggest that the protein has the unique ability to form or stabilize DNA-loops and may thus play a general role in recombination.","['Knapp, S', 'Delle Karth, G', 'Friedl, J', 'Purtscher, B', 'Mitterbauer, G', 'Domer, P H', 'Jaeger, U']","['Knapp S', 'Delle Karth G', 'Friedl J', 'Purtscher B', 'Mitterbauer G', 'Domer PH', 'Jaeger U']","['Department of Medicine I, University of Vienna, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,IM,"['Base Sequence', 'DNA Damage', 'DNA Repair', 'DNA, Single-Stranded/*metabolism', 'DNA-Binding Proteins/chemistry/*metabolism', 'Guanine/metabolism', 'Molecular Sequence Data', 'Proto-Oncogene Mas', '*Translocation, Genetic']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",,ppublish,Oncogene. 1994 May;9(5):1501-5.,"['0 (DNA, Single-Stranded)', '0 (DNA-Binding Proteins)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '5Z93L87A1R (Guanine)']",,,,,,,,,,,,,,,,,,
8152805,NLM,MEDLINE,19940510,20071115,0950-9232 (Print) 0950-9232 (Linking),9,5,1994 May,Products of the TAL2 oncogene in leukemic T cells: bHLH phosphoproteins with DNA-binding activity.,1437-46,"The TAL2 gene is activated as a result of the (7;9) (q34;q32) translocation, a chromosome defect found in the malignant cells of some patients with T-cell acute lymphoblastic leukemia (T-ALL). TAL2 potentially encodes a basic helix-loop-helix motif that is highly related to those specified by TAL1 and LYL1, distinct genes that have also been implicated in T-ALL. In this report we show that leukemic cells bearing the (7;9) (q34;q32) translocation express a TAL2 gene product of 108 amino acids. In leukemic cells this product exists in both a phosphorylated (pp13TAL2) and an unphosphorylated (p12TAL2) form. Serine residue 100 is the major site of TAL2 phosphorylation in vivo, and it serves as an effective in vitro substrate for mitogen-activated protein (MAP) kinases such as ERK1. TAL2 polypeptides interact in vivo with the E2A gene products (E47 and E12) to form bHLH heterodimers that bind DNA in a sequence-specific manner. The TAL2 polypeptides do not bind DNA by themselves, however, suggesting that their functional properties may be contingent upon association with other bHLH proteins. Taken together, the properties of TAL2 evaluated here broadly resemble those described previously for TAL1, and therefore support the idea that both proteins promote T-ALL by a common mechanism.","['Xia, Y', 'Hwang, L Y', 'Cobb, M H', 'Baer, R']","['Xia Y', 'Hwang LY', 'Cobb MH', 'Baer R']","['Department of Microbiology, University of Texas Southwestern Medical Center, Dallas 75235.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,IM,"['Base Sequence', 'Basic Helix-Loop-Helix Transcription Factors', 'Chromosomes, Human, Pair 7', 'Chromosomes, Human, Pair 9', 'DNA, Neoplasm/*metabolism', 'DNA-Binding Proteins/chemistry/genetics/*metabolism', 'Helix-Loop-Helix Motifs', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/genetics/*metabolism', 'Molecular Sequence Data', 'Neoplasm Proteins/chemistry/genetics/*metabolism', 'Phosphorylation', 'Translocation, Genetic', 'Tumor Cells, Cultured']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",,ppublish,Oncogene. 1994 May;9(5):1437-46.,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (TAL2 protein, human)']",,,,['CA44016/CA/NCI NIH HHS/United States'],['TAL2'],,,,,,,,,,,,,
8152801,NLM,MEDLINE,19940510,20211203,0950-9232 (Print) 0950-9232 (Linking),9,5,1994 May,Induction of the c-ski proto-oncogene by phorbol ester correlates with induction of megakaryocyte differentiation.,1407-16,"Overexpression of v-ski blocks the terminal differentiation of chicken erythroblasts, and in cooperation with v-sea causes transformation of these cells, indicating that c-ski may play a role in regulating either proliferation or differentiation in hematopoietic cells. We examined c-ski expression in four different myeloid cell lines which can be induced to differentiate by exposure to phorbol 12-myristate 13-acetate (PMA). Two of the cell lines are multipotent and have the ability to differentiate into either erythrocytes or megakaryocytes (K562 and HEL cells), one cell line differentiates exclusively into megakaryocytes (CHRF-288-11), and the fourth cell line differentiates into either monocytes or granulocytes (HL-60). Our findings indicate that c-ski mRNA is up regulated by PMA only in those cell lines which respond by differentiating along the megakaryocyte lineage. The extent of differentiation and the observed increase in c-ski mRNA levels are positively correlated with the PMA concentration used to induce differentiation. Experiments in which CHRF-288-11 cells were treated with the protein kinase C (PKC) activator bryostatin 1 indicate that c-ski mRNA induction is not a general effect of PKC activation. The results strongly suggest that c-ski expression is correlated with megakaryocyte maturation.","['Namciu, S', 'Lieberman, M A', 'Stavnezer, E']","['Namciu S', 'Lieberman MA', 'Stavnezer E']","['Department of Moleuclar Genetics, Biochemistry, and Microbiology, University of Cincinnati College of Medicine, Ohio 45267-0524.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,IM,"['Bryostatins', 'Cell Differentiation/drug effects', 'Culture Media', 'Dose-Response Relationship, Drug', 'Humans', 'Lactones/pharmacology', 'Leukemia, Megakaryoblastic, Acute', 'Macrolides', 'Megakaryocytes/metabolism/*pathology', 'Membrane Glycoproteins/*metabolism', 'Mercaptopurine/analogs & derivatives/pharmacology', 'Proto-Oncogene Mas', 'Proto-Oncogenes/drug effects/*physiology', 'RNA, Messenger/*metabolism', 'Tetradecanoylphorbol Acetate', 'Time Factors', 'Tumor Cells, Cultured']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",,ppublish,Oncogene. 1994 May;9(5):1407-16.,"['0 (Bryostatins)', '0 (Culture Media)', '0 (Lactones)', '0 (MAS1 protein, human)', '0 (Macrolides)', '0 (Membrane Glycoproteins)', '0 (Proto-Oncogene Mas)', '0 (RNA, Messenger)', '37O2X55Y9E (bryostatin 1)', '5417-84-5 (6-ethylthiopurine)', 'E7WED276I5 (Mercaptopurine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,"['CA43600/CA/NCI NIH HHS/United States', 'T32-ES07250/ES/NIEHS NIH HHS/United States']",['c-ski'],,,,,,,,,,,,,
8152791,NLM,MEDLINE,19940510,20181130,0950-9232 (Print) 0950-9232 (Linking),9,5,1994 May,Retroviral capture of c-erbB proto-oncogene sequences: rapid evolution of distinct viral genomes carrying mutant v-erbB genes with different transforming capacities.,1307-20,"The evolution of oncogene-transducing retroviruses was followed by studying the genomes of five new, erbB carrying retroviruses. These viruses, isolated from cells of one chicken infected with Rous Associated virus 1 (RAV-1), had captured c-erbB sequences as a consequence of RAV-1 integration into the host genome. Their genome structures were distinct; however, their v-erbB genes had sustained identical 5' and 3' deletions and the v-erbB-env junctions were identical at the nucleotide level. The results therefore strongly suggest that all five viruses originate from the same capture event. Sequence analyses of the v-erbB genes from three of these viruses revealed that one of them had undergone no further mutation and lacked detectable capacity to transform cells, therefore probably representing an 'early' form of transducing virus. The two other v-erbB genes contained distinct mutations and differed in their potential to induce fibroblast- and erythroblast transformation; they therefore probably represent later derivatives of the virus that captured the erbB oncogene. The data suggest that the initial retrovirus rapidly underwent many alterations after capture of c-erbB sequences, already in the RAV-1 infected bird as well as during subsequent in vitro isolation procedures. The changes involve both major rearrangements of the genome as well as point mutations that activated the erbB oncogene.","['Vennstrom, B', 'Raynoscheck, C', 'Jansson, L', 'Doederlein, G', 'Lhotak, V', 'Johnsson, A', 'Beug, H']","['Vennstrom B', 'Raynoscheck C', 'Jansson L', 'Doederlein G', 'Lhotak V', 'Johnsson A', 'Beug H']","['Department of Molecular Biology, Karolinska Institute, Stockholm, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,IM,"['Amino Acid Sequence', 'Animals', 'Avian Leukosis Virus/chemistry/*genetics/growth & development/metabolism', 'Base Sequence', 'Cell Transformation, Viral/*genetics', 'Chick Embryo', 'Chickens', 'ErbB Receptors/analysis/genetics/metabolism', '*Gene Deletion', 'Gene Rearrangement', 'Genes, gag/genetics', '*Genome, Viral', 'Leukemia, Erythroblastic, Acute/genetics/microbiology', 'Molecular Sequence Data', 'Mutation/*genetics', 'Proto-Oncogene Proteins/analysis/genetics/metabolism', 'Proto-Oncogenes/*genetics', 'Proviruses/chemistry/genetics', 'RNA, Viral/chemistry/*genetics', 'Virus Activation']",1994/05/01 00:00,1994/05/01 00:01,['1994/05/01 00:00'],"['1994/05/01 00:00 [pubmed]', '1994/05/01 00:01 [medline]', '1994/05/01 00:00 [entrez]']",,ppublish,Oncogene. 1994 May;9(5):1307-20.,"['0 (Proto-Oncogene Proteins)', '0 (RNA, Viral)', 'EC 2.7.10.1 (ErbB Receptors)']",,,,,"['c-erbB', 'gag', 'v-erbB', 'v-erbB<up>B1</up>', 'v-erbB<up>p1</up>']",,,,,,,,,,,,,
8152726,NLM,MEDLINE,19940510,20061115,0475-1450 (Print) 0475-1450 (Linking),25,1,1994 Jan-Feb,[The search for the DNA sequences characterizing the granulocytic lineage of cell differentiation in the HL-60 line].,52-5,"cDNA of HL-60 cells induced to differentiation into granulocytes was hybridized with the excess of mRNA of K 562 cells induced to differentiation into erythrocytes. Cloning of cDNA sequences characterizing the induced differentiation of HL-60 cells into granulocytes was performed. The clones obtained were shown to contain sequences encoding a zinc finger motif, which is specific for DNA-binding domain of protein activators of transcription.","['Tolkunova, E N']",['Tolkunova EN'],,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Ontogenez,Ontogenez,0341527,IM,"['Cell Differentiation', 'Clone Cells/cytology', 'DNA, Complementary/genetics', 'DNA, Neoplasm/*genetics', 'Erythrocytes/cytology', 'Granulocytes/*cytology', 'Humans', 'Leukemia, Promyelocytic, Acute/genetics/pathology', 'Nucleic Acid Hybridization', 'Polymerase Chain Reaction', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Regulatory Sequences, Nucleic Acid/*genetics', 'Tumor Cells, Cultured/cytology', 'Zinc Fingers/genetics']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Ontogenez. 1994 Jan-Feb;25(1):52-5.,"['0 (DNA, Complementary)', '0 (DNA, Neoplasm)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)']",,,,,,"Poisk DNA-posledovatel'nostei, kharakterizuiushchikh granulotsitarnoe napravlenie differentsirovki kletok linii HL-60.",,,,,,,,,,,,
8152580,NLM,MEDLINE,19940512,20061115,0026-4806 (Print) 0026-4806 (Linking),85,1-2,1994 Jan-Feb,[Kinetics of breast neoplasms].,7-16,"Breast cancer is a disease moderately responsive to chemotherapy. While its curability is inversely related to the tumor burden, a relevant number of patients still progress to metastatic disease even after adjuvant chemotherapy. Also, high-dose chemotherapy appears promising, but can not yet be considered ultimately curative of breast cancer. Different variables, biological, kinetic and treatment-related, account for the clinical behaviour of this disease. In order to improve its curability, they will all need to be taken into account in planning future treatment strategies. One of the most effective ways to understand and predict the clinical behaviour of breast cancer is the development of appropriate mathematical models explaining its growth-patterns. Aim of this paper is to review the two fundamental models, the exponential and the Gompertzian. The exponential model is at the basis of the Skipper-Schabel and the Goldie-Coldman hypotheses, while the Norton-Simon hypothesis has been formulated from the gompertzian model. The latter appears to better fit the vast amount of clinical data which are presently available: from Bloom's analysis of untreated breast cancer patients, to the results of large clinical trials, to the data emerged from the recent meta-analysis. Characteristic of a gompertzian growth pattern is that exponential growth is matched by exponential retardation of growth. In 1943 Delbruck and Luria demonstrated that random mutations could account for the development of virus resistance in bacteria and were able to estimate the rate of mutation as a function of the growth rate of bacteria. Shortly after Law demonstrated that resistance to methotrexate in murine leukemia occurred similarly. The concept of combination chemotherapy actually derived from the idea that cancer cells could be resistant to chemotherapy even before exposure to it. Goldie and Coldman applied the Delbruck/Luria model to hypothesize the use of non cross-resistant alternating combination chemotherapy as a better way to eliminate the risk of resistance. They also suggested that many different drugs were to be used as soon as possible, when the tumor size is still small. Most of their predictions were based on the Skipper/Schabel model of the exponential growth of cancer and on its deriving log-kill model. A large amount of clinical data are now suggesting that the behaviour of breast cancer is best described by gompertzian growth: in particular, gompertzian growth is a tenable model of breast cancer growth for both the unperturbed and the perturbed (by treatment) states.(ABSTRACT TRUNCATED AT 400 WORDS)","['Surbone, A', 'Norton, L']","['Surbone A', 'Norton L']","['Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York.']",['ita'],"['English Abstract', 'Journal Article', 'Review']",Italy,Minerva Med,Minerva medica,0400732,IM,"['Breast Neoplasms/*pathology/therapy', 'Cell Division', 'Drug Resistance', 'Humans', 'Kinetics', 'Mathematics', 'Models, Biological', 'Neoplasms/pathology']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Minerva Med. 1994 Jan-Feb;85(1-2):7-16.,,,60,,,,Le basi cinetiche delle neoplasie mammarie.,,,,,,,,,,,,
8152511,NLM,MEDLINE,19940512,20071115,0028-2162 (Print) 0028-2162 (Linking),138,14,1994 Apr 2,[Clinical relevance of resistance against cytostatic agents in children with leukemia].,706-12,,"['Pieters, R', 'Kaspers, G J', 'Klumper, E', 'van Wering, E R', 'van der Does-van den Berg, A', 'Veerman, A J']","['Pieters R', 'Kaspers GJ', 'Klumper E', 'van Wering ER', 'van der Does-van den Berg A', 'Veerman AJ']","['Academisch Ziekenhuis Vrije Universiteit, afd. Kindergeneeskunde, Amsterdam.']",['dut'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,IM,"['Age Factors', 'Antineoplastic Agents/*pharmacology/therapeutic use', 'Child', 'Child, Preschool', 'Drug Resistance', 'Humans', 'Immunophenotyping', 'Infant', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prognosis', 'Recurrence', 'Tumor Stem Cell Assay']",1994/04/02 00:00,1994/04/02 00:01,['1994/04/02 00:00'],"['1994/04/02 00:00 [pubmed]', '1994/04/02 00:01 [medline]', '1994/04/02 00:00 [entrez]']",,ppublish,Ned Tijdschr Geneeskd. 1994 Apr 2;138(14):706-12.,['0 (Antineoplastic Agents)'],,39,,,,Klinische relevantie van resistentie tegen cytostatica bij kinderen met leukemie.,,,,,,,,,,,,
8152404,NLM,MEDLINE,19940510,20190904,0098-1532 (Print) 0098-1532 (Linking),22,6,1994,Successful treatment of acute lymphoblastic leukemia in a child with cystic fibrosis.,414-6,A 3 1/2 year old girl with cystic fibrosis who underwent successful treatment for acute lymphoblastic leukemia remains in complete remission 36 months after diagnosis. We also report high clearance rates of three antineoplastic agents in this patient. Drug doses were adjusted to achieve optimal systemic exposure.,"['Gururangan, S', 'Horner, M', 'Rodman, J H', 'Marina, N M']","['Gururangan S', 'Horner M', 'Rodman JH', 'Marina NM']","[""Department of Hematology-Oncology, St. Jude Children's Research Hospital, Memphis, TN 38101-0318.""]",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['Antineoplastic Combined Chemotherapy Protocols/pharmacokinetics/*therapeutic use', 'Asparaginase/administration & dosage', 'Child, Preschool', 'Cystic Fibrosis/*complications', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Female', 'Humans', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/etiology', 'Prednisone/administration & dosage', 'Remission Induction', 'Teniposide/administration & dosage', 'Vincristine/administration & dosage']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1002/mpo.2950220612 [doi]'],ppublish,Med Pediatr Oncol. 1994;22(6):414-6. doi: 10.1002/mpo.2950220612.,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '957E6438QA (Teniposide)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",['Med Pediatr Oncol. 1995 Sep;25(3):223. PMID: 7623733'],,,"['CA-20180/CA/NCI NIH HHS/United States', 'CA-21765/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
8152402,NLM,MEDLINE,19940510,20190904,0098-1532 (Print) 0098-1532 (Linking),22,6,1994,Karyotype evolution in a patient with Down syndrome and acute leukemia following a congenital leukemoid reaction.,404-9,"We report the serial cytogenetic study of a patient with Down syndrome who experienced a congenital leukemoid reaction, underwent a spontaneous remission within four months, and subsequently developed acute myeloid leukemia at 16 months. A blood chromosome study to rule out Down syndrome performed at age 24 days, during the leukemoid reaction, revealed a 47,XX,+21 karyotype. The diagnosis of acute leukemia was made at 16 months, at which time a chromosome study, on bone marrow, was performed. This analysis revealed a clonal karyotype of 47,XX,+21,-22,+der(22)t(1;22)(q21;q13) in all but one cell studied. The single apparently nonclonal cell showed a karyotype of 49,XX,+12,-13,-19,+der(19)t(19;?)(q11;?)x2,+21,+22. A third chromosome study at 19 months indicated the original leukemic clone with t(1;22) (q21;q13) had been replaced by the clone represented by the single cell with 49 chromosomes seen in the previous chromosome study. This case of an infant with Down syndrome and acute leukemia illustrated rapid evolution and a transitory nature to clonal chromosome aberrations while retaining AML morphology and course.","['Sawyer, J R', 'Roloson, G J', 'Head, D R', 'Becton, D']","['Sawyer JR', 'Roloson GJ', 'Head DR', 'Becton D']","[""Department of Pathology, University of Arkansas for Medical Sciences, Arkansas Children's Hospital, Little Rock 72202.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['Acute Disease', 'Bone Marrow Cells', 'Down Syndrome/*genetics', 'Female', 'Humans', 'Infant, Newborn', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukemoid Reaction/*congenital']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1002/mpo.2950220610 [doi]'],ppublish,Med Pediatr Oncol. 1994;22(6):404-9. doi: 10.1002/mpo.2950220610.,,,,,,,,,,,,,,,,,,,
8152398,NLM,MEDLINE,19940510,20190904,0098-1532 (Print) 0098-1532 (Linking),22,6,1994,Cerebral irradiation causes blunted pubertal growth in girls treated for acute leukemia.,375-9,"The improved treatment of childhood leukemia is a major achievement. The late effects of the treatment need further investigation. Growth inhibition has been demonstrated in earlier studies. Growth and the timing of puberty were studied in 179 girls who had been treated for acute lymphoblastic leukemia (ALL) in Denmark, Finland, Norway, and Sweden. The patients were divided into two groups according to mode of CNS prophylaxis: with or without cerebral irradiation. Longitudinal analysis of 103 patients showed no difference in prepubertal growth in irradiated and nonirradiated girls. Growth during puberty was normal in girls without irradiation and below normal in irradiated girls. There was no difference in growth between girls after 24 Gy or 20 Gy of cerebral irradiation. Irradiated girls had a final height which was one SD less than expected before puberty and menarche occurred one year earlier than in the nonirradiated girls. Prophylactic cerebral irradiation is the most important factor for subnormal growth after treatment for ALL. There is no short-term influence on growth but the effects of irradiation become apparent several years after therapy when girls enter puberty somewhat early and have a subnormal pubertal growth. Growth and growth hormone (GH) levels should be evaluated several years after CNS irradiation, and treatment with GH and/or luteinizing hormone releasing hormone (LHRH) analogues may be considered.","['Moell, C', 'Marky, I', 'Hovi, L', 'Kristinsson, J', 'Rix, M', 'Moe, P J', 'Garwicz, S']","['Moell C', 'Marky I', 'Hovi L', 'Kristinsson J', 'Rix M', 'Moe PJ', 'Garwicz S']","['Dept. of Paediatrics, University Hospital, Lund, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,IM,"['Adolescent', 'Cranial Irradiation/*adverse effects', 'Cross-Sectional Studies', 'Female', 'Growth/*radiation effects', 'Humans', 'Longitudinal Studies', 'Menarche/radiation effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*radiotherapy', 'Puberty/*radiation effects']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1002/mpo.2950220604 [doi]'],ppublish,Med Pediatr Oncol. 1994;22(6):375-9. doi: 10.1002/mpo.2950220604.,,,,,,,,,,,,,,,,,,,
