PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,CON,GR,PMC,CI,CIN,RF,MID,CN,SI,DA,DRDT,CTDT,PB,BTI,OTO,OT,CDAT,GN,EIN,IR,FIR,RPI,FED,ED,UIN,OID,RIN,ROF,COIS,RPF
20645383,NLM,MEDLINE,20110104,20211020,1860-7187 (Electronic) 1860-7179 (Linking),5,9,2010 Sep 3,Erythroid induction of chronic myelogenous leukemia K562 cells following treatment with a photoproduct derived from the UV-A irradiation of 5-methoxypsoralen.,1506-12,10.1002/cmdc.201000204 [doi],"Induction of terminal erythroid differentiation can be an efficient strategy to inhibit proliferation of chronic myelogenous leukemia cells. Psoralens, well-known photo-chemotherapeutic agents, were found to be efficient at inducing erythroid differentiation of K562 cells, an in vitro cell line isolated from the pleural effusion of a patient with chronic myelogenous leukemia in blast crisis. The effects of crude pre-irradiated solutions of 5-methoxypsoralen on erythroid differentiation of human leukemic K-562 cells were evaluated. The major photoproduct was characterized and analyzed, and it was found to induce erythroid differentiation of K562 cells and inhibit NF-kappaB/DNA interactions.","['Salvador, Alessia', ""Dall'Acqua, Stefano"", 'Sardo, Manlio Sutera', 'Caffieri, Sergio', 'Vedaldi, Daniela', ""Dall'Acqua, Francesco"", 'Borgatti, Monica', 'Zuccato, Cristina', 'Bianchi, Nicoletta', 'Gambari, Roberto']","['Salvador A', ""Dall'Acqua S"", 'Sardo MS', 'Caffieri S', 'Vedaldi D', ""Dall'Acqua F"", 'Borgatti M', 'Zuccato C', 'Bianchi N', 'Gambari R']","['Department of Pharmaceutical Sciences, University of Padova, Via Marzolo, 5, 35151, Padova, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Germany,ChemMedChem,ChemMedChem,101259013,"['0 (Antineoplastic Agents)', '0 (Heterocyclic Compounds, 4 or More Rings)', '0 (NF-kappa B)', '4FVK84C92X (5-Methoxypsoralen)', 'U4VJ29L7BQ (Methoxsalen)']",IM,"['5-Methoxypsoralen', 'Antineoplastic Agents/*chemistry/pharmacology/therapeutic use', 'Cell Differentiation', 'Erythroid Cells/*cytology/drug effects', 'Heterocyclic Compounds, 4 or More Rings/*chemistry/therapeutic use', 'Humans', 'Isomerism', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/metabolism', 'Methoxsalen/*analogs & derivatives/chemistry/radiation effects', 'Molecular Conformation', 'NF-kappa B/metabolism', 'Photolysis', '*Ultraviolet Rays']",2010/07/21 06:00,2011/01/05 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2011/01/05 06:00 [medline]']",['10.1002/cmdc.201000204 [doi]'],ppublish,ChemMedChem. 2010 Sep 3;5(9):1506-12. doi: 10.1002/cmdc.201000204.,,,['GGP10214/TI_/Telethon/Italy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
20645187,NLM,MEDLINE,20101028,20131121,1940-6029 (Electronic) 1064-3745 (Linking),645,,2010,Phosphoinositide-specific phospholipase C beta1 signal transduction in the nucleus.,143-64,10.1007/978-1-60327-175-2_10 [doi],"The nuclear inositol lipid cycle is a well known process, and nuclear phosphoinositide-specific phospholipase C beta1 (PLCbeta1) signalling activity has been extensively studied in the last decades. We now know that nuclear PLCbeta1 is a key player in the control of cell cycle progression; in fact it appears to be involved in the cyclin-mediated regulation of the physiological machinery. Indeed, the recent discovery of a possible involvement of the interstitial deletion of PLCbeta1 gene in the progression of myelodysplastic syndrome (MDS) to acute myeloid leukemia in humans (AML) strengthens this contention. Albeit several papers have reported the techniques used for the study of inositide-dependent signaling in the nucleus, we describe here step by step protocols, which can be followed for the preparation of highly purified nuclei and the subsequent analysis of nuclear PLCbeta1 signaling. The described techniques range from nuclear purification to enzymatic activity and to molecular biology methods.","['Fiume, Roberta', 'Teti, Gabriella', 'Faenza, Irene', 'Cocco, Lucio']","['Fiume R', 'Teti G', 'Faenza I', 'Cocco L']","['Cellular Signaling Laboratory, Department of Anatomical Sciences, University of Bologna, Bologna, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,"['4L6452S749 (Inositol)', 'EC 3.1.4.11 (Phospholipase C beta)']",IM,"['Alternative Splicing', 'Animals', 'Blotting, Western', 'Cell Fractionation/methods', 'Cell Line', 'Cell Nucleus/chemistry/*enzymology', 'Chromatography, Thin Layer', 'Electrophoresis, Polyacrylamide Gel', 'Gene Expression', 'Humans', 'Inositol/*metabolism', 'Microscopy, Electron, Transmission', 'Phospholipase C beta/genetics/isolation & purification/*metabolism', 'Polymerase Chain Reaction', 'Signal Transduction']",2010/07/21 06:00,2010/10/29 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/10/29 06:00 [medline]']",['10.1007/978-1-60327-175-2_10 [doi]'],ppublish,Methods Mol Biol. 2010;645:143-64. doi: 10.1007/978-1-60327-175-2_10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20645039,NLM,MEDLINE,20110104,20131121,1496-8975 (Electronic) 0832-610X (Linking),57,10,2010 Oct,Acute intraoperative tumour lysis syndrome.,948-9,10.1007/s12630-010-9357-6 [doi],,"['Alam, Fahad', 'Chin, Ki Jinn']","['Alam F', 'Chin KJ']",,['eng'],"['Case Reports', 'Letter']",20100720,United States,Can J Anaesth,Canadian journal of anaesthesia = Journal canadien d'anesthesie,8701709,"['04079A1RDZ (Cytarabine)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Hydroxyurea/administration & dosage', 'Leukemia, Myeloid, Acute/drug therapy', 'Middle Aged', 'Postoperative Complications/*etiology', 'Risk Factors', 'Time Factors', 'Tumor Lysis Syndrome/diagnosis/*etiology/physiopathology']",2010/07/21 06:00,2011/01/05 06:00,['2010/07/21 06:00'],"['2010/04/11 00:00 [received]', '2010/07/05 00:00 [accepted]', '2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2011/01/05 06:00 [medline]']",['10.1007/s12630-010-9357-6 [doi]'],ppublish,Can J Anaesth. 2010 Oct;57(10):948-9. doi: 10.1007/s12630-010-9357-6. Epub 2010 Jul 20.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20645015,NLM,MEDLINE,20110126,20211020,1613-7671 (Electronic) 0043-5325 (Linking),122,13-14,2010 Jul,[Tumor stem cell research - basis and challenge for diagnosis and therapy].,423-36,10.1007/s00508-010-1408-z [doi],"Biological features of tumor cells relevant to progression, metastasis, and prognosis in cancer patients have been investigated for many years. During the past few years, the concept of tumor stem cells has gained widespread acceptance. The cancer stem cell (CSC) model is based on the observation that continuous growth of tumors depends on a small population of immature neoplastic cells with unlimited proliferative potential. In contrast to these CSC, more mature clonal cells in the same neoplasm undergo apoptosis and die after a variable number of cell divisions. The self-renewal capacity of CSC plays a central role in this scenario and enables permanent tumor cell repopulation in vivo in patients as well as in experimental animals, e.g., immunodeficient mice. Based on the stem cell concept, it is clear that the success of an anti-neoplastic approach depends on efficient targeting and elimination of CSC. An important aspect of CSC is their intrinsic resistance against conventional drugs. Therefore, a major focus in current research is molecular targets and their expression in CSC, with the goal to use targeted drugs for CSC elimination. It is the hope for the future that therapeutic approaches involving CSC-targeting concepts will lead to sustained remission and thus improvement of prognosis in leukemia and cancer patients.","['Karlic, Heidrun', 'Herrmann, Harald', 'Schulenburg, Axel', 'Grunt, Thomas W', 'Laffer, Sylvia', 'Mirkina, Irina', 'Hubmann, Rainer', 'Shehata, Medhat', 'Marian, Brigitte', 'Selzer, Edgar', 'Pfeilstocker, Michael', 'Pittermann, Elisabeth', 'Jager, Ulrich', 'Pehamberger, Hubert', 'Zielinski, Christoph', 'Valent, Peter']","['Karlic H', 'Herrmann H', 'Schulenburg A', 'Grunt TW', 'Laffer S', 'Mirkina I', 'Hubmann R', 'Shehata M', 'Marian B', 'Selzer E', 'Pfeilstocker M', 'Pittermann E', 'Jager U', 'Pehamberger H', 'Zielinski C', 'Valent P']","['Ludwig Boltzmann Cluster Oncology (LBI for Leukemia Research), Hanusch Hospital, Vienna, Austria. heidrun.karlic@meduniwien.ac.at']",['ger'],"['English Abstract', 'Journal Article', 'Review']",20100722,Austria,Wien Klin Wochenschr,Wiener klinische Wochenschrift,21620870R,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Apoptosis/drug effects/physiology', 'Cell Division/drug effects/physiology', 'Drug Resistance, Neoplasm', 'Humans', 'Leukemia/*diagnosis/*drug therapy/pathology', 'Mice', 'Mice, Nude', 'Neoplasms/*diagnosis/*drug therapy/pathology', 'Neoplastic Stem Cells/drug effects/*pathology', 'Prognosis', '*Tumor Stem Cell Assay']",2010/07/21 06:00,2011/01/28 06:00,['2010/07/21 06:00'],"['2010/01/29 00:00 [received]', '2010/06/10 00:00 [accepted]', '2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2011/01/28 06:00 [medline]']",['10.1007/s00508-010-1408-z [doi]'],ppublish,Wien Klin Wochenschr. 2010 Jul;122(13-14):423-36. doi: 10.1007/s00508-010-1408-z. Epub 2010 Jul 22.,Tumor-Stammzellforschung - Basis und Herausforderung fur Diagnostik und Therapie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644608,NLM,MEDLINE,20110815,20151119,1609-722X (Electronic) 1022-5129 (Linking),30,2,2010 Apr-Jun,[Gastric adult T cell leukemia/lymphoma: report of four cases and review of literature].,153-7,,Adult T-cell leukemia/lymphoma (ATLL) is an aggressive disease associated with human T-cell lymphotropic virus type-I (HTLV-I) with heterogeneous clinical presentation and outcomes. We report four cases with gastric involvement. We describe clinical and endoscopic findings of cases and review literature.,"['Beltran, Brady', 'Palomino, Eugenio', 'Quinones, Pilar', 'Morales, Domingo', 'Cotrina, Esther']","['Beltran B', 'Palomino E', 'Quinones P', 'Morales D', 'Cotrina E']","['Oncologo medico del Departamento Oncologia-Radioterapia del Hospital Edgardo Rebagliati Martins, Lima, Peru.']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",,Peru,Rev Gastroenterol Peru,Revista de gastroenterologia del Peru : organo oficial de la Sociedad de Gastroenterologia del Peru,9108294,"['5J49Q6B70F (Vincristine)', '6PLQ3CP4P3 (Etoposide)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'VB0R961HZT (Prednisone)', 'CHOEP protocol', 'CHOP protocol']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/therapeutic use', 'Cyclophosphamide/administration & dosage', 'Doxorubicin/administration & dosage', 'Etoposide/administration & dosage', 'Fatal Outcome', 'Female', 'Human T-lymphotropic virus 1/isolation & purification', 'Humans', '*Leukemia-Lymphoma, Adult T-Cell/complications/diagnosis/drug therapy/epidemiology/virology', 'Male', 'Middle Aged', 'Prednisolone/administration & dosage', 'Prednisone/administration & dosage', 'Prevalence', '*Stomach Neoplasms/complications/diagnosis/drug therapy/epidemiology/virology', 'Stomach Ulcer/etiology', 'Vincristine/administration & dosage']",2010/07/21 06:00,2011/08/16 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2011/08/16 06:00 [medline]']",['08 [pii]'],ppublish,Rev Gastroenterol Peru. 2010 Apr-Jun;30(2):153-7.,Leucemia/linfoma T del adulto gastrico: reporte de cuatro casos y revision de la literatura.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644585,NLM,MEDLINE,20100805,20210201,0132-3423 (Print) 0132-3423 (Linking),36,3,2010 May-Jun,[Haponin (eIF1AD) interacts with glyceraldehyde 3-phosphate dehydrogenase in the CHO-K1 cell line].,312-8,,"Haponin (HLDF-alike protein) was previously identified from the human promyelocytic leukemia HL-60 cell line. For the functional study of this protein, we obtained recombinant haponin with an N-terminal hexahistidine tag using a baculovirus expression system. Antibodies against 6xHis-haponin were produced, and the expression of endogenous haponin was demonstrated in mammalian cell lines of different origin. Using affinity chromatography and immunoprecipitation methods, we have shown that in CHO-K1 cells haponin interacts with glyceraldehyde 3-phosphate dehydrogenase (GAPDH), which is one of the vital glycolytic enzymes with a diverse set of noncanonical functions.","['Rakitina, T V', 'Bogatova, O V', 'Smirnova, E V', 'Pozdeev, V I', 'Kostanian, I A', 'Lipkin, V M']","['Rakitina TV', 'Bogatova OV', 'Smirnova EV', 'Pozdeev VI', 'Kostanian IA', 'Lipkin VM']",,['rus'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Russia (Federation),Bioorg Khim,Bioorganicheskaia khimiia,7804941,"['0 (EIF1AD protein, human)', '0 (Proteins)', '0 (Recombinant Proteins)', 'EC 1.2.1.- (Glyceraldehyde-3-Phosphate Dehydrogenases)']",IM,"['Animals', 'CHO Cells', 'Cell Line, Tumor', 'Cricetinae', 'Cricetulus', 'Glyceraldehyde-3-Phosphate Dehydrogenases/*metabolism', 'Humans', 'Protein Interaction Mapping', 'Proteins/genetics/isolation & purification/*metabolism', 'Recombinant Proteins/genetics/isolation & purification/metabolism']",2010/07/21 06:00,2010/08/06 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/08/06 06:00 [medline]']","['36n3F312L318 [pii]', '10.1134/s1068162010030027 [doi]']",ppublish,Bioorg Khim. 2010 May-Jun;36(3):312-8. doi: 10.1134/s1068162010030027.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644579,NLM,MEDLINE,20100826,20211020,1529-2916 (Electronic) 1529-2908 (Linking),11,8,2010 Aug,RNA-binding proteins come out of the shadows.,697-8,10.1038/ni0810-697 [doi],,"['Nedjic, Jelena', 'Aifantis, Iannis']","['Nedjic J', 'Aifantis I']",,['eng'],"['Comment', 'News', ""Research Support, Non-U.S. Gov't""]",,United States,Nat Immunol,Nature immunology,100941354,"['0 (RNA-Binding Proteins)', '0 (Receptor, Notch1)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Animals', 'Humans', 'Mice', 'Mice, Knockout', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/*immunology', 'RNA-Binding Proteins/genetics/*immunology', 'Receptor, Notch1/genetics/*immunology', 'Receptors, Antigen, T-Cell/genetics/immunology', 'T-Lymphocytes/*immunology']",2010/07/21 06:00,2010/08/27 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/08/27 06:00 [medline]']","['ni0810-697 [pii]', '10.1038/ni0810-697 [doi]']",ppublish,Nat Immunol. 2010 Aug;11(8):697-8. doi: 10.1038/ni0810-697.,,['Nat Immunol. 2010 Aug;11(8):717-24. PMID: 20622884'],['Howard Hughes Medical Institute/United States'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644548,NLM,MEDLINE,20101112,20211203,1745-7254 (Electronic) 1671-4083 (Linking),31,8,2010 Aug,Imatinib plasma trough concentration and its correlation with characteristics and response in Chinese CML patients.,999-1004,10.1038/aps.2010.79 [doi],"AIM: To investigate the pharmacokinetics of imatinib in Chinese chronic myelogenous leukemia (CML) patients. METHODS: Fourty-six naive Chinese CML patients treated with imatinib (400 and 600 mg daily, n=36 and 10, respectively) were recruited. The correlations of imatinib (400 mg) trough plasma concentrations (C(mins)) with the patients' characteristics and responses were analyzed. RESULTS: The overall mean (+/-SD, CV%) steady-state C(mins) for imatinib at 400 mg (n=36) and 600 mg (n=10) daily was 1325.61 ng/mL (+/-583.53 ng/mL; 44%) and 1550.90 ng/mL (+/-462.63 ng/mL; 30%), respectively, and no statistically significant differences were found between them (P=0.267). At 400 mg daily, female patients had significantly higher C(mins) than the male patients (P=0.048), and molecular responses were not correlated with imatinib C(mins), but they were correlated with time elapsed before imatinib therapy. CONCLUSION: The results suggest that Chinese CML patients have higher imatinib C(mins) than their Caucasian counterparts and that the optimal initial imatinib dose for them requires further investigation.","['Li, Qiu-bai', 'Chen, Chao', 'Chen, Zhi-chao', 'Wang, Hong-xiang', 'Wu, Yan-lin', 'You, Yong', 'Zou, Ping']","['Li QB', 'Chen C', 'Chen ZC', 'Wang HX', 'Wu YL', 'You Y', 'Zou P']","['Institute of Hematology, Huazhong University of Science and Technology, Wuhan, China.']",['eng'],"['Controlled Clinical Trial', 'Journal Article']",20100719,United States,Acta Pharmacol Sin,Acta pharmacologica Sinica,100956087,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/administration & dosage/*pharmacokinetics/therapeutic use', 'Asians', 'Benzamides', 'China', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/physiopathology', 'Male', 'Middle Aged', 'Piperazines/administration & dosage/*pharmacokinetics/therapeutic use', 'Pyrimidines/administration & dosage/*pharmacokinetics/therapeutic use', 'Treatment Outcome', 'Young Adult']",2010/07/21 06:00,2010/11/13 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/11/13 06:00 [medline]']","['aps201079 [pii]', '10.1038/aps.2010.79 [doi]']",ppublish,Acta Pharmacol Sin. 2010 Aug;31(8):999-1004. doi: 10.1038/aps.2010.79. Epub 2010 Jul 19.,,,,PMC4007812,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644540,NLM,MEDLINE,20100803,20211020,1552-4469 (Electronic) 1552-4450 (Linking),6,8,2010 Aug,Stapled peptides: Magic bullets in nature's arsenal.,566-7,10.1038/nchembio.407 [doi],,"['Kritzer, Joshua A']",['Kritzer JA'],,['eng'],"['Comment', 'News']",,United States,Nat Chem Biol,Nature chemical biology,101231976,"['0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Peptides)', '0 (Proto-Oncogene Proteins c-bcl-2)']",IM,"['Cell Membrane Permeability', '*Drug Design', 'Humans', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Peptides/*chemistry/*pharmacology', '*Protein Structure, Secondary', 'Proto-Oncogene Proteins c-bcl-2/*antagonists & inhibitors/biosynthesis/genetics/physiology']",2010/07/21 06:00,2010/08/04 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/08/04 06:00 [medline]']","['nchembio.407 [pii]', '10.1038/nchembio.407 [doi]']",ppublish,Nat Chem Biol. 2010 Aug;6(8):566-7. doi: 10.1038/nchembio.407.,,['Nat Chem Biol. 2010 Aug;6(8):595-601. PMID: 20562877'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644512,NLM,MEDLINE,20100809,20211020,1940-087X (Electronic) 1940-087X (Linking),,41,2010 Jul 8,Measuring calpain activity in fixed and living cells by flow cytometry.,,10.3791/2050 [doi] 2050 [pii],"Calpains are ubiquitous intracellular, calcium-sensitive, neutral cysteine proteases. Calpains play crucial roles in many physiological processes, including signaling, cytoskeletal remodeling, regulation of gene expression, apoptosis and cell cycle progression. Calpains have been implicated in many pathologies including muscular dystrophies, cancer, diabetes, Alzheimer's disease and multiple sclerosis. Calpain regulation is complex and incompletely understood. mRNA and protein levels correlate poorly with activity, limiting the use of gene or protein expression techniques to measure calpain activity. This video protocol details a flow cytometric assay developed in our laboratory for measuring calpain activity in fixed and living cells. This method uses the fluorescent substrate BOC-LM-CMAC, which is cleaved specifically by calpain, to measure calpain activity. In this video, calpain activity in fixed and living murine 32 Dkit leukemia cells, alone or as part of a splenocyte population is measured using an LSRII (BD Bioscience). 32 Dkit cells are shown to have elevated activity compared to normal splenocytes.","['Farr, Christina', 'Berger, Stuart']","['Farr C', 'Berger S']","['Immunology, University of Toronto, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Video-Audio Media']",20100708,United States,J Vis Exp,Journal of visualized experiments : JoVE,101313252,"['0 (Acrylates)', '0 (Coumarins)', '0 (Dipeptides)', '0 (PD 150606)', '0 (t-BOC-leucine-methionine amide-CMAC)', 'EC 3.4.22.- (Calpain)']",IM,"['Acrylates/pharmacology', 'Animals', 'Calpain/*analysis/antagonists & inhibitors/metabolism', 'Cell Line, Tumor', 'Coumarins/chemistry', 'Dipeptides/chemistry', 'Flow Cytometry/*methods', 'Leukemia/enzymology', 'Mice', 'Spleen/cytology/enzymology']",2010/07/21 06:00,2010/08/10 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/08/10 06:00 [medline]']","['2050 [pii]', '10.3791/2050 [doi]']",epublish,J Vis Exp. 2010 Jul 8;(41). pii: 2050. doi: 10.3791/2050.,,,['Canadian Institutes of Health Research/Canada'],PMC3156068,,,,,,,,,,,,,,,,,,,,,,,,,,,
20644511,NLM,MEDLINE,20100809,20211020,1940-087X (Electronic) 1940-087X (Linking),,41,2010 Jul 7,Genome-wide analysis using ChIP to identify isoform-specific gene targets.,,10.3791/2101 [doi] 2101 [pii],"Recruitment of transcriptional and epigenetic factors to their targets is a key step in their regulation. Prominently featured in recruitment are the protein domains that bind to specific histone modifications. One such domain is the plant homeodomain (PHD), found in several chromatin-binding proteins. The epigenetic factor RBP2 has multiple PHD domains, however, they have different functions (Figure 4). In particular, the C-terminal PHD domain, found in a RBP2 oncogenic fusion in human leukemia, binds to trimethylated lysine 4 in histone H3 (H3K4me3). The transcript corresponding to the RBP2 isoform containing the C-terminal PHD accumulates during differentiation of promonocytic, lymphoma-derived, U937 cells into monocytes. Consistent with both sets of data, genome-wide analysis showed that in differentiated U937 cells, the RBP2 protein gets localized to genomic regions highly enriched for H3K4me3. Localization of RBP2 to its targets correlates with a decrease in H3K4me3 due to RBP2 histone demethylase activity and a decrease in transcriptional activity. In contrast, two other PHDs of RBP2 are unable to bind H3K4me3. Notably, the C-terminal domain PHD of RBP2 is absent in the smaller RBP2 isoform. It is conceivable that the small isoform of RBP2, which lacks interaction with H3K4me3, differs from the larger isoform in genomic location. The difference in genomic location of RBP2 isoforms may account for the observed diversity in RBP2 function. Specifically, RBP2 is a critical player in cellular differentiation mediated by the retinoblastoma protein (pRB). Consistent with these data, previous genome-wide analysis, without distinction between isoforms, identified two distinct groups of RBP2 target genes: 1) genes bound by RBP2 in a manner that is independent of differentiation; 2) genes bound by RBP2 in a differentiation-dependent manner. To identify differences in localization between the isoforms we performed genome-wide location analysis by ChIP-Seq. Using antibodies that detect both RBP2 isoforms we have located all RBP2 targets. Additionally we have antibodies that only bind large, and not small RBP2 isoform (Figure 4). After identifying the large isoform targets, one can then subtract them from all RBP2 targets to reveal the targets of small isoform. These data show the contribution of chromatin-interacting domain in protein recruitment to its binding sites in the genome.","['Beshiri, Michael L', 'Islam, Abul', 'DeWaal, Dannielle C', 'Richter, William F', 'Love, Jennifer', 'Lopez-Bigas, Nuria', 'Benevolenskaya, Elizaveta V']","['Beshiri ML', 'Islam A', 'DeWaal DC', 'Richter WF', 'Love J', 'Lopez-Bigas N', 'Benevolenskaya EV']","['Department of Biochemistry and Molecular Genetics, University of Illinois Chicago - UIC, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Video-Audio Media']",20100707,United States,J Vis Exp,Journal of visualized experiments : JoVE,101313252,"['0 (RBP2 protein, human)', '0 (Retinol-Binding Proteins, Cellular)']",IM,"['Chromatin Immunoprecipitation/*methods', '*Genome, Human', 'Humans', 'Protein Structure, Tertiary', 'Retinol-Binding Proteins, Cellular/*genetics', 'U937 Cells']",2010/07/21 06:00,2010/08/10 06:00,['2010/07/21 06:00'],"['2010/07/21 06:00 [entrez]', '2010/07/21 06:00 [pubmed]', '2010/08/10 06:00 [medline]']","['2101 [pii]', '10.3791/2101 [doi]']",epublish,J Vis Exp. 2010 Jul 7;(41). pii: 2101. doi: 10.3791/2101.,,,"['R01 CA138631/CA/NCI NIH HHS/United States', 'CA138631/CA/NCI NIH HHS/United States']",PMC3156076,,,,,,,,,,,,,,,,,,,,,,,,,,,
