PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,AB,PMC,OID,OTO,OT,GN
4311790,NLM,MEDLINE,19700204,20200724,0022-538X (Print) 0022-538X (Linking),4,5,1969 Nov,Murine sarcoma and leukemia viruses: assay using clonal lines of contact-inhibited mouse cells.,549-53,"['Jainchill, J L', 'Aaronson, S A', 'Todaro, G J']","['Jainchill JL', 'Aaronson SA', 'Todaro GJ']",['eng'],['Journal Article'],,United States,J Virol,Journal of virology,0113724,IM,"['Animals', 'Cell Line', '*Cell Transformation, Neoplastic', 'Clone Cells', '*Contact Inhibition', '*Culture Techniques', 'Embryo, Mammalian', 'Fibroblasts', 'Gammaretrovirus/*isolation & purification', 'Leukemia Virus, Murine/*isolation & purification', 'Mice']",,1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,J Virol. 1969 Nov;4(5):549-53. doi: 10.1128/JVI.4.5.549-553.1969.,,['10.1128/JVI.4.5.549-553.1969 [doi]'],"A continuous cell line of highly contact-inhibited cells (NIH/3T3) has been developed from NIH Swiss mouse embryo cultures. Its growth properties are similar to those of 3T3 and BALB/3T3. Although 3T3 is relatively insensitive to focus formation by murine sarcoma viruses, cloned lines of both NIH/3T3 and BALB/3T3 have been isolated that are highly sensitive to sarcoma virus focus formation and leukemia virus growth. The sensitivity and specificity are comparable to those found with primary embryo cells. MSV-transformed lines of NIH/3T3 have been obtained.",PMC375908,,,,
4311753,NLM,MEDLINE,19700202,20031114,0507-3758 (Print) 0507-3758 (Linking),15,5,1969,"[Features of the carcinogenic effect of 3,3'-benzidine dicarboxylic acid].",60-4,"['Pliss, G B']",['Pliss GB'],['rus'],['Journal Article'],"Ob osobennostiakh kantserogennogo deistviia 3,3'-benzidindikarbonovoi kisloty.",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adenocarcinoma/chemically induced', 'Adenoma/chemically induced', 'Animals', '*Biphenyl Compounds', '*Carcinogens', 'Carcinoma, Hepatocellular/chemically induced', 'Carcinoma, Squamous Cell/chemically induced', '*Dicarboxylic Acids', 'Female', 'Hemangioma/chemically induced', 'Hemangioma, Cavernous/chemically induced', 'Leukemia, Experimental/chemically induced', 'Liver Neoplasms/chemically induced', 'Lung Neoplasms/chemically induced', 'Male', 'Mammary Neoplasms, Experimental/chemically induced', 'Mice', 'Neoplasms, Experimental/*chemically induced', 'Rats', 'Sarcoma, Experimental/chemically induced', 'Stomach Neoplasms/chemically induced', 'Thymus Neoplasms/chemically induced']",,1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1969;15(5):60-4.,"['0 (Biphenyl Compounds)', '0 (Carcinogens)', '0 (Dicarboxylic Acids)']",,,,,,,
4311693,NLM,MEDLINE,19700202,20061115,0370-8241 (Print) 0370-8241 (Linking),24,11,1969 Nov,[Possible synergism of radiation and virus in leukemogenesis].,2252-6,"['Yokoro, K']",['Yokoro K'],['jpn'],['Journal Article'],,Japan,Saishin Igaku,Saishin igaku. Modern medicine,0413561,IM,"['AKR murine leukemia virus', 'Animals', 'Female', 'Injections, Intraperitoneal', 'Leukemia Virus, Murine', '*Leukemia, Experimental', '*Leukemia, Radiation-Induced', 'Mice', 'Rats', '*Retroviridae', 'Thymectomy']",,1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,Saishin Igaku. 1969 Nov;24(11):2252-6.,,,,,,,,
4311688,NLM,MEDLINE,19700202,20081121,0083-1921 (Print) 0083-1921 (Linking),32,,1968 Aug,The avian leukosis complex.,29-42,"['Helmboldt, C F', 'Fredrickson, T N']","['Helmboldt CF', 'Fredrickson TN']",['eng'],['Journal Article'],,United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,IM,"['Animals', '*Avian Leukosis/classification/etiology/pathology', 'Chickens', 'Fibrosarcoma/*veterinary', 'Hemangioendothelioma/*veterinary', 'Hemangioma/*veterinary', '*Herpesviridae Infections', '*Orthomyxoviridae Infections', 'Osteopetrosis/*veterinary', 'Reticuloendotheliosis, Avian/*veterinary', 'Wilms Tumor/*veterinary']",,1968/08/01 00:00,1968/08/01 00:01,['1968/08/01 00:00'],"['1968/08/01 00:00 [pubmed]', '1968/08/01 00:01 [medline]', '1968/08/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1968 Aug;32:29-42.,,,,,,,,
4311660,NLM,MEDLINE,19700130,20161017,0098-7484 (Print) 0098-7484 (Linking),211,1,1970 Jan 5,Herpesviruses and cancer.,91-6,"['Goodheart, C R']",['Goodheart CR'],['eng'],"['Journal Article', 'Review']",,United States,JAMA,JAMA,7501160,IM,"['Adenocarcinoma/etiology', 'Amino Acid Sequence', 'Animals', 'Anura', 'Burkitt Lymphoma/microbiology', 'Cats', 'Cattle', 'Chickens', 'Cricetinae', 'DNA, Viral/analysis', 'Dogs', 'Guinea Pigs', 'Haplorhini', '*Herpesviridae/analysis/classification', 'Herpesviridae Infections/veterinary', 'Humans', 'Kidney Neoplasms/etiology/veterinary', 'Leukemia/veterinary', 'Lymphoma/veterinary', 'Mice', 'Microscopy, Electron', 'Neoplasms/*etiology/veterinary', 'Oncogenic Viruses', 'Species Specificity']",14,1970/01/05 00:00,1970/01/05 00:01,['1970/01/05 00:00'],"['1970/01/05 00:00 [pubmed]', '1970/01/05 00:01 [medline]', '1970/01/05 00:00 [entrez]']",ppublish,JAMA. 1970 Jan 5;211(1):91-6.,"['0 (DNA, Viral)']",,,,,,,
4311642,NLM,MEDLINE,19700130,20131121,0372-8110 (Print) 0372-8110 (Linking),210,3,1969 Jul,[Growth of herpes viruses in human leucozyte cultures].,289-97,"['Gonczol, E', 'Jeney, E', 'Gergely, L', 'Vaczi, L']","['Gonczol E', 'Jeney E', 'Gergely L', 'Vaczi L']",['ger'],['Journal Article'],Die vermehrung der Viren der Herpes-Gruppe in humaner uberlebender Leukozytenkultur.,Germany,Zentralbl Bakteriol Orig,"Zentralblatt fur Bakteriologie, Parasitenkunde, Infektionskrankheiten und Hygiene. 1. Abt. Medizinisch-hygienische Bakteriologie, Virusforschung und Parasitologie. Originale",0337744,IM,"['Carbon Isotopes', 'Culture Techniques', 'Cytomegalovirus/*growth & development', 'Herpesvirus 3, Human/*growth & development', 'Humans', 'Lectins/pharmacology', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid/blood', 'Leukocytes', 'Simplexvirus/*growth & development', 'Thymidine/metabolism', 'Time Factors', '*Virus Cultivation']",,1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Zentralbl Bakteriol Orig. 1969 Jul;210(3):289-97.,"['0 (Carbon Isotopes)', '0 (Lectins)', 'VC2W18DGKR (Thymidine)']",,,,,,,
4311598,NLM,MEDLINE,19700130,20180216,0001-5792 (Print) 0001-5792 (Linking),42,2,1969,Studies on the pathogenesis and mechanism of hematologic diversification by re-isolation of the myeloid leukemia virus (Graffi).,65-75,"['Fey, F']",['Fey F'],['eng'],['Journal Article'],,Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Animals', 'Bone Marrow/microbiology', 'Brain/microbiology', 'Cell-Free System', 'Leukemia/diagnosis', 'Leukemia Virus, Murine/*pathogenicity', 'Leukemia, Experimental/*microbiology', 'Leukemia, Lymphoid/diagnosis', 'Leukemia, Myeloid/diagnosis/*microbiology', 'Leukemia, Myeloid, Acute/diagnosis', 'Liver/microbiology', 'Lymph Nodes/microbiology', 'Mice', 'Retroviridae/pathogenicity', 'Spleen/microbiology', 'Thymus Gland/microbiology', 'Tissue Extracts/administration & dosage']",,1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1969;42(2):65-75. doi: 10.1159/000208764.,['0 (Tissue Extracts)'],['10.1159/000208764 [doi]'],,,,,,
4311564,NLM,MEDLINE,19700129,20151119,0008-5472 (Print) 0008-5472 (Linking),29,11,1969 Nov,Response of bone marrow to MC29 avian leukosis virus in vitro.,2056-74,"['Langlois, A J', 'Fritz, R B', 'Heine, U', 'Beard, D', 'Bolognesi, D P', 'Beard, J W']","['Langlois AJ', 'Fritz RB', 'Heine U', 'Beard D', 'Bolognesi DP', 'Beard JW']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Avian Leukosis/blood', '*Avian Leukosis Virus', 'Blood Cells', '*Bone Marrow', 'Cell Division', 'Cell Nucleolus', 'Chick Embryo', 'Chickens', '*Culture Techniques', '*Cytopathogenic Effect, Viral', 'Cytoplasm', 'Endoplasmic Reticulum', 'Microscopy, Electron', 'Neutralization Tests', 'Ribosomes', 'Sex Chromatin', 'Virus Cultivation']",,1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,Cancer Res. 1969 Nov;29(11):2056-74.,,,,,,,,
4311545,NLM,MEDLINE,19700128,20190714,0042-6822 (Print) 0042-6822 (Linking),39,3,1969 Nov,Induction of transplantation resistance to Rous sarcoma isograft by avian leukosis virus.,482-90,"['Bauer, H', 'Bubenek, J', 'Graf, T', 'Allgaier, C']","['Bauer H', 'Bubenek J', 'Graf T', 'Allgaier C']",['eng'],['Journal Article'],,United States,Virology,Virology,0110674,IM,"['Animals', 'Animals, Newborn', 'Avian Leukosis Virus/classification/*immunology', 'Cell Transformation, Neoplastic', 'Chick Embryo', 'Chickens', 'Complement Fixation Tests', 'Fibroblasts/microbiology', 'Immunity, Active', 'Leukemia, Experimental/immunology', 'Leukemia, Myeloid, Acute/immunology', 'Mice', 'Neoplasm Transplantation', 'Sarcoma, Avian/*immunology', '*Transplantation Immunology', 'Transplantation, Autologous']",,1969/11/01 00:00,1969/11/01 00:01,['1969/11/01 00:00'],"['1969/11/01 00:00 [pubmed]', '1969/11/01 00:01 [medline]', '1969/11/01 00:00 [entrez]']",ppublish,Virology. 1969 Nov;39(3):482-90. doi: 10.1016/0042-6822(69)90096-8.,,"['0042-6822(69)90096-8 [pii]', '10.1016/0042-6822(69)90096-8 [doi]']",,,,,,
4311515,NLM,MEDLINE,19700128,20190609,0006-3002 (Print) 0006-3002 (Linking),165,3,1968 Oct 15,Biosynthesis of glycosaminoglycans (mucopolysaccharides) in leukemic myeloid cells.,324-34,"['Olsson, I']",['Olsson I'],['eng'],['Journal Article'],,Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,IM,"['Blood Cell Count', 'Carbon Isotopes', 'Cellulose', 'Centrifugation, Density Gradient', 'Chondroitin/*biosynthesis/isolation & purification', 'Chromatography', 'Chromatography, Gel', 'Glucosamine/metabolism', 'Glycosaminoglycans/analysis/*biosynthesis', 'Hexosamines/metabolism', 'Humans', 'Leukemia, Myeloid/*blood/metabolism', 'Leukocytes/*metabolism', 'Methods', 'Pyridinium Compounds', 'Silicon Dioxide', 'Solubility', 'Sulfates/metabolism', 'Sulfur Isotopes', 'Time Factors']",,1968/10/15 00:00,1968/10/15 00:01,['1968/10/15 00:00'],"['1968/10/15 00:00 [pubmed]', '1968/10/15 00:01 [medline]', '1968/10/15 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1968 Oct 15;165(3):324-34. doi: 10.1016/0304-4165(68)90210-9.,"['0 (Carbon Isotopes)', '0 (Glycosaminoglycans)', '0 (Hexosamines)', '0 (Pyridinium Compounds)', '0 (Sulfates)', '0 (Sulfur Isotopes)', '7631-86-9 (Silicon Dioxide)', '9004-34-6 (Cellulose)', '9007-27-6 (Chondroitin)', 'N08U5BOQ1K (Glucosamine)']","['0304-4165(68)90210-9 [pii]', '10.1016/0304-4165(68)90210-9 [doi]']",,,,,,
4311497,NLM,MEDLINE,19700124,20131121,0044-2933 (Print) 0044-2933 (Linking),7,4,1969 Jul,[An apparatus for the production and photodocumentation of agar gel enzyme electrophoretograms].,391-2,"['Kamaryt, J']",['Kamaryt J'],['ger'],['Journal Article'],Eine Einrichtung zur Darstellung und Photodokumentation von Agar-Gel-Enzym-Elektropherogrammen.,Germany,Z Klin Chem Klin Biochem,Zeitschrift fur klinische Chemie und klinische Biochemie,7607250,IM,"['Agar', 'Aspartate Aminotransferases/analysis', 'Densitometry', 'Electrophoresis/*instrumentation', 'Gels', 'Isoenzymes', 'L-Lactate Dehydrogenase/analysis', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid, Acute/enzymology', 'Leukocytes/enzymology', 'Liver/enzymology', 'NAD', 'Photometry']",,1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Z Klin Chem Klin Biochem. 1969 Jul;7(4):391-2.,"['0 (Gels)', '0 (Isoenzymes)', '0U46U6E8UK (NAD)', '9002-18-0 (Agar)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 2.6.1.1 (Aspartate Aminotransferases)']",,,,,,,
4311345,NLM,MEDLINE,19700120,20071115,0507-3758 (Print) 0507-3758 (Linking),15,8,1969,[Morphologic characteristics of spontaneous tumors and leukoses in 1st generation C47B1XCBA hybrid mice].,58-64,"[""Vasil'eva, N N""]","[""Vasil'eva NN""]",['rus'],['Journal Article'],Morfologicheskaia dharakteristika spontannykh opukholei i leikozov u myshei-gibridov pervogo pokoleniia C57B1XCBA.,Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adenoma/*pathology', 'Animals', '*Carcinogens', 'Carcinoma, Hepatocellular/*pathology', 'Leukemia, Experimental/*pathology', 'Liver/pathology', 'Liver Neoplasms/*pathology', 'Lung/pathology', 'Lung Neoplasms/*pathology', 'Lymphoma, Large B-Cell, Diffuse/*pathology', 'Mice', 'Neoplasms, Experimental/chemically induced/*pathology', '*Triazoles']",,1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1969;15(8):58-64.,"['0 (Carcinogens)', '0 (Triazoles)']",,,,,,,
