PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,CON,GR,CI,MID,CN,TT,CIN,OID,SI,EIN,IR,FIR,COIS,RIN
22005133,NLM,MEDLINE,20120214,20131121,1421-9662 (Electronic) 0001-5792 (Linking),127,1,2012,"Additional chromosome abnormalities, BCR-ABL tyrosine kinase domain mutations and clinical outcome in Hungarian tyrosine kinase inhibitor-resistant chronic myelogenous leukemia patients.",34-42,10.1159/000331472 [doi],"BACKGROUND: Additional chromosome abnormalities (ACAs), mutations of the BCR-ABL tyrosine kinase domain (TKD) and BCR-ABL splice variants may cause resistance to first- and second-generation tyrosine kinase inhibitors (TKIs) in chronic myelogenous leukemia (CML) and Philadelphia-positive (Ph+) acute lymphoid leukemia (ALL). METHODS: Karyotyping and BCR-ABL TKD mutation screening were performed in 71 imatinib-resistant CML patients and 6 Ph+ ALL patients. A total of 56 out of these 77 patients received second-generation TKI. RESULTS: ACAs were present in 30 of 65 imatinib-resistant patients (46%). In 27 of 74 imatinib-resistant patients (36%), 15 different BCR-ABL TKD mutations were detected. Mutations were found in 25% of chronic-phase patients (12/47), 33% of accelerated-phase patients (5/15), 71% of blast crisis CML patients (5/7) and 100% of ALL patients. In nilotinib-resistant patients, Y253H, T315I and F359I/V mutations were detected; in dasatinib-resistant patients, L248M, E279K and T315I mutations were detected. T315I was found more frequently in patients on dasatinib than on imatinib therapy. The presence of ACAs predicted shorter survival during first- and second-generation TKI therapy, while TKD mutations only influenced survival during second-generation TKI therapy. CONCLUSION: For patients with TKI resistance, mutation and ACA screening may play a role in identifying patients with poorer prognosis.","['Meggyesi, Nora', 'Kozma, Andras', 'Halm, Gabriella', 'Nahajevszky, Sarolta', 'Batai, Arpad', 'Fekete, Sandor', 'Barta, Aniko', 'Ujj, Gyorgy', 'Lueff, Sandor', 'Sipos, Andrea', 'Adam, Emma', 'Bors, Andras', 'Remenyi, Peter', 'Masszi, Tamas', 'Tordai, Attila', 'Andrikovics, Hajnalka']","['Meggyesi N', 'Kozma A', 'Halm G', 'Nahajevszky S', 'Batai A', 'Fekete S', 'Barta A', 'Ujj G', 'Lueff S', 'Sipos A', 'Adam E', 'Bors A', 'Remenyi P', 'Masszi T', 'Tordai A', 'Andrikovics H']","['Laboratory of Molecular Diagnostics, Hungarian National Blood Transfusion Service, St. Istvan-St. Laszlo Hospital, Budapest, Hungary. nora.meggyesi@kkk.org.hu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111014,Switzerland,Acta Haematol,Acta haematologica,0141053,"['0 (Protein Kinase Inhibitors)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adolescent', 'Adult', 'Aged', 'Case-Control Studies', 'Child', '*Chromosome Aberrations', 'Disease-Free Survival', 'Drug Resistance, Neoplasm/drug effects/*genetics', 'Female', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/*genetics', 'Humans', 'Hungary', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/enzymology/mortality', 'Male', 'Middle Aged', '*Point Mutation', 'Protein Kinase Inhibitors/*therapeutic use', 'Protein Structure, Tertiary', 'Protein-Tyrosine Kinases/antagonists & inhibitors/*genetics', 'Survival Rate']",,2011/10/19 06:00,2012/02/15 06:00,['2011/10/19 06:00'],"['2011/05/02 00:00 [received]', '2011/07/28 00:00 [accepted]', '2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/02/15 06:00 [medline]']","['000331472 [pii]', '10.1159/000331472 [doi]']",ppublish,Acta Haematol. 2012;127(1):34-42. doi: 10.1159/000331472. Epub 2011 Oct 14.,,,,,"['Copyright (c) 2011 S. Karger AG, Basel.']",,,,,,,,,,,
22005067,NLM,MEDLINE,20120306,20201209,1973-9478 (Electronic) 1120-009X (Linking),23,5,2011 Oct,Breakthrough fungemia due to Candida glabrata during posaconazole prophylaxis in hematology patients treated with anidulafungin - report of 5 cases.,310-1,,,"['Krcmery, V', 'Demitrovicova, A', 'Kisac, P']","['Krcmery V', 'Demitrovicova A', 'Kisac P']",,['eng'],"['Case Reports', 'Letter']",,England,J Chemother,"Journal of chemotherapy (Florence, Italy)",8907348,"['0 (Antifungal Agents)', '0 (Echinocandins)', '0 (Triazoles)', '6TK1G07BHZ (posaconazole)', '9HLM53094I (Anidulafungin)']",IM,"['Adult', 'Anidulafungin', 'Antifungal Agents/*therapeutic use', 'Candida glabrata/*drug effects/isolation & purification', 'Candidiasis/*drug therapy/immunology/microbiology/prevention & control', 'Drug Resistance, Fungal', 'Echinocandins/*therapeutic use', 'Female', 'Fungemia/*drug therapy/immunology/microbiology/prevention & control', 'Humans', '*Immunocompromised Host', 'Leukemia/complications/*immunology', 'Male', 'Middle Aged', 'Slovakia', 'Treatment Outcome', 'Triazoles/therapeutic use']",,2011/10/19 06:00,2012/03/07 06:00,['2011/10/19 06:00'],"['2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/03/07 06:00 [medline]']",['10.1179/joc.2011.23.5.310 [doi]'],ppublish,J Chemother. 2011 Oct;23(5):310-1. doi: 10.1179/joc.2011.23.5.310.,,,,,,,,,,,,,,,,
22005026,NLM,MEDLINE,20120529,20211020,1552-9924 (Electronic) 0091-6765 (Linking),120,2,2012 Feb,Increased mitochondrial DNA copy number in occupations associated with low-dose benzene exposure.,210-5,10.1289/ehp.1103979 [doi],"BACKGROUND: Benzene is an established leukemogen at high exposure levels. Although low-level benzene exposure is widespread and may induce oxidative damage, no mechanistic biomarkers are available to detect biological dysfunction at low doses. OBJECTIVES: Our goals were to determine in a large multicenter cross-sectional study whether low-level benzene is associated with increased blood mitochondrial DNA copy number (mtDNAcn, a biological oxidative response to mitochondrial DNA damage and dysfunction) and to explore potential links between mtDNAcn and leukemia-related epigenetic markers. METHODS: We measured blood relative mtDNAcn by real-time polymerase chain reaction in 341 individuals selected from various occupational groups with low-level benzene exposures (> 100 times lower than the Occupational Safety and Health Administration/European Union standards) and 178 referents from three Italian cities (Genoa, Milan, Cagliari). RESULTS: In each city, benzene-exposed participants showed higher mtDNAcn than referents: mtDNAcn was 0.90 relative units in Genoa bus drivers and 0.75 in referents (p = 0.019); 0.90 in Milan gas station attendants, 1.10 in police officers, and 0.75 in referents (p-trend = 0.008); 1.63 in Cagliari petrochemical plant workers, 1.25 in referents close to the plant, and 0.90 in referents farther from the plant (p-trend = 0.046). Using covariate-adjusted regression models, we estimated that an interquartile range increase in personal airborne benzene was associated with percent increases in mtDNAcn equal to 10.5% in Genoa (p = 0.014), 8.2% (p = 0.008) in Milan, 7.5% in Cagliari (p = 0.22), and 10.3% in all cities combined (p < 0.001). Using methylation data available for the Milan participants, we found that mtDNAcn was associated with LINE-1 hypomethylation (-2.41%; p = 0.007) and p15 hypermethylation (+15.95%, p = 0.008). CONCLUSIONS: Blood MtDNAcn was increased in persons exposed to low benzene levels, potentially reflecting mitochondrial DNA damage and dysfunction.","['Carugno, Michele', 'Pesatori, Angela Cecilia', 'Dioni, Laura', 'Hoxha, Mirjam', 'Bollati, Valentina', 'Albetti, Benedetta', 'Byun, Hyang-Min', 'Bonzini, Matteo', 'Fustinoni, Silvia', 'Cocco, Pierluigi', 'Satta, Giannina', 'Zucca, Mariagrazia', 'Merlo, Domenico Franco', 'Cipolla, Massimo', 'Bertazzi, Pier Alberto', 'Baccarelli, Andrea']","['Carugno M', 'Pesatori AC', 'Dioni L', 'Hoxha M', 'Bollati V', 'Albetti B', 'Byun HM', 'Bonzini M', 'Fustinoni S', 'Cocco P', 'Satta G', 'Zucca M', 'Merlo DF', 'Cipolla M', 'Bertazzi PA', 'Baccarelli A']","['Department of Occupational and Environmental Health, Universita degli Studi di Milano, Milan, Italy. michele.carugno@gmail.com']",['eng'],"['Journal Article', 'Multicenter Study', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20111017,United States,Environ Health Perspect,Environmental health perspectives,0330411,"['0 (Air Pollutants, Occupational)', '0 (Biomarkers)', '0 (CDKN2B protein, human)', '0 (Cyclin-Dependent Kinase Inhibitor p15)', '0 (DNA, Mitochondrial)', 'J64922108F (Benzene)']",IM,"['Adult', 'Air Pollutants, Occupational/analysis/*toxicity', 'Benzene/analysis/*toxicity', 'Biomarkers/blood', 'Cities/epidemiology', 'Cross-Sectional Studies', 'Cyclin-Dependent Kinase Inhibitor p15/blood/drug effects', 'DNA Damage/drug effects', 'DNA Methylation/drug effects', 'DNA, Mitochondrial/*blood', 'Dose-Response Relationship, Drug', 'Female', 'Gene Dosage/*drug effects', 'Humans', 'Italy/epidemiology', 'Leukemia, Myeloid, Acute/blood/*epidemiology/etiology', 'Long Interspersed Nucleotide Elements', 'Male', 'Middle Aged', 'Multivariate Analysis', '*Occupational Exposure', 'Real-Time Polymerase Chain Reaction', 'Regression Analysis', 'Young Adult']",PMC3279451,2011/10/19 06:00,2012/05/30 06:00,['2011/10/19 06:00'],"['2011/05/24 00:00 [received]', '2011/10/17 00:00 [accepted]', '2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/05/30 06:00 [medline]']",['10.1289/ehp.1103979 [doi]'],ppublish,Environ Health Perspect. 2012 Feb;120(2):210-5. doi: 10.1289/ehp.1103979. Epub 2011 Oct 17.,,,,"['P30 ES000002/ES/NIEHS NIH HHS/United States', 'P30ES000002/ES/NIEHS NIH HHS/United States']",,,,,,,,,,,,
22004952,NLM,MEDLINE,20120316,20111018,1872-7077 (Electronic) 1382-6689 (Linking),32,3,2011 Nov,Flavonoids and sesquiterpenes from Tecurium ramosissimum promote antiproliferation of human cancer cells and enhance antioxidant activity: a structure-activity relationship study.,336-48,10.1016/j.etap.2011.07.003 [doi],"Fractionation of the chloroformic extracts from Teucrium ramosissimum leaves resulted in the isolation of three flavonoids: genkwanin (1), cirsimaritin (2) and 4',7-dimethoxy apigenin (4) and one sesquiterpene: beta-eudesmol (3). The structures were determined using data obtained from (1)H and (13)C NMR spectra, as well as by various correlation experiments (COSY, HMQC and HMBC). The antioxidant activities of the isolated flavonoids from T. ramosissimum leaves were evaluated by measuring their ability to scavenge the radical ABTS(+) and through chemical assays: cupric reducing antioxidant capacity (CUPRAC), reducing power (RP) and ferric reducing antioxidant power (FRAP). Furthermore, the effects of T. ramosissimum isolated molecules, on inhibition of cell proliferation and induction of apoptosis in human leukemia cells, were also examined. Cirsimaritin showed the best activity in the ABTS assay with TEAC value 2.04muM, whereas apigenin and 4',7-dimethoxy apigenin exhibited the highest antioxidant activity using the CUPRAC, RP and FRAP assays with TEAC values 10.5, 1.39 and 0.71muM respectively. The cytotoxic activity revealed that the beta-eudesmol inhibited significantly the proliferation of K562 cells (IC(50)=20mug/ml).","['Ben Sghaier, Mohamed', 'Skandrani, Ines', 'Nasr, Nouha', 'Franca, Marie-Genvieve Dijoux', 'Chekir-Ghedira, Leila', 'Ghedira, Kamel']","['Ben Sghaier M', 'Skandrani I', 'Nasr N', 'Franca MG', 'Chekir-Ghedira L', 'Ghedira K']","['Unite de Pharmacognosie/Biologie Moleculaire 99/UR/07-03, Faculte de Pharmacie, Rue Avicenne, 5000 Monastir, Tunisia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20110712,Netherlands,Environ Toxicol Pharmacol,Environmental toxicology and pharmacology,9612020,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Antioxidants)', '0 (Flavones)', '0 (Flavonoids)', '0 (Sesquiterpenes)', '6601-62-3 (cirsimaritin)']",IM,"['Antineoplastic Agents, Phytogenic/chemistry/*pharmacology', 'Antioxidants/chemistry/pharmacology', 'Apoptosis/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Drug Screening Assays, Antitumor', 'Flavones/chemistry/pharmacology', 'Flavonoids/*chemistry/*pharmacology', 'Humans', 'K562 Cells', 'Leukemia/drug therapy/pathology', 'Magnetic Resonance Spectroscopy', 'Molecular Structure', 'Plant Leaves/chemistry', 'Plants, Medicinal/chemistry', 'Sesquiterpenes/chemistry/*pharmacology', 'Structure-Activity Relationship', 'Teucrium/*chemistry', 'Tunisia']",,2011/10/19 06:00,2012/03/17 06:00,['2011/10/19 06:00'],"['2011/02/18 00:00 [received]', '2011/06/25 00:00 [revised]', '2011/07/06 00:00 [accepted]', '2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/03/17 06:00 [medline]']","['S1382-6689(11)00109-8 [pii]', '10.1016/j.etap.2011.07.003 [doi]']",ppublish,Environ Toxicol Pharmacol. 2011 Nov;32(3):336-48. doi: 10.1016/j.etap.2011.07.003. Epub 2011 Jul 12.,,,,,['Copyright (c) 2011 Elsevier B.V. All rights reserved.'],,,,,,,,,,,
22004558,NLM,MEDLINE,20121203,20211020,1582-4934 (Electronic) 1582-1838 (Linking),16,8,2012 Aug,The new low-toxic histone deacetylase inhibitor S-(2) induces apoptosis in various acute myeloid leukaemia cells.,1758-65,10.1111/j.1582-4934.2011.01464.x [doi],"Histone deacetylase inhibitors (HDACi) induce tumour cell cycle arrest and/or apoptosis, and some of them are currently used in cancer therapy. Recently, we described a series of powerful HDACi characterized by a 1,4-benzodiazepine (BDZ) ring hybridized with a linear alkyl chain bearing a hydroxamate function as Zn(++)--chelating group. Here, we explored the anti-leukaemic properties of three novel hybrids, namely the chiral compounds (S)-2 and (R)-2, and their non-chiral analogue 4, which were first comparatively tested in promyelocytic NB4 cells. (S)-2 and partially 4--but not (R)-2--caused G0/G1 cell-cycle arrest by up-regulating cyclin G2 and p21 expression and down-regulating cyclin D2 expression, and also apoptosis as assessed by cell morphology and cytofluorimetric assay, histone H2AX phosphorylation and PARP cleavage. Notably, these events were partly prevented by an anti-oxidant. Moreover, novel HDACi prompted p53 and alpha-tubulin acetylation and, consistently, inhibited HDAC1 and 6 activity. The rank order of potency was (S)-2 > 4 > (R)-2, reflecting that of other biological assays and addressing (S)-2 as the most effective compound capable of triggering apoptosis in various acute myeloid leukaemia (AML) cell lines and blasts from patients with different AML subtypes. Importantly, (S)-2 was safe in mice (up to 150 mg/kg/week) as determined by liver, spleen, kidney and bone marrow histopathology; and displayed negligible affinity for peripheral/central BDZ-receptors. Overall, the BDZ-hydroxamate (S)-2 showed to be a low-toxic HDACi with powerful anti-proliferative and pro-apototic activities towards different cultured and primary AML cells, and therefore of clinical interest to support conventional anti-leukaemic therapy.","['Cellai, C', 'Balliu, M', 'Laurenzana, A', 'Guandalini, L', 'Matucci, R', 'Miniati, D', 'Torre, E', 'Nebbioso, A', 'Carafa, V', 'Altucci, L', 'Romanelli, M N', 'Paoletti, F']","['Cellai C', 'Balliu M', 'Laurenzana A', 'Guandalini L', 'Matucci R', 'Miniati D', 'Torre E', 'Nebbioso A', 'Carafa V', 'Altucci L', 'Romanelli MN', 'Paoletti F']","['Department of Experimental Pathology and Oncology, University of Florence, Sesto Fiorentino, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,J Cell Mol Med,Journal of cellular and molecular medicine,101083777,"['0 (Histone Deacetylase Inhibitors)', '0 (Histones)', '0 (Hydroxamic Acids)', '0 (Reactive Oxygen Species)', '0 (Receptors, GABA-A)', '12794-10-4 (Benzodiazepines)', 'M4Z88L5FCM (Bz-423)']",IM,"['Acetylation/drug effects', 'Animals', 'Apoptosis/*drug effects', 'Benzodiazepines/chemistry/*toxicity', 'Cell Cycle/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Drug Screening Assays, Antitumor', 'Fluorometry', 'Histone Deacetylase Inhibitors/chemistry/*toxicity', 'Histones/metabolism', 'Humans', 'Hydroxamic Acids/chemistry/*toxicity', 'Leukemia, Myeloid, Acute/pathology', 'Mice', 'Reactive Oxygen Species/metabolism', 'Receptors, GABA-A/metabolism', 'Toxicity Tests, Acute']",PMC3822689,2011/10/19 06:00,2012/12/10 06:00,['2011/10/19 06:00'],"['2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/12/10 06:00 [medline]']",['10.1111/j.1582-4934.2011.01464.x [doi]'],ppublish,J Cell Mol Med. 2012 Aug;16(8):1758-65. doi: 10.1111/j.1582-4934.2011.01464.x.,,,,,"['(c) 2012 The Authors Journal of Cellular and Molecular Medicine (c) 2012', 'Foundation for Cellular and Molecular Medicine/Blackwell Publishing Ltd.']",,,,,,,,,,,
22004498,NLM,MEDLINE,20120301,20111018,1365-4632 (Electronic) 0011-9059 (Linking),50,11,2011 Nov,Multiple painful erythematous nodules on extremities--a clinicopathological challenge.,1402-5,10.1111/j.1365-4632.2010.04730.x [doi],,"['Liu, Xiao-Yan', 'Fang, Hong', 'Wang, Lei']","['Liu XY', 'Fang H', 'Wang L']","['Department of Dermatology, First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China.']",['eng'],"['Case Reports', 'Journal Article']",,England,Int J Dermatol,International journal of dermatology,0243704,,IM,"['Adult', 'Erythema Nodosum/*complications/diagnosis/*pathology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications/diagnosis', 'Male', 'Middle Aged', 'Prognosis']",,2011/10/19 06:00,2012/03/02 06:00,['2011/10/19 06:00'],"['2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/03/02 06:00 [medline]']",['10.1111/j.1365-4632.2010.04730.x [doi]'],ppublish,Int J Dermatol. 2011 Nov;50(11):1402-5. doi: 10.1111/j.1365-4632.2010.04730.x.,,,,,,,,,,,,,,,,
22003964,NLM,MEDLINE,20121207,20181201,1399-0012 (Electronic) 0902-0063 (Linking),26,3,2012 May-Jun,Prophylactic use of zoledronic acid to prevent early bone loss is safe and feasible in patients with acute myeloid leukemia undergoing allogeneic stem cell transplantation.,447-53,10.1111/j.1399-0012.2011.01527.x [doi],"Osteopenia and osteoporosis are well-known consequences of allogeneic stem cell transplantation (allo-SCT). The role of prophylactic zoledronic acid on bone turnover following allo-SCT has not been well characterized. We prospectively studied the role of prophylactic use of zoledronic acid on bone metabolism in 17 patients with acute myeloid leukemia (AML) undergoing allo-SCT over a period of three yr (2006-2009). We measured bone mineral density using dual energy X-ray absorptiometry (DXA) scanning and the markers of bone turnover by urinary N-terminal telopeptide (uNTX) and serum osteocalcin levels prior to and serially following transplantation. All patients received 4 mg of zoledronic acid (Zometa, Novartis Pharmaceuticals Corp., Basel, Switzerland) intravenously prior to starting conditioning regimen and at six months after SCT. DXA scores did not change significantly in any patient over time (p > 0.05). uNTX progressively decreased over time (p < 0.001) and serum osteocalcin stabilized after six months. No patient developed osteonecrosis of the jaw. In conclusion, in this prospective pilot study, prophylactic use of zoledronic acid to prevent early bone loss was found to be safe and feasible in patients with AML undergoing allo-SCT during the immediate post-transplantation period.","['Ganguly, Siddhartha', 'Divine, Clint L', 'Aljitawi, Omar S', 'Abhyankar, Sunil', 'McGuirk, Joseph P', 'Graves, Leland']","['Ganguly S', 'Divine CL', 'Aljitawi OS', 'Abhyankar S', 'McGuirk JP', 'Graves L']","['Blood and Marrow Transplantation Program, University of Kansas Medical Center, Kansas City, KS 66205, USA. sganguly@kumc.edu']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20111017,Denmark,Clin Transplant,Clinical transplantation,8710240,"['0 (Bone Density Conservation Agents)', '0 (Diphosphonates)', '0 (Imidazoles)', '6XC1PAD3KF (Zoledronic Acid)']",IM,"['Absorptiometry, Photon', 'Adult', 'Bone Density/drug effects', 'Bone Density Conservation Agents/*therapeutic use', 'Bone Resorption/*drug therapy/etiology/mortality', 'Diphosphonates/*therapeutic use', 'Feasibility Studies', 'Female', 'Follow-Up Studies', 'Graft vs Host Disease/*drug therapy/etiology/mortality', 'Humans', 'Imidazoles/*therapeutic use', 'Leukemia, Myeloid, Acute/*complications/mortality/therapy', 'Male', 'Middle Aged', 'Osteoporosis/etiology/mortality/prevention & control', 'Pilot Projects', '*Postoperative Complications', 'Prognosis', 'Prospective Studies', 'Stem Cell Transplantation/*adverse effects', 'Survival Rate', 'Transplantation, Homologous', 'Young Adult', 'Zoledronic Acid']",,2011/10/19 06:00,2012/12/12 06:00,['2011/10/19 06:00'],"['2011/10/19 06:00 [entrez]', '2011/10/19 06:00 [pubmed]', '2012/12/12 06:00 [medline]']",['10.1111/j.1399-0012.2011.01527.x [doi]'],ppublish,Clin Transplant. 2012 May-Jun;26(3):447-53. doi: 10.1111/j.1399-0012.2011.01527.x. Epub 2011 Oct 17.,,,,,['(c) 2011 John Wiley & Sons A/S.'],,,,,,,,,,,
22003407,NLM,MEDLINE,20120202,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,10,2011,Shared and distinct functions of the transcription factors IRF4 and IRF8 in myeloid cell development.,e25812,10.1371/journal.pone.0025812 [doi],"Interferon regulatory factor (IRF) 8 and IRF4 are structurally-related, hematopoietic cell-specific transcription factors that cooperatively regulate the differentiation of dendritic cells and B cells. Whilst in myeloid cells IRF8 is known to modulate growth and differentiation, the role of IRF4 is poorly understood. In this study, we show that IRF4 has activities similar to IRF8 in regulating myeloid cell development. The ectopic expression of IRF4 in myeloid progenitor cells in vitro inhibits cell growth, promotes macrophages, but hinders granulocytic cell differentiation. We also show that IRF4 binds to and activates transcription through the IRF-Ets composite sequence (IECS). Furthermore, we demonstrate that Irf8(-)/(-)Irf4(-)/(-) mice exhibit a more severe chronic myeloid leukemia (CML)-like disease than Irf8(-)/(-) mice, involving a disproportionate expansion of granulocytes at the expense of monocytes/macrophages. Irf4(-)/(-) mice, however, display no obvious abnormality in myeloid cell development, presumably because IRF4 is expressed at a much lower level than IRF8 in granulocyte-macrophage progenitors. Our results also suggest that IRF8 and IRF4 have not only common but also specific activities in myeloid cells. Since the expression of both the IRF8 and IRF4 genes is downregulated in CML patients, these results may add to our understanding of CML pathogenesis.","['Yamamoto, Michio', 'Kato, Takayuki', 'Hotta, Chie', 'Nishiyama, Akira', 'Kurotaki, Daisuke', 'Yoshinari, Masahiro', 'Takami, Masamichi', 'Ichino, Motohide', 'Nakazawa, Masatoshi', 'Matsuyama, Toshifumi', 'Kamijo, Ryutaro', 'Kitagawa, Seiichi', 'Ozato, Keiko', 'Tamura, Tomohiko']","['Yamamoto M', 'Kato T', 'Hotta C', 'Nishiyama A', 'Kurotaki D', 'Yoshinari M', 'Takami M', 'Ichino M', 'Nakazawa M', 'Matsuyama T', 'Kamijo R', 'Kitagawa S', 'Ozato K', 'Tamura T']","['Department of Immunology, Yokohama City University Graduate School of Medicine, Yokohama, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111007,United States,PLoS One,PloS one,101285081,"['0 (Interferon Regulatory Factors)', '0 (RNA, Messenger)', '0 (interferon regulatory factor-4)', '0 (interferon regulatory factor-8)', '9007-49-2 (DNA)']",IM,"['Animals', 'Cell Cycle Checkpoints', 'Cell Differentiation', 'Cell Proliferation', 'DNA/genetics/metabolism', 'Gene Expression Regulation', 'Humans', 'Immunity, Innate', 'Interferon Regulatory Factors/deficiency/genetics/*metabolism', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/metabolism', 'Macrophages/cytology/immunology/metabolism', 'Mice', 'Myeloid Cells/*cytology/immunology/*metabolism', 'Neutrophils/cytology/immunology/metabolism', 'RNA, Messenger/genetics/metabolism', 'Substrate Specificity', 'Transcription, Genetic']",PMC3189223,2011/10/18 06:00,2012/02/03 06:00,['2011/10/18 06:00'],"['2011/05/28 00:00 [received]', '2011/09/11 00:00 [accepted]', '2011/10/18 06:00 [entrez]', '2011/10/18 06:00 [pubmed]', '2012/02/03 06:00 [medline]']","['10.1371/journal.pone.0025812 [doi]', 'PONE-D-11-09702 [pii]']",ppublish,PLoS One. 2011;6(10):e25812. doi: 10.1371/journal.pone.0025812. Epub 2011 Oct 7.,,,,,,,,,,,,,,,,
22003275,NLM,PubMed-not-MEDLINE,,20211020,1054-2523 (Print) 1054-2523 (Linking),20,8,2011 Nov,Synthesis and in vitro antiproliferative activity of novel (4-chloro- and 4-acyloxy-2-butynyl)thioquinolines.,1402-1410,,"The series of new acetylenic thioquinolines containing propargyl, 4-chloro-2-butynyl, and 4-acyloxy-2-butynyl groups have been prepared and tested for antiproliferative activity in vitro against human [SW707 (colorectal adenocarcinoma), CCRF/CEM (leukemia), T47D (breast cancer)] and murine [P388 (leukemia), B16 (melanoma)] cancer lines. Most of the obtained compounds exhibited antiproliferative activity, especially compounds 8, 12, and 21 showed the ID(50) values ranging from 0.4 to 3.8 mug/ml comparable to that of cisplatin used as reference compounds.","['Boryczka, Stanislaw', 'Mol, Wojciech', 'Milczarek, Magdalena', 'Wietrzyk, Joanna', 'Bebenek, Ewa']","['Boryczka S', 'Mol W', 'Milczarek M', 'Wietrzyk J', 'Bebenek E']",,['eng'],['Journal Article'],20101117,United States,Med Chem Res,Medicinal chemistry research : an international journal for rapid communications on design and mechanisms of action of biologically active agents,9211347,,,,PMC3185227,2011/10/18 06:00,2011/10/18 06:01,['2011/10/18 06:00'],"['2009/12/31 00:00 [received]', '2010/10/29 00:00 [accepted]', '2011/10/18 06:00 [entrez]', '2011/10/18 06:00 [pubmed]', '2011/10/18 06:01 [medline]']","['10.1007/s00044-010-9495-y [doi]', '9495 [pii]']",ppublish,Med Chem Res. 2011 Nov;20(8):1402-1410. doi: 10.1007/s00044-010-9495-y. Epub 2010 Nov 17.,,,,,,,,,,,,,,,,
22003270,NLM,PubMed-not-MEDLINE,,20211020,1573-0972 (Electronic) 0959-3993 (Linking),27,11,2011 Nov 1,Anaplasma phagocytophilum infection induces apoptosis in HL-60 cells.,2741-2746,,"Anaplasma phagocytophilum, the causative agent of human granulocytic anaplasmosis, is an obligate intra-cellular bacterium that survives in neutrophils by delaying apoptosis. The human promyelocytic leukemia cell line HL-60 has been the ultimate choice for culturing Anaplasma in vitro. In this study, we assessed the various events of drug-induced apoptosis in A. phagocytophilum-infected HL-60 cells. Anaplasma infection reduced the cell viability and increased the apoptosis in HL-60 cells and staurosporine or etoposide-induced apoptosis was further exacerbated with Anaplasma infection. Altogether our results suggest that A. phagocytophilum infection is proapoptotic in HL-60 cells unlike in neutrophils where it is antiapoptotic.","['Karki, Pratap', 'Ijdo, Jacob W']","['Karki P', 'Ijdo JW']","['Inflammation Program and Division of Rheumatology, Department of Internal Medicine, University of Iowa and Veterans Administration Medical Center, 2501 Crosspark Road, MTF E104, Coralville, Iowa City, IA 52241, USA.']",['eng'],['Journal Article'],,Germany,World J Microbiol Biotechnol,World journal of microbiology & biotechnology,9012472,,,,PMC3190240,2011/10/18 06:00,2011/10/18 06:01,['2011/10/18 06:00'],"['2011/10/18 06:00 [entrez]', '2011/10/18 06:00 [pubmed]', '2011/10/18 06:01 [medline]']",['10.1007/s11274-011-0745-z [doi]'],ppublish,World J Microbiol Biotechnol. 2011 Nov 1;27(11):2741-2746. doi: 10.1007/s11274-011-0745-z.,,,,"['R01 AI076244/AI/NIAID NIH HHS/United States', 'R01 AI076244-01A2/AI/NIAID NIH HHS/United States']",,['NIHMS303551'],,,,,,,,,,
