PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB,AD,DEP,RF,GR
13255335,NLM,MEDLINE,20030501,20181201,0370-3770 (Print) 0370-3770 (Linking),24,4,1955 Apr,[Passive corpuscular agglutination reaction in the immunological study of leukocytes and thrombocytes].,273-8,"['MOULINIER, J', 'MESNIER, F']","['MOULINIER J', 'MESNIER F']","['eng', 'fre']",['Journal Article'],La reaction d'agglutination corpusculaire passive (A.C.P.) appliquee a l'etude immunologique des leucocytes et des thrombocytes.,Belgium,Rev Belg Pathol Med Exp,Revue belge de pathologie et de medecine experimentale,20320140R,,OM,"['*Agglutination', '*Agglutination Tests', '*Blood Platelets', 'Humans', 'Leukemia/*immunology', '*Leukocytes']",['CLML: 5629:7187'],['NLM'],"['*BLOOD PLATELETS', '*LEUKEMIA/immunology', '*LEUKOCYTES']",1955/04/01 00:00,1955/04/01 00:01,['1955/04/01 00:00'],"['1955/04/01 00:00 [pubmed]', '1955/04/01 00:01 [medline]', '1955/04/01 00:00 [entrez]']",ppublish,Rev Belg Pathol Med Exp. 1955 Apr;24(4):273-8.,,,,,,,
13255188,NLM,MEDLINE,20030501,20181201,0370-4106 (Print) 0370-4106 (Linking),26,4,1955 Apr,[Leukemoid reactions and hyperleukocytosis in a pediatric clinic].,151-9,"['COSTA, A', 'VOLOSKY, R']","['COSTA A', 'VOLOSKY R']",['spa'],['Journal Article'],Reacciones leucemoides e hiperleucocitosis en clinica infantil.,Chile,Rev Chil Pediatr,Revista chilena de pediatria,0404261,,OM,"['Child', 'Humans', 'Infant', '*Leukemia', '*Leukemoid Reaction', '*Leukocyte Disorders', '*Leukocytosis']",['CLML: 5629:7040'],['NLM'],"['*LEUKEMIA/in infant and child', '*LEUKOCYTOSIS/in infant and child']",1955/04/01 00:00,1955/04/01 00:01,['1955/04/01 00:00'],"['1955/04/01 00:00 [pubmed]', '1955/04/01 00:01 [medline]', '1955/04/01 00:00 [entrez]']",ppublish,Rev Chil Pediatr. 1955 Apr;26(4):151-9.,,,,,,,
13254883,NLM,MEDLINE,20030501,20181201,0370-1514 (Print) 0370-1514 (Linking),11,13,1955 Jul 15,"[Some cases of acute and chronic myeloid leukosis treated with 1, 4-butanediol dimethylsulfonyl ester].",390-7,"['STORTI, E', 'PEDERZINI, A']","['STORTI E', 'PEDERZINI A']",['ita'],['Journal Article'],Alcuni casi di leucosi mieloide acuta e cronica trattati con 1-4-dimetilsulfonossibutano.,Italy,Prog Med (Napoli),Il Progresso medico,2984827R,"['0 (Butylene Glycols)', '0 (Esters)', '0 (Glycols)']",OM,"['*Butylene Glycols', '*Esters', 'Glycols/*therapeutic use', '*Leukemia', 'Leukemia, Myeloid/*therapy']",['CLML: 5629:6735'],['NLM'],"['*GLYCOLS/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1955/07/15 00:00,1955/07/15 00:01,['1955/07/15 00:00'],"['1955/07/15 00:00 [pubmed]', '1955/07/15 00:01 [medline]', '1955/07/15 00:00 [entrez]']",ppublish,Prog Med (Napoli). 1955 Jul 15;11(13):390-7.,,,,,,,
13254478,NLM,MEDLINE,20030501,20181201,,25,3,1955,[Acute leukemias. I. Analysis of 34 cases observed during 1945-54].,419-30,"['LABENDZINSKI, F']",['LABENDZINSKI F'],['pol'],['Journal Article'],Ostre bialaczki. I. Rozbior 34 przypadkow z lat 1945 do 1954.,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,,OM,"['*Acute Disease', 'Humans', 'Leukemia/*pathology']",['CLML: 5629:6330'],['NLM'],['*LEUKEMIA/pathology'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1955;25(3):419-30.,,,,,,,
13254473,NLM,MEDLINE,20030501,20181201,,25,2,1955,[Remission of acute leukemia associated with tuberculosis].,369-76,"['STALEWSKA, I', 'MARKIEWICZ, J', 'NIELUBSZYC, S']","['STALEWSKA I', 'MARKIEWICZ J', 'NIELUBSZYC S']",['pol'],['Journal Article'],Remisja ostrej bialaczki skojarzonej z gruzlica.,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,,OM,"['*Acute Disease', 'Child', 'Humans', 'Infant', '*Leukemia', '*Leukemia, Myeloid', '*Tuberculosis', '*Tuberculosis, Miliary']",['CLML: 5629:6325'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/in infant and child', '*TUBERCULOSIS, MILIARY/in infant and child']",1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1955;25(2):369-76.,,,,,,,
13253631,NLM,MEDLINE,20030501,20181201,0548-0191 (Print),2,2,1953,[Vital diagnosis of chloroleukosis].,99-108,"['BUCHVAROVA, V V', 'KONSTANTINOVA, B P']","['BUCHVAROVA VV', 'KONSTANTINOVA BP']",['bul'],['Journal Article'],"Khlorolevkoza, diagnostitsirana prizhive.",Bulgaria,Nauchni Tr Nauchnoizsled Stomatol Inst (Sofiia),Nauchni trudove. Sofia. Nauchno-izsledovatelski stomatologichen institut,20910490R,,OM,"['Child', 'Humans', 'Infant', '*Leukemia']",['CLML: 5629:5483'],['NLM'],['*LEUKOSARCOMA/in infant and child'],1953/01/01 00:00,1953/01/01 00:01,['1953/01/01 00:00'],"['1953/01/01 00:00 [pubmed]', '1953/01/01 00:01 [medline]', '1953/01/01 00:00 [entrez]']",ppublish,Nauchni Tr Nauchnoizsled Stomatol Inst (Sofiia). 1953;2(2):99-108.,,,,,,,
13253387,NLM,MEDLINE,20030501,20181201,0026-4806 (Print) 0026-4806 (Linking),46,61-62,1955 Aug 4,[A further possible indication for use of prednisone: several mesenchymal neoplasms].,272-4,"['MONTORSI, W']",['MONTORSI W'],['ita'],['Journal Article'],Una possibile nuova indicazione nell'impiego del prednisone: alcune neoplasie mesenchimali.,Italy,Minerva Med,Minerva medica,0400732,"['0 (Steroids)', 'VB0R961HZT (Prednisone)']",OM,"['Child', 'Humans', 'Infant', '*Leukemia', '*Leukemia, Myeloid', '*Liver', '*Liver Neoplasms', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Neoplasms', '*Prednisone', '*Sarcoma', 'Steroids/*therapeutic use']",['CLML: 5629:5239'],['NLM'],"['*LEUKEMIA, MONOCYTIC/in infant and child', '*LIVER/neoplasms', '*SARCOMA, RETICULUM CELL', '*STEROIDS/therapeutic use']",1955/08/04 00:00,1955/08/04 00:01,['1955/08/04 00:00'],"['1955/08/04 00:00 [pubmed]', '1955/08/04 00:01 [medline]', '1955/08/04 00:00 [entrez]']",ppublish,Minerva Med. 1955 Aug 4;46(61-62):272-4.,,,,,,,
13253354,NLM,MEDLINE,20030501,20181201,0026-4806 (Print) 0026-4806 (Linking),46,54,1955 Jul 7,[Leukemia; modern experimental study in human and comparative pathology].,85-102,"['GENESI, M']",['GENESI M'],['ita'],['Journal Article'],Leucemia; moderni contributi sperimentali in patologia umana e comparata.,Italy,Minerva Med,Minerva medica,0400732,,OM,"['Humans', '*Leukemia']",['CLML: 5629:5206'],['NLM'],['*LEUKEMIA'],1955/07/07 00:00,1955/07/07 00:01,['1955/07/07 00:00'],"['1955/07/07 00:00 [pubmed]', '1955/07/07 00:01 [medline]', '1955/07/07 00:00 [entrez]']",ppublish,Minerva Med. 1955 Jul 7;46(54):85-102.,,,,,,,
13253123,NLM,MEDLINE,20030501,20181201,0025-729X (Print) 0025-729X (Linking),42,5,1955 Jul 30,Myelosis among New Guinea natives.,166-7,"['SAAVE, J J']",['SAAVE JJ'],['eng'],['Journal Article'],,Australia,Med J Aust,The Medical journal of Australia,0400714,,OM,"['Humans', '*Leukemia', 'Leukemia, Myeloid/*epidemiology', 'New Guinea', '*Population Groups']",['CLML: 5629:4975'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/epidemiology']",1955/07/30 00:00,1955/07/30 00:01,['1955/07/30 00:00'],"['1955/07/30 00:00 [pubmed]', '1955/07/30 00:01 [medline]', '1955/07/30 00:00 [entrez]']",ppublish,Med J Aust. 1955 Jul 30;42(5):166-7.,,,,,,,
13252916,NLM,MEDLINE,20030501,20181201,0140-6736 (Print) 0140-6736 (Linking),269,6889,1955 Sep 10,LETTERER-CHRISTIAN disease.,541-2,,,['eng'],['Journal Article'],,England,Lancet,"Lancet (London, England)",2985213R,"['Reticuloendotheliosis, X-linked']",OM,"['*Eosinophilic Granuloma', '*Genetic Diseases, X-Linked', '*Leukemia, Hairy Cell', '*Lipidoses', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['CLML: 5629:4768'],['NLM'],"['*EOSINOPHILIC GRANULOMA', '*LIPOIDOSIS', '*RETICULOENDOTHELIOSIS']",1955/09/10 00:00,1955/09/10 00:01,['1955/09/10 00:00'],"['1955/09/10 00:00 [pubmed]', '1955/09/10 00:01 [medline]', '1955/09/10 00:00 [entrez]']",ppublish,Lancet. 1955 Sep 10;269(6889):541-2.,['S0140-6736(55)93284-0 [pii]'],,,,,,
13252481,NLM,MEDLINE,20030501,20190916,0307-1871 (Print) 0307-1871 (Linking),62,4,1955 Aug,Acute monocytic leukaemia in pregnancy.,640-3,"['BARR, W']",['BARR W'],['eng'],"['Case Reports', 'Journal Article']",,England,J Obstet Gynaecol Br Emp,The Journal of obstetrics and gynaecology of the British Empire,17930050R,,OM,"['*Cerebral Hemorrhage', 'Female', 'Humans', '*Leukemia', '*Leukemia, Monocytic, Acute', '*Leukemia, Myeloid', '*Medical Records', '*Monocytes', 'Pregnancy', 'Pregnancy Outcome/*etiology', '*Stillbirth']",['CLML: 5629:4326'],['NLM'],"['*CEREBRAL HEMORRHAGE/case reports', '*LEUKEMIA, MONOCYTIC/in pregnancy', '*PREGNANCY', '*STILLBIRTH/etiology and pathogenesis']",1955/08/01 00:00,1955/08/01 00:01,['1955/08/01 00:00'],"['1955/08/01 00:00 [pubmed]', '1955/08/01 00:01 [medline]', '1955/08/01 00:00 [entrez]']",ppublish,J Obstet Gynaecol Br Emp. 1955 Aug;62(4):640-3. doi: 10.1111/j.1471-0528.1955.tb14812.x.,['10.1111/j.1471-0528.1955.tb14812.x [doi]'],,,,,,
13252291,NLM,MEDLINE,20030501,20181201,0388-0486 (Print) 0388-0486 (Linking),1,4,1954 Oct,A patient with myelogenous leukemia exposed to the atomic blast at Hiroshima complaining of genital bleeding.,368-72,"['YAMAOKA, K']",['YAMAOKA K'],['eng'],['Journal Article'],,Japan,J Jpn Obstet Gynecol Soc,Journal of the Japanese Obstetrical & Gynecological Society,7507212,,OM,"['Female', '*Genitalia', '*Genitalia, Female', '*Hemorrhage', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*complications', '*Nuclear Warfare']",['CLML: 5629:4136'],['NLM'],"['*ATOMIC WARFARE', '*GENITALIA, FEMALE/hemorrhage', '*LEUKEMIA, MYELOCYTIC/complications']",1954/10/01 00:00,1954/10/01 00:01,['1954/10/01 00:00'],"['1954/10/01 00:00 [pubmed]', '1954/10/01 00:01 [medline]', '1954/10/01 00:00 [entrez]']",ppublish,J Jpn Obstet Gynecol Soc. 1954 Oct;1(4):368-72.,,,,,,,
13252033,NLM,MEDLINE,20030501,20210210,0021-9258 (Print) 0021-9258 (Linking),216,1,1955 Sep,A kinetic analysis of the glycolytic rate and certain glycolytic enzymes in normal and leucemic leucocytes.,333-50,"['BECK, W S']",['BECK WS'],['eng'],['Journal Article'],,United States,J Biol Chem,The Journal of biological chemistry,2985121R,['IY9XDZ35W2 (Glucose)'],OM,"['Glucose/*metabolism', 'Humans', 'Kinetics', '*Leukemia', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid/*blood', 'Leukocytes/*metabolism']",['CLML: 5629:3861'],['NLM'],"['*GLUCOSE/metabolism', '*LEUKEMIA, LYMPHATIC/blood in', '*LEUKEMIA, MYELOCYTIC/blood in', '*LEUKOCYTES/metabolism']",1955/09/01 00:00,1955/09/01 00:01,['1955/09/01 00:00'],"['1955/09/01 00:00 [pubmed]', '1955/09/01 00:01 [medline]', '1955/09/01 00:00 [entrez]']",ppublish,J Biol Chem. 1955 Sep;216(1):333-50.,['S0021-9258(19)52310-9 [pii]'],,,,,,
13251647,NLM,MEDLINE,20030501,20181201,0390-6078 (Print) 0390-6078 (Linking),39,4,1955,"[Experimental contribution on leukemia; disease form with the appearance of lymphatic leukosis, induced experimentally in mice and homologously transmissible. II. Experimental protocols].",227-62,"['AVEZZU, G', 'PAGANELLI, F']","['AVEZZU G', 'PAGANELLI F']",['ita'],['Journal Article'],"Contributo sperimentale allo studio delle leucemie, forma morbosa con aspetti di leucosi linfatica, indotta sperimentalmente nel topino e omologamente trasmissibile. II. Protocolli sperimentali.",Italy,Haematologica,Haematologica,0417435,,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', 'Mice']",['CLML: 5629:3474'],['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Haematologica. 1955;39(4):227-62.,,,,,,,
13250640,NLM,MEDLINE,20030501,20181201,,2,1,1955,[Effect of some antitumor agents on leukemia in mice].,33-7,"['PUJMAN, V', 'DOLEZELOVA, V', 'PROKOPOVA, S']","['PUJMAN V', 'DOLEZELOVA V', 'PROKOPOVA S']",['cze'],['Journal Article'],Vliv nekterych latek s protirakovinnym ucinkem na mysi leukemii.,Slovakia,Cesk Onkol,Ceskoslovenska onkologia,16120070R,['0 (Antineoplastic Agents)'],OM,"['Animals', '*Antineoplastic Agents', '*Leukemia', '*Leukemia, Experimental', 'Mice']",['CLML: 5629:2443'],['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Cesk Onkol. 1955;2(1):33-7.,,,,,,,
13250542,NLM,MEDLINE,20030501,20181201,0008-7335 (Print) 0008-7335 (Linking),94,27,1955 Jul 1,[Erythremic myelosis and erythroleukemia].,733-6,"['PROCHAZKA, J']",['PROCHAZKA J'],['cze'],['Journal Article'],Erythremicka myelosa a erythroleukemie.,Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,,OM,"['Aged', 'Humans', '*Leukemia, Erythroblastic, Acute', '*Osteosclerosis', '*Polycythemia Vera']",['CLML: 5629:2345'],['NLM'],"['*OSTEOSCLEROSIS', '*POLYCYTHEMIA VERA']",1955/07/01 00:00,1955/07/01 00:01,['1955/07/01 00:00'],"['1955/07/01 00:00 [pubmed]', '1955/07/01 00:01 [medline]', '1955/07/01 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1955 Jul 1;94(27):733-6.,,,,,,,
13250519,NLM,MEDLINE,20030501,20181201,0008-5472 (Print) 0008-5472 (Linking),15,8,1955 Sep,The effect of A-methopterin on formate-C14 incorporation by mouse leukemias in vitro.,532-6,"['WILLIAMS, A D', 'SLATER, G G', 'WINZLER, R J']","['WILLIAMS AD', 'SLATER GG', 'WINZLER RJ']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,"['0 (Folic Acid Antagonists)', '0 (Formates)', '0 (Lipids)', '0 (Proteins)', '0YIW783RG1 (formic acid)']",OM,"['Animals', 'Folic Acid Antagonists/*pharmacology', '*Formates', 'In Vitro Techniques', '*Leukemia, Experimental', '*Lipid Metabolism', '*Lipids', 'Liver/*metabolism', 'Proteins/*metabolism']",['CLML: 5629:2322'],['NLM'],"['*FOLIC ACID ANTAGONISTS/effects', '*LEUKEMIA/experimental', '*LIPIDS/metabolism', '*LIVER/metabolism', '*PROTEINS/metabolism']",1955/09/01 00:00,1955/09/01 00:01,['1955/09/01 00:00'],"['1955/09/01 00:00 [pubmed]', '1955/09/01 00:01 [medline]', '1955/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1955 Sep;15(8):532-6.,,,,,,,
13250034,NLM,MEDLINE,20030501,20210216,0006-4971 (Print) 0006-4971 (Linking),10,9,1955 Sep,The influence of chemotherapy on survival in acute leukemia.,875-95,"['HAUT, A', 'ALTMAN, S J', 'CARTWRIGHT, G E', 'WINTROBE, M M']","['HAUT A', 'ALTMAN SJ', 'CARTWRIGHT GE', 'WINTROBE MM']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,,OM,"['*Acute Disease', 'Humans', '*Leadership', 'Leukemia/*therapy']",['CLML: 5629:1837'],['NLM'],['*LEUKEMIA/therapy'],1955/09/01 00:00,1955/09/01 00:01,['1955/09/01 00:00'],"['1955/09/01 00:00 [pubmed]', '1955/09/01 00:01 [medline]', '1955/09/01 00:00 [entrez]']",ppublish,Blood. 1955 Sep;10(9):875-95.,['S0006-4971(20)66850-1 [pii]'],,,,,,
13249784,NLM,MEDLINE,20030501,20181201,0365-7426 (Print) 0365-7426 (Linking),10,4,1955 Apr,[Pulmonary localization of leukemia].,Varia; 126-32,"['PARRELLA, M', 'RESCIGNO, B']","['PARRELLA M', 'RESCIGNO B']",['ita'],['Journal Article'],Le localizzazioni polmonari della malattia leucemica.,Italy,Arch Tisiol Mal Appar Respir,Archivio di tisiologia e delle malattie dell'apparato respiratorio,1263557,,OM,"['*Biological Phenomena', 'Humans', 'Leukemia/*pathology', '*Lung']",['CLML: 5629:1587'],['NLM'],"['*LEUKEMIA/pathology', '*LUNGS']",1955/04/01 00:00,1955/04/01 00:01,['1955/04/01 00:00'],"['1955/04/01 00:00 [pubmed]', '1955/04/01 00:01 [medline]', '1955/04/01 00:00 [entrez]']",ppublish,Arch Tisiol Mal Appar Respir. 1955 Apr;10(4):Varia; 126-32.,,,,,,,
