PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SB,RIN,MH,OTO,OT,SI,CI,GR,MID,CIN,CN,EIN,TT,CON,GN,COIS,IR,FIR,PS,FPS,OID,DA,CTDT,PB,BTI,CDAT
23144156,NLM,MEDLINE,20130116,20210202,1528-0020 (Electronic) 0006-4971 (Linking),120,19,2012 Nov 8,Drug sensitivity and sphingolipid metabolism in CLL.,3865-6,10.1182/blood-2012-09-455394 [doi],,"['Jaeger, Ulrich']",['Jaeger U'],['Medical University of Vienna.'],['eng'],"['Journal Article', 'Comment']",,United States,Blood,Blood,7603509,,2012/11/13 06:00,2013/01/17 06:00,['2012/11/13 06:00'],"['2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/01/17 06:00 [medline]']","['S0006-4971(20)53857-3 [pii]', '10.1182/blood-2012-09-455394 [doi]']",ppublish,Blood. 2012 Nov 8;120(19):3865-6. doi: 10.1182/blood-2012-09-455394.,"['0 (Glucosylceramides)', '0 (Receptors, Antigen, B-Cell)']",IM,,"['*Drug Resistance, Neoplasm', 'Glucosylceramides/*metabolism', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism', 'Receptors, Antigen, B-Cell/*metabolism']",,,,,,,,,,,['Blood. 2012 Nov 8;120(19):3978-85. PMID: 22927247'],,,,,,,,,,,,
23143625,NLM,MEDLINE,20130715,20211021,1098-2825 (Electronic) 0887-8013 (Linking),26,6,2012 Nov,Flow cytometry immunophenotyping evaluation in acute lymphoblastic leukemia: correlation to factors affecting clinic outcome.,431-40,10.1002/jcla.21540 [doi],"The authors conducted a flow cytometry immunophenotyping study in patients with acute lymphoblastic leukemia (ALL) from Natal, Rio Grande do Norte, Brazil. The patients (n = 126) were newly diagnosed using a panel of monoclonal antibodies: CD1a, CD2, CD3, CD4, CD7, CD8, CD10, CD13, CD33, CD14, CD19, CD22, CD79a, CD117, CD34, anti-IgM, anti-TdT, anti-HLA-Dr, and anti-human kappa and lambda light chains. Additional data, such as patients' age and gender, clinical and laboratory findings such as presence of tumor masses, lymphadenopathy, hepatomegaly, splenomegaly, leukemic infiltration in the central nervous system (CNS) were also investigated. Results showed that 56.7% of the cases were B-lineage ALL and 55% were T-cell ALL. Also, we found that males were more affected by the disease, regardless of immunological classification. The correlation between age and immunological subtypes showed that the B-lineage ALL occurred more frequently in patients aged under 15 while the T-cell ALL subtype was more frequent in adults. Immunophenotypic profiles and morphological subtypes showed a direct correlation between L3 subtype and B-lineage ALL, while L1 and L2 subtypes correlated more often with B-cell lineage and T-cell ALL, respectively. Correlation analysis between immunophenotypic and clinical profiles showed that T-cell ALL was more associated with a higher incidence of lymphadenopathy, hepatomegaly, splenomegaly and CNS leukemic infiltration, also showing a greater blast cell count in peripheral blood than the other subgroups. The presented data suggest that immunophenotyping is an important method in the diagnosis, monitoring and prognostic assessment in determining the pathological mechanisms of evolution of ALL.","['Alves, Gabriela Vasconcelos de Andrade', 'Fernandes, Andrea Luciana Araujo da Cunha', 'Freire, Juliana Mendonca', 'Paiva, Aldair de Souza', 'Vasconcelos, Roberto Chaves de', 'Sales, Valeria Soraya de Farias', 'Lemos, Telma Maria de Araujo Moura', 'Gil, Erica Aires', 'Freire, Flavio Henrique Miranda de Araujo', 'Cavalcanti e Silva, Dany Geraldo Kramer', 'Maciel, James Farley Rafael', 'Farkatt, Irian Guedes', 'Cavalcanti Junior, Geraldo Barroso']","['Alves GV', 'Fernandes AL', 'Freire JM', 'Paiva Ade S', 'Vasconcelos RC', 'Sales VS', 'Lemos TM', 'Gil EA', 'Freire FH', 'Cavalcanti e Silva DG', 'Maciel JF', 'Farkatt IG', 'Cavalcanti Junior GB']","['Departamento de Analises Clinicas e Toxicologicas, Faculdade de Farmacia da Universidade Federal do Rio Grande do Norte, Natal-RN, Brazil.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,J Clin Lab Anal,Journal of clinical laboratory analysis,8801384,PMC6807456,2012/11/13 06:00,2013/07/17 06:00,['2012/11/13 06:00'],"['2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/07/17 06:00 [medline]']",['10.1002/jcla.21540 [doi]'],ppublish,J Clin Lab Anal. 2012 Nov;26(6):431-40. doi: 10.1002/jcla.21540.,"['0 (Antigens, CD)']",IM,,"['Adolescent', 'Adult', 'Antigens, CD/blood/chemistry/classification', 'Child', 'Child, Preschool', 'Flow Cytometry/methods', 'Humans', 'Immunophenotyping/methods', 'Infant', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*classification/diagnosis/immunology/metabolism', 'Prognosis', 'Treatment Outcome']",,,,"['(c) 2012 Wiley Periodicals, Inc.']",,,,,,,,,,,,,,,,,,,
23143549,NLM,MEDLINE,20140320,20130801,1399-3003 (Electronic) 0903-1936 (Linking),42,2,2013 Aug,Clinical assessment for identifying causes of acute respiratory failure in cancer patients.,435-43,10.1183/09031936.00122512 [doi],"In cancer patients with acute respiratory failure (ARF), early adequate therapy is associated with better outcomes. We investigated the performance of the DIRECT approach, which uses criteria available at the bedside at admission to the intensive care unit (ICU), to identify causes of ARF in cancer patients. This cohort study included cancer patients with ARF of determined aetiology. Associations of aetiological groups with the selected criteria were evaluated using correspondence analysis. 424 cancer patients were included: 201 (47%) with bacterial pneumonia, 131 (31%) with opportunistic infections and 92 (22%) with noninfectious disorders. Mechanical ventilation (both invasive and noninvasive) was needed in 328 (77%) patients, treatment for shock in 217 (51%) patients and dialysis in 82 (19%) patients. 142 (34%) patients died in the ICU. Correspondence plots showed that bacterial pneumonia was associated with neutropenia, solid tumour, multiple myeloma, <3 days since symptom onset, shock, unilateral crackles and unilateral radiographic pattern. Opportunistic infections were associated with steroids, lymphoproliferative disorders and haematopoietic stem-cell transplantation, whereas noninfectious disorders were associated with acute leukaemia The selected criteria are strongly associated with causes of ARF in cancer patients and could be used to develop an algorithm for selecting first-line diagnostic investigations and empirical treatments.","['Schnell, David', 'Mayaux, Julien', 'Lambert, Jerome', 'Roux, Antoine', 'Moreau, Anne-Sophie', 'Zafrani, Lara', 'Canet, Emmanuel', 'Lemiale, Virginie', 'Darmon, Michael', 'Azoulay, Elie']","['Schnell D', 'Mayaux J', 'Lambert J', 'Roux A', 'Moreau AS', 'Zafrani L', 'Canet E', 'Lemiale V', 'Darmon M', 'Azoulay E']","['Medical Intensive Care Unit, Ho^pital Saint-Louis, Paris, France.']",['eng'],['Journal Article'],20121108,England,Eur Respir J,The European respiratory journal,8803460,,2012/11/13 06:00,2014/03/22 06:00,['2012/11/13 06:00'],"['2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2014/03/22 06:00 [medline]']","['09031936.00122512 [pii]', '10.1183/09031936.00122512 [doi]']",ppublish,Eur Respir J. 2013 Aug;42(2):435-43. doi: 10.1183/09031936.00122512. Epub 2012 Nov 8.,,IM,,"['Adult', 'Aged', 'Algorithms', 'Female', 'Hospital Mortality', 'Humans', 'Intensive Care Units', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Neoplasms/*complications', 'Pneumonia, Bacterial/complications', 'Respiration, Artificial/adverse effects', 'Respiratory Insufficiency/*complications/*diagnosis', 'Retrospective Studies', 'Treatment Outcome']",,,,,,,['Eur Respir J. 2013 Aug;42(2):299-301. PMID: 23904547'],,,,,,,,,,,,,,,,
23143109,NLM,MEDLINE,20130513,20211021,1362-4962 (Electronic) 0305-1048 (Linking),41,Database issue,2013 Jan,HemaExplorer: a database of mRNA expression profiles in normal and malignant haematopoiesis.,D1034-9,10.1093/nar/gks1021 [doi],"The HemaExplorer (http://servers.binf.ku.dk/hemaexplorer) is a curated database of processed mRNA Gene expression profiles (GEPs) that provides an easy display of gene expression in haematopoietic cells. HemaExplorer contains GEPs derived from mouse/human haematopoietic stem and progenitor cells as well as from more differentiated cell types. Moreover, data from distinct subtypes of human acute myeloid leukemia is included in the database allowing researchers to directly compare gene expression of leukemic cells with those of their closest normal counterpart. Normalization and batch correction lead to full integrity of the data in the database. The HemaExplorer has comprehensive visualization interface that can make it useful as a daily tool for biologists and cancer researchers to assess the expression patterns of genes encountered in research or literature. HemaExplorer is relevant for all research within the fields of leukemia, immunology, cell differentiation and the biology of the haematopoietic system.","['Bagger, Frederik Otzen', 'Rapin, Nicolas', 'Theilgaard-Monch, Kim', 'Kaczkowski, Bogumil', 'Thoren, Lina A', 'Jendholm, Johan', 'Winther, Ole', 'Porse, Bo T']","['Bagger FO', 'Rapin N', 'Theilgaard-Monch K', 'Kaczkowski B', 'Thoren LA', 'Jendholm J', 'Winther O', 'Porse BT']","['Bioinformatics Centre, Department of Biology, University of Copenhagen, Copenhagen, DK2200 Denmark.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20121109,England,Nucleic Acids Res,Nucleic acids research,0411011,PMC3531225,2012/11/13 06:00,2013/05/15 06:00,['2012/11/13 06:00'],"['2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/05/15 06:00 [medline]']","['gks1021 [pii]', '10.1093/nar/gks1021 [doi]']",ppublish,Nucleic Acids Res. 2013 Jan;41(Database issue):D1034-9. doi: 10.1093/nar/gks1021. Epub 2012 Nov 9.,"['0 (RNA, Messenger)']",IM,,"['Animals', '*Databases, Genetic', 'Hematopoiesis/*genetics', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Internet', 'Leukemia, Myeloid, Acute/*genetics/metabolism', 'Mice', 'RNA, Messenger/metabolism', 'Transcriptome']",,,,,,,,,,,,,,,,,,,,,,,
23143069,NLM,MEDLINE,20130603,20131121,1540-0514 (Electronic) 1073-2322 (Linking),39,1,2013 Jan,Hepatic gene expression patterns following trauma-hemorrhage: effect of posttreatment with estrogen.,77-82,10.1097/SHK.0b013e3182768aa4 [doi],"The aim of this study was to examine the role of estrogen on hepatic gene expression profiles at an early time point following trauma-hemorrhage in rats. Groups of injured and sham controls receiving estrogen or vehicle were killed 2 h after injury and resuscitation, and liver tissue was harvested. Complementary RNA was synthesized from each RNA sample and hybridized to microarrays. A large number of genes were differentially expressed at the 2-h time point in injured animals with or without estrogen treatment. The upregulation or downregulation of a cohort of 14 of these genes was validated by reverse transcription-polymerase chain reaction. This large-scale microarray analysis shows that at the 2-h time point, there is marked alteration in hepatic gene expression following trauma-hemorrhage. However, estrogen treatment attenuated these changes in injured animals. Pathway analysis demonstrated predominant changes in the expression of genes involved in metabolism, immunity, and apoptosis. Upregulation of low-density lipoprotein receptor, protein phosphatase 1, regulatory subunit 3C, ring-finger protein 11, pyroglutamyl-peptidase I, bactericidal/permeability-increasing protein, integrin, alphaD, BCL2-like 11, leukemia inhibitory factor receptor, ATPase, Cu transporting, alpha polypeptide, and Mk1 protein was found in estrogen-treated trauma-hemorrhaged animals. Thus, estrogen produces hepatoprotection following trauma-hemorrhage likely via antiapoptosis and improving/restoring metabolism and immunity pathways.","['Yu, Huang-Ping', 'Pang, See-Tong', 'Chaudry, Irshad H']","['Yu HP', 'Pang ST', 'Chaudry IH']","['Department of Anesthesiology, Chang Gung Memorial Hospital, Taoyuan, Taiwan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Shock,"Shock (Augusta, Ga.)",9421564,,2012/11/13 06:00,2013/06/05 06:00,['2012/11/13 06:00'],"['2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/06/05 06:00 [medline]']",['10.1097/SHK.0b013e3182768aa4 [doi]'],ppublish,Shock. 2013 Jan;39(1):77-82. doi: 10.1097/SHK.0b013e3182768aa4.,"['0 (RNA, Messenger)', '4TI98Z838E (Estradiol)']",IM,,"['Animals', 'Apoptosis/genetics', 'Cytoprotection/drug effects/genetics', 'Estradiol/*pharmacology', 'Gene Expression Profiling/methods', 'Gene Expression Regulation/drug effects', 'Liver/*metabolism', 'Male', 'Oligonucleotide Array Sequence Analysis/methods', 'RNA, Messenger/genetics', 'Rats', 'Rats, Sprague-Dawley', 'Reverse Transcriptase Polymerase Chain Reaction/methods', 'Shock, Hemorrhagic/genetics/*metabolism/pathology', 'Wounds and Injuries/genetics/*metabolism/pathology']",,,,,,,,,,,,,,,,,,,,,,,
23142781,NLM,MEDLINE,20130201,20201222,1097-4180 (Electronic) 1074-7613 (Linking),37,5,2012 Nov 16,Nucleic acid-sensing Toll-like receptors are essential for the control of endogenous retrovirus viremia and ERV-induced tumors.,867-79,10.1016/j.immuni.2012.07.018 [doi] S1074-7613(12)00463-3 [pii],"The genome of vertebrates contains endogenous retroviruses (ERVs) that are largely nonfunctional relicts of ancestral germline infection by exogenous retroviruses. However, in some mouse strains ERVs are actively involved in disease. Here we report that nucleic acid-recognizing Toll-like receptors 3, 7, and 9 (TLR 3, TLR7, and TLR9) are essential for the control of ERVs. Loss of TLR7 function caused spontaneous retroviral viremia that coincided with the absence of ERV-specific antibodies. Importantly, additional TLR3 and TLR9 deficiency led to acute T cell lymphoblastic leukemia, underscoring a prominent role for TLR3 and TLR9 in surveillance of ERV-induced tumors. Experimental ERV infection induced a TLR3-, TLR7-, and TLR9-dependent group of ""acute-phase"" genes previously described in HIV and SIV infections. Our study suggests that in addition to their role in innate immunity against exogenous pathogens, nucleic acid-recognizing TLRs contribute to the immune control of activated ERVs and ERV-induced tumors.","['Yu, Philipp', 'Lubben, Wolger', 'Slomka, Heike', 'Gebler, Janine', 'Konert, Madlen', 'Cai, Chengcong', 'Neubrandt, Luisa', 'Prazeres da Costa, Olivia', 'Paul, Stephanie', 'Dehnert, Sonja', 'Dohne, Karolin', 'Thanisch, Michael', 'Storsberg, Silke', 'Wiegand, Lisa', 'Kaufmann, Andreas', 'Nain, Marianne', 'Quintanilla-Martinez, Leticia', 'Bettio, Sabrina', 'Schnierle, Barbara', 'Kolesnikova, Larissa', 'Becker, Stephan', 'Schnare, Markus', 'Bauer, Stefan']","['Yu P', 'Lubben W', 'Slomka H', 'Gebler J', 'Konert M', 'Cai C', 'Neubrandt L', 'Prazeres da Costa O', 'Paul S', 'Dehnert S', 'Dohne K', 'Thanisch M', 'Storsberg S', 'Wiegand L', 'Kaufmann A', 'Nain M', 'Quintanilla-Martinez L', 'Bettio S', 'Schnierle B', 'Kolesnikova L', 'Becker S', 'Schnare M', 'Bauer S']","['Institut fur Immunologie, Philipps-Universitat Marburg, Marburg, Germany. philipp.yu@staff.uni-marburg.de']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20121108,United States,Immunity,Immunity,9432918,,2012/11/13 06:00,2013/02/05 06:00,['2012/11/13 06:00'],"['2012/04/05 00:00 [received]', '2012/07/17 00:00 [accepted]', '2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/02/05 06:00 [medline]']","['S1074-7613(12)00463-3 [pii]', '10.1016/j.immuni.2012.07.018 [doi]']",ppublish,Immunity. 2012 Nov 16;37(5):867-79. doi: 10.1016/j.immuni.2012.07.018. Epub 2012 Nov 8.,"['0 (Antibodies, Viral)', '0 (Nucleic Acids)', '0 (Toll-Like Receptors)']",IM,,"['Animals', 'Antibodies, Viral/genetics/immunology', 'Cell Line', 'Endogenous Retroviruses/*genetics/immunology/metabolism', 'Immunity, Innate/genetics/immunology', 'Killer Cells, Natural/immunology/metabolism', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Nucleic Acids/*genetics/immunology/metabolism', 'Oncogenes/genetics/immunology', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/*genetics/immunology/metabolism', 'Toll-Like Receptors/*genetics/immunology/*metabolism', 'Viremia/*genetics/immunology/metabolism']",,,,['Copyright (c) 2012 Elsevier Inc. All rights reserved.'],,,"['Immunity. 2012 Nov 16;37(5):763-6. PMID: 23159222', 'Nat Rev Immunol. 2012 Dec;12(12):805. PMID: 23175217']",,,,,,,,,,,,,,,,
23142634,NLM,MEDLINE,20130624,20130115,1879-0720 (Electronic) 0928-0987 (Linking),48,1-2,2013 Jan 23,Therapeutic RNA aptamers in clinical trials.,259-71,10.1016/j.ejps.2012.10.014 [doi] S0928-0987(12)00414-9 [pii],"RNA aptamers can fold into complex structures and bind with high affinity and selectivity to various macromolecules, viruses, and cells. They are isolated from a large pool of nucleic acids by a conceptually straightforward iterative selection process called SELEX. Aptamers have enormous potential as therapeutics due to their ability to bind to proteins and specifically inhibit their functions with minimal or no harmful side-effects. The first aptamer therapeutic was FDA approved in 2005 and a number of novel aptamer-based therapeutics are currently undergoing clinical trials for treating diseases such as macular degeneration, choroidal neovascularization, intravascular thrombus, acute coronary syndrome, von Willebrand factor related disorders, von Hippel-Lindau syndrome (VHL), angiomas, acute myeloid leukemia, renal cell carcinoma, non-small cell lung cancer, thrombotic thrombocytopenic purpura, and several others. In this review, we present aptamers in on-going, completed, and terminated clinical studies highlighting their mechanism of action as well as the inherent challenges of aptamer production and use.","['Sundaram, Padma', 'Kurniawan, Helena', 'Byrne, Mark E', 'Wower, Jacek']","['Sundaram P', 'Kurniawan H', 'Byrne ME', 'Wower J']","['Biomimetic & Biohybrid Materials, Biomedical Devices, and Drug Delivery Laboratories, Department of Chemical Engineering, Auburn University, Auburn, AL 36849, USA.']",['eng'],"['Journal Article', 'Review']",20121107,Netherlands,Eur J Pharm Sci,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,9317982,,2012/11/13 06:00,2013/06/26 06:00,['2012/11/13 06:00'],"['2012/07/09 00:00 [received]', '2012/09/27 00:00 [revised]', '2012/10/25 00:00 [accepted]', '2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/06/26 06:00 [medline]']","['S0928-0987(12)00414-9 [pii]', '10.1016/j.ejps.2012.10.014 [doi]']",ppublish,Eur J Pharm Sci. 2013 Jan 23;48(1-2):259-71. doi: 10.1016/j.ejps.2012.10.014. Epub 2012 Nov 7.,"['0 (Aptamers, Nucleotide)']",IM,,"['Animals', 'Aptamers, Nucleotide/*therapeutic use', 'Diabetes Mellitus, Type 2/drug therapy', 'Hemostasis', 'Humans', 'Macular Degeneration/drug therapy', 'Neoplasms/drug therapy']",,,,['Copyright (c) 2012 Elsevier B.V. All rights reserved.'],,,,,,,,,,,,,,,,,,,
23142581,NLM,MEDLINE,20130219,20121211,1873-3468 (Electronic) 0014-5793 (Linking),586,24,2012 Dec 14,ANKHD1 regulates cell cycle progression and proliferation in multiple myeloma cells.,4311-8,10.1016/j.febslet.2012.10.037 [doi] S0014-5793(12)00829-0 [pii],"ANKHD1 is a multiple ankyrin repeat containing protein, highly expressed in cancers, such as acute leukemia. The present study was undertaken to determine the expression and functional significance of ANKHD1 in human Multiple Myeloma (MM). We found that ANKHD1 is highly expressed in MM patient cells and cell lines. In vitro, lentiviral mediated ANKHD1-shRNA inhibited proliferation and delayed S to G2M cell cycle progression in glucocorticoid resistant (U266) and sensitive (MM1S) MM cells. Further ANKHD1 silencing resulted in upregulation of cyclin dependent kinase inhibitor p21 irrespective of the p53 status of the MM cell lines. These data suggest that ANKHD1 might have a role in MM cell proliferation and cell cycle progression by regulating expression of p21.","['Dhyani, Anamika', 'Duarte, Adriana S S', 'Machado-Neto, Joao A', 'Favaro, Patricia', 'Ortega, Manoela Marques', 'Olalla Saad, Sara T']","['Dhyani A', 'Duarte AS', 'Machado-Neto JA', 'Favaro P', 'Ortega MM', 'Olalla Saad ST']","['Hematology and Hemotherapy Center, University of Campinas/Hemocentro-Unicamp, Instituto Nacional de Ciencia e Tecnologia do Sangue, Campinas, Sao Paulo, Brazil. anamikadhyani2009@gmail.com']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20121106,England,FEBS Lett,FEBS letters,0155157,,2012/11/13 06:00,2013/02/21 06:00,['2012/11/13 06:00'],"['2012/08/08 00:00 [received]', '2012/10/11 00:00 [revised]', '2012/10/23 00:00 [accepted]', '2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/02/21 06:00 [medline]']","['S0014-5793(12)00829-0 [pii]', '10.1016/j.febslet.2012.10.037 [doi]']",ppublish,FEBS Lett. 2012 Dec 14;586(24):4311-8. doi: 10.1016/j.febslet.2012.10.037. Epub 2012 Nov 6.,"['0 (ANKHD1 protein, human)', '0 (Cyclin-Dependent Kinase Inhibitor p21)', '0 (Glucocorticoids)', '0 (RNA, Small Interfering)', '0 (RNA-Binding Proteins)', '0 (Tumor Suppressor Protein p53)']",IM,,"['*Cell Cycle', 'Cell Line, Tumor', '*Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p21/*metabolism', 'Gene Silencing', 'Glucocorticoids/therapeutic use', 'Humans', 'Multiple Myeloma/genetics/*metabolism', 'RNA, Small Interfering/genetics/metabolism', 'RNA-Binding Proteins/*biosynthesis/genetics', 'Tumor Suppressor Protein p53/metabolism', 'Up-Regulation']",,,,"['Copyright (c) 2012 Federation of European Biochemical Societies. Published by', 'Elsevier B.V. All rights reserved.']",,,,,,,,,,,,,,,,,,,
23142458,NLM,MEDLINE,20130411,20121224,1872-7905 (Electronic) 0022-1759 (Linking),387,1-2,2013 Jan 31,Detection of neutralizing antibodies to erythropoietin by inhibition of rHuEPO-stimulated EGR1 gene expression in the UT-7/EPO cell line.,191-8,10.1016/j.jim.2012.10.014 [doi] S0022-1759(12)00328-6 [pii],"Recombinant erythropoietin (rHuEPO) is used extensively to treat anaemia associated with chronic kidney disease. However, the development of neutralizing antibodies (NAbs) to rHuEPO can result in the development of antibody-mediated pure red cell aplasia (PRCA). The detection of NAb in patient sera by in vitro bioassay relies on the inhibition of a cellular response to rHuEPO. Current bioassays for rHuEPO measure proliferation in responsive cell lines such as the erythroleukaemic cell lines, UT-7 and UT-7/EPO, the latter sensitized to EPO. Using these cell lines, we show the dose-responsive induction of both PIM1 and EGR1 gene expression in UT-7 cells and of EGR1 in UT-7/EPO cells. The expression of EGR1 in UT-7/EPO cells in response to rHuEPO was comparable to the proliferative response measured by (3)H-thymidine incorporation and could be inhibited by serum from a patient with NAb-mediated PRCA in a dilution-dependent manner. Bioassays based on the induction of endogenous gene expression are comparable to current bioassays but are considerably quicker given that incubation time is decreased from 2-3 days to 50 min. Measurement of EGR1 gene expression in response to rHuEPO in UT-7/EPO cells offers a rapid, non-radioactive and automatable alternative to current assays for the detection of rHuEPO NAbs.","['Ferguson, Jackie', 'Bird, Chris', 'Wadhwa, Meenu', 'Burns, Chris']","['Ferguson J', 'Bird C', 'Wadhwa M', 'Burns C']","['Biotherapeutics Group, National Institute of Biological Standards and Control, South Mimms, Potters Bar, Herts EN6 3QG, UK. Jackie.Ferguson@nibsc.hpa.org.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20121108,Netherlands,J Immunol Methods,Journal of immunological methods,1305440,,2012/11/13 06:00,2013/04/12 06:00,['2012/11/13 06:00'],"['2012/08/08 00:00 [received]', '2012/10/03 00:00 [revised]', '2012/10/04 00:00 [accepted]', '2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2013/04/12 06:00 [medline]']","['S0022-1759(12)00328-6 [pii]', '10.1016/j.jim.2012.10.014 [doi]']",ppublish,J Immunol Methods. 2013 Jan 31;387(1-2):191-8. doi: 10.1016/j.jim.2012.10.014. Epub 2012 Nov 8.,"['0 (Antibodies, Neutralizing)', '0 (EGR1 protein, human)', '0 (Early Growth Response Protein 1)', '0 (Immune Sera)', '0 (Recombinant Proteins)', '11096-26-7 (Erythropoietin)']",IM,,"['Animals', 'Antibodies, Neutralizing/*analysis/immunology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Dose-Response Relationship, Drug', 'Early Growth Response Protein 1/*genetics', 'Erythropoietin/genetics/immunology/*pharmacology', 'Gene Expression/*drug effects/immunology', 'Humans', 'Immune Sera/immunology/pharmacology', 'Immunologic Techniques/methods', 'Leukemia, Erythroblastic, Acute/genetics/immunology/pathology', 'Recombinant Proteins/*pharmacology', 'Red-Cell Aplasia, Pure/blood/immunology', 'Reproducibility of Results', 'Reverse Transcriptase Polymerase Chain Reaction', 'Serum/immunology', 'Sheep', 'Time Factors']",,,,['Copyright (c) 2012 Elsevier B.V. All rights reserved.'],,,,,,,,,,,,,,,,,,,
23142329,NLM,MEDLINE,20140314,20211021,1523-6536 (Electronic) 1083-8791 (Linking),19,5,2013 May,"Umbilical cord blood transplantation supported by third-party donor cells: rationale, results, and applications.",682-91,10.1016/j.bbmt.2012.11.001 [doi] S1083-8791(12)00463-6 [pii],"Low incidence of graft-versus-host disease provides the major rational for pursuing umbilical cord blood (UCB) stem cell transplantation (SCT). Considerable evidence also suggests a lower rate of recurrence after UCB SCT than after transplantation from adult donors. Recent advances in understanding of the human fetal immune development provide a rational underpinning for these clinical outcomes. The fetal immune system is geared toward maintaining tolerance to foreign antigens, particularly to the maternal antigens to which it is exposed throughout gestation. To this purpose it is dominated by a unique population of peripheral T regulatory cells that actively maintain tolerance. This and other features of the UCB lymphoid system explains the low incidence of graft-versus-host disease and superior outcomes of UCB SCT with noninherited maternal antigen-matched grafts. At the same time, highly sensitized maternal microchimeric cells are frequently detected in UCB and likely contribute to superior graft-versus-leukemia effects and low rates of disease recurrence in inherited paternal antigen-matched UCB recipients. However, historically erratic and slow hematopoietic recovery after UCB SCT leads to increased early morbidity and mortality, excessive hospitalization, and increased costs. This has held up the widespread utilization of UCB SCT in adults. Here we summarize recent data on UCB SCT with an emphasis on studies of co-infusion of adult CD34 selected hematopoietic stem cells with UCB SCT. This procedure, through transient engraftment of adult hematopoietic stem cells, largely overcomes the problem of delayed engraftment. It also results in predictable engraftment of a UCB with the desired characteristics. We also briefly discuss unresolved issues and possible future applications of this technology.","['Van Besien, Koen', 'Liu, Hongtao', 'Jain, Nitin', 'Stock, Wendy', 'Artz, Andrew']","['Van Besien K', 'Liu H', 'Jain N', 'Stock W', 'Artz A']","['Weill Cornell Medical College, New York, NY, USA. Kov9001@med.cornell.Edu']",['eng'],"['Journal Article', 'Review']",20121108,United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,PMC3618995,2012/11/13 06:00,2014/03/15 06:00,['2012/11/13 06:00'],"['2012/09/09 00:00 [received]', '2012/11/02 00:00 [accepted]', '2012/11/13 06:00 [entrez]', '2012/11/13 06:00 [pubmed]', '2014/03/15 06:00 [medline]']","['S1083-8791(12)00463-6 [pii]', '10.1016/j.bbmt.2012.11.001 [doi]']",ppublish,Biol Blood Marrow Transplant. 2013 May;19(5):682-91. doi: 10.1016/j.bbmt.2012.11.001. Epub 2012 Nov 8.,,IM,,"['Cord Blood Stem Cell Transplantation/*methods', 'Fetal Blood/*transplantation', 'Humans', 'Tissue Donors', 'Transplantation Conditioning/methods']",,,,"['Copyright (c) 2013 American Society for Blood and Marrow Transplantation.', 'Published by Elsevier Inc. All rights reserved.']",['K24 CA116471/CA/NCI NIH HHS/United States'],['NIHMS421525'],,,['Biol Blood Marrow Transplant. 2013 Jul-Sep;4(3):109'],,,,,,,,,,,,,,
