PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,DEP,GR,RF,PMC,MID,CI,EIN,CRI,CIN,CON,CN,OID,TT,SI,PS,FPS,COIS,CRF,LID,RIN
15352983,NLM,MEDLINE,20041102,20131121,0007-1048 (Print) 0007-1048 (Linking),126,6,2004 Sep,Treating childhood acute myeloid leukaemia with the AML-BFM-83 protocol: experience in a developing country.,799-805,"Treatment for childhood acute myeloid leukaemia (AML) consists of remission induction chemotherapy followed by postremission chemotherapy with or without bone marrow transplantation. The AML Berlin-Frankfurt-Munster (BFM)-83 protocol with induction-consolidation-maintenance chemotherapy for 2 years has been reported to result in a 6-year event-free survival (EFS) and event-free interval (EFI) of 49% and 61% respectively. A total of 174 Malaysian children were treated with this protocol between 1985 and 1999. The 5-year EFS and EFI was 30.7% and 48.0% respectively. The overall mortality from sepsis was 24%, which needs urgent address. The 5-year EFS for patients treated before 1993 and after 1993 was 18.6% and 41.3%, respectively (P = 0.04), while the EFI was 32% and 60.6% respectively (P = 0.034). The improvement seen after 1993 was related to a reduction in induction deaths for that period and probably reflected increased capability and familiarity to cope with the demands of the AML-BFM-83 protocol and accompanying complications in the treatment of AML.","['Chan, L L', 'Abdel-Latif, M E', 'Ariffin, W A', 'Ariffin, H', 'Lin, H P']","['Chan LL', 'Abdel-Latif ME', 'Ariffin WA', 'Ariffin H', 'Lin HP']","['Department of Paediatrics, University Malaya Medical Centre, Lembah Pantai, Kuala Lumpur, Malaysia. chanll@um.edu.my']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', 'ZS7284E0ZP (Daunorubicin)', 'DAV regimen']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', '*Developing Countries', 'Disease-Free Survival', 'Etoposide/administration & dosage', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Myeloid/*drug therapy', 'Malaysia', 'Male', 'Treatment Outcome']",2004/09/09 05:00,2004/11/04 09:00,['2004/09/09 05:00'],"['2004/09/09 05:00 [pubmed]', '2004/11/04 09:00 [medline]', '2004/09/09 05:00 [entrez]']",ppublish,Br J Haematol. 2004 Sep;126(6):799-805. doi: 10.1111/j.1365-2141.2004.05129.x.,"['10.1111/j.1365-2141.2004.05129.x [doi]', 'BJH5129 [pii]']",,,,,,,,,,,,,,,,,,,,
15352981,NLM,MEDLINE,20041102,20091119,0007-1048 (Print) 0007-1048 (Linking),126,6,2004 Sep,FLT3 mutations in myeloid sarcoma.,785-91,"Myeloid sarcoma is an extramedullary tumour that typically occurs in the setting of acute myeloid leukaemia (AML), or myeloproliferative disorders. In AML, two types of mutations in Fms-like tyrosine kinase 3 (FLT3) have been described; internal tandem duplications (ITD) and point mutations at aspartic acid residue 835 (D835). We analysed 24 myeloid sarcoma specimens from 20 patients for FLT3 ITD and D835 mutations. FLT3 ITD mutations were identified in three of 20 cases (15%); no D835 mutations were identified. The ITD inserts ranged in size from 33 to 198 base pairs (bp) and represented approximately 20-40% of the FLT3 alleles. Two cases showed discordance in FLT3 ITD mutational status. In one case, the leukaemia specimen was positive for a FLT3 ITD mutation and the myeloid sarcoma specimen was negative. In the second case, the myeloid sarcoma was positive for a FLT3 ITD mutation at diagnosis, but negative in subsequent relapse samples. Our findings suggest that small molecule inhibitors of FLT3 may be useful therapeutic agents for treatment of myeloid sarcomas-containing FLT3 mutations, however, the potential for discordance between the leukaemia and myeloid sarcoma, necessitates that the myeloid sarcoma tumour itself be analysed for FLT3 mutations.","['Ansari-Lari, M Ali', 'Yang, Ching-Fen', 'Tinawi-Aljundi, Rima', 'Cooper, Lisa', 'Long, Patricia', 'Allan, Robert H', 'Borowitz, Michael J', 'Berg, Karin D', 'Murphy, Kathleen M']","['Ansari-Lari MA', 'Yang CF', 'Tinawi-Aljundi R', 'Cooper L', 'Long P', 'Allan RH', 'Borowitz MJ', 'Berg KD', 'Murphy KM']","['Department of Pathology, Johns Hopkins Medical Institutions, Baltimore, MD, USA.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA, Neoplasm)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (Receptor Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'DNA Mutational Analysis/methods', 'DNA, Neoplasm/genetics', 'Female', 'Humans', 'Infant', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', '*Mutation', 'Neoplasm Proteins/genetics', 'Point Mutation', 'Proto-Oncogene Proteins/*genetics', 'Receptor Protein-Tyrosine Kinases/*genetics', 'Tandem Repeat Sequences/genetics', 'fms-Like Tyrosine Kinase 3']",2004/09/09 05:00,2004/11/04 09:00,['2004/09/09 05:00'],"['2004/09/09 05:00 [pubmed]', '2004/11/04 09:00 [medline]', '2004/09/09 05:00 [entrez]']",ppublish,Br J Haematol. 2004 Sep;126(6):785-91. doi: 10.1111/j.1365-2141.2004.05124.x.,"['10.1111/j.1365-2141.2004.05124.x [doi]', 'BJH5124 [pii]']",,,,,,,,,,,,,,,,,,,,
15352705,NLM,MEDLINE,20041222,20171116,1438-3276 (Print) 1438-3276 (Linking),146,9,2004 Feb 26,[Electromagnetic pollution (electrosmog)--potential hazards of our electromagnetic future].,38-40,"The term electromagnetic environment encompasses the totality of all electric, magnetic and electromagnetic fields generated by natural and technical sources. A differentiation is made between low- and high-frequency electromagnetic fields. Typical sources of the former are domestic electricity Exposure to the latter is, for example, associated with the sue of mobile telephones. Studies on the health-related effects of electromagnetic fields are available in particular for the low-frequency range, based on an appropriate estimation of exposure. A number of these studies reveal an association between exposure to this type of electromagnetic fields and the occurrence of infantile leukemia in the highest exposure category. For high-frequency electromagnetic fields the number of epidemiological studies is limited. An increased risk of an accident occurring through the use of a cellular phone while driving has consistently been shown. Against the background of our limited knowledge about possible adverse effects of exposure to mobile phone transmitters, and the inability of the public to influence such exposure, transparency in the communication of the risks involved is of great importance.","['Nowak, D', 'Radon, K']","['Nowak D', 'Radon K']",['Institut und Poliklinik fur Arbeits- und Umweltmedizin der LMU Munchen. Dennis.Nowak@arbeits.med.uni-muenchen.de'],['ger'],['Journal Article'],Germany,MMW Fortschr Med,MMW Fortschritte der Medizin,100893959,['0 (Smog)'],IM,"['Cell Phone', 'Dose-Response Relationship, Radiation', 'Electromagnetic Fields/*adverse effects', 'Humans', 'Infant', 'Leukemia/etiology', 'Risk Factors', 'Smog/*adverse effects']",2004/09/09 05:00,2004/12/23 09:00,['2004/09/09 05:00'],"['2004/09/09 05:00 [pubmed]', '2004/12/23 09:00 [medline]', '2004/09/09 05:00 [entrez]']",ppublish,MMW Fortschr Med. 2004 Feb 26;146(9):38-40.,,,,,,,,,,,,,,"Gefahrdungspotenzial elektromagnetischer Felder. Macht uns der ""Elektrosmog"" krank?",,,,,,,
15352651,NLM,MEDLINE,20040921,20151119,1544-6794 (Print) 1544-6794 (Linking),1,1,2003 May-Jun,Imatinib results in better quality of life for CML patients than interferon/Ara-C.,77,,,,,['eng'],['Journal Article'],United States,J Support Oncol,The journal of supportive oncology,101181305,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '04079A1RDZ (Cytarabine)', '8A1O1M485B (Imatinib Mesylate)', '9008-11-1 (Interferons)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Benzamides', 'Cytarabine/administration & dosage', 'Humans', 'Imatinib Mesylate', 'Interferons/administration & dosage', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use', '*Quality of Life', 'Randomized Controlled Trials as Topic', 'Treatment Outcome']",2004/09/09 05:00,2004/09/24 05:00,['2004/09/09 05:00'],"['2004/09/09 05:00 [pubmed]', '2004/09/24 05:00 [medline]', '2004/09/09 05:00 [entrez]']",ppublish,J Support Oncol. 2003 May-Jun;1(1):77.,,,,,,,,,,,,,,,,,,,,,
15352291,NLM,MEDLINE,20040908,20041117,1081-5880 (Print) 1081-5880 (Linking),5,10,1999 Aug 15,Surviving a bone marrow transplant.,7,,,,,['eng'],['News'],United States,Health News,"Health news (Waltham, Mass.)",9800495,,,"['Anemia, Aplastic/mortality/*therapy', 'Humans', 'Leukemia/mortality/*therapy', 'Time Factors']",2004/09/09 05:00,2004/09/09 05:01,['2004/09/09 05:00'],"['2004/09/09 05:00 [pubmed]', '2004/09/09 05:01 [medline]', '2004/09/09 05:00 [entrez]']",ppublish,Health News. 1999 Aug 15;5(10):7.,,,,,,,,,,,,,,,,,,,,,
15352267,NLM,MEDLINE,20050504,20061115,1520-4081 (Print) 1520-4081 (Linking),19,5,2004 Oct,Circulating immune complexes as indicators of environmental contamination.,505-9,"The aim of this study was to examine the effect of environmental contamination on the concentration of circulating immune complexes (CIC) in bovine blood. We determined that in a conventionally ecologically clear district, the CIC concentration in healthy bovine blood serum was within the limits of 0.18-0.52 mg/mL, (mean = 0.31 mg/mL, V = 30.14%). In a conventionally ecologically contaminated district, the CIC concentration in healthy bovine blood serum was detected within the limits of 0.48-0.99 mg/mL (mean = 0.65 mg/mL, V = 17.97%; P < 0.05). The CIC concentration in serum of bovine leukemia virus (BLV)-infected bovines from different districts was within the limits of 0.29-1.76 mg/mL (mean = 0.81 mg/mL, V = 36.67%; P < 0.05). According to these preliminary results of the investigation, it may be supposed that the increased concentration of CIC is closely related to the environmental contamination. Therefore, studies of CIC concentration in healthy mammals are of great importance for the monitoring of anthropogenic factors and can be exploited as an indicator of environmental contamination.","['Ramanaviciene, A', 'Acaite, J', 'Ramanavicius, A']","['Ramanaviciene A', 'Acaite J', 'Ramanavicius A']","['Laboratory of Ecological Immunology, Institute of Immunology of Vilnius University, Moletu pl. 29, 08409 Vilnius 21, Lithuania.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Environ Toxicol,Environmental toxicology,100885357,"['0 (Antigen-Antibody Complex)', '0 (Antigens, Viral)', '0 (Environmental Pollutants)']",IM,"['Animals', 'Antigen-Antibody Complex/*blood', 'Antigens, Viral/*immunology', 'Cattle/*blood/*virology', 'Environmental Monitoring/*methods', 'Environmental Pollutants/*toxicity', 'Enzootic Bovine Leukosis/blood/immunology', 'Leukemia Virus, Bovine/*immunology/isolation & purification', 'Spectrophotometry']",2004/09/08 05:00,2005/05/05 09:00,['2004/09/08 05:00'],"['2004/09/08 05:00 [pubmed]', '2005/05/05 09:00 [medline]', '2004/09/08 05:00 [entrez]']",ppublish,Environ Toxicol. 2004 Oct;19(5):505-9. doi: 10.1002/tox.20056.,['10.1002/tox.20056 [doi]'],,,,,,"['Copyright 2004 Wiley Periodicals, Inc.']",,,,,,,,,,,,,,
15352173,NLM,MEDLINE,20050222,20161124,0730-2312 (Print) 0730-2312 (Linking),93,1,2004 Sep 1,Paeoniflorin induces apoptosis of lymphocytes through a redox-linked mechanism.,162-72,"Paeoniflorin (PF), isolated from paeony root, has been used as a herbal medicine for more than 1,200 years in China, Korea, and Japan for its anti-allergic, anti-inflammatory, and immunoregulatory effects. In this study, we found that PF induces apoptosis in both murine T-lineage cells and human T-cell leukemia Jurkat cells. This apoptosis was mediated through the reduction of mitochondrial membrane potential, activation of caspase, and fragmentation of DNA. Interestingly, PF induced generation of reactive oxygen species (ROS) and a reducing agent, dithiothreitol (DTT), and a ROS scavenger, N-acetyl cysteine (NAC), successfully attenuated the PF-induced apoptosis. Additionally, PF induced the phosphorylation of three mitogen-activated protein (MAP) family kinases, extracellular signal-regulated kinase, c-Jun amino-terminal kinase (JNK), and p38 MAP kinase. Curcumin, an anti-oxidant and JNK inhibitor, inhibited PF-induced apoptosis, suggesting the possible involvement of curcumin-sensitive JNK or other redox-sensitive elements in PF-induced apoptosis. These results partially explain the action mechanism of PF-containing paeony root as a herbal medicine.","['Tsuboi, Hideo', 'Hossain, Khaled', 'Akhand, Anwarul A', 'Takeda, Kozue', 'Du, Jun', ""Rifa'i, Muhaimin"", 'Dai, Yan', 'Hayakawa, Akemi', 'Suzuki, Haruhiko', 'Nakashima, Izumi']","['Tsuboi H', 'Hossain K', 'Akhand AA', 'Takeda K', 'Du J', ""Rifa'i M"", 'Dai Y', 'Hayakawa A', 'Suzuki H', 'Nakashima I']","['Department of Immunology, Nagoya University Graduate School of Medicine, Nagoya 466-8550, Japan.']",['eng'],['Journal Article'],United States,J Cell Biochem,Journal of cellular biochemistry,8205768,"['0 (Anti-Inflammatory Agents, Non-Steroidal)', '0 (Antioxidants)', '0 (Benzoates)', '0 (Bridged-Ring Compounds)', '0 (Enzyme Inhibitors)', '0 (Glucosides)', '0 (Monoterpenes)', '0 (Reactive Oxygen Species)', '21AIQ4EV64 (peoniflorin)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)', 'EC 3.4.22.- (Caspases)', 'IT942ZTH98 (Curcumin)', 'T8ID5YZU6Y (Dithiothreitol)', 'WYQ7N0BPYC (Acetylcysteine)']",IM,"['Acetylcysteine/pharmacology', 'Animals', 'Anti-Inflammatory Agents, Non-Steroidal/*pharmacology', 'Antioxidants/pharmacology', 'Apoptosis/*drug effects', 'Benzoates/*pharmacology', 'Bridged-Ring Compounds/*pharmacology', 'Caspases/metabolism', 'Curcumin/pharmacology', 'Dithiothreitol/pharmacology', 'Enzyme Activation/drug effects', 'Enzyme Inhibitors/pharmacology', 'Glucosides/*pharmacology', 'Humans', 'Jurkat Cells/drug effects/metabolism', 'Lymphocytes/*drug effects', 'Membrane Potentials/drug effects', 'Mice', 'Mitochondria/drug effects/metabolism', 'Mitogen-Activated Protein Kinases/antagonists & inhibitors/metabolism', 'Monoterpenes', 'Oxidation-Reduction', 'Paeonia/chemistry', 'Phosphorylation/drug effects', 'Reactive Oxygen Species/metabolism']",2004/09/08 05:00,2005/02/23 09:00,['2004/09/08 05:00'],"['2004/09/08 05:00 [pubmed]', '2005/02/23 09:00 [medline]', '2004/09/08 05:00 [entrez]']",ppublish,J Cell Biochem. 2004 Sep 1;93(1):162-72. doi: 10.1002/jcb.20134.,['10.1002/jcb.20134 [doi]'],,,,,,,,,,,,,,,,,,,,
15352165,NLM,MEDLINE,20050222,20141120,0730-2312 (Print) 0730-2312 (Linking),93,1,2004 Sep 1,Extremely low frequency electromagnetic fields as effectors of cellular responses in vitro: possible immune cell activation.,83-92,"There is presently an intense discussion if electromagnetic field (EMF) exposure has consequences for human health. This include exposure to structures and appliances that emit in the extremely low frequency (ELF) range of the electromagnetic spectrum, as well as emission coming from communication devices using the radiofrequency part of the spectrum. Biological effects of such exposures have been noted frequently, although the implication for specific health effects is not that clear. The basic interaction mechanism(s) between such fields and living matter is unknown. Numerous hypotheses have been suggested, although none is convincingly supported by experimental data. Various cellular components, processes, and systems can be affected by EMF exposure. Since it is unlikely that EMF can induce DNA damage directly, most studies have examined EMF effects on the cell membrane level, general and specific gene expression, and signal transduction pathways. In addition, a large number of studies have been performed regarding cell proliferation, cell cycle regulation, cell differentiation, metabolism, and various physiological characteristics of cells. Although 50/60 Hz EMF do not directly lead to genotoxic effects, it is possible that certain cellular processes altered by exposure to EMF indirectly affect the structure of DNA causing strand breaks and other chromosomal aberrations. The aim of this article is to present a hypothesis of a possible initial cellular event affected by exposure to ELF EMF, an event which is compatible with the multitude of effects observed after exposure. Based on an extensive literature review, we suggest that ELF EMF exposure is able to perform such activation by means of increasing levels of free radicals. Such a general activation is compatible with the diverse nature of observed effects. Free radicals are intermediates in natural processes like mitochondrial metabolism and are also a key feature of phagocytosis. Free radical release is inducible by ionizing radiation or phorbol ester treatment, both leading to genomic instability. EMF might be a stimulus to induce an ""activated state"" of the cell such as phagocytosis, which then enhances the release of free radicals, in turn leading to genotoxic events. We envisage that EMF exposure can cause both acute and chronic effects that are mediated by increased free radical levels: (1) Direct activation of, for example macrophages (or other cells) by short-term exposure to EMF leads to phagocytosis (or other cell specific responses) and consequently, free radical production. This pathway may be utilized to positively influence certain aspects of the immune response, and could be useful for specific therapeutic applications. (2) EMF-induced macrophage (cell) activation includes direct stimulation of free radical production. (3) An increase in the lifetime of free radicals by EMF leads to persistently elevated free radical concentrations. In general, reactions in which radicals are involved become more frequent, increasing the possibility of DNA damage. (4) Long-term EMF exposure leads to a chronically increased level of free radicals, subsequently causing an inhibition of the effects of the pineal gland hormone melatonin. Taken together, these EMF induced reactions could lead to a higher incidence of DNA damage and therefore, to an increased risk of tumour development. While the effects on melatonin and the extension of the lifetime of radicals can explain the link between EMF exposure and the incidence of for example leukaemia, the two additional mechanisms described here specifically for mouse macrophages, can explain the possible correlation between immune cell system stimulation and EMF exposure.","['Simko, Myrtill', 'Mattsson, Mats-Olof']","['Simko M', 'Mattsson MO']","['Division of Environmental Physiology, Institute of Cell Biology and Biosystems Technology, University of Rostock, Albert-Einstein-Strasse 3, D-18059 Rostock, Germany. myrtill.simko@biologie.uni-rostock.de']",['eng'],"['Journal Article', 'Review']",United States,J Cell Biochem,Journal of cellular biochemistry,8205768,['0 (Free Radicals)'],IM,"['Animals', 'Dendritic Cells/physiology', '*Electromagnetic Fields', 'Free Radicals/metabolism', 'Humans', 'Immune System/*physiology', 'In Vitro Techniques', 'Macrophage Activation/*physiology', 'Macrophages/*radiation effects']",2004/09/08 05:00,2005/02/23 09:00,['2004/09/08 05:00'],"['2004/09/08 05:00 [pubmed]', '2005/02/23 09:00 [medline]', '2004/09/08 05:00 [entrez]']",ppublish,J Cell Biochem. 2004 Sep 1;93(1):83-92. doi: 10.1002/jcb.20198.,['10.1002/jcb.20198 [doi]'],,,76,,,,,,,,,,,,,,,,,
15352164,NLM,MEDLINE,20050222,20190828,0730-2312 (Print) 0730-2312 (Linking),93,1,2004 Sep 1,Myocardin/MKL family of SRF coactivators: key regulators of immediate early and muscle specific gene expression.,74-82,"Myocardin, megakaryoblastic leukemia-1 (MKL1), and MKL2 belong to a newly defined family of transcriptional coactivators. All three family members bind to serum response factor (SRF) and strongly activate transcription from promoters with SRF binding sites. SRF is required for the serum induction of immediate early genes such as c-fos and for the expression of many muscle specific genes. Consistent with a role in muscle specific gene expression, myocardin is specifically expressed in cardiac and smooth muscle cells while MKL1 and 2 are broadly expressed. Myocardin has particularly been shown to be required for smooth muscle development while MKL1/2 are required for the RhoA signaling pathway for induction of immediate early genes. SRF can be activated by at least two families of coactivators, p62TCF and myocardin/MKL. These factors bind to the same region of SRF such that their binding is mutually exclusive. This provides one mechanism of regulation of SRF target genes by pathways that differentially activate the coactivators. The RhoA pathway appears to activate MKL1 by altering MKL1's binding to actin and causing MKL1's translocation from the cytoplasm to the nucleus. However, this mechanism of activation of the myocardin/MKL family has not been observed in all cell types such that other regulatory mechanism(s) likely exist. In particular, rapid serum inducible phosphorylation of MKL1 was observed. The regulation of this coactivator family is key to understanding how SRF target genes are activated during muscle cell differentiation or growth factor induced cell proliferation.","['Cen, Bo', 'Selvaraj, Ahalya', 'Prywes, Ron']","['Cen B', 'Selvaraj A', 'Prywes R']","['Department of Biological Sciences, Columbia University, New York, New York 10027, USA.']",['eng'],"['Journal Article', 'Review']",United States,J Cell Biochem,Journal of cellular biochemistry,8205768,"['0 (DNA-Binding Proteins)', '0 (MRTFA protein, human)', '0 (MRTFB protein, human)', '0 (Nuclear Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Serum Response Factor)', '0 (Trans-Activators)', '0 (Transcription Factors)', '0 (myocardin)']",IM,"['Cell Differentiation', 'Cell Proliferation', 'DNA-Binding Proteins/metabolism', '*Gene Expression', 'Humans', 'Muscles/*physiology', 'Nuclear Proteins/*metabolism', 'Oncogene Proteins, Fusion/metabolism', 'Serum Response Factor/*metabolism', 'Trans-Activators/*metabolism', 'Transcription Factors/*metabolism', 'Transcriptional Activation']",2004/09/08 05:00,2005/02/23 09:00,['2004/09/08 05:00'],"['2004/09/08 05:00 [pubmed]', '2005/02/23 09:00 [medline]', '2004/09/08 05:00 [entrez]']",ppublish,J Cell Biochem. 2004 Sep 1;93(1):74-82. doi: 10.1002/jcb.20199.,['10.1002/jcb.20199 [doi]'],,,36,,,,,,,,,,,,,,,,,
15352085,NLM,MEDLINE,20041014,20161124,1059-910X (Print) 1059-910X (Linking),64,2,2004 Jun 1,Alignment of the cell nucleus from labeled proteins only for 4D in vivo imaging.,142-50,"Studies of protein dynamics by 4D (3D + time) confocal microscopy in vivo are hampered by global cell motion. The time between the acquisitions of the 3D images is in the order of minutes. Therefore, it is not to be expected that the cell as a whole remains fixed in the water basin on the stage. This superimposes a motion on the protein dynamics that has to be removed. We present a robust registration technique to align the cell images that does not require the a priori establishment of point-to-point correspondences. Instead, it uses the distribution of the labeled proteins. After correction for the translation, the 3D rotation of the cell is estimated. A robust intrinsic body coordinate system is constructed via the inertia tensor from the intensity distribution. By combining basis transformation to this intrinsic coordinate system, we can calculated the rotation matrix in a conceptual and computational straightforward manner. We have evaluated the performance of this approach in three experiments with human osteaosarcoma cells (U-2 OS), where the nuclear proteins Histon H4 and PML were visualized. The PML is concentrated in several dozen nuclear spots. Expression of Histon H4 results in a total nuclear staining. The registration results for both channels computed independently are very similar. Practically, this means that only the labeled material needs to be observed and still registration of the cell as a whole can be achieved.","['Rieger, B', 'Molenaar, C', 'Dirks, R W', 'Van Vliet, L J']","['Rieger B', 'Molenaar C', 'Dirks RW', 'Van Vliet LJ']","['Quantitative Imaging Group, Faculty of Applied Sciences, Delft University of Technology, 2628 CJ Delft, The Netherlands. rieger@ph.tn.tudelft.nl']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Microsc Res Tech,Microscopy research and technique,9203012,"['0 (Histones)', '0 (Luminescent Proteins)', '0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Promyelocytic Leukemia Protein)', '0 (Recombinant Fusion Proteins)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)', '143220-95-5 (PML protein, human)', '147336-22-9 (Green Fluorescent Proteins)']",IM,"['Algorithms', 'Cell Movement', 'Cell Nucleus/*physiology', 'Green Fluorescent Proteins', 'Histones/genetics/*metabolism', 'Humans', 'Imaging, Three-Dimensional/*methods', 'Luminescent Proteins/genetics/*metabolism', 'Microscopy, Confocal/*methods', 'Neoplasm Proteins/genetics/*metabolism', 'Nuclear Proteins/genetics/*metabolism', 'Promyelocytic Leukemia Protein', 'Recombinant Fusion Proteins/genetics/metabolism', 'Time Factors', 'Transcription Factors/genetics/*metabolism', 'Tumor Cells, Cultured', 'Tumor Suppressor Proteins']",2004/09/08 05:00,2004/10/16 09:00,['2004/09/08 05:00'],"['2004/09/08 05:00 [pubmed]', '2004/10/16 09:00 [medline]', '2004/09/08 05:00 [entrez]']",ppublish,Microsc Res Tech. 2004 Jun 1;64(2):142-50. doi: 10.1002/jemt.20069.,['10.1002/jemt.20069 [doi]'],,,,,,"['Copyright 2004 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
15352079,NLM,MEDLINE,20041014,20161124,1059-910X (Print) 1059-910X (Linking),64,2,2004 Jun 1,From cells to tissues: fluorescence confocal microscopy in the study of histological samples.,89-95,"Our knowledge of the genetic mechanisms controlling cell proliferation and differentiation usually originates from in vitro cultured cell line models. However, the definition of the molecular switches involved in control of homeostasis and the understanding of the changes occurring in neoplastic transformation require looking at single cells as the components of a complex tissue network. Histological examination of tissue samples can gain a substantial amount of information from high-resolution fluorescence analysis. In particular, confocal microscopy can help in the definition of functional pathways using multiparameter analysis. In this report, we present acquisition and analysis procedures to obtain high-resolution data from tissue sections. Confocal microscopy coupled to computational restoration, statistical evaluation of spatial correlations, and morphological analysis over large tissue areas were applied to colorectal samples providing a molecular fingerprint of the biological differences inferred from classical histological examination.","['Transidico, Pietro', 'Bianchi, Marco', 'Capra, Maria', 'Pelicci, Pier Giuseppe', 'Faretta, Mario']","['Transidico P', 'Bianchi M', 'Capra M', 'Pelicci PG', 'Faretta M']","['Department of Experimental Oncology, European Institute of Oncology, 20141 Milan, Italy.']",['eng'],['Journal Article'],United States,Microsc Res Tech,Microscopy research and technique,9203012,"['0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Promyelocytic Leukemia Protein)', '0 (Repressor Proteins)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)', '143220-95-5 (PML protein, human)', 'EC 3.5.1.98 (HDAC1 protein, human)', 'EC 3.5.1.98 (Histone Deacetylase 1)', 'EC 3.5.1.98 (Histone Deacetylase 2)', 'EC 3.5.1.98 (Histone Deacetylases)']",IM,"['Animals', 'Colon/*cytology/metabolism/ultrastructure', 'Histocytological Preparation Techniques', 'Histone Deacetylase 1', 'Histone Deacetylase 2', 'Histone Deacetylases/metabolism', 'Humans', 'Image Processing, Computer-Assisted', 'Microscopy, Confocal/*methods', 'Microscopy, Fluorescence/*methods', 'Microtomy', 'Neoplasm Proteins/metabolism', 'Nuclear Proteins/metabolism', 'Promyelocytic Leukemia Protein', 'Rectum/*cytology/metabolism/ultrastructure', 'Repressor Proteins/metabolism', 'Transcription Factors/metabolism', 'Tumor Suppressor Proteins']",2004/09/08 05:00,2004/10/16 09:00,['2004/09/08 05:00'],"['2004/09/08 05:00 [pubmed]', '2004/10/16 09:00 [medline]', '2004/09/08 05:00 [entrez]']",ppublish,Microsc Res Tech. 2004 Jun 1;64(2):89-95. doi: 10.1002/jemt.20062.,['10.1002/jemt.20062 [doi]'],,,,,,"['Copyright 2004 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
