PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,RN,AID,OID,OAB,OABL,OTO,OT,GN,PMC,RF,GR,AD
504971,NLM,MEDLINE,19800128,20190907,0036-553X (Print) 0036-553X (Linking),23,3,1979 Sep,The diffusion chamber technique as an in vivo assay in mice for the effectiveness of antitumor agents.,223-6,"['Huybrechts, M', 'Symann, M', 'Troulet, A']","['Huybrechts M', 'Symann M', 'Troulet A']",['eng'],['Journal Article'],,Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'Colony-Forming Units Assay', 'DNA/administration & dosage', 'Daunorubicin/administration & dosage', 'Diffusion', 'Female', 'Leukemia L1210/drug therapy', 'Mice', 'Mice, Inbred DBA']",1979/09/01 00:00,1979/09/01 00:01,['1979/09/01 00:00'],"['1979/09/01 00:00 [pubmed]', '1979/09/01 00:01 [medline]', '1979/09/01 00:00 [entrez]']",ppublish,Scand J Haematol. 1979 Sep;23(3):223-6. doi: 10.1111/j.1600-0609.1979.tb02695.x.,The diffusion chamber (DC) technique has been applied to the culture of L1210 cells in view of determining their sensitivity to chemotherapic agents. The surviving fraction of L1210 cells cultivated in DC's 4 d after i.v. injection of the host mice with 10 mg/kg of daunorubicin or daunorubicin-DNA was 40% and 9% respectively. The results suggest that the DC technique could be a useful in vivo predictive test for cancer chemotherapy.,"['0 (Antineoplastic Agents)', '9007-49-2 (DNA)', 'ZS7284E0ZP (Daunorubicin)']",['10.1111/j.1600-0609.1979.tb02695.x [doi]'],,,,,,,,,,
504570,NLM,MEDLINE,19800119,20031114,0033-7587 (Print) 0033-7587 (Linking),80,1,1979 Oct,A method for extracorporeal irradiation of the blood in the rat.,198-207,"['Hagenbeek, A', 'Martens, A C']","['Hagenbeek A', 'Martens AC']",['eng'],['Journal Article'],,United States,Radiat Res,Radiation research,0401245,IM,"['Animals', 'Catheterization/adverse effects', 'Extracorporeal Circulation', 'Leukemia/blood/*radiotherapy', 'Male', 'Radiation Dosage', 'Radiotherapy/adverse effects/instrumentation/*methods', 'Rats', 'X-Rays']",1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,Radiat Res. 1979 Oct;80(1):198-207.,,,,,,,,,,,,,
504329,NLM,MEDLINE,19800128,20151119,0031-7144 (Print) 0031-7144 (Linking),34,7,1979 Jul,"[Cancerostatically active 6,6a,7,8,13,13a-hexahydro-1-benzopyrano[4,3-b]-1,5-benzodiazepine diastereoisomers (author's transl)].",394-7,"['Werner, W', 'Jungstand, W', 'Gutsche, W', 'Wohlrabe, K', 'Romer, W', 'Tresselt, D']","['Werner W', 'Jungstand W', 'Gutsche W', 'Wohlrabe K', 'Romer W', 'Tresselt D']",['ger'],"['English Abstract', 'Journal Article']","Cancerostatisch wirksame 6,6a,7,8,13,13a-Hexahydro-1-benzopyrano[4,3-b]-1,5-benzodiazepin-Diastereoisomere .",Germany,Pharmazie,Die Pharmazie,9800766,IM,"['Adenylyl Cyclase Inhibitors', 'Animals', 'Antineoplastic Agents/*chemical synthesis', 'Benzodiazepines/*chemical synthesis/pharmacology', 'Leukemia L1210/drug therapy', 'Leukemia P388/drug therapy', 'Rats', 'Stereoisomerism']",1979/07/01 00:00,1979/07/01 00:01,['1979/07/01 00:00'],"['1979/07/01 00:00 [pubmed]', '1979/07/01 00:01 [medline]', '1979/07/01 00:00 [entrez]']",ppublish,Pharmazie. 1979 Jul;34(7):394-7.,"The action of many psychotropic drugs on the adenylate cyclase system and its role in the regulation of tumour cell division justify the expectance that potentially psychotropic 1-benzopyrano[4,3-b]-1,5-benzodiazepine derivatives (3a,b and 6a,b) will also exert a cancerostatic effect. The synthesis of 6,6a,7,8,13,13a-hexahydro-1-benzopyrano[4,3-b]-1,5-benzodiazepines (4a and b) and their separation into the antileukaemic (L 1210) cis-forms and the inefficacious trans-forms are described. The cis-form 5a, unlike the trans-form 6a, stimulated the adenylate cyclase system.","['0 (Adenylyl Cyclase Inhibitors)', '0 (Antineoplastic Agents)', '12794-10-4 (Benzodiazepines)']",,,,,,,,,,,
504281,NLM,MEDLINE,19800119,20131121,0361-7742 (Print) 0361-7742 (Linking),29,,1979,Differentiation of human leukemic from normal lymphocytes by purified Limulus agglutinin.,589-600,"['Cohen, E', 'Blumenson, L E', 'Pliss, M', 'Minowada, J']","['Cohen E', 'Blumenson LE', 'Pliss M', 'Minowada J']",['eng'],"['Comparative Study', 'Journal Article']",,United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,IM,"['Agglutinins/*metabolism', 'Animals', 'Binding Sites', 'Calcium/pharmacology', 'Cells, Cultured', 'Hemagglutinins/*metabolism', 'Horseshoe Crabs/*physiology', 'Humans', 'Leukemia/*metabolism', 'Leukemia, Lymphoid/metabolism', 'Lymphocytes/*metabolism']",1979/01/01 00:00,1979/01/01 00:01,['1979/01/01 00:00'],"['1979/01/01 00:00 [pubmed]', '1979/01/01 00:01 [medline]', '1979/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1979;29:589-600.,,"['0 (Agglutinins)', '0 (Hemagglutinins)', 'SY7Q814VUP (Calcium)']",,,,,,,,,,,
504227,NLM,MEDLINE,19800119,20200930,0037-9727 (Print) 0037-9727 (Linking),162,1,1979 Oct,Thymidine phosphorylase activity in plasma: a cancer marker or an artifact of ultrafiltration?,175-8,"['Woodman, P W']",['Woodman PW'],['eng'],['Journal Article'],,United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,IM,"['Cell Separation', 'Granulocytes/enzymology', 'Humans', 'Leukemia/enzymology', 'Neoplasms/*enzymology', 'Pentosyltransferases/*blood', 'Plasma/enzymology', 'Thymidine Phosphorylase/*blood', 'Ultrafiltration']",1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1979 Oct;162(1):175-8. doi: 10.3181/00379727-162-40640.,,"['EC 2.4.2.- (Pentosyltransferases)', 'EC 2.4.2.4 (Thymidine Phosphorylase)']",['10.3181/00379727-162-40640 [doi]'],,,,,,,,,,
504096,NLM,MEDLINE,19800128,20071115,0552-2080 (Print) 0552-2080 (Linking),24,11,1979 Nov,[Effectiveness of splenectomy in chronic lymphoproliferative diseases].,32-6,"['Demidova, A V', 'Norudzhan, A', ""Il'in, G P""]","['Demidova AV', 'Norudzhan A', ""Il'in GP""]",['rus'],"['English Abstract', 'Journal Article']",K voprosu ob effektivnosti splenektomii pri khronicheskikh limfoproliferativnykh zabolevaniiakh.,Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Adult', 'Chronic Disease', 'Evaluation Studies as Topic', 'Female', 'Humans', 'Leukemia, Lymphoid/surgery', 'Lymphoma/surgery', 'Lymphoproliferative Disorders/mortality/*surgery', 'Male', 'Middle Aged', '*Splenectomy', 'Splenic Neoplasms/surgery']",1979/11/01 00:00,1979/11/01 00:01,['1979/11/01 00:00'],"['1979/11/01 00:00 [pubmed]', '1979/11/01 00:01 [medline]', '1979/11/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1979 Nov;24(11):32-6.,,,,,,,,,,,,,
504085,NLM,MEDLINE,19800128,20061115,0552-2080 (Print) 0552-2080 (Linking),24,10,1979 Oct,[Immunological status of acute leukemia patients in the acute period of the disease].,13-9,"['Bulycheva, T I', 'Golodnenkova, V N', 'Miterev, G Iu', 'Samoilova, R S', 'Smolina, N V']","['Bulycheva TI', 'Golodnenkova VN', 'Miterev GIu', 'Samoilova RS', 'Smolina NV']",['rus'],"['English Abstract', 'Journal Article']",Immunologicheskii status bol'nykh ostrym leikozom v ostrom periode zabolevaniia.,Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antibodies, Neoplasm/analysis', 'Child', 'Child, Preschool', 'Humans', 'Immunity', 'Immunity, Cellular', 'Immunoglobulin A/analysis', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Leukemia/*immunology', 'Middle Aged', 'Receptors, Antigen, B-Cell/analysis', 'Recurrence']",1979/10/01 00:00,1979/10/01 00:01,['1979/10/01 00:00'],"['1979/10/01 00:00 [pubmed]', '1979/10/01 00:01 [medline]', '1979/10/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1979 Oct;24(10):13-9.,,"['0 (Antibodies, Neoplasm)', '0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Receptors, Antigen, B-Cell)']",,,,,,,,,,,
503893,NLM,MEDLINE,19800124,20170306,,62,2,1979 Aug,[Immunotherapy of neoplasms with special consideration of leukemia].,127-35,"['Kotlarek-Haus, S']",['Kotlarek-Haus S'],['pol'],"['Comparative Study', 'Journal Article']",Immunoterapia w chorobach nowotworowych ze szczegolnym uwzglednieniem bialaczek.,Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,IM,"['Animals', 'Evaluation Studies as Topic', 'Humans', 'Immunotherapy/*methods', 'Leukemia/*therapy', 'Mice', 'Neoplasms/*therapy']",1979/08/01 00:00,1979/08/01 00:01,['1979/08/01 00:00'],"['1979/08/01 00:00 [pubmed]', '1979/08/01 00:01 [medline]', '1979/08/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1979 Aug;62(2):127-35.,,,,,,,,,,,,,
503851,NLM,MEDLINE,19800128,20190501,0305-1048 (Print) 0305-1048 (Linking),7,4,1979 Oct 25,Sub-genomic RNA in Moloney leukemia virus grown in lymphoid-derived cell lines consists primarily of homologous viral RNA.,1091-108,"['Ball, J K', 'Dekaban, G A', 'Loosmore, S M', 'Chan, S K', 'McCarter, J A']","['Ball JK', 'Dekaban GA', 'Loosmore SM', 'Chan SK', 'McCarter JA']",['eng'],['Journal Article'],,England,Nucleic Acids Res,Nucleic acids research,0411011,IM,"['Base Sequence', 'Genes, Viral', 'Kinetics', 'Macromolecular Substances', 'Molecular Weight', 'Moloney murine leukemia virus/*analysis', 'Nucleic Acid Hybridization', 'RNA, Viral/*analysis']",1979/10/25 00:00,1979/10/25 00:01,['1979/10/25 00:00'],"['1979/10/25 00:00 [pubmed]', '1979/10/25 00:01 [medline]', '1979/10/25 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1979 Oct 25;7(4):1091-108. doi: 10.1093/nar/7.4.1091.,"Moloney murine leukemia virus (MoMuLV) grown in 2 lymphoid-derived murine cell lines (JLS-V9 and TB) contained 2 size classes of RNA subunits: 2.8 +/- 0.4 x 10(6) (n = 30) and 1.6 +/- 0.1 x 10(6) (n = 15) daltons. Detectable levels of low molecular weight viral RNA (LMW vRNA) were not present in MoMuLV grown in mouse embryo fibroblasts, nor rat cells, nor was it produced by them when they were infected with MoMuLV containing both species of vRNA. DNA probes complementary to both subunits were synthesized separately using purified reverse transcriptase (R.T.) and calf thymus DNA as primer. Polyadenylated LMW vRNA was selected and, by molecular hybridization was found to be completely homologous with the large RNA subunit. This was confirmed using cDNA probes representing defined regions of the genome. The LMW vRNA therefore contains multiple subsets of the viral RNA, which could correspond to multiple deletion mutants possibly generated by an efficient RNA splicing mechanism. In addition, low levels of non-homologous virus-like RNA were detected in MoMuLV grown in TB (2%) AND NIH/3T3 cells (0.4%).","['0 (Macromolecular Substances)', '0 (RNA, Viral)']",['10.1093/nar/7.4.1091 [doi]'],,,,,,,PMC342285,,,
503846,NLM,MEDLINE,19800119,20190501,0305-1048 (Print) 0305-1048 (Linking),7,3,1979 Oct 10,Assembly of an active chromatin structure during replication.,781-92,"['Weintraub, H']",['Weintraub H'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,England,Nucleic Acids Res,Nucleic acids research,0411011,IM,"['Animals', 'Cell Line', 'Cell Nucleus/metabolism', 'Chickens', 'Chromatin/*metabolism/ultrastructure', 'DNA/biosynthesis', '*DNA Replication', 'Deoxyribonucleases', 'Kinetics', 'Leukemia, Experimental', 'Nucleic Acid Conformation', 'Nucleic Acid Hybridization', 'Nucleosomes/metabolism/ultrastructure', 'Transcription, Genetic']",1979/10/10 00:00,1979/10/10 00:01,['1979/10/10 00:00'],"['1979/10/10 00:00 [pubmed]', '1979/10/10 00:01 [medline]', '1979/10/10 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1979 Oct 10;7(3):781-92. doi: 10.1093/nar/7.3.781.,"MSB cells were pulse labeled with 3H-thymidine and the isolated nuclei digested with either staphylococcal nuclease (to about 40% acid solubility) or DNase I (to 15% acid solubility). The purified, nuclease resistant single-copy DNA was then hybridized to nuclear RNA (nRNA). The results of these experiments show that actively transcribed genes are assembled into nucleosome-like structures within 5-10 nucleosomes of the replication fork and that they also acquire a conformation characteristic of actively transcribed nucleosomes (ie, a DNase I sensitive structure) within 20 nucleosomes of the fork. Assuming DNA sequence specific interactions are required for establishing a DNase I sensitive conformation on active genes during each round of replication, our results indicate that a specific recognition event can occur very rapidly and very specifically in eukaryotic cells. The results are discussed in terms of the possible mechanisms responsible for propagating active, chromosomal conformations from mother cells to daughter cells.","['0 (Chromatin)', '0 (Nucleosomes)', '9007-49-2 (DNA)', 'EC 3.1.- (Deoxyribonucleases)']",['10.1093/nar/7.3.781 [doi]'],,,,,,,PMC328055,,,
