PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,TT,RF,GR,EIN,PMC,CON,GS,CIN,OID,OTO,OT,GN,SI,CRF
1790428,NLM,MEDLINE,19920401,20071115,0268-3369 (Print) 0268-3369 (Linking),8,6,1991 Dec,Allogeneic bone marrow transplantation using unrelated donors: a pilot study of the Canadian Bone Marrow Transplant Group.,477-87,"Between February 1988 and January 1990, 35 patients underwent allogeneic bone marrow transplantation (BMT) from unrelated donors using measures routinely employed for matched related donors. Median patient age was 34 years (range 2-49). Thirty-two patients had hematologic malignancies, including chronic myelogenous leukemia (CML) in 16; three patients had severe aplastic anemia. Donor-patient pairs were matched at the HLA loci tested serologically (HLA-A, -B, -DR) in 29 cases; mixed leukocyte culture results were variable but often reactive. Five patients died prior to day +28 without evidence of myeloid engraftment, and one patient developed fatal graft failure several months after initial engraftment. Acute graft-versus-host disease (GVHD) occurred in 77% (95% confidence interval [CI] 60-90%) of all patients, and GVHD contributed to the death of 10 patients. Fatal regimen-related toxicity occurred in four patients and another died due to neurologic complications of a process that resembled the hemolytic-uremic syndrome. Two acute leukemia patients relapsed, and a CML patient was found to have a localized non-Hodgkin's lymphoma at necropsy. As of 1 June 1991, 14 patients are alive and in remission at a median follow-up of 1.9 years (range 1.5-3.3); all except one have normal performance scores. The 2-year actuarial event-free survival for all patients is 40% (95% CI 24-56%). Proportional hazards analysis revealed favorable significance for female patient sex, less advanced disease status and shorter interval from diagnosis to BMT. While unrelated-donor transplants need not necessarily duplicate the results of related-donor transplants to be of benefit, the event-free survival in this series was roughly similar to that expected in the related-donor situation, with the high transplant-related mortality somewhat offset by a low recurrence rate. Further studies using unrelated donors, employing new methods of preventing transplant-related complications, are indicated.","['Phillips, G L', 'Barnett, M J', 'Brain, M C', 'Chan, K W', 'Huebsch, L B', 'Klingemann, H G', 'Meharchand, J', 'Reece, D E', 'Rybka, W B', 'Shepherd, J D']","['Phillips GL', 'Barnett MJ', 'Brain MC', 'Chan KW', 'Huebsch LB', 'Klingemann HG', 'Meharchand J', 'Reece DE', 'Rybka WB', 'Shepherd JD', 'et al.']","['Leukemia/Bone Marrow Transplantation Program of British Columbia, Vancouver, General Hospital, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Anemia, Aplastic/surgery', 'Bone Marrow Transplantation/adverse effects/*immunology/standards', 'Canada', 'Child', 'Child, Preschool', 'Female', 'Graft vs Host Disease/epidemiology/etiology/mortality', 'HLA Antigens/immunology', 'Histocompatibility/immunology', 'Humans', 'Incidence', 'Leukemia/surgery', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/surgery', 'Male', 'Middle Aged', 'Pilot Projects', '*Tissue Donors', 'Transplantation, Homologous/*immunology']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Bone Marrow Transplant. 1991 Dec;8(6):477-87.,,['0 (HLA Antigens)'],,,,,,,,,,,,,,
1790425,NLM,MEDLINE,19920401,20071115,0268-3369 (Print) 0268-3369 (Linking),8,6,1991 Dec,"Long-term results of bone marrow transplantation for patients with AML, ALL and CML prepared with single dose total body irradiation of 500 cGy delivered with a high dose rate.",453-63,"One hundred and sixty-six patients between the ages of 12 and 48 years with acute myelogenous leukemia (AML), acute lymphoblastic leukemia (ALL) or chronic myelogenous leukemia (CML) underwent allogeneic bone marrow transplantation following single fraction total body irradiation (TBI) of 500 cGy from a cobalt source. Patients also received one of three chemotherapeutic regimens according to their diagnosis or disease status at time of transplant. The median follow-up was 67 months with a range of 33-120 months. The actuarial 5-year event-free survival (EFS) for the subgroup of patients with good risk disease (first complete remission AML and ALL or first chronic phase CML) was 43% with an actuarial relapse rate at 5 years of 26%. Patients with poor risk disease (other than first remission AML and ALL or other than first chronic phase CML) had an EFS at 5 years of 15% with a relapse rate of 62%. Disease status at the time of transplantation was the most important factor predicting outcome in this patient population. We conclude that preparation of good risk patients with chemotherapy and single fraction TBI of 500 cGy at a dose rate of 42-91 cGy/min resulted in EFS and relapse rates similar to those observed by centers using fractionated radiotherapy schedules, without a concomitant increase in toxicity, in particular interstitial pneumonitis and cataracts.","['Fyles, G M', 'Messner, H A', 'Lockwood, G', 'Curtis, J E', 'Rider, W', 'Minden, M D', 'Meharchand, J M', 'Lipton, J', 'Tritchler, D', 'Van Dyk, J']","['Fyles GM', 'Messner HA', 'Lockwood G', 'Curtis JE', 'Rider W', 'Minden MD', 'Meharchand JM', 'Lipton J', 'Tritchler D', 'Van Dyk J', 'et al.']","['Ontario Cancer Institute, Department of Medicine, University of Toronto, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation/adverse effects', 'Cataract/epidemiology/etiology', 'Child', 'Combined Modality Therapy', 'Dose-Response Relationship, Radiation', 'Female', 'Graft Rejection', 'Graft vs Host Disease/epidemiology', 'Humans', 'Incidence', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/mortality/*radiotherapy/*surgery', 'Leukemia, Myeloid, Acute/mortality/*radiotherapy/*surgery', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*radiotherapy/*surgery', 'Pulmonary Fibrosis/epidemiology/etiology', 'Time Factors', '*Whole-Body Irradiation']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Bone Marrow Transplant. 1991 Dec;8(6):453-63.,,,,,,,,,,,,,,,,
1790423,NLM,MEDLINE,19920401,20071114,0268-3369 (Print) 0268-3369 (Linking),8,6,1991 Dec,The definition of remission in acute leukemia with immunologic techniques.,429-37,"In acute leukemia residual disease is usually monitored by morphology. The precision of this approach can be improved by several methods including the investigation of chromosomal abnormalities by conventional cytogenetics, flow karyotyping, in situ hybridization and polymerase chain reaction (PCR), and the analysis of immunoglobulin and T cell receptor genes by Southern blotting and PCR. Immunologic methods represent a reliable option for studying residual disease in approximately half of the patients with acute leukemia. This strategy is based on the observation that some marker combinations are expressed on leukemic blasts but are absent or rarely present in normal peripheral blood (PB), bone marrow (BM) or cerebrospinal fluid cells. In patients with T cell-acute lymphoblastic leukemia, even one cell simultaneously expressing terminal deoxynucleotidyl transferase and CD3, CD5 or CD1 amongst 10(5) PB or BM cells indicates residual disease. Some cases of B lineage and myeloid acute leukemias also exhibit phenotypes potentially useful for monitoring response to treatment. Such phenotypes are identified by double or triple color staining techniques using fluorescence microscopy or flow cytometry. Independent studies have demonstrated that detection of cells with leukemia-associated phenotypes in BM samples of patients in clinic and morphologic remission heralds the recurrence of leukemia. It is likely that a combination of techniques will be needed to monitor the majority of patients with acute leukemia. Advantages and disadvantages of individual methods should be determined in comparative preclinic investigations. These studies should yield sufficient information to initiate the testing of therapeutic strategies planned according to the data provided by use of modern sensitive techniques.","['Campana, D', 'Coustan-Smith, E', 'Behm, F G']","['Campana D', 'Coustan-Smith E', 'Behm FG']","[""Department of Hematology-Oncology, St Jude Children's Research Hospital, Memphis, TN 38101.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Acute Disease', 'Humans', 'Immunoblotting', 'Immunologic Techniques', 'Leukemia/immunology/*therapy', 'Polymerase Chain Reaction', 'Remission Induction/methods']",1991/12/01 00:00,1991/12/01 00:01,['1991/12/01 00:00'],"['1991/12/01 00:00 [pubmed]', '1991/12/01 00:01 [medline]', '1991/12/01 00:00 [entrez]']",ppublish,Bone Marrow Transplant. 1991 Dec;8(6):429-37.,,,,72,['P30-CA21765/CA/NCI NIH HHS/United States'],,,,,,,,,,,
1790307,NLM,MEDLINE,19920331,20191028,1043-4666 (Print) 1043-4666 (Linking),3,6,1991 Nov,Regulation of lymphocyte blastogenesis and antibody production by soluble factor released by a human B-lymphoblastoid cell line.,609-10,"Yam 1B, a human B lymphoblastoid cell line, spontaneously produced an immunoregulatory factor, which suppresses blastogenesis and antibody formation by human lymphocytes. The Yam 1B cells, which were derived from the peripheral blood of an adult T-cell leukemia patient, have been established and maintained in our laboratory since 1985. This cell line expressed mature B-cell surface antigens including surface immunoglobulin M (IgM), CD23, and HLA-DR; had cytoplasmic IgM; and secreted small amounts of IgM in the culture supernatants. Yam 1B was positive for Epstein-Barr virus-associated antigen (EBNA) but negative for adult T-cell-associated antigen (ATLA). The serum-free Yam 1B culture supernatants (SN) inhibited the expression of transferrin R, but neither the expression of interleukin 2 (IL-2) R(CD25) nor the production of IL-2 in the lymphocytes stimulated with phytohemagglutin. Yam 1B SN also inhibited DNA synthesis by human T and B lymphocytes and immunoglobulin generation by normal B cells as well as by Epstein-Barr virus-transformed human B lymphoblastoid cell lines. The inhibitory activity of Yam 1B SN was inactivated at 56 degrees C and at pH 10 but was relatively stable at pH 2. It was abrogated by digestion with pronase and was partially stable by digestion with trypsin. Fractions collected from a Sephacryl S-300 gel filtration column (Pharmacia Fine Chemicals, Uppsala, Sweden) were found to have a peak of inhibitory activity of cell proliferation associated with molecules of apparent MWr of 43,000 to 67,000. The inhibitory activity of Yam 1B SN was not blocked by the anti-transforming growth factor beta antibody.(ABSTRACT TRUNCATED AT 250 WORDS)","['Morikawa, K', 'Morikawa, S', 'Imai, K', 'Oseko, F']","['Morikawa K', 'Morikawa S', 'Imai K', 'Oseko F']","['Department of Internal Medicine, Shimane Medical University, Izumo, Japan.']",['eng'],['Journal Article'],England,Cytokine,Cytokine,9005353,IM,"['B-Lymphocytes/*drug effects/immunology', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Culture Media/*pharmacology', 'Humans', 'Immunoglobulins/biosynthesis', 'Interleukin-2/biosynthesis', 'Lymphocyte Activation', 'Phytohemagglutinins', 'Receptors, Interleukin-2/metabolism', 'Receptors, Transferrin/metabolism', 'Suppressor Factors, Immunologic/*analysis', 'T-Lymphocytes/*drug effects']",1991/11/01 00:00,1991/11/01 00:01,['1991/11/01 00:00'],"['1991/11/01 00:00 [pubmed]', '1991/11/01 00:01 [medline]', '1991/11/01 00:00 [entrez]']",ppublish,Cytokine. 1991 Nov;3(6):609-10. doi: 10.1016/1043-4666(91)90488-y.,"['1043-4666(91)90488-Y [pii]', '10.1016/1043-4666(91)90488-y [doi]']","['0 (Culture Media)', '0 (Immunoglobulins)', '0 (Interleukin-2)', '0 (Phytohemagglutinins)', '0 (Receptors, Interleukin-2)', '0 (Receptors, Transferrin)', '0 (Suppressor Factors, Immunologic)']",,,,,,,,,,,,,,
1790293,NLM,MEDLINE,19920401,20071115,0212-7199 (Print) 0212-7199 (Linking),8,11,1991 Nov,"[Stress angina, spontaneous rupture of the spleen and almost normal leukocyte values, a rare form of presentation of chronic myeloid leukosis].",575-6,,"['Marcos Sanchez, F', 'Juarez Ucelay, F', 'Aparicio Martinez, J C', 'Duran Perez Navarro, A']","['Marcos Sanchez F', 'Juarez Ucelay F', 'Aparicio Martinez JC', 'Duran Perez Navarro A']",,['spa'],"['Case Reports', 'Letter']",Spain,An Med Interna,"Anales de medicina interna (Madrid, Spain : 1984)",9112183,IM,"['Aged', 'Angina Pectoris/etiology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Leukocytosis/*etiology', 'Male', 'Rupture, Spontaneous/etiology', 'Splenic Rupture/*etiology']",1991/11/01 00:00,1991/11/01 00:01,['1991/11/01 00:00'],"['1991/11/01 00:00 [pubmed]', '1991/11/01 00:01 [medline]', '1991/11/01 00:00 [entrez]']",ppublish,An Med Interna. 1991 Nov;8(11):575-6.,,,"Angina de esfuerzo, rotura espontanea de bazo y practica normalizacion de los valores leucocitarios, infrecuente forma de presentacion de la leucosis mieloide cronica.",,,,,,,,,,,,,
1789797,NLM,MEDLINE,19920324,20131121,0158-5231 (Print) 0158-5231 (Linking),25,2,1991 Sep,Identification of a 38-kDa protein (p38) in HL-60 leukemic cells as a truncated actin.,307-19,"Exposure of human leukemic HL-60 cells to monocyte-inducing compounds is accompanied by numerous newly synthesized protein changes in subfractions of the cell. Two proteins with molecular weights of 42,000 and 38,000 (p42, p38), present in the ribosomal salt wash (RSW) of proliferating cells, were markedly elevated and suppressed, in PMA-induced differentiated cells. Actin was identified as a component of p42. P38 cross-reacted with an actin-specific monoclonal antibody in Western blot analysis. Sequencing of gel-purified p38 showed that it was not N-terminally blocked and represented a truncated actin cleaved between val 43 and met 44. The reduction of p38 accompanying proliferating to differentiated cell transition may be indicative of proteolytic differences between the two cellular phenotypes.","['Miyamoto, S', 'Wu, J M']","['Miyamoto S', 'Wu JM']","['Department of Biochemistry and Molecular Biology, New York Medical College, Valhalla 10595.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Australia,Biochem Int,Biochemistry international,8100311,IM,"['Actins/*biosynthesis/chemistry/immunology', 'Amino Acid Sequence', 'Blotting, Western', 'Cell Division', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Interferon-gamma/pharmacology', 'Leukemia/*metabolism/pathology', 'Molecular Sequence Data', 'Molecular Weight', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",1991/09/01 00:00,1991/09/01 00:01,['1991/09/01 00:00'],"['1991/09/01 00:00 [pubmed]', '1991/09/01 00:01 [medline]', '1991/09/01 00:00 [entrez]']",ppublish,Biochem Int. 1991 Sep;25(2):307-19.,,"['0 (Actins)', '82115-62-6 (Interferon-gamma)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,['NCI 43299/CI/NCPDCID CDC HHS/United States'],,,,,,,,,,,
1789671,NLM,MEDLINE,19920324,20041117,0151-9638 (Print) 0151-9638 (Linking),118,11,1991,[Palmoplantar pustulosis disclosing acute monocytic leukemia].,885-6,,"['Khuong, M A', 'Reygagne, P', 'Aractingi, S', 'Wallach, D']","['Khuong MA', 'Reygagne P', 'Aractingi S', 'Wallach D']","['Clinique des Maladies cutanees, Hopital Saint-Louis, Paris.']",['fre'],"['Case Reports', 'Journal Article']",France,Ann Dermatol Venereol,Annales de dermatologie et de venereologie,7702013,IM,"['Female', 'Foot Dermatoses/etiology', 'Hand Dermatoses/etiology', 'Humans', 'Leukemia, Monocytic, Acute/*complications', 'Lymphocytosis/etiology', 'Middle Aged', '*Paraneoplastic Syndromes', 'Psoriasis/*complications/pathology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Ann Dermatol Venereol. 1991;118(11):885-6.,,,Pustulose palmo-plantaire revelant une leucemie aigue monocytaire.,,,,,,,,,,,,,
1789534,NLM,MEDLINE,19920324,20071115,0003-410X (Print) 0003-410X (Linking),142,7,1991,[Hypercalcemia in chronic lymphoid leukemia. 2 new cases].,547-51,,"['Fain, O', 'Turpin, F', 'Marchese, B', 'Meseure, D', 'Lejeune, F', 'Callard, P', 'Thomas, M']","['Fain O', 'Turpin F', 'Marchese B', 'Meseure D', 'Lejeune F', 'Callard P', 'Thomas M']",,['fre'],"['Case Reports', 'Letter', 'Review']",France,Ann Med Interne (Paris),Annales de medecine interne,0171744,IM,"['Humans', 'Hypercalcemia/*etiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*complications', 'Male', 'Middle Aged', 'Time Factors']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Ann Med Interne (Paris). 1991;142(7):547-51.,,,Hypercalcemie au cours de la leucemie lymphoide chronique. Deux nouvelles observations.,22,,,,,,,,,,,,
1789527,NLM,MEDLINE,19920324,20061115,0003-410X (Print) 0003-410X (Linking),142,7,1991,[Vasculitis and neoplasms. 14 cases].,486-504,"Fourteen cases of vasculitis associated with a neoplasm are reported. The vasculitides were classified as: leukocytolytic vasculitis 7, periarteritis nodosa 4, purpura rheumatica 1, cutaneous granulomatous vasculitis 1, microvasculitis nervosa 1. The neoplasms were diagnosed as: 10 hemopathies (including 4 cases of refractory anemia) and 5 solid tumors (1 patient had 2 tumors). The cutaneous manifestations (purpura, papules, subcutaneous nodules, etc.) and fever were the most common, while joint and neurological involvement were the rarest. The evolution of the vasculitis was usually corticosensitive and independent of the underlying neoplasm. A review of the literature revealed that these vasculitides (primarily leukocytolytic) were frequently associated with dysplastic myelogenous syndromes and hairy cell leukemia, while bronchopulmonary and colonic neoplasms were the most common solid tumors. The mechanisms giving rise to these vasculitides are discussed.","['Fain, O', 'Guillevin, L', 'Kaplan, G', 'Sicard, D', 'Lemaire, V', 'Godeau, P', 'Kahn, M F']","['Fain O', 'Guillevin L', 'Kaplan G', 'Sicard D', 'Lemaire V', 'Godeau P', 'Kahn MF']","['Service de Medecine Interne, Hopital Avicenne, Bogigny.']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",France,Ann Med Interne (Paris),Annales de medecine interne,0171744,IM,"['Aged', 'Female', 'Humans', 'Male', 'Middle Aged', 'Neoplasms/*complications/physiopathology', 'Time Factors', 'Vasculitis/*etiology/physiopathology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Ann Med Interne (Paris). 1991;142(7):486-504.,,,Vascularites et neoplasies. Quatorze observations.,176,,,,,,,,,,,,
1789277,NLM,MEDLINE,19920323,20190622,0065-2598 (Print) 0065-2598 (Linking),309A,,1991,The impact of selected nucleosides on the cytotoxicity of Ara-C in HL60 cells.,97-100,,"['Mejer, J']",['Mejer J'],"['The Finsen Institute, Copenhagen, Denmark.']",['eng'],['Journal Article'],United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['Cell Line', 'Cell Survival/*drug effects', 'Cytarabine/*pharmacology', 'Cytidine/pharmacology', 'Deoxyadenosines/pharmacology', 'Deoxycytidine/pharmacology', 'Deoxyguanosine/pharmacology', 'Drug Interactions', 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Nucleosides/*pharmacology', 'Tetrahydrouridine/pharmacology', 'Uridine/pharmacology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Adv Exp Med Biol. 1991;309A:97-100. doi: 10.1007/978-1-4899-2638-8_21.,['10.1007/978-1-4899-2638-8_21 [doi]'],"['0 (Deoxyadenosines)', '0 (Nucleosides)', '04079A1RDZ (Cytarabine)', '0W860991D6 (Deoxycytidine)', '18771-50-1 (Tetrahydrouridine)', '5CSZ8459RP (Cytidine)', 'G9481N71RO (Deoxyguanosine)', 'WHI7HQ7H85 (Uridine)']",,,,,,,,,,,,,,
1789275,NLM,MEDLINE,19920323,20190622,0065-2598 (Print) 0065-2598 (Linking),309A,,1991,Synergistic interaction of methotrexate and 6-mercaptopurine in human derived malignant T-ALL and CALLA+ cell lines.,87-91,,"['De Abreu, R A', 'van Strien, F', 'Lambooy, L H', 'Bokkerink, J P']","['De Abreu RA', 'van Strien F', 'Lambooy LH', 'Bokkerink JP']","['Centre for Pediatric Oncology SE Netherlands, Department of Pediatrics, University Hospital Nijmegen.']",['eng'],['Journal Article'],United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['Carbon Radioisotopes', 'Cell Division/drug effects', 'Cell Line', 'Drug Screening Assays, Antitumor', 'Drug Synergism', 'Glycine/metabolism', 'Humans', 'Kinetics', 'Leukemia-Lymphoma, Adult T-Cell', 'Mercaptopurine/*pharmacology', 'Methotrexate/*pharmacology', 'Phosphates/metabolism', 'Phosphorus Radioisotopes', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma', 'Purines/metabolism', 'Tetrahydrofolate Dehydrogenase/metabolism', 'Thymidine Monophosphate/metabolism']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Adv Exp Med Biol. 1991;309A:87-91. doi: 10.1007/978-1-4899-2638-8_19.,['10.1007/978-1-4899-2638-8_19 [doi]'],"['0 (Carbon Radioisotopes)', '0 (Phosphates)', '0 (Phosphorus Radioisotopes)', '0 (Purines)', '365-07-1 (Thymidine Monophosphate)', 'E7WED276I5 (Mercaptopurine)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'TE7660XO1C (Glycine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,
1789274,NLM,MEDLINE,19920323,20201209,0065-2598 (Print) 0065-2598 (Linking),309A,,1991,Purine nucleotide biosynthesis in leukemic promyelocytes treated with retinoids.,79-82,,"['Tsutani, H', 'Kagawa, D', 'Uchida, M', 'Yoshimura, T', 'Tanaka, T', 'Ueda, T', 'Nakamura, T']","['Tsutani H', 'Kagawa D', 'Uchida M', 'Yoshimura T', 'Tanaka T', 'Ueda T', 'Nakamura T']","['First Department of Internal Medicine, Fukui Medical School, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['Aged', 'Bone Marrow/pathology', 'Carbon Radioisotopes', 'Cell Differentiation/drug effects', 'Cell Line', 'Diterpenes', 'Female', 'Glycine/metabolism', 'Hematopoietic Stem Cells/drug effects/*metabolism/pathology', 'Humans', 'Hypoxanthine', 'Hypoxanthines/metabolism', 'Leukemia, Promyelocytic, Acute/*drug therapy/pathology', 'Monocytes/drug effects/metabolism/pathology', 'Phenotype', 'Purine Nucleosides/*biosynthesis', 'Retinyl Esters', 'Tumor Cells, Cultured', 'Vitamin A/*analogs & derivatives/therapeutic use']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Adv Exp Med Biol. 1991;309A:79-82. doi: 10.1007/978-1-4899-2638-8_17.,['10.1007/978-1-4899-2638-8_17 [doi]'],"['0 (Carbon Radioisotopes)', '0 (Diterpenes)', '0 (Hypoxanthines)', '0 (Purine Nucleosides)', '0 (Retinyl Esters)', '11103-57-4 (Vitamin A)', '1D1K0N0VVC (retinol palmitate)', '2TN51YD919 (Hypoxanthine)', 'TE7660XO1C (Glycine)']",,,,,,,,,,,,,,
1789272,NLM,MEDLINE,19920323,20190622,0065-2598 (Print) 0065-2598 (Linking),309A,,1991,"Increase in 2',5'-oligoadenylate synthetase caused by deoxycoformycin in hairy cell leukaemia.",65-8,,"['Ganeshaguru, K', 'de Mel, W C', 'Sissolak, G', 'Catovsky, D', 'Dearden, C E', 'Mehta, A B', 'Hoffbrand, A V']","['Ganeshaguru K', 'de Mel WC', 'Sissolak G', 'Catovsky D', 'Dearden CE', 'Mehta AB', 'Hoffbrand AV']","['Department of Haematology, Royal Free Hospital School of Medicine, London.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article']",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"[""2',5'-Oligoadenylate Synthetase/*blood/genetics"", 'Humans', 'Interferon-alpha/therapeutic use', 'Leukemia/blood/*drug therapy/enzymology', 'Leukemia, Hairy Cell/blood/*drug therapy/enzymology/therapy', 'Pentostatin/*therapeutic use', 'RNA, Messenger/metabolism']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Adv Exp Med Biol. 1991;309A:65-8. doi: 10.1007/978-1-4899-2638-8_14.,['10.1007/978-1-4899-2638-8_14 [doi]'],"['0 (Interferon-alpha)', '0 (RNA, Messenger)', '395575MZO7 (Pentostatin)', ""EC 2.7.7.84 (2',5'-Oligoadenylate Synthetase)""]",,,,,,,,,,,,,,
1789263,NLM,MEDLINE,19920323,20190622,0065-2598 (Print) 0065-2598 (Linking),309A,,1991,Murine erythroleukemia cells resistant to periodate-oxidized adenosine have lowered levels of nucleoside transporter.,443-6,"The results above show that mammalian cells, as exemplified by MELC, can be selected to be resistant to Adox, and that the resistant cells have greatly decreased nucleoside transport capacity. Since no mutagen was used prior to the selection process and Adox resistance was genetically stable, it appears that within a population of normal cells there is a genetically controlled range of expression of the nucleoside transporter. On the basis of the present data we cannot determine if the low level of nucleoside transporter in AR MELC is due to an altered form of the protein or a decreased amount of the normal protein. However the similarity of the Kd for NBTI in normal and AR MELC suggests that the latter is the case. Considerable indirect evidence is presented that Adox, with its ribose converted to an acyclic dialdehyde, is a substrate for the nucleoside transporter, adding a new type of compound to this list.","['Hoffman, J']",['Hoffman J'],"['Department of Biochemistry, University of Louisville, KY 40292.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,IM,"['Adenosine/*analogs & derivatives/*metabolism/pharmacology', 'Animals', 'Carrier Proteins/*metabolism', 'Cell Division/drug effects', 'Drug Resistance/physiology', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'Leukemia, Experimental', 'Membrane Proteins/*metabolism', 'Mice', 'Nucleoside Transport Proteins', 'S-Adenosylhomocysteine/metabolism', 'Thioinosine/analogs & derivatives/pharmacology', 'Tumor Cells, Cultured']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Adv Exp Med Biol. 1991;309A:443-6. doi: 10.1007/978-1-4899-2638-8_102.,['10.1007/978-1-4899-2638-8_102 [doi]'],"['0 (Carrier Proteins)', '0 (Membrane Proteins)', '0 (Nucleoside Transport Proteins)', '34240-05-6 (periodate-oxidized adenosine)', '46S541971T (Thioinosine)', '979-92-0 (S-Adenosylhomocysteine)', 'GV1L2DZM2Z (4-nitrobenzylthioinosine)', 'K72T3FS567 (Adenosine)']",,,,,,,,,,,,,,
