PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,GR,PMC,SI,OID,EIN,OTO,OT,GN,OAB,OABL
3855394,NLM,MEDLINE,19850308,20190514,0012-3692 (Print) 0012-3692 (Linking),87,2,1985 Feb,Acute myelomonocytic leukemia. Demonstration of pulmonary involvement by bronchoalveolar lavage.,259-60,"Massive pulmonary infiltration by leukemic cells resulting in respiratory symptoms is a rare complication of acute leukemia. We report the findings in a patient with acute myelomonocytic leukemia presenting with acute onset of fever, dyspnea, and nonproductive cough, in whom the diagnosis of pulmonary invasion by leukemic cells was made by cytochemical analysis of bronchoalveolar cells recovered by lavage.","['Rossi, G A', 'Balbi, B', 'Risso, M', 'Repetto, M', 'Ravazzoni, C']","['Rossi GA', 'Balbi B', 'Risso M', 'Repetto M', 'Ravazzoni C']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Chest,Chest,0231335,IM,"['Bronchi/cytology', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Lung Diseases/*diagnosis', 'Middle Aged', 'Pulmonary Alveoli/cytology', 'Therapeutic Irrigation']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['S0012-3692(15)37276-7 [pii]', '10.1378/chest.87.2.259 [doi]']",ppublish,Chest. 1985 Feb;87(2):259-60. doi: 10.1378/chest.87.2.259.,,,,,,,,,,,,
3855393,NLM,MEDLINE,19850319,20130912,0011-4162 (Print) 0011-4162 (Linking),35,1,1985 Jan,Leukemia cutis mimicking stasis dermatitis.,47-8,"A patient with chronic myelogenous leukemia (CML) in blast crisis experienced a peculiar painful eruption on his left lower extremity during the preterminal phase of his disease. The lesion was characterized by tender, edematous, purpuric infiltration which resembled stasis dermatitis clinically. Dermatopathologic examination demonstrated leukemia cutis.","['Butler, D F', 'Berger, T G', 'Rodman, O G']","['Butler DF', 'Berger TG', 'Rodman OG']",['eng'],"['Case Reports', 'Journal Article']",United States,Cutis,Cutis,0006440,IM,"['Adult', 'Diagnosis, Differential', 'Humans', 'Leg Dermatoses/*diagnosis', 'Leukemia, Myeloid/*diagnosis/pathology', 'Male', 'Skin/pathology', 'Skin Neoplasms/*diagnosis/pathology', 'Venous Insufficiency/diagnosis']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Cutis. 1985 Jan;35(1):47-8.,,,,,,,,,,,,
3855391,NLM,MEDLINE,19850305,20190820,0090-1229 (Print) 0090-1229 (Linking),34,2,1985 Feb,A rapid alternative to the clonogenic assay for measuring antibody and complement-mediated killing of tumor cells.,263-71,"A study of the methods used to quantitate killing of tumor cells by antibody and complement has highlighted a number of problems. Using leukemia as a model we have found that the release of 51Cr from labeled tumor cells treated with antibody and complement can be an equivocal measure of cell viability. Combined with its restricted sensitivity (less than a 2 log range of cell killing) this makes this widely used assay of questionable value for detecting small numbers of viable cells, or for identifying subpopulations of complement-resistant cells. As an alternative we have developed a [125I]iododeoxyuridine (125IUdR) uptake assay, that combines the simplicity and rapidity of the 51Cr release technique with the sensitivity of a clonogenic assay. This method eliminates the problem of spontaneous isotope release, inherent in prelabeling assays, and variability from experiment to experiment can be avoided by including a viable cell standard curve within each assay. The sensitivity of the 125IUdR uptake method, which can be completed within a day, is similar to that of a 10 day methylcellulose cloning assay and was capable of detecting the presence of a minor subpopulation of complement-resistant tumor cells.","['Gee, A P', 'Rolfe, A E', 'Worthington-White, D', 'Graham-Pole, J', 'Boyle, M D']","['Gee AP', 'Rolfe AE', 'Worthington-White D', 'Graham-Pole J', 'Boyle MD']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,IM,"['Animals', 'Cell Line', 'Cell Survival', 'Chromium Radioisotopes/metabolism', 'Colony-Forming Units Assay/*methods', 'Complement System Proteins/*pharmacology', 'Humans', 'Idoxuridine/metabolism', 'Iodine Radioisotopes', 'Leukemia, Lymphoid/pathology', 'Mice/immunology', 'Rabbits/immunology', 'Tumor Stem Cell Assay/*methods']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",['10.1016/0090-1229(85)90030-3 [doi]'],ppublish,Clin Immunol Immunopathol. 1985 Feb;34(2):263-71. doi: 10.1016/0090-1229(85)90030-3.,,"['0 (Chromium Radioisotopes)', '0 (Iodine Radioisotopes)', '9007-36-7 (Complement System Proteins)', 'LGP81V5245 (Idoxuridine)']",['CA-34060/CA/NCI NIH HHS/United States'],,,,,,,,,
3855388,NLM,MEDLINE,19850321,20190705,0092-8674 (Print) 0092-8674 (Linking),40,2,1985 Feb,Cellular site and mode of Fv-2 gene action.,441-7,"The Fv-2 genotype of erythroid progenitors directly determines whether they will undergo viral-induced transformation. This conclusion was reached from studies of allophenic mice compounded from congenic C57BL/6 strains differing at Fv-2 and an enzyme marker (GPI). Infection of these Fv-2ss in equilibrium Fv-2rr mosaic animals with the polycythemic strain of Friend virus results in the development of Friend disease. Concomitant with disease symptoms is a shift in the mosaic composition of the erythrocytes in favor of those of the susceptible strain. The observed viral-induced shift in the erythrocyte composition is paralleled by a similar change in the mosaic composition of the CFU-E pool but not the primitive (d8) BFU-E pool. Thus, with regard to this particular Fv-2 phenotype (susceptibility to FV-P-induced cellular hyperplasia), Fv-2 manifests itself specifically in the erythroid lineage, either in mature (d3) BFU-E or CFU-E.","['Behringer, R R', 'Dewey, M J']","['Behringer RR', 'Dewey MJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell,Cell,0413066,IM,"['Animals', 'Erythropoiesis', '*Friend murine leukemia virus', '*Genes', 'Hematopoietic Stem Cells', 'Leukemia, Erythroblastic, Acute/*genetics', 'Mice', 'Mice, Inbred Strains', 'Mosaicism', 'Phenotype']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0092-8674(85)90158-8 [pii]', '10.1016/0092-8674(85)90158-8 [doi]']",ppublish,Cell. 1985 Feb;40(2):441-7. doi: 10.1016/0092-8674(85)90158-8.,,,,,,,,,,,,
3855386,NLM,MEDLINE,19850306,20131121,0361-5960 (Print) 0361-5960 (Linking),69,1,1985 Jan,Phase I-II trial of mitoxantrone in acute leukemia.,61-4,"Mitoxantrone was evaluated in a multi-institution trial to define the effective dose for treating acute leukemia, to evaluate its toxicity, and to assess the induction rates for the different types of acute leukemia. Fifty-seven patients have been treated. Of the 24 patients receiving mitoxantrone (10 mg/m2/day X 5), one of nine with acute nonlymphoblastic leukemia (ANLL) in relapse, one of five with acute lymphoblastic leukemia in relapse, and one of seven with blastic chronic myelogenous leukemia achieved remission. At a dose of 12 mg/m2/day X 5, seven of 16 patients with ANLL in relapse, none of six with acute lymphoblastic leukemia in relapse, and one of five with blastic chronic myelogenous leukemia achieved remission. At both dose levels, there was no response in patients who had failed to achieve a prior remission. Toxic effects included nausea/vomiting, stomatitis, and hepatic dysfunction. Nine of the 57 patients treated experienced cardiac events but cardiac toxicity seemed clinically significant in only three. We conclude that mitoxantrone, at a dose of 12 mg/m2/day X 5, is effective therapy for ANLL. Trials combining mitoxantrone with other agents are needed.","['Arlin, Z A', 'Silver, R', 'Cassileth, P', 'Armentrout, S', 'Gams, R', 'Daghestani, A', 'Coleman, M', 'Schoch, I', 'Dukart, G']","['Arlin ZA', 'Silver R', 'Cassileth P', 'Armentrout S', 'Gams R', 'Daghestani A', 'Coleman M', 'Schoch I', 'Dukart G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Acute Disease', 'Adult', 'Aged', 'Anthraquinones/adverse effects/*therapeutic use', 'Drug Evaluation', 'Female', 'Heart/drug effects', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Liver/drug effects', 'Male', 'Middle Aged', 'Mitoxantrone', 'Nausea/chemically induced', 'Recurrence', 'Stomatitis/chemically induced', 'Vomiting/chemically induced']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1985 Jan;69(1):61-4.,,"['0 (Anthraquinones)', 'BZ114NVM5P (Mitoxantrone)']",,,,,,,,,,
3855383,NLM,MEDLINE,19850306,20131121,0361-5960 (Print) 0361-5960 (Linking),69,1,1985 Jan,Treatment of ocular leukemia with local chemotherapy.,119-22,"Two cases of human ocular leukemic recurrence were treated by combined local chemotherapy. Both cases were histologically proven with aspiration needle biopsy and successfully treated with subconjunctival injections of methotrexate, cytarabine, and corticosteroids.","['Rootman, J', 'Gudauskas, G']","['Rootman J', 'Gudauskas G']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Adrenal Cortex Hormones/administration & dosage', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Child, Preschool', 'Conjunctiva', 'Cytarabine/administration & dosage', 'Eye Neoplasms/*drug therapy', 'Female', 'Humans', 'Injections', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Methotrexate/administration & dosage']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1985 Jan;69(1):119-22.,,"['0 (Adrenal Cortex Hormones)', '04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,
3855381,NLM,MEDLINE,19850228,20131121,0008-5472 (Print) 0008-5472 (Linking),45,2,1985 Feb,Relationship of c-myc expression to differentiation and proliferation of HL-60 cells.,822-5,"We have compared changes in c-myc expression in HL-60 promyelocytic leukemia cells induced to differentiate by dimethyl sulfoxide or growth inhibited in an undifferentiated state. Under these conditions, c-myc expression did not correlate with the proportion of proliferating cells. The kinetics of the decrease in c-myc expression upon differentiation induction is paralleled closely by an increasing proportion of histochemically detected differentiated myeloid cells and by a decrease in clonogenic potential but not by changes in the proportion of proliferating cells. Changes in c-myc expression subsequent to differentiation induction can therefore be directly related to the differentiation process rather than to a cell cycle-related phenomenon.","['Filmus, J', 'Buick, R N']","['Filmus J', 'Buick RN']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Cell Differentiation', 'Cell Line', 'Dimethyl Sulfoxide/pharmacology', '*Gene Expression Regulation', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute/*genetics', 'RNA, Messenger/analysis']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",,ppublish,Cancer Res. 1985 Feb;45(2):822-5.,,"['0 (RNA, Messenger)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,,,,,,,
3855380,NLM,MEDLINE,19850228,20071115,0008-5472 (Print) 0008-5472 (Linking),45,2,1985 Feb,Flow cytometric analysis of pentakis(aziridino)thiatriazadiphosphorine oxide (SOAz)-induced changes in cell cycle progression of HeLa and HL-60 cells.,552-4,"The treatment of HeLa and HL-60 cells with various concentrations of pentakis(arizidino)thiatriazadiphosphorine oxide results in inhibition of growth and modification of cell cycle distribution. These phenomena were observed at 10(-4) M and 5 X 10(-5) M for HeLa cells and 10(-5) M and 5 X 10(-6) M for HL-60 cells. The estimation of DNA content by flow cytometry showed an important shift in the distribution of cycling cells with a striking arrest in G2 for both cell lines with a concomitant late S-phase accumulation for HeLa cells. Incubation of cells in drug-free medium 3 days after treatment did not show any change in DNA distribution, suggesting the irreversibility of drug action.","['Hecquet, C', 'Nafziger, J', 'Ronot, X', 'Marie, J P', 'Adolphe, M']","['Hecquet C', 'Nafziger J', 'Ronot X', 'Marie JP', 'Adolphe M']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Azirines/*pharmacology', 'Cell Cycle/drug effects', 'Cell Line', 'Flow Cytometry', 'HeLa Cells/*drug effects', 'Humans', 'Leukemia, Myeloid, Acute/*pathology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",,ppublish,Cancer Res. 1985 Feb;45(2):552-4.,,"['0 (Azirines)', '77680-87-6 (pentazirinocyclodiphosphathiazene)']",,,,,,,,,,
3855379,NLM,MEDLINE,19850311,20190816,0165-4608 (Print) 0165-4608 (Linking),15,1-2,1985 Feb 1,"Chronic myelocytic leukemia with mirror image duplication of chromosome 22: 46,XY, pq+t(22q-;22q-).",89-93,,"['Gustavson, K H', 'Levander, H']","['Gustavson KH', 'Levander H']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Bone Marrow Cells', 'Chromosome Aberrations', 'Chromosomes, Human, 21-22 and Y/*ultrastructure', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0165-4608(85)90134-7 [pii]', '10.1016/0165-4608(85)90134-7 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Feb 1;15(1-2):89-93. doi: 10.1016/0165-4608(85)90134-7.,,,,,,,,,,,,
3855378,NLM,MEDLINE,19850311,20190816,0165-4608 (Print) 0165-4608 (Linking),15,1-2,1985 Feb 1,Cytogenetic findings in childhood acute lymphoblastic leukemia.,47-64,"Chromosome studies were performed on the bone marrow cells of 42 children with newly diagnosed acute lymphoblastic leukemia (ALL). All the children were subsequently treated with the same protocol. Chromosomal abnormalities were found in 25 patients, i.e., in 59.5% of the cases. Hyperdiploidy was observed in 21.4% hypodiploidy in 14.3%, and pseudodiploidy in 23.8% of the children. The most frequent structural aberrations were translocations, which were found in half of the patients with abnormal karyotypes. Chromosomes #5, #6, #7, #9, #14, #17, and #21 were involved in different types of changes most frequently. Because these findings correspond with observations published by others, they can be regarded as evidence of nonrandom involvement of these chromosomes in rearrangements in ALL. Special attention should be also paid to the deletion of 6q, which seems to be relatively common in ALL. In 12 cases, clonal evolution of karyotypic changes was observed.","['Kowalczyk, J R', 'Grossi, M', 'Sandberg, A A']","['Kowalczyk JR', 'Grossi M', 'Sandberg AA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Chromosome Aberrations/pathology', 'Chromosome Banding', 'Chromosome Disorders', 'Female', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Male', 'Time Factors']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0165-4608(85)90130-X [pii]', '10.1016/0165-4608(85)90130-x [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Feb 1;15(1-2):47-64. doi: 10.1016/0165-4608(85)90130-x.,,,['F05 TWO3009 01/TW/FIC NIH HHS/United States'],,,,,,,,,
3855377,NLM,MEDLINE,19850311,20190816,0165-4608 (Print) 0165-4608 (Linking),15,1-2,1985 Feb 1,t(11;19)(q23;p11) in a child with acute T-cell leukemia.,181-5,"A translocation, t(11;19)(q23;p11), is reported in a child with T-cell leukemia. Our case indicates that the t(11;19) may not be restricted to the monocytic leukemias, as earlier reported, but may occur in other malignancies.","['Knuutila, S', 'Rajantie, J', 'Leskinen, R', 'Rapola, J', 'de la Chapelle, A']","['Knuutila S', 'Rajantie J', 'Leskinen R', 'Rapola J', 'de la Chapelle A']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Bone Marrow/pathology', 'Child', '*Chromosomes, Human, 16-18', '*Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics/pathology', 'Lymph Nodes/pathology', 'Lymphocytes/pathology', 'Translocation, Genetic']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0165-4608(85)90147-5 [pii]', '10.1016/0165-4608(85)90147-5 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Feb 1;15(1-2):181-5. doi: 10.1016/0165-4608(85)90147-5.,,,,,,,,,,,,
3855376,NLM,MEDLINE,19850311,20190816,0165-4608 (Print) 0165-4608 (Linking),15,1-2,1985 Feb 1,Chromosomal characteristics of chronic and blastic phases of Ph-positive chronic myeloid leukemia.,17-24,"To evaluate the appearance of chromosome changes, in addition to the Philadelphia (Ph) chromosome, as predictive and diagnostic parameters of transformation in chronic myeloid leukemia (CML), such changes were analyzed in the chronic phase (CP) and compared with those of the blastic phase (BP) of CML. The common chromosome changes observed in the CP were loss of a Y (-Y), trisomy 8 (+8), an isochromosome for the long arm of chromosome #17 [i(17q)], a double Ph (+Ph), reciprocal translocations, and partial deletions. In most patients with chromosome changes in addition to the Ph, the percentage of abnormal clones increased steadily during the CP and was accompanied by other chromosome changes shortly before or at the onset of the BP, except for cases with -Y or i(17q) clones. In general, most chromosome changes observed shortly before or at the BP were complex. These facts suggest that complex chromosome changes could be utilized as predictive and diagnostic parameters of blastic transformation in CML.","['Sadamori, N', 'Matsunaga, M', 'Yao, E', 'Ichimaru, M', 'Sandberg, A A']","['Sadamori N', 'Matsunaga M', 'Yao E', 'Ichimaru M', 'Sandberg AA']",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adult', 'Chromosome Aberrations/pathology', 'Chromosome Disorders', 'Chromosomes, Human, 21-22 and Y', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0165-4608(85)90127-X [pii]', '10.1016/0165-4608(85)90127-x [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Feb 1;15(1-2):17-24. doi: 10.1016/0165-4608(85)90127-x.,,,,,,,,,,,,
3855375,NLM,MEDLINE,19850311,20190816,0165-4608 (Print) 0165-4608 (Linking),15,1-2,1985 Feb 1,Sister chromatid exchanges in leukemic patients.,169-75,"Sister chromatid exchange (SCE) was studied in PHA-stimulated peripheral blood lymphocytes from 36 newly diagnosed and untreated leukemic patients: 16 with acute lymphoblastic leukemia (ALL), 10 with acute nonlymphocytic leukemia (ANLL), and 10 with chronic myelocytic leukemia (CML). The metaphases analyzed show no chromosomal abnormalities. The mean SCE frequency (mean +/- SE) for each group of patients was: 6.8 +/- 0.4, 6.6 +/- 0.3, and 7.0 +/- 0.6 per mitosis, respectively, which was significantly lower than the mean SCE score for 30 controls (8.7 +/- 0.2). No differences in SCE score among ALL, ANLL, and CML and a similar SCE frequency by chromosome number and group allowed consolidation of all the cases into a single group of 36 leukemic patients (6.8 +/- 0.3). When the frequency of SCE was compared by chromosome number and group between the leukemic patients with the control group, a significant decrease in SCE frequency was observed due to a low SCE score in almost all the complements, except chromosome #1. It is suggested that the low SCE rate is related to the leukemic process itself.","['Larripa, I', 'Labal ede Vinuesa, M', 'Slavutsky, I', 'Brieux de Salum, S']","['Larripa I', 'Labal ede Vinuesa M', 'Slavutsky I', 'Brieux de Salum S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Chromosome Mapping', 'Female', 'Humans', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid/genetics', 'Lymphocytes/physiopathology', 'Male', 'Middle Aged', 'Sister Chromatid Exchange']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0165-4608(85)90145-1 [pii]', '10.1016/0165-4608(85)90145-1 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Feb 1;15(1-2):169-75. doi: 10.1016/0165-4608(85)90145-1.,,,,,,,,,,,,
3855374,NLM,MEDLINE,19850311,20190816,0165-4608 (Print) 0165-4608 (Linking),15,1-2,1985 Feb 1,Isochromosome X in acute myeloblastic leukemia.,137-41,"An aberrant leukemic clone with a 46,X,i(Xq) karyotype appeared at the first relapse of the disease in a case of acute myeloblastic leukemia (AML). The DNA replication pattern displayed asynchronous late termination within the homologous arms of the isochromosome in all investigated metaphases. The origin of asynchrony in the isochromosome's DNA replication pattern is discussed.","['Debiec-Rychter, M', 'Kaluzewski, B', 'Bugala, I', 'Zajazkowska, D']","['Debiec-Rychter M', 'Kaluzewski B', 'Bugala I', 'Zajazkowska D']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Child', 'DNA Replication', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Sex Chromosome Aberrations/*genetics', '*X Chromosome']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']","['0165-4608(85)90141-4 [pii]', '10.1016/0165-4608(85)90141-4 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Feb 1;15(1-2):137-41. doi: 10.1016/0165-4608(85)90141-4.,,,,,,,,,,,,
3855373,NLM,MEDLINE,19850305,20190816,0165-4608 (Print) 0165-4608 (Linking),14,3-4,1985 Jan 15,Chromosome fragile sites.,369,,"['Yoder, F E', 'Vincent, R A Jr', 'Morgan, S K', 'Grush, O C']","['Yoder FE', 'Vincent RA Jr', 'Morgan SK', 'Grush OC']",['eng'],['Letter'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Chromosome Fragile Sites', '*Chromosome Fragility', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics']",1985/01/15 00:00,2001/03/28 10:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/01/15 00:00 [entrez]']","['0165-4608(85)90202-X [pii]', '10.1016/0165-4608(85)90202-x [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Jan 15;14(3-4):369. doi: 10.1016/0165-4608(85)90202-x.,,,,,,,,,,,,
3855372,NLM,MEDLINE,19850305,20190816,0165-4608 (Print) 0165-4608 (Linking),14,3-4,1985 Jan 15,Isochromosome 17q in Ph-negative chronic myelocytic leukemia.,323-30,"No Ph chromosome was found in three clinically suspected chronic myelocytic leukemia (CML) patients, although one had metaphases with trisomy 13. An isochromosome of the long arm of chromosome 17 [i(17q)] was found in these patients when two of them were in acute blastic crisis (ABC) and the other in an early stage of transformation. Although an i(17q) is frequently seen in ABC of Ph-positive CML, it is rarely reported in Ph-negative CML. The finding of an i(17q) chromosome in Ph-negative CML appears to indicate, as in Ph-positive CML, that the disease is transforming into ABC. A series of cytogenetic studies in this group of patients may possibly aid in predicting the patients' pending ABC and may also lead to understanding the pathogenesis of ABC.","['Goh, K', 'Rubins, J']","['Goh K', 'Rubins J']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adult', '*Chromosome Aberrations', 'Chromosome Banding', '*Chromosomes, Human, 16-18', '*Chromosomes, Human, 21-22 and Y', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Middle Aged']",1985/01/15 00:00,1985/01/15 00:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '1985/01/15 00:01 [medline]', '1985/01/15 00:00 [entrez]']","['0165-4608(85)90198-0 [pii]', '10.1016/0165-4608(85)90198-0 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Jan 15;14(3-4):323-30. doi: 10.1016/0165-4608(85)90198-0.,,,,,,,,,,,,
3855371,NLM,MEDLINE,19850305,20190816,0165-4608 (Print) 0165-4608 (Linking),14,3-4,1985 Jan 15,Philadelphia chromosome (Ph) positive chronic myelocytic leukemia (CML): frequency of additional findings.,313-22,"This article documents the cytogenetic findings in 79 patients with typical Ph-positive chronic myelocytic leukemia (CML). Direct preparations of bone marrow and/or peripheral blood of 46 males and 33 females were studied with different banding techniques. Seventy patients were studied during chronic phase. Three (4.3%) had unusual or complex translocations: t(6;22)(p21;q11), t(8;12;9;22)(p21;q21;q34;q11), and t(9;11;22)(q34;q13;q11). One (1.4%) had a +Ph, 1 (1.4%) had a +8, 1 (1.4%) had a del(3)(p13,p23), and 4 of 30 males (13.3%) showed loss of Y chromosome. Five of 8 cases studied during blast crisis had additional abnormalities. The +8 occurred in 4 cases, +10 and +19 each in 3 cases, +6, + 9q+, and +13 each in 2 cases, and +5, +11, +14, +21, +Ph, i(17q), dic(1;9), and structural abnormalities of chromosomes #1, #5, #12, and #13 each in 1 case. Two cases studied in blast crisis alone had complex translocations leading to the Ph. Because it cannot be ruled out that these translocations are secondary, they were not included in the calculation of the frequency of atypical translocations.","['Godde-Salz, E', 'Schmitz, N', 'Bruhn, H D']","['Godde-Salz E', 'Schmitz N', 'Bruhn HD']",['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adolescent', 'Adult', 'Aged', 'Chromosome Banding', '*Chromosomes, Human, 21-22 and Y', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Translocation, Genetic']",1985/01/15 00:00,1985/01/15 00:01,['1985/01/15 00:00'],"['1985/01/15 00:00 [pubmed]', '1985/01/15 00:01 [medline]', '1985/01/15 00:00 [entrez]']","['0165-4608(85)90197-9 [pii]', '10.1016/0165-4608(85)90197-9 [doi]']",ppublish,Cancer Genet Cytogenet. 1985 Jan 15;14(3-4):313-22. doi: 10.1016/0165-4608(85)90197-9.,,,,,,,,,,,,
