PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,GR,PMC,RF,AD,SI,LID,CIN,OID,RIN,ROF,PS,FPS
6439975,NLM,MEDLINE,19850204,20071115,0735-1313 (Print) 0735-1313 (Linking),2,1,1984 Feb,DNA rearrangements of immunoglobulin genes correlate with phenotypic markers in B-cell malignancies.,63-79,"We have investigated the configuration of immunoglobulin (Ig) genes in leukaemic cells in 17 patients with B-cell leukaemias (11 chronic lymphocytic leukaemias (B-CLL); 4 prolymphocytic leukaemias (B-PLL), and two hairy cell leukaemias (HCL)). In addition we studied four patients with T chronic lymphocytic leukaemia (T-CLL); four patients with acute leukaemia (3 acute lymphoblastic leukaemias (ALL), and 1 mixed acute leukaemia (M.AL)); and six patients with chronic granulocytic leukaemias in blastic crisis (CGL.BC). The heavy chain genes (H) were analysed by using probes for the constant region of the mu chains (C mu) and for the joining region (JH). The light chain genes were analysed by using probes for the constant region of the kappa (C kappa) and lambda (C lambda) chains. We have found rearranged Ig genes in all cases of B-CLL, B-PLL and HCL, but in none of the patients with T-CLL. In one case of HCL, both mu genes were deleted, indicating that in this case the class switch has taken place. In four out of six cases with either ALL or lymphoid CGL.BC and in one case of M.AL, an Ig gene rearrangement was also found. No rearrangement was detected in two cases of myeloid CGL.BC. When the combination of rearrangement versus germ-line configuration was considered, a variety of patterns emerge, but in no case did we find a L chain gene rearranged without at least one H chain gene being rearranged as well. Whereas in the majority of cases of B-CLL only one H chain gene is rearranged, in nearly all cases of B-PLL both H chain genes are rearranged. By systematic analysis of restriction fragment sizes of rearranged genes, we have established that a large number of different variable regions for the H chain (VH) are involved in Ig gene rearrangement in B-cell malignancies. Our data confirm that testing for Ig gene rearrangement may be the most sensitive and specific test for identifying leukaemic cells of B lineage.","['Foroni, L', 'Catovsky, D', 'Rabbitts, T H', 'Luzzatto, L']","['Foroni L', 'Catovsky D', 'Rabbitts TH', 'Luzzatto L']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Mol Biol Med,Molecular biology & medicine,8403879,"['0 (DNA, Neoplasm)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)', '0 (Immunoglobulins)']",IM,"['B-Lymphocytes/*physiology', 'DNA, Neoplasm/genetics', 'Genes', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin Light Chains/genetics', 'Immunoglobulins/*genetics', 'Leukemia/*genetics/immunology', 'Leukemia, Lymphoid/genetics/immunology', 'Leukemia, Myeloid/genetics/immunology', 'Recombination, Genetic']",1984/02/01 00:00,1984/02/01 00:01,['1984/02/01 00:00'],"['1984/02/01 00:00 [pubmed]', '1984/02/01 00:01 [medline]', '1984/02/01 00:00 [entrez]']",ppublish,Mol Biol Med. 1984 Feb;2(1):63-79.,,,,,,,,,,,,,
6439954,NLM,MEDLINE,19850220,20190821,0025-7079 (Print) 0025-7079 (Linking),22,12,1984 Dec,The use of Grade of Membership analysis to evaluate and modify diagnosis-related groups.,1067-82,"A classification methodology is presented that can be used to evaluate the heterogeneity of reimbursement categories and service groups in multivariate terms. This methodology, called Grade of Membership analysis, has several properties that are particularly important in such assessments. First, simultaneously with the determination of the multivariate profile of characteristics that describe a group, the methodology determines the degree to which each case is described by that profile, which means that the model can explicitly represent the heterogeneity of individual cases in any derived classification scheme. Second, the estimates of the model's parameters are produced by maximum likelihood procedures; hence, the classification and group descriptions generated by the model can be statistically evaluated. Third, because of the way the group profiles are constructed, the results of the analysis will be reasonably robust to the selection of new samples. The analysis is illustrated using data on hospital discharges for the state of Maryland in 1981. The purpose of the analysis is to examine the association between the patterns of clinical and service attributes identified by the procedures with DRG category assignments.","['Manton, K G', 'Vertrees, J C']","['Manton KG', 'Vertrees JC']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S.""]",,United States,Med Care,Medical care,0230027,,IM,"['Aged', '*Costs and Cost Analysis', '*Diagnosis-Related Groups', 'Disease/classification', 'Fees and Charges', 'Female', 'Humans', 'Length of Stay/economics', 'Leukemia/economics', 'Lung Neoplasms/economics', 'Male', 'Maryland', 'Patients/*classification', 'Prognosis', '*Statistics as Topic']",1984/12/01 00:00,1984/12/01 00:01,['1984/12/01 00:00'],"['1984/12/01 00:00 [pubmed]', '1984/12/01 00:01 [medline]', '1984/12/01 00:00 [entrez]']",ppublish,Med Care. 1984 Dec;22(12):1067-82. doi: 10.1097/00005650-198412000-00002.,['10.1097/00005650-198412000-00002 [doi]'],,,,,,,,,,,,
6439829,NLM,MEDLINE,19850221,20081121,0732-6580 (Print) 0732-6580 (Linking),3,6,1984 Dec,"Interferon-alpha and -gamma promote myeloid differentiation of HL-60, a human acute promyelocytic leukemia cell line.",653-62,"Two different preparations of ultrapurified interferon-alpha (IFN-alpha) (lymphoblastoid and peripheral blood leukocyte) and one of IFN-gamma were tested for their ability to induce terminal differentiation and alter cell growth in three human leukemia cell lines of different hematological origin (HL-60, K562, U937). Cell lines were cultured for 9 days in the presence of 500 units/ml of either IFN-alpha or of IFN-gamma. Cell counts and stained differentials were made on days 3, 6, and 9 to assess the effects of IFN. A marked heterogeneity of response was found, not only among cell lines, but among the IFNs tested. The most striking morphological changes were noted in the HL-60 acute promyelocytic leukemia cell line. All three IFNs tested induced significant myeloid maturation, with increased numbers of terminally differentiated myelocytes and metamyelocytes seen as early as day 3 of culture. The feasibility of using IFNs as an adjunctive or alternative therapy for the treatment of some types of leukemias is discussed.","['Buessow, S C', 'Gillespie, G Y']","['Buessow SC', 'Gillespie GY']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Biol Response Mod,Journal of biological response modifiers,8219656,"['0 (Interferon Type I)', '82115-62-6 (Interferon-gamma)']",IM,"['Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Cell Line', 'Hematopoiesis/drug effects', 'Humans', 'Interferon Type I/*physiology', 'Interferon-gamma/*physiology', 'Leukemia, Myeloid, Acute/*pathology']",1984/12/01 00:00,1984/12/01 00:01,['1984/12/01 00:00'],"['1984/12/01 00:00 [pubmed]', '1984/12/01 00:01 [medline]', '1984/12/01 00:00 [entrez]']",ppublish,J Biol Response Mod. 1984 Dec;3(6):653-62.,,"['CA 30479/CA/NCI NIH HHS/United States', 'S-T32-CA09156/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6439654,NLM,MEDLINE,19850211,20190708,0020-7136 (Print) 0020-7136 (Linking),34,6,1984 Dec 15,"High- and low-leukemogenic variants of the radiation leukemia virus (RadLV): immunogenic, suppressive and genetic properties in relation to leukemogenic activity.",875-82,"C57BL/6 (B6) mice inoculated with the highly leukemogenic variant of the radiation leukemia virus (A-RadLV) develop suppressor cells capable of abrogating potential anti-tumor immunity in vitro and in vivo. Inoculation of B6 animals with the low-leukemogenic D-RadLV variant does not result in suppressor cell generation but induces antitumor reactive lymphocytes. A-RadLV and D-RadLV are not leukemogenic in BALB/c or (B6 X BALB/c)F1(F1) mice, and reactive but not suppressor lymphocytes could be demonstrated in F1 animals inoculated with either virus. Infectivity assays and fingerprint analysis revealed that A-RadLV and D-RadLV contain viruses with N and B tropism. In addition, thymoma cells induced by A-RadLV produced another virus with a fingerprint pattern containing X-MuLV elements. The possible implications of the different virus types on the immunogenic and leukemogenic properties of the RadLV variants are discussed.","['Yefenof, E', 'Ben David, Y', 'Kotler, M']","['Yefenof E', 'Ben David Y', 'Kotler M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', 'Cells, Cultured', 'Cytotoxicity, Immunologic', 'Female', 'Genes, MHC Class II', 'Leukemia, Radiation-Induced/immunology/*microbiology', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Retroviridae/genetics/immunology/*pathogenicity', 'Spleen/immunology']",1984/12/15 00:00,1984/12/15 00:01,['1984/12/15 00:00'],"['1984/12/15 00:00 [pubmed]', '1984/12/15 00:01 [medline]', '1984/12/15 00:00 [entrez]']",ppublish,Int J Cancer. 1984 Dec 15;34(6):875-82. doi: 10.1002/ijc.2910340621.,['10.1002/ijc.2910340621 [doi]'],,,,,,,,,,,,
6439651,NLM,MEDLINE,19850211,20190708,0020-7136 (Print) 0020-7136 (Linking),34,6,1984 Dec 15,"Induction of IL-2 production, IL-2 receptor expression and proliferation of T3- T-PLL cells by phorbol ester.",831-8,"Leukemic T cells from the peripheral blood of a patient with T-prolymphocytic leukemia (T-PLL) were investigated for their potential to differentiate in vitro upon exposure to 12-O-tetradecanoyl-phorbol-13-acetate (TPA). The T-PLL cells, identified as typical PLL cells by nuclear morphology, were typed as E+slg-OKT1+3-4+6-8-11+ cells lacking reactivity with OKI-1 or OKM-1. In addition, between 3% and 10% of the cells reacted with monoclonal antibodies against T10. In contrast to normal T cells, the T-PLL cells could not be induced to proliferate by mitogenic lectins or alloantigens in the presence or absence of human interleukin-1 (IL-1), interleukin-2(IL-2) or allogeneic monocytes and did not produce IL-2. They also failed to proliferate in response to TPA or TPA in the presence of phytohemagglutinin (PHA), but under these conditions T-PLL cells secreted high levels of IL-2 activity. Incubation in the presence of PHA + TPA or TPA for 48 h induced T-PLL cells to become blasts exhibiting enhanced protein synthesis, and induced a 10-fold increase in the percentage of cells reactive with monoclonal antibodies against T10. At the same time, about 15% of the cells developed receptors for IL-2 as monitored by their reactivity with anti-Tac monoclonal antibody. Washing of these T-PLL cells to remove TPA resulted in the induction of proliferation upon subsequent culture in the presence of IL-2 or in medium only. Since proliferating T-PLL cells still failed to express T3 antigens, it was concluded that these leukemic cells represent a T-cell differentiation stage or a T-cell subset which can be activated via a T3-independent pathway.","['Vyth-Dreese, F A', 'De Vries, J E']","['Vyth-Dreese FA', 'De Vries JE']",['eng'],['Journal Article'],,United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antigens, Neoplasm)', '0 (Interleukin-2)', '0 (Phorbols)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Antigens, Neoplasm/analysis', 'Cell Division/drug effects', 'Cells, Cultured', 'Humans', 'Interleukin-2/*biosynthesis', 'Leukemia, Lymphoid/immunology/*pathology', 'Phenotype', 'Phorbols/*toxicity', 'Receptors, Immunologic/*analysis', 'Receptors, Interleukin-2', 'T-Lymphocytes/*pathology', 'Tetradecanoylphorbol Acetate/*toxicity']",1984/12/15 00:00,1984/12/15 00:01,['1984/12/15 00:00'],"['1984/12/15 00:00 [pubmed]', '1984/12/15 00:01 [medline]', '1984/12/15 00:00 [entrez]']",ppublish,Int J Cancer. 1984 Dec 15;34(6):831-8. doi: 10.1002/ijc.2910340614.,['10.1002/ijc.2910340614 [doi]'],,,,,,,,,,,,
6439649,NLM,MEDLINE,19850211,20190708,0020-7136 (Print) 0020-7136 (Linking),34,6,1984 Dec 15,Neoplastic kappa and lambda cells in a B-PLL with chromosome translocations of both light chain gene regions.,769-73,"We describe a chromosome translocation t(2;13) (p11-12;p11) involving the kappa (kappa) light chain gene region (2p11-12), and a subsequent translocation t(11;22) (q23;11) involving the lambda (lambda) light chain gene region (22q11) within the same clone, in a patient with B-cell prolymphocytic leukaemia (B-PLL), of whose peripheral mononuclear cells 82% expressed (kappa) chains and 8% expressed (lambda) chains. Electron microscope (EM) studies using the immunogold method showed that both kappa- and lambda-producing cells were prolymphocytes. Immunoglobulin (Ig) gene analysis by Southern blotting demonstrated rearrangement of both Ig heavy (H) chain genes and one kappa gene. Although a lambda gene rearrangement corresponding to the minor lambda-positive population was not detected, a small monoclonal (M) band of IgM-lambda was present in the serum. The chromosome translocations and the pattern of light chain expression, particularly the lambda-producing cells, are discussed in the light of the restricted light chain expression observed in Burkitt's lymphomas with variant translocations involving the light chain genes.","['Brito-Babapulle, V', 'Melo, J V', 'Foroni, L', 'Robinson, D', 'Parreira, L', 'Brozovic, M', 'Catovsky, D']","['Brito-Babapulle V', 'Melo JV', 'Foroni L', 'Robinson D', 'Parreira L', 'Brozovic M', 'Catovsky D']",['eng'],"['Case Reports', 'Journal Article']",,United States,Int J Cancer,International journal of cancer,0042124,"['0 (Immunoglobulin Light Chains)', '0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulin lambda-Chains)']",IM,"['*B-Lymphocytes', 'Female', 'Humans', 'Immunoglobulin Light Chains/*genetics', 'Immunoglobulin kappa-Chains/*genetics', 'Immunoglobulin lambda-Chains/*genetics', 'Leukemia, Lymphoid/*genetics/immunology', 'Middle Aged', 'Phenotype', '*Translocation, Genetic']",1984/12/15 00:00,1984/12/15 00:01,['1984/12/15 00:00'],"['1984/12/15 00:00 [pubmed]', '1984/12/15 00:01 [medline]', '1984/12/15 00:00 [entrez]']",ppublish,Int J Cancer. 1984 Dec 15;34(6):769-73. doi: 10.1002/ijc.2910340606.,['10.1002/ijc.2910340606 [doi]'],,,,,,,,,,,,
6439596,NLM,MEDLINE,19850204,20200713,0234-5730 (Print) 0234-5730 (Linking),29,10,1984 Oct,[Partial red-cell aplasia of the bone marrow associated with hemoblastoses].,33-7,,"[""Idel'son, L I"", 'Ter-Grigorov, V S', 'Pivnik, A V', 'Koifman, M M', 'Kremenentskaia, A M']","[""Idel'son LI"", 'Ter-Grigorov VS', 'Pivnik AV', 'Koifman MM', 'Kremenentskaia AM']",['rus'],"['English Abstract', 'Journal Article']",Sochetanie partsial'noi krasnokletochnoi aplazii kostnogo mozga s gemoblastozami.,Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,,IM,"['Adult', 'Humans', 'Leukemia/*complications', 'Middle Aged', 'Myeloproliferative Disorders/*complications', 'Red-Cell Aplasia, Pure/*complications']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",ppublish,Gematol Transfuziol. 1984 Oct;29(10):33-7.,,,,,,,,,,,,,
6439593,NLM,MEDLINE,19850204,20141003,0016-450X (Print) 0016-450X (Linking),75,10,1984 Oct,In vitro cytotoxicity to various human tumor cell lines of a tumor cytotoxic factor(s) produced by human alveolar macrophages.,920-8,"When human alveolar macrophages (AM) obtained by lavage of the lungs of healthy donors were incubated in medium with or without lipopolysaccharide (LPS) they released a factor(s) with tumor cell killing activity. This tumor cytolytic and/or cytotoxic factor(s) (TCF) was assayed by measuring its effect in inhibiting target cell growth. TCF activity was not observed in the supernatant from cultures of LPS-treated hematopoietic malignant cell lines (monocytic leukemia, B-cell leukemia and T-cell leukemia cell lines). Human TCF was significantly cytotoxic to 13 of 15 solid-tumor cell lines tested and to 7 of 9 hematopoietic malignant cell lines, but not to two different normal, nontumorigenic cell lines. TCF-rich supernatants contained low levels of interferon (IFN) activity that were not significantly cytotoxic to A-375 melanoma cells. Human TCF and IFN-alpha or IFN-beta had additive cytotoxic effects. These data suggest that human TCF released by activated human AM may be of potential use in the treatment of malignant disseminated diseases.","['Sone, S', 'Mutsuura, S', 'Ishii, K', 'Shirahama, T', 'Tsubura, E']","['Sone S', 'Mutsuura S', 'Ishii K', 'Shirahama T', 'Tsubura E']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Japan,Gan,Gan,0151745,"['0 (Cytotoxins)', '0 (Interferon Type I)', '0 (Lipopolysaccharides)', '82115-62-6 (Interferon-gamma)']",IM,"['B-Lymphocytes/immunology', 'Cell Line', '*Cytotoxicity, Immunologic', 'Cytotoxins/*immunology/isolation & purification', 'Humans', 'Interferon Type I/immunology', 'Interferon-gamma/immunology', 'Lipopolysaccharides/immunology', 'Macrophage Activation', 'Macrophages/cytology/*immunology', 'Neoplasms/immunology', 'T-Lymphocytes/immunology']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",ppublish,Gan. 1984 Oct;75(10):920-8.,,,,,,,,,,,,,
6439592,NLM,MEDLINE,19850204,20141003,0016-450X (Print) 0016-450X (Linking),75,10,1984 Oct,Characterization of thymic lymphoid-stromal cell complex-forming cells in preleukemic AKR mice.,905-11,"A small population of normal thymic lymphocytes, like the majority of thymic leukemia cells, formed cellular complexes with thymic epithelium-like stromal cells in pseudoemperipolesis. The properties of the complex-forming cells in preleukemic AKR thymus were analyzed after separation of the cells into subpopulations on the basis of cell size and surface antigen expression by using a fluorescence-activated cell sorter. Complex-forming ability was associated with large cells and the following phenotypes: high Thy-1.1, low brain associated theta antigen, high H-2Kk, high Lyt-1, high gp70 and Ia negativity. These properties coincide in general with those of blast cells in the subcapsular zone of the thymus, which have been shown to consist mostly of complex-forming cells. The possible significance of complex formation of normal and leukemic thymocytes with thymic stromal cells is discussed.","['Hiai, H', 'Ardman, B']","['Hiai H', 'Ardman B']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,Japan,Gan,Gan,0151745,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (Fluoresceins)', '0 (Fluorescent Dyes)', '0 (Histocompatibility Antigens Class II)', '0 (Immune Sera)', '0 (Thiocyanates)', 'I223NX31W9 (Fluorescein-5-isothiocyanate)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Antigens, Surface/analysis', 'Female', 'Flow Cytometry', 'Fluorescein-5-isothiocyanate', 'Fluoresceins', 'Fluorescent Dyes', 'Histocompatibility Antigens Class II/analysis', 'Immune Sera', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred AKR', 'Preleukemia/*immunology', 'T-Lymphocytes/*immunology', 'Thiocyanates', 'Thymus Gland/immunology']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",ppublish,Gan. 1984 Oct;75(10):905-11.,,['N01-CO-65341/CO/NCI NIH HHS/United States'],,,,,,,,,,,
6439591,NLM,MEDLINE,19850204,20141003,0016-450X (Print) 0016-450X (Linking),75,10,1984 Oct,Studies on olivoretins indicate a requirement for a free hydroxyl group for teleocidin B activity.,837-40,"Three olivoretins, A, B and C (isolated from Streptoverticillium olivoreticuli), which are O-methylated teleocidin B isomers, were found to be biologically inactive. A fourth olivoretin, D, which has a free hydroxyl group and is identical to one of the four teleocidin B isomers, teleocidin B-4 (teleocidin B of Hirata) was biologically active. These findings indicate that the free primary hydroxyl group of teleocidin B isomers is necessary for activity. The effect on biological activity of the structural difference between des-O-methylolivoretin B (teleocidin B-1) and des-O-methylolivoretin C was also studied.","['Horiuchi, T', 'Fujiki, H', 'Suganuma, M', 'Hakii, H', 'Nakayasu, M', 'Hitotsuyanagi, Y', 'Aimi, N', 'Sakai, S', 'Endo, Y', 'Shudo, K']","['Horiuchi T', 'Fujiki H', 'Suganuma M', 'Hakii H', 'Nakayasu M', 'Hitotsuyanagi Y', 'Aimi N', 'Sakai S', 'Endo Y', 'Shudo K', 'et al.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,Japan,Gan,Gan,0151745,"['0 (Caenorhabditis elegans Proteins)', '0 (Carcinogens)', '0 (Carrier Proteins)', '0 (Lyngbya Toxins)', '0 (Receptors, Drug)', '0 (Receptors, Immunologic)', '0 (phorbol ester binding protein)', '0 (phorbol ester receptor)', '27974YJ83L (teleocidins)', '90297-52-2 (olivoretin)', 'EC 2.7.11.13 (Protein Kinase C)', 'EC 4.1.1.17 (Ornithine Decarboxylase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Animals', '*Caenorhabditis elegans Proteins', '*Carcinogens', 'Carrier Proteins', 'Cell Adhesion/drug effects', 'Cell Line', 'Enzyme Induction', 'Humans', 'Leukemia, Myeloid, Acute', '*Lyngbya Toxins/pharmacology/toxicity', 'Mice', 'Ornithine Decarboxylase/biosynthesis', '*Protein Kinase C', '*Receptors, Drug', 'Receptors, Immunologic/drug effects', 'Skin/enzymology', 'Structure-Activity Relationship', 'Tetradecanoylphorbol Acetate/metabolism']",1984/10/01 00:00,1984/10/01 00:01,['1984/10/01 00:00'],"['1984/10/01 00:00 [pubmed]', '1984/10/01 00:01 [medline]', '1984/10/01 00:00 [entrez]']",ppublish,Gan. 1984 Oct;75(10):837-40.,,,,,,,,,,,,,
6439375,NLM,MEDLINE,19850206,20190501,0267-0623 (Print) 0267-0623 (Linking),289,6459,1984 Dec 15,"Perianal abscess: ""Have I excluded leukaemia""?",1682,,"['Slater, D N']",['Slater DN'],['eng'],"['Case Reports', 'Journal Article']",,England,Br Med J (Clin Res Ed),British medical journal (Clinical research ed.),8302911,,IM,"['Abscess/*etiology', 'Anus Diseases/*etiology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/blood/complications/*diagnosis', 'Leukocyte Count', 'Male', 'Middle Aged']",1984/12/15 00:00,1984/12/15 00:01,['1984/12/15 00:00'],"['1984/12/15 00:00 [pubmed]', '1984/12/15 00:01 [medline]', '1984/12/15 00:00 [entrez]']",ppublish,Br Med J (Clin Res Ed). 1984 Dec 15;289(6459):1682. doi: 10.1136/bmj.289.6459.1682.,['10.1136/bmj.289.6459.1682 [doi]'],,PMC1443796,,,,,,,,,,
6439247,NLM,MEDLINE,19850211,20190609,0006-3002 (Print) 0006-3002 (Linking),778,3,1984 Dec 19,Calcium-induced heterogeneous changes in membrane potential detected by flow cytofluorimetry.,457-62,"Ionophore-induced changes in the cell-associated fluorescence of samples of approx. 50000 individual murine L1210 leukemia cells which had been incubated with the voltage-sensitive dye 3,3'-dihexyloctacarbocyanine iodide (DiOC6(3] were monitored by flow cytometry. The K+ ionophore valinomycin (1 microM) produced homogeneous changes in the fluorescence of the entire population, the magnitude of which was dependent upon the concentration of extracellular K+. These changes allowed the estimation of the potassium equilibrium potential of the cells, by the null-point method, to be -11.9 mV. The Ca2+ ionophore A23187 (500 nM) produced heterogeneous changes in fluorescence, with populations of both hyperpolarised and depolarised cells. In addition, the depolarised population underwent an apparent size change, with a reduction in cell volume. This heterogeneity of response resulted in a minimal change in the median fluorescence value for the whole population, which suggests that it would not have been detectable by methods dependent upon net population-averaged changes in fluorescence. Removal of extracellular Na+ or preincubation of cells with amiloride (500 microM) effectively eliminated the depolarised population. Removal of extracellular K+ increased the hyperpolarised population. These findings provide evidence for the presence of Ca2+-induced Na+ exchange and Ca2+-induced K+ efflux mechanisms in these cells which may be expressed simultaneously in the cell population.","['Hickman, J A', 'Blair, O C', 'Stepanowski, A L', 'Sartorelli, A C']","['Hickman JA', 'Blair OC', 'Stepanowski AL', 'Sartorelli AC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['2001-95-8 (Valinomycin)', '37H9VM9WZL (Calcimycin)', '9NEZ333N27 (Sodium)', 'RWP5GA015D (Potassium)', 'SY7Q814VUP (Calcium)']",IM,"['Animals', 'Calcimycin/pharmacology', 'Calcium/*pharmacology', 'Flow Cytometry', 'Leukemia L1210/metabolism', 'Membrane Potentials/*drug effects', 'Mice', 'Potassium/metabolism', 'Sodium/metabolism', 'Valinomycin/pharmacology']",1984/12/19 00:00,1984/12/19 00:01,['1984/12/19 00:00'],"['1984/12/19 00:00 [pubmed]', '1984/12/19 00:01 [medline]', '1984/12/19 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1984 Dec 19;778(3):457-62. doi: 10.1016/0005-2736(84)90394-8.,"['0005-2736(84)90394-8 [pii]', '10.1016/0005-2736(84)90394-8 [doi]']",['CA-02817/CA/NCI NIH HHS/United States'],,,,,,,,,,,
6439245,NLM,MEDLINE,19850131,20190613,0006-2960 (Print) 0006-2960 (Linking),23,23,1984 Nov 6,Major oligosaccharides in the glycoprotein of Friend murine leukemia virus: structure elucidation by one- and two-dimensional proton nuclear magnetic resonance and methylation analysis.,5628-37,"The highly microheterogeneous, N-glycosidically linked oligosaccharides in the glycoproteins of Friend murine leukemia virus (as produced by Eveline cells) were liberated with endo-beta-N-acetylglucosaminidase H and by alkaline hydrolysis. They were fractionated (as desialylated oligosaccharitols) by gel filtration and by concanavalin A affinity chromatography, and the major fractions were analyzed by methylation-gas chromatography-mass spectrometry, by digestion with exoglycosidases, and, especially, by one- and two-dimensional proton nuclear magnetic resonance spectroscopy. Guidelines for qualitative and quantitative analysis of complex oligosaccharide mixtures by NMR were worked out and the results compared with those obtained by methylation analysis. It was found that these major fractions consist of bi-, tri-, and tetraantennary oligosaccharitols of the ""complex"" type (comprising a minority of species with N-acetyllactosamine repeating units), which are, in part, substituted by nonreducing terminal Gal alpha (1----3) and/or bisecting GlcNAc beta (1----4) residues.","['Geyer, R', 'Geyer, H', 'Stirm, S', 'Hunsmann, G', 'Schneider, J', 'Dabrowski, U', 'Dabrowski, J']","['Geyer R', 'Geyer H', 'Stirm S', 'Hunsmann G', 'Schneider J', 'Dabrowski U', 'Dabrowski J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Biochemistry,Biochemistry,0370623,"['0 (Glycoproteins)', '0 (Oligosaccharides)', '0 (Viral Proteins)', 'EC 3.2.1.- (Glycoside Hydrolases)', 'EC 3.2.1.52 (Acetylglucosaminidase)', 'EC 3.2.1.96 (Mannosyl-Glycoprotein Endo-beta-N-Acetylglucosaminidase)']",IM,"['Acetylglucosaminidase/metabolism', 'Carbohydrate Conformation', 'Chromatography, Affinity', 'Chromatography, Gel', 'Friend murine leukemia virus/*analysis', 'Glycoproteins/*analysis', 'Glycoside Hydrolases/metabolism', 'Hydrogen-Ion Concentration', 'Hydrolysis', 'Magnetic Resonance Spectroscopy', 'Mannosyl-Glycoprotein Endo-beta-N-Acetylglucosaminidase', 'Methylation', 'Oligosaccharides/*isolation & purification/metabolism', 'Viral Proteins/*analysis']",1984/11/06 00:00,1984/11/06 00:01,['1984/11/06 00:00'],"['1984/11/06 00:00 [pubmed]', '1984/11/06 00:01 [medline]', '1984/11/06 00:00 [entrez]']",ppublish,Biochemistry. 1984 Nov 6;23(23):5628-37. doi: 10.1021/bi00318a038.,['10.1021/bi00318a038 [doi]'],,,,,,,,,,,,
