PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,SI,GS,RF,PMC,GR,CON,CIN,OID,OAB,OABL,OTO,OT,GN,EIN,RIN
1468989,NLM,MEDLINE,19930127,20190723,0021-8820 (Print) 0021-8820 (Linking),45,11,1992 Nov,"A new indolopyrrolocarbazole antitumor substance, ED-110, a derivative of BE-13793C.",1797-8,,"['Tanaka, S', 'Ohkubo, M', 'Kojiri, K', 'Suda, H', 'Yamada, A', 'Uemura, D']","['Tanaka S', 'Ohkubo M', 'Kojiri K', 'Suda H', 'Yamada A', 'Uemura D']","['New Drug Discovery Research Laboratories, Tsukuba Research Institute, Banyu Pharmaceutical Co., Ltd., Japan.']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)', '0 (Carbazoles)', '0 (Glucosides)', '0 (Indoles)', '0 (Pyrroles)', '133805-03-5 (BE 13793C)', '139112-73-5 (ED 110)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*chemical synthesis/therapeutic use', 'Carbazoles/*chemical synthesis/therapeutic use', 'Female', 'Glucosides/*chemical synthesis/therapeutic use', 'Indoles/*chemistry', 'Leukemia P388/drug therapy', 'Mice', 'Molecular Structure', 'Pyrroles/*chemistry']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,J Antibiot (Tokyo). 1992 Nov;45(11):1797-8. doi: 10.7164/antibiotics.45.1797.,,['10.7164/antibiotics.45.1797 [doi]'],,,,,,,,,,,,,,,
1468775,NLM,MEDLINE,19930127,20190722,0046-8177 (Print) 0046-8177 (Linking),23,12,1992 Dec,Tissue invasion by Pneumocystis carinii: a possible cause of cavitary pneumonia and pneumothorax.,1380-7,"Pulmonary cavitation and pneumothorax may complicate severe cases of Pneumocystis carinii pneumonia. Both complications likely result from tissue necrosis, although how such injury occurs is unknown. To investigate mechanisms of tissue destruction in P carinii pneumonia, histochemical, immunocytochemical, and electron microscopic studies were conducted in pulmonary wedge resections or autopsy specimens from patients with the acquired immunodeficiency syndrome (n = 7) or leukemia (n = 2). Tissue invasion, defined as Pneumocystis organisms in the interstitial compartment, was present in eight of nine cases. Organisms were found in alveolar septa (eight cases), pleura (six cases), and vessel walls (two cases). All cases with tissue invasion exhibited regional necrosis as well as extensive invasion of apparently viable parenchyma. Pulmonary cavitation occurred in seven of eight cases with tissue invasion, and six of these patients developed pneumothoraces. Despite extensive tissue invasion and necrosis there was little host inflammatory or stromal response. Ultrastructurally, both the tissue-invasive and intra-alveolar organisms were predominantly of the trophozoite form; they were present in much greater numbers than suggested by routine silver stains (which detect only cysts). Immunocytochemical techniques, which detect both trophozoite and cyst forms, were much more sensitive than silver stains. These results indicate that extensive tissue invasion by P carinii can occur in severe P carinii pneumonia. We hypothesize that such invasion is an important step in the development of pulmonary necrosis, cavitation, and pneumothorax.","['Murry, C E', 'Schmidt, R A']","['Murry CE', 'Schmidt RA']","['Department of Pathology, University of Washington Medical Center, Seattle 98195.']",['eng'],['Journal Article'],United States,Hum Pathol,Human pathology,9421547,,IM,"['Adolescent', 'Adult', 'Aged', 'Autopsy', 'Biopsy', 'Female', 'Humans', 'Immunohistochemistry', 'Lung/*microbiology/pathology/ultrastructure', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Pneumocystis/*isolation & purification/physiology', 'Pneumonia, Pneumocystis/diagnosis/*etiology/pathology', 'Pneumothorax/diagnosis/*etiology/pathology', 'Silver Staining']",1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Hum Pathol. 1992 Dec;23(12):1380-7. doi: 10.1016/0046-8177(92)90058-b.,,"['0046-8177(92)90058-B [pii]', '10.1016/0046-8177(92)90058-b [doi]']",,,,,,,,,,,,,,,
1468755,NLM,MEDLINE,19930128,20190819,0309-0167 (Print) 0309-0167 (Linking),21,6,1992 Dec,The morphological spectrum of monocytoid B-cell lymphoma and its relationship to lymphomas of mucosa-associated lymphoid tissue.,555-61,"We report 10 cases of monocytoid B-cell lymphoma, five of which had extranodal lymphomas of mucosa-associated lymphoid tissue (MALT) type. In one patient the MALT lymphoma in the salivary gland was microscopic. In another, the small bowel lymphoma, which preceded the monocytoid B-cell lymphoma by 11 years, showed different clonal immunoglobulin gene rearrangements. Attention is drawn to the extreme degree of plasmacytic differentiation and epithelioid cell infiltration that may occur in monocytoid B-cell lymphoma. In addition to the cytological and immunophenotypic likeness of monocytoid B-cells and centrocyte-like cells, monocytoid B-cell and MALT lymphomas share a number of micro-anatomical and behavioural characteristics. These include the sharp separation of the monocytoid B-cells and plasma cells, follicular colonization and progression to high-grade lymphoma. It is suggested that the frequent association of monocytoid B-cell lymphoma with Sjogren's syndrome may be due to the fact that the salivary glands drain to cervical lymph nodes that are part of the systemic, rather than the mucosal, lymphocyte circulation pathway.","['Ortiz-Hidalgo, C', 'Wright, D H']","['Ortiz-Hidalgo C', 'Wright DH']","['Department of Pathology, Southampton General Hospital, UK.']",['eng'],['Journal Article'],England,Histopathology,Histopathology,7704136,['0 (Biomarkers)'],IM,"['Aged', 'Aged, 80 and over', 'Autoimmune Diseases/complications', 'Biomarkers', 'Epithelioid Cells/pathology', 'Female', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology/pathology', '*Lymphocyte Activation', 'Lymphoma, B-Cell/complications/*immunology/*pathology', 'Lymphoma, Non-Hodgkin/immunology/pathology', 'Male', 'Middle Aged', 'Plasma Cells/pathology']",1992/12/01 00:00,1992/12/01 00:01,['1992/12/01 00:00'],"['1992/12/01 00:00 [pubmed]', '1992/12/01 00:01 [medline]', '1992/12/01 00:00 [entrez]']",ppublish,Histopathology. 1992 Dec;21(6):555-61. doi: 10.1111/j.1365-2559.1992.tb00444.x.,,['10.1111/j.1365-2559.1992.tb00444.x [doi]'],,,,,,,,,,,,,,,
1468725,NLM,MEDLINE,19930127,20180216,0301-0147 (Print) 0301-0147 (Linking),22,4,1992,Elastase activity in leukemic cells.,216-20,"Elastase, a proteolytic enzyme which digests different clotting factors, has previously been isolated from monocytes, macrophages and granulocytes. In the present work, we have isolated leukemic cells from 1 patient with acute lymphoblastic leukemia (ALL) and from 6 patients with acute nonlymphoblastic leukemia. Detectable elastase activity was found in the cells from all patients with acute nonlymphoblastic leukemia and ranged from 0.016 to 0.619 mukat/l/micrograms DNA. The highest elastase activity was found in 1 patient with promyelocytic leukemia (M3), and no activity was found in the cells from the patient with ALL. It is possible that elastase-mediated proteolysis of coagulation factors is the mechanism responsible for bleeding complications which are frequent in M3.","['Tornebohm, E', 'Lockner, D', 'Paul, C', 'Egberg, N']","['Tornebohm E', 'Lockner D', 'Paul C', 'Egberg N']","['Department of Internal Medicine, Huddinge University Hospital, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Haemostasis,Haemostasis,0371574,"['0 (DNA, Neoplasm)', '0 (Neoplasm Proteins)', 'EC 3.4.21.36 (Pancreatic Elastase)']",IM,"['Bone Marrow/pathology', 'DNA, Neoplasm/analysis', 'Hemorrhagic Disorders/etiology', 'Humans', 'Leukemia, Myeloid, Acute/complications/*enzymology', 'Neoplasm Proteins/*analysis', 'Neoplastic Stem Cells/enzymology', 'Pancreatic Elastase/*analysis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*enzymology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Haemostasis. 1992;22(4):216-20. doi: 10.1159/000216322.,,['10.1159/000216322 [doi]'],,,,,,,,,,,,,,,
1468720,NLM,MEDLINE,19930127,20180216,0301-0147 (Print) 0301-0147 (Linking),22,4,1992,Imbalance between thrombin and plasmin activity in disseminated intravascular coagulation. Assessment by the thrombin-antithrombin-III complex/plasmin-alpha-2-antiplasmin complex ratio.,179-86,"We investigated the imbalance between thrombin and plasmin activity in vivo with various grades of severity of disseminated intravascular coagulation (DIC) in relation to the underlying diseases. Plasma thrombin-antithrombin-III complex (TAT) and plasmin-alpha 2-antiplasmin complex (PAP) levels were measured in 133 blood samples obtained from patients with DIC. The TAT/PAP ratio was higher in patients with sepsis or solid cancer than in those with hematologic malignancies. In acute promyelocytic leukemia (APL), the TAT levels were the highest, but the PAP levels were even higher and the TAT/PAP ratio was the lowest. As for the severity of DIC, in mild DIC, both thrombin and plasmin activities were increased. In moderate DIC, the TAT/PAP ratio increased, and thrombin activity was much more predominant. However, in severe DIC, the ratio decreased, and plasmin activity became excessive. In 3 patients with acute myeloblastic leukemia, APL and pancreatic cancer, respectively, the PAP level remained high during heparin therapy although the TAT level was decreased. When tranexamic acid was given, the PAP level was selectively reduced, and the TAT/PAP ratio was markedly decreased along with clinical improvement. These results indicate that monitoring of the TAT/PAP ratio may contribute to decisions regarding the institution and performance of combination therapy for DIC using anticoagulants and antifibrinolytic agents.","['Kario, K', 'Matsuo, T', 'Kodama, K', 'Matsuo, M', 'Yamamoto, K', 'Kobayashi, H']","['Kario K', 'Matsuo T', 'Kodama K', 'Matsuo M', 'Yamamoto K', 'Kobayashi H']","['Department of Internal Medicine, Hyogo Prefectural Awaji Hospital, Japan.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Haemostasis,Haemostasis,0371574,"['0 (alpha-2-Antiplasmin)', '0 (antithrombin III-protease complex)', '9000-94-6 (Antithrombin III)', 'EC 3.4.- (Peptide Hydrolases)', 'EC 3.4.21.5 (Thrombin)', 'EC 3.4.21.7 (Fibrinolysin)']",IM,"['Adenocarcinoma/blood/complications', 'Aged', 'Antithrombin III/analysis', 'Disseminated Intravascular Coagulation/*blood/etiology', 'Female', 'Fibrinolysin/*analysis', 'Humans', 'Leukemia, Myeloid, Acute/blood/complications', 'Leukemia, Promyelocytic, Acute/blood/complications', 'Male', 'Middle Aged', 'Pancreatic Neoplasms/blood/complications', 'Peptide Hydrolases/analysis', 'Severity of Illness Index', 'Thrombin/*analysis', 'alpha-2-Antiplasmin/analysis']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Haemostasis. 1992;22(4):179-86. doi: 10.1159/000216317.,,['10.1159/000216317 [doi]'],,,,,,,,,,,,,,,
1468582,NLM,MEDLINE,19930125,20190620,0014-5793 (Print) 0014-5793 (Linking),314,3,1992 Dec 21,Soluble interferon-alpha receptor molecules are present in body fluids.,445-8,"Soluble forms of the interferon-alpha receptor (sIFN-alpha R) were identified in human serum and urine by Western blotting with monoclonal antibodies (MAb) directed against IFN-alpha R, and by immunoprecipitation (Iptn) of a covalently cross-linked complex of IFN-alpha R and [125I]IFN-alpha with anti IFN-alpha MAb. Elevated levels of sIFN-alpha R were found in sera of hairy cell leukemia patients. The soluble receptor from serum migrated as a 55 kDa protein in SDS-PAGE, and, as expected, the cross-linked product migrated as a 75 kDa protein. The soluble receptor from urine was found to be a protein of mol. wt. 45 kDa and its cross-linked complex migrated as a 65 kDa protein. The calculated mol. wt. of the entire extracellular domain of the IFN-alpha R prior to post-translational modifications is 47,000. Since there are 12 potential glycosylation points in this extracellular domain, its actual mol. wt. may be as high as 70,000 Da. It is therefore concluded that sIFN-alpha R molecules, corresponding to truncated forms of the extracellular domain of the cell surface IFN-alpha R, are present in human serum and in normal human urine.","['Novick, D', 'Cohen, B', 'Rubinstein, M']","['Novick D', 'Cohen B', 'Rubinstein M']","['Weizmann Institute of Science, Department of Molecular Genetics and Virology, Rehovot, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,"['0 (Interferon-alpha)', '0 (Receptors, Interferon)']",IM,"['Animals', 'Blood', 'Blotting, Western', 'Body Fluids/*chemistry', 'Humans', '*Interferon-alpha', 'Leukemia, Hairy Cell/blood/urine', 'Mice', 'Mice, Inbred BALB C', 'Receptors, Interferon/*analysis', 'Solubility', 'Urine']",1992/12/21 00:00,1992/12/21 00:01,['1992/12/21 00:00'],"['1992/12/21 00:00 [pubmed]', '1992/12/21 00:01 [medline]', '1992/12/21 00:00 [entrez]']",ppublish,FEBS Lett. 1992 Dec 21;314(3):445-8. doi: 10.1016/0014-5793(92)81523-o.,,"['0014-5793(92)81523-O [pii]', '10.1016/0014-5793(92)81523-o [doi]']",,,,,,,,,,,,,,,
1468576,NLM,MEDLINE,19930125,20190620,0014-5793 (Print) 0014-5793 (Linking),314,3,1992 Dec 21,Verapamil reverses the ultrastructural alterations in the plasma membrane induced by drug resistance.,404-8,"Two P388 cell sublines with different levels of resistance to daunomycin (DNM), P388/20 and P388/100 cells (approximately 20- and 100-fold resistance, respectively), undergo a significant (approximately 2-fold) increase in the number of intramembrane particles (IMPs) present at their plasma membrane, as compared to that exhibited by the parental, drug-sensitive P388 (P388/S) cell line. Regardless of the level of resistance, incubation of drug-resistant cells with verapamil, a well known reverting agent of anthracycline resistance, restores the morphology of the plasma membrane in these cells, yielding a pattern in which the number and size distribution of IMPs at both leaflets of the bilayer, become undistinguishable from those displayed by drug-sensitive cells. Furthermore, verapamil did not affect the ultrastructural organization of the plasma membrane of drug-sensitive cells. It is possible that the alterations in the structural organization of the plasma membrane of the antineoplastic-resistant tumor cells, might represent a reliable 'marker' for early diagnosis of drug resistance.","['Garcia-Segura, L M', 'Soto, F', 'Planells-Cases, R', 'Gonzalez-Ros, J M', 'Ferragut, J A']","['Garcia-Segura LM', 'Soto F', 'Planells-Cases R', 'Gonzalez-Ros JM', 'Ferragut JA']","['Cajal Institute, C.S.I.C., Madrid, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,"['0 (Membrane Glycoproteins)', 'CJ0O37KU29 (Verapamil)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Cell Membrane/*drug effects/ultrastructure', 'Daunorubicin/*pharmacology', 'Drug Resistance', 'Freeze Fracturing', 'Leukemia P388', 'Membrane Glycoproteins', 'Mice', 'Phenotype', 'Tumor Cells, Cultured', 'Verapamil/*pharmacology']",1992/12/21 00:00,1992/12/21 00:01,['1992/12/21 00:00'],"['1992/12/21 00:00 [pubmed]', '1992/12/21 00:01 [medline]', '1992/12/21 00:00 [entrez]']",ppublish,FEBS Lett. 1992 Dec 21;314(3):404-8. doi: 10.1016/0014-5793(92)81515-n.,,"['0014-5793(92)81515-N [pii]', '10.1016/0014-5793(92)81515-n [doi]']",,,,,,,,,,,,,,,
1468541,NLM,MEDLINE,19930127,20071115,0301-472X (Print) 0301-472X (Linking),20,9,1992 Oct,Composition and functional integrity of the in vitro hemopoietic microenvironment in acute myelogenous leukemia: effect of macrophage colony-stimulating factor.,1077-84,"In the present work, we have investigated the composition and hemopoietic supportive capacity of eleven normal and six acute myelogenous leukemia (AML) marrow-derived stromal adherent layers, established in the absence or in the presence of recombinant human colony-stimulating factor 1 (rhCSF-1, macrophage colony-stimulating factor). Two of six AML adherent layers were deficient in composition (i.e., no confluency, reduced numbers of macrophages and fibroblastic progenitors, and no fat cell formation), resulting in reduced CSF-1 production and a poor hemopoietic supportive capacity (assessed by the ability of an irradiated stroma to sustain the growth of myeloid, erythroid, and multipotential progenitors derived from a second innoculum of normal bone marrow). Four out of six AML adherent layers showed levels of macrophages, fibroblastic progenitors, fat cells, and CSF-1 similar to those observed in adherent layers from normal bone marrow; however, their capacity to sustain normal hemopoiesis was still significantly reduced. The deficient hemopoietic supportive capacity of all AML adherent layers correlated with the presence of a soluble activity in the culture supernatant that inhibited hemopoietic colony formation. Addition of rhCSF-1 during the establishment of AML adherent layers significantly increased their hemopoietic supportive capacity. In contrast, the hemopoietic supportive capacity of normal adherent layers was reduced by rhCSF-1. The opposite effects of rhCSF-1 on the hemopoietic supportive capacity of normal and AML adherent layers correlated with the levels of the soluble inhibitory activity, that is, increased levels in cultures containing rhCSF-1-treated normal adherent layers, and slightly reduced levels in cultures of rhCSF-1-treated AML layers. These results indicate that, despite a morphologically normal composition in most cases (four out of six), the hemopoietic microenvironment developed in long-term marrow culture (LTMC) from all AML marrows analyzed has a deficient hemopoietic supportive capacity, due, at least in part, to the production of hemopoietic inhibitor(s). Such a deficiency can be partially overcome by establishing the stroma layers in the presence of rhCSF-1.","['Mayani, H', 'Guilbert, L J', 'Clark, S C', 'Belch, A R', 'Janowska-Wieczorek, A']","['Mayani H', 'Guilbert LJ', 'Clark SC', 'Belch AR', 'Janowska-Wieczorek A']","['Department of Medicine, University of Alberta, Edmonton, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Recombinant Proteins)', '81627-83-0 (Macrophage Colony-Stimulating Factor)']",IM,"['Bone Marrow/drug effects/pathology', 'Hematopoiesis/physiology', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia, Myeloid, Acute/blood/*physiopathology', 'Macrophage Colony-Stimulating Factor/*pharmacology', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured/drug effects/metabolism/pathology']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Exp Hematol. 1992 Oct;20(9):1077-84.,,,,,,,,,['Exp Hematol. 1992 Oct;20(9):1041-2. PMID: 1468538'],,,,,,,,
1468540,NLM,MEDLINE,19930127,20211203,0301-472X (Print) 0301-472X (Linking),20,9,1992 Oct,Methylation status of c-myc oncogene in leukemic cells: hypomethylation in acute leukemia derived from myelodysplastic syndromes.,1061-4,"DNA methylation plays an important role in gene regulation. We have analyzed the methylation status of CCGG sites in and around the human proto-oncogene c-myc in blood cells from patients with acute and chronic leukemias and with myelodysplastic syndromes using restriction endonucleases. The 5' region of c-myc was unequivocally hypomethylated in all the 58 specimens studied, including 10 from normal bone marrow and 1 from human placenta. In contrast, the 3' region was hypermethylated in a great majority of cases. However, this region was hypomethylated in 1 of 12 patients with de novo acute myeloid leukemia, 1 of 6 patients with chronic myeloid leukemia, and 4 of 5 patients with acute myeloid leukemia preceded by a documented stage of myelodysplastic syndromes. One possible mechanism for the 3' region of c-myc to have remained hypomethylated may be a ""delayed methylation"" during transforming events toward a more aggressive stage of the disease, but the precise mechanism is unknown.","['Tsukamoto, N', 'Morita, K', 'Karasawa, M', 'Omine, M']","['Tsukamoto N', 'Morita K', 'Karasawa M', 'Omine M']","['Third Department of Internal Medicine, Gunma University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (DNA, Neoplasm)', '0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins c-myc)']",IM,"['Acute Disease', 'Base Sequence', 'Blotting, Southern', 'DNA, Neoplasm/analysis/genetics/metabolism', 'Genes, myc/*genetics', 'Humans', 'Leukemia, Myeloid/etiology/*genetics/metabolism', 'Methylation', 'Myelodysplastic Syndromes/complications/*genetics/metabolism', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins c-myc/genetics/metabolism']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Exp Hematol. 1992 Oct;20(9):1061-4.,,,,,,,,,,,,,,,,,
1468539,NLM,MEDLINE,19930127,20131121,0301-472X (Print) 0301-472X (Linking),20,9,1992 Oct,Use of etoposide in combination with cyclosporin for purging multidrug-resistant leukemic cells from bone marrow in a mouse model.,1048-54,"Cyclosporin (CsA) is a potent modulator of multidrug resistance (MDR) and has been combined with etoposide (VP-16) to purge MDR leukemic cells from human bone marrow (BM) in vitro. We studied the feasibility of this approach in an in vivo model for autologous BM transplantation using the murine leukemia cell line P388 and its MDR variant P388/ADR. Colony-forming assays with 2-h drug exposure revealed a tumor selectivity of VP-16 for P388 cells compared to normal murine marrow granulocyte-macrophage colony-forming units (CFU-GM), whereas P388/ADR cells were resistant to VP-16. Simultaneous incubation with CsA restored sensitivity in these cells. Almost 4 logs of cell kill were achieved by treating P388/ADR cells with 60 microM VP-16 plus 2.5 microM CsA (combination A) or 40 microM VP-16 plus 10 microM CsA (combination B), whereas there was a 2.5-log reduction of CFU-GM at these doses. Even though the myelotoxicity of VP-16 was increased by the addition of CsA, this effect was nonspecific as shown by a similar chemosensitization in sensitive P388 as well as in P388/VP 2.5 cells, an atypical MDR variant lacking P-glycoprotein. In vivo experiments addressed the ability of BM treated with VP-16 and CsA to rescue lethally irradiated mice and to purge leukemic cells. In total, 1/14 lethally irradiated mice died due to sepsis within 10 days after receiving 15 x 10(6) BM cells treated ex vivo with combination A in contrast to 1/4 for combination B. All 16 surviving animals demonstrated long-term engraftment. When simulated remission marrow contaminated with 0.1% P388/ADR was purged with VP-16 (60 microM) or CsA (2.5 microM) alone, all mice died from leukemia before day 16 after transplantation (median 14.3 and 12.2 days). In contrast, nine of ten animals receiving similar marrow purged with combination A survived > 60 days without any evidence of disease (p < 0.01). We conclude that combining VP-16 and CsA was effective in purging MDR leukemia cells from transplanted BM in this murine model.","['Kuhl, J S', 'Sikic, B I', 'Blume, K G', 'Chao, N J']","['Kuhl JS', 'Sikic BI', 'Blume KG', 'Chao NJ']","['Department of Medicine, Stanford University School of Medicine, California.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Exp Hematol,Experimental hematology,0402313,"['0 (Drug Combinations)', '6PLQ3CP4P3 (Etoposide)', '83HN0GTJ6D (Cyclosporine)']",IM,"['Animals', 'Bone Marrow/drug effects', 'Bone Marrow Purging/*methods', 'Cyclosporine/*pharmacology', 'Disease Models, Animal', 'Drug Combinations', 'Drug Resistance/genetics', 'Drug Therapy, Combination', 'Etoposide/*pharmacology', 'Leukemia, Experimental/*genetics', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Tumor Cells, Cultured']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Exp Hematol. 1992 Oct;20(9):1048-54.,,,,['mdr1'],,,['CA 49605/01-03/CA/NCI NIH HHS/United States'],,,,,,,,,,
1468538,NLM,MEDLINE,19930127,20071115,0301-472X (Print) 0301-472X (Linking),20,9,1992 Oct,"Is the marrow stroma of AML patients a ""leukemic"" stroma?",1041-2,,"['Greenberger, J S']",['Greenberger JS'],,['eng'],"['Comment', 'Editorial']",Netherlands,Exp Hematol,Experimental hematology,0402313,,IM,"['Bone Marrow/*pathology', 'Hematopoietic Stem Cells/pathology', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/blood/genetics/*pathology']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",ppublish,Exp Hematol. 1992 Oct;20(9):1041-2.,,,,,,,,['Exp Hematol. 1992 Oct;20(9):1077-84. PMID: 1468541'],,,,,,,,,
1468452,NLM,MEDLINE,19930127,20190813,0340-6199 (Print) 0340-6199 (Linking),151,11,1992 Nov,Chlorinated hydrocarbons in the bone marrow of children: studies on their association with leukaemia.,802-5,"Concentrations of chlorinated hydrocarbons and polychlorinated biphenyls (PCB) were determined by capillary column gas chromatography in samples of bone marrow from 38 children with leukaemia (16 samples/pools) and 15 control (5 pools). The highest mean and median concentrations were detected for total PCB (mean = 3.568 mg/kg fat basis/median 2.904 mg/kg) followed by the sum of the dichlorodiphenyltrichloroethane metabolites (1.775/1.059 mg/kg), hexachlorobenzene 0.354/0.260 mg/kg), the sum of the hexachlorocyclohexane isomers (0.133/0.093 mg/kg) and dieldrin (0.109/0.063 mg/kg). The CHC and PCB concentrations in bone marrow were two- to threefold higher than in fat tissue. Comparing children with and without leukaemia similar concentrations of CHC and PCB were found.","['Scheele, J', 'Teufel, M', 'Niessen, K H']","['Scheele J', 'Teufel M', 'Niessen KH']","[""Children's Hospital Mannheim, University of Heidelberg, Federal Republic of Germany.""]",['eng'],['Journal Article'],Germany,Eur J Pediatr,European journal of pediatrics,7603873,"['0 (Hydrocarbons, Chlorinated)', '0 (Pesticides)', 'DFC2HB4I0K (Polychlorinated Biphenyls)']",IM,"['Bone Marrow/*chemistry', 'Case-Control Studies', 'Child', 'Humans', 'Hydrocarbons, Chlorinated/*analysis', '*Leukemia, Myeloid, Acute', 'Pesticides/analysis', 'Polychlorinated Biphenyls/*analysis', '*Precursor Cell Lymphoblastic Leukemia-Lymphoma']",1992/11/01 00:00,1992/11/01 00:01,['1992/11/01 00:00'],"['1992/11/01 00:00 [pubmed]', '1992/11/01 00:01 [medline]', '1992/11/01 00:00 [entrez]']",ppublish,Eur J Pediatr. 1992 Nov;151(11):802-5. doi: 10.1007/BF01957928.,,['10.1007/BF01957928 [doi]'],,,,,,,,,,,,,,,
1468337,NLM,MEDLINE,19930122,20190907,8755-1039 (Print) 1097-0339 (Linking),8,6,1992,Fine-needle aspiration cytology of metastatic breast tumor originating from leukemia.,605-8,"Two cases of metastatic breast tumor originating from leukemia are reported. Fine-needle aspiration (FNA) specimens showed a large number of isolated small-to-medium-sized atypical lymphocytic cells. It is difficult to distinguish metastatic breast tumors and primary breast cancers by physical findings alone. FNA cytology is an effective method for qualitative diagnosis. When atypical lymphocytic cells are obtained in aspiration materials of the breast, past history and general examination are necessary for diagnosis. In some cases of leukemia with breast involvement, good outcomes are obtained. Therefore, earlier detection is necessary in order to begin suitable therapy earlier and to avoid unnecessary excisional biopsy in patients with leukemia and breast tumors. To achieve this it is also necessary to first take into consideration the possibility of metastasis or infiltration of leukemia, and second to prepare two types of specimen for Papanicolaou stain and Giemsa stain before operation.","['Miura, H', 'Konaka, C', 'Kawate, N', 'Kato, H', 'Miura, R', 'Ebihara, Y']","['Miura H', 'Konaka C', 'Kawate N', 'Kato H', 'Miura R', 'Ebihara Y']","['Department of Surgery, Tokyo Medical College, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,Diagn Cytopathol,Diagnostic cytopathology,8506895,,IM,"['Biopsy, Needle', 'Blast Crisis/pathology', 'Breast Neoplasms/*pathology/*secondary/ultrastructure', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*pathology', 'Middle Aged', 'Neoplasm Invasiveness', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Diagn Cytopathol. 1992;8(6):605-8. doi: 10.1002/dc.2840080614.,,['10.1002/dc.2840080614 [doi]'],,,,,,,,,,,,,,,
