PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,IP,AB,PMC,SI,CIN,TT,GS,CON,EIN,PS,FPS
7578017,NLM,MEDLINE,19951215,20190613,0006-2960 (Print) 0006-2960 (Linking),34,1995 Oct 31,Regulation of human interleukin-8 receptor A: identification of a phosphorylation site involved in modulating receptor functions.,14193-201,"['Richardson, R M', 'DuBose, R A', 'Ali, H', 'Tomhave, E D', 'Haribabu, B', 'Snyderman, R']","['Richardson RM', 'DuBose RA', 'Ali H', 'Tomhave ED', 'Haribabu B', 'Snyderman R']","['Department of Medicine, Duke University Medical Center, Durham, North Carolina 27710, USA.']",['eng'],['DE-03738/DE/NIDCR NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Alkaloids)', '0 (Antigens, CD)', '0 (DNA, Complementary)', '0 (Epitopes)', '0 (Interleukin-8)', '0 (Receptors, Interleukin)', '0 (Receptors, Interleukin-8A)', '2ZD004190S (Threonine)', '452VLY9402 (Serine)', 'EC 2.7.11.13 (Protein Kinase C)', 'H88EPA0A3N (Staurosporine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Alkaloids/pharmacology', 'Amino Acid Sequence', 'Animals', 'Antigens, CD/chemistry/genetics/*metabolism', 'Binding Sites', 'DNA, Complementary', 'Epitopes/metabolism', 'Humans', 'Interleukin-8/pharmacology', 'Molecular Sequence Data', 'Mutation', 'Phosphorylation', 'Precipitin Tests', 'Protein Kinase C/antagonists & inhibitors', 'Rats', 'Receptors, Interleukin/chemistry/genetics/*metabolism', 'Receptors, Interleukin-8A', 'Serine/metabolism', 'Staurosporine', 'Tetradecanoylphorbol Acetate/pharmacology', 'Threonine/metabolism', 'Tumor Cells, Cultured', '*Up-Regulation']",1995/10/31 00:00,1995/10/31 00:01,['1995/10/31 00:00'],"['1995/10/31 00:00 [pubmed]', '1995/10/31 00:01 [medline]', '1995/10/31 00:00 [entrez]']",['10.1021/bi00043a025 [doi]'],ppublish,Biochemistry. 1995 Oct 31;34(43):14193-201. doi: 10.1021/bi00043a025.,,43,"The human type A interleukin-8 receptor (IL-8RA) was modified to express an amino-terminal epitope tag and stably overexpressed in a rat basophilic leukemia cell line (RBL-2H3). This receptor (ET-IL-8RA) displayed functional properties similar to those of the native receptor in neutrophils in that exposure to IL-8 stimulated GTPase activity, phosphoinositide (PI) hydrolysis, intracellular calcium mobilization, and degranulation in a pertussis toxin (PTx) susceptible fashion. IL-8 induced dose- and time-dependent phosphorylation of ET-IL-8RA. Phorbol 12-myristate 13-acetate (PMA) treatment also resulted in phosphorylation of the receptor although to a lesser extent. Staurosporine totally blocked PMA-induced phosphorylation but only partially inhibited IL-8-mediated phosphorylation. Phosphorylation of ET-IL-8RA correlated with its desensitization as measured by GTPase activation and calcium mobilization. To determine the role of phosphorylation in IL-8RA signal transduction, three mutants lacking specific serine and threonine residues located at the C-terminal of this receptor were constructed by site-directed mutagenesis (M1, M2, and M3). The mutated receptors expressed in RBL-2H3 cells displayed pharmacological properties (Kd approximately 2-2.8 nM and Bmax approximately 3-3.5 pmol/mg of protein) similar to those of the wild-type ET-IL-8RA. M2 and M3, but not M1, showed a marked decrease in IL-8-induced phosphorylation compared to the wild-type receptor. M2 and M3 but not M1 were resistant to PMA-mediated phosphorylation and desensitization and were also more resistant to homologous desensitization than M1 or ET-IL-8RA.(ABSTRACT TRUNCATED AT 250 WORDS)",,,,,,,,,
7577964,NLM,MEDLINE,19951214,20190613,0006-2960 (Print) 0006-2960 (Linking),34,1995 Oct 24,Reduced albumin binding promotes the stability and activity of topotecan in human blood.,13722-8,"['Mi, Z', 'Malak, H', 'Burke, T G']","['Mi Z', 'Malak H', 'Burke TG']","['Division of Pharmaceutics, College of Pharmacy, Ohio State University, Columbus 43210-1291, USA.']",['eng'],"['CA 63653/CA/NCI NIH HHS/United States', 'RR-08119/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Lactones)', '0 (Serum Albumin)', '0 (Topoisomerase I Inhibitors)', '5MB77ICE2Q (9-aminocamptothecin)', '7673326042 (Irinotecan)', '7M7YKX2N15 (Topotecan)', 'XT3Z54Z28A (Camptothecin)']",IM,"['Antineoplastic Agents/*blood/chemistry/metabolism/*pharmacology', 'Apoptosis/drug effects', 'Camptothecin/*analogs & derivatives/blood/chemistry/metabolism/pharmacology', 'DNA, Neoplasm/drug effects', 'Drug Stability', 'Electrophoresis, Agar Gel', 'Flow Cytometry', 'Fluorescence Polarization', 'HL-60 Cells', 'Humans', 'Irinotecan', 'Lactones/metabolism', 'Molecular Structure', 'Serum Albumin/*metabolism/pharmacology', 'Topoisomerase I Inhibitors', 'Topotecan']",1995/10/24 00:00,1995/10/24 00:01,['1995/10/24 00:00'],"['1995/10/24 00:00 [pubmed]', '1995/10/24 00:01 [medline]', '1995/10/24 00:00 [entrez]']",['10.1021/bi00042a002 [doi]'],ppublish,Biochemistry. 1995 Oct 24;34(42):13722-8. doi: 10.1021/bi00042a002.,,42,"Topotecan, a semisynthetic water-soluble analogue of camptothecin, is the first topoisomerase I targeting anticancer agent to enter comparative phase III clinical trials. Here we elucidate the biophysical factors underlying the markedly improved bloodstream stability and cytotoxic activity of topotecan relative to camptothecin. Each agent contains an alpha-hydroxy-delta-lactone ring that hydrolyzes under physiological pH to yield a biologically-inactive carboxylate form. In human plasma, camptothecin lactone converts rapidly and completely to its carboxylate form due to a 200-fold binding preference by serum albumin (HSA) for the latter [Mi, Z., & Burke, T.G. (1994) Biochemistry 33, 10540-12545]. Time-resolved fluorescence anisotropy measurements reveal that neither topotecan lactone nor carboxylate associates with HSA, thereby resulting in a significantly higher level of lactone stability in plasma for topotecan (t1/2 = 23.1 min, percent lactone at equilibrium of 17.6) relative to camptothecin (t1/2 = 10.6 min, percent lactone at equilibrium of < 0.2). Moreover, studies with HL-60 human promyelocytic leukemia cells reveal that a physiologically-relevant level (40 mg/mL) of HSA dramatically attenuates the cytotoxic activity of camptothecin in excess of 2600-fold (for a 72 h exposure, the IC50 value of 1.5 nM in the absence of HSA increased to 4 microM in the presence of HSA). The activities of other clinically relevant anticancer analogues, 9-aminocamptothecin and SN-38, were also strongly modulated by the presence of 40 mg/mL HSA. In marked contrast, the presence of HSA effected no change on the cytotoxic activity of topotecan (IC50 = 12 nM both in the absence and in presence of HSA).(ABSTRACT TRUNCATED AT 250 WORDS)",,,,,,,,,
7577807,NLM,MEDLINE,19951212,20190512,0953-8178 (Print) 0953-8178 (Linking),7,1995 Jun,Suppression of adult T cell leukemia-derived factor/human thioredoxin induction by FK506 and cyclosporin A: a new mechanism of immune modulation via redox control.,985-93,"['Furuke, K', 'Nakamura, H', 'Hori, T', 'Iwata, S', 'Maekawa, N', 'Inamoto, T', 'Yamaoka, Y', 'Yodoi, J']","['Furuke K', 'Nakamura H', 'Hori T', 'Iwata S', 'Maekawa N', 'Inamoto T', 'Yamaoka Y', 'Yodoi J']","['Institute for Virus Research, Kyoto University, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int Immunol,International immunology,8916182,"['0 (Adjuvants, Immunologic)', '0 (Cytokines)', '0 (Growth Inhibitors)', '0 (Immunosuppressive Agents)', '0 (Interleukin-2)', '0 (Neoplasm Proteins)', '0 (Polyenes)', '0 (RNA, Messenger)', '0 (Recombinant Proteins)', '0 (adult T cell leukemia-derived factor)', '52500-60-4 (Thioredoxins)', '83HN0GTJ6D (Cyclosporine)', 'W36ZG6FT64 (Sirolimus)', 'WM0HAQ4WNM (Tacrolimus)']",IM,"['Adjuvants, Immunologic/*pharmacology', 'Cyclosporine/*pharmacology', 'Cytokines/biosynthesis/*drug effects/genetics', 'Growth Inhibitors/pharmacology', 'Humans', 'Immunosuppressive Agents/pharmacology', 'Interleukin-2/pharmacology', 'Leukocytes, Mononuclear/drug effects', 'Neoplasm Proteins/biosynthesis/*drug effects/genetics', 'Oxidation-Reduction/drug effects', 'Polyenes/pharmacology', 'RNA, Messenger/analysis', 'Recombinant Proteins/pharmacology', 'Sirolimus', 'Tacrolimus/*pharmacology', 'Thioredoxins/biosynthesis/*drug effects/genetics']",1995/06/01 00:00,1995/06/01 00:01,['1995/06/01 00:00'],"['1995/06/01 00:00 [pubmed]', '1995/06/01 00:01 [medline]', '1995/06/01 00:00 [entrez]']",['10.1093/intimm/7.6.985 [doi]'],ppublish,Int Immunol. 1995 Jun;7(6):985-93. doi: 10.1093/intimm/7.6.985.,,6,"Adult T cell leukemia-derived factor (ADF), which is identical to a disulfide reducing enzyme human thioredoxin (TRX), is produced and released by activated or virus-infected lymphocytes. Here we report that, in peripheral blood mononuclear cells (PBMC) stimulated with phytohemagglutinin (PHA), ADF/TRX mRNA was induced within 8 h after stimulation as detected by in situ hybridization study. To analyze the mechanism of ADF/TRX induction during T cell activation, the effects of immunosuppressants including FK506, rapamycin (Rap) and cyclosporin A (CsA) on ADF/TRX expression were investigated by immunoblot analysis. ADF/TRX induction in PBMC by PHA, Con A or OKT3 mAb was almost completely suppressed by FK506. Whereas CsA also inhibited ADF/TRX expression in OKT3 mAb-stimulated PBMC, Rap failed to affect it in spite of exhibiting growth inhibition. In addition, exogenous IL-2 could not increase ADF/TRX production in FK506-treated PBMC or in PHA blasts. These results indicate that ADF/TRX induction in T cell activation depends on calcineurin-dependent events in the early phase and that IL-2 production is not directly involved in ADF/TRX induction. Furthermore, when recombinant ADF (rADF) was added to a culture of PBMC 1 h before the addition of PHA and FK506, the action of FK506 was partially reversed as determined by [3H]thymidine incorporation and viable cell counts. These results suggest that ADF/TRX produced and released from PBMC may be a crucial event in lymphocyte activation, and that FK506 and CsA may exert the immune suppression partly through inhibiting the induction of the endogenous reducing factor ADF/TRX.",,,,,,,,,
7577680,NLM,MEDLINE,19951206,20190909,0925-4773 (Print) 0925-4773 (Linking),52,1995 Jul,Hox gene products modulate the DNA binding activity of Pbx1 and Pbx2.,99-108,"['van Dijk, M A', 'Peltenburg, L T', 'Murre, C']","['van Dijk MA', 'Peltenburg LT', 'Murre C']","['Department of Biology, University of California, San Diego, La Jolla 92093, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Ireland,Mech Dev,Mechanisms of development,9101218,"['0 (DNA-Binding Proteins)', '0 (Homeodomain Proteins)', '0 (PBX2 protein, human)', '0 (Pre-B-Cell Leukemia Transcription Factor 1)', '0 (Proto-Oncogene Proteins)', '0 (pbx1 protein, human)', '9007-49-2 (DNA)']",IM,"['Animals', 'Base Sequence', 'Binding Sites', 'Binding, Competitive', 'DNA/metabolism', 'DNA-Binding Proteins/*metabolism', 'Homeodomain Proteins/*metabolism', 'Humans', 'Molecular Sequence Data', 'Plasmids', 'Pre-B-Cell Leukemia Transcription Factor 1', 'Proto-Oncogene Proteins/*metabolism']",1995/07/01 00:00,1995/07/01 00:01,['1995/07/01 00:00'],"['1995/07/01 00:00 [pubmed]', '1995/07/01 00:01 [medline]', '1995/07/01 00:00 [entrez]']","['092547739500394G [pii]', '10.1016/0925-4773(95)00394-g [doi]']",ppublish,Mech Dev. 1995 Jul;52(1):99-108. doi: 10.1016/0925-4773(95)00394-g.,,1,"A new family of homeodomain proteins has recently been identified that includes extradenticle, ceh-20 and three mammalian proteins Pbx1, Pbx2 and Pbx3. We show here that two members of this family, Pbx1 and Pbx2 bind cooperatively to DNA with both Hoxb-7 and Hoxb-8. Engrailed-2 modulates the DNA binding activity of the Pbx proteins to a different target site. E2A-Pbx1, a chimeric Pbx1 gene product involved in pre-B acute lymphoblastoid leukemia, has retained its ability to interact with the Hox proteins. These data show that vertebrate Hox and Pbx gene products have the ability to bind cooperatively to DNA.",,,,,,,,,
7577660,NLM,MEDLINE,19951204,20190705,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Corticosteroid resistance is increased in lymphoblasts from adults compared with children: preliminary results of in vitro drug sensitivity study in adults with acute lymphoblastic leukaemia.,93-100,"['Maung, Z T', 'Reid, M M', 'Matheson, E', 'Taylor, P R', 'Proctor, S J', 'Hall, A G']","['Maung ZT', 'Reid MM', 'Matheson E', 'Taylor PR', 'Proctor SJ', 'Hall AG']","['Leukaemia Research Fund Remission Unit, University of Newcastle upon Tyne.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents, Hormonal)', '0 (Coloring Agents)', '0 (Tetrazolium Salts)', '0 (Thiazoles)', 'EUY85H477I (thiazolyl blue)']",IM,"['Adrenal Cortex Hormones/*pharmacology', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents, Hormonal/*pharmacology', 'Child', 'Coloring Agents', 'Disease-Free Survival', 'Drug Resistance, Neoplasm', 'Drug Screening Assays, Antitumor', 'Humans', 'Lymphocytes/*drug effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/pathology', 'Prospective Studies', 'Tetrazolium Salts', 'Thiazoles', 'Tumor Cells, Cultured']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05251.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):93-100. doi: 10.1111/j.1365-2141.1995.tb05251.x.,,1,"The prognosis of acute lymphoblastic leukaemia (ALL) in adults is poor compared with children in terms of complete remission (CR) and leukaemia-free survival. In children in vitro resistance of leukaemic cells to various cytotoxic agents is an independent poor prognostic marker, but the relevance of in vitro drug resistance in adults to poor prognosis has not been described. Lymphoblasts from 16 adults and 32 children with ALL at initial presentation were assayed for in vitro drug sensitivity in a short-term culture system using the reduction of 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide (MTT) as an indicator of cell viability. The following drugs were tested: prednisolone, daunorubicin, mitozantrone, etoposide, melphalan and 6-thioguanine. At initial presentation, lymphoblasts from adults demonstrated a significantly higher degree of in vitro resistance to prednisolone than those from children (P < 0.01). Glucocorticoid resistance may be a fundamental difference between adult and childhood ALL which may underlie different biological aspects and also explain the difference in prognosis. Lymphoblasts from adults who achieved CR were more sensitive in vitro to prednisolone (P = 0.07), daunorubicin (P < 0.05), mitozantrone (P < 0.01) and melphalan (P < 0.05) than cells from those who did not. The MTT assay can predict response to induction chemotherapy in adults and therefore discriminate between standard- and high-risk patients. The assay, however, is not suitable for selection of the most effective agent for treatment because of in vitro cross-resistance of lymphoblasts to various drugs tested.",,,,,,,,,
7577645,NLM,MEDLINE,19951204,20190705,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Fatal haemoptysis in filamentous mycosis.,254-5,"['Dykhuizen, R S', 'Kerr, K N', 'Soutar, R L']","['Dykhuizen RS', 'Kerr KN', 'Soutar RL']",,['eng'],,"['Comment', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Acute Disease', 'Hemoptysis/*etiology', 'Humans', 'Leukemia/*complications', 'Lung Diseases, Fungal/*complications', 'Mucormycosis/*complications']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05281.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):254-5. doi: 10.1111/j.1365-2141.1995.tb05281.x.,,1,,,,,,,['Br J Haematol. 1995 Mar;89(3):500-5. PMID: 7734347'],,,
7577641,NLM,MEDLINE,19951204,20190705,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Interleukin-3 priming in acute myeloid leukaemia patients.,234-44,"['Tafuri, A', 'de Felice, L', 'Goodacre, A', 'Fenu, S', 'Petrucci, M T', 'Valentini, T', 'Alimena, G', 'Petti, M C', 'Meloni, G', 'Mandelli, F']","['Tafuri A', 'de Felice L', 'Goodacre A', 'Fenu S', 'Petrucci MT', 'Valentini T', 'Alimena G', 'Petti MC', 'Meloni G', 'Mandelli F', 'et al.']","['Department of Human Biopathology, University La Sapienza, Rome, Italy.']",['eng'],"['CA16672/CA/NCI NIH HHS/United States', 'CA55164/CA/NCI NIH HHS/United States', 'CA57639/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Cytokines)', '0 (Interleukin-3)', '0 (Recombinant Proteins)']",IM,"['Acute Disease', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow/pathology', 'Cell Cycle', 'Combined Modality Therapy', 'Cytokines/pharmacology', 'Humans', 'Interleukin-3/*therapeutic use', 'Leukemia, Myeloid/blood/pathology/*therapy', 'Recombinant Proteins/therapeutic use', 'Tumor Cells, Cultured']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05276.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):234-44. doi: 10.1111/j.1365-2141.1995.tb05276.x.,,1,"Several studies have demonstrated that G-CSF, GM-CSF and, in particular, IL-3 can effectively recruit acute myeloid leukaemia (AML) blasts into the cell cycle, resulting in a significant increase in cytosine-arabinoside (Ara-C) mediated cytotoxicity in vitro. Since IL-3 has shown biological and clinical activity, we investigated the cell kinetic effects of rIL-3 and high-dose Ara-C/idarubicin in three patients with refractory AML selected for the presence of chromosome 7 monosomy; this enabled differentiation between the effects of IL-3 on leukaemic and on normal cells. The in vivo administration of rhIL-3 (250 micrograms/m2d s.c. for 6-10d) recruited AML blasts into the cell cycle in two of the three patients, and this effect resulted in an increase in in vitro growth of clonogenic cells (CFU-L) and of their S-phase fraction. The percentage of leukaemic cells with monosomy 7 increased only in the two cases who showed a proliferative response. Normal cells were not recruited, even when rhIL-3 was administered for up to 10 d. In vitro studies showed an increased Ara-C cytotoxicity on clonogenic AML cells, in particular with IL-3 plus GM-CSF, thus confirming the priming effects of IL-3 in the two responding cases. The results of this study suggest that rhIL-3 can selectively recruit leukaemic cells into the cell cycle. Although leukaemic blasts can be sensitized to Ara-C, other mechanisms of primary blast resistance may limit the clinical benefit of kinetic-based approaches.",,,,,,,,,
7577639,NLM,MEDLINE,19951204,20211203,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Soluble c-kit molecule in serum from healthy individuals and patients with haemopoietic disorders.,23-9,"['Kawakita, M', 'Yonemura, Y', 'Miyake, H', 'Ohkubo, T', 'Asou, N', 'Hayakawa, K', 'Nakamura, M', 'Kitoh, T', 'Osawa, H', 'Takatsuki, K']","['Kawakita M', 'Yonemura Y', 'Miyake H', 'Ohkubo T', 'Asou N', 'Hayakawa K', 'Nakamura M', 'Kitoh T', 'Osawa H', 'Takatsuki K', 'et al.']","['Second Department of Internal Medicine, Kumamoto University School of Medicine, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (MAS1 protein, human)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Mas)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Acute Disease', 'Blotting, Western', 'Cell Line', 'Enzyme-Linked Immunosorbent Assay', 'Hematologic Diseases/*blood', 'Humans', 'Leukemia/*blood', 'Leukemia, Myeloid/blood/drug therapy', 'Male', 'Megakaryocytes/metabolism', 'Myelodysplastic Syndromes/blood', 'Neoplasm Proteins/blood', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins c-kit/*blood', 'Reference Values', 'Solubility']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05239.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):23-9. doi: 10.1111/j.1365-2141.1995.tb05239.x.,,1,"The proto-oncogene, c-kit, encodes a transmembrane tyrosine kinase receptor (KIT) and plays an important role in haemopoiesis. We have identified a 95 kD soluble form of KIT (S-KIT) in culture supernatant of human megakaryoblastic cell line, CMK. To study the physiological significance of S-KIT, we have established a sensitive sandwich ELISA system. Serum samples from healthy individuals contained detectable amounts of S-KIT. Next, we determined a total of 220 samples from 134 patients with haemopoietic disorders. A considerable number of patients with acute myeloid leukaemia (AML), especially those with more immature phenotypes (M0, M1 or M2) had elevated levels of serum S-KIT. Those levels decreased to the normal range after effective chemotherapy. In chronic myeloid leukaemia, patients with myeloid blastic crisis showed markedly elevated levels of serum S-KIT. In contrast, S-KIT levels decreased in cases with either acute or chronic lymphoid leukaemia. There was a tendency for patients with severe aplastic anaemia to show decreased levels, but it was not significant. In myelodysplastic syndrome, S-KIT levels appeared to vary by subsets, with higher concentration in more advanced forms of the disease. Although the functional role of S-KIT is not yet elucidated, these results suggest that the serum S-KIT levels may reflect the pathological states of various haematological disorders.",,,,,,,,,
7577633,NLM,MEDLINE,19951204,20190705,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Options for therapy in chronic myeloid leukaemia.,2-7,"['Spencer, A', ""O'Brien, S G"", 'Goldman, J M']","['Spencer A', ""O'Brien SG"", 'Goldman JM']","['LRF Centre for Adult Leukaemia, Haematology Department, Royal Postgraduate Medical School, London.']",['eng'],,"['Journal Article', 'Review']",England,Br J Haematol,British journal of haematology,0372544,['0 (Interferon-alpha)'],IM,"['Bone Marrow Transplantation', 'Decision Making', 'Humans', 'Interferon-alpha/therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Transplantation, Autologous', 'Transplantation, Homologous']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05236.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):2-7. doi: 10.1111/j.1365-2141.1995.tb05236.x.,50,1,,,,,,,,,,
7577627,NLM,MEDLINE,19951204,20190705,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Expression of interleukin-5 receptors on acute myeloid leukaemia cells: association with immunophenotype and karyotype.,169-72,"['Nishii, K', 'Kita, K', 'Nadim, M', 'Miwa, H', 'Ohoishi, K', 'Yamaguchi, M', 'Shirakawa, S']","['Nishii K', 'Kita K', 'Nadim M', 'Miwa H', 'Ohoishi K', 'Yamaguchi M', 'Shirakawa S']","['Second Department of Internal Medicine, Mie University School of Medicine, Tsu, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,"['0 (Receptors, Interleukin)', '0 (Receptors, Interleukin-5)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Base Sequence', 'CD4-Positive T-Lymphocytes/*immunology', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 8', 'Female', 'Humans', 'Immunophenotyping', 'Karyotyping', 'Leukemia, Myeloid/*genetics/immunology', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Receptors, Interleukin/*metabolism', 'Receptors, Interleukin-5', 'Translocation, Genetic']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05264.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):169-72. doi: 10.1111/j.1365-2141.1995.tb05264.x.,,1,"Eosinophilia sometimes occurs in acute myeloid leukaemia (AML) and several laboratories have reported that cells with the t(8;21) or structural abnormalities of chromosome 16 can proliferate and differentiate to eosinophils in the presence of IL-5 in vitro. However, cases without these chromosomal abnormalities can also have eosinophilia. We investigated the association between the expression of IL-5 receptor (IL-5R) gene, karyotype and phenotype in 35 patients with AML. All cases expressed the IL-3R but the IL-5R gene was expressed predominantly in leukaemic cells with either t(8;21) or CD4-positive immunophenotype and was associated with the presence of eosinophilia.",,,,,,,,,
7577625,NLM,MEDLINE,19951204,20190705,0007-1048 (Print) 0007-1048 (Linking),91,1995 Sep,Large-cell anaplastic non-Hodgkin's lymphoma originating in donor cells after allogenic bone marrow transplantation.,162-6,"['Schouten, H C', 'Hopman, A H', 'Haesevoets, A M', 'Arends, J W']","['Schouten HC', 'Hopman AH', 'Haesevoets AM', 'Arends JW']","['Department of Internal Medicine, University Hospital Maastricht/University Limburg Maastricht, The Netherlands.']",['eng'],,"['Case Reports', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,,IM,"['*Bone Marrow Transplantation', 'Female', 'Herpesviridae Infections/complications', 'Herpesvirus 4, Human/*isolation & purification', 'Humans', 'In Situ Hybridization, Fluorescence', 'Lymphoma, Large-Cell, Anaplastic/*virology', 'Middle Aged', 'Neoplasms, Second Primary/pathology/*virology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Transplantation, Homologous', 'Tumor Virus Infections/complications']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1111/j.1365-2141.1995.tb05262.x [doi]'],ppublish,Br J Haematol. 1995 Sep;91(1):162-6. doi: 10.1111/j.1365-2141.1995.tb05262.x.,,1,"Second neoplasms after allogenic bone marrow transplantation (BMT) occur in donor cells; however, host origin generally cannot be excluded. Using fluorescence in situ hybridization (FISH) the origin of the malignant population can be proven indisputably. In a female patient with CD30+ large-cell anaplastic non-Hodgkin's lymphoma (LCAL) after BMT with an HLA-identical brother donor, FISH using anti-CD30 immunocytochemistry in combination with anti-Y- and anti-EBV RNA probes was applied. In pathological lymph nodes the majority of cells were of donor type (Y). CD30-positive cells were Y-positive; these cells were also EBV-positive. Using FISH and immunocytochemistry we have demonstrated convincingly that this, possibly EBV-induced, LCAC originated in donor cells.",,,,,,,,,
