PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,GR,EIN,CI,TT,SI,CIN,PMC,CON,CN,DEP,LID,OID,SFM,OTO,OT,IR,FIR,IRAD,GN,OAB,OABL,MID,CRI
11571020,NLM,MEDLINE,20011011,20201208,0955-3002 (Print) 0955-3002 (Linking),77,8,2001 Aug,Involvement of c-Jun NH2-terminal kinase-1 in heat-induced apoptotic cell death of human monoblastic leukaemia U937 cells.,867-74,"PURPOSE: To determine the involvement of c-Jun NH(2)-terminal kinase-1 (JNK1) and possibly of HSP27 in heat-induced apoptosis of human monoblastic leukaemia U937 cells. MATERIALS AND METHODS: Dominant negative JNK1 (APF), in which the phosphorylation sites Thr-Pro-Tyr were changed to Ala-Pro-Phe, was overexpressed in U937 cells. Cell viability and DNA fragmentation were analysed by the erythrosin-B dye exclusion test and by agarose gel electrophoresis, respectively. Expression of activated caspase-9, phosphorylated JNK1, JNK2, p38 and HSP27 was examined by Western blotting. JNK1 kinase assay was also performed using c-Jun as a substrate. RESULTS: Loss of viability, activated cleavage form of caspase-9 and DNA fragmentation were rapid in U937 cells after 44 degrees C hyperthermia, while overexpression of dominant negative JNK1 interfered with phosphorylation or activation of JNK1 without affecting that of JNK2 or p38/SAPK, and apparently delayed or reduced cleavage and activation of caspase-9, DNA fragmentation and cell death. Heat-induced phosphorylation of HSP27, observed in parental U937 cells, was suppressed and only slightly detectable in jnk1 mutant cells. CONCLUSIONS: Prolonged phosphorylation or activation of JNK1 was considered important for heat-induced apoptosis and JNK1 may control the process possibly through phosphorylation of HSP27 and caspase-9 activation in U937 cells.","['Enomoto, A', 'Suzuki, N', 'Liu, C', 'Kang, Y', 'Zhu, J', 'Serizawa, S', 'Matsumoto, Y', 'Morita, A', 'Ito, M', 'Hosoi, Y']","['Enomoto A', 'Suzuki N', 'Liu C', 'Kang Y', 'Zhu J', 'Serizawa S', 'Matsumoto Y', 'Morita A', 'Ito M', 'Hosoi Y']","['Department of Radiation Oncology, Graduate School of Medicine, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku Toyko 113-0033, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int J Radiat Biol,International journal of radiation biology,8809243,IM,"['Apoptosis/*physiology', 'Base Sequence', 'Caspase 9', 'Caspases/metabolism', 'DNA Fragmentation', 'DNA Primers/genetics', 'Enzyme Activation', 'Enzyme Precursors/metabolism', 'HSP27 Heat-Shock Proteins', '*Heat-Shock Proteins', 'Hot Temperature', 'Humans', 'Mitogen-Activated Protein Kinase 8', 'Mitogen-Activated Protein Kinases/genetics/*metabolism', 'Molecular Chaperones', 'Mutation', 'Neoplasm Proteins/metabolism', 'Phosphorylation', 'U937 Cells']",2001/09/26 10:00,2001/10/12 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2001/10/12 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.1080/09553000110062512 [doi]'],ppublish,Int J Radiat Biol. 2001 Aug;77(8):867-74. doi: 10.1080/09553000110062512.,"['0 (DNA Primers)', '0 (Enzyme Precursors)', '0 (HSP27 Heat-Shock Proteins)', '0 (HSPB1 protein, human)', '0 (Heat-Shock Proteins)', '0 (Molecular Chaperones)', '0 (Neoplasm Proteins)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinase 8)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)', 'EC 3.4.22.- (CASP9 protein, human)', 'EC 3.4.22.- (Caspase 9)', 'EC 3.4.22.- (Caspases)']",,,,,,,,,,,,,,,,,,,,,,,,
11570967,NLM,MEDLINE,20020625,20191105,1470-1626 (Print) 1470-1626 (Linking),122,4,2001 Oct,Cloning of rat interleukin 11 and interleukin 11 receptor alpha chain and analysis of their expression in rat uterus in the peri-implantation period.,593-600,"Studies in mice have shown that interleukin 11 (IL-11) signalling is required for female fertility. In the absence of IL-11, decidualization is markedly retarded and implantation fails. IL-11 acts via a heterodimeric receptor composed of a ligand-specific receptor alpha chain (IL-11R alpha) and the signalling moiety gp130. This study reports the cloning of genes encoding rat IL-11 and IL-11R alpha. RNase protection was used to demonstrate that expression of IL-11 is upregulated in the rat uterus at the initiation of implantation at 5.5 days after mating. Expression of the genes encoding the two receptor components, IL11Ra and gp130, did not change throughout the peri-implantation period. In situ hybridization studies revealed that, as in mice, expression of IL-11 was high in the primary decidual zone at the time of the attachment reaction, whereas IL11Ra was expressed throughout primary and secondary decidua. Conservation of the temporal and spatial expression of IL-11 and IL-11R alpha in the uterus of the mouse and rat during the peri-implantation period will facilitate future studies investigating the role of IL-11 in fertility.","['Li, R', 'Hartley, L', 'Robb, L']","['Li R', 'Hartley L', 'Robb L']","['The Walter and Eliza Hall Institute of Medical Research and the Cooperative Research Centre for Cellular Growth Factors, PO Royal Melbourne Hospital, Victoria 3050, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Reproduction,"Reproduction (Cambridge, England)",100966036,IM,"['Amino Acid Sequence', 'Animals', 'Blotting, Northern', 'Cloning, Molecular', 'Decidua/metabolism', '*Embryo Implantation', 'Female', 'Humans', 'In Situ Hybridization/methods', 'Interleukin-11/*genetics', 'Interleukin-11 Receptor alpha Subunit', 'Interleukin-6', 'Leukemia Inhibitory Factor', 'Mice', 'Molecular Chaperones/genetics', 'Molecular Sequence Data', 'Morpholines/analysis', '*Proteins', 'Rats', 'Rats, Wistar', 'Receptors, Interleukin/*genetics', 'Receptors, Interleukin-11', 'Sequence Alignment', 'Uterus/*metabolism']",2001/09/26 10:00,2002/06/26 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/06/26 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.1530/rep.0.1220593 [doi]'],ppublish,Reproduction. 2001 Oct;122(4):593-600. doi: 10.1530/rep.0.1220593.,"['0 (IL11RA protein, human)', '0 (Il11ra1 protein, mouse)', '0 (Il11ra1 protein, rat)', '0 (Il11ra2 protein, mouse)', '0 (Interleukin-11)', '0 (Interleukin-11 Receptor alpha Subunit)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Molecular Chaperones)', '0 (Morpholines)', '0 (Proteins)', '0 (Receptors, Interleukin)', '0 (Receptors, Interleukin-11)', '42013-48-9 (2-phenyl-5,5-dimethyltetrahydro-1,4-oxazine)']",,,,,,,,,,,,,,,,,,,,,,,,
11570956,NLM,MEDLINE,20020625,20191105,1470-1626 (Print) 1470-1626 (Linking),122,4,2001 Oct,"Oxidative stress, DNA damage and the Y chromosome.",497-506,"Recent advances in understanding of male infertility have implicated two major causative factors, oxidative stress and Y chromosome deletions. A major cause of oxidative stress appears to be the high rate of reactive oxygen species generation associated with the retention of excess residual cytoplasm in the sperm midpiece. Other possible causes include the redox cycling of xenobiotics, and antioxidant depletion or apoptosis. Oxidative stress induces peroxidative damage in the sperm plasma membrane and DNA damage in both the mitochondrial and nuclear genomes. Nuclear DNA damage in the germ line of the father may be associated with pathology in the offspring, including childhood cancer and infertility. Gene deletions on the non-recombining region of the Y chromosome account for the infertility observed in about 15% of patients with azoospermia and 5-10% of subjects with severe oligozoospermia. The Y chromosome is particularly susceptible to gene deletions because of the inability of the haploid genome to deploy recombination repair in retrieving lost genetic information. Aberrant recombination, defective chromatin packaging, abortive apoptosis and oxidative stress may all be involved in the aetiology of DNA damage in the germ line. The factors responsible for Y chromosome deletions in spermatozoa remain unresolved but may be one facet of a central reproductive problem: controlling the amount of oxidative stress experienced by germ cells during their differentiation and maturation in the male reproductive tract.","['Aitken, R J', 'Krausz, C']","['Aitken RJ', 'Krausz C']","['School of Biological and Chemical Sciences, Centre for Life Sciences, University of Newcastle, University Drive, Callaghan, NSW 23008, Australia. jaitken@mail.newcastle.edu.au']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Reproduction,"Reproduction (Cambridge, England)",100966036,IM,"['Animals', 'Cell Differentiation', '*DNA Damage', 'DNA Fragmentation', 'DNA Replication', 'Evolution, Molecular', 'Gene Deletion', 'Humans', 'Infertility, Male/*genetics', 'Male', 'Oncogenes', '*Oxidative Stress', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Spermatogenesis', 'Spermatozoa/physiology', '*Y Chromosome']",2001/09/26 10:00,2002/06/26 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/06/26 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.1530/rep.0.1220497 [doi]'],ppublish,Reproduction. 2001 Oct;122(4):497-506. doi: 10.1530/rep.0.1220497.,,92,['281/B/Telethon/Italy'],,,,,,,,,,,,,,,,,,,,,,
11570925,NLM,MEDLINE,20011204,20210527,0003-9985 (Print) 0003-9985 (Linking),125,10,2001 Oct,"Cauda equina syndrome in a 65-year-old man, status post-bone marrow transplant for chronic myeloid leukemia.",1385-6,,"['Dalton, S R', 'Ririe, D W', 'Neuhauser, T S']","['Dalton SR', 'Ririe DW', 'Neuhauser TS']","['Department of Pathology, Wilford Hall Medical Center, Lackland AFB, Texas, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,IM,"['Aged', 'Antigens, CD34/analysis', 'Biopsy', '*Blast Crisis', 'Bone Marrow/pathology', '*Bone Marrow Transplantation', 'Cell Nucleus/pathology', 'Cytoplasm/pathology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/pathology/*therapy', 'Magnetic Resonance Imaging', 'Male', 'Polyradiculopathy/*etiology', 'Recurrence']",2001/09/26 10:00,2002/01/05 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.5858/2001-125-1385-PQC [doi]'],ppublish,Arch Pathol Lab Med. 2001 Oct;125(10):1385-6. doi: 10.5858/2001-125-1385-PQC.,"['0 (Antigens, CD34)']",,,,,,,,,,,,,,,,,,,,,,,,
11570817,NLM,MEDLINE,20011101,20131121,0014-4827 (Print) 0014-4827 (Linking),269,2,2001 Oct 1,Block of a mitochondrial-mediated apoptotic pathway in Tax-expressing murine fibroblasts.,245-55,"Although the viral transactivator Tax has been established as an essential effector of HTLV-I-mediated oncogenesis, its exact role(s) in the pathogenesis of HTLV-I-associated diseases, which include both a neurodegenerative pathology and leukemia/lymphoma, remains to be clarified. It was recently advanced that dysregulation of the apoptotic process can lead to pathophysiological changes which result in either degenerative diseases or cancer. As the apoptotic potential of Tax is still debated, we addressed this question by testing the susceptibility of Tax(+) and Tax(-) murine fibroblasts to apoptosis under conditions of growth factor withdrawal or treatment with TNFalpha, which trigger apoptosis through different pathways, i.e., mitochondrial and receptor-mediated pathways, respectively. Results showed that Tax-expressing cells are protected from apoptotic death induced by serum deprivation but are sensitive to TNFalpha-mediated apoptosis, suggesting that Tax expression has different effects on cell death, depending on the apoptotic stimulus used. Analysis of the mechanism(s) involved in the resistance to serum depletion-induced apoptosis indicated that Tax(+) cells do not undergo release of cytochrome c from the mitochondrial intermembrane space or redistribution of Bax from the cytosol to mitochondria, two phenomena critical to the mitochondrial apoptotic pathway.","['Saggioro, D', 'Barp, S', 'Chieco-Bianchi, L']","['Saggioro D', 'Barp S', 'Chieco-Bianchi L']","['Department of Oncology and Surgical Sciences-Oncology Section, IST, Viral and Molecular Oncology Section, University of Padova, Via Gattamelata 64, Padua, 35128, Italy. d.saggioro@unipd.it']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Cell Res,Experimental cell research,0373226,IM,"['Animals', '*Apoptosis', 'Blotting, Western', 'Cell Death', 'Cell Line', 'Cell Membrane/metabolism', 'Cycloheximide/pharmacology', 'Cytochrome c Group/metabolism', 'Cytosol/metabolism', 'Electrophoresis, Polyacrylamide Gel', 'Fibroblasts/*metabolism', 'Gene Products, tax/*biosynthesis', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic', 'Microscopy, Confocal', 'Microscopy, Fluorescence', 'Mitochondria/*metabolism', 'Protein Synthesis Inhibitors/pharmacology', 'Proto-Oncogene Proteins/metabolism', '*Proto-Oncogene Proteins c-bcl-2', 'Time Factors', 'Transcriptional Activation', 'Tumor Necrosis Factor-alpha/metabolism', 'bcl-2-Associated X Protein']",2001/09/26 10:00,2001/11/03 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2001/11/03 10:01 [medline]', '2001/09/26 10:00 [entrez]']","['10.1006/excr.2001.5310 [doi]', 'S0014-4827(01)95310-8 [pii]']",ppublish,Exp Cell Res. 2001 Oct 1;269(2):245-55. doi: 10.1006/excr.2001.5310.,"['0 (Bax protein, mouse)', '0 (Cytochrome c Group)', '0 (Gene Products, tax)', '0 (Protein Synthesis Inhibitors)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Tumor Necrosis Factor-alpha)', '0 (bcl-2-Associated X Protein)', '98600C0908 (Cycloheximide)']",,,,['Copyright 2001 Academic Press.'],,,,,,,,,,,,,,,,,,,,
11570513,NLM,MEDLINE,20020304,20190910,0172-8083 (Print) 0172-8083 (Linking),40,1,2001 Aug,Mechanisms involved in metalloid transport and tolerance acquisition.,2-12,"Toxic metalloids such as arsenic and antimony have always been an integral part of the natural environment. To survive in such a hostile habitat, it is crucial to develop strategies to exclude toxic substances from the cell and to acquire tolerance. Cells remove metalloids from the cytosol either by active efflux or by sequestration in an internal organelle. Controlling the influx appears to be another way of maintaining a low intracellular metalloid content. Inside the cell, the metalloid can be reduced to a form that is recognised by the expulsion system(s). In addition, metalloid complexation and compartmentalisation contributes to enhanced cellular tolerance. Finally, the presence of metalloids activates transcription of various cellular defence genes. Metalloid-containing drugs are currently used to treat protozoan infections and promyelocytic leukaemia. Since metalloid resistance hampers efficient treatment, interest in identifying the mechanisms involved in tolerance acquisition has arisen. The possibility of using genetic approaches has made the yeast Saccharomyces cerevisiae a compelling model system to investigate the basis of metalloid tolerance at a molecular level. This review describes the recent progress made in elucidating the mechanisms involved in metalloid transport and tolerance in yeast and other organisms.","['Tamas, M J', 'Wysocki, R']","['Tamas MJ', 'Wysocki R']","['Department of Cell and Molecular Biology/Microbiology, Goteburg University, Sweden. markus.tamas@gmm.gu.se']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Curr Genet,Current genetics,8004904,IM,"['Animals', 'Antimony/*pharmacokinetics/*toxicity', 'Arsenic/*pharmacokinetics/*toxicity', 'Biological Transport, Active', 'Drug Resistance, Bacterial', 'Drug Resistance, Fungal', 'Drug Tolerance', 'Escherichia coli/drug effects/genetics/metabolism', 'Gene Expression', 'Glutathione', 'Humans', 'Leishmania/drug effects/genetics/metabolism', 'Metalloproteins/metabolism', 'Metallothionein/metabolism', 'Nematoda/drug effects/genetics/metabolism', 'Phytochelatins', 'Saccharomyces cerevisiae/drug effects/genetics/metabolism', 'Signal Transduction', 'Symbiosis', 'Trypanosoma/drug effects/genetics/metabolism']",2001/09/26 10:00,2002/03/05 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/03/05 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.1007/s002940100234 [doi]'],ppublish,Curr Genet. 2001 Aug;40(1):2-12. doi: 10.1007/s002940100234.,"['0 (Metalloproteins)', '9038-94-2 (Metallothionein)', '98726-08-0 (Phytochelatins)', '9IT35J3UV3 (Antimony)', 'GAN16C9B8O (Glutathione)', 'N712M78A8G (Arsenic)']",102,,,,,,,,,,,,,,,,,,,,,,,
11570508,NLM,MEDLINE,20020215,20180928,0736-6205 (Print) 0736-6205 (Linking),31,3,2001 Sep,Flow cytometric assay for the simultaneous analysis of cell-mediated cytotoxicity and effector cell phenotype.,"660, 664-5",,"['Derby, E', 'Reddy, V', 'Baseler, M', 'Malyguine, A']","['Derby E', 'Reddy V', 'Baseler M', 'Malyguine A']","['SAIC Frederick, MD, USA.']",['eng'],['Journal Article'],England,Biotechniques,BioTechniques,8306785,IM,"['Animals', 'Antigens, CD/analysis', 'Antigens, Differentiation, T-Lymphocyte/analysis', 'CD56 Antigen/analysis', 'CD8 Antigens/analysis', 'Cell Separation/methods', '*Cytotoxicity, Immunologic', '*Flow Cytometry', 'Fluorescein-5-isothiocyanate', 'Fluorescent Dyes', 'Green Fluorescent Proteins', 'Humans', 'Immunophenotyping', 'Interleukin-2/pharmacology', 'Killer Cells, Lymphokine-Activated/immunology', 'Lectins, C-Type', 'Leukemia', 'Leukocytes, Mononuclear', 'Luminescent Proteins/genetics', 'Mice', '*Phenotype', 'Propidium/metabolism', 'Recombinant Proteins/pharmacology', 'T-Lymphocytes, Cytotoxic/*immunology', 'Tumor Cells, Cultured']",2001/09/26 10:00,2002/02/16 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/02/16 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.2144/01313dd03 [doi]'],ppublish,"Biotechniques. 2001 Sep;31(3):660, 664-5. doi: 10.2144/01313dd03.","['0 (Antigens, CD)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD56 Antigen)', '0 (CD69 antigen)', '0 (CD8 Antigens)', '0 (Fluorescent Dyes)', '0 (Interleukin-2)', '0 (Lectins, C-Type)', '0 (Luminescent Proteins)', '0 (Recombinant Proteins)', '147336-22-9 (Green Fluorescent Proteins)', '36015-30-2 (Propidium)', 'I223NX31W9 (Fluorescein-5-isothiocyanate)']",,,,,,,,,,,,,,,,,,,,,,,,
11570494,NLM,MEDLINE,20020215,20131121,0736-6205 (Print) 0736-6205 (Linking),31,3,2001 Sep,Parallel assessment of tyrosine phosphorylation and nuclear targeting of proteins.,"510, 512-4, 517, passim","Phosphotyrosine signaling plays a vital role in cell regulation--from receptor activation, through stimulation of signal networks and nuclear targeting, to final cellular responses. Here, we propose a new approach to monitor the spatial and temporal aspects of tyrosine phosphorylation and dephosphorylation. The method can be used to determine whether protein tyrosine phosphorylations and dephosphorylations occur in the cytosol or the nucleus and to ascertain whether such modifications are associated with nuclear traffic. Promyelocytic leukemia (HL-60) cells are used as the experimental model. Biotinylated cytosolic proteins from donor cells are used to trace nuclear transport in permeabilized recipient cells. Thereafter, 2-D gel electrophoresis is applied to fractionate the cytosolic and nuclear proteins of the recipient cells, which are subsequently blotted onto polyvinylidene difluoride membranes. The membranes are developed with streptavidin and then reprobed with anti-phosphotyrosine antibodies. The major advantages of the protocol are that it is simple to perform, and reproducible results are obtained by overlaying the patterns of biotinylated and/or tyrosine-phosphorylated proteins. Moreover, several hundred cytosolic and nuclear proteins can be analyzed in parallel. Thus, by comparing the 2-D gel electrophoresis maps of biotinylated and tyrosine-phosphor lated proteins, it is possible to determine the involvement of trafficking of the latter proteins in cell signaling.","['Kulyte, A', 'Navakauskiene, R', 'Treigyte, G', 'Gineitis, A', 'Magnusson, K E']","['Kulyte A', 'Navakauskiene R', 'Treigyte G', 'Gineitis A', 'Magnusson KE']","['Institute of Biochemistry, Vilnius, Lithuania. agnku@ihm.liu.se']",['eng'],"[""Research Support, Non-U.S. Gov't"", 'Technical Report']",England,Biotechniques,BioTechniques,8306785,IM,"['Biological Transport', 'Biotinylation', 'Cell Membrane Permeability', 'Cell Nucleus/chemistry/*metabolism', 'Cytosol/chemistry/metabolism', 'Digitonin/pharmacology', 'Electrophoresis, Gel, Two-Dimensional', 'HL-60 Cells', 'Humans', 'Nuclear Proteins/analysis/isolation & purification', 'Phosphorylation', 'Phosphotyrosine/analysis/*metabolism', 'Polyvinyls']",2001/09/26 10:00,2002/02/16 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/02/16 10:01 [medline]', '2001/09/26 10:00 [entrez]']",,ppublish,"Biotechniques. 2001 Sep;31(3):510, 512-4, 517, passim.","['0 (Nuclear Proteins)', '0 (Polyvinyls)', '21820-51-9 (Phosphotyrosine)', '24937-79-9 (polyvinylidene fluoride)', 'KOO5CM684H (Digitonin)']",,,,,,,,,,,,,,,,,,,,,,,,
11570443,NLM,MEDLINE,20011204,20191105,0960-7439 (Print) 0960-7439 (Linking),11,4,2001 Jul,Dental care in acute lymphoblastic leukaemia: experiences of children and attitudes of parents.,274-80,"OBJECTIVES: To profile the dental experiences of a group of children diagnosed as suffering from Acute Lymphoblastic Leukaemia (ALL) and to examine: 1) how parents of children diagnosed as suffering from ALL perceive the importance of dental care; 2) parental preferences with regard to the provision of dental care for children with ALL. SETTING: The study was conducted in one of the 22 United Kingdom Children's Cancer Study Group (UKCCSG) centres. SAMPLE AND METHODS: Data were collected by means of a structured interview, employing an administered questionnaire. RESULTS: The majority of children had attended a dentist both prior to, and following diagnosis, though the regularity of such attendance was variable and the receipt of dental preventive advice inconsistent. Parents appeared to place a high level of importance on their children's dental care, with more than two-thirds expressing a preference for this to be provided within the Paediatric Oncology Unit. CONCLUSIONS: There is a need to establish means by which regular dental attendance may be encouraged and facilitated in the difficult circumstances posed following diagnosis. All healthcare professionals need to be equipped to give clear, consistent oral health advice. This, together with appropriate preventive measures, should be incorporated in oral care protocols. In accordance with the wishes of parents in this study, it is recommended that a comprehensive paediatric dental service be provided at all UKCCSG centres.","['Collard, M M', 'Hunter, M L']","['Collard MM', 'Hunter ML']","['Paediatric Dentistry Unit, University of Wales College of Medicine Dental School, Cardiff, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int J Paediatr Dent,International journal of paediatric dentistry,9107511,,"['Adolescent', 'Attitude to Health', 'Child', 'Child, Preschool', 'Dental Care for Chronically Ill/*psychology', 'Dental Health Services', 'Female', 'Humans', 'Male', 'Parents/psychology', '*Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Surveys and Questionnaires']",2001/09/26 10:00,2002/01/05 10:01,['2001/09/26 10:00'],"['2001/09/26 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/26 10:00 [entrez]']",['10.1046/j.1365-263x.2001.00275.x [doi]'],ppublish,Int J Paediatr Dent. 2001 Jul;11(4):274-80. doi: 10.1046/j.1365-263x.2001.00275.x.,,,,,,,,,,,,,,,,,,,,,,,,,
11569495,NLM,MEDLINE,20011004,20151119,0036-8075 (Print) 0036-8075 (Linking),293,5538,2001 Sep 21,Roots of clinical resistance to STI-571 cancer therapy.,2163,,"['Hochhaus, A', 'Kreil, S', 'Corbin, A', 'La Rosee, P', 'Lahaye, T', 'Berger, U', 'Cross, N C', 'Linkesch, W', 'Druker, B J', 'Hehlmann, R', 'Gambacorti- Passerini, C', 'Corneo, G', ""D'Incalci, M""]","['Hochhaus A', 'Kreil S', 'Corbin A', 'La Rosee P', 'Lahaye T', 'Berger U', 'Cross NC', 'Linkesch W', 'Druker BJ', 'Hehlmann R', 'Gambacorti- Passerini C', 'Corneo G', ""D'Incalci M""]","['III. Medizinische Universitatsklinik, Fakultat fur Klinische Medizin Mannheim, Universitat Heidelberg, Mannheim, Germany. hochhaus@uni-hd.de']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,IM,"['Amino Acid Substitution', 'Antineoplastic Agents/therapeutic use', 'Benzamides', 'Drug Resistance, Neoplasm', 'Fusion Proteins, bcr-abl/chemistry/*genetics/metabolism', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics', 'Piperazines/*therapeutic use', '*Point Mutation', 'Proto-Oncogene Proteins c-abl/chemistry/genetics/metabolism', 'Pyrimidines/*therapeutic use']",2001/09/25 10:00,2001/10/05 10:01,['2001/09/25 10:00'],"['2001/09/25 10:00 [pubmed]', '2001/10/05 10:01 [medline]', '2001/09/25 10:00 [entrez]']",,ppublish,Science. 2001 Sep 21;293(5538):2163.,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-abl)']",,,,,,,['Science. 2001 Aug 3;293(5531):876-80. PMID: 11423618'],,,,,,,,,,,,,,,,,
11569478,NLM,MEDLINE,20011018,20071115,0025-7680 (Print) 0025-7680 (Linking),61,4,2001,"[Hypertension, abdominal aortic aneurysm, chronic bronchitis and myeloid leukemia].",447-51,,,,,['spa'],"['Case Reports', 'Clinical Conference', 'Journal Article']",Argentina,Medicina (B Aires),Medicina,0204271,IM,"['Aged', 'Aortic Aneurysm, Abdominal/complications/*diagnosis/pathology', 'Bronchitis/complications/*diagnosis/pathology', 'Chronic Disease', 'Fatal Outcome', 'Gallbladder Diseases/complications/diagnosis/pathology', 'Humans', 'Hypertension/complications/*diagnosis/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/*diagnosis/pathology', 'Lithiasis/complications/diagnosis/pathology', 'Liver/pathology', 'Male', 'Necrosis']",2001/09/25 10:00,2001/10/19 10:01,['2001/09/25 10:00'],"['2001/09/25 10:00 [pubmed]', '2001/10/19 10:01 [medline]', '2001/09/25 10:00 [entrez]']",,ppublish,Medicina (B Aires). 2001;61(4):447-51.,,,,,,"Hipertension arterial, aneurisma de aorta abdominal, bronquitis cronica y leucemia mieloide.",,,,,,,,,,,,,,,,,,,
11569477,NLM,MEDLINE,20020109,20061115,1525-7770 (Print) 1525-7770 (Linking),20,4-7,2001 Apr-Jul,"Modified dinucleoside tetraphosphonates, new potential inhibitors of HIV reverse transcriptase.",1033-6,New gamma-substituted analogues of dNTP were synthesized and their enzymatic stability and antiviral properties were evaluated.,"['Shirokova, E A', 'Khandazhinskaya, A L', 'Skoblov, Y S', 'Goryunova, L Y', 'Beabealashvilli, R S', 'Krayevsky, A A']","['Shirokova EA', 'Khandazhinskaya AL', 'Skoblov YS', 'Goryunova LY', 'Beabealashvilli RS', 'Krayevsky AA']","['Engelhardt Instiute of Molecular Biology, Russian Academy of Sciences, 32 Vavilov St., Moscow 117984, Russia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Nucleosides Nucleotides Nucleic Acids,"Nucleosides, nucleotides & nucleic acids",100892832,IM,"['Animals', 'Anti-HIV Agents/blood/*chemical synthesis/*pharmacology', 'Dinucleoside Phosphates/blood/*chemical synthesis/*pharmacology', 'Drug Stability', 'Fibroblasts/virology', 'HIV/drug effects/enzymology', 'Humans', 'Moloney murine leukemia virus/drug effects/enzymology', 'Rats', 'Reverse Transcriptase Inhibitors/blood/*chemical synthesis/*pharmacology']",2001/09/25 10:00,2002/01/10 10:01,['2001/09/25 10:00'],"['2001/09/25 10:00 [pubmed]', '2002/01/10 10:01 [medline]', '2001/09/25 10:00 [entrez]']",['10.1081/NCN-100002485 [doi]'],ppublish,Nucleosides Nucleotides Nucleic Acids. 2001 Apr-Jul;20(4-7):1033-6. doi: 10.1081/NCN-100002485.,"['0 (Anti-HIV Agents)', '0 (Dinucleoside Phosphates)', '0 (Reverse Transcriptase Inhibitors)']",,,,,,,,,,,,,,,,,,,,,,,,
