PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,IP,AB,AID,PMC,OID,OAB,OABL,OTO,OT,GN,CIN,AD
1069969,NLM,MEDLINE,19770216,20071115,0301-1518 (Print) 0301-1518 (Linking),5,1976 Nov 27,[Count of surface immunoglobulins on leukemic cells in a case of acute leukemia with Burkitt cells].,2717,"['Follezou, J Y', 'Andrieux, J M', 'Roisin, J P', 'Dighier, G', 'Schaison, G']","['Follezou JY', 'Andrieux JM', 'Roisin JP', 'Dighier G', 'Schaison G']",['fre'],"['Case Reports', 'Letter']","Quantification des immunoglobulines a la surface des cellules leucemiques dans un cas de leucemie algue de type ""burkitt""",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,"['0 (Receptors, Antigen, B-Cell)']",IM,"['Adolescent', 'Burkitt Lymphoma/immunology', 'Female', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Receptors, Antigen, B-Cell/*isolation & purification']",1976/11/27 00:00,1976/11/27 00:01,['1976/11/27 00:00'],"['1976/11/27 00:00 [pubmed]', '1976/11/27 00:01 [medline]', '1976/11/27 00:00 [entrez]']",ppublish,Nouv Presse Med. 1976 Nov 27;5(40):2717.,40,,,,,,,,,,,
1069963,NLM,MEDLINE,19770226,20041117,0031-4021 (Print) 0031-4021 (Linking),31,1976 Sep,"[Chronic juvenile myeloid leukemia, suddenly becoming acute, in a 4-year-old child. Problems of cytological diagnosis and therapeutic problems (proceedings)].",621-3,"['Corberand, J', 'Robert, A', 'Regnier, C']","['Corberand J', 'Robert A', 'Regnier C']",['fre'],"['Case Reports', 'Journal Article']",Leucemie myeloide chronique juvenile d'emblee acutisee chez un enfant de 4 ans. Problemes de diagnostic cytologique et problemes therapeutiques,France,Pediatrie,Pediatrie,0401127,,IM,"['Child, Preschool', 'Chronic Disease', 'Humans', 'Leukemia, Myeloid/*complications/therapy', 'Male']",1976/09/01 00:00,2000/05/05 00:00,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '2000/05/05 00:00 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Pediatrie. 1976 Sep;31(6):621-3.,6,,,,,,,,,,,
1069962,NLM,MEDLINE,19770226,20071115,0031-4021 (Print) 0031-4021 (Linking),31,1976 Sep,[Clinical but cytologically non-leukemic meningeal manifestations in the development of acute lymphoblastic leukemia in hematologic remission (proceedings)].,620-1,"['Bachelot, C', 'Joannard, A', 'Gasnet, D', 'Augusseau, S', 'Mouriquand, C', 'Beaudoing, A']","['Bachelot C', 'Joannard A', 'Gasnet D', 'Augusseau S', 'Mouriquand C', 'Beaudoing A']",['fre'],"['Case Reports', 'Journal Article']",Manifestations meningees cliniques mais cytologiquement non leucemiques dans l'evolution d'une leucemie aigue lymphoblastique en remission hematologique,France,Pediatrie,Pediatrie,0401127,,IM,"['Acute Disease', 'Child', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male', '*Meninges', 'Remission, Spontaneous']",1976/09/01 00:00,2000/05/05 00:00,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '2000/05/05 00:00 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Pediatrie. 1976 Sep;31(6):620-1.,6,,,,,,,,,,,
1069961,NLM,MEDLINE,19770226,20041117,0031-4021 (Print) 0031-4021 (Linking),31,1976 Sep,[Erythroleukemia manifested by diabetes insipidus (proceedings)].,618-20,"['Malpuech, G', 'Perrimond, H', 'Bezou, M J', 'Palcoux, M', 'Coulet, M']","['Malpuech G', 'Perrimond H', 'Bezou MJ', 'Palcoux M', 'Coulet M']",['fre'],"['Case Reports', 'Journal Article']",Erythroleucemie revelee par un diabete insipide,France,Pediatrie,Pediatrie,0401127,,IM,"['Child, Preschool', 'Diabetes Insipidus/*complications', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/*complications']",1976/09/01 00:00,2000/05/05 00:00,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '2000/05/05 00:00 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Pediatrie. 1976 Sep;31(6):618-20.,6,,,,,,,,,,,
1069960,NLM,MEDLINE,19770224,20071115,0031-3890 (Print) 0031-3890 (Linking),84,1976 Sep 30,[Acute immunoblastic lymphoid leukemia].,363-81,"['Esposito, L', 'Di Tullio, M T', 'Casale, F']","['Esposito L', 'Di Tullio MT', 'Casale F']",['ita'],"['Case Reports', 'English Abstract', 'Journal Article']",La leucemia linfoide acuta immunoblastica,Italy,Pediatria (Napoli),La Pediatria,0401207,,IM,"['Adolescent', 'Humans', '*Leukemia, Lymphoid/classification', 'Male']",1976/09/30 00:00,1976/09/30 00:01,['1976/09/30 00:00'],"['1976/09/30 00:00 [pubmed]', '1976/09/30 00:01 [medline]', '1976/09/30 00:00 [entrez]']",ppublish,Pediatria (Napoli). 1976 Sep 30;84(3):363-81.,3,,,,,,,,,,,
1069959,NLM,MEDLINE,19770216,20131121,0377-2004 (Print) 0377-2004 (Linking),3,1976 Sep 13,Osteopathy due to methotrexate.,63-9,"['Koller, A', 'Fill, H', 'Kurz, R', 'Riccabona, G', 'Haas, H']","['Koller A', 'Fill H', 'Kurz R', 'Riccabona G', 'Haas H']",['eng'],"['Case Reports', 'Journal Article']",,Austria,Osterr Z Onkol,Osterreichische Zeitschrift fur Onkologie. Austrian journal of oncology,7507343,"['0 (Phosphates)', 'SY7Q814VUP (Calcium)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Calcium/metabolism', 'Child', 'Femoral Fractures/etiology', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Methotrexate/*adverse effects/therapeutic use', 'Osteoporosis/*chemically induced', 'Phosphates/metabolism']",1976/09/13 00:00,1976/09/13 00:01,['1976/09/13 00:00'],"['1976/09/13 00:00 [pubmed]', '1976/09/13 00:01 [medline]', '1976/09/13 00:00 [entrez]']",ppublish,Osterr Z Onkol. 1976 Sep 13;3(3):63-9.,3,"Two children with ALL receiving long-term therapy with methotrexate (50 mg/week i.v.) developed severe osteoporosis accompanied by swelling of the joints, gait disturbances and fractures after minimal trauma. Bone scans 85Sr disclosed a decreased input and increased turnover of calcium especially in the most used bones. The data of the calcium phosphorus metabolism are within the normal range. The minimal changes in the biopsy material of the iliac crest may be due to little mechanical use so that this part of the skeleton is not much affected by the osteoporosis. Since the controls receiving the same therapy did not have signs of such severe osteoporosis it is assumed that an additional, till unknown factor may play an additional role in this kind of methotrexate side effect.",,,,,,,,,,
1069915,NLM,MEDLINE,19770226,20071115,0028-3797 (Print) 0028-3797 (Linking),7,1976 Nov,Unusual encephalitic illnesses in a child with acute leukaemia in remission: possible role of measles virus and Toxoplasma gondii.,423-30,"['Mellor, D H', 'Purcell, M']","['Mellor DH', 'Purcell M']",['eng'],"['Case Reports', 'Journal Article']",,Germany,Neuropadiatrie,Neuropadiatrie,0260671,,IM,"['Child', 'Encephalitis/*complications/microbiology/physiopathology', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Measles/*complications', 'Toxoplasmosis/*complications']",1976/11/01 00:00,1976/11/01 00:01,['1976/11/01 00:00'],"['1976/11/01 00:00 [pubmed]', '1976/11/01 00:01 [medline]', '1976/11/01 00:00 [entrez]']",ppublish,Neuropadiatrie. 1976 Nov;7(4):423-30. doi: 10.1055/s-0028-1091642.,4,We report a girl who developed an encephalitic illness with visual loss after two years treatment for acute lymphoblastic leukaemia. The visual loss was found to be due to bilateral macular degeneration. She later developed radiological evidence of intracranial calcification and temporal lobe epilepsy. A second episode of encephalitis occurred when she had been off all antileukaemic treatment for three years and this left her with a right hemiparesis. Investigation suggested involvement with both measles virus and Toxoplasma gondii as a cause for these illnesses.,['10.1055/s-0028-1091642 [doi]'],,,,,,,,,
1069900,NLM,MEDLINE,19770216,20201209,0026-4946 (Print) 0026-4946 (Linking),28,1976 Nov 24,[Research on cellular immunity in acute leukemia in childhood. Significance of skin tests].,2259-64,"['Pietrogrande, M C', 'Mieli, G', 'Corona, F', 'Ferraris, G', 'Bardare, M']","['Pietrogrande MC', 'Mieli G', 'Corona F', 'Ferraris G', 'Bardare M']",['ita'],['Journal Article'],Ricerche sulla immunita cellulare nelle leucemie acute dell'infanzia. Significato dei tests cutanei,Italy,Minerva Pediatr,Minerva pediatrica,0400740,"['0 (Antigens)', '0 (Antigens, Viral)', '0 (Dinitrochlorobenzene)', 'EC 3.- (Streptodornase and Streptokinase)']",IM,"['Adolescent', 'Antigens', 'Antigens, Viral', 'Child', 'Child, Preschool', 'Dinitrochlorobenzene', 'Female', 'Humans', '*Immunity, Cellular', 'Infant', 'Leukemia, Lymphoid/*immunology', 'Lymphocyte Activation', 'Male', 'Mumps virus', '*Skin Tests', 'Streptodornase and Streptokinase']",1976/11/24 00:00,1976/11/24 00:01,['1976/11/24 00:00'],"['1976/11/24 00:00 [pubmed]', '1976/11/24 00:01 [medline]', '1976/11/24 00:00 [entrez]']",ppublish,Minerva Pediatr. 1976 Nov 24;28(37):2259-64.,37,,,,,,,,,,,
1069899,NLM,MEDLINE,19770226,20190902,0098-1532 (Print) 0098-1532 (Linking),2,1976,Emphysematous gastritis in a leukemic child.,433-7,"['Rowen, M', 'Myers, M', 'Williamson, R A']","['Rowen M', 'Myers M', 'Williamson RA']",['eng'],"['Case Reports', 'Journal Article']",,United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Child', 'Emphysema/etiology', 'Enteritis/complications', 'Female', 'Gastritis/diagnostic imaging/*etiology', 'Humans', 'Leukemia, Lymphoid/*complications', 'Radiography']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Med Pediatr Oncol. 1976;2(4):433-7. doi: 10.1002/mpo.2950020409.,4,"Emphysematous gastritis associated with gram-negative sepsis is described in a leukemic child on chemotherapy and steroids. Bubbly-appearing air and thickening of the gastric wall were radiographically demonstrated. This is analogous to the demonstration of air within the thickened bowel wall in necrotizing enterocolitis, which is not unusual in seriously ill leukemic children. Gastric involvement has not been previously reported.",['10.1002/mpo.2950020409 [doi]'],,,,,,,,,
1069898,NLM,MEDLINE,19770226,20211203,0098-1532 (Print) 0098-1532 (Linking),2,1976,Immunocompetence and prognosis in children with acute lymphoblastic leukemia: combination of two different maintenance therapies.,403-15,"['Garay, G E', 'Pavlovsky, S', 'Sasiain, M C', 'Pizzolato, M A', 'Binsztein, N', 'Eppinger-Helft, M']","['Garay GE', 'Pavlovsky S', 'Sasiain MC', 'Pizzolato MA', 'Binsztein N', 'Eppinger-Helft M']",['eng'],['Journal Article'],,United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,"['E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Acute Disease', 'Adolescent', '*Antibody Formation', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Immunosuppression Therapy', 'Leukemia, Lymphoid/*drug therapy/immunology', 'Male', 'Mercaptopurine/therapeutic use', 'Methotrexate/therapeutic use', 'Prognosis']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Med Pediatr Oncol. 1976;2(4):403-15. doi: 10.1002/mpo.2950020407.,4,"Intensive chemotherapy in patients with leukemia produced immunosuppression. The level of immunocompetence correlates with prognosis. The immunological function of 29 children with acute lymphoblastic leukemia (ALL) in complete remission and on 2 different maintenance therapies was evaluated and compared with 16 normal children (Group A). Sixteen children (Group B) with ALL received 6 mercaptopurine (6MP) daily and methotrexate (MTX) twice a week, and 13 children (Group C) received 6MP and MTX weekly for maintenance. There was depression of both cellular immunity, measured by the number of T cells and skin tests, and humoral immunity, measured by number of B cells, primary antibody production to typhoid vaccine, and levels of immunoglobulins. However, continuous maintenance therapy (Group B) produced significantly more severe immunosuppression of cellular immunity than the intermittent therapy (Group C). Humoral immunity was equally depressed in both groups of leukemia patients, but was less altered than cellular immunity. Concomitantly, patients with intermittent maintenance chemotherapy had less hematologic depression, fewer episodes of infection, and fewer died in complete remission. Patients of both groups with higher levels of immunocompetence had better prognosis with longer duration of complete remission than patients with severe immunosuppression. Out of 6 patients with ""favorable immunocompetence"" only 1 relapsed at 7 months and the other 5 remain in complete remission from 8 to 31 months. Among 23 leukemic patients with ""unfavorable immunocompetence,"" 15 relapsed and 8 remain in complete remission from 9 to 26 months.",['10.1002/mpo.2950020407 [doi]'],,,,,,,,,
1069865,NLM,MEDLINE,19770226,20121115,0485-1439 (Print) 0485-1439 (Linking),17,1976 Oct,[Acute myeoblastic leukemia with positive direct Coombs' test: report of four cases (author's transl)].,1113-21,"['Kimoto, M', 'Miyasaka, Y', 'Yamaguchi, H', 'Asai, I', 'Tsukada, T']","['Kimoto M', 'Miyasaka Y', 'Yamaguchi H', 'Asai I', 'Tsukada T']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",,Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Aged', '*Coombs Test', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*immunology', 'Male', 'Middle Aged']",1976/10/01 00:00,1976/10/01 00:01,['1976/10/01 00:00'],"['1976/10/01 00:00 [pubmed]', '1976/10/01 00:01 [medline]', '1976/10/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1976 Oct;17(10):1113-21.,10,,,,,,,,,,,
1069864,NLM,MEDLINE,19770226,20071115,0485-1439 (Print) 0485-1439 (Linking),17,1976 Oct,[A case of ALL with renal infiltration of leukemic cells during hematological remission (author's transl)].,1106-12,"['Tonooka, T', 'Sato, T']","['Tonooka T', 'Sato T']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",,Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Child', 'Humans', 'Kidney/*pathology', 'Kidney Diseases/etiology', 'Leukemia, Lymphoid/complications/*pathology', 'Male', 'Remission, Spontaneous']",1976/10/01 00:00,1976/10/01 00:01,['1976/10/01 00:00'],"['1976/10/01 00:00 [pubmed]', '1976/10/01 00:01 [medline]', '1976/10/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1976 Oct;17(10):1106-12.,10,,,,,,,,,,,
1069863,NLM,MEDLINE,19770226,20071115,0485-1439 (Print) 0485-1439 (Linking),17,1976 Oct,[Studies of differentiation of CML cells in vitro. 2. Differentiation of acute phase CML cells (author's transl)].,1083-8,"['Uchida, H']",['Uchida H'],['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",,Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Cell Differentiation', 'Cells, Cultured', 'Humans', 'Leukemia, Myeloid/*blood', 'Leukemia, Myeloid, Acute/*blood', 'Leukocytes/*ultrastructure', 'Male']",1976/10/01 00:00,1976/10/01 00:01,['1976/10/01 00:00'],"['1976/10/01 00:00 [pubmed]', '1976/10/01 00:01 [medline]', '1976/10/01 00:00 [entrez]']",ppublish,Rinsho Ketsueki. 1976 Oct;17(10):1083-8.,10,,,,,,,,,,,
1069860,NLM,MEDLINE,19770226,20190509,0027-8874 (Print) 0027-8874 (Linking),57,1976 Dec,Occurrence of spontaneous tumors in the germfree F344 rat.,1371-3,"['Sacksteder, M R']",['Sacksteder MR'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Adenocarcinoma/epidemiology', 'Animals', 'Female', 'Fibrosarcoma/epidemiology', '*Germ-Free Life', 'Leukemia, Experimental/epidemiology', 'Leukemia, Lymphoid/epidemiology', 'Male', 'Mammary Neoplasms, Experimental/epidemiology', 'Neoplasm Transplantation', 'Neoplasms, Experimental/*epidemiology', 'Rats', '*Rats, Inbred F344', '*Rats, Inbred Strains', 'Transplantation, Isogeneic']",1976/12/01 00:00,1976/12/01 00:01,['1976/12/01 00:00'],"['1976/12/01 00:00 [pubmed]', '1976/12/01 00:01 [medline]', '1976/12/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Dec;57(6):1371-3. doi: 10.1093/jnci/57.6.1371.,6,"The incidence of spontaneously occurring neoplasms was observed over 10 years in a colony of germfree F344 rats (78 males and 102 females) representing 10 generations of inbredding. Leukemia was the most common neoplasm (25.6% of males, 36% of females) followed by mammary tumors (11.5% of males, 19.6% of females). Various other tumors developed in 9% of the males and 5% of the females. The overall incidence of spontaneous tumors was comparable to that reported for conventional rats of different strains. This was particularly true of leukemia for which the most data were available. However, for unknown reasons, significantly fewer solid tumors were observed in germfree than in conventional male rats.",['10.1093/jnci/57.6.1371 [doi]'],,,,,,,,,
1069859,NLM,MEDLINE,19770226,20190509,0027-8874 (Print) 0027-8874 (Linking),57,1976 Dec,Ssytemic effects of intravenous polyriboinosinic-polyribocytidylic acid in man.,1211-6,"['Cornell, C J Jr', 'Smith, K A', 'Cornwell, G G 3rd', 'Burke, G P', 'McIntyre, O R']","['Cornell CJ Jr', 'Smith KA', 'Cornwell GG 3rd', 'Burke GP', 'McIntyre OR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['9008-11-1 (Interferons)', 'O84C90HH2L (Poly I-C)']",IM,"['Adult', 'Aged', 'Cells, Cultured', 'Child, Preschool', 'Dose-Response Relationship, Drug', 'Female', 'Fever/chemically induced', 'Humans', 'Injections, Intravenous', 'Interferons/*blood', 'Leukemia/*drug therapy', 'Leukemia, Myeloid, Acute/blood/drug therapy', 'Leukocyte Count', 'Liver/drug effects', 'Lymphocyte Activation/*drug effects', 'Male', 'Middle Aged', 'Neoplasms/blood/*drug therapy', 'Neutrophils/drug effects', 'Poly I-C/administration & dosage/adverse effects/*therapeutic use']",1976/12/11 19:15,2001/03/28 10:01,['1976/12/11 19:15'],"['1976/12/11 19:15 [pubmed]', '2001/03/28 10:01 [medline]', '1976/12/11 19:15 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Dec;57(6):1211-6. doi: 10.1093/jnci/57.6.1211.,6,"To investigate the systemic, clinical and laboratory effects of iv polyriboinosinic-polyribocytidylic acid (poly I-poly C), 32 doses of poly I-poly C were administered to 22 patients. Doses between 1 and 10 mg/kg induced the formation of serum interferon (IF) and fever. Whereas a direct relationship was seen between the poly I-poly C dose and fever, serum IF levels were not significantly changed by increasing the dose of poly I-poly C over a log range from 1 to 10 mg/kg. Transient abnormalities were noted in liver function tests in 4 of 13 patients who received greater than 6.0 mg/kg. Other laboratory changes were confined to an increase in the absolute granulocyte count that paralleled fever development and abnormalities in coagulation parameters of 1 patient. In vitro lymphocyte DNA synthesis in response to mitogens was transiently impaired at times corresponding to serum IF appearance. These studies have established dose levels of poly I-poly C that can be safely administered to man with minimal toxicity and result in IF induction.",['10.1093/jnci/57.6.1211 [doi]'],,,,,,,,,
1069858,NLM,MEDLINE,19770216,20190509,0027-8874 (Print) 0027-8874 (Linking),57,1976 Oct,Friend spleen focus-forming virus production in vitro by a nonerythroid cell line.,853-9,"['Clarke, B J', 'Axelrad, A A', 'Housman, D']","['Clarke BJ', 'Axelrad AA', 'Housman D']",['eng'],"['Comparative Study', 'Journal Article']",,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Hemoglobins)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Differentiation/drug effects', 'Cell Division', 'Cell Line', 'Dimethyl Sulfoxide/pharmacology', 'Female', 'Friend murine leukemia virus/*growth & development', 'Hemoglobins/biosynthesis', 'Leukemia, Erythroblastic, Acute/pathology', 'Leukemia, Experimental/*microbiology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred Strains', 'Polycythemia/etiology', 'Spleen/cytology/microbiology', 'Time Factors', 'Viral Plaque Assay']",1976/10/01 00:00,1976/10/01 00:01,['1976/10/01 00:00'],"['1976/10/01 00:00 [pubmed]', '1976/10/01 00:01 [medline]', '1976/10/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Oct;57(4):853-9. doi: 10.1093/jnci/57.4.853.,4,"We developed a cell line (IS) that continuously produced both Friend spleen focus-forming virus (SFFV) and XC plaque-forming virus in vitro. The line was derived from the enlarged spleen of an inbred SIM mouse previously infected with a polycythemic strain of Friend leukemia virus in vivo. Friend SFFV titers of 10(4) spleen focus-forming units/ml of culture medium were maintained for more than 200 cell generations. The virus from IS cells induced the splenomegaly and high hematocrit typical of Friend virus-induced erythroid disease in SIM mice. Cells of the IS line were adherent and phagocytic and had a low saturation density. They produced no tumors after being injected sc into normal syngeneic hosts and no spleen colonies after being injected iv into supralethally irradiated hosts. IS cells did not have the character of erythroid cells: They did not contain detectable heme as measured by benzidine-peroxide reagent, did not contain globin mRNA in detectable amounts, and did not produce erythroid colonies in plasma culture in the absence or presence of erythropoietin. According to these criteria, growth in the presence of dimethyl sulfoxide did not stimulate erythroid differentiation of IS cells. We concluded that Friend SFFV can infect nonerythroid spleen cells but that replication of the virus was not obligatorily coupled to expression of genes associated with the erythroid phenotype.",['10.1093/jnci/57.4.853 [doi]'],,,,,,,,,
1069856,NLM,MEDLINE,19770216,20190509,0027-8874 (Print) 0027-8874 (Linking),57,1976 Jul,In vitro studies on the enhancement of Rauscher virus-induced erythroblastosis by complete Freund's adjuvant in BALB/c mice.,115-8,"['Nooter, K', 'Bentvelzen, P']","['Nooter K', 'Bentvelzen P']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['11096-26-7 (Erythropoietin)', ""9007-81-2 (Freund's Adjuvant)""]",IM,"['Animals', 'Antibody-Producing Cells/physiology', 'Antigen-Antibody Reactions', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Cell Division', 'Erythropoietin/pharmacology', 'Female', ""Freund's Adjuvant/immunology/*pharmacology"", 'Leukemia, Erythroblastic, Acute/*etiology/immunology', 'Mice', 'Mice, Inbred BALB C', 'Rauscher Virus', 'Spleen/immunology', 'Splenomegaly/etiology']",1976/07/01 00:00,1976/07/01 00:01,['1976/07/01 00:00'],"['1976/07/01 00:00 [pubmed]', '1976/07/01 00:01 [medline]', '1976/07/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Jul;57(1):115-8. doi: 10.1093/jnci/57.1.115.,1,"Inoculation of complete Freund's adjuvant (CFA) into BALB/c mice either before or after infection with Rauscher murine leukemia virus (MuLV-R) led to an acceleration of the disease as determined by spleen weight. Treatment with CFA also induced a higher number of spleen erythroblast foci and, in the bone marrow, erythropoietin-independent cells that produced erythroid colonies in vitro. CFA induced in the bone marrow not only an increase in myeloid progenitor cells that can produce colonies in agar, but an ever larger increase in the number of erythroid colony-forming cells. Virus-induced erythroblastosis was probably enhanced by CFA due to the production of many target cells. The more primitive burst-forming cell, which produced large colonies of erythroid cells after 10 days in culture, was also physiologically transformed in MuLV-R-infected mice; bursts could be formed by cells of such animals in the absence of erythropoietin.",['10.1093/jnci/57.1.115 [doi]'],,,,,,,,,
1069692,NLM,MEDLINE,19770216,20041117,0019-6061 (Print) 0019-6061 (Linking),13,1976 Sep,Chronic myeloid leukaemia with skin infiltration: a case report.,723-6,"['Choudhury, P', 'Anand, N K', 'Goyal, R G']","['Choudhury P', 'Anand NK', 'Goyal RG']",['eng'],"['Case Reports', 'Journal Article']",,India,Indian Pediatr,Indian pediatrics,2985062R,,IM,"['Child', 'Chronic Disease', 'Female', 'Humans', '*Leukemia, Myeloid', '*Skin Neoplasms']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Indian Pediatr. 1976 Sep;13(9):723-6.,9,,,,,,,,,,,
1069685,NLM,MEDLINE,19770224,20190706,0300-5127 (Print) 0300-5127 (Linking),4,1976,Polyglutamate forms of folate: natural occurrence and role as substrates in mammalian cells.,853-6,"['Bertino, J R', 'Coward, J K', 'Cashmore, A', 'Chello, P', 'Panichajakul, S', 'Horvath, C G', 'Stout, R W']","['Bertino JR', 'Coward JK', 'Cashmore A', 'Chello P', 'Panichajakul S', 'Horvath CG', 'Stout RW']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",,England,Biochem Soc Trans,Biochemical Society transactions,7506897,"['0 (Glutamates)', '0 (Oligopeptides)', '935E97BOY8 (Folic Acid)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'EC 2.1.1.13 (5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase)']",IM,"['5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase/metabolism', 'Animals', 'Brain/enzymology', 'Cattle', 'Erythrocytes/enzymology', 'Folic Acid/*metabolism', 'Glutamates/*metabolism', 'Humans', 'Kinetics', 'Leukemia L1210/enzymology', 'Leukemia, Lymphoid/enzymology', 'Leukemia, Myeloid, Acute/enzymology', 'Mice', 'Oligopeptides/*metabolism', 'Structure-Activity Relationship', 'Tetrahydrofolate Dehydrogenase/metabolism']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Biochem Soc Trans. 1976;4(5):853-6. doi: 10.1042/bst0040853.,5,,['10.1042/bst0040853 [doi]'],,,,,,,,,
1069609,NLM,MEDLINE,19770224,20190918,0009-8787 (Print) 0009-8787 (Linking),43,1976 WINTER,Pure red cell aplasia. A preleukemic state.,267-74,"['Savage, R A']",['Savage RA'],['eng'],"['Case Reports', 'Journal Article']",,United States,Cleve Clin Q,Cleveland Clinic quarterly,0373162,,IM,"['Anemia, Aplastic/*complications', 'Bone Marrow/pathology', 'Granulocytes/pathology', 'Humans', 'Leukemia, Lymphoid/pathology', 'Liver/pathology', 'Lung/pathology', 'Lymph Nodes/pathology', 'Lymphocytes/pathology', 'Male', 'Middle Aged', '*Preleukemia/pathology', 'Spleen/pathology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Cleve Clin Q. 1976 WINTER;43(4):267-74. doi: 10.3949/ccjm.43.4.267.,4,,['10.3949/ccjm.43.4.267 [doi]'],,,,,,,,,
