PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,TT,RF,PS,FPS,OID,OTO,OT,GN
6784231,NLM,MEDLINE,19810623,20191031,0390-5748 (Print) 0390-5748 (Linking),11,1,1981 Jan-Mar,The use of the IgG-latex test in human leukemia.,43-50,"Lymphocytes with receptors for IgG and phagocytes were detected simultaneously by incubating Boyum separated mononuclear cells with IgG coated latex particles. IgG-latex particles formed rosettes around lymphoid cells with receptors for IgG, whereas phagocytes ingested these particles. This test was performed on cells from normal subjects and from patients with various diseases involving lymphocyte or monocyte proliferations. The results show that most chronic lymphocytic leukemia cells formed IgG-latex rosettes. Hairy cells from the patients studied showed a similar behaviour but poor phagocytic properties. Acute monocytic leukemia cells, in contrast, were largely phagocytes. This test is easy to perform and does not require sophisticated reagents, thus providing a basis for reproducibility, a rare occurrence in cellular immunology studies.","['Salsano, F', 'De Rossi, G', 'Fattorossi, A', 'Saltalamacchia, P', 'Pisarri-Salsano, S']","['Salsano F', 'De Rossi G', 'Fattorossi A', 'Saltalamacchia P', 'Pisarri-Salsano S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Ric Clin Lab,La Ricerca in clinica e in laboratorio,7613947,IM,"['Humans', 'Immunoglobulin G/*immunology', 'Latex Fixation Tests', 'Leukemia/*immunology', 'Monocytes/metabolism', 'Multiple Myeloma/*immunology', '*Phagocytosis', 'Receptors, Fc/analysis', 'Waldenstrom Macroglobulinemia/*immunology']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF02886686 [doi]'],ppublish,Ric Clin Lab. 1981 Jan-Mar;11(1):43-50. doi: 10.1007/BF02886686.,"['0 (Immunoglobulin G)', '0 (Receptors, Fc)']",,,,,,,,,
6784002,NLM,MEDLINE,19810623,20171206,0026-4075 (Print) 0026-4075 (Linking),146,1,1981 Jan,Recurrence of hemolysis in hereditary spherocytosis: a case due to leukemic infiltration of an accessory spleen.,55-7,,"['Kies, M S', 'Abbott, O D', 'Rubin, R N']","['Kies MS', 'Abbott OD', 'Rubin RN']",['eng'],['Journal Article'],England,Mil Med,Military medicine,2984771R,IM,"['Hemolysis', 'Humans', 'Leukemia/*complications', 'Male', 'Middle Aged', 'Recurrence', 'Spherocytosis, Hereditary/*complications', 'Spleen/*abnormalities/pathology', 'Splenectomy', 'Splenic Neoplasms/*complications']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Mil Med. 1981 Jan;146(1):55-7.,,,,,,,,,,
6783959,NLM,MEDLINE,19810625,20190617,0028-0836 (Print) 0028-0836 (Linking),290,5805,1981 Apr 2,Aberrant rearrangements contribute significantly to the allelic exclusion of immunoglobulin gene expression.,372-8,"A study of the organization of light- and heavy-chain immunoglobulin genes in mouse splenic B cells, spleen-derived hybridomas and plasmacytomas has unequivocally demonstrated that aberrant rearrangements are common during normal B-cell development. The results support a probabilistic model for allelic exclusion of immunoglobulin gene expression.","['Coleclough, C', 'Perry, R P', 'Karjalainen, K', 'Weigert, M']","['Coleclough C', 'Perry RP', 'Karjalainen K', 'Weigert M']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Nature,Nature,0410462,IM,"['*Alleles', 'Animals', 'B-Lymphocytes/*immunology', 'Chromosome Deletion', 'Gene Expression Regulation', 'Immunoglobulin Fragments/genetics', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin kappa-Chains/genetics', 'Immunoglobulin lambda-Chains/genetics', 'Immunoglobulins/*genetics', 'Leukemia, Experimental/immunology', 'Mice', 'Plasmacytoma/immunology', 'Recombination, Genetic']",,1981/04/02 00:00,1981/04/02 00:01,['1981/04/02 00:00'],"['1981/04/02 00:00 [pubmed]', '1981/04/02 00:01 [medline]', '1981/04/02 00:00 [entrez]']",['10.1038/290372a0 [doi]'],ppublish,Nature. 1981 Apr 2;290(5805):372-8. doi: 10.1038/290372a0.,"['0 (Immunoglobulin Fragments)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulin lambda-Chains)', '0 (Immunoglobulins)']",,,,,,,,,
6783900,NLM,MEDLINE,19810613,20131121,0028-4793 (Print) 0028-4793 (Linking),304,19,1981 May 7,Testicular function in boys after chemotherapy for acute lymphoblastic leukemia.,1121-4,"Fourteen boys with acute lymphoblastic leukemia who had been treated with combination chemotherapy (prednisone, vincristine, methotrexate, and 6-mercaptopurine) were followed prospectively to assess the effect of this regimen on gonadal function. At the start of therapy, nine patients were prepubertal, four were intrapubertal, and one was sexually mature. The interval between discontinuation of chemotherapy and the most recent endocrine evaluation ranged from two months to 8 1/2 years (median, 5 1/2 years). Throughout the follow-up period, all patients had normal testicular function as determined by Tanner staging at physical examination and by serum gonadotropin and testosterone levels. Semen samples from six patients were unremarkable except for one sperm count that fell in the low-normal range. These results indicate that the administration of antileukemic chemotherapy can be compatible with normal gonadal development.","['Blatt, J', 'Poplack, D G', 'Sherins, R J']","['Blatt J', 'Poplack DG', 'Sherins RJ']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/administration & dosage/*adverse effects', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Follicle Stimulating Hormone/blood', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Luteinizing Hormone/blood', 'Male', 'Prospective Studies', 'Puberty', 'Sexual Maturation', 'Sperm Count', 'Testis/*drug effects/physiology', 'Testosterone/blood', 'Time Factors']",,1981/05/07 00:00,1981/05/07 00:01,['1981/05/07 00:00'],"['1981/05/07 00:00 [pubmed]', '1981/05/07 00:01 [medline]', '1981/05/07 00:00 [entrez]']",['10.1056/NEJM198105073041901 [doi]'],ppublish,N Engl J Med. 1981 May 7;304(19):1121-4. doi: 10.1056/NEJM198105073041901.,"['0 (Antineoplastic Agents)', '3XMK78S47O (Testosterone)', '9002-67-9 (Luteinizing Hormone)', '9002-68-0 (Follicle Stimulating Hormone)']",,,,,,,,,
6783702,NLM,MEDLINE,19810613,20131121,0022-1767 (Print) 0022-1767 (Linking),126,5,1981 May,Tumor cell destruction by cytotoxic T lymphocytes: the basis of reduced antitumor cell activity in syngeneic hosts.,2048-52,"Tumor overgrowth in spite of an ongoing antitumor immune response may be due to a basic immunologic defect in T cell-mediated responses against the potentially immunogenic tumor cells. To further understand T cell-mediated responses in syngeneic tumor-host systems, we have analyzed the interaction of cytotoxic T lymphocytes (CTL) with syngeneic tumor cells and have compared it with CTL-allogeneic tumor cell interaction. The major conclusions of this study are: 1) Syngeneic and allogeneic CTL lyse target cells through a similar mechanism. 2) The reduced reactivity in the syngeneic system is due to the low content of effector cells capable of binding to and killing tumor cells. 3) The avidity of CTL-syngeneic tumor cell binding is lower than CTL-allogeneic tumor cell binding. We suggest that the latter 2 observations result from a low immunogenicity of tumor cells in the syngeneic host.","['Fishelson, Z', 'Berke, G']","['Fishelson Z', 'Berke G']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'Binding Sites', '*Cell Transformation, Neoplastic', 'Cytochalasins/pharmacology', '*Cytotoxicity, Immunologic', 'Edetic Acid/pharmacology', 'Egtazic Acid/pharmacology', 'Kinetics', 'Leukemia, Experimental/immunology', 'Lymphocyte Cooperation', 'Male', 'Mast-Cell Sarcoma/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'T-Lymphocytes/*immunology']",,1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",,ppublish,J Immunol. 1981 May;126(5):2048-52.,"['0 (Cytochalasins)', '526U7A2651 (Egtazic Acid)', '9G34HU7RV0 (Edetic Acid)']",['CB 74183/CB/NCI NIH HHS/United States'],,,,,,,,
6783699,NLM,MEDLINE,19810613,20181130,0022-1767 (Print) 0022-1767 (Linking),126,5,1981 May,Induction of balanced immunoglobulin chain synthesis in free light chain-producing lymphocytes by mitogen stimulation.,1848-51,"Neoplastic cells from 2 cases of CLL synthesized and secreted excess free Ig light chain in culture, confirmed by precipitation with anti-idiotypic antibody. Small and medium sized normal human spleen cell subpopulations, staining predominantly for surface IgM and D, also synthesized and secreted excess free light chain. PWM stimulation induced balanced synthesis of heavy and light chains in CLL and normal spleen subpopulations after 6 days in culture, accompanied in spleen but not CLL by the appearance of mature plasma cells. These data demonstrate that normal cell counterparts of neoplastic lymphoid synthesis patterns can be identified in spleen. Furthermore, the synthesis pattern alteration after PWM stimulation suggests a relationship between free light chain synthesis and B cell immaturity. The failure of CLL cells to develop into detectable plasma cells suggests a restricted maturation response to mitogen compared with normal spleen.","['Hannam-Harris, A C', 'Smith, J L']","['Hannam-Harris AC', 'Smith JL']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Chemical Precipitation', 'Humans', 'Immunoglobulin Heavy Chains', 'Immunoglobulin Idiotypes', 'Immunoglobulin Light Chains/*biosynthesis', 'Leukemia, Lymphoid/immunology', 'Lymphocytes/*immunology/metabolism', 'Mitogens/*pharmacology', 'Receptors, Antigen, B-Cell', 'Spleen/immunology', 'T-Lymphocytes/immunology']",,1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",,ppublish,J Immunol. 1981 May;126(5):1848-51.,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Idiotypes)', '0 (Immunoglobulin Light Chains)', '0 (Mitogens)', '0 (Receptors, Antigen, B-Cell)']",,,,,,,,,
6783546,NLM,MEDLINE,19810613,20210526,0019-9567 (Print) 0019-9567 (Linking),31,2,1981 Feb,Binding of bacteria from the genus Brucella to human B lymphocytes.,816-21,"In previous studies, we have shown that various lymphocyte subpopulations bind different strains of bacteria of different genera and species. Among these bacteria was a strain of Brucella melitensis which bound to all human B lymphocytes. To determine whether the binding of B. melitensis to human B lymphocytes was strain, species, or genus characteristic, we tested the binding of B. melitensis, Brucella abortus, Brucella ovis, Brucella suis, Brucella canis and Brucella neotomae to human normal and leukemic B lymphocytes. The binding of different Brucella species to B lymphocytes was determined by single- and double-labeling experiments in which a strain of Escherichia coli, coated with anti-light chain antibodies, was used as a marker for B cells. As in previous experiments, we found that B. melitensis and antibody-coated E. coli bound to the same cells. Also, we found that all the other species of bacteria tested bound to the B lymphocytes, normal or leukemic. B. ovis and B. neotomae, which are not human pathogens, bound to fewer B lymphocytes than did the human pathogens B. abortus, B. melitensis, B. suis, and B. canis. Furthermore, we found that the quality of rosettes formed by the nonpathogenic bacteria with the lymphocytes, i.e., the number of bacteria per lymphocytes, was lower than that of pathogenic Brucella species. We conclude that all of the Brucella species tested have the ability to bind to human B lymphocytes, but that only those which are human pathogens bind firmly to all B lymphocytes and may be used as reliable markers for these cells. We also suggest that the binding of Brucella species to B lymphocytes may have some bearing on the pathogenesis of brucellosis in humans.","['Bratescu, A', 'Mayer, E P', 'Teodorescu, M']","['Bratescu A', 'Mayer EP', 'Teodorescu M']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Infect Immun,Infection and immunity,0246127,IM,"['B-Lymphocytes/*immunology', 'Brucella/*immunology', 'Brucella abortus/immunology', 'Humans', 'Leukemia/immunology/microbiology', 'Rosette Formation']",PMC351382,1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",['10.1128/iai.31.2.816-821.1981 [doi]'],ppublish,Infect Immun. 1981 Feb;31(2):816-21. doi: 10.1128/iai.31.2.816-821.1981.,,"['1 RO1 AI14630/AI/NIAID NIH HHS/United States', '1 RO1 CA 21399/CA/NCI NIH HHS/United States', '2 RO1 AM 19414/AM/NIADDK NIH HHS/United States']",,,,,,,,
6783433,NLM,MEDLINE,19810623,20051117,0014-2980 (Print) 0014-2980 (Linking),11,2,1981 Feb,Partial maturation and light chain restriction of Abelson virus-transformed B cell precursors.,136-40,"The induction of partial maturation in an in vitro derived Abelson virus-transformed murine lymphoid cell subline (ABC-1/AT1) is described. Pre-B (cytoplasmic, mu chain-positive) lymphocytes were induced from presumptive B cell precursors by prostaglandin E1, butyric acid, lipopolysaccharide and interferon. Maturation was independent of alterations in cellular growth rate and could be achieved in the absence of cell division. The AT1 subline was found to be restricted to the expression of a single light chain type (lambda) indicating a possible B cell lineage-committed precursor as the target for viral transformation.","['Boss, M A', 'Greaves, M F', 'Teich, N']","['Boss MA', 'Greaves MF', 'Teich N']",['eng'],['Journal Article'],Germany,Eur J Immunol,European journal of immunology,1273201,IM,"['Abelson murine leukemia virus/growth & development/immunology', 'Animals', 'B-Lymphocytes/*cytology', 'Cell Differentiation', 'Clone Cells/immunology', 'Complement C3', 'DNA/biosynthesis', '*Immunoglobulin Light Chains', 'Isoantigens', 'Leukemia, Experimental/immunology', 'Mice', 'Receptors, Antigen, B-Cell', 'Receptors, Complement', 'Thymus Gland/immunology']",,1981/02/01 00:00,1981/02/01 00:01,['1981/02/01 00:00'],"['1981/02/01 00:00 [pubmed]', '1981/02/01 00:01 [medline]', '1981/02/01 00:00 [entrez]']",['10.1002/eji.1830110214 [doi]'],ppublish,Eur J Immunol. 1981 Feb;11(2):136-40. doi: 10.1002/eji.1830110214.,"['0 (Complement C3)', '0 (Immunoglobulin Light Chains)', '0 (Isoantigens)', '0 (Receptors, Antigen, B-Cell)', '0 (Receptors, Complement)', '9007-49-2 (DNA)']",,,,,,,,,
6783336,NLM,MEDLINE,19810613,20070723,0567-655X (Print) 0567-655X (Linking),291,13,1980 Dec 15,[Characterization of viral RNA in Friend tumor cells having lost their capacity to produce viral particles].,1047-50,Cytoplasmic RNA from Friend tumoral cells which had lost their ability to produce viral particles was analyzed for its viralRNA content. A major 32S RNA corresponding to the genome of the defective SFFV virus was detected by hybridization with a synthetic DNA complementary to the Rauscher virus genome. Very low amounts of a 34S species were also found. No 38S RNA with the size of the helper virus genome was present in the cells. It was concluded that the cessation of virus production resulted from a disappearance of the helper provirus from these cells or from a block in the transcriptional process of this provirus.,"['Robert, J', 'Mathieu-Mahul, D', 'Gisselbrecht, S', 'Elfassi, E', 'Larsen, C J']","['Robert J', 'Mathieu-Mahul D', 'Gisselbrecht S', 'Elfassi E', 'Larsen CJ']",['fre'],"['English Abstract', 'Journal Article']",France,C R Seances Acad Sci D,"Comptes rendus des seances de l'Academie des sciences. Serie D, Sciences naturelles",8108552,IM,"['Animals', 'Leukemia, Experimental/*microbiology', 'Mice', 'Molecular Weight', 'Nucleic Acid Hybridization', 'RNA, Viral/*analysis', 'Rauscher Virus/metabolism', 'Virus Replication']",,1980/12/15 00:00,1980/12/15 00:01,['1980/12/15 00:00'],"['1980/12/15 00:00 [pubmed]', '1980/12/15 00:01 [medline]', '1980/12/15 00:00 [entrez]']",,ppublish,C R Seances Acad Sci D. 1980 Dec 15;291(13):1047-50.,"['0 (RNA, Viral)']",,Caracterisation de l'ARN viral dans les cellules tumorales de Friend ayant perdu leur capacite de produire des particules virales.,,,,,,,
6783292,NLM,MEDLINE,19810625,20190620,0008-543X (Print) 0008-543X (Linking),46,5,1980 Sep 1,Increasing frequency of acute myeloid leukemia complicating Hodgkin's disease: a review.,1247-52,"Between the years 1911 and 1969, there were 16 reported cases of Hodgkin's disease terminating in acute myeloid leukemia. During the period from 1970 to 1978, the number reported was 161. Other severe complications of Hodgkin's disease (second malignancies and infections) also seem to appear with increased frequency after the introduction of modern aggressive high-energy radiation therapy and combination chemotherapy. It is thus desirable to search for alternative methods of treatment of Hodgkin's disease.","['Borum, K']",['Borum K'],['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Antineoplastic Agents/therapeutic use', 'Hodgkin Disease/*complications', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Prognosis', 'Radiotherapy, High-Energy/adverse effects']",,1980/09/01 00:00,1980/09/01 00:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '1980/09/01 00:01 [medline]', '1980/09/01 00:00 [entrez]']",['10.1002/1097-0142(19800901)46:5<1247::aid-cncr2820460527>3.0.co;2-5 [doi]'],ppublish,Cancer. 1980 Sep 1;46(5):1247-52. doi: 10.1002/1097-0142(19800901)46:5<1247::aid-cncr2820460527>3.0.co;2-5.,['0 (Antineoplastic Agents)'],,,,,,,,,
6783270,NLM,MEDLINE,19810623,20200304,0171-967X (Print) 0171-967X (Linking),33,2,1981,Virally induced periosteal osteogenesis in mice.,135-42,Inoculation of Moloney murine sarcoma virus (M-MSV) into shank muscles of adult NMRI mice resulted in localized sarcoma and periosteal membrane proliferation with subsequent periosteal bone formation. Newly formed bone arose from outer surface of shank bones. Two weeks after M-MSV inoculation the width of bone cortex increased nearly 4 times. The spaces between newly formed bone ossicles were filled with bone marrow. In the later stages these bone marrow cavities were merged with medullar cavities. No extraskeletal bone formation was observed. The regression of M-MSV-induced sarcomas coincides with cessation of the proliferation of bone therefore allowing the maturation and rebuilding of bone. Newly formed bone was not resorbed during a 6-month observation period.,"['Wlodarski, K', 'Kobus, M', 'Luczak, M', 'Dolowy, J']","['Wlodarski K', 'Kobus M', 'Luczak M', 'Dolowy J']",['eng'],['Journal Article'],United States,Calcif Tissue Int,Calcified tissue international,7905481,IM,"['Animals', 'Bone Neoplasms/microbiology/pathology', 'Bone and Bones/*microbiology/pathology', 'Female', 'Male', 'Mice', 'Mice, Inbred Strains', 'Moloney murine leukemia virus/*physiology', '*Osteogenesis', 'Periosteum/*microbiology', 'Sarcoma, Experimental/microbiology']",,1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF02409426 [doi]'],ppublish,Calcif Tissue Int. 1981;33(2):135-42. doi: 10.1007/BF02409426.,,,,,,,,,,
6783266,NLM,MEDLINE,19810625,20071115,0001-4079 (Print) 0001-4079 (Linking),164,8,1980 Nov,[Lymphoid populations in chronic lymphoid leukemia].,718-24,,"['Piguet, H', 'Lees, O', 'Lenormand, B']","['Piguet H', 'Lees O', 'Lenormand B']",['fre'],['Journal Article'],Netherlands,Bull Acad Natl Med,Bulletin de l'Academie nationale de medecine,7503383,IM,"['B-Lymphocytes/*immunology', 'Humans', 'Immunoglobulin Heavy Chains', 'Immunoglobulin Light Chains', 'Leukemia, Lymphoid/*immunology', 'T-Lymphocytes/*immunology']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,Bull Acad Natl Med. 1980 Nov;164(8):718-24.,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)']",,Les populations lymphocytaires dans le leucemie lymphoide chronique (L.L.C.).,,,,,,,
6783235,NLM,MEDLINE,19810623,20190501,0267-0623 (Print) 0267-0623 (Linking),282,6269,1981 Mar 28,Exaggerated hypokalaemia in acute myeloid leukaemia.,1034-5,,"['Adams, P C', 'Woodhouse, K W', 'Adela, M', 'Parnham, A']","['Adams PC', 'Woodhouse KW', 'Adela M', 'Parnham A']",['eng'],"['Case Reports', 'Journal Article']",England,Br Med J (Clin Res Ed),British medical journal (Clinical research ed.),8302911,IM,"['Female', 'Humans', 'Hypokalemia/*etiology', 'Leukemia, Myeloid, Acute/blood/*complications', 'Middle Aged', 'Potassium/blood', 'Time Factors']",PMC1504908,1981/03/28 00:00,1981/03/28 00:01,['1981/03/28 00:00'],"['1981/03/28 00:00 [pubmed]', '1981/03/28 00:01 [medline]', '1981/03/28 00:00 [entrez]']",['10.1136/bmj.282.6269.1034 [doi]'],ppublish,Br Med J (Clin Res Ed). 1981 Mar 28;282(6269):1034-5. doi: 10.1136/bmj.282.6269.1034.,['RWP5GA015D (Potassium)'],,,,,,,,,
6783159,NLM,MEDLINE,19810623,20190501,0267-0623 (Print) 0267-0623 (Linking),282,6266,1981 Mar 7,Second remissions in childhood acute lymphoblastic leukaemia.,760-1,,,,['eng'],['Editorial'],England,Br Med J (Clin Res Ed),British medical journal (Clinical research ed.),8302911,IM,"['Acute Disease', 'Child', 'Humans', 'Leukemia, Lymphoid/drug therapy/*mortality', 'Prognosis']",PMC1504631,1981/03/07 00:00,1981/03/07 00:01,['1981/03/07 00:00'],"['1981/03/07 00:00 [pubmed]', '1981/03/07 00:01 [medline]', '1981/03/07 00:00 [entrez]']",['10.1136/bmj.282.6266.760-a [doi]'],ppublish,Br Med J (Clin Res Ed). 1981 Mar 7;282(6266):760-1. doi: 10.1136/bmj.282.6266.760-a.,,,,,,,,,,
6783143,NLM,MEDLINE,19810625,20131121,0006-341X (Print) 0006-341X (Linking),36,3,1980 Sep,Survival analysis of drug combinations using a hazards model with time-dependent covariates.,537-46,"Hazard functions in cancer chemotherapeutic situations may not be proportional, so a nonproportional hazard model has been developed. The dose-response surface is explored by regression analysis of experimental data, and after the estimation of the underlying hazard function the quality of the fit of the model is assessed. Further, treatment levels may be optimized, and estimated survival distributions can be plotted for any treatment combination. In an example of two-drug treatment of murine L1210 leukemia, statistically significant nonproportionality is determined. Analysis permits extraction of potentially important information on drug interrelationships, which has been previously unavailable.","['Stablein, D M', 'Carter, W H Jr', 'Wampler, G L']","['Stablein DM', 'Carter WH Jr', 'Wampler GL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biometrics,Biometrics,0370625,IM,"['Altretamine/administration & dosage', 'Animals', 'Antineoplastic Agents/*administration & dosage', 'Disease Models, Animal', '*Drug Therapy, Combination', 'Female', 'Leukemia L1210/*drug therapy/mortality', 'Mice', 'Razoxane/administration & dosage', 'Risk']",,1980/09/01 00:00,2001/03/28 10:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1980/09/01 00:00 [entrez]']",,ppublish,Biometrics. 1980 Sep;36(3):537-46.,"['0 (Antineoplastic Agents)', '5AR83PR647 (Razoxane)', 'Q8BIH59O7H (Altretamine)']",['CA 23333/CA/NCI NIH HHS/United States'],,,,,,,,
6783126,NLM,MEDLINE,19810625,20131121,0320-9725 (Print) 0320-9725 (Linking),45,1,1980 Jan,[Mathematical description and study of the folic acid cycle reactions].,83-97,"A general description of the folic acid cycle and associate reactions of thymidilate, purines, methionine and serine biosyntheses is presented as a system of differential equations. The concrete models of this reaction complex as well as methotrexate transport into the leukemia L 1210 and Ehrlich ascite tumour cells and the dynamic inhibition of the target enzyme--dihydrofolate reductase--by methotrexate have been described and investigated. The adequacy of mathematical models to the experimental data has been demonstrated.","['Vorontsov, I N', 'Greshilov, M M', 'Belousova, A K', 'Gerasimova, G K']","['Vorontsov IN', 'Greshilov MM', 'Belousova AK', 'Gerasimova GK']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Biokhimiia,"Biokhimiia (Moscow, Russia)",0372667,IM,"['Animals', 'Biological Transport', 'Carcinoma, Ehrlich Tumor/metabolism', 'Folic Acid/*metabolism', 'Humans', 'Kinetics', 'Leukemia L1210/metabolism', 'Mathematics', 'Methionine/biosynthesis', 'Methotrexate/metabolism', 'Mice', 'Purines/biosynthesis', 'Rats', 'Serine/biosynthesis', 'Tetrahydrofolate Dehydrogenase/metabolism', 'Thymidine Monophosphate/biosynthesis']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Biokhimiia. 1980 Jan;45(1):83-97.,"['0 (Purines)', '365-07-1 (Thymidine Monophosphate)', '452VLY9402 (Serine)', '935E97BOY8 (Folic Acid)', 'AE28F7PNPL (Methionine)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'YL5FZ2Y5U1 (Methotrexate)']",,O matematicheskom opisanii i issledovanii zakonomernostei funktsionirovaniia tsikla folievoi kisloty.,,,,,,,
6783032,NLM,MEDLINE,19810513,20190908,0090-5542 (Print) 0090-5542 (Linking),15,,1980,Mutation induction in a radiation-sensitive variant of mammalian cells.,343-7,"Ultraviolet light (UV)-induced mutations were compared between a UV-sensitive variant and its parental mouse lymphoma cell line. The variant was originally isolated for its sensitivity to 4-nitro-quinoline-1-oxide by employing a replica plating method and proved to be sensitive to the killing by UV as well. Caffeine potentiation of UV killing was observed to a similar extent in the variant and the parental cells, indicating that the caffeine-insensitive process is responsible for UV sensitivity in the variant. The induced mutation frequency as determined by resistance to 6-thioguanine was higher in the variant than in the parental cells per unit dose of UV as well as at the comparable survival level.","['Sato, K']",['Sato K'],['eng'],['Journal Article'],United States,Basic Life Sci,Basic life sciences,0360077,IM,"['4-Nitroquinoline-1-oxide/pharmacology', 'Animals', 'Cells, Cultured', 'Clone Cells/drug effects/radiation effects', 'Dose-Response Relationship, Radiation', 'Genetic Variation', 'Leukemia L5178', 'Mice', '*Mutation', '*Radiation Tolerance', 'Ultraviolet Rays']",,1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1007/978-1-4684-3842-0_22 [doi]'],ppublish,Basic Life Sci. 1980;15:343-7. doi: 10.1007/978-1-4684-3842-0_22.,['56-57-5 (4-Nitroquinoline-1-oxide)'],,,,,,,,,
