PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,GR,CON,PMC,CIN,EIN,CI,TT,OTO,OT,MID,CN,IR,FIR,SI,OID,AUID
23079061,NLM,MEDLINE,20130603,20181202,1532-8686 (Electronic) 0037-1963 (Linking),49,4,2012 Oct,Lenalidomide for del(5q) and non-del(5q) myelodysplastic syndromes.,312-22,"Lenalidomide leads to high rates of erythroid transfusion independence in low and intermediate-1 risk International Prognostic Scoring System (IPSS) del(5q) myelodysplastic syndromes (MDS), with a considerable number of patients achieving complete and partial cytogenetic remissions. The median duration of transfusion independence is 2 years, mainly at the expense of neutropenia and thrombocytopenia in the first courses of therapy. At present, the optimal initial treatment dose has been determined to be 10 mg administered orally daily for 21 out of 28 days. In general, the effects in non-del(5q) disease can be divided by 50%: non-del(5q) patients show 50% of erythroid response, 50% of duration of response, and 50% incidence of grade 3 and 4 neutropenia and thrombocytopenia compared to del(5q) patients. Recent data suggest that the risk of acute myeloid leukemia (AML) progression of del(5q) patients is dependent on their individual risk factors before treatment initiation, including World Health Organization (WHO) prognostic scoring system parameters and TP53 mutations. These data also indicate that lenalidomide per se is not leukemogenic. Length of treatment can be tailored according to response, and patients who relapse during treatment might restart after a period of drug holiday. This article will also discuss combination strategies with lenalidomide in higher risk disease.","['Giagounidis, Aristoteles A N']",['Giagounidis AA'],"['Department of Hematology, Oncology, and Palliative Care, Marienhospital Dusseldorf, Dusseldorf, Germany. 5qminus@email.de']",['eng'],"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,"['4Z8R6ORS6L (Thalidomide)', 'F0P408N6V4 (Lenalidomide)']",IM,"['*Chromosome Deletion', '*Chromosomes, Human, Pair 5', 'Humans', 'Lenalidomide', 'Leukemia, Myeloid, Acute/drug therapy/genetics', 'Myelodysplastic Syndromes/*drug therapy/*genetics', 'Thalidomide/*analogs & derivatives/pharmacology/therapeutic use', 'Treatment Outcome']",2012/10/20 06:00,2013/06/05 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2013/06/05 06:00 [medline]']","['S0037-1963(12)00062-5 [pii]', '10.1053/j.seminhematol.2012.07.001 [doi]']",ppublish,Semin Hematol. 2012 Oct;49(4):312-22. doi: 10.1053/j.seminhematol.2012.07.001.,10.1053/j.seminhematol.2012.07.001 [doi] S0037-1963(12)00062-5 [pii],,,,,,,['Copyright (c) 2012 Elsevier Inc. All rights reserved.'],,,,,,,,,,
23079059,NLM,MEDLINE,20130603,20121019,1532-8686 (Electronic) 0037-1963 (Linking),49,4,2012 Oct,Treatment of low-risk myelodysplastic syndrome: hematopoietic growth factors erythropoietins and thrombopoietins.,295-303,"The use of erythropoietic growth factors has become standard of care in many countries for lower risk myelodysplastic syndrome (MDS) patients. Throughout a large number of clinical trials, therapy with erythropoietic agents has consistently shown improvement of anemia and reduction of transfusion dependence. There is currently no evidence of safety issues of erythropoietins in MDS, including thrombosis, polycythemia, and progressive disease. Large retrospective comparative analyses have shown no increase in mortality in erythropoietin (EPO)-treated MDS patients. Doses of up to 80,000 IU/wk have successfully been employed and the addition of granulocyte colony-stimulating factor (G-CSF) can benefit previously unresponsive patients. Although several other combination therapies have been tested, apart from G-CSF, none has gained wide clinical acceptance. Thrombopoietic agents can alleviate thrombocytopenia and bleeding symptoms in lower risk MDS patients. However, concerns regarding a higher rate of transformation to acute myeloid leukemia and the fear of increased bone marrow fibrosis during treatment have hampered their clinical development.","['Santini, Valeria']",['Santini V'],"['University of Florence, AOU Careggi, Firenze, Italy. santini@unifi.it']",['eng'],"['Journal Article', 'Meta-Analysis', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,"['11096-26-7 (Erythropoietin)', '9014-42-0 (Thrombopoietin)']",IM,"['Erythropoietin/adverse effects/*therapeutic use', 'Humans', 'Myelodysplastic Syndromes/blood/*drug therapy', 'Thrombopoietin/adverse effects/*therapeutic use']",2012/10/20 06:00,2013/06/05 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2013/06/05 06:00 [medline]']","['S0037-1963(12)00072-8 [pii]', '10.1053/j.seminhematol.2012.09.003 [doi]']",ppublish,Semin Hematol. 2012 Oct;49(4):295-303. doi: 10.1053/j.seminhematol.2012.09.003.,10.1053/j.seminhematol.2012.09.003 [doi] S0037-1963(12)00072-8 [pii],,,,,,,['Copyright (c) 2012 Elsevier Inc. All rights reserved.'],,,,,,,,,,
23078777,NLM,MEDLINE,20130924,20121115,1873-3344 (Electronic) 0162-0134 (Linking),117,,2012 Dec,"A novel organobismuth compound, 1-[(2-di-p-tolylbismuthanophenyl)diazenyl]pyrrolidine, induces apoptosis in the human acute promyelocytic leukemia cell line NB4 via reactive oxygen species.",77-84,"A novel organobismuth compound, 1-[(2-di-p-tolylbismuthanophenyl)diazenyl]pyrrolidine (4), which has 1-(phenyldiazenyl)pyrrolidine (1) substituent in a benzene ring of tri(p-tolyl)bismuthane (2), was synthesized and tested for biological activity toward human tumor cell lines. 4 had a potent anti-proliferative effect on human cancer cell lines, although both 1 and 2 exhibited only weak activity. The sensitivity of leukemic cell lines to 4 was relatively high; IC(50) values for the human leukemia cell line NB4 and cervical cancer cell line HeLa were 0.88 muM and 5.36 muM, respectively. Treatment of NB4 cells with 4 induced apoptosis, loss of mitochondrial membrane potential (DeltaPsi(mt)) and the generation of cellular reactive oxygen species (ROS). 1 and 2 did not induce apoptosis and had only a marginal effect on DeltaPsi(mt) and the generation of ROS. N-acetyl cysteine (NAC) reduced the generation of ROS and conferred protection against 4-induced apoptosis, indicating a role for oxidative stress. 4 did not inhibit the polymerization of tubulin in vitro. 1-[2-(di-p-tolylstibanophenyl)diazenyl]pyrrolidine (3), which has the same chemical structure as 4 but contains antimony in place of bismuth, did not show any cytotoxic activity. The results suggest that the conjugated structure of the diazenylpyrrolidine moiety and bismuth center are key to the bioactivity of 4.","['Onishi, Kengo', 'Douke, Mizuho', 'Nakamura, Taisuke', 'Ochiai, Youta', 'Kakusawa, Naoki', 'Yasuike, Shuji', 'Kurita, Jyoji', 'Yamamoto, Chika', 'Kawahata, Masatoshi', 'Yamaguchi, Kentaro', 'Yagura, Tatsuo']","['Onishi K', 'Douke M', 'Nakamura T', 'Ochiai Y', 'Kakusawa N', 'Yasuike S', 'Kurita J', 'Yamamoto C', 'Kawahata M', 'Yamaguchi K', 'Yagura T']","['Department of Bioscience, Faculty of Science and Technology, Kwansei Gakuin University, 2-1, Gakuen, Sanda, 669-1337, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Inorg Biochem,Journal of inorganic biochemistry,7905788,"['0 (1-((2-di-p-tolylbismuthanophenyl)diazenyl)pyrrolidine)', '0 (Antineoplastic Agents)', '0 (Organometallic Compounds)', '0 (Reactive Oxygen Species)', '0 (Tubulin)']",IM,"['Antineoplastic Agents/chemistry/*pharmacology', '*Apoptosis', 'Cell Division', 'Cell Line, Tumor', 'HeLa Cells', 'Humans', 'Leukemia, Promyelocytic, Acute/*metabolism/pathology', 'Membrane Potential, Mitochondrial/drug effects', 'Mitochondria/drug effects/metabolism', 'Organometallic Compounds/chemistry/*pharmacology', 'Reactive Oxygen Species/*metabolism', 'Tubulin/metabolism']",2012/10/20 06:00,2013/09/26 06:00,['2012/10/20 06:00'],"['2012/05/23 00:00 [received]', '2012/09/04 00:00 [revised]', '2012/09/04 00:00 [accepted]', '2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2013/09/26 06:00 [medline]']","['S0162-0134(12)00284-X [pii]', '10.1016/j.jinorgbio.2012.09.009 [doi]']",ppublish,J Inorg Biochem. 2012 Dec;117:77-84. doi: 10.1016/j.jinorgbio.2012.09.009. Epub 2012 Sep 12.,10.1016/j.jinorgbio.2012.09.009 [doi] S0162-0134(12)00284-X [pii],20120912,,,,,,['Copyright (c) 2012 Elsevier Inc. All rights reserved.'],,,,,,,,,,
23078653,NLM,PubMed-not-MEDLINE,20130207,20211021,1752-1947 (Electronic) 1752-1947 (Linking),6,,2012 Oct 18,Relapsed acute promyelocytic leukemia in a hemodialysis-dependent patient treated with arsenic trioxide: a case report.,355,"UNLABELLED: INTRODUCTION: In the relapsed setting, arsenic trioxide remains the backbone of treatment. Scant literature exists regarding treatment of relapsed acute promyelocytic leukemia in patients with renal failure. To the best of our knowledge we are the first to report a safe and effective means of treatment for relapsed acute promyelocytic leukemia in the setting of advanced renal failure, employing titration of arsenic trioxide based on clinical parameters rather than arsenic trioxide levels. CASE PRESENTATION: A 33-year-old Caucasian man with a history of acute promyelocytic leukemia in remission for 3 years, as well as dialysis-dependent chronic renal failure secondary to a solitary kidney and focal segmental glomerulosclerosis and human immunodeficiency virus infection, receiving highly active antiretroviral therapy presented to our hospital with bone marrow biopsy-confirmed relapsed acute promyelocytic leukemia. Arsenic trioxide was begun at a low dose with dose escalation based only on side effect profile monitoring and not laboratory testing for induction as well as maintenance without undue toxicity. Our patient achieved and remains in complete hematologic and molecular remission as of this writing. CONCLUSION: Arsenic trioxide can be used safely and effectively to treat acute promyelocytic leukemia in patients with advanced renal failure using careful monitoring of side effects rather than blood levels of arsenic to guide therapeutic dosing.","['Emmons, Gregory S', 'Steingart, Richard H', 'Stewart, James A', 'Mertens, Wilson C']","['Emmons GS', 'Steingart RH', 'Stewart JA', 'Mertens WC']","['Baystate Regional Cancer Program, 3400A Main Street, Springfield, MA 01199, USA. wilson.mertens@baystatehealth.org.']",['eng'],['Journal Article'],England,J Med Case Rep,Journal of medical case reports,101293382,,,,2012/10/20 06:00,2012/10/20 06:01,['2012/10/20 06:00'],"['2012/05/25 00:00 [received]', '2012/09/20 00:00 [accepted]', '2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2012/10/20 06:01 [medline]']","['1752-1947-6-355 [pii]', '10.1186/1752-1947-6-355 [doi]']",epublish,J Med Case Rep. 2012 Oct 18;6:355. doi: 10.1186/1752-1947-6-355.,10.1186/1752-1947-6-355 [doi],20121018,,,PMC3514175,,,,,,,,,,,,,
23078646,NLM,MEDLINE,20131209,20190116,1029-2403 (Electronic) 1026-8022 (Linking),54,6,2013 Jun,Effects of Toll-like receptor 7 and Toll-like receptor 9 signaling stimulators and inhibitors on chronic lymphocytic leukemia cells ex vivo and their interactions with cladribine.,1268-78,"Chronic lymphocytic leukemia (CLL) is characterized by the accumulation of malignant B lymphocytes in the peripheral blood that are regarded as poorly antigenic to the host immune system. Nonetheless, they are thought to be able to undergo stimulation and become antigen-presenting cells possibly through Toll-like receptors (TLRs). Several studies have examined the effect of TLR7 and TLR9 stimulation on the biology of CLL cells, revealing contradictory results in terms of cell proliferation and apoptosis. On the other hand, suppression of TLRs has not been studied in CLL so far, and the rationale for this may be increasing evidence of the supportive role of TLR signaling in CLL. In our study we assessed the effect of a synthetic oligodeoxynucleotide with immunoregulatory sequences (IRS 954) on peripheral blood cells from patients with untreated CLL, in terms of expression of costimulatory molecules, production of cytokines and cell viability ex vivo. Agonists of TLR7 (imiquimod, IMI) and TLR9 (oligodeoxynucleotide ODN 2006) acted as positive internal controls. ODN 2006 most markedly induced CD86 expression compared to IMI and IRS 954. Both oligodeoxynucleotides - IRS 954 and ODN 2006 - caused 1.5- and 5-fold increases of CD40 on CLL cells, respectively. Immunostimulatory ODN 2006 induced CD95 expression 1.5-fold. Changes in costimulatory molecule expression were accompanied by a moderate response from CD4 + and CD8 + T lymphocytes. TLR7 and TLR9 agonists led to significantly higher production of interleukin 6 (IL-6) and IL-10. IRS 954 and ODN 2006 markedly increased the concentration of tumor necrosis factor alpha (TNFalpha). IL-17A was significantly decreased by 50% after IMI. IRS 954 and IMI induced significant necrosis at all concentrations, and the effect was augmented by the addition of cladribine (2CdA). ODN 2006 presented a dual effect on cell viability, which was related to disease stage and baseline IL-17A concentration. The addition of 2CdA had little effect in a group where ODN 2006 supported cell survival, and further enhanced cytotoxicity of ODN 2006 in the second group. Inhibitory oligodeoxynucleotides seem to exert promising antileukemic effects regardless of sample background, and thus may become a new modality in CLL. The response of leukemic cells to ODN 2006 varies between samples and cannot yet be predicted.","['Wolska, Anna', 'Cebula-Obrzut, Barbara', 'Smolewski, Piotr', 'Robak, Tadeusz']","['Wolska A', 'Cebula-Obrzut B', 'Smolewski P', 'Robak T']","['Department of Hematology, Medical University of Lodz, Poland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Antigens, CD)', '0 (Antineoplastic Agents)', '0 (Cytokines)', '0 (IRS 954)', '0 (Ligands)', '0 (Toll-Like Receptor 7)', '0 (Toll-Like Receptor 9)', '47M74X9YT5 (Cladribine)', '9007-49-2 (DNA)']",IM,"['Aged', 'Antigens, CD/metabolism', 'Antineoplastic Agents/*pharmacology', 'Cladribine/*pharmacology', 'Cytokines/biosynthesis', 'DNA/*pharmacology/toxicity', 'Drug Interactions', 'Female', 'Humans', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism/pathology', 'Ligands', 'Male', 'Middle Aged', 'Signal Transduction/*drug effects', 'Toll-Like Receptor 7/agonists/antagonists & inhibitors/*metabolism', 'Toll-Like Receptor 9/agonists/antagonists & inhibitors/*metabolism', 'Tumor Cells, Cultured']",2012/10/20 06:00,2013/12/16 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2013/12/16 06:00 [medline]']",['10.3109/10428194.2012.741233 [doi]'],ppublish,Leuk Lymphoma. 2013 Jun;54(6):1268-78. doi: 10.3109/10428194.2012.741233. Epub 2012 Nov 20.,10.3109/10428194.2012.741233 [doi],20121120,,,,,,,,,,,,,,,,
23078406,NLM,MEDLINE,20130510,20190116,1525-6014 (Electronic) 0148-0545 (Linking),36,1,2013 Jan,The influence of curcumin and (-)-epicatechin on the genotoxicity and myelosuppression induced by etoposide in bone marrow cells of male rats.,93-101,"Oxidative DNA damage, caused by etoposide cytostatic drug in healthy myeloid precursors, is likely to contribute to the development of treatment-related acute myeloid leukemia (t-AML) in some cancer patients. A frequent side effect of etoposide is myelosuppression, which restricts the use of this drug. Antioxidants from the polyphenol group have the potential to limit this damage. The aim of this study was to determine the effect of (-)-epicatechin and curcumin on DNA damage and myelosuppression induced by etoposide in bone marrow cells of male rats. Rats were treated with the following: 1) (-)-epicatechin [20 and 40 mg/kg body weight (b.w.) by gavage] or curcumin (100 and 200 mg/kg b.w. by gavage) for 7 days; 2) etoposide (50 mg/kg b.w., intraperitoneally) for 3 days; 3) (-)-epicatechin or curcumin for 4 days, followed by coadministration of etoposide for the last 3 days of the experiment; and 4) solvents of the examined compounds (control group). Bone marrow cells were isolated, and DNA damage was analyzed by comet assay. Bone marrow smears were evaluated cytologically. Etoposide administration induced serious DNA damage and hypoplasia of bone marrow. Both curcumin and (-)-epicatechin significantly attenuated etoposide-induced oxidative DNA damage. Curcumin also significantly reduced the DNA strand break and hypoplasia caused by cytostatic drug. This polyphenol increased the percentage of granulocytic precursors and lymphocytes diminished by etoposide. Curcumin exerted greater protection than (-)-epicatechin against undesirable effects induced by the cytostatic.","['Papiez, Monika A']",['Papiez MA'],"['Department of Cytobiology, Faculty of Pharmacy, Jagiellonian University Medical College, Krakow, Poland. monika.papiez@uj.edu.pl']",['eng'],['Journal Article'],United States,Drug Chem Toxicol,Drug and chemical toxicology,7801723,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Polyphenols)', '6PLQ3CP4P3 (Etoposide)', '8R1V1STN48 (Catechin)', 'IT942ZTH98 (Curcumin)']",IM,"['Animals', 'Antineoplastic Agents, Phytogenic/*toxicity', 'Bone Marrow Cells/*drug effects', 'Catechin/*pharmacology', 'Curcumin/*pharmacology', 'DNA Damage', 'Etoposide/*toxicity', 'Male', 'Oxidative Stress/drug effects', 'Polyphenols/pharmacology', 'Rats', 'Rats, Inbred BN']",2012/10/20 06:00,2013/05/11 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2013/05/11 06:00 [medline]']",['10.3109/01480545.2012.726626 [doi]'],ppublish,Drug Chem Toxicol. 2013 Jan;36(1):93-101. doi: 10.3109/01480545.2012.726626. Epub 2012 Oct 19.,10.3109/01480545.2012.726626 [doi],20121019,,,,,,,,,,,,,,,,
23078033,NLM,MEDLINE,20140912,20140113,1365-2303 (Electronic) 0956-5507 (Linking),25,1,2014 Feb,Lymphoblastic cells in serous effusions in fetal hydrops mimicking acute lymphoblastic leukaemia: a report of two cases.,51-3,,"['Oda, T', 'Shimazaki, H', 'Asai, K', 'Yoshida, M', 'Matsuda, H', 'Takahashi, H', 'Endo, H', 'Minabe, S', 'Nakanishi, K', 'Tamai, S']","['Oda T', 'Shimazaki H', 'Asai K', 'Yoshida M', 'Matsuda H', 'Takahashi H', 'Endo H', 'Minabe S', 'Nakanishi K', 'Tamai S']","['Department of Laboratory Medicine, National Defense Medical College Hospital, Tokorozawa, Saitama, JapanDepartment of Obstetrics and Gynecology, National Defense Medical College, Tokorozawa, Saitama, JapanMatsuda Perinatal Clinic, Tokorozawa, Saitama, Japan.']",['eng'],"['Case Reports', 'Journal Article']",England,Cytopathology,Cytopathology : official journal of the British Society for Clinical Cytology,9010345,"['0 (Antigens, CD)']",IM,"['Adult', 'Antigens, CD/analysis', '*Diagnosis, Differential', 'Female', 'Humans', 'Hydrops Fetalis/diagnosis/*pathology', 'Immunohistochemistry', 'Lymphocytes/*pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*pathology']",2012/10/20 06:00,2014/09/13 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2014/09/13 06:00 [medline]']",['10.1111/cyt.12028 [doi]'],ppublish,Cytopathology. 2014 Feb;25(1):51-3. doi: 10.1111/cyt.12028. Epub 2012 Oct 18.,10.1111/cyt.12028 [doi],20121018,,,,,,,,,,,,,,,,
23078005,NLM,MEDLINE,20130319,20130110,1365-2141 (Electronic) 0007-1048 (Linking),160,2,2013 Jan,Comparative analysis of IL6 and IL6 receptor gene polymorphisms in mastocytosis.,216-9,"Mastocytosis is a rare disease with reported high interleukin-6 (IL6) levels influencing disease severity. The present study investigated polymorphisms within the genes that encode IL6 and its receptor (IL6R) in relation to mastocytosis development in a case-control design. Analysis of the IL6R Asp358Ala polymorphism showed that carriers of the AA genotype had a 2.5-fold lower risk for mastocytosis than those with the AC or CC genotypes. No association with mastocytosis was found for the IL6-174G/C polymorphism, however, it may influence the effect of IL6R polymorphism. To the best of our knowledge this is the first study analysing IL6/IL6R polymorphisms in mastocytosis.","['Rausz, Eszter', 'Szilagyi, Agnes', 'Nedoszytko, Boguslaw', 'Lange, Magdalena', 'Niedoszytko, Marek', 'Lautner-Csorba, Orsolya', 'Falus, Andras', 'Aladzsity, Istvan', 'Kokai, Marta', 'Valent, Peter', 'Marschalko, Marta', 'Hidvegi, Bernadett', 'Szakonyi, Jozsef', 'Csomor, Judit', 'Varkonyi, Judit']","['Rausz E', 'Szilagyi A', 'Nedoszytko B', 'Lange M', 'Niedoszytko M', 'Lautner-Csorba O', 'Falus A', 'Aladzsity I', 'Kokai M', 'Valent P', 'Marschalko M', 'Hidvegi B', 'Szakonyi J', 'Csomor J', 'Varkonyi J']","['PhD School, Semmelweis University of Medicine, Budapest, Hungary.']",['eng'],"['Comparative Study', 'Journal Article', 'Multicenter Study']",England,Br J Haematol,British journal of haematology,0372544,"['0 (IL6 protein, human)', '0 (IL6R protein, human)', '0 (Interleukin-6)', '0 (Receptors, Interleukin-6)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Alleles', 'Austria/epidemiology', 'Case-Control Studies', 'Epistasis, Genetic', 'Female', 'Gene Frequency', 'Genetic Predisposition to Disease', 'Genotype', 'Humans', 'Hungary/epidemiology', 'Interleukin-6/*genetics', 'Leukemia, Mast-Cell/genetics', 'Male', 'Mastocytosis/epidemiology/*genetics', 'Middle Aged', 'Poland/epidemiology', '*Polymorphism, Single Nucleotide', 'Receptors, Interleukin-6/*genetics', 'Young Adult']",2012/10/20 06:00,2013/03/21 06:00,['2012/10/20 06:00'],"['2012/05/18 00:00 [received]', '2012/09/04 00:00 [accepted]', '2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2013/03/21 06:00 [medline]']",['10.1111/bjh.12086 [doi]'],ppublish,Br J Haematol. 2013 Jan;160(2):216-9. doi: 10.1111/bjh.12086. Epub 2012 Oct 18.,10.1111/bjh.12086 [doi],20121018,,,,,,['(c) 2012 Blackwell Publishing Ltd.'],,,,,,,,,,
23077900,NLM,MEDLINE,20121221,20181202,0048-7848 (Print) 0048-7848 (Linking),116,1,2012 Jan-Mar,Optimization of culture conditions for bone marrow stromal cells in RPMI-1640 medium.,222-7,"UNLABELLED: Bone marrow mesenchymal stem cells are important for both research and clinical purpose. A number of culture methods for these cells are available on the market, many of them consisting of specialized growing media in combination with growth factors. Our goal was to optimize a less expensive culture method for bone marrow mesenchymal cells. MATERIAL AND METHODS: Eight samples of bone marrow aspirates from patients were used. Out these 8 samples 2 were from healthy people, 3 from chronic granulocytic leukemia patients, 2 from multiple myeloma patients and 2 from patients with myelodysplastic syndrome. Bone aspirates from healthy people were used to optimize the culture method and the rest were used for testing the optimized method. Two methods were tried: 1. Cell culture starting from whole bone marrow, 2) cell culture after bone marrow separation in density gradient with Histopaque. RESULTS: Cell culture starting from whole bone marrow gives better yields for mesenchymal stem cells than methods which include gradient density separation of mononuclear cells with Ficoll-Histopaque. CONCLUSIONS: We have optimised a less expensive cell culture method for bone marrow mesenchymal cells.","['Peptanariu, D', 'Zlei, Mihaela', 'Negura, Anca', 'Carasevici, E']","['Peptanariu D', 'Zlei M', 'Negura A', 'Carasevici E']","['Immunology Department, School of Medicine, University of Medicine and Pharmacy ""Grigore T. Popa"", Iasi.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Romania,Rev Med Chir Soc Med Nat Iasi,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,0413735,"['0 (Contrast Media)', '0 (Culture Media)', '117-96-4 (Diatrizoate)', '25702-74-3 (Ficoll)', '737-31-5 (histopaque)']",IM,"['Bone Marrow Cells/cytology', '*Cell Culture Techniques/economics', 'Cell Differentiation', 'Cell Proliferation', 'Cell Separation/methods', 'Centrifugation, Density Gradient/economics', 'Contrast Media/pharmacology', 'Culture Media/*chemistry/economics', 'Diatrizoate/pharmacology', 'Ficoll/pharmacology', 'Flow Cytometry/methods', 'Humans', 'Mesenchymal Stem Cells/*cytology', 'Romania', 'Stem Cell Transplantation/economics']",2012/10/20 06:00,2012/12/22 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2012/12/22 06:00 [medline]']",,ppublish,Rev Med Chir Soc Med Nat Iasi. 2012 Jan-Mar;116(1):222-7.,,,,,,,,,,,,,,,,,,
23077869,NLM,MEDLINE,20121221,20121019,0048-7848 (Print) 0048-7848 (Linking),116,1,2012 Jan-Mar,[Pulmonary toxoplasmosis in immunosuppressed patient].,30-3,Pulmonary toxoplasmosis occurs mainly in immunosuppressed patients and its diagnosis mainly relies upon biological confirmation of the parasite. We present the case of a 47 years patient in medullar aplasia after induction chemotherapy for acute lymphoblastic leukemia that developed pulmonary infiltrates of parasitic origin. The diagnosis of pulmonary toxoplasmosis was established after identification of the parasite in brochioloalveolar lavage fluid (BAL) and peripheral blood. Serological tests are of limited utility in immunosuppressed patients. We used classical methods for the diagnosis of parasitosis but they are being replaced by molecular methods. Polymerase Chain Reaction (PCR) allows a highly specific and sensitive diagnosis on any sample but it cannot be performed in any center.,"['Ripa, Carmen', 'Cojocaru, Ingrid', 'Luca, Mariana', 'Luca, Catalina Mihaela', 'Leon, Maria', 'Bahnea, Roxana-Gabriela']","['Ripa C', 'Cojocaru I', 'Luca M', 'Luca CM', 'Leon M', 'Bahnea RG']","['Universitatii de Medicina si Farmacie ""Grigore T. Popa"" - Iasi.']",['rum'],"['Case Reports', 'English Abstract', 'Journal Article']",Romania,Rev Med Chir Soc Med Nat Iasi,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,0413735,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/adverse effects', 'Bronchoalveolar Lavage Fluid/*parasitology', 'Enzyme-Linked Immunosorbent Assay', 'Fatal Outcome', 'Humans', '*Immunocompromised Host', 'Male', 'Middle Aged', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy', 'Predictive Value of Tests', 'Sensitivity and Specificity', '*Toxoplasma/immunology/parasitology', 'Toxoplasmosis/*diagnosis/immunology/parasitology/therapy']",2012/10/20 06:00,2012/12/22 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2012/12/22 06:00 [medline]']",,ppublish,Rev Med Chir Soc Med Nat Iasi. 2012 Jan-Mar;116(1):30-3.,,,,,,,,,Toxoplasmoza pulmonara la pacientul imunodeprimat.,,,,,,,,,
23077812,NLM,MEDLINE,20121108,20151119,0125-1562 (Print) 0125-1562 (Linking),43,4,2012 Jul,Dengue virus infection in a patient with chronic myeloid leukemia.,900-3,"This is a case report of a patient with chronic myeloid leukemia (CML) undergoing imatinib treatment who became infected with dengue virus. The patient presented with classic dengue symptoms, along with early minor bleeding (blood-stained sputum) during the first 5 days of illness. Continuous inpatient imatinib treatment for CML was given without blood transfusion. The hemoglobin and white blood-cell count slowly improved over 30 days while recovering from the dengue viral infection. The patient recovered from the dengue virus infection without complication. Clinical monitoring of hematologic changes is needed in dengue patients undergoing anticancer treatment.","['Chamnanchanunt, Supat', 'Thungthong, Pravinwan', 'Nakhakes, Chajchawan', 'Suwanban, Tawatchai', 'Iam-arunthai, Kunapa']","['Chamnanchanunt S', 'Thungthong P', 'Nakhakes C', 'Suwanban T', 'Iam-arunthai K']","['Department of Clinical Tropical Medicine, Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. supat.cha@mahidol.ac.th']",['eng'],"['Case Reports', 'Journal Article']",Thailand,Southeast Asian J Trop Med Public Health,The Southeast Asian journal of tropical medicine and public health,0266303,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Benzamides', 'Dengue/blood/*complications/*diagnosis', 'Hemorrhage/etiology', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/drug therapy/virology', 'Male', 'Piperazines/therapeutic use', 'Pyrimidines/therapeutic use']",2012/10/20 06:00,2012/11/09 06:00,['2012/10/20 06:00'],"['2012/10/20 06:00 [entrez]', '2012/10/20 06:00 [pubmed]', '2012/11/09 06:00 [medline]']",,ppublish,Southeast Asian J Trop Med Public Health. 2012 Jul;43(4):900-3.,,,,,,,,,,,,,,,,,,
