PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,TT,GR,OID,OAB,OABL,OTO,OT,GN,EIN,SI
4119340,NLM,MEDLINE,19730321,20190720,0008-8749 (Print) 0008-8749 (Linking),6,1,1973 Jan,Hypothesis: a model for generalised autoimmunity.,1-11,,"['Bretscher, P']",['Bretscher P'],['eng'],['Journal Article'],Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['Animals', '*Antibody Formation', 'Antibody Specificity', 'Antibody-Producing Cells', 'Antigens, Neoplasm', 'Autoantibodies', '*Autoimmune Diseases', 'B-Lymphocytes/immunology', 'Binding Sites, Antibody', 'Cell Transformation, Neoplastic', 'Disease Models, Animal', 'Epitopes', 'Histocompatibility', '*Immune Tolerance', 'Immunity, Cellular', 'Leukemia Virus, Murine/immunology', 'Leukemia, Lymphoid/*immunology', 'Mice', 'Mice, Inbred NZB', 'T-Lymphocytes/immunology', 'Thymus Gland/cytology/immunology/transplantation']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']","['0008-8749(73)90001-4 [pii]', '10.1016/0008-8749(73)90001-4 [doi]']",ppublish,Cell Immunol. 1973 Jan;6(1):1-11. doi: 10.1016/0008-8749(73)90001-4.,"['0 (Antigens, Neoplasm)', '0 (Autoantibodies)', '0 (Epitopes)']",,,,,,,,,,,
4119276,NLM,MEDLINE,19730319,20190824,0004-8291 (Print) 0004-8291 (Linking),1,4,1971 Nov,The significance of monoclonal gammopathy in a normal population.,398-401,,"['Carrell, R W', 'Colls, B M', 'Murray, J T']","['Carrell RW', 'Colls BM', 'Murray JT']",['eng'],['Journal Article'],Australia,Aust N Z J Med,Australian and New Zealand journal of medicine,1264322,IM,"['Adult', 'Aged', 'Blood Protein Disorders/*epidemiology/etiology', 'Blood Protein Electrophoresis', 'Female', 'Humans', 'Immunodiffusion', 'Immunoglobulin G', 'Immunoglobulin M', 'Leukemia, Monocytic, Acute/blood', 'Lymphocytosis/blood', 'Lymphoma, Non-Hodgkin/blood', 'Male', 'Middle Aged', 'Multiple Myeloma/blood', 'New Zealand', 'Waldenstrom Macroglobulinemia/epidemiology', '*gamma-Globulins']",,1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",['10.1111/j.1445-5994.1971.tb02551.x [doi]'],ppublish,Aust N Z J Med. 1971 Nov;1(4):398-401. doi: 10.1111/j.1445-5994.1971.tb02551.x.,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (gamma-Globulins)']",,,,,,,,,,,
4119136,NLM,MEDLINE,19730313,20131121,0023-6748 (Print) 0023-6748 (Linking),12,,1972,[Complex immunomorphological study of thrombocytes in the diagnosis of thrombocytopathies and of the possibility of complex therapy].,750-3,,"['Germanov, V A', 'Kabanov, I N']","['Germanov VA', 'Kabanov IN']",['rus'],['Journal Article'],Russia (Federation),Lab Delo,Laboratornoe delo,18230140R,IM,"['Anemia/*immunology/therapy', '*Antibody Formation', 'Antigen-Antibody Complex', 'Antineoplastic Agents/therapeutic use', 'Autoantibodies', 'Blood Platelets/*immunology', 'Blood Transfusion', 'Diphenhydramine/therapeutic use', 'Glucocorticoids/therapeutic use', 'Humans', 'Isoantibodies', 'Leukemia/*immunology/therapy', 'Purpura, Thrombocytopenic/*immunology/therapy']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",,ppublish,Lab Delo. 1972;12:750-3.,"['0 (Antigen-Antibody Complex)', '0 (Antineoplastic Agents)', '0 (Autoantibodies)', '0 (Glucocorticoids)', '0 (Isoantibodies)', '8GTS82S83M (Diphenhydramine)']",,Kompleksnoe immunomorfologicheskoe issledovanie trombotsitov v diagnostike trombotsitopatii i vozmozhnosti kompleksnoi terapii.,,,,,,,,,
4119130,NLM,MEDLINE,19730313,20071115,0023-6748 (Print) 0023-6748 (Linking),12,,1972,[Change in serum immunoglobulin fractions in chronic lympholeukosis].,733-5,,"['Masik, M G', 'Zhura, I I']","['Masik MG', 'Zhura II']",['rus'],['Journal Article'],Russia (Federation),Lab Delo,Laboratornoe delo,18230140R,IM,"['Chronic Disease', 'Female', 'Humans', 'Immunoglobulin A/*analysis', 'Immunoglobulin G/*analysis', 'Immunoglobulin M/*analysis', 'Leukemia, Lymphoid/*immunology', 'Male']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",,ppublish,Lab Delo. 1972;12:733-5.,"['0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)']",,Izmenenie immunoglobulinovykh fraktsii krovi pri khronicheskom limfoleikoze.,,,,,,,,,
4119104,NLM,MEDLINE,19730313,20190913,0003-9012 (Print) 0003-9012 (Linking),39,4,1972,Isolation of a leukovirus from a continuous human cell line.,309-16,,"['Zhdanov, V M', 'Soloviev, V D', 'Bektemirov, T A', 'Filatov, F P', 'Bykovsky, A F']","['Zhdanov VM', 'Soloviev VD', 'Bektemirov TA', 'Filatov FP', 'Bykovsky AF']",['eng'],['Journal Article'],Austria,Arch Gesamte Virusforsch,Archiv fur die gesamte Virusforschung,7506868,IM,"['Antigens, Viral', 'Avian Sarcoma Viruses/immunology', 'Bromodeoxyuridine/pharmacology', 'Cell Line', 'Centrifugation, Density Gradient', 'Clone Cells', 'DNA, Viral/biosynthesis', 'Humans', 'Immune Sera', 'Immunodiffusion', 'Karyotyping', 'Leukemia', 'Microscopy, Electron', 'Mitomycins/pharmacology', 'Nucleic Acid Hybridization', 'RNA Viruses/*isolation & purification', 'RNA, Viral', 'RNA-Directed DNA Polymerase/metabolism', 'Rauscher Virus/immunology', 'Retroviridae/enzymology/immunology/*isolation & purification', 'Staining and Labeling', 'Tritium']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",['10.1007/BF01241009 [doi]'],ppublish,Arch Gesamte Virusforsch. 1972;39(4):309-16. doi: 10.1007/BF01241009.,"['0 (Antigens, Viral)', '0 (DNA, Viral)', '0 (Immune Sera)', '0 (Mitomycins)', '0 (RNA, Viral)', '10028-17-8 (Tritium)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'G34N38R2N1 (Bromodeoxyuridine)']",,,,,,,,,,,
4118985,NLM,MEDLINE,19730307,20041117,0485-1439 (Print) 0485-1439 (Linking),13,3,1972 Jun,[PAS positivity in erythroblasts and its clinical evaluation].,355-62,,"['Oguro, M']",['Oguro M'],['jpn'],['Journal Article'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['*Erythrocytes', 'Hematologic Diseases/pathology', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Lymphocytes', '*Periodic Acid', '*Staining and Labeling']",,1972/06/01 00:00,1972/06/01 00:01,['1972/06/01 00:00'],"['1972/06/01 00:00 [pubmed]', '1972/06/01 00:01 [medline]', '1972/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1972 Jun;13(3):355-62.,['10450-60-9 (Periodic Acid)'],,,,,,,,,,,
4118956,NLM,MEDLINE,19730305,20080620,0032-3756 (Print) 0032-3756 (Linking),27,49,1972 Dec 4,[Content of proteins in the supernatant of leukocyte cell culture].,1922-5,,"['Kiersnowska, B', 'Bogdanikowa, B', 'Drozd, J', 'Bielawiec, M', 'Lukjan, H']","['Kiersnowska B', 'Bogdanikowa B', 'Drozd J', 'Bielawiec M', 'Lukjan H']",['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,IM,"['Alpha-Globulins/metabolism', 'Beta-Globulins/analysis', 'Cells, Cultured', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Immunoelectrophoresis', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid, Acute/blood', 'Leukocytes/*metabolism', 'Serum Globulins/*analysis', 'gamma-Globulins/metabolism']",,1972/12/04 00:00,1972/12/04 00:01,['1972/12/04 00:00'],"['1972/12/04 00:00 [pubmed]', '1972/12/04 00:01 [medline]', '1972/12/04 00:00 [entrez]']",,ppublish,Pol Tyg Lek. 1972 Dec 4;27(49):1922-5.,"['0 (Alpha-Globulins)', '0 (Beta-Globulins)', '0 (Serum Globulins)', '0 (gamma-Globulins)']",,Badania bialek w nadaczu hodowli krwinek bialych.,,,,,,,,,
4118952,NLM,MEDLINE,19730305,20031114,0002-3264 (Print) 0002-3264 (Linking),208,1,1973 Jan 1,[Biophysical and biochemical properties of a leukovirus passaged in monkeys].,230-2,,"['Zhdanov, V M', 'Lapin, B A', 'Bykovskii, A F', ""Al'tshtein, A D"", 'Iakovleva, L A']","['Zhdanov VM', 'Lapin BA', 'Bykovskii AF', ""Al'tshtein AD"", 'Iakovleva LA']",['rus'],['Journal Article'],Russia (Federation),Dokl Akad Nauk SSSR,Doklady Akademii nauk SSSR,7505465,IM,"['Animals', 'Antigens, Viral', 'Haplorhini', 'Leukemia, Experimental/microbiology/*veterinary', 'Macaca', 'Monkey Diseases/*microbiology', 'Papio', 'RNA-Directed DNA Polymerase', '*Retroviridae/immunology', 'Virus Diseases/*veterinary']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",,ppublish,Dokl Akad Nauk SSSR. 1973 Jan 1;208(1):230-2.,"['0 (Antigens, Viral)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",,"Biofizicheskie i biokhimicheskie svoistva leikovirusa, passiruemogo na obez'ianakh.",,,,,,,,,
4118912,NLM,MEDLINE,19730305,20190619,0008-543X (Print) 0008-543X (Linking),31,1,1973 Jan,Studies on the acid mucopolysaccharide coat of viruses and transformed cells.,165-74,,"['Shigematsu, T', 'Dmochowski, L']","['Shigematsu T', 'Dmochowski L']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Ammonia', 'Animals', 'Antibody Specificity', '*Cell Line', '*Cell Transformation, Neoplastic', 'Chlorides', 'Coloring Agents', 'Cricetinae', 'Embryo, Mammalian', 'Glycosaminoglycans/*analysis', 'Goats/immunology', 'Hyaluronoglucosaminidase', 'Immune Sera', 'Leukemia Virus, Murine/analysis', 'Mammary Tumor Virus, Mouse/analysis', 'Mice', 'Oxides', 'RNA Viruses/*analysis', 'Rabbits/immunology', 'Rats', 'Retroviridae/analysis', 'Ruthenium', 'Sarcoma, Experimental/pathology', 'Sheep/enzymology', 'Species Specificity', '*Staining and Labeling']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",['10.1002/1097-0142(197301)31:1<165::aid-cncr2820310123>3.0.co;2-g [doi]'],ppublish,Cancer. 1973 Jan;31(1):165-74. doi: 10.1002/1097-0142(197301)31:1<165::aid-cncr2820310123>3.0.co;2-g.,"['0 (Chlorides)', '0 (Coloring Agents)', '0 (Glycosaminoglycans)', '0 (Immune Sera)', '0 (Oxides)', '7664-41-7 (Ammonia)', '7UI0TKC3U5 (Ruthenium)', 'EC 3.2.1.35 (Hyaluronoglucosaminidase)']",,,,,,,,,,,
4118900,NLM,MEDLINE,19730302,20071115,0036-7672 (Print) 0036-7672 (Linking),102,44,1972 Nov 4,[Nucleolar fragmentation in rapid proliferation].,1594-5,,"['Undritz, E']",['Undritz E'],['ger'],['Journal Article'],Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,IM,"['*Cell Nucleolus', '*Cell Transformation, Neoplastic', 'Chromatin/analysis', 'Chromosomes/analysis', 'Humans', 'Infectious Mononucleosis/blood', 'Leukemia, Lymphoid/blood', 'Staining and Labeling']",,1972/11/04 00:00,1972/11/04 00:01,['1972/11/04 00:00'],"['1972/11/04 00:00 [pubmed]', '1972/11/04 00:01 [medline]', '1972/11/04 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr. 1972 Nov 4;102(44):1594-5.,['0 (Chromatin)'],,Die Nukleolenzersplitterung der Zellkerne bei starker Proliferation.,,,,,,,,,
