PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,PMC,TT,RF,SI,AD
6253659,NLM,MEDLINE,19810116,20200724,0022-538X (Print) 0022-538X (Linking),36,2,1980 Nov,Identification of the avian myeloblastosis virus genome. II. Restriction endonuclease analysis of DNA from lambda proviral recombinants and leukemic myeoblast clones.,325-36,"['Souza, L M', 'Briskin, M J', 'Hillyard, R L', 'Baluda, M A']","['Souza LM', 'Briskin MJ', 'Hillyard RL', 'Baluda MA']",['eng'],"['CA-09056/CA/NCI NIH HHS/United States', 'CA-10197/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Recombinant)', '0 (DNA, Viral)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Avian Leukosis/*microbiology', 'Avian Leukosis Virus/*genetics', 'Avian Myeloblastosis Virus/*genetics', 'Bacteriophage lambda', 'Chickens', 'Clone Cells', 'DNA Restriction Enzymes', 'DNA, Recombinant', 'DNA, Viral/genetics', '*Genes, Viral', '*Recombination, Genetic', 'Satellite Viruses/*genetics']",1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",['10.1128/JVI.36.2.325-336.1980 [doi]'],ppublish,J Virol. 1980 Nov;36(2):325-36. doi: 10.1128/JVI.36.2.325-336.1980.,"Two lambda proviral DNA recombinants were characterized with a number of restriction endonucleases. One recombinant contained a complete presumptive avian myeloblastosis virus (AMV) provirus flanked by cellular sequences on either side, and the second recombinant contained 85% of a myeloblastosis-associated virus type 1 (MAV-1)-like provirus with cellular sequences adjacent to the 5' end of the provirus. Comparing the restriction maps for the proviral DNAs contained in each lambda hybrid showed that the putative AMV and MAV-1-like genomes shared identical enzyme sites for 3.6 megadaltons beginning at the 5' termini of the proviruses with respect to viral RNA. Two enzyme sites near the 3'-end of the MAV-1-like provirus were not present in the putative AMV genome. We also examined a number of leukemic myeloblast clones for proviral content and cell-provirus integration sites. The presumptive AMV provirus was present in all the leukemic myeloblast clones regardless of the endogenous proviral content of the target cells or the AMV pseudotype used for conversion. Multiple cellular sites were suitable for integration of the putative AMV genome and the helper genomes. The proviral genomes were all integrated colinearly with respect to linear viral DNA.",PMC353649,,,,
6253658,NLM,MEDLINE,19810116,20200724,0022-538X (Print) 0022-538X (Linking),36,2,1980 Nov,Identification of the avian myeloblastosis virus genome. I. Identification of restriction endonuclease fragments associated with acute myeloblastic leukemia.,317-24,"['Souza, L M', 'Baluda, M A']","['Souza LM', 'Baluda MA']",['eng'],"['CA-09056/CA/NCI NIH HHS/United States', 'CA-10197/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Avian Leukosis/blood/*microbiology', 'Avian Leukosis Virus/*genetics', 'Avian Myeloblastosis Virus/*genetics', 'Chickens/*genetics', 'DNA Restriction Enzymes', 'DNA, Viral/analysis', '*Genes, Viral', 'Leukemia, Myeloid, Acute/blood/microbiology/*veterinary', 'Satellite Viruses/genetics']",1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",['10.1128/JVI.36.2.317-324.1980 [doi]'],ppublish,J Virol. 1980 Nov;36(2):317-24. doi: 10.1128/JVI.36.2.317-324.1980.,"The proviral DNA of chicken peripheral blood leukemic myeloblasts was analyzed by restriction endonuclease digestion and Southern blotting. Two restriction endonuclease-generated fragments, an EcoRI 2.2-megadalton (Md) and a HindIII 2.6-Md fragment, were present upon enzyme cleavage of all leukemic myeloblast DNA preparations in addition to endogenous or helper-specific fragments. Neither of these fragments was derived from viral DNA of the two known myeloblastosis-associated viruses (MAV-1 and MAV-2). In contrast, DNA similarly treated from the erythrocytes of leukemic chickens showed only small amounts of the two avian myeloblastosis virus-specific fragments, whereas the helper virus-specific fragments were present in the amount seen in MAV-producing chicken embryo fibroblasts. The appearance of the EcoRI 2.2-Md and HindIII 2.6-Md specific fragments in all leukemic myeloblast DNA preparations indicates they are presumably part of the leukemogenic genome that must be present to induce acute myeloblastic leukemia.",PMC353648,,,,
6253656,NLM,MEDLINE,19810129,20190829,0022-5320 (Print) 0022-5320 (Linking),72,3,1980 Sep,High-resolution microanalysis of biological specimens by electron energy loss spectroscopy and by electron spectroscopic imaging.,336-48,"['Ottensmeyer, F P', 'Andrew, J W']","['Ottensmeyer FP', 'Andrew JW']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Ultrastruct Res,Journal of ultrastructure research,0376344,"['0 (Fixatives)', '0 (Nucleosomes)', '27YLU75U4W (Phosphorus)', '743LRP9S7N (Hemin)']",IM,"['Animals', 'Electron Probe Microanalysis/*methods', 'Fixatives', 'Hemin', 'Humans', 'Leukemia Virus, Murine/ultrastructure', 'Microchemistry/*instrumentation', 'Microscopy, Electron/*methods', 'Myelin Sheath/ultrastructure', 'Myocardium/ultrastructure', 'Nucleosomes/ultrastructure', 'Osteoblasts/ultrastructure', 'Phosphorus/analysis', 'Spectrum Analysis']",1980/09/01 00:00,1980/09/01 00:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '1980/09/01 00:01 [medline]', '1980/09/01 00:00 [entrez]']",['10.1016/s0022-5320(80)90069-6 [doi]'],ppublish,J Ultrastruct Res. 1980 Sep;72(3):336-48. doi: 10.1016/s0022-5320(80)90069-6.,,,,,,
6253572,NLM,MEDLINE,19810129,20190723,0022-1759 (Print) 0022-1759 (Linking),36,3-4,1980,The use of 125I-labelled protein A for the detection of humoral immunity to gross murine leukaemia virus.,235-41,"['Holmes, H C', 'Tuffrey, M', 'Steuden, J', 'Hilgers, J', 'Barnes, R D']","['Holmes HC', 'Tuffrey M', 'Steuden J', 'Hilgers J', 'Barnes RD']",['eng'],,['Journal Article'],Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Antigens, Viral)', '0 (Iodine Radioisotopes)', '0 (Staphylococcal Protein A)']",IM,"['AKR murine leukemia virus/*immunology', 'Animals', '*Antibody Formation', 'Antigen-Antibody Reactions', 'Antigens, Viral/analysis', 'Iodine Radioisotopes', 'Leukemia Virus, Murine/*immunology', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred CBA', 'Precipitin Tests', 'Radioimmunoassay/methods', 'Staphylococcal Protein A/immunology']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']","['0022-1759(80)90129-5 [pii]', '10.1016/0022-1759(80)90129-5 [doi]']",ppublish,J Immunol Methods. 1980;36(3-4):235-41. doi: 10.1016/0022-1759(80)90129-5.,"A solid-phase radioimmunoassay utilising bind of 125I-labelled protein A to antibodies bound to virus adsorbed onto microtitre plates was shown to be suitable for detection of humoral immunity to Gross murine leukaemia virus (MuLV). The specificity of the reaction was shown by the fact that only homologous or closely related viruses effectively inhibited binding of antibodies to adsorbed virus. With this method a low level of spontaneous humoral immunity was demonstrated in sera from AKR/Crc mice, a strain with high concentrations of endogenous virus, whereas little or no anti-viral activity was found inCBA/H-T6Crc, a subline that does not appear to express MuLV.",,,,,
6253569,NLM,MEDLINE,19810129,20071114,0022-1767 (Print) 0022-1767 (Linking),125,6,1980 Dec,Functional properties of Ly 11.2 lymphocytes: a role for these cells in leukemia?,2719-26,"['Meruelo, D', 'Paolino, A', 'Flieger, N', 'Dworkin, J', 'Offer, M', 'Hirayama, N', 'Ovary, Z']","['Meruelo D', 'Paolino A', 'Flieger N', 'Dworkin J', 'Offer M', 'Hirayama N', 'Ovary Z']",['eng'],['CA 22247/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,['0 (Dinitrobenzenes)'],IM,"['Animals', 'Cell Differentiation', 'Cytotoxicity, Immunologic', 'Dinitrobenzenes/immunology', 'Leukemia Virus, Murine/immunology', 'Leukemia, Experimental/*immunology', 'Lymphocytes/*immunology', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred C3H', 'T-Lymphocytes/cytology', 'T-Lymphocytes, Regulatory/immunology']",1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,J Immunol. 1980 Dec;125(6):2719-26.,"Functional studies of lymphocyte subpopulations reveal that Ly 11.2, a newly defined T cell surface antigen, is present on prothymocytes and natural killer cells, but not on suppressor T cells for antigen-specific IgE antibody responses, Ly 1+, 2-, 3- helper T cells nor on tumor-specific cytotoxic effector cells. Changes in the expression of Ly 11.2 regularly accompany leukemogenesis and are quite distinct from changes of other cell surface antigens thus far observed. After intrathymic inoculation of radiation leukemia virus (RadLV), many more Ly 11.2-positive cells are found expressing viral antigens than cells expressing other cell surface phenotypes. In addition, after RadLV inoculation, significantly more Ly 11.2-positive cells can be found in the thymus of susceptible mice than in the thymus of resistant mice. The greater availability of permissive (Ly 11.2-positive) cells in susceptible vs resistant hosts at the time when infectious virus is present may account for the shorter latency period and high leukemia incidence of susceptible vs resistant mice.",,,,,
6253567,NLM,MEDLINE,19810129,20071114,0022-1767 (Print) 0022-1767 (Linking),125,6,1980 Dec,Circulating immune complexes associated with naturally occurring lymphosarcoma in pet cats.,2363-6,"['Day, N K', ""O'Reilly-Felice, C"", 'Hardy, W D Jr', 'Good, R A', 'Witkin, S S']","['Day NK', ""O'Reilly-Felice C"", 'Hardy WD Jr', 'Good RA', 'Witkin SS']",['eng'],"['AI-11843/AI/NIAID NIH HHS/United States', 'CA-08748/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigen-Antibody Complex)', '9007-36-7 (Complement System Proteins)']",IM,"['Animals', 'Animals, Domestic/*immunology', '*Antigen-Antibody Complex', 'Cat Diseases/*immunology', 'Cats/*immunology', 'Centrifugation, Density Gradient', 'Complement System Proteins', 'Leukemia Virus, Feline', 'Lymphoma, Non-Hodgkin/immunology/*veterinary', 'Radioimmunoassay']",1980/12/01 00:00,2001/03/28 10:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,J Immunol. 1980 Dec;125(6):2363-6.,"Cats were classified into 4 categories by immunofluorescence antibody assay for the presence of feline leukemia virus (FeLV) and histologically as a) normal, FeLV-, b) normal, FeLV+, c) lymphosarcoma (LSA), FeLV+, and d) LSA, FeLV-. Determinations by Raji cell radioimmunoassay modified for cat serum revealed circulating immune complex (CIC) levels of healthy cats to be less than or equal to 50 micrograms equivalent aggregated cat immunoglobulin/ml (microgram/ml). In contrast, sera of cats in groups b, c, and d all contained significantly higher CIC levels (up to 12,000 micrograms/ml) associated with marked hypocomplementemia and C activation occurring via the classical pathway. Sera from FeLV+, LSA+ cats with high levels of CIC and sera of healthy cats were fractionated according to size and bouyant density by centrifugation through 10 to 40% sucrose gradients. Analysis of fractions from LSA+, FeLV+ sera revealed that both immune complexes (ICs), FeLV reverse transcriptase (RT), and IgG were present in fractions corresponding to a bouyant density of 1.15 to 1.18 g/ml. The CIC containing fractions activated C by the classical pathway. Sera from normal cats did not have CIC or RT and none of the fractions activated the classical pathway. These data suggest that vital antigen-antibody complexes are present in sera of viremic cats with LSA and these complexes activate the C system.",,,,,
6253522,NLM,MEDLINE,19810129,20181113,0021-9738 (Print) 0021-9738 (Linking),66,5,1980 Nov,Phorbol diester-induced macrophage differentiation of leukemic blasts from patients with human myelogenous leukemia.,1101-8,"['Koeffler, H P', 'Bar-Eli, M', 'Territo, M']","['Koeffler HP', 'Bar-Eli M', 'Territo M']",['eng'],"['CA 15688/CA/NCI NIH HHS/United States', 'CA 26038/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Phorbols)', '298-83-9 (Nitroblue Tetrazolium)', '8ZYQ1474W7 (Sodium Fluoride)', 'EC 1.11.1.7 (Peroxidase)', 'EC 3.1.- (Naphthol AS D Esterase)', 'EC 3.2.1.17 (Muramidase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Adhesion/drug effects', 'Cell Differentiation/drug effects', 'Histocytochemistry', 'Humans', 'Leukemia, Myeloid, Acute/*blood', 'Macrophages/*drug effects/enzymology', 'Muramidase/blood', 'Naphthol AS D Esterase/blood', 'Nitroblue Tetrazolium/metabolism', 'Peroxidase/blood', 'Phagocytosis/drug effects', 'Phorbols/*pharmacology', 'Sodium Fluoride/pharmacology', 'Tetradecanoylphorbol Acetate/*pharmacology']",1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",['10.1172/JCI109939 [doi]'],ppublish,J Clin Invest. 1980 Nov;66(5):1101-8. doi: 10.1172/JCI109939.,"Phorbol esters, including 12-O-tetradecanoylphorbol 13-acetate (TPA), induce terminal macrophagelike differentiation of cells from human acute myelogenous leukemia lines. We report that myelogenous leukemia cells obtained from patients undergo macrophagelike differentiation after exposure to TPA. The myeloid leukemic cell cultured with TPA became adherent to charged surfaces with long filamentous pseudopodia; developed positive staining for alpha-napthyl acetate esterase, increased lysozyme secretion, reduced nitroblue tetrazolium, and acquired the ability to phagocytose candida. Cells from patients with lymphocytic leukemia did not become macrophagelike when cultured with TPA.",PMC371548,,,,
6253404,NLM,MEDLINE,19810126,20210526,0019-9567 (Print) 0019-9567 (Linking),29,3,1980 Sep,Detection and quantification of type C viral proteins in tissues and sera with an enzyme immunoassay.,972-80,"['Schetters, H', 'Hehlmann, R', 'Erfle, V', 'Ramanarayanan, M']","['Schetters H', 'Hehlmann R', 'Erfle V', 'Ramanarayanan M']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Infect Immun,Infection and immunity,0246127,"['0 (Antigens, Viral)', '0 (Immune Sera)', '0 (Viral Proteins)']",IM,"['Absorption', 'Animals', 'Antigens, Viral/isolation & purification/standards', 'Cross Reactions', 'Enzyme-Linked Immunosorbent Assay', 'Haplorhini', 'Humans', 'Immune Sera/pharmacology', 'Mice', 'Mice, Inbred BALB C', 'Papio', 'Retroviridae/*immunology', 'Sarcoma, Experimental/immunology', 'Viral Proteins/*immunology']",1980/09/01 00:00,1980/09/01 00:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '1980/09/01 00:01 [medline]', '1980/09/01 00:00 [entrez]']",['10.1128/iai.29.3.972-980.1980 [doi]'],ppublish,Infect Immun. 1980 Sep;29(3):972-80. doi: 10.1128/iai.29.3.972-980.1980.,"The detection and quantification of retroviral proteins in cells, tumors, and sera by an enzyme immunoassay technique (enzyme-linked immunosorbent assay [ELISA]) is described. The ELISA technique has been applied to three viral systems: murine leukemia virus, baboon endogenous virus, and simian sarcoma virus. By detecting 0.1 nf of retroviral antigen, the sensitivity of the ELISA is comparable to that of the competition radioimmunoassay technique.",PMC551226,,,,
6253394,NLM,MEDLINE,19810126,20210526,0019-9567 (Print) 0019-9567 (Linking),29,3,1980 Sep,"Leukemogenesis, immune responsiveness, and murine leukemia virus expression in congenic AKR/J mice differing at H-2.",1007-12,"['Johnson, D A', 'Bedigian, H G', 'Cherry, M', 'Meier, H']","['Johnson DA', 'Bedigian HG', 'Cherry M', 'Meier H']",['eng'],"['N01-CP-33255/CP/NCI NIH HHS/United States', 'R32-CA-25944/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Infect Immun,Infection and immunity,0246127,"['0 (Dinitrobenzenes)', '0 (H-2 Antigens)', '0 (Lipopolysaccharides)', '0 (Phytohemagglutinins)', '0 (Precipitins)']",IM,"['Animals', 'Dinitrobenzenes/immunology', '*H-2 Antigens', 'Hemagglutination Tests', '*Immunity, Cellular', 'Leukemia Virus, Murine/immunology', 'Leukemia, Experimental/*immunology', 'Lipopolysaccharides/pharmacology', 'Lymphocyte Activation', 'Mice', 'Mice, Inbred AKR', 'Phytohemagglutinins/pharmacology', 'Precipitins', 'Retroviridae/immunology', 'Sheep']",1980/09/01 00:00,1980/09/01 00:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '1980/09/01 00:01 [medline]', '1980/09/01 00:00 [entrez]']",['10.1128/iai.29.3.1007-1012.1980 [doi]'],ppublish,Infect Immun. 1980 Sep;29(3):1007-12. doi: 10.1128/iai.29.3.1007-1012.1980.,"In this study we examined the leukemia incidence, ectropic and xenotropic murine leukemia virus expression, and immune responsiveness of congenic AKR/J mice differing at the H locus. Congenic AKR.L-H-2b/1 mice, bearing the H-2b haplotype derived from C57L/J, were found to have a significant delay in time of death due to leukemia relative to that of AKR/J (H-2k) mice. The expression of ecotropic murine leukemia virus was found to be identical in both strains. The expression of xenotropic murine leukemia virus did vary, however, with the AKR.L-H-2b/1 mice showing a significantly reduced level of virus expression relative to AKR/J mice. In addition to these observations, we found that the AKR.L-H-2b/1 mice have an enhanced blastogenic responsiveness to phytohemagglutinin and to specific antigen to which they had previously been sensitized. Concomitant enhanced antibody response was not found. We suggest that the stronger cellular response, relative to AKR/J, may contribute to the delay in leukemia onset and to reduced xenotropic virus expression observed with the congenic mice.",PMC551231,,,,
6253307,NLM,MEDLINE,19810126,20190707,0014-4827 (Print) 0014-4827 (Linking),129,2,1980 Oct,Changes in cAMP and fibronectin concentrations in adherent and suspension forms of a hybrid cell line.,303-12,"['White, A', 'Ayad, S R']","['White A', 'Ayad SR']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Cell Res,Experimental cell research,0373226,"['0 (Fibronectins)', '9007-49-2 (DNA)', 'E0399OZS9N (Cyclic AMP)']",IM,"['Animals', '*Cell Adhesion', 'Cell Line', 'Cricetinae', 'Cricetulus', 'Cyclic AMP/*metabolism', 'DNA/biosynthesis', 'Fibronectins/*metabolism', 'Hybrid Cells/metabolism', 'Leukemia, Experimental', 'Mice', 'Mitosis']",1980/10/01 00:00,1980/10/01 00:01,['1980/10/01 00:00'],"['1980/10/01 00:00 [pubmed]', '1980/10/01 00:01 [medline]', '1980/10/01 00:00 [entrez]']",['10.1016/0014-4827(80)90497-8 [doi]'],ppublish,Exp Cell Res. 1980 Oct;129(2):303-12. doi: 10.1016/0014-4827(80)90497-8.,,,,,,
6253301,NLM,MEDLINE,19810129,20190908,0014-2964 (Print) 0014-2964 (Linking),16,7,1980 Jul,Non-thymic malignant lymphomas induced in C57BL/6 mice by cloned dualtropic viruses isolated from hematopoietic stromal cell lines.,909-17,"['Haas, M', 'Reshef, T']","['Haas M', 'Reshef T']",['eng'],['N01-CB-74180/CB/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Eur J Cancer,European journal of cancer,0074126,,IM,"['Animals', 'Bone Marrow/microbiology', 'Cell Line', 'Cytopathogenic Effect, Viral', '*Leukemia Virus, Murine', 'Lymphoma, Large B-Cell, Diffuse/*etiology', 'Mice', 'Mice, Inbred C57BL', 'Mink/microbiology', 'Retroviridae/isolation & purification', 'Sarcoma, Experimental/etiology', '*Tumor Virus Infections', 'Viral Interference', 'Virus Replication']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",['10.1016/0014-2964(80)90329-1 [doi]'],ppublish,Eur J Cancer. 1980 Jul;16(7):909-17. doi: 10.1016/0014-2964(80)90329-1.,,,,,,
6253221,NLM,MEDLINE,19810126,20190825,0091-7451 (Print) 0091-7451 (Linking),"44 Pt 2,",,1980,Moloney murine sarcoma virions contain subgenome-length mRNA-like molecules that direct the synthesis of sarcoma-specific polypeptides in vitro.,901-5,"['Dina, D', 'Nadal-Ginard, B']","['Dina D', 'Nadal-Ginard B']",['eng'],"['1-RO1-CA-24223-01/CA/NCI NIH HHS/United States', 'P30-CA-13330-07/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (Antibodies, Viral)', '0 (RNA, Messenger)', '0 (RNA, Viral)', '0 (Viral Proteins)']",IM,"['Animals', 'Antibodies, Viral', 'Cell-Free System', 'Molecular Weight', 'Moloney murine leukemia virus/*genetics', 'RNA, Messenger/*genetics', 'RNA, Viral/*genetics', 'Sarcoma Viruses, Murine/*genetics', 'Sarcoma, Experimental/*genetics', 'Viral Proteins/*genetics', 'Virus Replication']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1101/sqb.1980.044.01.097 [doi]'],ppublish,"Cold Spring Harb Symp Quant Biol. 1980;44 Pt 2,:901-5. doi: 10.1101/sqb.1980.044.01.097.",,,,,,
6253220,NLM,MEDLINE,19810126,20190825,0091-7451 (Print) 0091-7451 (Linking),"44 Pt 2,",,1980,Mammalian RNA type-C transforming viruses: characterization of virus-coded polyproteins containing phosphorylated components with possible transforming functions.,865-74,"['Stephenson, J R', 'Van de Ven, W J', 'Khan, A S', 'Reynolds, F H Jr']","['Stephenson JR', 'Van de Ven WJ', 'Khan AS', 'Reynolds FH Jr']",['eng'],['N01-CO-75380/CO/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (Phosphoproteins)', '0 (Viral Proteins)']",IM,"['Abelson murine leukemia virus/physiology', '*Cell Transformation, Viral', 'Defective Viruses/physiology', 'Genes, Viral', 'Genetic Vectors', 'Molecular Weight', 'Phosphoproteins/*metabolism', 'Recombination, Genetic', 'Retroviridae/*physiology', 'Sarcoma Viruses, Feline/physiology', 'Viral Proteins/genetics/*metabolism']",1980/01/01 00:00,2001/03/28 10:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1101/sqb.1980.044.01.093 [doi]'],ppublish,"Cold Spring Harb Symp Quant Biol. 1980;44 Pt 2,:865-74. doi: 10.1101/sqb.1980.044.01.093.",,,,,,
6253219,NLM,MEDLINE,19810126,20190825,0091-7451 (Print) 0091-7451 (Linking),"44 Pt 2,",,1980,Characterization of Abelson murine leukemia virus isolates differing in P120 expression.,859-64,"['Rosenberg, N', 'Witte, O N', 'Baltimore, D']","['Rosenberg N', 'Witte ON', 'Baltimore D']",['eng'],"['CA-14051/CA/NCI NIH HHS/United States', 'CA-24220/CA/NCI NIH HHS/United States', 'CA-24530/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (Immunoglobulins)', '0 (Viral Proteins)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Abelson murine leukemia virus/classification/*genetics', 'Animals', 'Cell Transformation, Viral', 'Cells, Cultured', 'DNA Nucleotidylexotransferase/genetics', 'Gene Expression Regulation', 'Genes, Viral', 'Immunoglobulins/genetics', 'Leukemia Virus, Murine/*genetics', 'Lymphocytes/microbiology', 'Molecular Weight', 'Viral Proteins/*genetics']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1101/sqb.1980.044.01.092 [doi]'],ppublish,"Cold Spring Harb Symp Quant Biol. 1980;44 Pt 2,:859-64. doi: 10.1101/sqb.1980.044.01.092.",,,,,,
6253218,NLM,MEDLINE,19810126,20190825,0091-7451 (Print) 0091-7451 (Linking),"44 Pt 2,",,1980,A trans-acting protein kinase identified in cells transformed by Abelson murine leukemia virus.,855-7,"['Witte, O N', 'Sun, L', 'Rosenberg, N', 'Baltimore, D']","['Witte ON', 'Sun L', 'Rosenberg N', 'Baltimore D']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (Phosphoproteins)', '0 (Viral Proteins)', 'EC 2.7.- (Protein Kinases)']",IM,"['Abelson murine leukemia virus/*enzymology', '*Cell Transformation, Viral', 'Hot Temperature', 'Leukemia Virus, Murine/*enzymology', 'Phosphoproteins/metabolism', 'Protein Kinases/*genetics', 'Substrate Specificity', 'Viral Proteins/*metabolism']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1101/sqb.1980.044.01.091 [doi]'],ppublish,"Cold Spring Harb Symp Quant Biol. 1980;44 Pt 2,:855-7. doi: 10.1101/sqb.1980.044.01.091.",,,,,,
6253217,NLM,MEDLINE,19810126,20190825,0091-7451 (Print) 0091-7451 (Linking),"44 Pt 2,",,1980,Structure and expression of the Abelson murine leukemia virus genome and its relationship to a normal cell gene.,849-54,"['Baltimore, D', 'Shields, A', 'Otto, G', 'Goff, S', 'Besmer, P', 'Witte, O', 'Rosenberg, N']","['Baltimore D', 'Shields A', 'Otto G', 'Goff S', 'Besmer P', 'Witte O', 'Rosenberg N']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cold Spring Harb Symp Quant Biol,Cold Spring Harbor symposia on quantitative biology,1256107,"['0 (RNA, Viral)', '0 (Viral Proteins)']",IM,"['Abelson murine leukemia virus/*genetics', '*Cell Transformation, Viral', 'Defective Viruses/genetics', 'Gene Expression Regulation', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Molecular Weight', 'RNA, Viral/genetics', 'Viral Proteins/genetics']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1101/sqb.1980.044.01.090 [doi]'],ppublish,"Cold Spring Harb Symp Quant Biol. 1980;44 Pt 2,:849-54. doi: 10.1101/sqb.1980.044.01.090.",,,,,,
