PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,PMC,GR,AID,TT,SI,EIN,AD,RF
3999664,NLM,MEDLINE,19850626,20041117,0023-2149 (Print) 0023-2149 (Linking),63,3,1985 Mar,[Case of acute leukemia complicated by tuberculous sepsis].,114-6,"['Kosheva, Z I']",['Kosheva ZI'],['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Klin Med (Mosk),Klinicheskaia meditsina,2985204R,,IM,"['Acute Disease', 'Humans', 'Leukemia/*complications', 'Male', 'Middle Aged', 'Tuberculosis/*complications']",1985/03/01 00:00,1985/03/01 00:01,['1985/03/01 00:00'],"['1985/03/01 00:00 [pubmed]', '1985/03/01 00:01 [medline]', '1985/03/01 00:00 [entrez]']",ppublish,Klin Med (Mosk). 1985 Mar;63(3):114-6.,,,,,"Sluchai ostrogo leikoza, oslozhnennyi tuberkuleznym sepsisom.",,,,
3999626,NLM,MEDLINE,19850719,20190711,0023-2173 (Print) 0023-2173 (Linking),63,9,1985 May 2,Central nervous system involvement in hairy cell leukemia.,423-7,"['Knecht, H', 'Budmiger, H', 'Groscurth, P', 'Streuli, R A']","['Knecht H', 'Budmiger H', 'Groscurth P', 'Streuli RA']",['eng'],"['Case Reports', 'Journal Article']",Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,"['0 (Interferon Type I)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Brain Neoplasms/drug therapy/*pathology', 'Cerebrospinal Fluid/cytology', 'Humans', 'Interferon Type I/therapeutic use', 'Leukemia, Hairy Cell/drug therapy/*pathology', 'Male', 'Methotrexate/therapeutic use', 'Middle Aged', 'Spleen/pathology']",1985/05/02 00:00,1985/05/02 00:01,['1985/05/02 00:00'],"['1985/05/02 00:00 [pubmed]', '1985/05/02 00:01 [medline]', '1985/05/02 00:00 [entrez]']",ppublish,Klin Wochenschr. 1985 May 2;63(9):423-7. doi: 10.1007/BF01733668.,"A patient with central nervous system involvement by hairy cell leukemia is reported. Hairy cells were identified in the cerebrospinal fluid by electron microscopy and by tartrate-resistant acid phosphatase positive staining. Intrathecal treatment with methotrexate resulted in neurologic improvement, but was complicated by Cryptococcus neoformans meningitis. The leukemic phase of the disease was later successfully controlled by treatment with alpha interferon. Surface marker studies indicated a B- and T-cell phenotype of the hairy cells.",,,['10.1007/BF01733668 [doi]'],,,,,
3999622,NLM,MEDLINE,19850725,20190711,0023-2173 (Print) 0023-2173 (Linking),63,8,1985 Apr 15,Myelo-lymphopoiesis in long-term bone marrow culture.,337-43,"['Mergenthaler, H G']",['Mergenthaler HG'],['eng'],['Journal Article'],Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,['0 (Culture Media)'],IM,"['Animals', '*Bone Marrow Cells', 'Cell Survival', 'Cell Transformation, Neoplastic/pathology', 'Colony-Forming Units Assay', 'Culture Media', 'Culture Techniques', 'Erythropoiesis', 'Friend murine leukemia virus', 'Granulocytes/cytology', '*Hematopoiesis', 'Hematopoietic Stem Cells/cytology', 'Leukemia, Experimental/pathology', 'Lymphocytes/*cytology', 'Megakaryocytes/cytology', 'Mice']",1985/04/15 00:00,1985/04/15 00:01,['1985/04/15 00:00'],"['1985/04/15 00:00 [pubmed]', '1985/04/15 00:01 [medline]', '1985/04/15 00:00 [entrez]']",ppublish,Klin Wochenschr. 1985 Apr 15;63(8):337-43. doi: 10.1007/BF01731652.,"In vitro analysis of early haemopoietic events has been hampered by the absence of culture systems allowing long-term maintainance and proliferation of self-renewing multipotent stem cells. Recently, a liquid culture system has been established which allows in vitro proliferation of haemopoietic stem cells and of haemopoietic precursor and mature end cells for several months. There is good evidence that this long-term proliferation is due to a micro-environment established by bone-marrow-derived stromal cells. This review attempts to summarize recent results in analysing haemopoietic control mechanisms, leukaemogenesis and haematological disorders by applying this culture system using both murine and human bone marrow cells.",,,['10.1007/BF01731652 [doi]'],,,,,
3999468,NLM,MEDLINE,19850712,20191030,0021-5120 (Print) 0021-5120 (Linking),24,1,1985 Feb,Differential sensitivities of long-term cultured cell lines derived from human haematopoietic malignancies to various anti-cancer drugs.,87-8,"['Morikawa, K', 'Note, S']","['Morikawa K', 'Note S']",['eng'],['Journal Article'],Japan,Jpn J Med,Japanese journal of medicine,0247713,"['0 (Antibiotics, Antineoplastic)', '0 (Antimetabolites, Antineoplastic)', '0 (Antineoplastic Agents)']",IM,"['Antibiotics, Antineoplastic/pharmacology', 'Antimetabolites, Antineoplastic/pharmacology', 'Antineoplastic Agents/*pharmacology', 'Cell Survival/drug effects', 'Cells, Cultured', 'Drug Resistance', 'Humans', 'Leukemia/*pathology', 'Lymphoma/*pathology', 'Multiple Myeloma/*pathology']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",ppublish,Jpn J Med. 1985 Feb;24(1):87-8. doi: 10.2169/internalmedicine1962.24.87.,,,,['10.2169/internalmedicine1962.24.87 [doi]'],,,,,
3999459,NLM,MEDLINE,19850712,20191030,0021-5120 (Print) 0021-5120 (Linking),24,1,1985 Feb,Leukemia--present and future.,1-2,"['Wakisaka, G']",['Wakisaka G'],['eng'],['Editorial'],Japan,Jpn J Med,Japanese journal of medicine,0247713,,IM,"['Acute Disease', 'Forecasting', 'Humans', 'Leukemia/drug therapy/etiology/*therapy']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",ppublish,Jpn J Med. 1985 Feb;24(1):1-2. doi: 10.2169/internalmedicine1962.24.1.,,,,['10.2169/internalmedicine1962.24.1 [doi]'],,,,,
3999389,NLM,MEDLINE,19850625,20061115,0021-4949 (Print) 0021-4949 (Linking),31,3,1985 Mar,[Breast cancer and hematological malignancy in the same patients].,268-74,"['Horikoshi, N', 'Inagaki, J', 'Ogawa, M', 'Inoue, K', 'Miyamoto, H', 'Usui, N', 'Nakada, H', 'Kasumi, F', 'Fukami, A', 'Kuno, K']","['Horikoshi N', 'Inagaki J', 'Ogawa M', 'Inoue K', 'Miyamoto H', 'Usui N', 'Nakada H', 'Kasumi F', 'Fukami A', 'Kuno K', 'et al.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Gan No Rinsho,Gan no rinsho. Japan journal of cancer clinics,1257753,,IM,"['Adult', 'Breast Neoplasms/*epidemiology/surgery', 'Female', 'Humans', 'Japan', 'Leukemia/*epidemiology', 'Lymphoma/*epidemiology', 'Mastectomy', 'Middle Aged', 'Multiple Myeloma/epidemiology', 'Neoplasms, Multiple Primary/*epidemiology']",1985/03/01 00:00,1985/03/01 00:01,['1985/03/01 00:00'],"['1985/03/01 00:00 [pubmed]', '1985/03/01 00:01 [medline]', '1985/03/01 00:00 [entrez]']",ppublish,Gan No Rinsho. 1985 Mar;31(3):268-74.,"Ten women with breast cancer and hematological malignancy (nine with double malignancy and one with triple malignancy) were analyzed. Mastectomy was performed on all patients in our hospital between July 1959 and June 1982 (23 years). Diagnoses of hematological malignancy were seven acute leukemias (five AML, two AMMoL), one CML, two lymphomas and one myeloma. Irradiation and chemotherapy were postoperative treatments in eight and three patients, respectively. The median interval between the first diagnosis and the second was four years and 10 months (one year and five months to 21 years and seven months). The median survival time from the first diagnosis was five years and eight months, while that from the second was six and a half months. In a clinical setting, it is difficult to ascertain the causative factors of multiple malignancy. Accumulation of additional patients is needed for further analysis.",,,,,,,,
3999195,NLM,MEDLINE,19850702,20200724,0022-538X (Print) 0022-538X (Linking),54,3,1985 Jun,Contribution of the gag and pol sequences to the leukemogenicity of Friend murine leukemia virus.,864-8,"['Oliff, A', 'McKinney, M D', 'Agranovsky, O']","['Oliff A', 'McKinney MD', 'Agranovsky O']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)']",IM,"['Animals', 'DNA, Viral/analysis', 'Friend murine leukemia virus/*genetics/pathogenicity', '*Genes, Viral', 'Leukemia, Experimental/*etiology', 'Mice', 'Repetitive Sequences, Nucleic Acid']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",ppublish,J Virol. 1985 Jun;54(3):864-8. doi: 10.1128/JVI.54.3.864-868.1985.,"Friend murine leukemia virus (F-MuLV) is a highly leukemogenic replication-competent murine retrovirus. Both the F-MuLV envelope gene and the long terminal repeat (LTR) contribute to its pathogenic phenotype (A. Oliff, K. Signorelli, and L. Collins, J. Virol. 51:788-794, 1984). To determine whether the F-MuLV gag and pol genes also possess sequences that affect leukemogenicity, we generated recombinant viruses between the F-MuLV gag and pol genes and two other murine retroviruses, amphotrophic clone 4070 (Ampho) and Friend mink cell focus-inducing virus (Fr-MCF). The F-MuLV gag and pol genes were molecularly cloned on a 5.8-kilobase-pair DNA fragment. This 5.8-kilobase-pair F-MuLV DNA was joined to the Ampho envelope gene and LTR creating a hybrid viral DNA, F/A E+L. A second hybrid viral DNA, F/Fr ENV, was made by joining the 5.8-kilobase-pair F-MuLV DNA to the Fr-MCF envelope gene plus the F-MuLV LTR. F/A E+L and F/Fr ENV DNAs generated recombinant viruses upon transfection into NIH 3T3 cells. F/A E+L virus (F-MuLV gag and pol, Ampho env and LTR) induced leukemia in 20% of NIH Swiss mice after 6 months. Ampho-infected mice did not develop leukemia. F/Fr ENV virus (F-MuLV gag and pol, Fr-MCV env, F-MuLV LTR) induced leukemia in 46% of mice after 3 months. Recombinant viruses containing the Ampho gag and pol, Fr-MCF env, and F-MuLV LTR caused leukemia in 38% of mice after 6 months. We conclude that the F-MuLV gag and pol genes contain sequences that contribute to the pathogenicity of murine retroviruses. These sequences can convert a nonpathogenic virus into a leukemia-causing virus or increase the pathogenicity of viruses that are already leukemogenic.",PMC254876,"['CA 08748/CA/NCI NIH HHS/United States', 'CA 16599-10/CA/NCI NIH HHS/United States']",['10.1128/JVI.54.3.864-868.1985 [doi]'],,,,,
3999194,NLM,MEDLINE,19850702,20200724,0022-538X (Print) 0022-538X (Linking),54,3,1985 Jun,Nucleotide sequence of a full-length human endogenous retroviral segment.,764-72,"['Repaske, R', 'Steele, P E', ""O'Neill, R R"", 'Rabson, A B', 'Martin, M A']","['Repaske R', 'Steele PE', ""O'Neill RR"", 'Rabson AB', 'Martin MA']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (Codon)', '0 (DNA, Viral)']",IM,"['Base Sequence', 'Codon/analysis', 'DNA, Viral/*analysis', 'Humans', 'Repetitive Sequences, Nucleic Acid', 'Retroviridae/*genetics']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",ppublish,J Virol. 1985 Jun;54(3):764-72. doi: 10.1128/JVI.54.3.764-772.1985.,"The nucleotide sequence of a full-length (8.8-kilobase) endogenous C-type human retroviral DNA (clone 4-1) is presented and compared with that of Moloney murine leukemia virus (MoMuLV) DNA. Colinearity of deduced amino acids of clone 4-1 with MoMuLV in the gag and pol regions was clearly evident, and overall amino acid homology in these regions was about 40%. Identification of the putative N terminus of gag and p30, the gag-pol junction, and the C terminus of pol could be established on the basis of sequence homology with MoMuLV. Unique characteristics of the endogenous human retroviral DNA included a tRNA Glu primer binding site separated from the 5' long terminal repeat by a pentanucleotide and a putative env sequence which does not appear to overlap the C terminus of pol and has virtually no homology with the env gene of known infectious retroviruses. Clone 4-1 represents a defective prototype of a human C-type retrovirus which integrated into the germ line some time in the distant past.",PMC254863,,['10.1128/JVI.54.3.764-772.1985 [doi]'],,"['GENBANK/K02168', 'GENBANK/K02169', 'GENBANK/M10976']",,,
3999189,NLM,MEDLINE,19850702,20051117,0022-4782 (Print) 0022-4782 (Linking),17,2,1985 Apr,"Ultrastructural, immunological and clinical findings in two cases of hairy cell leukemia.",287-92,"['Mantovani, G', 'Santacruz, G', 'Piso, A', 'Cengiarotti, L', 'Medda, A', 'Balestrieri, A']","['Mantovani G', 'Santacruz G', 'Piso A', 'Cengiarotti L', 'Medda A', 'Balestrieri A']",['eng'],"['Case Reports', 'Journal Article']",Italy,J Submicrosc Cytol,Journal of submicroscopic cytology,0235232,"['0 (Receptors, Antigen, B-Cell)']",IM,"['Aged', 'Cell Nucleus/ultrastructure', 'Cytoplasm/ultrastructure', 'Humans', 'Intracellular Membranes/ultrastructure', 'Leukemia, Hairy Cell/immunology/*pathology', 'Lymphocyte Activation', 'Male', 'Microscopy, Electron, Scanning', 'Receptors, Antigen, B-Cell/analysis']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",ppublish,J Submicrosc Cytol. 1985 Apr;17(2):287-92.,"In two cases of hairy-cell leukemia were studied the transmission and scanning electron microscopy morphology, the cell surface markers with monoclonal antibodies and the response to polyclonal mitogens, the clinical course and staging. We have found in the hairy cells of both cases a characteristic membranous system consisting of several parallel cisternae arranged in series at regular intervals each bounded by a smooth membrane and interrupted at intervals by electron-dense structures: this structure can be identified with the 'annulate lamellae', as yet reported in many cells but never described in hairy cells. The results of immunological investigations are presented and discussed. Our data seem to support the neoplastic B lymphocyte nature of the hairy cells. Some interesting findings of the clinical course of the two patients are also stressed.",,,,,,,,
3999059,NLM,MEDLINE,19850722,20161123,0221-0363 (Print) 0221-0363 (Linking),66,2,1985 Feb,[Cerebral aspergilloma. X-ray computed tomographic aspect. Apropos of a case. Review of the literature].,131-5,"['Blery, M', 'Bussel, B', 'Gardeur, D', 'Delvigne, J M']","['Blery M', 'Bussel B', 'Gardeur D', 'Delvigne JM']",['fre'],"['Case Reports', 'Journal Article']",France,J Radiol,Journal de radiologie,7906266,,IM,"['Aspergillosis/*diagnostic imaging/etiology', 'Brain Diseases/*diagnostic imaging/etiology', 'Granuloma/diagnostic imaging', 'Humans', 'Leukemia, Hairy Cell/complications', 'Male', 'Middle Aged', 'Prognosis', 'Time Factors', '*Tomography, X-Ray Computed']",1985/02/01 00:00,1985/02/01 00:01,['1985/02/01 00:00'],"['1985/02/01 00:00 [pubmed]', '1985/02/01 00:01 [medline]', '1985/02/01 00:00 [entrez]']",ppublish,J Radiol. 1985 Feb;66(2):131-5.,"Cerebral aspergilloma of initial sinus origin developed in a patient with mixed cell leukemia. Computed tomography imaging showed signs of a cystic multitumoral syndrome with a crown-shaped filling image without peritumoral edema. Follow up of cerebral lesions during medical treatment was by repeated CT scans, with progressive regression of images over a period of 8 months. The patient died after recurrence. Aspergilloma is seen mainly in patients with alternating immunity defenses.",,,,Aspergillome cerebral. Aspect tomodensitometrique. A propos d'un cas. Revue de la litterature.,,,,
3998779,NLM,MEDLINE,19850628,20170210,0732-183X (Print) 0732-183X (Linking),3,5,1985 May,Cerebellar toxicity following high-dose cytosine arabinoside.,613-6,"['Dworkin, L A', 'Goldman, R D', 'Zivin, L S', 'Fuchs, P C']","['Dworkin LA', 'Goldman RD', 'Zivin LS', 'Fuchs PC']",['eng'],"['Case Reports', 'Journal Article']",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['04079A1RDZ (Cytarabine)'],IM,"['Ataxia/chemically induced', 'Cerebellar Diseases/*chemically induced/pathology', 'Cytarabine/administration & dosage/*adverse effects', 'Dysarthria/chemically induced', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Middle Aged', 'Purkinje Cells/pathology']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",ppublish,J Clin Oncol. 1985 May;3(5):613-6. doi: 10.1200/JCO.1985.3.5.613.,A patient with acute cerebellar toxicity following systemic high-dose cytosine arabinoside (ara-C) 3 g/m2/12 h for secondary acute nonlymphocytic leukemia is reported. Initial symptoms of ataxia and dysarthria emerged at 30 g/m2 cumulative dose and persisted without improvement over a ten-week period. Recurrence and worsening of cerebellar symptoms followed further consolidation treatment with high-dose ara-C. Subsequent autopsy showed extensive Purkinje's cell damage in the lateral cerebellar hemispheres. Persistent severe toxicity can occur at total doses less than those generally recognized.,,,['10.1200/JCO.1985.3.5.613 [doi]'],,,,,
3998778,NLM,MEDLINE,19850628,20170210,0732-183X (Print) 0732-183X (Linking),3,5,1985 May,How much is too much high-dose cytosine arabinoside?,601-3,"['Duffy, T P']",['Duffy TP'],['eng'],['Editorial'],United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['04079A1RDZ (Cytarabine)'],IM,"['Adult', 'Central Nervous System Diseases/chemically induced', 'Cytarabine/*administration & dosage/adverse effects/cerebrospinal fluid', 'Gastrointestinal Diseases/chemically induced', 'Humans', 'Length of Stay', 'Leukemia/*drug therapy/economics', 'Meningeal Neoplasms/*drug therapy/economics', 'Pulmonary Edema/chemically induced']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",ppublish,J Clin Oncol. 1985 May;3(5):601-3. doi: 10.1200/JCO.1985.3.5.601.,,,,['10.1200/JCO.1985.3.5.601 [doi]'],,,,,
3998767,NLM,MEDLINE,19850624,20211203,0732-6580 (Print) 0732-6580 (Linking),4,2,1985 Apr,Inhibition of tumor growth and metastasis in association with modification of immune response by novel organic germanium compounds.,159-68,"['Sato, I', 'Yuan, B D', 'Nishimura, T', 'Tanaka, N']","['Sato I', 'Yuan BD', 'Nishimura T', 'Tanaka N']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Response Mod,Journal of biological response modifiers,8219656,"['0 (Antineoplastic Agents)', '0 (Organometallic Compounds)', '0 (Propionates)', '00072J7XWS (Germanium)', '105736-52-5 (1-phenyl-2-carbamoylethylgermanium sesquioxide)', '105736-64-9 (1-phenyl-2-carbamoylethyl-germanium sesquisulfide)', '1Q2P9TO9Q7 (propagermanium)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', 'Antibody Formation/drug effects', 'Antineoplastic Agents/pharmacology/*therapeutic use', 'Cyclophosphamide/therapeutic use', 'Doxorubicin/therapeutic use', 'Drug Synergism', 'Female', 'Fibrosarcoma/drug therapy', 'Germanium/pharmacology/*therapeutic use/toxicity', 'Hypersensitivity, Delayed', 'Leukemia L1210/drug therapy', 'Lung Neoplasms/secondary', 'Macrophages/drug effects', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Mice, Inbred ICR', 'Neoplasms, Experimental/*drug therapy/immunology', 'Organometallic Compounds/pharmacology/*therapeutic use/toxicity', 'Phagocytosis/drug effects', 'Propionates']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",ppublish,J Biol Response Mod. 1985 Apr;4(2):159-68.,"The effects of two novel organic germanium compounds, 1-phenyl-2-carbamoylethylgermanium sesquisulfide (PCAGeS) and 1-phenyl-2-carbamoylethylgermanium sequioxide (PCAGeO), on transplantable murine tumors and immune responses were studied. Both drugs showed low toxicity for mice. In culture, neither substance displayed significant cytotoxicity against murine tumor cells L1210 leukemia, L5178Y lymphoma, or IMC carcinoma. Growth of subcutaneously transplanted IMC carcinoma or Meth-A fibrosarcoma was markedly reduced by oral administration of PCAGeS. PCAGeO exhibited a similar but smaller effect on the tumor growth. Pulmonary metastasis of Lewis lung carcinoma was inhibited by oral or intraperitoneal treatment with PCAGeS. The activity of cyclophosphamide or Adriamycin against L1210 leukemia was significantly potentiated by oral administration of PCAGeS. PCAGeS enhanced the delayed-type hypersensitivity response to sheep red blood cells (SRBC) of mice or restored the response suppressed by ascitic IMC carcinoma, but did not significantly affect the formation of antibody to SRBC. PCAGeO similarly stimulated the DTH reaction. Phagocytic activity of peritoneal macrophages was enhanced by oral treatment of mice with PCAGeS. The results suggest that PCAGeS and PCAGeO display tumor-inhibitory activity by modification of the immune mechanism.",,,,,,,,
3998764,NLM,MEDLINE,19850624,20061115,0732-6580 (Print) 0732-6580 (Linking),4,2,1985 Apr,Induction by interferon-alpha of tumoricidal activity of adherent mononuclear cells from human blood: monocytes as responder and effector cells.,134-40,"['Sone, S', 'Utsugi, T', 'Shirahama, T', 'Ishii, K', 'Mutsuura, S', 'Ogawara, M']","['Sone S', 'Utsugi T', 'Shirahama T', 'Ishii K', 'Mutsuura S', 'Ogawara M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Response Mod,Journal of biological response modifiers,8219656,['0 (Interferon Type I)'],IM,"['Cell Line', 'Cytotoxicity, Immunologic', 'Humans', 'Interferon Type I/*pharmacology', 'Killer Cells, Natural/*immunology', 'Kinetics', 'Melanoma/immunology/pathology', 'Monocytes/*immunology']",1985/04/01 00:00,1985/04/01 00:01,['1985/04/01 00:00'],"['1985/04/01 00:00 [pubmed]', '1985/04/01 00:01 [medline]', '1985/04/01 00:00 [entrez]']",ppublish,J Biol Response Mod. 1985 Apr;4(2):134-40.,"Human blood monocytes, separated on a Percoll gradient, were not cytotoxic to allogeneic melanoma (A375) cells. Fluorescent analysis showed that the monocytes were contaminated with up to 2.0% natural killer (NK) cells. The monocytes became tumoricidal on incubation for 24 h with greater than or equal to 1,000 IU/ml interferon-alpha (IFN-alpha) derived from human lymphoblastic leukemia cells. Anti-IFN-alpha antibody abolished the ability of IFN-alpha to render the monocytes tumoricidal, whereas anti-IFN-beta antibody had no effect. Pretreatment of isolated monocyte preparations with anti-NK cell monoclonal antibodies (Leu-7 and Leu-11b), to inhibit NK cell activity, did not affect the cytotoxicity of IFN-alpha-activated monocytes on tumor cells. Full expression of cytotoxicity on tumor cells required the interaction of monocytes with IFN-alpha for 24 h. These results indicate that IFN-alpha directly activates human monocytes to become tumoricidal, although greater than or equal to 1,000 IU/ml IFN-alpha is required for maximal activation.",,,,,,,,
3998480,NLM,MEDLINE,19850712,20190723,0022-1759 (Print) 0022-1759 (Linking),79,2,1985 May 23,A method for determination of antibody-dependent cellular cytotoxicity (ADCC) of human peripheral mononuclear cells.,277-82,"['Wisecarver, J', 'Bechtold, T', 'Collins, M', 'Davis, J', 'Lipscomb, H', 'Sonnabend, J', 'Purtilo, D T']","['Wisecarver J', 'Bechtold T', 'Collins M', 'Davis J', 'Lipscomb H', 'Sonnabend J', 'Purtilo DT']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,,IM,"['Animals', '*Antibody-Dependent Cell Cytotoxicity', 'Cytotoxicity Tests, Immunologic/*methods', 'Cytotoxicity, Immunologic', 'Female', 'Humans', 'Immunity, Cellular', 'Leukemia L1210', 'Male', 'Mice', 'Monocytes/*immunology']",1985/05/23 00:00,1985/05/23 00:01,['1985/05/23 00:00'],"['1985/05/23 00:00 [pubmed]', '1985/05/23 00:01 [medline]', '1985/05/23 00:00 [entrez]']",ppublish,J Immunol Methods. 1985 May 23;79(2):277-82. doi: 10.1016/0022-1759(85)90107-3.,A method is described for measuring antibody-dependent cellular cytotoxicity (ADCC) of mononuclear cells from human peripheral blood using an established murine cell line and commercially prepared antisera. The test utilizes a standard 51Cr release technique. The ADCC activity of mononuclear cells obtained from 10 healthy human volunteers was measured at 4 different effector: target cell ratios. A linear relationship between %51Cr release (ADCC) and the number of effector cells was observed.,,['30196/PHS HHS/United States'],"['0022-1759(85)90107-3 [pii]', '10.1016/0022-1759(85)90107-3 [doi]']",,,,,
3997875,NLM,MEDLINE,19850725,20210210,0021-9258 (Print) 0021-9258 (Linking),260,12,1985 Jun 25,"Murine macrophage tumors are a source of a 260,000-dalton acetyl-low density lipoprotein receptor.",7379-86,"['Via, D P', 'Dresel, H A', 'Cheng, S L', 'Gotto, A M Jr']","['Via DP', 'Dresel HA', 'Cheng SL', 'Gotto AM Jr']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Cell Adhesion Molecules)', '0 (Lipoproteins, LDL)', '0 (Receptors, LDL)', '0 (Receptors, Scavenger)']",IM,"['Animals', '*Cell Adhesion Molecules', 'Cell Line', 'Cell Membrane/metabolism', 'Isoelectric Focusing', 'Kinetics', 'Leukemia P388/*metabolism', 'Leukemia, Experimental/*metabolism', 'Lipoproteins, LDL/*metabolism', 'Macrophages/*metabolism', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Molecular Weight', 'Neoplasms, Experimental/*metabolism', 'Receptors, LDL/isolation & purification/*metabolism', 'Receptors, Scavenger']",1985/06/25 00:00,2001/03/28 10:01,['1985/06/25 00:00'],"['1985/06/25 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1985/06/25 00:00 [entrez]']",ppublish,J Biol Chem. 1985 Jun 25;260(12):7379-86.,"Subcutaneous injection of murine macrophage cell line P388D1 into syngeneic DBA/2 produced tumors, which upon solubilization with 40 mM octyl glucoside contained acetylated low density lipoprotein binding activity. The tumor-derived receptor specifically bound acetylated low density lipoprotein with an affinity of approximately 3 X 10(-8) M but did not bind low density lipoprotein or high density lipoprotein. It was identical in binding specificity, affinity, and Pronase sensitivity to the receptor in intact cells or that obtained from solubilized cultured cell membranes. Partial purification of the receptor was achieved by solubilizing tumors with 1% Triton X-100 followed by chromatography on polyethyleneimine cellulose. After elution with a NaCl gradient in the presence of octyl glucoside and association with liposomes, a 287-fold purification of the receptor was achieved. The receptor was identified by specific ligand blotting as a 260,000-dalton protein having a pI of approximately 6.0. Binding to the receptor by acetylated low density lipoprotein, malondialdehyde-modified low density lipoprotein, and maleic anhydride-modified serum albumin was demonstrated by ligand blotting. A single receptor protein can, therefore, account for the binding of multiple types of charge-modified lipoprotein and nonlipoprotein ligands to the macrophage cell surface.",,"['HL-15648/HL/NHLBI NIH HHS/United States', 'HL-27341/HL/NHLBI NIH HHS/United States']",['S0021-9258(17)39619-9 [pii]'],,,,,
