PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CI,AID,DEP,LID,GR,RF,CN,CIN,CON,TT,EIN,PMC,CRF,SI,OID,OTO,OT,GN,CRI
12900759,NLM,MEDLINE,20031009,20121115,0969-7128 (Print) 0969-7128 (Linking),10,17,2003 Aug,Effective transduction and stable transgene expression in human blood cells by a third-generation lentiviral vector.,1446-57,"Difficulty in gene transduction of human blood cells, including hematopoietic stem cells, has hampered the development of gene therapy applications for hematological disorders, encouraging the development and use of new gene delivery systems. In this study, we used a third-generation self-inactivating (SIN) lentiviral vector system based on human immunodeficiency virus type 1 (HIV-1) to improve transduction efficiency and prevent vector-related toxicity. The transduction efficiency of the HIV-1-based vector was compared directly with the Moloney murine leukemia virus (MLV) SIN vector in human leukemia cell lines. Initial transduction efficiencies were almost 100% for the HIV and less than 50% for the MLV vectors. Similar results were observed in 11 types of primary cells obtained from leukemia or myeloma patients. Transgene expression persisted for 8 weeks in cells transduced with the HIV vector, but declined with the MLV vector. In addition, resting peripheral blood lymphocytes and CD34(+) hematopoietic cells were transduced successfully with the HIV vector, but not with the MLV vector. Finally, we confirmed vector gene integration in almost all colony-forming cells transduced with the HIV vector, but not with the MLV vector. In conclusion, this lentiviral vector is an excellent gene transduction system for human blood cells because of its high gene transduction and host chromosome integration efficiency.","['Bai, Y', 'Soda, Y', 'Izawa, K', 'Tanabe, T', 'Kang, X', 'Tojo, A', 'Hoshino, H', 'Miyoshi, H', 'Asano, S', 'Tani, K']","['Bai Y', 'Soda Y', 'Izawa K', 'Tanabe T', 'Kang X', 'Tojo A', 'Hoshino H', 'Miyoshi H', 'Asano S', 'Tani K']","['Division of Molecular Therapy, Advanced Clinical Research Center, The Institute of Medical Science, The University of Tokyo, Tokyo, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Gene Ther,Gene therapy,9421525,,IM,"['Cells, Cultured', 'Gene Expression', 'Genetic Engineering', 'Genetic Therapy/*methods', 'Genetic Vectors/*administration & dosage/genetics', 'HIV-1/*genetics', 'Hematologic Diseases/*therapy', 'Hematopoietic Stem Cells/*virology', 'Humans', 'Leukemia/therapy', 'Moloney murine leukemia virus/genetics', 'Multiple Myeloma/therapy', 'Time Factors', 'Transduction, Genetic/*methods', 'Transgenes', 'Tumor Cells, Cultured']",2003/08/06 05:00,2003/10/10 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/10/10 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Gene Ther. 2003 Aug;10(17):1446-57. doi: 10.1038/sj.gt.3302026.,,"['10.1038/sj.gt.3302026 [doi]', '3302026 [pii]']",,,,,,,,,,,,,,,,,
12900409,NLM,MEDLINE,20031202,20211203,0021-9258 (Print) 0021-9258 (Linking),278,41,2003 Oct 10,"Akt-mediated cardiomyocyte survival pathways are compromised by G alpha q-induced phosphoinositide 4,5-bisphosphate depletion.",40343-51,"Expression of the wild type alpha subunit of Gq (GqWT) in cardiomyocytes induces hypertrophy, whereas a constitutively active G alpha q subunit (GqQ209L) induces apoptosis. Akt phosphorylation increases with GqWT expression but is markedly attenuated in cardiomyocytes expressing GqQ209L or in those expressing GqWT and treated with agonist. A membrane-targeted Akt rescues GqQ209L-expressing cardiomyocytes from apoptotic cell death. In contrast, leukemia inhibitory factor fails to activate Akt or promote cell survival in these cells. Association of Akt and PDK-1 with the membrane is also diminished in GqQ209L-expressing cardiomyocytes. Phosphatidylinositol 3,4,5-trisphosphate (PIP3), the primary regulator of Akt, increases significantly in GqWT-expressing cells but not in cardiomyocytes expressing GqQ209L. Levels of phosphatidylinositol 4,5-bisphosphate (PIP2), the immediate precursor of PIP3, are also markedly lower in GqQ209L-expressing compared to control cells. Expression of a GqQ209L mutant that has diminished capacity to activate phospholipase C does not decrease PIP2 or Akt or induce apoptosis. In transgenic mice with cardiac G alpha q overexpression, heart failure and increased cardiomyocyte apoptosis develop during the peripartal period. Akt phosphorylation and PIP2 levels decrease concomitantly. Our findings suggest that an Akt-mediated cell survival pathway is compromised by the diminished availability of PIP2 elicited by pathological levels of Gq activity.","['Howes, Amy L', 'Arthur, Jane F', 'Zhang, Tong', 'Miyamoto, Shigeki', 'Adams, John W', 'Dorn, Gerald W 2nd', 'Woodcock, Elizabeth A', 'Brown, Joan Heller']","['Howes AL', 'Arthur JF', 'Zhang T', 'Miyamoto S', 'Adams JW', 'Dorn GW 2nd', 'Woodcock EA', 'Brown JH']","['Department of Pharmacology, University of California, San Diego, La Jolla, California 92093, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Phosphatidylinositol 4,5-Diphosphate)', '0 (Phosphatidylinositol Phosphates)', '0 (Proto-Oncogene Proteins)', '0 (Recombinant Proteins)', '0 (phosphatidylinositol 3,4,5-triphosphate)', 'EC 2.7.11.1 (Akt1 protein, rat)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-akt)', 'EC 3.6.5.1 (GTP-Binding Protein alpha Subunits, Gq-G11)']",IM,"['Animals', 'Apoptosis', 'Cell Size', 'Cell Survival', 'Cells, Cultured', 'Female', 'GTP-Binding Protein alpha Subunits, Gq-G11/genetics/*metabolism', 'Mice', 'Mice, Transgenic', 'Mutagenesis, Site-Directed', 'Myocytes, Cardiac/cytology/*metabolism', 'Phosphatidylinositol 4,5-Diphosphate/*metabolism', 'Phosphatidylinositol Phosphates/metabolism', 'Phosphorylation', '*Protein Serine-Threonine Kinases', 'Proto-Oncogene Proteins/*metabolism', 'Proto-Oncogene Proteins c-akt', 'Rats', 'Recombinant Proteins/genetics/metabolism', 'Signal Transduction']",2003/08/06 05:00,2003/12/03 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/12/03 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,J Biol Chem. 2003 Oct 10;278(41):40343-51. doi: 10.1074/jbc.M305964200. Epub 2003 Aug 4.,,"['10.1074/jbc.M305964200 [doi]', 'S0021-9258(20)83092-0 [pii]']",20030804,,"['HL46345/HL/NHLBI NIH HHS/United States', 'GM-07752/GM/NIGMS NIH HHS/United States', 'T32 GM007752/GM/NIGMS NIH HHS/United States', 'HL28143/HL/NHLBI NIH HHS/United States', 'HL59888/HL/NHLBI NIH HHS/United States']",,,,,,,,,,,,,,
12900351,NLM,MEDLINE,20030911,20210206,0006-4971 (Print) 0006-4971 (Linking),102,4,2003 Aug 15,"In B-cell chronic lymphocytic leukemias, 7q21 translocations lead to overexpression of the CDK6 gene.",1549-50,,"['Hayette, Sandrine', 'Tigaud, Isabelle', 'Callet-Bauchu, Evelyne', 'Ffrench, Martine', 'Gazzo, Sophie', 'Wahbi, Kamal', 'Callanan, Mary', 'Felman, Pascale', 'Dumontet, Charles', 'Magaud, Jean-Pierre', 'Rimokh, Ruth']","['Hayette S', 'Tigaud I', 'Callet-Bauchu E', 'Ffrench M', 'Gazzo S', 'Wahbi K', 'Callanan M', 'Felman P', 'Dumontet C', 'Magaud JP', 'Rimokh R']",,['eng'],['Letter'],United States,Blood,Blood,7603509,"['EC 2.7.11.22 (CDK6 protein, human)', 'EC 2.7.11.22 (Cyclin-Dependent Kinase 6)', 'EC 2.7.11.22 (Cyclin-Dependent Kinases)']",IM,"['Aged', 'Chromosomes, Human, Pair 7/*genetics', 'Cyclin-Dependent Kinase 6', 'Cyclin-Dependent Kinases/biosynthesis/*genetics', 'Gene Expression Regulation, Leukemic', 'Gene Rearrangement', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/metabolism', 'Male', 'Middle Aged', 'Translocation, Genetic/genetics']",2003/08/06 05:00,2003/09/13 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/09/13 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Blood. 2003 Aug 15;102(4):1549-50. doi: 10.1182/blood-2003-04-1220.,,"['10.1182/blood-2003-04-1220 [doi]', 'S0006-4971(20)44332-0 [pii]']",,,,,,,,,,,,,,,,,
12899915,NLM,MEDLINE,20030903,20190701,0024-3205 (Print) 0024-3205 (Linking),73,15,2003 Aug 29,Induction of apoptosis by takrisodokyeum through generation of hydrogen peroxide and activation of caspase-3 in HL-60 cells.,1895-906,"Takrisodokyeum (TRSDY), a Chinese herbal medicine, has been known to exert anti-tumoral activity in Korea. However, its molecular mechanism of action is not understood. In this study, we found that TRSDY induced apoptosis in HL-60 cells as evidenced by both a characteristic ladder pattern of discontinuous DNA fragments and an increase of annexin V+/PI- stained cell population. Our data demonstrated that TRSDY-induced apoptotic cell death was accompanied by activation of caspase-3 and cleavages of its substrates, poly(ADP-ribose) polymerase (PARP) and RhoGDP dissociation inhibitor (RhoGDI-2; also called D4-GDI) in a time- and concentration-dependent manner. Caspase-3 inhibitor, but not caspase-1 inhibitor, prevented TRSDY-induced apoptosis. Furthermore, treatment with TRSDY increased the production of intracellular hydrogen peroxide and pretreatment of cells with anti-oxidants conferred complete protection against hydrogen peroxide generation and subsequent caspase-3 activation. Taken together, these results suggest that TRSDY induces hydrogen peroxide generation, which, in turn, causes activation of caspase-3, degradation of PARP and D4-GDI, and eventually leads to apoptotic cell death.","['Kwon, Kang-Beom', 'Kim, Eun-Kyung', 'Shin, Byung-Cheul', 'Seo, Eun-A', 'Park, Jin-Woo', 'Kim, Jong-Suk', 'Park, Byung-Hyun', 'Ryu, Do-Gon']","['Kwon KB', 'Kim EK', 'Shin BC', 'Seo EA', 'Park JW', 'Kim JS', 'Park BH', 'Ryu DG']","['Department of Physiology, School of Oriental Medicine, Won-Kwang University, Iksan, Chonbuk 570-749, South Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Life Sci,Life sciences,0375521,"['0 (Annexin A5)', '0 (Antineoplastic Agents)', '0 (Drugs, Chinese Herbal)', '0 (Proteins)', '0 (takrisodokyeum)', 'BBX060AN9V (Hydrogen Peroxide)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)']",IM,"['Annexin A5/analysis', 'Antineoplastic Agents/*pharmacology', 'Apoptosis/drug effects', 'Caspase 3', 'Caspases/*metabolism', 'Cell Survival/drug effects', 'DNA Fragmentation', 'Dose-Response Relationship, Drug', 'Drugs, Chinese Herbal/*pharmacology', 'Flow Cytometry', 'HL-60 Cells/*drug effects/enzymology/pathology', 'Humans', 'Hydrogen Peroxide/*metabolism', 'Leukemia', 'Proteins/metabolism']",2003/08/06 05:00,2003/09/04 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/09/04 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Life Sci. 2003 Aug 29;73(15):1895-906. doi: 10.1016/s0024-3205(03)00559-9.,,"['S0024320503005599 [pii]', '10.1016/s0024-3205(03)00559-9 [doi]']",,,,,,,,,,,,,,,,,
12899802,NLM,MEDLINE,20031210,20211203,0376-2491 (Print) 0376-2491 (Linking),83,11,2003 Jun 10,"[Effect of zinc phthalocyanine-mediated photodynamic therapy on bone marrow purging, an experimental study].",986-91,"OBJECTIVE: To probe into the purging effects of zinc phthalocyanine-mediated photodynamic therapy (PDT) on simulated remission bone marrow grafts of chronic granulocytic leukemia. METHODS: (1) K562 cells, aline chronic granulocytic leukemia cells, and normal mononuclear cells (MNC) were cultured. Zinc phthalocyanine (ZnPcS(2)P(2)), a photosensitizer, with the terminal concentration of 1.0 micro g/ml was added into the cultures. The K562 cells and normal MNCs in the suspensions were broken. Fluorescence spectrophotometry was used to determine the concentration of zinc phthalocyanine in cells at different time points so as to find the optimal time for photodynamic purging process. (2) Suspensions of K562 cells and MNCs were made and incubated with zinc phthalocyanine of different concentrations (0.062 5, 0.125, 0.25, 0.5, and 1.0 micro g/ml) for 5 hours. A blank control group (sodium chloride of the same volume was added), a PDT control group (without photosensitizer), and a photosensitizer control group (zinc phthalocyanine was added without PDT) were established. Then the suspensions were irradiated with 670 nm laser. Trypan blue dye exclusion technique was used to calculate the number of live cells for a period of 5 days. The proliferative potency of K562 cells was detected by MTT colorimetric assay. The OD value was detected with ELISA apparatus to calculate the inhibition rate. Colony formation of K562 cells and MNCs was determined. (3) K562 cells were mixed into normal MNCs at the ratios of 1:100 and 1:1,000 so as to create the model of simulated remission bone marrow. After PDT treatment, colony formation test was done and nested-PCR was used to detect the bcr-abl mRNA expression in K562 cells. Colony formation test was made on the MNCs treated with PDT. The antiproliferative effects of PDT on normal hematopoietic progenitors were evaluated by CFU-Mix, CFU-GM and CFU-E assays. RESULTS: (1) The zinc phthalocyanine content in the MNCs reached its peak within the first hour of incubation and then rapidly decreased to the lowest value in 4 hours. However, the zinc phthalocyanine content in the K562 cells gradually increased within the first 4 hours of incubation and reached its peak by the fifth hour with a ratio of zinc phthalocyanine content in K562 cells to that in MNCs of 4.59. Therefore, the fifth hour after incubation was selected as the optimal time to irradiate the suspensions using the laser with a wavelength of 670 nm. (2) The inhibitory rate of laser on the colony information rate was 91.1% for the K562 cells, 18.0% for the MNCs in CFU-Mix methyl cellulose culture system, 18.6% for the MNCs in CFU-GM methyl cellulose culture system, and 17.8% for the MNCs in CFU-E methyl cellulose culture system At the concentration of 0.25 micro g/ml, K562 cells were inhibited by 91.1%, however, CFU-Mix, CFU-GM and CFU-E were relatively spared, inhibitory rate being 18.0%, 18.6% and 17.8% respectively. (3) At the concentration of 0.25 micro g/ml, residual K562 cells in the simulated remission bone marrow were completely photoinactivated. CONCLUSION: Zinc phthalocyanine -based PDT selectively kills K562 cells. It would be a promising purging technique for chronic granulocytic leukemia.","['Huang, Hui-fang', 'Chen, Yuan-zhong', 'Wu, Yong']","['Huang HF', 'Chen YZ', 'Wu Y']","['Fujian Institute of Hematology, Union Hospital, Fujian Medical University, Fuzhou 350001, China.']",['chi'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (Indoles)', '0 (Isoindoles)', '0 (Organometallic Compounds)', '0 (Zinc Compounds)', '14320-04-8 (Zn(II)-phthalocyanine)']",IM,"['Bone Marrow Purging/*methods', 'Cell Count', 'Hematopoietic Stem Cells/drug effects', 'Humans', 'Indoles/metabolism/*pharmacology', 'Isoindoles', 'K562 Cells', 'Organometallic Compounds/metabolism/*pharmacology', '*Photochemotherapy', 'Zinc Compounds']",2003/08/06 05:00,2003/12/12 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/12/12 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Zhonghua Yi Xue Za Zhi. 2003 Jun 10;83(11):986-91.,,,,,,,,,,,,,,,,,,,
12899755,NLM,MEDLINE,20040914,20061115,0376-2491 (Print) 0376-2491 (Linking),83,9,2003 May 10,[Cytomegalovirus diseases after allogeneic hematopoietic stem cell transplantation (Allo-HSCT) and related risk factors].,766-9,"OBJECTIVE: To analyze the incidence of cytomegalovirus (CMV) diseases after allogeneic hematopoietic stem cell transplantation (allo-HSCT) and related risk factors. METHODS: The clinical data of 131 patients undergoing allo-HSCT August 1999 to July 2001 were analyzed retrospectively. RESULTS: Twenty-eight of the 131 patients developed CMV interstitial pneumonia (IP) with an incidence rate of 21.35%, 9 patients developed CMV enteritis with an incidence rate of 6.87%; in total 37 of the 131 patients developed CMV disease with the accumulative one-year incidence rate of 32.54%. Thirteen patients (35.14%)died of CMV diseases. Univariate analysis showed that accumulative incidence of CMV disease was associated with unrelated donor, II-IV degrees acute graft versus host disease (aGVHD), additional immunosuppressive therapy for GVHD, chronic graft versus host disease (cGVHD), antilymphocyte globulin (ALG)/monoclonal antibody (MoAb) administration, high dose of methylprednisolone (MP), plasma viramia-PCR (PV-PCR) positivity of patients, blood transfusion and pre-emptive treatment. Multivariate analysis showed that risk factors for CMV disease included plasma CMV-DNA positivity, immense amount of blood transfused, and additional immunosuppressive therapy for aGVHD, and pre-emptive therapy capable of turning PV-PCR positive reduced the incidence of CMV disease (RR: 3.309, 1.046, 2.242, and 0.346). CONCLUSION: CMV disease has a high morbidity and mortality in allo-HSCT patients. Patients with positive plasma CMV-DNA should receive pre-emptive therapy till their plasma CMV-DNA turns to be negative, especially in condition of severe aGVHD, immense amount of blood transfused, or additional immunosuppressive therapy.","['Huang, Xiao-jun', 'Xu, Lan-ping', 'Ren, Han-yun', 'Zhang, Yao-chen', 'Guo, Nai-lan', 'Lu, Dao-pei']","['Huang XJ', 'Xu LP', 'Ren HY', 'Zhang YC', 'Guo NL', 'Lu DP']","[""Institute of Hematology, People's Hospital, Peking University, Beijing 100044, China.""]",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi,7511141,"['0 (DNA, Viral)']",IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'China/epidemiology', 'Cytomegalovirus/isolation & purification', 'Cytomegalovirus Infections/epidemiology/*etiology/prevention & control', 'DNA, Viral/blood', 'Female', 'Follow-Up Studies', 'Graft vs Host Disease/*etiology', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Incidence', 'Leukemia/surgery', 'Lung Diseases, Interstitial/epidemiology/virology', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Retrospective Studies', 'Risk Factors', 'Transplantation, Homologous']",2003/08/06 05:00,2004/09/15 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2004/09/15 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Zhonghua Yi Xue Za Zhi. 2003 May 10;83(9):766-9.,,,,,,,,,,,,,,,,,,,
12899728,NLM,MEDLINE,20031010,20190705,0007-1048 (Print) 0007-1048 (Linking),122,4,2003 Aug,Isolated epidural chloroma with translocation t(15; 17) successfully treated with chemotherapy and all-trans-retinoic acid.,688-9,,"['Fiegl, Michael', 'Rieger, Christina', 'Braess, Jan', 'Haferlach, Torsten', 'Schnittger, Susanne', 'Schoch, Claudia', 'Hiddemann, Wolfgang', 'Ostermann, Helmut']","['Fiegl M', 'Rieger C', 'Braess J', 'Haferlach T', 'Schnittger S', 'Schoch C', 'Hiddemann W', 'Ostermann H']",,['eng'],"['Case Reports', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,['5688UTC01R (Tretinoin)'],IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Chromosomes, Human, Pair 15/*genetics', 'Chromosomes, Human, Pair 17/*genetics', 'Epidural Space', 'Humans', 'Male', 'Middle Aged', 'Sarcoma, Myeloid/*genetics', 'Spinal Neoplasms/*genetics', '*Translocation, Genetic', 'Tretinoin/therapeutic use']",2003/08/06 05:00,2003/10/11 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/10/11 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Br J Haematol. 2003 Aug;122(4):688-9. doi: 10.1046/j.1365-2141.2003.04490.x.,,"['4490 [pii]', '10.1046/j.1365-2141.2003.04490.x [doi]']",,,,,,,,,,,,,,,,,
12899727,NLM,MEDLINE,20031010,20191210,0007-1048 (Print) 0007-1048 (Linking),122,4,2003 Aug,Successful use of gemtuzumab ozogamicin in a child with relapsed CD33-positive acute lymphoblastic leukaemia.,687-8,,"['Cotter, Melanie', 'Rooney, Sean', ""O'Marcaigh, Aengus"", 'Smith, Owen P']","['Cotter M', 'Rooney S', ""O'Marcaigh A"", 'Smith OP']",,['eng'],"['Case Reports', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,"['0 (Aminoglycosides)', '0 (Anti-Bacterial Agents)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antigens, CD)', '0 (Antigens, Differentiation, Myelomonocytic)', '0 (CD33 protein, human)', '0 (Immunotoxins)', '0 (Sialic Acid Binding Ig-like Lectin 3)', '93NS566KF7 (Gemtuzumab)']",IM,"['*Aminoglycosides', 'Anti-Bacterial Agents/*therapeutic use', 'Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Humanized', 'Antigens, CD/*blood', 'Antigens, Differentiation, Myelomonocytic/*blood', 'Child, Preschool', 'Gemtuzumab', 'Humans', 'Immunotoxins/therapeutic use', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Recurrence', 'Sialic Acid Binding Ig-like Lectin 3']",2003/08/06 05:00,2003/10/11 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/10/11 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Br J Haematol. 2003 Aug;122(4):687-8. doi: 10.1046/j.1365-2141.2003.04485.x.,,"['4485 [pii]', '10.1046/j.1365-2141.2003.04485.x [doi]']",,,,,,,,,,,,,,,,,
12899726,NLM,MEDLINE,20031010,20190705,0007-1048 (Print) 0007-1048 (Linking),122,4,2003 Aug,Transient leukaemia in newborn infants with trisomy 21.,686-7,,"['Kwong, Y L']",['Kwong YL'],,['eng'],"['Comment', 'Letter']",England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (Transcription Factors)']",IM,"['DNA-Binding Proteins/genetics', 'Down Syndrome/*genetics', 'Erythroid-Specific DNA-Binding Factors', 'Humans', 'Infant, Newborn', 'Leukemia/*genetics', 'Leukemia, Megakaryoblastic, Acute/genetics', 'Mutation', 'Remission, Spontaneous', 'Transcription Factors/genetics']",2003/08/06 05:00,2003/10/11 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/10/11 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Br J Haematol. 2003 Aug;122(4):686-7. doi: 10.1046/j.1365-2141.2003.04463.x.,,"['4463 [pii]', '10.1046/j.1365-2141.2003.04463.x [doi]']",,,,,,,['Br J Haematol. 2003 Mar;120(6):930-8. PMID: 12648061'],,,,,,,,,,
12899719,NLM,MEDLINE,20031010,20190705,0007-1048 (Print) 0007-1048 (Linking),122,4,2003 Aug,Graft-versus-host disease (GVHD)-specific survival and duration of systemic immunosuppressive treatment in patients who developed chronic GVHD following allogeneic haematopoietic cell transplantation.,637-44,"We investigated graft-versus-host disease (GVHD)-specific survival (GSS) and the duration of systemic immunosuppressive treatment (IST) in 82 patients who developed chronic GVHD following allogeneic haematopoietic cell transplantation (HCT). These two major study endpoints were calculated using the Kaplan-Meier method. Deaths solely due to the relapse of underlying disease or accidental deaths were censored at the time of occurrence for the analysis of GSS. The probability of GSS at 5 years was 74.2%. The median duration of systemic IST for chronic GVHD was 272 d (range: 7-1450), and the probability of withdrawal of systemic IST at 1, 2 and 3 years was 67.3%, 82.4% and 89.0% respectively. Analysis based on a multivariate model showed that a diagnosis other than leukaemia or myelodysplastic syndrome (P = 0.049), prior occurrence of grade III-IV acute GVHD (P = 0.021), onset of chronic GVHD before d 120 (P = 0.013), serum alkaline phosphatase over 120 IU/l (P = 0.034), and serum bilirubin over 34.2 micromol/l (P = 0.015) were independent adverse prognostic factors for GSS. Prior occurrence of grade III-IV acute GVHD significantly influenced the duration of systemic IST (P = 0.048). In conclusion, analyses of GSS and the duration of systemic IST will allow patients with different outcomes to be stratified for appropriate treatment application and will provide important parameters in prospective trials for the treatment of chronic GVHD.","['Lee, Jung-Hee', 'Lee, Je-Hwan', 'Choi, Seong-Jun', 'Kim, Shin', 'Seol, Miee', 'Lee, Young-Shin', 'Lee, Jung-Shin', 'Kim, Woo-Kun', 'Lee, Kyoo-Hyung']","['Lee JH', 'Lee JH', 'Choi SJ', 'Kim S', 'Seol M', 'Lee YS', 'Lee JS', 'Kim WK', 'Lee KH']","['Section of Oncology-Haematology, Department of Medicine, University of Ulsan College of Medicine, Asan Medical Centre, 388-1 Poongnap-dong, Songpa-ku, Seoul 138-736, Korea. jhlee3@amc.seoul.kr']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,['0 (Immunosuppressive Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Chronic Disease', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Graft vs Host Disease/*drug therapy', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Immunosuppressive Agents/*administration & dosage/therapeutic use', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Prognosis', 'Retrospective Studies', 'Survival Analysis', 'Treatment Outcome']",2003/08/06 05:00,2003/10/11 05:00,['2003/08/06 05:00'],"['2003/08/06 05:00 [pubmed]', '2003/10/11 05:00 [medline]', '2003/08/06 05:00 [entrez]']",ppublish,Br J Haematol. 2003 Aug;122(4):637-44. doi: 10.1046/j.1365-2141.2003.04472.x.,,"['4472 [pii]', '10.1046/j.1365-2141.2003.04472.x [doi]']",,,,,,,,,,,,,,,,,
