PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,IP,TT,GR,PMC,CON,SI,CIN,GS,OID,OTO,OT,GN,EIN,LID,PS,FPS
7488711,NLM,MEDLINE,19960104,20191210,0303-2647 (Print) 0303-2647 (Linking),35,1995,Biological effects of environmental electromagnetic fields: molecular mechanisms.,175-8,"In recent years, epidemiological studies have shown an increased risk of leukemia in children living near electric power distribution lines. Also, medical studies have shown that low frequency electromagnetic (EM) fields accelerate the healing of bone fractures. The stimulation of biosynthesis suggested by both epidemiological and clinical studies is observed in vitro, and indicates that EM fields stimulate the biosynthetic 'stress response' in cells. Studies of EM field effects on enzyme (Na,K-ATPase) function suggest that these effects should be considered in the design of molecular electronic devices.","['Blank, M']",['Blank M'],"['Department of Physiology and Cellular Biophysics, Columbia University, New York, NY 10032, USA.']",['eng'],['Journal Article'],Ireland,Biosystems,Bio Systems,0430773,['EC 7.2.2.13 (Sodium-Potassium-Exchanging ATPase)'],IM,"['Child', 'Electromagnetic Fields/*adverse effects', 'Electronics, Medical', 'Fracture Healing', 'Humans', 'In Vitro Techniques', 'Leukemia/etiology', 'Protein Biosynthesis', 'Risk Factors', 'Signal Transduction', 'Sodium-Potassium-Exchanging ATPase/metabolism', 'Stress, Physiological/metabolism', 'Transcription, Genetic']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']","['0303-2647(94)01509-6 [pii]', '10.1016/0303-2647(94)01509-6 [doi]']",ppublish,Biosystems. 1995;35(2-3):175-8. doi: 10.1016/0303-2647(94)01509-6.,,2-3,,,,,,,,,,,,,,,
7488610,NLM,MEDLINE,19960104,20190501,0007-1161 (Print) 0007-1161 (Linking),79,1995 Sep,Subretinal hypopyon in prolymphocytic leukaemia.,863-4,,"['Schworm, H D', 'Nasemann, J E', 'Schriever, S']","['Schworm HD', 'Nasemann JE', 'Schriever S']",,['eng'],"['Case Reports', 'Letter']",England,Br J Ophthalmol,The British journal of ophthalmology,0421041,,IM,"['Anterior Chamber', 'Eye Neoplasms/*complications', 'Fatal Outcome', 'Humans', 'Leukemia, Prolymphocytic/*complications', 'Male', 'Middle Aged', '*Retina', 'Suppuration/etiology', 'Vision Disorders/etiology']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']",['10.1136/bjo.79.9.863 [doi]'],ppublish,Br J Ophthalmol. 1995 Sep;79(9):863-4. doi: 10.1136/bjo.79.9.863.,,9,,,PMC505277,,,,,,,,,,,,
7488550,NLM,MEDLINE,19960104,20181113,0959-9673 (Print) 0959-9673 (Linking),76,1995 Oct,A new fibroblast growth stimulating activity from the human megakaryoblastic leukaemia cell line ELF-153: in vitro and in vivo findings.,361-7,"Although the exact mechanism for the progression of myelofibrosis in acute megakaryoblastic leukaemia is unclear, certain humoral factors released from the proliferating megakaryoblasts that are unable to store these factors in their defective alpha-granules, including platelet derived growth factor (PDGF), fibroblast growth factors (FGF), platelet factor-4 (PF-4), transforming growth factor-beta (TGF-beta) and beta-thromboglobulin, could result in increased collagen synthesis by bone marrow fibroblasts. Recently, the human megakaryoblastic leukaemia cell line MEG-01 has been shown to produce both TGF-beta and PF-4 which have enhanced the growth of bone marrow fibroblasts. Therefore, we have examined the presence of a fibroblast growth stimulating activity and the humoral factors that might be responsible for it in the supernatant of the human megakaryoblastic leukaemia cell line ELF-153 recently established in our laboratory from a patient with acute myelofibrosis. A new fibroblast growth stimulating activity has been identified in the supernatant of the ELF-153 human megakaryoblastic leukaemia cell line that is independent of the percentage of fetal calf serum in NRK-49F fibroblast agar clonogenic assays and is not due to any of the known fibroblast growth stimulating humoral factors including PDGF, epithelial growth factor, TGF-alpha or beta, tumour necrosis factor-alpha, interleukin-1, 2, 4 or 6, FGF, fibronectin, PF-4 and factor VIII AG. Also, in vivo, subcutaneous injection of ELF-153 megakaryoblastic leukaemia cells into nude mice formed, in three out of the five mice after 6 weeks, subcutaneous tumours with a very rigid texture whose histological examination revealed dense infiltration by blast cells and pronounced reticular fibrosis. Immunohistochemistry demonstrated exclusive deposition of collagen III in the extracellular matrix whereas laminin and collagen IV were absent.(ABSTRACT TRUNCATED AT 250 WORDS)","['Hassan, H T', 'Hanauske, A R', 'Lux, E', 'Kleine, H D', 'Freund, M']","['Hassan HT', 'Hanauske AR', 'Lux E', 'Kleine HD', 'Freund M']","['Department of Haematology and Oncology, University of Hannover Medical School, Germany.']",['eng'],['Journal Article'],England,Int J Exp Pathol,International journal of experimental pathology,9014042,"['0 (Culture Media, Conditioned)', '0 (Growth Substances)']",IM,"['Animals', 'Cell Division', 'Culture Media, Conditioned', 'Fibroblasts/*pathology', 'Fibrosis', 'Growth Substances/*metabolism', 'Humans', 'Leukemia, Megakaryoblastic, Acute/*metabolism/pathology', 'Mice', 'Mice, Nude', 'Neoplasm Transplantation', 'Tumor Cells, Cultured']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Int J Exp Pathol. 1995 Oct;76(5):361-7.,,5,,,PMC1997200,,,,,,,,,,,,
7488522,NLM,MEDLINE,19960104,20171116,0924-3860 (Print) 0924-3860 (Linking),33,1995 Apr,Introduction: workshop summary of the CD15 monoclonal antibody panel from the Fifth International Workshop on Leukocyte Antigens.,95-100,"CD15 is expressed on a wide variety of tumor cells including myeloid leukemia, breast, colorectal, lung cancer cells. It is probable that the core proteins and lipids differ on the different cell types since there is marked variability in the binding of the mAb within and among the different cell types. Previously, there had only been a single mAb of the IgG class directed to CD15. The present study demonstrates the existence of one more IgG mAb (an IgG3). Unfortunately, a third mAb submitted as an IgG1, MA14, did not appear to be an IgG in our studies and a fourth mAb, MA9, submitted as an IgG1 did not have significant binding activity and also could not be confirmed as anti-CD15. An interesting finding was that all of the mAb could mediate complement-dependent cytotoxicity with rabbit serum. However, the two IgG3 mAb, MA63 (MCS-1) and MA88 (7C3), could not mediate lysis with human complement, while all of the IgM mAb could do so. It is not clear why this difference exists. CD15 is known to be expressed on mature myeloid cells in the hematopoietic lineage. The expression of CD15 on progenitor cells has been mapped by the indirect method of C'-dependent lysis and measurement of colony-forming cells. These studies have estimated that about 50% of normal CFU-GM express CD15. In the present workshop, we examined the expression of CD15 on a quantifiable cell population, the CD34 positive population.(ABSTRACT TRUNCATED AT 250 WORDS)","['Ball, E D']",['Ball ED'],"['Department of Medicine, University of Pittsburgh, School of Medicine, PA 15213, USA.']",['eng'],['Journal Article'],England,Eur J Morphol,European journal of morphology,9011462,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Lewis X Antigen)', '0 (Macromolecular Substances)', 'EC 3.2.1.18 (Neuraminidase)']",IM,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Antibody Specificity', 'Antigen-Antibody Reactions', 'Antigens, Neoplasm/immunology', 'Hematopoietic Stem Cells/immunology', 'Humans', 'Immunoglobulin G/immunology', 'Immunoglobulin M/immunology', 'Leukemia, Myeloid/immunology', 'Lewis X Antigen/analysis/*immunology', 'Macromolecular Substances', 'Mice', 'Neoplasms/immunology', 'Neuraminidase/pharmacology', 'Rabbits', 'Tumor Cells, Cultured']",1995/04/01 00:00,1995/04/01 00:01,['1995/04/01 00:00'],"['1995/04/01 00:00 [pubmed]', '1995/04/01 00:01 [medline]', '1995/04/01 00:00 [entrez]']",,ppublish,Eur J Morphol. 1995 Apr;33(2):95-100.,,2,,,,,,,,,,,,,,,
7488420,NLM,MEDLINE,19960104,20190718,0959-8049 (Print) 0959-8049 (Linking),31A,1995 Sep,Risk analysis in acute lymphoblastic leukaemia: problems and pitfalls.,1656-9,,"['Chessells, J M']",['Chessells JM'],"['Institute of Child Health, University of London, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/classification/*drug therapy', 'Prognosis', 'Risk Factors', 'Treatment Outcome']",1995/09/01 00:00,1995/09/01 00:01,['1995/09/01 00:00'],"['1995/09/01 00:00 [pubmed]', '1995/09/01 00:01 [medline]', '1995/09/01 00:00 [entrez]']","['0959-8049(95)00343-H [pii]', '10.1016/0959-8049(95)00343-h [doi]']",ppublish,Eur J Cancer. 1995 Sep;31A(10):1656-9. doi: 10.1016/0959-8049(95)00343-h.,36,10,,,,,,,,,,,,,,,
7488255,NLM,MEDLINE,19951207,20191023,0197-8462 (Print) 0197-8462 (Linking),16,1995,Power lines and the geomagnetic field.,227-30,"The metric of prime interest in power line epidemiological studies has been AC magnetic intensity. To consider also possible geomagnetic involvement, the orientation of a long straight power line is examined relative to a uniform geomagnetic field (GMF) with dip angle alpha. An expression is derived for the component of the total GMF that is parallel, at an elevation beta, to the circuital magnetic field that surrounds the line. This component is a function of the angles alpha and beta, the total geomagnetic intensity BT, and the angle theta between the axis of the power line and magnetic north. Plotting these geomagnetic parameters for known leukemia residences allows one to test for possible ion cyclotron resonance or other GMF interactions. This approach, in principle, is an easy addition to existing or planned studies, because residential access is not required to obtain local values for alpha, beta, theta, and BT. We recommend including these parameters in the design of epidemiological studies examining power line fields and childhood leukemia.","['Liboff, A R', 'McLeod, B R']","['Liboff AR', 'McLeod BR']","['Department of Physics, Oakland University, Rochester, Michigan 48309, USA.']",['eng'],['Journal Article'],United States,Bioelectromagnetics,Bioelectromagnetics,8008281,,IM,"['Child', '*Electromagnetic Phenomena', 'Geological Phenomena', 'Geology', 'Humans', 'Leukemia, Radiation-Induced/*epidemiology', '*Magnetics', 'Mathematics', 'Models, Theoretical']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1002/bem.2250160404 [doi]'],ppublish,Bioelectromagnetics. 1995;16(4):227-30. doi: 10.1002/bem.2250160404.,,4,,,,,,,,,,,,,,,
7488246,NLM,MEDLINE,19951214,20190623,0006-2952 (Print) 0006-2952 (Linking),50,1995 Oct 12,Comparison of transport properties of the reduced folate carrier and folate receptor in murine L1210 leukemia cells.,1287-94,"This laboratory previously described an L1210 murine leukemia cell line with a functional defect in the reduced folate carrier and increased expression of folate receptor-beta (F2-MTXrA). This cell line was used to characterize methotrexate (MTX) influx mediated by folate receptor-beta and to compare this with influx mediated by the reduced folate carrier in L1210 parental cells. Influx of 0.2 microM MTX in F2-MTXrA cells was one-third that of L1210 cells and was abolished by very low concentrations of folic acid. Kinetic analysis revealed that MTX transport mediated by folate receptor-beta exhibited an influx kappa t one-third, and an influx Vmax one-fourth, that of the reduced folate carrier. Metabolic inhibitors markedly suppressed influx in F2-MTXrA cells but had no effect on MTX influx in L1210 cells. MTX influx in both cell lines was inhibited by the organic anions probenecid, sulfobromophthalein, and CI-920, but to a lesser extent in F2-MTXrA cells. The inhibitory effects of these anions on transport in F2-MTXrA cells could be attributed to their inhibition of MTX binding to the folate receptor. Although MTX influx in both cell lines was not sodium dependent, removal of extracellular chloride increased influx 2-fold in L1210 cells while markedly inhibiting influx in F2-MTXrA cells. Substitution of Cl- with isethionate or NO3- partially restored influx in the latter cells, whereas SO4(2-) was inhibitory. Anions enhanced MTX binding to folate receptor-beta with isethionate > SO4(2-) > Cl-. Decreasing the buffer pH to 6.2 produced a 69% reduction, and a 260% increase, in MTX influx in L1210 cells and F2-MTXrA cells, respectively. The data indicate that folate receptor-beta-mediated MTX influx has properties fundamentally different from transport mediated by the reduced folate carrier in terms of energy, ion, and pH dependence. There was no evidence indicating that these processes are functionally linked.","['Sierra, E E', 'Brigle, K E', 'Spinella, M J', 'Goldman, I D']","['Sierra EE', 'Brigle KE', 'Spinella MJ', 'Goldman ID']","['Department of Medicine, Virginia Commonwealth University, Medical College of Virginia, Richmond 23298, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Carrier Proteins)', '0 (Folate Receptors, GPI-Anchored)', '0 (Membrane Proteins)', '0 (Membrane Transport Proteins)', '0 (Receptors, Cell Surface)', '0 (Reduced Folate Carrier Protein)', '0 (Slc19a1 protein, mouse)', '0 (Slc19a2 protein, mouse)', '0C2P5QKL36 (Sulfobromophthalein)', 'PO572Z7917 (Probenecid)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Biological Transport/drug effects', 'Carrier Proteins/*metabolism', 'Folate Receptors, GPI-Anchored', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia L1210/*metabolism', '*Membrane Proteins', '*Membrane Transport Proteins', 'Methotrexate/metabolism', 'Mice', 'Probenecid/pharmacology', '*Receptors, Cell Surface', 'Reduced Folate Carrier Protein', 'Sulfobromophthalein/pharmacology', 'Tumor Cells, Cultured']",1995/10/12 00:00,1995/10/12 00:01,['1995/10/12 00:00'],"['1995/10/12 00:00 [pubmed]', '1995/10/12 00:01 [medline]', '1995/10/12 00:00 [entrez]']","['0006-2952(95)94097-Y [pii]', '10.1016/0006-2952(95)94097-y [doi]']",ppublish,Biochem Pharmacol. 1995 Oct 12;50(8):1287-94. doi: 10.1016/0006-2952(95)94097-y.,,8,,"['CA-09340/CA/NCI NIH HHS/United States', 'CA-09394/CA/NCI NIH HHS/United States', 'CA-39807/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
7488237,NLM,MEDLINE,19951214,20190623,0006-2952 (Print) 0006-2952 (Linking),50,1995 Oct 12,Preferential requirement for protein tyrosine phosphatase activity in the 12-O-tetradecanoylphorbol-13-acetate-induced differentiation of human colon cancer cells.,1217-22,"Some lines of colon cancer cells are forced to undergo differentiation by 12-O-tetradecanoylphorbol-13-acetate (TPA). The increases in activities of both protein tyrosine phosphatase (PTP) and protein tyrosine kinase (PTK) have been reported to be associated with the TPA-induced differentiation of HL-60 leukemia cells. In the present study, a 2-fold increase in PTP activity was observed in SW620 human colon cancer cells after 30 min of TPA treatment; a maximal level (4- to 5-fold) was reached at 60 min and continued for more than 6 hr. In addition, two TPA-induced differentiated characteristics, morphological alteration and release of cellular surface proteoglycan, were effectively blocked by PTP inhibitors, such as sodium orthovanadate (50 microM), zinc chloride (100 microM), and iodoacetate (250 microM), but not by the protein serine/threonine phosphatase inhibitor okadaic acid (20 nM). On the other hand, although TPA induced a transient slight increase in PTK activity (1.4-fold) at 60 min, four PTK inhibitors (genistein, herbimycin A, tyrphostin-23 and quercetin) had different effects on the TPA-induced release of cell surface proteoglycan. Genistein (60 microM) potentiated this process, but in contrast, quercetin (45 microM) could partially inhibit the TPA effect. Taken together, these observations suggest that both PTP and PTK activities were increased in SW620 cells in response to TPA; however, the activation of PTP seems to be preferentially required for the TPA-induced differentiation of SW620 human colon cancer cells.","['Kuo, M L', 'Huang, T S', 'Lin, J K']","['Kuo ML', 'Huang TS', 'Lin JK']","['Institute of Toxicology, College of Medicine, National Taiwan University, Taipei.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Chlorides)', '0 (Ethers, Cyclic)', '0 (Isoflavones)', '0 (Proteoglycans)', '0 (Zinc Compounds)', '1W21G5Q4N2 (Okadaic Acid)', '86Q357L16B (zinc chloride)', 'DH2M523P0H (Genistein)', 'EC 3.1.3.48 (Protein Tyrosine Phosphatases)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Differentiation/drug effects', 'Chlorides/pharmacology', 'Colonic Neoplasms/*enzymology', 'Enzyme Activation', 'Ethers, Cyclic/pharmacology', 'Genistein', 'Humans', 'Isoflavones/pharmacology', 'Okadaic Acid', 'Protein Tyrosine Phosphatases/antagonists & inhibitors/*biosynthesis', 'Proteoglycans/analysis', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tumor Cells, Cultured/drug effects', 'Zinc Compounds/pharmacology']",1995/10/12 00:00,1995/10/12 00:01,['1995/10/12 00:00'],"['1995/10/12 00:00 [pubmed]', '1995/10/12 00:01 [medline]', '1995/10/12 00:00 [entrez]']","['000629529500261W [pii]', '10.1016/0006-2952(95)00261-w [doi]']",ppublish,Biochem Pharmacol. 1995 Oct 12;50(8):1217-22. doi: 10.1016/0006-2952(95)00261-w.,,8,,,,,,,,,,,,,,,
7488229,NLM,MEDLINE,19951214,20190623,0006-2952 (Print) 0006-2952 (Linking),50,1995 Oct 12,Biochemical pharmacology of penclomedine (NSC-338720).,1157-64,"Penclomedine (PEN) is a synthetic pyridine derivative that has been selected for clinical development based on its activity against human and mouse breast tumors implanted in mice. Its mechanism of action was unclear, and we were interested in determining its mechanism of cytotoxicity in vitro and in vivo. We found chromosome breaks, gaps, and exchanges in P388 ascites cells from BD2F1 mice treated with 200 mg/kg PEN. Maximal observed damage occurred 24 hr after drug administration. Alkaline elution indicated only limited DNA strand breaks and interstrand cross-linking. In vitro, PEN (75 micrograms/mL) inhibited RNA and DNA syntheses almost completely. In addition, incubation of [14C]PEN with rat liver S-9 fraction in the presence of calf thymus DNA resulted in the stable transfer of radioactivity to DNA. Addition of butylated hydroxytoluene, a free radical scavenger, to the incubation mixture inhibited the binding of drug to DNA, implicating free radicals as the ultimate reactive species. These data suggest that PEN can be metabolized to free radical, DNA-reactive products, and that its cytotoxicity is due to chromosomal damage produced by monofunctional alkylation. As an alternate mechanism, the ability of PEN to inhibit cellular dihydroorotate dehydrogenase was explored. Although PEN is an inhibitor of this enzyme in cells in vivo, in vitro, and in isolated cell sonicates, HPLC analyses of ribonucleotide triphosphate pools in P388 cells showed that all triphosphates had increased, especially UTP. Addition of uridine to the cell culture failed to prevent PEN-mediated cytotoxicity, suggesting that inhibition of de novo pyrimidine biosynthesis was not likely to be an important mechanism of action of this drug. These data suggest that PEN is activated in cells to a free radical that binds DNA.","['Benvenuto, J A', 'Hittelman, W N', 'Zwelling, L A', 'Plunkett, W', 'Pandita, T K', 'Farquhar, D', 'Newman, R A']","['Benvenuto JA', 'Hittelman WN', 'Zwelling LA', 'Plunkett W', 'Pandita TK', 'Farquhar D', 'Newman RA']","['Department of Clinical Investigation, University of Texas M.D. Anderson Cancer Center, Houston 77030, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Antineoplastic Agents)', '0 (Picolines)', '4Y8F71G49Q (Malondialdehyde)', '66Q80IL7CW (penclomedine)', '9007-49-2 (DNA)', 'EC 1.3.98.1 (Dihydroorotate Oxidase)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Cell Division/drug effects', 'Cell Line/drug effects', 'Chromatography, High Pressure Liquid', 'DNA/metabolism', '*DNA Damage', 'Dihydroorotate Oxidase/antagonists & inhibitors', 'Humans', 'Leukemia P388', 'Malondialdehyde/analysis', 'Picolines/metabolism/*pharmacology', 'Uridine/metabolism']",1995/10/12 00:00,1995/10/12 00:01,['1995/10/12 00:00'],"['1995/10/12 00:00 [pubmed]', '1995/10/12 00:01 [medline]', '1995/10/12 00:00 [entrez]']","['0006-2952(95)00251-T [pii]', '10.1016/0006-2952(95)00251-t [doi]']",ppublish,Biochem Pharmacol. 1995 Oct 12;50(8):1157-64. doi: 10.1016/0006-2952(95)00251-t.,,8,,['N01-CM-17562/CM/NCI NIH HHS/United States'],,,,,,,,,,,,,
7488166,NLM,MEDLINE,19951221,20190612,0006-291X (Print) 0006-291X (Linking),216,1995 Nov 13,Genotoxicity induced by furocoumarin hydroperoxides in mammalian cells upon UVA irradiation.,693-701,"The mutagenicity and micronucleus induction by the furocoumarin hydroperoxides 1a and 2a and, for comparison, their corresponding alcohols 1b and 2b were investigated in L5178Y tk+/- mouse lymphoma cells and AS52 Chinese hamster ovary cells. The furocoumarin hydroperoxide 1a enhanced the micronucleus frequency in L5178Y tk+/- mouse lymphoma cells significantly, while its alcohol 1b exhibited a rather moderate effect. In contrast, both the furocoumarin hydroperoxide 2a and its alcohol 2b induced high frequencies of micronuclei. Only the furocoumarin hydroperoxide 1a, but not its alcohol 1b, was mutagenic in both L5178Y tk+/- and AS52 cells. On the other hand, the furocoumarin hydroperoxide 2a and its alcohol 2b were mutagenic. For all furocoumarin derivatives 1a,b and 2a,b no mutagenicity and genotoxicity was observed in the absence of UVA light. The multifunctional furocoumarin hydroperoxides may serve as potential photochemotherapeutic agents.","['Moller, M', 'Stopper, H', 'Haring, M', 'Schleger, Y', 'Epe, B', 'Adam, W', 'Saha-Moller, C R']","['Moller M', 'Stopper H', 'Haring M', 'Schleger Y', 'Epe B', 'Adam W', 'Saha-Moller CR']","['Department of Toxicology, University of Wurzburg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Coumarins)', '0 (Furocoumarins)', '0 (Mutagens)', '0 (Peroxides)', '0 (Radiation-Sensitizing Agents)', '135366-51-7', '(9-((2-hydroperoxy-3-methyl-3-butenyl)oxy)-7H-furo(3,2-g)(1)benzopyran-7-one)', '160858-31-1', '(4-(3-hydroperoxy-3-methyl-1-butenyl)-9-methoxy-7H-furo(3,2-g)(1)benzopyran-7-one', ')']",IM,"['Animals', 'CHO Cells', 'Coumarins/*pharmacology', 'Cricetinae', 'Dose-Response Relationship, Drug', '*Furocoumarins', 'Leukemia L5178', 'Lymphoma', 'Mice', 'Micronuclei, Chromosome-Defective/drug effects/*radiation effects', 'Micronucleus Tests', 'Mutagens/*pharmacology', 'Peroxides/*pharmacology', 'Radiation-Sensitizing Agents/*pharmacology', 'Tumor Cells, Cultured', '*Ultraviolet Rays']",1995/11/13 00:00,1995/11/13 00:01,['1995/11/13 00:00'],"['1995/11/13 00:00 [pubmed]', '1995/11/13 00:01 [medline]', '1995/11/13 00:00 [entrez]']","['S0006291X85726770 [pii]', '10.1006/bbrc.1995.2677 [doi]']",ppublish,Biochem Biophys Res Commun. 1995 Nov 13;216(2):693-701. doi: 10.1006/bbrc.1995.2677.,,2,,,,,,,,,,,,,,,
7488121,NLM,MEDLINE,19951221,20190612,0006-291X (Print) 0006-291X (Linking),216,1995 Nov 2,Nucleoside triphosphate donors for nucleoside kinases: donor properties of UTP with human deoxycytidine kinase.,42-8,"The reported higher efficiency of UTP, relative to ATP, as phosphate donor for deoxycytidine kinase (dCK), has been extended and found to apply to both dCyd and dAdo as acceptors. UTP as phosphate donor was shown to follow strictly Michaelis kinetics, with Km = 1 microM, in striking contrast to ATP, which exhibits marked negative cooperativity (Hill coef. = 0.7) with a several-fold higher Kmapp = 15 microM. Phosphate transfer was followed directly with use of mixtures of [gamma-32P]ATP and cold UTP as donors, or with 3H-labeled acceptors and cold donors. With equimolar concentrations of ATP and UTP (50 microM or 1 mM each), and dCyd or dAdo as acceptor, only minimal phosphate transfer occurred from ATP (3-10%). With a 6:1 ratio of ATP:UTP, hence exceeding the intracellular ratio, phosphate transfer from ATP increased, but still did not exceed 25-40% with either dCyd or dAdo as acceptor. Moreover, relative ATP transfer is dependent on the dCyd concentration. We conclude that the major intracellular phosphate donor for dCK is not ATP, but UTP. Preliminary data for human thymidine kinases (TK1 and TK2) exhibit quite different behaviour. The foregoing, together with literature data, are highly relevant to in vitro studies on the properties of the nucleoside kinases, and to the design of chemotherapeutically active nucleoside analogues.","['Krawiec, K', 'Kierdaszuk, B', 'Eriksson, S', 'Munch-Petersen, B', 'Shugar, D']","['Krawiec K', 'Kierdaszuk B', 'Eriksson S', 'Munch-Petersen B', 'Shugar D']","['University of Warsaw, Department of Biophysics, Poland.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Deoxyadenosines)', '0 (Phosphorus Radioisotopes)', '0W860991D6 (Deoxycytidine)', '10028-17-8 (Tritium)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 2.7.1.74 (Deoxycytidine Kinase)', 'UT0S826Z60 (Uridine Triphosphate)']",IM,"['Adenosine Triphosphate/*metabolism', 'Deoxyadenosines/metabolism', 'Deoxycytidine/metabolism', 'Deoxycytidine Kinase/*metabolism', 'Humans', 'Kinetics', 'Leukemia/enzymology', 'Phosphorus Radioisotopes', 'Radioisotope Dilution Technique', 'Spleen/enzymology', 'Substrate Specificity', 'Tritium', 'Uridine Triphosphate/*metabolism']",1995/11/02 00:00,1995/11/02 00:01,['1995/11/02 00:00'],"['1995/11/02 00:00 [pubmed]', '1995/11/02 00:01 [medline]', '1995/11/02 00:00 [entrez]']","['S0006291X85725892 [pii]', '10.1006/bbrc.1995.2589 [doi]']",ppublish,Biochem Biophys Res Commun. 1995 Nov 2;216(1):42-8. doi: 10.1006/bbrc.1995.2589.,,1,,,,,,,,,,,,,,,
