PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,GS,TT,GR,PMC,CIN,SI,EIN,CON,OID,PS,FPS,OTO,OT,GN,CRF
2059760,NLM,MEDLINE,19910808,20131121,0268-3369 (Print) 0268-3369 (Linking),7,3,1991 Mar,Intravenous ribavirin therapy for adenovirus cystitis after allogeneic bone marrow transplantation.,247-8,"Acute hemorrhagic cystitis due to adenovirus infections may be more severe or protracted in immunocompromised patients. This patient with chronic graft-versus-host disease following allogeneic marrow transplantation for acute myelogenous leukemia developed painful hematuria due to adenovirus infection that failed to respond to diuresis and narcotic analgesics. Intravenous ribavirin, administered for a total of 9 days, produced rapid resolution of symptoms while urine cultures became negative for adenovirus. No adverse drug reactions were observed. We conclude that controlled clinical trials of intravenous ribavirin therapy for serious adenovirus infections following bone marrow transplantation are warranted.","['Cassano, W F']",['Cassano WF'],"['Department of Pediatric Hematology-Oncology, University of Florida College of Medicine, Gainesville.']",['eng'],"['Case Reports', 'Journal Article']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Adenovirus Infections, Human/*drug therapy/etiology', 'Bone Marrow Transplantation/*adverse effects', 'Child', 'Cystitis/*drug therapy/etiology', 'Hemorrhage/drug therapy/etiology', 'Humans', 'Injections, Intravenous', 'Leukemia, Myelomonocytic, Acute/surgery', 'Male', 'Ribavirin/administration & dosage/*therapeutic use']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1991 Mar;7(3):247-8.,['49717AWG6K (Ribavirin)'],,,,,,,,,,,,,,,,
2059758,NLM,MEDLINE,19910808,20191210,0268-3369 (Print) 0268-3369 (Linking),7,3,1991 Mar,Prevention of graft-versus-host disease with T cell depletion or cyclosporin and methotrexate. A randomized trial in adult leukemic marrow recipients.,221-6,"In adult leukemic marrow recipients of HLA identical sibling marrow, 23 patients were randomized to T cell depletion and 25 received cyclosporin (CSA) and four doses of methotrexate (MTX) to prevent graft-versus-host disease (GVHD). Anti-CD8 and anti-CD6 antibodies plus complement depleted 95.3 +/- 5.8% (mean +/- SE) CD3 cells. All patients engrafted except one who died early. Patients receiving T cell-depleted marrow had a faster time to 0.2 x 10(9) WBC/l (p less than 0.001), but required more erythrocyte units (p = 0.03). Platelet transfusions, infections and time in hospital did not differ. The incidence of grade II-III acute GVHD was 23% following T cell depletion and 12% for those receiving CSA + MTX. Chronic GVHD occurred in 51% and 23% in the two groups, respectively (p = 0.06). Recipients of T cell-depleted marrow who developed grade I-III acute GVHD received more T cells compared to those without acute GVHD (p = 0.02). The major cause of death in both groups was relapse, the cumulative incidence of which, at 4 years, was 39% in the recipients of T cell-depleted marrow and 54% in the CSA + MTX group. The 3-year actuarial leukemia-free survival was 42% and 44% in the two respective groups.","['Ringden, O', 'Pihlstedt, P', 'Markling, L', 'Aschan, J', 'Baryd, I', 'Ljungman, P', 'Lonnqvist, B', 'Tollemar, J', 'Janossy, G', 'Sundberg, B']","['Ringden O', 'Pihlstedt P', 'Markling L', 'Aschan J', 'Baryd I', 'Ljungman P', 'Lonnqvist B', 'Tollemar J', 'Janossy G', 'Sundberg B']","['Bone Marrow Transplantation Unit, Huddinge Hospital, Stockholm, Sweden.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Adult', 'Blood Transfusion', 'Bone Marrow Transplantation/adverse effects/immunology/*methods', 'Cyclosporins/therapeutic use', 'Graft vs Host Disease/*prevention & control', 'Humans', 'Infections/etiology', 'Leukemia/drug therapy/immunology/*surgery', 'Lymphocyte Depletion', 'Methotrexate/therapeutic use', 'T-Lymphocytes/immunology']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1991 Mar;7(3):221-6.,"['0 (Cyclosporins)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,,,
2059757,NLM,MEDLINE,19910808,20151119,0268-3369 (Print) 0268-3369 (Linking),7,3,1991 Mar,Immunomagnetic bone marrow purging of common acute lymphoblastic leukemia cells: suitability of BioMag particles.,199-203,"Immunomagnetic bone marrow purging is becoming a widely used technique in many bone marrow transplant centres. Most centres use Dynabead magnetic particles to facilitate the procedure. The suitability of a novel magnetic particle (BioMag) for immunomagnetic purging was addressed in this study. Common acute lymphoblastic leukemia (ALL) cells were targeted using CD9 and CD10 mouse monoclonal antibodies prior to attachment of magnetic particles coated with anti-mouse immunoglobulin and depleted with samarium cobalt magnets. Immunofluorescent and clonogenic assays capable of measuring more than four log depletions of the Nalm 6 cell line showed that a single cycle of purging reduced target cells by 3.1 +/- 0.9 BioMag particles and 1.8 +/- 1.0 logs with Dynabeads. A second cycle of purging was advantageous, increasing target cell depletions to more than 4.5 logs with either particle type. Bone marrow granulocyte-macrophage colony-forming units were not significantly reduced. The results indicate that BioMag particles can be used for the efficient depletion of common ALL cells from bone marrow for transplantation.","['Trickett, A E', 'Ford, D J', 'Lam-Po-Tang, P R', 'Vowels, M R']","['Trickett AE', 'Ford DJ', 'Lam-Po-Tang PR', 'Vowels MR']","['Prince of Wales Hospital, Sydney, Australia.']",['eng'],"['Comparative Study', 'Journal Article']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Antibodies, Monoclonal', 'Bone Marrow/immunology', 'Bone Marrow Cells', 'Bone Marrow Transplantation/immunology/*methods/pathology', 'Cell Separation', 'Evaluation Studies as Topic', '*Ferric Compounds', 'Fluorescent Antibody Technique', 'Humans', 'Magnetics', 'Microspheres', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/pathology/*surgery', 'Tumor Cells, Cultured/immunology/pathology', 'Tumor Stem Cell Assay']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1991 Mar;7(3):199-203.,"['0 (Antibodies, Monoclonal)', '0 (Ferric Compounds)', '1K09F3G675 (ferric oxide)']",,,,,,,,,,,,,,,,
2059755,NLM,MEDLINE,19910808,20151119,0268-3369 (Print) 0268-3369 (Linking),7,3,1991 Mar,Analysis of factors predicting speed of hematologic recovery after transplantation with 4-hydroperoxycyclophosphamide-purged autologous bone marrow grafts.,183-91,"We previously described the predictive value of graft colony-forming units granulocyte macrophage (CFU-GM) content after 4-hydroperoxycyclophosphamide (4-HC) purging for the duration of aplasia after autologous bone marrow transplantation. Despite the uniform 4-HC concentration, we observed heterogeneity in CFU-GM survival and the kinetics of engraftment. We have now analysed patient and graft characteristics for 154 patients undergoing autologous transplantation with 4-HC purged grafts to further define this heterogeneity. Patients transplanted for the treatment of malignant lymphoma reached a peripheral blood granulocyte count of greater than 0.5 x 10(9)/l (median, 20 versus 40 days; p less than 0.001) and platelet transfusion independence (median, 30 versus 70 days; p less than 0.001) significantly faster than patients transplanted for acute non-lymphoblastic leukemia. Other diagnostic groups were intermediate. These differences were independent of graft CFU-GM content. Multiple other patient and graft factors including patient age, peripheral blood counts on day of harvest, and amounts of other hematopoietic progenitors also predicted the kinetics of engraftment in univariate and multivariate analysis. Cytomegalovirus infection during the aplastic period predicted a delay in granulocyte (p = 0.024) but not platelet recovery (p = 0.174). This analysis demonstrates that multiple patient, graft, and post-transplant factors predict the engraftment capacity of autografts, and the kinetics of engraftment with 4-HC purged grafts. The multiple predictive factors explain a significant portion of the variability in engraftment kinetics observed after transplantation with 4-HC purged autografts.","['Rowley, S D', 'Piantadosi, S', 'Marcellus, D C', 'Jones, R J', 'Davidson, N E', 'Davis, J M', 'Kennedy, J', 'Wiley, J M', 'Wingard, J R', 'Yeager, A M']","['Rowley SD', 'Piantadosi S', 'Marcellus DC', 'Jones RJ', 'Davidson NE', 'Davis JM', 'Kennedy J', 'Wiley JM', 'Wingard JR', 'Yeager AM', 'et al.']","['Johns Hopkins Oncology Center, Baltimore, Maryland 21205.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Adolescent', 'Adult', 'Blood Platelets/cytology', 'Bone Marrow/*drug effects', 'Bone Marrow Cells', 'Bone Marrow Transplantation/methods/*pathology', 'Cell Count', 'Child', 'Child, Preschool', 'Colony-Forming Units Assay', 'Cyclophosphamide/*analogs & derivatives/pharmacology', 'Female', 'Granulocytes/cytology', 'Hematopoiesis', 'Hematopoietic Stem Cells/cytology', 'Humans', 'Infant', 'Kinetics', 'Male', 'Middle Aged', 'Neoplasms/pathology/surgery', 'Transplantation, Autologous']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,Bone Marrow Transplant. 1991 Mar;7(3):183-91.,"['8N3DW7272P (Cyclophosphamide)', 'U880A4FUDA (perfosfamide)']",,,,['CA15396/CA/NCI NIH HHS/United States'],,,,,,,,,,,,
2059433,NLM,MEDLINE,19910806,20131121,0893-5300 (Print) 0893-5300 (Linking),2,4,1991,Human graft-versus-host disease.,253-64,The principal clinical problem encountered following allogeneic bone marrow transplantation is acute and chronic graft-versus-host disease. The presence of acute graft-versus-host disease is the strongest predictor for the development of chronic graft-versus-host disease. The introduction of new prophylactic regimens has reduced the incidence of acute graft-versus-host disease. The clinical presentation and pathophysiology of acute and chronic graft-versus-host disease are discussed. New therapies for chronic graft-versus-host disease may result in improved treatment for human autoimmune diseases.,"['Parkman, R']",['Parkman R'],"['Division of Research Immunology/Bone Marrow Transplantation, Childrens Hospital of Los Angeles, California.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Switzerland,Immunodefic Rev,Immunodeficiency reviews,9001383,IM,"['Bone Marrow Transplantation', 'Chronic Disease', 'Graft vs Host Disease/drug therapy/*immunology/physiopathology', 'HLA Antigens/immunology', 'Humans', 'Immunocompetence', 'Leukemia, Lymphoid/immunology', 'Methotrexate/therapeutic use', 'T-Lymphocytes/immunology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,Immunodefic Rev. 1991;2(4):253-64.,"['0 (HLA Antigens)', 'YL5FZ2Y5U1 (Methotrexate)']",60,,,,,,,,,,,,,,,
2059319,NLM,MEDLINE,19910805,20131121,1001-652X (Print) 1001-652X (Linking),34,4,1991 Apr,"Study on induction of differentiation of a human megakaryoblastic leukemia cell line (HIMeg) by 1,25-dihydroxyvitamin D3.",412-20,"It is reported that 1,25-dihydroxyvitamin D3 (1,25(OH)2D3), a physiological factor, has an inductive effect on the differentiation of a novel human megakaryoblastic leukemia cell line (HIMeg) in vitro. At the concentrations ranging from 10(-9) to 10(-6) mol/L, 1,25(OH)2D3 showed inhibition of proliferation on HIMeg cells which was demonstrated by count of survival cells and cloning efficiency. Meanwhile, using light/electron microscopy, stain of cytochemistry (including immunoenzymatic technique) and flow cytometry, we found that HIMeg cells could be further induced into more mature cells in megakaryocytic lineage confirmed by a series of evidence, including the changes of cell morphology/structure and cytochemistry, increased expression of differentiation antigens on the cell surface, and polyploidization. So, it is possible for 1,25(OH)2D3 to promote the differentiation of the cells in megakaryocytic lineage in vivo and to be used to treat acute megakaryoblastic leukemia and other diseases with malignant megakaryocytosis.","['Cheng, T', 'Yan, F', 'Wan, J H', 'Yin, J L', 'Zhang, S J', 'Qi, S L', 'Song, Y H']","['Cheng T', 'Yan F', 'Wan JH', 'Yin JL', 'Zhang SJ', 'Qi SL', 'Song YH']","['Department of Hematology, Changhai Hospital, Second Military Medical University, Shanghai, PRC.']",['eng'],['Journal Article'],China,Sci China B,"Science in China. Series B, Chemistry, life sciences & earth sciences",8913082,IM,"['Calcitriol/*pharmacology', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Humans', 'Leukemia, Megakaryoblastic, Acute/*pathology', 'Polyploidy', 'Tumor Cells, Cultured/drug effects/pathology']",1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",,ppublish,Sci China B. 1991 Apr;34(4):412-20.,['FXC9231JVH (Calcitriol)'],,,,,,,,,,,,,,,,
2059214,NLM,MEDLINE,19910731,20190612,0006-291X (Print) 0006-291X (Linking),177,3,1991 Jun 28,Fibronectin-integrin binding promotes hyperpolarization of murine erythroleukemia cells.,1266-72,"The resting electrical potential (delta psi p) of murine erythroleukemia cells (MELC) was measured by the patch-clamp technique at different times after seeding onto culture surfaces enriched with bovine serum albumin (BSA) or Fibronectin (FN). While BSA did not produce significant changes of potential and cell shape, FN promoted a 15-20 mV hyperpolarization that preceded a marked cell spreading. This hyperpolarization was abolished by either treating cells with anti FN-receptor antibodies, or adding the RGDS tetrapeptide, suggesting that electric signals are elicited by the specific interaction of the FN cell binding domain with integrin receptors.","['Arcangeli, A', 'Becchetti, A', 'Del Bene, M R', 'Wanke, E', 'Olivotto, M']","['Arcangeli A', 'Becchetti A', 'Del Bene MR', 'Wanke E', 'Olivotto M']","['Institute of General Pathology, University of Florence, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['Animals', 'Cell Line', 'Cell Membrane/drug effects/*physiology/ultrastructure', 'Electrophysiology/methods', 'Fibronectins/isolation & purification/*pharmacology', 'Humans', 'Immune Sera', 'Integrins/*physiology', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'Leukemia, Experimental', 'Membrane Potentials/drug effects', 'Mice', 'Protein Binding', 'Serum Albumin, Bovine/pharmacology']",1991/06/28 00:00,1991/06/28 00:01,['1991/06/28 00:00'],"['1991/06/28 00:00 [pubmed]', '1991/06/28 00:01 [medline]', '1991/06/28 00:00 [entrez]']","['0006-291X(91)90678-Z [pii]', '10.1016/0006-291x(91)90678-z [doi]']",ppublish,Biochem Biophys Res Commun. 1991 Jun 28;177(3):1266-72. doi: 10.1016/0006-291x(91)90678-z.,"['0 (Fibronectins)', '0 (Immune Sera)', '0 (Integrins)', '27432CM55Q (Serum Albumin, Bovine)']",,,,,,,,,,,,,,,,
2059213,NLM,MEDLINE,19910731,20190612,0006-291X (Print) 0006-291X (Linking),177,3,1991 Jun 28,Regulation of synthesis and activity of NAD(+)-dependent 15-hydroxy-prostaglandin dehydrogenase (15-PGDH) by dexamethasone and phorbol ester in human erythroleukemia (HEL) cells.,1258-65,"Dexamethasone stimulated 15-PGDH activity in HEL cells in a time and concentration dependent manner. Increase in 15-PGDH activity by dexamethasone was found to be accompanied by an increase in enzyme synthesis as revealed by Western blot and [35S]methionine labeling studies. In addition to dexamethasone, other anti-inflammatory steroids also increased 15-PGDH activity in the order of their glucocorticoid activity. Among sex steroids only progesterone increased significantly 15-PGDH activity. 12-0-Tetradecanoylphorbol-13-acetate (TPA) also induced the synthesis of 15-PGDH but inhibited the enzyme activity. It appears that TPA caused a time dependent inactivation of 15-PGDH by a protein kinase C mediated mechanism.","['Xun, C Q', 'Ensor, C M', 'Tai, H H']","['Xun CQ', 'Ensor CM', 'Tai HH']","['Division of Medicinal Chemistry and Pharmaceutics, College of Pharmacy, University of Kentucky, Lexington 40536-0082.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['Blotting, Western', 'Carcinogens/pharmacology', 'Cell Line', 'Dexamethasone/*pharmacology', 'Dinoprostone/metabolism', 'Electrophoresis, Polyacrylamide Gel', 'Enzyme Induction', 'Humans', 'Hydroxyprostaglandin Dehydrogenases/biosynthesis/isolation & purification/*metabolism', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'Methionine/metabolism', 'NAD/metabolism', 'Phorbol Esters/*pharmacology', 'Steroids/*pharmacology', 'Sulfur Radioisotopes', 'Tetradecanoylphorbol Acetate/*pharmacology']",1991/06/28 00:00,1991/06/28 00:01,['1991/06/28 00:00'],"['1991/06/28 00:00 [pubmed]', '1991/06/28 00:01 [medline]', '1991/06/28 00:00 [entrez]']","['0006-291X(91)90677-Y [pii]', '10.1016/0006-291x(91)90677-y [doi]']",ppublish,Biochem Biophys Res Commun. 1991 Jun 28;177(3):1258-65. doi: 10.1016/0006-291x(91)90677-y.,"['0 (Carcinogens)', '0 (Phorbol Esters)', '0 (Steroids)', '0 (Sulfur Radioisotopes)', '0U46U6E8UK (NAD)', '24928-17-4 (phorbol-12,13-didecanoate)', '7S5I7G3JQL (Dexamethasone)', 'AE28F7PNPL (Methionine)', 'EC 1.1.1.- (Hydroxyprostaglandin Dehydrogenases)', 'EC 1.1.1.141 (15-hydroxyprostaglandin dehydrogenase)', 'K7Q1JQR04M (Dinoprostone)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,,,,,,,,,,,,,,
2059204,NLM,MEDLINE,19910731,20190612,0006-291X (Print) 0006-291X (Linking),177,3,1991 Jun 28,Cooperative effect of 8-Cl-cAMP and rhGM-CSF on the differentiation of HL-60 human leukemia cells.,1133-40,"In HL-60 leukemia cells the site-selective cAMP analog, 8-Cl-cAMP, at a dose of 5 microM produced growth inhibition with no signs of toxicity, whereas granulocyte-macrophage colony stimulating factor (GM-CSF) exerted an early transient increase of cell proliferation which was followed by differentiation toward monocytes. 8-Cl-cAMP in combination with GM-CSF blocked the growth stimulation due to GM-CSF and demonstrated a synergistic effect on the differentiation of HL-60 cells. The early proliferative effect of GM-CSF was correlated with an increased expression of type I regulatory subunit of cAMP-dependent protein kinase (RI alpha). Treatment with an RI alpha antisense oligodeoxynucleotide suppressed the GM-CSF-inducible cell proliferation and differentiation. Conversely, an RII beta antisense oligodeoxynucleotide, which suppresses the RII beta and causes a compensatory increase in RI alpha level, greatly enhanced the early proliferative input and the differentiation induced by GM-CSF. These results provide an insight into the mechanism of action of GM-CSF and the rationale for a combination differentiation therapy with 8-Cl-cAMP and GM-CSF.","['Tortora, G', 'Pepe, S', 'Yokozaki, H', 'Meissner, S', 'Cho-Chung, Y S']","['Tortora G', 'Pepe S', 'Yokozaki H', 'Meissner S', 'Cho-Chung YS']","['Laboratory of Tumor Immunology and Biology, National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892.']",['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['8-Bromo Cyclic Adenosine Monophosphate/*analogs & derivatives/pharmacology', 'Antineoplastic Agents/*pharmacology', 'Base Sequence', 'Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Cell Line', 'Drug Synergism', 'Granulocyte-Macrophage Colony-Stimulating Factor/*pharmacology', 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Molecular Sequence Data', 'Monocytes/cytology', 'Oligonucleotides, Antisense/pharmacology', 'Protein Kinases/genetics', 'Recombinant Proteins/pharmacology']",1991/06/28 00:00,1991/06/28 00:01,['1991/06/28 00:00'],"['1991/06/28 00:00 [pubmed]', '1991/06/28 00:01 [medline]', '1991/06/28 00:00 [entrez]']","['0006-291X(91)90657-S [pii]', '10.1016/0006-291x(91)90657-s [doi]']",ppublish,Biochem Biophys Res Commun. 1991 Jun 28;177(3):1133-40. doi: 10.1016/0006-291x(91)90657-s.,"['0 (Antineoplastic Agents)', '0 (Oligonucleotides, Antisense)', '0 (Recombinant Proteins)', '23583-48-4 (8-Bromo Cyclic Adenosine Monophosphate)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', 'BQ94Z7E5OR (8-chloro-cyclic adenosine monophosphate)', 'EC 2.7.- (Protein Kinases)']",,,,,,,,,,,,,,,,
2058166,NLM,MEDLINE,19910726,20071115,0043-6542 (Print) 0043-6542 (Linking),90,3,1991 Mar,Lyme disease article questioned.,"105-6, 108",,"['Smullen, M J']",['Smullen MJ'],,['eng'],"['Comment', 'Letter']",United States,Wis Med J,Wisconsin medical journal,0110663,IM,"['Breast Neoplasms/etiology', 'Erythema Chronicum Migrans/complications', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*etiology', 'Lyme Disease/*complications', 'Peer Review', '*Publishing', 'Skin Neoplasms/*etiology']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']",,ppublish,"Wis Med J. 1991 Mar;90(3):105-6, 108.",,,,,,,,,,['Wis Med J. 1990 Dec;89(12):683-6. PMID: 2293488'],,,,,,,
2058119,NLM,MEDLINE,19910801,20061115,0049-6804 (Print) 0049-6804 (Linking),,2,1991 Feb,[The function of the T immunity system in patients with hemoblastoses undergoing polychemotherapy].,39-43,The theophylline test was used to evaluate the state of T-system immunity in patients with different variants of acute leucosis and in mice with transplantable NK/lymphoma against the background of chemo- and immunotherapy. Analysis of cellular immunoregulatory subpopulations and comparison with the frequency and character of inverse effect of theophylline on the reaction of E-rosette formation showed high informative value and prognostic significance of the theophylline test in patients with hemoblastoses.,"['Zverkova, A S', ""Bratus', G G""]","['Zverkova AS', ""Bratus' GG""]",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Ukraine,Vrach Delo,Vrachebnoe delo,0413607,IM,"['Acute Disease', 'Animals', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Humans', 'Immunity, Cellular/drug effects/immunology', 'Leukemia/drug therapy/*immunology', 'Leukocyte Count/drug effects', 'Lymphoma/drug therapy/*immunology', 'Mice', 'Mice, Inbred CBA', 'Neoplasm Transplantation', 'Remission Induction', 'Rosette Formation', 'T-Lymphocytes/drug effects/*immunology']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",,ppublish,Vrach Delo. 1991 Feb;(2):39-43.,,,,Sostoianie T-sistemy immuniteta u bol'nykh gemoblastozami pri polikhimioterapii.,,,,,,,,,,,,,
2058083,NLM,MEDLINE,19910726,20190912,0174-7398 (Print) 0174-7398 (Linking),418,6,1991,Megakaryocytes in chronic myeloproliferative disorders: numerical density correlated between different entities.,493-7,"A morphometric evaluation of number and grouping of megakaryocytes (MK) in five different groups of chronic myeloproliferative disorders (CMPD) was performed by counting 60 high power fields equaling approximately 14.28 mm2 of haematopoiesis in each case. Twenty-one up to 29 cases were evaluated for each of five categories of CMPD and one control group; a total of 132 cases of CMPD and 33 control cases were used. The mean number of MK per square millimetre was 15.54 +/- 1.53 in chronic myeloid leukaemia of common or granulocytic type (CML.CT), 69.91 +/- 5.85 in CML with megakaryocytic increase (CML.MI), 59.59 +/- 3.27 in polycythaemia vera (P. vera), 59.85 +/- 4.59 in primary thrombocythaemia (PTH), 67.58 +/- 4.11 in chronic megakaryocytic granulocytic myelosis (CMGM), and 19.7 +/- 3.07 in controls. The distinction between free or isolated MK, and between clustered or grouped MK corresponds to the total cell counts of MK in the various groups of CMPD. Clustering of MK was significantly higher in CMGM and PTH compared to other groups, but the difference between them was not statistically significant. Significant differences in the mean number of MK were obtained between controls and CML.CT on the one hand and all other groups of CMPD on the other. The results further support the histological sub-classification of CMPD according to the primary disorders of the Hannover classification (not advanced by sclerosis, fibrosis or excess of blasts, respectively).","['Kaloutsi, V', 'Fritsch, R S', 'Buhr, T', 'Restrepo-Specht, I', 'Widjaja, W', 'Georgii, A']","['Kaloutsi V', 'Fritsch RS', 'Buhr T', 'Restrepo-Specht I', 'Widjaja W', 'Georgii A']","['Pathologisches Institut, Medizinische Hochschule Hannover, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Virchows Arch A Pathol Anat Histopathol,"Virchows Archiv. A, Pathological anatomy and histopathology",8302198,IM,"['Blood Cell Count', 'Chronic Disease', 'Hematopoiesis', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Megakaryocytes/*pathology', 'Myeloproliferative Disorders/classification/*pathology', 'Polycythemia Vera/pathology', 'Thrombocythemia, Essential/pathology']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",['10.1007/BF01606498 [doi]'],ppublish,Virchows Arch A Pathol Anat Histopathol. 1991;418(6):493-7. doi: 10.1007/BF01606498.,,,,,,,,,,,,,,,,,
2058026,NLM,MEDLINE,19910730,20061115,0041-5782 (Print) 0041-5782 (Linking),153,23,1991 Jun 3,[Malignant hematologic diseases. Diagnosis and treatment. A clearing report].,1638-47,"The malignant haematological disorders comprise the main groups leukemia, malignant lymphoma and multiple myeloma and the potentially malignant disorders: myelodysplastic syndrome, polycythaemia vera, myelofibrosis and M-component of uncertain significance. The common feature of all these disorders is monoclonality, i.e. they originate from one single cell. Around 2,000 new cases are diagnosed per year in Denmark. Because of the relative small number of patients, complex diagnosis and treatment (especially the possibility of cure on intensive treatment) a high degree of centralization is warranted to secure an evenly distributed high level of patient care and research. The present rules for referral of patients are unsatisfactory. A new referral system is proposed based on a common set of rules, agreed upon by five haematological centers in Denmark and the surrounding region, comprising diagnostic procedures, treatment, research and development for all haematological patients in the area. Based on these common rules (functional centralization) it is decided whether the individual patient can be treated in the primary hospital or should be referred to a center (geographical centralization). Recommendations about diagnosis, treatment and referral are made in this report. Detailed suggestions are given for diseases which may be treated locally whereas no detailed regimens are given for diseases and disease stages which should be centralized. In the latter cases, the main emphasis is placed on a presentation of treatment results.","['Birgens, H', 'Christensen, B E', 'Hansen, N E', 'Jensen, M K', 'Junker, K', 'Jorgensen, F S', 'Nielsen, J L', 'Nissen, N I']","['Birgens H', 'Christensen BE', 'Hansen NE', 'Jensen MK', 'Junker K', 'Jorgensen FS', 'Nielsen JL', 'Nissen NI']","['Medicinsk haematologisk afdeling C, Kobenhavns Amts Sygehus i Gentofte, Hellerup.']",['dan'],"['English Abstract', 'Journal Article']",Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,IM,"['Denmark/epidemiology', 'Humans', '*Leukemia/diagnosis/epidemiology/therapy', '*Lymphoma/diagnosis/epidemiology/therapy', '*Multiple Myeloma/diagnosis/epidemiology/therapy', '*Myelodysplastic Syndromes/diagnosis/epidemiology/therapy', '*Myeloproliferative Disorders/diagnosis/epidemiology/therapy']",1991/06/03 00:00,1991/06/03 00:01,['1991/06/03 00:00'],"['1991/06/03 00:00 [pubmed]', '1991/06/03 00:01 [medline]', '1991/06/03 00:00 [entrez]']",,ppublish,Ugeskr Laeger. 1991 Jun 3;153(23):1638-47.,,,,De maligne haematologiske sygdomme. Diagnostik og behandling. En klaringsrapport.,,,,,,,,,,,,,
