PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,PMC,AD,EIN,SI,CIN,OID,OTO,OT,GN,LID,RF
3422642,NLM,MEDLINE,19880406,20210210,0021-9258 (Print) 0021-9258 (Linking),263,7,1988 Mar 5,Differential synthesis of beta-major and beta-minor globin proteins in murine erythroleukemia cells is regulated at the transcriptional level.,3216-9,"We compared the transcription and translation of globin genes in three mouse erythroleukemia cell lines under different conditions in which there is differential expression of beta-major (beta ma) and beta-minor (beta mi). Transcription was measured by pulse labeling of whole cell RNA with [3H]uridine, and translation by labeling whole cell protein synthesis with [3H]leucine. Induction with dimethyl sulfoxide led to increased transcription of alpha, beta ma, and beta mi genes, and the proportion of beta mi RNA synthesized was similar to the proportion of beta mi globin protein produced, whether the cells produced 30-40% beta mi (lines 745 and 9M) or greater than 80% beta mi (clone 25-66). Induction with hemin did not lead to increased globin gene transcription in any line, although globin protein synthesis did increase. Thus, the mechanism of beta globin chain induction depends on the inducing agent, and not on the cell line or the type of beta globin gene product. The relative proportion of beta mi and beta ma globin chain proteins reflects the relative transcription of the two beta genes, whether or not transcription increased following induction.","['Ganguly, S', 'Skoultchi, A I', 'Garrick, M D', 'Garrick, L M', 'Campbell, A S', 'Alter, B P']","['Ganguly S', 'Skoultchi AI', 'Garrick MD', 'Garrick LM', 'Campbell AS', 'Alter BP']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (DNA, Recombinant)', '743LRP9S7N (Hemin)', '9004-22-2 (Globins)', '9007-49-2 (DNA)', 'GMW67QNF9C (Leucine)', 'WHI7HQ7H85 (Uridine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'DNA/metabolism', 'DNA, Recombinant/metabolism', 'Dimethyl Sulfoxide/pharmacology', 'Friend murine leukemia virus', 'Globins/*biosynthesis/genetics', 'Hemin/pharmacology', 'Leucine/metabolism', 'Leukemia, Erythroblastic, Acute/*metabolism', 'Mice', 'Nucleic Acid Hybridization', 'Protein Biosynthesis/drug effects', '*Transcription, Genetic/drug effects', 'Tumor Cells, Cultured', 'Uridine/metabolism']",1988/03/05 00:00,1988/03/05 00:01,['1988/03/05 00:00'],"['1988/03/05 00:00 [pubmed]', '1988/03/05 00:01 [medline]', '1988/03/05 00:00 [entrez]']",ppublish,J Biol Chem. 1988 Mar 5;263(7):3216-9.,"['AM26956/AM/NIADDK NIH HHS/United States', 'CA13330/CA/NCI NIH HHS/United States', 'CA16368/CA/NCI NIH HHS/United States']",['S0021-9258(18)69057-X [pii]'],,"['Department of Cell Biology, Albert Einstein College of Medicine, Bronx, New York 10461.']",,,,,,,,,
3422635,NLM,MEDLINE,19880325,20210210,0021-9258 (Print) 0021-9258 (Linking),263,6,1988 Feb 25,Synthesis of a novel acetylated neutral lipid related to platelet-activating factor by acyl-CoA:1-O-alkyl-2-acetyl-sn-glycerol acyltransferase in HL-60 cells.,2593-6,"Acyl-CoA:1-O-hexadecyl-2-acetyl-sn-glycerol acyl-transferase, a newly detected enzyme related to platelet-activating factor metabolism, has been characterized in microsomes of a human leukemia cell line (HL-60 cells). It has a sharp pH optimum of 6.8, does not require divalent metal ions, is stable at preincubation temperatures up to 45 degrees C, and among a variety of acyl-CoA thioesters (8:0-20:4) tested, linoleoyl-CoA is the best substrate. Km and Vmax values for 1-O-hexadecyl-2-acetyl-sn-glycerol acyltransferase are 8.5 microM and 1.7 nmol/min/mg of protein, respectively. For comparative purposes acyl-CoA:1,2-dioleoyl-sn-glycerol acyltransferase was also characterized in HL-60 microsomes. It has a relatively broad pH optimum of 6.1, is stimulated 1.4-fold by Mg2+, is relatively labile at preincubation temperatures higher than 25 degrees C, and among the various acyl-CoA thioesters tested, myristoyl-CoA is the best substrate. In substrate competition experiments, we found 1-O-hexadecyl-2-oleoyl-sn-glycerol is a competitive inhibitor (Ki = 32 microM). Our findings indicate acyl-CoA:1-O-hexadecyl-2-acetyl-sn-glycerol acyltransferase in HL-60 cells is distinctly different from acyl-CoA:1,2-dioleoyl-sn-glycerol acyltransferase. Our experimental results demonstrate that the unique enzyme activity characterized in this report also is expressed in intact HL-60 cells.","['Kawasaki, T', 'Snyder, F']","['Kawasaki T', 'Snyder F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Acyl Coenzyme A)', '0 (Cations, Divalent)', '0 (Platelet Activating Factor)', '40757-80-0 (linoleoyl-coenzyme A)', 'EC 2.3.- (Acyltransferases)', 'EC 2.3.1.- (acyl-CoA-1-O-alkyl-2-acetyl-sn-glycerol acyltransferase)', 'I38ZP9992A (Magnesium)', 'T8ID5YZU6Y (Dithiothreitol)']",IM,"['Acyl Coenzyme A/metabolism', 'Acyltransferases/*metabolism', 'Cations, Divalent/pharmacology', 'Chromatography, Thin Layer', 'Dithiothreitol/pharmacology', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia, Myeloid, Acute/*enzymology', 'Magnesium/metabolism', 'Microsomes/metabolism', 'Platelet Activating Factor/*biosynthesis', 'Temperature', 'Tumor Cells, Cultured/enzymology']",1988/02/25 00:00,1988/02/25 00:01,['1988/02/25 00:00'],"['1988/02/25 00:00 [pubmed]', '1988/02/25 00:01 [medline]', '1988/02/25 00:00 [entrez]']",ppublish,J Biol Chem. 1988 Feb 25;263(6):2593-6.,"['HL-27109-07/HL/NHLBI NIH HHS/United States', 'HL-35495-02/HL/NHLBI NIH HHS/United States']",['S0021-9258(18)69107-0 [pii]'],,"['Medical and Health Sciences Division, Oak Ridge Associated Universities, Tennessee 37831.']",['J Biol Chem 1988 Jul 25;263(21):10539'],,,,,,,,
3422632,NLM,MEDLINE,19880406,20191029,0278-0232 (Print) 0278-0232 (Linking),6,1,1988 Jan-Mar,Retinoic acid alone and in combination with cytosine arabinoside induces differentiation of human myelomonocytic and monoblastic leukaemic cells.,39-45,"The effect of retinoic acid (RA) alone and in combination with cytosine arabinoside (Ara-C) on differentiation of fresh human myeloid leukaemic cells from patients with AML was studied. Cells from six patients: three with acute myelomonocytic leukaemia AMMoL and three with acute monoblastic leukaemia AMoL with a percentage of blasts greater than 70, were treated in an in vitro primary suspension culture with retinoic acid (10(-7) M), cytosine arabinoside (100 ng/ml) or both in combination. Non-adherent mononuclear cells were seeded at a concentration of 5 x 10(5) cells/ml in RPMI 1640 culture medium supplemented with 20 per cent fetal bovine serum and 10 per cent (PHA-LCM) phytohaemagglutinin leucocyte conditioned medium and incubated for 6 days at 37 degrees C in a humidified incubator containing 5 per cent CO2 in air. Morphological and functional differentiation into terminal mature elements was induced in all leukaemia cells of the six patients following exposure to the combination of both agents. These results suggest the potential usefulness of the combination of a differentiating agent (retinoic acid) and an antileukaemic drug (cytosine arabinoside) in the treatment of acute myeloid leukaemias: AMMoL and AMoL. This combination warrants a clinical trial.","['Hassan, H T', 'Rees, J K']","['Hassan HT', 'Rees JK']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Hematol Oncol,Hematological oncology,8307268,"['04079A1RDZ (Cytarabine)', '5688UTC01R (Tretinoin)']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cell Differentiation/*drug effects', 'Cell Transformation, Neoplastic/*drug effects', 'Cytarabine/*therapeutic use', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/*drug therapy/pathology', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Male', 'Middle Aged', 'Tretinoin/*therapeutic use', 'Tumor Cells, Cultured/drug effects']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Hematol Oncol. 1988 Jan-Mar;6(1):39-45. doi: 10.1002/hon.2900060107.,,['10.1002/hon.2900060107 [doi]'],,"['Department of Haematological Medicine, University of Cambridge Clinical School, England.']",,,,,,,,,
3422630,NLM,MEDLINE,19880405,20190828,0020-711X (Print) 0020-711X (Linking),20,1,1988,Metabolic behaviour of a stable DNA-protein complex.,61-5,1. A stable DNA-protein complex resisting all treatments dissociating noncovalently associated proteins was isolated from mouse erythroleukemia cells. 2. Two-dimensional tryptic peptide mapping of this DNA-linked protein component revealed a remarkable similarity to the maps of the corresponding proteins from other mammalian chromatins. 3. Labelling experiments showed that the protein component was metabolically stable.,"['Avramova, Z', 'Mikhailov, I', 'Tsanev, R']","['Avramova Z', 'Mikhailov I', 'Tsanev R']",['eng'],['Journal Article'],,England,Int J Biochem,The International journal of biochemistry,0250365,"['0 (Carbon Radioisotopes)', '0 (DNA, Neoplasm)', '0 (Deoxyribonucleoproteins)', '0 (Neoplasm Proteins)', '0 (Peptide Fragments)', '10028-17-8 (Tritium)']",IM,"['Animals', 'Carbon Radioisotopes', 'Cell Line', 'Cell Nucleus/*metabolism', 'DNA, Neoplasm/*metabolism', 'Deoxyribonucleoproteins/isolation & purification/*metabolism', 'Leukemia, Erythroblastic, Acute/metabolism', 'Leukemia, Experimental/*metabolism', 'Mice', 'Neoplasm Proteins/*metabolism', 'Peptide Fragments/analysis', 'Peptide Mapping', 'Tritium']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Int J Biochem. 1988;20(1):61-5. doi: 10.1016/0020-711x(88)90011-0.,,['10.1016/0020-711x(88)90011-0 [doi]'],,"['Institute of Molecular Biology, Bulgarian Academy of Sciences, Sofia.']",,,,,,,,,
3422593,NLM,MEDLINE,19880407,20191022,0305-7372 (Print) 0305-7372 (Linking),15 Suppl A,,1988 Jan,Interferon alfa-2b in the management of chronic granulocytic leukemia.,15-20,,"['Bergsagel, D E']",['Bergsagel DE'],['eng'],['Journal Article'],,Netherlands,Cancer Treat Rev,Cancer treatment reviews,7502030,"['0 (Interferon Type I)', '0 (Recombinant Proteins)', 'G1LN9045DK (Busulfan)']",IM,"['Adult', 'Aged', 'Busulfan/therapeutic use', 'Female', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Myeloid/genetics/pathology/*therapy', 'Leukocyte Count', 'Male', 'Middle Aged', 'Neoplasm Recurrence, Local/prevention & control', 'Philadelphia Chromosome', 'Recombinant Proteins/therapeutic use']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",ppublish,Cancer Treat Rev. 1988 Jan;15 Suppl A:15-20. doi: 10.1016/0305-7372(88)90069-2.,,"['0305-7372(88)90069-2 [pii]', '10.1016/0305-7372(88)90069-2 [doi]']",,"['Princess Margaret Hospital, University of Toronto, Canada.']",,,,,,,,,
3422592,NLM,MEDLINE,19880328,20071114,0008-5472 (Print) 0008-5472 (Linking),48,5,1988 Mar 1,Flavone acetic acid (NSC 347512)-induced DNA damage in Glasgow osteogenic sarcoma in vivo.,1279-85,"Flavone acetic acid (FAA) is a new antitumor agent with broad activity against transplantable solid tumors of mice but with only scant or no activity against leukemias and lymphomas. The technique of alkaline elution was used to study DNA lesions in s.c. implanted Glasgow osteogenic sarcoma in C57BL/6 x DBA/2 F1 mice treated i.v. with FAA. At efficacious dosages (235 and 200 mg/kg), FAA produced extensive single strand breakage. Formation of single strand breaks was dependent on time of assay after exposure to FAA with only minimal damage occurring prior to 5 h posttreatment. Apparently Glasgow osteogenic sarcoma had no capacity to repair single strand breaks for at least 45 h after drug administration. Thus, FAA differs in its mechanism from other scission agents (e.g., VP-16). Neither interstrand cross-links nor DNA-protein cross-links were detected. DNA single strand breaks did not occur in the bone marrow cells or in the unresponsive P388 leukemia cells at dosages causing extensive DNA damage in solid tumor cells.","['Bissery, M C', 'Valeriote, F A', 'Chabot, G G', 'Crissman, J D', 'Yost, C', 'Corbett, T H']","['Bissery MC', 'Valeriote FA', 'Chabot GG', 'Crissman JD', 'Yost C', 'Corbett TH']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Cancer Res,Cancer research,2984705R,"['0 (Antineoplastic Agents)', '0 (Flavonoids)', '87626-55-9 (flavone acetic acid)', '9007-49-2 (DNA)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology', 'Bone Marrow/drug effects', 'DNA/metabolism', '*DNA Damage', 'Dose-Response Relationship, Drug', 'Flavonoids/*pharmacology', 'Leukemia P388/drug therapy', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Osteosarcoma/drug therapy/pathology', 'Time Factors']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",ppublish,Cancer Res. 1988 Mar 1;48(5):1279-85.,"['CA 34144/CA/NCI NIH HHS/United States', 'CA 42449/CA/NCI NIH HHS/United States', 'CA 43886/CA/NCI NIH HHS/United States']",,,"['Department of Medicine, Wayne State University School of Medicine, Detroit, Michigan 48201.']",,,,,,,,,
3422591,NLM,MEDLINE,19880328,20071115,0008-5472 (Print) 0008-5472 (Linking),48,5,1988 Mar 1,"Identification and characterization of a human proliferation-associated nucleolar antigen with a molecular weight of 120,000 expressed in early G1 phase.",1244-51,"Tumor nucleoli were treated with polyclonal antisera to normal human tissue nucleoli to block some determinants common to tumor and normal tissue nucleoli. Immunization of mice with these immune complexes resulted in the development of a monoclonal antibody (FB2) to a novel Mr 120,000 nucleolar proliferation-associated antigen. By indirect immunofluorescence, antibody FB2 produced bright nucleolar staining in a variety of malignant tumors, including cancers of the breast, liver, gastrointestinal tract, genitourinary tract, blood, lymph system, lung, and brain. Although specific nucleolar immunofluorescence was not detectable in most normal tissues, it was detectable in some proliferating nonmalignant tissues including spermatogonia of the testes, ductal regions of hypertrophied prostates, and phytohemagglutinin-stimulated lymphocytes. The Mr 120,000 antigen was not detectable in 48-h serum-deprived HeLa cells but was readily detectable (within 30 min) following serum refeeding. The Mr 120,000 antigen was not detected in retinoic acid-treated HL-60 cells following morphological differentiation but was detectable in 48-h phytohemagglutinin-treated lymphocytes. These studies suggest that the Mr 120,000 antigen is a proliferation-associated antigen which plays a role in the early G1 phase of the cell cycle.","['Freeman, J W', 'Busch, R K', 'Gyorkey, F', 'Gyorkey, P', 'Ross, B E', 'Busch, H']","['Freeman JW', 'Busch RK', 'Gyorkey F', 'Gyorkey P', 'Ross BE', 'Busch H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Antigens)', '0 (Phytohemagglutinins)']",IM,"['Antibodies, Monoclonal/biosynthesis', 'Antigens/*analysis', 'Cell Differentiation', 'Cell Division', 'Cell Nucleolus/*immunology', 'Humans', 'Immunohistochemistry', '*Interphase', 'Leukemia, Myeloid, Acute/pathology', 'Lymphocyte Activation', 'Molecular Weight', 'Phytohemagglutinins/pharmacology', 'Tumor Cells, Cultured/immunology']",1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",ppublish,Cancer Res. 1988 Mar 1;48(5):1244-51.,"['CA-10893, P1/CA/NCI NIH HHS/United States']",,,"['Department of Pharmacology, Baylor College of Medicine, Houston, Texas 77030.']",,,,,,,,,
3422588,NLM,MEDLINE,19880330,20190816,0165-4608 (Print) 0165-4608 (Linking),30,2,1988 Feb,11q23 abnormality and chronic myelomonocytic leukemia.,341-2,,"['Sanada, I', 'Ishii, M', 'Takatsuki, K']","['Sanada I', 'Ishii M', 'Takatsuki K']",['eng'],"['Case Reports', 'Letter']",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['*Chromosome Deletion', '*Chromosomes, Human, Pair 11', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1988 Feb;30(2):341-2. doi: 10.1016/0165-4608(88)90207-5.,,"['0165-4608(88)90207-5 [pii]', '10.1016/0165-4608(88)90207-5 [doi]']",,,,,,,,,,,
3422587,NLM,MEDLINE,19880330,20190816,0165-4608 (Print) 0165-4608 (Linking),30,2,1988 Feb,XYY males and leukemia.,337-8,,"['Gilgenkrantz, S']",['Gilgenkrantz S'],['eng'],['Letter'],,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', 'Humans', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid, Acute/genetics', 'Male', '*Sex Chromosome Aberrations', '*XYY Karyotype']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1988 Feb;30(2):337-8. doi: 10.1016/0165-4608(88)90205-1.,,"['0165-4608(88)90205-1 [pii]', '10.1016/0165-4608(88)90205-1 [doi]']",,,,,,,,,,,
3422586,NLM,MEDLINE,19880330,20190816,0165-4608 (Print) 0165-4608 (Linking),30,2,1988 Feb,"""Masked"" Philadelphia chromosome resulting from a t(X;22) in chronic myeloid leukemia.",333-6,"A rare cytogenetic finding in chronic myeloid leukemia is reported. It consisted in a ""masked"" Philadelphia chromosome, resulting from an unusual translocation between chromosomes #22 and X. The t(X;22) was present in 100% of direct and cultured bone marrow cell preparations. Chromosome #9 did not seem to be involved in the formation of the Ph marker. Involvement of the X chromosome in karyotypic changes of hematologic diseases, with particular respect to chronic myeloid leukemia, is discussed.","['Barbata, G', 'Carbone, P', 'Giglio, M C', 'Santoro, A', 'Granata, G']","['Barbata G', 'Carbone P', 'Giglio MC', 'Santoro A', 'Granata G']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['*Chromosomes, Human, Pair 22', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', '*Philadelphia Chromosome', '*Translocation, Genetic', '*X Chromosome']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1988 Feb;30(2):333-6. doi: 10.1016/0165-4608(88)90204-x.,,"['0165-4608(88)90204-X [pii]', '10.1016/0165-4608(88)90204-x [doi]']",,"['Dipartimento di Biologia Cellulare e dello Sviluppo A. Monroy, Sezione di Genetica, Universita di Palermo, Italy.']",,,,,,,,,
3422585,NLM,MEDLINE,19880330,20190816,0165-4608 (Print) 0165-4608 (Linking),30,2,1988 Feb,Translocation (15;17) in acute promyelocytic leukemia in Germany.,329-31,"We report on the cytogenetic findings in six cases of acute promyelocytic leukemia, studied in two different cytogenetic laboratories in Germany. A t(15;17) was detected in three cases. This finding reveals that the t(15;17) in acute nonlymphocytic leukemia type FAB M3 also exists in Germany as a nonrandom anomaly and indicates that it occurs with high frequency in this country.","['Becher, R', 'Carbonell, F', 'Kuhn, D', 'Wendt, F', 'Schmidt, C G']","['Becher R', 'Carbonell F', 'Kuhn D', 'Wendt F', 'Schmidt CG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', '*Chromosomes, Human, Pair 15', '*Chromosomes, Human, Pair 17', 'Female', 'Germany, West', 'Humans', 'Leukemia, Myeloid, Acute/epidemiology/*genetics', 'Male', 'Middle Aged', '*Translocation, Genetic']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1988 Feb;30(2):329-31. doi: 10.1016/0165-4608(88)90203-8.,,"['0165-4608(88)90203-8 [pii]', '10.1016/0165-4608(88)90203-8 [doi]']",,"['Innere Universitats- und Poliklinik (Tumorforschung), West German Tumor Center Essen, Germany.']",,,,,,,,,
3422584,NLM,MEDLINE,19880330,20190816,0165-4608 (Print) 0165-4608 (Linking),30,2,1988 Feb,Deletion (8)(q22) as the only chromosomal abnormality in a patient with RAEB-t with progression to acute myelocytic leukemia.,319-21,"Cytogenetic investigation of the bone marrow cells of an 88-year-old woman with refractory anemia with an excess of blasts in transformation with progression to acute myelocytic leukemia (AML), FAB classification M4, revealed a deleted chromosome #8 with the breakpoint at band q22 as the sole abnormality. This breakpoint is the same as that in t(8;21)(q22;q22), mostly found in patients with AML. This finding is discussed in relation to the possible oncogenesis of AML, which in this case may mean that the deletion of chromosome #8 at band 8q22 and the resultant loss of genetic material with possible antioncogenic activity is the critical event leading to malignant transformation in AML and not the translocation of the end of 21q next to 8q.","['Govaerts, L', 'Daenen, S', 'Bong, B', 'Breed, A', 'de Jong, B']","['Govaerts L', 'Daenen S', 'Bong B', 'Breed A', 'de Jong B']",['eng'],"['Case Reports', 'Journal Article']",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Aged', 'Aged, 80 and over', 'Anemia, Refractory, with Excess of Blasts/complications/*genetics', '*Chromosome Deletion', '*Chromosomes, Human, Pair 8', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/etiology/*genetics']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1988 Feb;30(2):319-21. doi: 10.1016/0165-4608(88)90201-4.,,"['0165-4608(88)90201-4 [pii]', '10.1016/0165-4608(88)90201-4 [doi]']",,"['Department of Human Genetics, Medical Faculty, State University of Groningen, The Netherlands.']",,,,,,,,,
3422580,NLM,MEDLINE,19880330,20190816,0165-4608 (Print) 0165-4608 (Linking),30,2,1988 Feb,Translocation (3;6)(q21;p21) in acute myeloid leukemia with abnormal thrombopoiesis and basophilia.,261-7,A case of acute myeloid leukemia (AML) with increased numbers of basophils and abnormal megakaryocytes was shown to have a t(3;6)(q21;p21) in the bone marrow cells. The morphology is described in detail and the case is discussed with reference to t(6;9)(p23;q34) and inv/ins(3)(q21q26) in AML. It is possible that increased numbers of basophils in AML may be associated with a translocation involving 6p21-6p23.,"['Hoyle, C F', 'Sherrington, P', 'Hayhoe, F G']","['Hoyle CF', 'Sherrington P', 'Hayhoe FG']",['eng'],"['Case Reports', 'Journal Article']",,United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,['0 (Genetic Markers)'],IM,"['Adult', 'Basophils/pathology', 'Bone Marrow/*pathology', '*Chromosomes, Human, Pair 3', '*Chromosomes, Human, Pair 6', 'Genetic Markers', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/blood/*genetics/pathology', 'Male', 'Platelet Count', '*Translocation, Genetic']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Cancer Genet Cytogenet. 1988 Feb;30(2):261-7. doi: 10.1016/0165-4608(88)90193-8.,,"['0165-4608(88)90193-8 [pii]', '10.1016/0165-4608(88)90193-8 [doi]']",,"['Department of Haematological Medicine, University of Cambridge Clinical School, UK.']",,,,,,,,,
3422575,NLM,MEDLINE,19880405,20190903,0006-5242 (Print) 0006-5242 (Linking),56,2,1988 Feb,Secondary leukemia after severe aplastic anemia.,79-81,"We describe a patient with acute myeloid leukemia (AML) occurring 5 years after successful treatment of severe aplastic anemia (SAA) with antilymphocyte globulin (ALG). Four years after ALG, SAA had relapsed. A second remission of SAA was achieved, but was followed by transformation of the myelodysplastic syndrome into overt AML. After 2 courses of high-dose cytosine arabinoside and VP-16 complete remission occurred. This case shows that chemotherapy of secondary leukemia after SAA is feasible, and that ex-aplastic bone marrow is capable of complete recovery from chemotherapy-induced aplasia. Morphological anomalies of bone marrow noticed early during remission of SAA might predict a late transformation in leukemia.","['Tichelli, A', 'Gratwohl, A', 'Wursch, A', 'Nissen, C', 'Speck, B']","['Tichelli A', 'Gratwohl A', 'Wursch A', 'Nissen C', 'Speck B']",['eng'],"['Case Reports', 'Journal Article']",,Germany,Blut,Blut,0173401,['0 (Antilymphocyte Serum)'],IM,"['Adolescent', 'Anemia, Aplastic/*complications/therapy', 'Antilymphocyte Serum/therapeutic use', 'Bone Marrow/pathology', 'Cells, Cultured', 'Humans', 'Leukemia, Myeloid, Acute/*etiology', 'Male']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Blut. 1988 Feb;56(2):79-81. doi: 10.1007/BF00633468.,,['10.1007/BF00633468 [doi]'],,"['Department of Internal Medicine, Kantonsspital, Basel, Switzerland.']",,,,,,,,,
3422574,NLM,MEDLINE,19880405,20190903,0006-5242 (Print) 0006-5242 (Linking),56,2,1988 Feb,Chronic neutrophilic leukemia with marked myelodysplasia terminating in blast crisis.,75-8,"A case of chronic neutrophilic leukemia (CNL) is reported. The patient had a history of bleeding, and showed sustained mature neutrophilic leukocytosis, hepatosplenomegaly, a high leukocyte-alkaline phosphatase score, elevated serum vitamin B12 and uric acid, and the presence of Dohle bodies in the neutrophils. In addition to the above typical features, marked myelodysplastic changes in the erythroid and megakaryocytic series were observed in the bone marrow. Three months after the diagnosis of CNL had been established, the hematological picture evolved into a blast crisis of monocytic type. Such findings give support to the statement of CNL as a distinct entity belonging to the spectrum of the myeloproliferative disorders.","['Cervantes, F', 'Marti, J M', 'Rozman, C', 'Monforte, R', 'Feliu, E', 'Vives-Corrons, J L']","['Cervantes F', 'Marti JM', 'Rozman C', 'Monforte R', 'Feliu E', 'Vives-Corrons JL']",['eng'],['Journal Article'],,Germany,Blut,Blut,0173401,,IM,"['Blast Crisis/*etiology', 'Chronic Disease', 'Humans', 'Leukemia, Myeloid/*complications', 'Monocytes/pathology', 'Myelodysplastic Syndromes/*complications', 'Neutrophils']",1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",ppublish,Blut. 1988 Feb;56(2):75-8. doi: 10.1007/BF00633467.,,['10.1007/BF00633467 [doi]'],,"['Postgraduate School of Hematology, Hospital Clinic i Provincial, University of Barcelona, Spain.']",,,,,,,,,
