PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,MID,CIN,CI,DEP,RF,SI,CN,CON,TT,LID,EIN,COIS,RIN,GN,OID,ROF
17282331,NLM,PubMed-not-MEDLINE,20121002,20200309,1557-170X (Print) 1557-170X (Linking),2006,,2005,Finding co-clusters of genes and clinical parameters.,906-12,"For better understanding of genetic mechanisms underlying clinical observations, we often want to determine which genes and clinical traits are interrelated. We introduce a computational method that can find co-clusters or groups of genes and clinical parameters that are believed to be closely related to each other based upon given empirical information. The proposed method was tested with data from an Acute Myelogenous Leukemia (AML) study and identified statistically significant co-clusters of genes and clinical traits. The validation of our results with Gene Ontology (GO) as well as the literature suggest that the proposed method can provide biologically meaningful co-clusters of genes and traits.","['Yoon, Sungroh', 'Benini, Luca', 'De Micheli, Giovanni']","['Yoon S', 'Benini L', 'De Micheli G']","['Student Member, IEEE, Computer Systems Laboratory, Stanford University, CA 94305, USA (phone: + 1-650-724-5180; fax: + 1-650-725-9802; e-mail: sryoon@stanford.edu).']",['eng'],['Journal Article'],United States,Conf Proc IEEE Eng Med Biol Soc,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,101243413,,,,2007/02/07 09:00,2007/02/07 09:01,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/02/07 09:01 [medline]', '2007/02/07 09:00 [entrez]']",['10.1109/IEMBS.2005.1616562 [doi]'],ppublish,Conf Proc IEEE Eng Med Biol Soc. 2005;2006:906-12. doi: 10.1109/IEMBS.2005.1616562.,,,,,,,,,,,,,,,,,,
17282069,NLM,PubMed-not-MEDLINE,20121002,20200309,1557-170X (Print) 1557-170X (Linking),2005,,2005,Realgar Nanoparticles Induced Cytotoxicity in Promyelocytic Leukemia HL-60 Cells.,7714-7,"Realgar, one of mineral drugs in Chinese traditional medicines has attracted an increasing attention because of its prominent anti-tumor effect. However, new challenges for improving its bioavailability has to be faced. Our previous studies have demonstrated that realgar nanoparticles may provide a less toxic agent for anti-neoplasia by suppressing angiogenesis. In the present study, we improved milling process, prepared raw realgar particles and realgar nanoparticles with the same background As<inf>2</inf>O<inf>3</inf>concentrations and compared their cytoxcity to promyelocytic leukemia HL-60 cells including inhibiting cell growth, inducing oxidative stress. It was found that treatment with realgar nanoparticles resulted in considerably low cell viability compared with raw realgar particles. On the other hand, treatement with realgar nanoparticles promoted the generations of reactive oxygen species (ROS) and inhibited the activity of catalase (CAT), which was accompanied by lipid peroxidation and protein oxidation, especially the loss of its free thiols, whereas such events was not observed in HL-60 cells exposed to raw realgar particles. These results suggest that realgar nanoparticles are superior over raw realgar particles for their cytotoxicity including inhibition of cell proliferation and enhanced effects of oxidative stress, which may provide a possibility for its application in tumor therapy.","['Ye, H', 'Yang, X', 'Gan, L', 'Sun, X', 'Xu, H']","['Ye H', 'Yang X', 'Gan L', 'Sun X', 'Xu H']","['College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, 430074 P. R. China. (e-mail: hanqingye@hotmail.com).']",['eng'],['Journal Article'],United States,Conf Proc IEEE Eng Med Biol Soc,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,101243413,,,,2007/02/07 09:00,2007/02/07 09:01,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/02/07 09:01 [medline]', '2007/02/07 09:00 [entrez]']",['10.1109/IEMBS.2005.1616300 [doi]'],ppublish,Conf Proc IEEE Eng Med Biol Soc. 2005;2005:7714-7. doi: 10.1109/IEMBS.2005.1616300.,,,,,,,,,,,,,,,,,,
17281323,NLM,PubMed-not-MEDLINE,20121002,20200309,1557-170X (Print) 1557-170X (Linking),2005,,2005,Efficient gene expression analysis by linking multiple data mining algorithms.,4830-3,"The set of gene micro-arrays, which consists of two leukemia types, was used as a target to evaluate the efficiency of novel integrated data mining classification process. Discovering the most relevant subset of genes among few thousands of analyzed genes is necessary to get accurate disease classification. Dimensional complexity of the classification process was reduced by a filter based on mutual information feature selection coupled with the support vector machines classifier in the leave-one-out loop. The result was an efficient and reliable tool named MIFS/SVM hybrid. Optimal procedure parameters that enable accurate classification and attribute selection could be determined within an acceptable time frame.","['Bogunovic, Nikola', 'Marohnic, Viktor', 'Debeljak, Zeljko']","['Bogunovic N', 'Marohnic V', 'Debeljak Z']","['Fac. of Electr. Eng. & Comput., Zagreb Univ.']",['eng'],['Journal Article'],United States,Conf Proc IEEE Eng Med Biol Soc,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,101243413,,,,2007/02/07 09:00,2007/02/07 09:01,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/02/07 09:01 [medline]', '2007/02/07 09:00 [entrez]']",['10.1109/IEMBS.2005.1615553 [doi]'],ppublish,Conf Proc IEEE Eng Med Biol Soc. 2005;2005:4830-3. doi: 10.1109/IEMBS.2005.1615553.,,,,,,,,,,,,,,,,,,
17280715,NLM,MEDLINE,20080129,20190816,0145-2126 (Print) 0145-2126 (Linking),31,11,2007 Nov,Unusual association of MLL rearrangement and secondary myelomonocytic leukemia in a 15-year-old patient treated for osteosarcoma.,1597-9,,"['Brichard, Benedicte', 'Poirel, Helene A', 'Chantrain, Christophe', 'Dupont, Sophie', 'Libouton, Jeanne Marie', 'Scheiff, Jean Marie', 'Vermylen, Christiane']","['Brichard B', 'Poirel HA', 'Chantrain C', 'Dupont S', 'Libouton JM', 'Scheiff JM', 'Vermylen C']",,['eng'],"['Case Reports', 'Letter']",England,Leuk Res,Leukemia research,7706787,"['0 (KMT2A protein, human)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Adolescent', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*chemically induced/genetics', 'Male', 'Myeloid-Lymphoid Leukemia Protein/*genetics', 'Osteosarcoma/drug therapy/genetics/surgery/*therapy']",2007/02/07 09:00,2008/01/30 09:00,['2007/02/07 09:00'],"['2006/11/18 00:00 [received]', '2006/12/06 00:00 [revised]', '2006/12/07 00:00 [accepted]', '2007/02/07 09:00 [pubmed]', '2008/01/30 09:00 [medline]', '2007/02/07 09:00 [entrez]']","['S0145-2126(06)00493-0 [pii]', '10.1016/j.leukres.2006.12.014 [doi]']",ppublish,Leuk Res. 2007 Nov;31(11):1597-9. doi: 10.1016/j.leukres.2006.12.014. Epub 2007 Feb 5.,,,,,,20070205,,,,,,,,,,,,
17280499,NLM,MEDLINE,20070403,20171116,1479-6694 (Print) 1479-6694 (Linking),3,1,2007 Feb,Alemtuzumab in chronic lymphocytic leukemia.,29-42,"Alemtuzumab is a humanized monoclonal antibody specific for CD52, a glycosylphosphatidylinositol-anchored, lymphocyte-surface glycoprotein. Administration of alemtuzumab to patients with chronic lymphocytic leukemia depletes normal and neoplastic lymphocytes from the blood, spleen and marrow, but appears to be less effective in resolving lymphadenopathy. Owing to its activity in clearing leukemia cells of patients who are refractory to purine analogs, such as fludarabine, alemtuzumab became the first and only monoclonal antibody approved by the US FDA and other regulatory authorities for the treatment of chronic lymphocytic leukemia. Here we review the results of clinical studies evaluating the activity and safety of alemtuzumab when used alone or in combination with other antileukemia agents for the treatment of this disease.","['James, Danelle F', 'Kipps, Thomas J']","['James DF', 'Kipps TJ']","['University of California, San Diego, Division of Hematology & Oncology, UCSD Moores Cancer Center, Room #4311, 3855 Health Sciences Drive, La Jolla, CA 92093-0820, USA. dfjames@ucsd.edu']",['eng'],"['Journal Article', 'Review']",England,Future Oncol,"Future oncology (London, England)",101256629,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antibodies, Neoplasm)', '0 (Antineoplastic Agents)', '3A189DH42V (Alemtuzumab)']",IM,"['Alemtuzumab', 'Antibodies, Monoclonal/pharmacokinetics/*therapeutic use', 'Antibodies, Monoclonal, Humanized', 'Antibodies, Neoplasm/*therapeutic use', 'Antineoplastic Agents/pharmacokinetics/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Clinical Trials as Topic', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/mortality', 'Survival Analysis']",2007/02/07 09:00,2007/04/04 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/04/04 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.2217/14796694.3.1.29 [doi]'],ppublish,Future Oncol. 2007 Feb;3(1):29-42. doi: 10.2217/14796694.3.1.29.,,,,,,,56,,,,,,['Future Oncol. 2007 Apr;3(2):234'],,,,,
17279724,NLM,MEDLINE,20070503,20181201,1043-1802 (Print) 1043-1802 (Linking),18,2,2007 Mar-Apr,Water-soluble polymer conjugates of ZnPP for photodynamic tumor therapy.,494-9,"Zn-protoporphyrin (ZnPP) is a promising candidate for cancer therapy. It is known to inhibit heme-oxygenase-1 (HO-1), resulting in suppressed biliverdin/bilirubin production accompanying lowered antioxidative capacity. As a consequence, a significant suppression of tumor growth in vivo was reported. Recent findings also showed that ZnPP efficiently generated reactive singlet oxygen under illumination of visible light. In the present report, we describe the photosensitizing capabilities of water-soluble polymer conjugates of ZnPP as novel compounds for photodynamic therapy against solid tumors. The polymer conjugation made ZnPP water-soluble, thus possible for injection for its aqueous solution. The cellular uptake and photobiological activity of ZnPP derivatives have been tested using a human T-cell leukemia cell line in vitro and demonstrated most potent phototoxic effects of SMA-ZnPP followed by PEG-ZnPP under aerobic conditions.","['Regehly, M', 'Greish, K', 'Rancan, F', 'Maeda, H', 'Bohm, F', 'Roder, B']","['Regehly M', 'Greish K', 'Rancan F', 'Maeda H', 'Bohm F', 'Roder B']","['Institut fur Physik, Photobiophysik, Humboldt Universitat zu Berlin, Newtonstr. 15, D-12489 Berlin, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Bioconjug Chem,Bioconjugate chemistry,9010319,"['0 (Polymers)', '0 (Protoporphyrins)', '059QF0KO0R (Water)', '15442-64-5 (zinc protoporphyrin)', '3WJQ0SDW1A (Polyethylene Glycols)', 'EC 1.14.14.18 (Heme Oxygenase-1)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspase 7)']",IM,"['Caspase 3/metabolism', 'Caspase 7/metabolism', 'Cell Survival/*drug effects/radiation effects', 'Drug Delivery Systems', 'Heme Oxygenase-1/antagonists & inhibitors', 'Humans', 'Jurkat Cells/drug effects/radiation effects', '*Photochemotherapy', 'Polyethylene Glycols/chemistry', 'Polymers/administration & dosage/chemical synthesis/*pharmacology', 'Protoporphyrins/administration & dosage/chemical synthesis/*pharmacology', 'Solubility', 'Water/*chemistry']",2007/02/07 09:00,2007/05/04 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/05/04 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.1021/bc060158u [doi]'],ppublish,Bioconjug Chem. 2007 Mar-Apr;18(2):494-9. doi: 10.1021/bc060158u. Epub 2007 Feb 6.,,,,,,20070206,,,,,,,,,,,,
17279591,NLM,MEDLINE,20070501,20131121,1439-4227 (Print) 1439-4227 (Linking),8,4,2007 Mar 5,Bivalent peptides as models for multimeric targets of PDZ domains.,443-52,"PDZ domains are among the most common modules in eukaryotic, including human, genomes. They are found exclusively in large, multidomain cytosolic proteins--often with other domains that belong to a variety of families--and are involved in a plethora of physiological and pathophysiological events. PDZ domains mediate protein-protein interactions by binding to solvent-exposed and extended C-terminal short fragments of membrane-associated proteins, such as receptors and ion channels. Most of what is known about the mechanisms of target binding by PDZ domains is inferred from studies that involve isolated recombinant PDZ domains and short synthetic peptides that represent the targets. These binary systems constitute an obvious oversimplification and disregard factors such as noncanonical modes of binding and enhanced affinity due to multimeric interactions mediated by clusters and oligomers of PDZ-domain-containing proteins. We have tested whether the interaction between a dimeric form of PDZ domain that mimics a functional dimeric guanine nucleotide exchange factor, PDZ-RhoGEF (PDZ-containing RhoA-specific guanine nucleotide exchange factor) or LARG (leukemia-associated RhoA specific guanine nucleotide exchange factor), and a bivalent peptide that mimics the dimer of the plexin B receptor, could enhance the interaction between the two moieties. Peptide dimerization was achieved by cross-linking the N-terminal ends of peptides attached to Wang resin with poly(ethylene glycol) spacers (30-45 Angstroms in length). The interaction of dimeric PDZ domains with dimeric peptides resulted in an up to 20-fold increase in affinity compared to the simple binary system. This is consistent with the notion that multimerization of both receptors and PDZ-containing proteins might constitute an important regulatory mechanism.","['Paduch, Marcin', 'Biernat, Monika', 'Stefanowicz, Piotr', 'Derewenda, Zygmunt S', 'Szewczuk, Zbigniew', 'Otlewski, Jacek']","['Paduch M', 'Biernat M', 'Stefanowicz P', 'Derewenda ZS', 'Szewczuk Z', 'Otlewski J']","['Faculty of Biotechnology, Department of Protein Engineering, University of Wroclaw, Tamka 2, 54-137 Wroclaw, Poland.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",Germany,Chembiochem,Chembiochem : a European journal of chemical biology,100937360,"['0 (Guanine Nucleotide Exchange Factors)', '0 (Peptide Fragments)', '0 (Rho Guanine Nucleotide Exchange Factors)']",IM,"['Dimerization', 'Guanine Nucleotide Exchange Factors/chemistry/genetics/*metabolism', 'Humans', '*Models, Biological', 'Peptide Fragments/chemistry/genetics/*metabolism', 'Protein Structure, Tertiary', 'Rho Guanine Nucleotide Exchange Factors']",2007/02/07 09:00,2007/05/02 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/05/02 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.1002/cbic.200600389 [doi]'],ppublish,Chembiochem. 2007 Mar 5;8(4):443-52. doi: 10.1002/cbic.200600389.,"['P01 HL48807/HL/NHLBI NIH HHS/United States', 'P41 RR01081/RR/NCRR NIH HHS/United States']",,,,,,,,,,,,,,,,,
17279580,NLM,MEDLINE,20070521,20131121,0008-543X (Print) 0008-543X (Linking),109,6,2007 Mar 15,Therapy for elderly patients with acute myeloid leukemia: a problem in search of solutions.,1007-10,,"['Kantarjian, Hagop M']",['Kantarjian HM'],,['eng'],"['Comment', 'Editorial']",United States,Cancer,Cancer,0374236,['04079A1RDZ (Cytarabine)'],IM,"['Acute Disease', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cytarabine/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy/mortality', 'Male', 'Treatment Outcome']",2007/02/07 09:00,2007/05/22 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/05/22 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.1002/cncr.22502 [doi]'],ppublish,Cancer. 2007 Mar 15;109(6):1007-10. doi: 10.1002/cncr.22502.,,,,,,,,,,['Cancer. 2007 Mar 15;109(6):1114-24. PMID: 17315155'],,,,,,,,
17279359,NLM,MEDLINE,20070720,20181113,0301-634X (Print) 0301-634X (Linking),46,1,2007 Mar,Twenty years after the Chernobyl accident: solid cancer incidence in various groups of the Ukrainian population.,43-51,"Several major international studies such as those performed on the A-bomb survivors, have shown a clear linkage between the exposure to ionizing radiation and the occurrence of various cancer types including leukemia. While these studies are mostly characterized by high dose rates, studies on populations exposed after the Chernobyl accident are in most cases characterized by low dose rates which are typical for occupational radiation protection. Here, data on more than 60,000 Ukrainian workers who participated in recovery operation works in Chernobyl in 1986-1987, more than 50,000 evacuees from the city of Prypyat and the 30 km zone, and about 360,000 residents of most contaminated territories are presented, which cover a period of observation from 1980 to 2004. For all cancers combined, statistically significant higher incidence rates than the national rates were found only for the recovery workers (standardized incidence ratio (SIR) 117.2%, 95% confidence interval: 114.1-120.3), while those for the other investigated groups were lower. In all groups under study a significant increase of thyroid cancer incidence rates has been registered. This increase appears to be associated, at least partly, with the fallout of radioiodine, and it was found not only in children, but also in adolescents and adults. For example, the most significant excess was found for male recovery workers corresponding to a factor of 8.0. It is important to keep in mind, however, that the contribution of confounding factors such as an intensified thyroid screening after the Chernobyl accident could not be quantified, in the present study. For female recovery workers there was also an excess of breast cancer over the national rates (SIR 190.6%; 95% confidence interval: 163.6-217.7%). An analysis of the two other groups (evacuees and residents of contaminated territories) gave controversial results: relative to the local standard there was a statistically significant excess, while comparison with the national level did not substantiate this conclusion.","['Prysyazhnyuk, A', 'Gristchenko, V', 'Fedorenko, Z', 'Gulak, L', 'Fuzik, M', 'Slipenyuk, K', 'Tirmarche, M']","['Prysyazhnyuk A', 'Gristchenko V', 'Fedorenko Z', 'Gulak L', 'Fuzik M', 'Slipenyuk K', 'Tirmarche M']","['Research Centre for Radiation Medicine of AMS of the Ukraine, 53, Melnikov Str., 04050, Kiev, Ukraine. mfuzik@yahoo.com']",['eng'],['Journal Article'],Germany,Radiat Environ Biophys,Radiation and environmental biophysics,0415677,,IM,"['Breast Neoplasms/epidemiology', '*Chernobyl Nuclear Accident', 'Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Incidence', 'Male', 'Neoplasms, Radiation-Induced/*epidemiology', 'Regression Analysis', 'Thyroid Neoplasms/epidemiology', 'Time Factors', 'Ukraine/epidemiology']",2007/02/07 09:00,2007/07/21 09:00,['2007/02/07 09:00'],"['2006/08/04 00:00 [received]', '2007/01/14 00:00 [accepted]', '2007/02/07 09:00 [pubmed]', '2007/07/21 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.1007/s00411-007-0093-4 [doi]'],ppublish,Radiat Environ Biophys. 2007 Mar;46(1):43-51. doi: 10.1007/s00411-007-0093-4. Epub 2007 Feb 6.,,,,,,20070206,,,,,,,,,,,,
17279013,NLM,MEDLINE,20070322,20151119,1077-4114 (Print) 1077-4114 (Linking),29,2,2007 Feb,Possible increase of the neurotoxicity of vincristine by the concurrent use of posaconazole in a young adult with leukemia.,130,,"['Mantadakis, Elpis', 'Amoiridis, George', 'Kondi, Anna', 'Kalmanti, Maria']","['Mantadakis E', 'Amoiridis G', 'Kondi A', 'Kalmanti M']",,['eng'],"['Case Reports', 'Letter']",United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,"['0 (Antifungal Agents)', '0 (Antineoplastic Agents)', '0 (Triazoles)', '5J49Q6B70F (Vincristine)', '6TK1G07BHZ (posaconazole)', 'VB0R961HZT (Prednisone)']",IM,"['Adult', 'Antifungal Agents/*adverse effects', 'Antineoplastic Agents/*adverse effects', 'Demyelinating Diseases/chemically induced/physiopathology', 'Electromyography', 'Fever/chemically induced/drug therapy', 'Humans', 'Lung Diseases/drug therapy/etiology', 'Male', 'Neural Conduction/drug effects', 'Neurotoxicity Syndromes/etiology/*physiopathology', 'Neutropenia/chemically induced/drug therapy', 'Peripheral Nervous System Diseases/chemically induced/physiopathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prednisone/therapeutic use', 'Triazoles/*adverse effects', 'Vincristine/*adverse effects']",2007/02/07 09:00,2007/03/23 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/03/23 09:00 [medline]', '2007/02/07 09:00 [entrez]']","['10.1097/MPH.0b013e318030d289 [doi]', '00043426-200702000-00012 [pii]']",ppublish,J Pediatr Hematol Oncol. 2007 Feb;29(2):130. doi: 10.1097/MPH.0b013e318030d289.,,,,,,,,,,,,,,,,,,
17278781,NLM,MEDLINE,20070515,20170306,,115,1,2006 Jan,[Plasminogenesis in blood of patients with chronic myeloproliferative syndromes].,23-8,"The aim of the study was the evaluation of the participation of fibrinolytic system in the pathogenesis of haemostasis disturbances on the base of the determination of plasminogenesis intensity and some other fibrinolytic parameters. The study was performed in the group of 73 patients suffering from chronic meyloproliferative syndromes aged 36-78 (means 54,0) years: in 22 with chronic myelogenous leukemia (CML), in 25 with polycythemia vera (PV), in 21 with essential thrombocythemia (ET) and in 5 patients with meylofibrosis (MF). Control group contained 30 healthy volunteers sex and age matched. In the citric plasma obtained from venous blood concentration of plasmin-alpha2 antiplasmin complexes (PAP) using immunosorbed method (ELISA), alpha-2-antiplasmin with chromogenic method, concentration of fibrinogen and fibrin/ /fibrinogen degradation products (FDP) were determined. In blood plasma of patients with chronic myeloproliferative syndromes increased concentration of PAP complexes was detected what is the evidence of high intensity of plasmin generation.","['Rosc, Danuta', 'Kremplewska-Nalezyta, Elzbieta', 'Gadomska, Grazyna', 'Drewniak, Wanda', 'Koczubik, Wladyslaw']","['Rosc D', 'Kremplewska-Nalezyta E', 'Gadomska G', 'Drewniak W', 'Koczubik W']",['Katedra Patofizjologii Collegium Medicum w Bydgoszczy Uniwersytetu Mikolaja Kopernika w Toruniu. drosc@cm.umk.pl'],['pol'],"['English Abstract', 'Journal Article']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,"['0 (Fibrin Fibrinogen Degradation Products)', '0 (alpha-2-Antiplasmin)', '0 (plasmin-plasmin inhibitor complex)', '9001-91-6 (Plasminogen)', 'EC 3.4.21.7 (Fibrinolysin)']",IM,"['Adult', 'Aged', 'Chronic Disease', 'Female', 'Fibrin Fibrinogen Degradation Products/metabolism', 'Fibrinolysin/*metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/*blood/*diagnosis', 'Plasminogen/*metabolism', 'Polycythemia Vera/blood', 'Primary Myelofibrosis/blood', 'Syndrome', 'Thrombocythemia, Essential/blood', 'alpha-2-Antiplasmin/metabolism']",2007/02/07 09:00,2007/05/16 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/05/16 09:00 [medline]', '2007/02/07 09:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 2006 Jan;115(1):23-8.,,,,,,,,,,,Wytwarzanie plazminy we krwi chorych z przewleklymi zespolami mieloproliferacyjnym.,,,,,,,
17278712,NLM,MEDLINE,20070313,20071115,1217-8950 (Print) 1217-8950 (Linking),53,4,2006 Dec,Pathogenesis of Epstein-Barr virus (EBV)-carrying lymphomas.,441-57,"The EBV carrier state is almost general in men. The virus induces B lymphocyte proliferation in vitro, but this is counteracted in vivo by the immune response. Therefore, EBV-induced malignancies occur only when the immune response is impaired, e.g. in transplant recipients. The versatility of the viral gene expression strategy secures the consistent maintainance of the virus in healthy individuals. The viral proteins required for transformation render the cell immunogenic. Expression of the transforming genes leads to rejection, but these genes are not required for the maintenance of the viral genome. EBV is an important contributor for malignant transformation, even when it does not directly induce cell proliferation. Several mechanisms have been unravelled in EBV-associated tumors whereby the virus may modify the cellular phenotype and may influence the interaction of tumor cells with their microenvironment. The virus carrier state can lead to the evasion of apoptosis and can intensify the response to growth promoting signals, too.","['Klein, Eva', 'Kis, L L', 'Takahara, M']","['Klein E', 'Kis LL', 'Takahara M']","['Department of Microbiology, Tumor and Cell Biology (MTC), Karolinska Institutet, Stockholm, 17177, Sweden. eva.klein@ki.se']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Hungary,Acta Microbiol Immunol Hung,Acta microbiologica et immunologica Hungarica,9434021,,IM,"['Animals', 'B-Lymphocytes/immunology', 'Burkitt Lymphoma/immunology/physiopathology/*virology', 'Herpesvirus 4, Human/*immunology', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/physiopathology/*virology', 'T-Lymphocytes/immunology']",2007/02/07 09:00,2007/03/14 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/03/14 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.1556/AMicr.53.2006.4.3 [doi]'],ppublish,Acta Microbiol Immunol Hung. 2006 Dec;53(4):441-57. doi: 10.1556/AMicr.53.2006.4.3.,,,,,,,61,,,,,,,,,,,
17278710,NLM,MEDLINE,20070313,20070206,1217-8950 (Print) 1217-8950 (Linking),53,4,2006 Dec,The molecular biology and immunology of glioblastoma multiforme (GBM) with the presentation of an immunotherapy protocol for a clinical trial.,367-429,"After a short explanatory Introduction, an immunotherapy protocol is presented for glioblastoma multiforme (GBM). GBM is considered to be an incurable tumor; tumor-free survival over 2 to 3 years is so rare that when it happens the original diagnosis is questioned. It is known that the type of the genetic mutation that a given GBM tumor harbors strongly influences the length of survival. However, most patients with GBM are receiving treatment without the preparation of a microarray gene map of their tumors. It is possible that the reason for a rare and exceptional long survival was not the treatment that the patient received, but the type of gene mutations that the tumor was exposed to. It is recognized that any therapeutic approach should ideally be evaluated against the background of all prognostic factors of each individual case, prominent among them the microarray gene map of the tumor. In practice, this is not easily achieved, while the patient is in need of, and is expecting, prompt therapy. Insurance companies do not reimburse the patient, or the clinical investigators, or their institutions for investigational diagnostic tests, or such treatment modalities. A temporary compromise is possible. The emergence of empirically administered treatment modalities with extraordinary efficacy has occasionally been recorded in the history of medical oncology. In some of these rare clinical trials, the control groups were discontinued (to the dismay of the statisticians), and the control patients were enrolled in the treatment groups so to escape doom and share the benefit of the unfolding high remission inductions experienced in the treatment group. Chemo-radiotherapy of Hodgkin's disease and cisplatin therapy of certain testicular carcinomas provided the first eclat examples. More recently, the rapidly approved and marketed imitanib mesylate for Ph-chromosome-positive chronic myelogenous leukemia and the anti-HER2/neu monoclonal antibody trastuzumab, and the not yet marketed double tyrosine kinase (ErbB1/2) inhibitor lapatinib (Tykerb, GlaxoSmithKline) for a subgroup of breast carcinoma patients excelled. Thus, a clinical trial for GBM, but without precise pre-identification of all its prognostic factors, however with a great deal of evidence-based empirical expectations of benefits, for patients with rapid advarcement toward a fatal outcome, implying an element of urgency, appears to be justified.","['Sinkovics, J G', 'Horvath, J C']","['Sinkovics JG', 'Horvath JC']","[""Cancer Institute, St. Joseph's Hospital, Tampa, FL 33607, USA. Sinkovi.Joseph@baycare.org""]",['eng'],['Journal Article'],Hungary,Acta Microbiol Immunol Hung,Acta microbiologica et immunologica Hungarica,9434021,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Clinical Protocols', 'Glioblastoma/*immunology/*physiopathology', 'Glioma/mortality/*therapy', 'Humans', 'Immunotherapy']",2007/02/07 09:00,2007/03/14 09:00,['2007/02/07 09:00'],"['2007/02/07 09:00 [pubmed]', '2007/03/14 09:00 [medline]', '2007/02/07 09:00 [entrez]']",['10.1556/AMicr.53.2006.4.1 [doi]'],ppublish,Acta Microbiol Immunol Hung. 2006 Dec;53(4):367-429. doi: 10.1556/AMicr.53.2006.4.1.,,,,,,,,,,,,,,,,,,
