PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,CIN,RF,GR,PMC,MID,OID,CON,EIN,CN,TT,SI,LID,RIN,PS,FPS,RPI
16953638,NLM,MEDLINE,20070815,20150813,0002-7863 (Print) 0002-7863 (Linking),128,36,2006 Sep 13,Comparison of the specificity of interaction of cellular and viral zinc-binding domains with 2-mercaptobenzamide thioesters.,11964-76,"The interactions of two 2-mercaptobenzamide thioester compounds with six diverse zinc-binding domains (ZBDs) have been analyzed by UV/visible spectroscopy, NMR spectroscopy, and nucleic acid binding assays. These thioester compounds serve as useful tools for probing the intrinsic chemical stability of ZBDs that exist within a variety of cellular and viral proteins. In our studies, the classical (Cys(2)His(2)) zinc finger ZBDs, the interleaved RING like ZBDs of protein kinase C delta (Cys(2)HisCys and HisCys(3)), and the carboxyl-terminal (Cys(2)HisCys) ZBD of Mouse Mammary Tumor Virus nucleocapsid protein (MMTV NCp10) were resistant to reaction with the thioester compounds. In contrast, the thioester compounds were able to efficiently eject zinc from the amino-terminal (Cys(2)HisCys) ZBD of MMTV NCp10, a Cys(2)HisCys ZBD from Friend of GATA-1 (FOG-1), and from both Cys(4) ZBDs of GATA-1. In all cases, zinc ejection led to a loss of protein structure. Interestingly, GATA-1 was resistant to reaction with the thioester compounds when bound to its target DNA sequence. The electronic and steric screening was calculated for select ZBDs to further explore their reactivity. Based on these results, it appears that both first and second zinc-coordination shell interactions within ZBDs, as well as nucleic acid binding, play important roles in determining the chemical stability and reactivity of ZBDs. These studies not only provide information regarding the relative reactivity of cysteine residues within structural ZBDs but also are crucial for the design of future therapeutic agents that selectively target ZBDs, such as those that occur in the HIV-1 nucleocapsid protein.",,"['Jenkins, Lisa M Miller', 'Durell, Stewart R', 'Maynard, Andrew T', 'Stahl, Stephen J', 'Inman, John K', 'Appella, Ettore', 'Legault, Pascale', 'Omichinski, James G']","['Jenkins LM', 'Durell SR', 'Maynard AT', 'Stahl SJ', 'Inman JK', 'Appella E', 'Legault P', 'Omichinski JG']","['Department of Biochemistry and Molecular Biology, University of Georgia, Athens, Georgia, 30602, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Research Support, N.I.H., Intramural', ""Research Support, Non-U.S. Gov't""]",United States,J Am Chem Soc,Journal of the American Chemical Society,7503056,"['0 (Benzamides)', '0 (Carrier Proteins)', '0 (GATA1 Transcription Factor)', '0 (Gene Products, gag)', '0 (Sulfhydryl Compounds)', '0 (Viral Core Proteins)', '0 (zinc-binding protein)', '129924-33-0 (retroviral nucleocapsid protein NCp10, Moloney murine leukemia', 'virus)', '9007-49-2 (DNA)', 'EC 2.7.11.13 (Protein Kinase C-delta)']",IM,"['Amino Acid Sequence', 'Animals', 'Benzamides/*chemistry/metabolism', 'Carrier Proteins/*chemistry/metabolism', 'DNA/chemistry/metabolism', 'GATA1 Transcription Factor/chemistry/metabolism', 'Gene Products, gag/chemistry/metabolism', 'Models, Molecular', 'Molecular Sequence Data', 'Nuclear Magnetic Resonance, Biomolecular', 'Protein Kinase C-delta/chemistry/metabolism', 'Protein Structure, Tertiary', 'Spectrophotometry, Ultraviolet', 'Substrate Specificity', 'Sulfhydryl Compounds/*chemistry/metabolism', 'Viral Core Proteins/chemistry/metabolism']",2006/09/07 09:00,2007/08/19 09:00,['2006/09/07 09:00'],"['2006/09/07 09:00 [pubmed]', '2007/08/19 09:00 [medline]', '2006/09/07 09:00 [entrez]']",['10.1021/ja063329e [doi]'],ppublish,J Am Chem Soc. 2006 Sep 13;128(36):11964-76. doi: 10.1021/ja063329e.,,,,"['R01 GM60298-01/GM/NIGMS NIH HHS/United States', 'Intramural NIH HHS/United States']",,,,,,,,,,,,,
16953542,NLM,MEDLINE,20070110,20191110,1523-3790 (Print) 1523-3790 (Linking),8,5,2006 Sep,Hairy cell leukemia.,337-42,"Hairy cell leukemia is a rare B-cell neoplasm. When treated with either pentostatin or cladribine, complete and durable remissions can be secured and life expectancy for most patients is normal. A small minority of patients require alternative treatment with monoclonal antibodies or immunotoxins. Patients who attain a complete response to first-line treatment have the best prognosis.",,"['Dearden, Claire', 'Else, Monica']","['Dearden C', 'Else M']",['claire.dearden@rmh.nhs.uk'],['eng'],"['Journal Article', 'Review']",United States,Curr Oncol Rep,Current oncology reports,100888967,"['0 (Antibiotics, Antineoplastic)', '0 (Antibodies, Monoclonal)', '0 (Immunosuppressive Agents)']",IM,"['Antibiotics, Antineoplastic/*therapeutic use', 'Antibodies, Monoclonal/*therapeutic use', 'Humans', 'Immunosuppressive Agents/*therapeutic use', 'Leukemia, Hairy Cell/*diagnosis/*drug therapy/pathology', 'Male', 'Middle Aged', 'Prognosis']",2006/09/07 09:00,2007/01/11 09:00,['2006/09/07 09:00'],"['2006/09/07 09:00 [pubmed]', '2007/01/11 09:00 [medline]', '2006/09/07 09:00 [entrez]']",['10.1007/s11912-006-0055-z [doi]'],ppublish,Curr Oncol Rep. 2006 Sep;8(5):337-42. doi: 10.1007/s11912-006-0055-z.,,,50,,,,,,,,,,,,,,
16953392,NLM,MEDLINE,20070515,20141120,0344-5704 (Print) 0344-5704 (Linking),59,6,2007 May,Plasma and cerebrospinal fluid pharmacokinetics of nelarabine in nonhuman primates.,743-7,"INTRODUCTION: Nelarabine is a water-soluble prodrug of the cytotoxic deoxyguanosine analog ara-G, to which it is rapidly converted in vivo by adenosine deaminase. Nelarabine has shown activity in the treatment of T-cell malignancies, especially T-cell acute lymphoblastic leukemia. Preliminary data suggested that nelarabine might penetrate into the CSF. We therefore studied the CSF penetration of nelarabine and ara-G in a nonhuman primate model that has been highly predictive of anticancer drug distribution in humans. METHODS: Nelarabine (35 mg/kg, approximately 700 mg/m2) was administered over 1 h through a surgically implanted central venous catheter to four nonhuman primates. Blood (four animals) and ventricular CSF (three animals) samples were obtained at intervals for 24 h for determination of nelarabine concentrations, which were measured by HPLC-mass spectrometry. RESULTS: The nelarabine plasma AUC (median+/-s.d.) was 2,820+/-1,140 microM min and the ara-G plasma AUC was 20,000+/-8,100 microM min. The terminal half-life of nelarabine in plasma was 25+/-5.2 min and clearance was 42+/-61 ml/min/kg. The terminal half-life of ara-G in plasma was 182+/-45 min. In CSF the terminal half-life of nelarabine was 77+/-28 min and of ara-G was 232+/-79 min. The AUCcsf:AUCplasma was 29+/-11% for nelarabine and 23+/-12% for ara-G. CONCLUSION: The excellent CSF penetration of nelarabine and ara-G supports further study of the contribution of nelarabine to the prevention and treatment of CNS leukemia.",,"['Berg, Stacey L', 'Brueckner, Claudia', 'Nuchtern, Jed G', 'Dauser, Robert', 'McGuffey, Leticia', 'Blaney, Susan M']","['Berg SL', 'Brueckner C', 'Nuchtern JG', 'Dauser R', 'McGuffey L', 'Blaney SM']","[""Texas Children's Cancer Center, 6621 Fannin Street, MC3-3320, Houston, TX 77030, USA. sberg@txccc.org""]",['eng'],['Journal Article'],Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,"['0 (Antineoplastic Agents)', '0 (Arabinonucleosides)', '0 (Prodrugs)', '38819-10-2 (9-arabinofuranosylguanine)', '60158CV180 (nelarabine)']",IM,"['Animals', 'Antineoplastic Agents/*blood/*cerebrospinal fluid', 'Arabinonucleosides/*blood/*cerebrospinal fluid', 'Chromatography, High Pressure Liquid', 'Macaca mulatta', 'Male', 'Mass Spectrometry', 'Prodrugs/pharmacokinetics']",2006/09/06 09:00,2007/05/16 09:00,['2006/09/06 09:00'],"['2006/06/01 00:00 [received]', '2006/08/09 00:00 [accepted]', '2006/09/06 09:00 [pubmed]', '2007/05/16 09:00 [medline]', '2006/09/06 09:00 [entrez]']",['10.1007/s00280-006-0328-0 [doi]'],ppublish,Cancer Chemother Pharmacol. 2007 May;59(6):743-7. doi: 10.1007/s00280-006-0328-0. Epub 2006 Sep 5.,20060905,,,,,,,,,,,,,,,,
16953242,NLM,MEDLINE,20061114,20181113,0007-0920 (Print) 0007-0920 (Linking),95,7,2006 Oct 9,ReSETting PP2A tumour suppressor activity in blast crisis and imatinib-resistant chronic myelogenous leukaemia.,775-81,"The deregulated kinase activity of p210-BCR/ABL oncoproteins, hallmark of chronic myelogenous leukaemia (CML), induces and sustains the leukaemic phenotype, and contributes to disease progression. Imatinib mesylate, a BCR/ABL kinase inhibitor, is effective in most of chronic phase CML patients. However, a significant percentage of CML patients develop resistance to imatinib and/or still progresses to blast crisis, a disease stage that is often refractory to imatinib therapy. Furthermore, there is compelling evidence indicating that the CML leukaemia stem cell is also resistant to imatinib. Thus, there is still a need for new drugs that, if combined with imatinib, will decrease the rate of relapse, fully overcome imatinib resistance and prevent blastic transformation of CML. We recently reported that the activity of the tumour suppressor protein phosphatase 2A (PP2A) is markedly inhibited in blast crisis CML patient cells and that molecular or pharmacologic re-activation of PP2A phosphatase led to growth suppression, enhanced apoptosis, impaired clonogenic potential and decreased in vivo leukaemogenesis of imatinib-sensitive and -resistant (T315I included) CML-BC patient cells and/or BCR/ABL+ myeloid progenitor cell lines. Thus, the combination of PP2A phosphatase-activating and BCR/ABL kinase-inhibiting drugs may represent a powerful therapeutic strategy for blast crisis CML patients.",,"['Perrotti, D', 'Neviani, P']","['Perrotti D', 'Neviani P']","['Human Cancer Genetics Program, Department of Molecular Virology, Immunology and Medical Genetics, and The Comprehensive Cancer Center, The Ohio State University, Columbus, OH 43210, USA. danilo.perrotti@osumc.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S."", 'Review']",England,Br J Cancer,British journal of cancer,0370635,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)', 'EC 3.1.3.16 (Phosphoprotein Phosphatases)', 'EC 3.1.3.16 (Protein Phosphatase 2)']",IM,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols', 'Benzamides', 'Blast Crisis/*drug therapy', 'Drug Resistance, Neoplasm/physiology', 'Genes, abl/drug effects', 'Humans', 'Imatinib Mesylate', 'Phosphoprotein Phosphatases/*administration & dosage/metabolism', 'Piperazines/*administration & dosage', 'Protein Phosphatase 2', 'Proto-Oncogene Proteins c-bcr/drug effects', 'Pyrimidines/*administration & dosage', 'Signal Transduction/*drug effects/physiology']",2006/09/06 09:00,2006/11/15 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2006/11/15 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['6603317 [pii]', '10.1038/sj.bjc.6603317 [doi]']",ppublish,Br J Cancer. 2006 Oct 9;95(7):775-81. doi: 10.1038/sj.bjc.6603317. Epub 2006 Sep 5.,20060905,,74,"['R01 CA095512/CA/NCI NIH HHS/United States', 'CA095512/CA/NCI NIH HHS/United States']",PMC2360538,,,,,,,,,,,,
16953226,NLM,MEDLINE,20070410,20071115,0950-9232 (Print) 0950-9232 (Linking),26,10,2007 Mar 1,Telomeric aggregates and end-to-end chromosomal fusions require myc box II.,1398-406,"Telomeres of tumor cells form telomeric aggregates (TAs) within the three-dimensional (3D) interphase nucleus. Some of these TAs represent end-to-end chromosomal fusions and may subsequently initiate breakage-bridge-fusion cycles. Wild-type (wt) and myc box II mutant (mt) Myc induce different types of genomic instability when conditionally expressed in mouse proB cells (Ba/F3). Only wt Myc overexpressing Ba/F3 cells are capable of tumor formation in severe combined immunodeficient mice. In this study, we investigated whether telomere dysfunction leading to TA formation is linked to the genetic changes that permit wt c-Myc-dependent transformation of Ba/F3 cells. To this end, we examined the 3D organization of telomeres after the deregulated expression of deletion myc boxII mutant (Delta106) or wt Myc. Delta106-Myc overexpression did not induce TAs, whereas wt-Myc deregulation did. Instead, Delta106-Myc remodelled the 3D telomeric organization such that telomeres aligned in the center of the 3D interphase nucleus forming a telomeric disk owing to a Delta106-induced G1/S cell cycle arrest. In contrast, wt-Myc overexpression led to distorted telomere distribution and TA formation. Analysis of chromosomal alterations using spectral karyotyping confirmed Delta106-Myc and wt-Myc-associated genomic instability. A significant number of chromosomal end-to-end fusions indicative of telomere dysfunction were noted in wt-Myc-expressing cells only. This study suggests that TAs may play a fundamental role in Myc-induced tumorigenesis and provides a novel way to dissect tumor initiation.",,"['Caporali, A', 'Wark, L', 'Vermolen, B J', 'Garini, Y', 'Mai, S']","['Caporali A', 'Wark L', 'Vermolen BJ', 'Garini Y', 'Mai S']","[""Dipartimento di Medicina Sperimentale, Sezione di Biochimica, Biochimica Clinica e Biochimica dell'Esercizio Fisico, Universita degli Studi di Parma, Parma, Italy.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,,IM,"['Animals', 'Cell Cycle', 'Cell Line', 'Cell Line, Tumor', '*Genes, myc', 'Genomic Instability', 'In Situ Hybridization, Fluorescence', 'Mice', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma', 'Spectral Karyotyping', 'Telomere/*physiology']",2006/09/06 09:00,2007/04/11 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2007/04/11 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['1209928 [pii]', '10.1038/sj.onc.1209928 [doi]']",ppublish,Oncogene. 2007 Mar 1;26(10):1398-406. doi: 10.1038/sj.onc.1209928. Epub 2006 Sep 4.,20060904,,,,,,,,,,,,,,,,
16953217,NLM,MEDLINE,20070410,20131121,0950-9232 (Print) 0950-9232 (Linking),26,11,2007 Mar 8,RIZ1 repression is associated with insulin-like growth factor-1 signaling activation in chronic myeloid leukemia cell lines.,1586-94,"RIZ1 is a histone methyltransferase whose expression and activity are reduced in many cancers. In chronic myelogenous leukemia (CML), blastic transformation is associated with loss of heterozygosity in the region where RIZ1 is located and with decreased RIZ1 expression. Forced RIZ1 expression in model CML blast crisis (BC) cell lines decreases proliferation, increases apoptosis and enhances differentiation. We characterized molecular mechanisms that may contribute to potential CML tumor suppressor properties of RIZ1. Several RIZ1-regulated genes involved in insulin-like growth factor-1 (IGF-1) signaling were identified using cDNA microarrays. RIZ1 was shown to associate with promoter regions of IGF-1 and to increase histone H3 lysine 9 methylation using chromatin immunoprecipitation assays. IGF-1-blocking antibody was used to demonstrate the importance of autocrine IGF-1 signaling in CML-BC cell line viability. Forced RIZ1 expression in CML-BC cell lines decreases IGF-1 receptor activation and activation of downstream signaling components extracellular signal-regulated kinase 1/2 and AKT. These results highlight the therapeutic potential of inhibiting IGF-1 pathway in the acute phase of CML.",,"['Pastural, E', 'Takahashi, N', 'Dong, W-F', 'Bainbridge, M', 'Hull, A', 'Pearson, D', 'Huang, S', 'Lowsky, R', 'DeCoteau, J F', 'Geyer, C R']","['Pastural E', 'Takahashi N', 'Dong WF', 'Bainbridge M', 'Hull A', 'Pearson D', 'Huang S', 'Lowsky R', 'DeCoteau JF', 'Geyer CR']","['Genomic Medicine and Pathobiology Group and Department of Pathology, University of Saskatchewan, Saskatoon, SK, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (DNA-Binding Proteins)', '0 (Histones)', '0 (Nuclear Proteins)', '0 (Transcription Factors)', '67763-96-6 (Insulin-Like Growth Factor I)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 2.1.1.43 (PRDM2 protein, human)', 'K3Z4F929H6 (Lysine)']",IM,"['DNA-Binding Proteins/*antagonists & inhibitors/metabolism', 'Gene Expression Regulation', 'Histone-Lysine N-Methyltransferase', 'Histones/chemistry/metabolism', 'Humans', 'Insulin-Like Growth Factor I/genetics/*metabolism', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism/pathology', 'Lysine/metabolism', 'Methylation', 'Nuclear Proteins/*antagonists & inhibitors/metabolism', 'Oligonucleotide Array Sequence Analysis', 'Promoter Regions, Genetic', '*Signal Transduction', 'Transcription Factors/*antagonists & inhibitors/metabolism']",2006/09/06 09:00,2007/04/11 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2007/04/11 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['1209959 [pii]', '10.1038/sj.onc.1209959 [doi]']",ppublish,Oncogene. 2007 Mar 8;26(11):1586-94. doi: 10.1038/sj.onc.1209959. Epub 2006 Sep 4.,20060904,,,,,,,,,,,,,,,,
16953212,NLM,MEDLINE,20070109,20121115,0268-3369 (Print) 0268-3369 (Linking),38,8,2006 Oct,Transformed essential thrombocytosis with a JAK2 V617F mutation relapsing as JAK2 mutation-negative leukaemia after allogeneic stem cell transplantation.,573-4,,,"['Au, W Y', 'Fung, A', 'Lam, K Y', 'Lie, A K', 'Liang, R', 'Kwong, Y L']","['Au WY', 'Fung A', 'Lam KY', 'Lie AK', 'Liang R', 'Kwong YL']",,['eng'],"['Case Reports', 'Letter']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Cell Transformation, Neoplastic', 'Female', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Janus Kinase 2/*genetics', 'Leukemia/*etiology', 'Middle Aged', '*Mutation, Missense', 'Recurrence', 'Thrombocythemia, Essential/*complications/*genetics/therapy', 'Transplantation, Homologous']",2006/09/06 09:00,2007/01/11 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2007/01/11 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['1705482 [pii]', '10.1038/sj.bmt.1705482 [doi]']",ppublish,Bone Marrow Transplant. 2006 Oct;38(8):573-4. doi: 10.1038/sj.bmt.1705482. Epub 2006 Sep 4.,20060904,,,,,,,,,,,,,,,,
16953181,NLM,MEDLINE,20061026,20060905,1225-8873 (Print) 1225-8873 (Linking),44,4,2006 Aug,Role of a third extracellular domain of an ecotropic receptor in Moloney murine leukemia virus infection.,447-52,"The murine ecotropic retroviral receptor has been demonstrated to function as a mouse cationic amino acid transporter 1 (mCAT1), and is comprised of multiple membranespanning domains. Feral mouse (Mus dunni) cells are not susceptible to infection by the ecotropic Moloney murine leukemia virus (MoMLV), although they can be infected by other ecotropic murine leukemia viruses, including Friend MLV and Rauscher MLV. The relative inability of MoMLV to replicate in M. dunni cells has been attributed to two amino acids (V214 and G236) located within the third extracellular loop of the M. dunni CAT1 receptor (dCAT1). Via the exchange of the third extracellular loop of the mCAT1 cDNA encoding receptor from the permissive mouse and the corresponding portion of cDNA encoding for the nonpermissive M. dunni receptor, we have identified the most critical amino acid residue, which is a glycine located at position 236 within the third extracellular loop of dCAT1. We also attempted to determine the role of the third extracellular loop of the M. dunni CAT1 receptor with regard to the formation of the syncytium. The relationship between dCAT1 and virus-induced syncytia was suggested initially by our previous identification of two MLV isolates (S82F in Moloney and S84A in Friend MLV), both of which are uniquely cytopathic in M. dunni cells. In an attempt to determine the relationship existing between dCAT1 and the virally-induced syncytia, we infected 293-dCAT1 or chimeric dCAT1 cells with the S82F pseudotype virus. The S82F pseudotype virus did not induce the formation of syncytia, but did show increased susceptibility to 293 cells expressing dCAT1. The results of our study indicate that S82F-induced syncytium formation may be the result of cell-cell fusion, but not virus-cell fusion.",,"['Bae, Eun Hye', 'Park, Sung-Han', 'Jung, Yong-Tae']","['Bae EH', 'Park SH', 'Jung YT']","['Department of Microbiology and Institute of Basic Science, Dankook University, Cheonan 330-714, Republic of Korea.']",['eng'],['Journal Article'],Korea (South),J Microbiol,"Journal of microbiology (Seoul, Korea)",9703165,"['0 (Cationic Amino Acid Transporter 1)', '0 (Receptors, Virus)']",IM,"['3T3 Cells', 'Amino Acid Sequence', 'Animals', 'Cationic Amino Acid Transporter 1/*chemistry/metabolism', 'Cell Fusion', 'Cell Line', 'Fibroblasts/virology', 'Giant Cells/*physiology', 'Humans', 'Mice', 'Microscopy, Confocal', 'Molecular Sequence Data', 'Moloney murine leukemia virus/metabolism/*pathogenicity', 'Mutagenesis', 'Protein Structure, Tertiary', 'Receptors, Virus/*chemistry/metabolism', 'Virus Replication']",2006/09/06 09:00,2006/10/27 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2006/10/27 09:00 [medline]', '2006/09/06 09:00 [entrez]']",['2407 [pii]'],ppublish,J Microbiol. 2006 Aug;44(4):447-52.,,,,,,,,,,,,,,,,,
16953123,NLM,MEDLINE,20061103,20071115,1226-3613 (Print) 1226-3613 (Linking),38,4,2006 Aug 31,"Up-regulation of Bax and endonuclease G, and down-modulation of Bcl-XL involved in cardiotoxin III-induced apoptosis in K562 cells.",435-44,"Cardiotoxin III (CTX III), a basic polypeptide with 60 amino acid residues isolated from Naja naja atra venom, has been reported to have anticancer activity. CTX III-induced K562 cell apoptosis was confirmed by DNA fragmentation (DNA ladder, sub-G1 formation) and phosphatidylserine (PS) externalization with an IC(50) value of 1.7 microg/ml at 48 h. A mechanistic analysis demonstrated that CTX III-induced apoptotic cell death was accompanied by up-regulation of both Bax and endonuclease G (Endo G), and downregulation of Bcl-X(L). CTX III had no effect on the levels of Bcl-2, Bid, XIAP survivin, and AIF proteins. CTX III treatment caused loss of the mitochondrial membrane potential (DeltaPsim), release of mitochondrial cytochrome c to the cytosol, and activation of both caspase-9 and -3. CTX III-induced apoptosis was significantly blocked by the broad-spectrum caspase inhibitor Z-VAD-FMK. However, CTX III did not generate reactive oxygen species (ROS) and antioxidants, including N-acetylcysteine and catalase, did not block CTX III-induced apoptosis in K562 cells. Modulation of Bax, Bcl-XL, and the Endo G proteins, release of mitochondrial cytochome c, and activation of caspase-3 and -9 all are involved in the CTX III-triggered apoptotic process in human leukemia K562 cells.",,"['Yang, Sheng-Huei', 'Chien, Ching-Ming', 'Lu, Mei-Chin', 'Lin, Yi-Hsiung', 'Hu, Xiu-Wei', 'Lin, Shinne-Ren']","['Yang SH', 'Chien CM', 'Lu MC', 'Lin YH', 'Hu XW', 'Lin SR']","['Faculty of Medicinal and Applied Chemistry, Kaohsiung Medical University, Kaohsiung 807, Taiwan, ROC.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Mol Med,Experimental & molecular medicine,9607880,"['0 (Cobra Cardiotoxin Proteins)', '0 (Inhibitor of Apoptosis Proteins)', '0 (Mitochondrial Proteins)', '0 (Reactive Oxygen Species)', '0 (bcl-2-Associated X Protein)', '0 (bcl-X Protein)', '0 (cardiotoxin III, Naja naja atra)', '9007-43-6 (Cytochromes c)', 'EC 3.1.- (Endodeoxyribonucleases)', 'EC 3.1.21.- (endonuclease G)', 'EC 3.4.22.- (Caspases)']",IM,"['Apoptosis/*drug effects', 'Caspases/metabolism', 'Cell Proliferation/drug effects', 'Cobra Cardiotoxin Proteins/*pharmacology', 'Cytochromes c/metabolism', 'Down-Regulation/drug effects', 'Endodeoxyribonucleases/*metabolism', 'Humans', 'Inhibitor of Apoptosis Proteins/metabolism', 'K562 Cells', 'Membrane Potentials/drug effects', 'Mitochondrial Membranes/drug effects', 'Mitochondrial Proteins/metabolism', 'Reactive Oxygen Species/metabolism', 'Up-Regulation/drug effects', 'bcl-2-Associated X Protein/*metabolism', 'bcl-X Protein/*metabolism']",2006/09/06 09:00,2006/11/04 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2006/11/04 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['2006083012 [pii]', '10.1038/emm.2006.51 [doi]']",ppublish,Exp Mol Med. 2006 Aug 31;38(4):435-44. doi: 10.1038/emm.2006.51.,,,,,,,,,,,,,,,,,
16952844,NLM,MEDLINE,20060928,20191110,1699-048X (Print) 1699-048X (Linking),8,8,2006 Aug,Therapeutic opportunities and targets in childhood leukemia.,560-5,"Childhood leukemia is a common pediatric cancer in the developed world, the disease is biologically diverse and there is much discussion as to its causal mechanisms. Acute lymphoblastic leukemia (ALL) is the most common subtype and infants with ALL have a greatly increased risk of treatment failure. There are molecular and biological properties of leukemic cells that determine treatment outcome; these can usually be attributed to distinct genetic abnormalities that alter the normal proliferative and survival signals of hematopoietic cells. Experimental evidence for the existence of leukemic stem cells (LSC) has been obtained, and it is presumed that these cells arise from mutations in normal hematopoetic stem cells or progenitor cells, and they are difficult to eradicate. LSC seem to be surprisingly different from their normal counterparts and therefore are obvious new targets for drug therapy. Therapeutic concepts using monoclonal antibodies have substantially improved response rates in patients with malignant lymphomas and are currently being evaluated in other types of cancer.",,"['Ford, Anthony M', 'Martinez-Ramirez, Angel']","['Ford AM', 'Martinez-Ramirez A']","['Section of Haemato-Oncology, Institute of Cancer Research, Sutton, United Kingdom.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Italy,Clin Transl Oncol,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,101247119,"['0 (Antibodies, Monoclonal)']",IM,"['Adolescent', 'Antibodies, Monoclonal/therapeutic use', 'Child', 'Child, Preschool', 'Humans', 'Immunization, Passive', 'Immunotherapy, Active', 'Infant', 'Leukemia/*genetics/*therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/therapy', 'Stem Cells']",2006/09/06 09:00,2006/09/29 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2006/09/29 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['956 [pii]', '10.1007/s12094-006-0061-5 [doi]']",ppublish,Clin Transl Oncol. 2006 Aug;8(8):560-5. doi: 10.1007/s12094-006-0061-5.,,,41,,,,,,,,,,,,,,
16952843,NLM,MEDLINE,20060928,20191110,1699-048X (Print) 1699-048X (Linking),8,8,2006 Aug,Molecular biology in acute leukemia.,550-9,"Acute leukemia is a clonal expansion of tumoral cells in bone marrow, blood or other tissues. The acute leukemias are classified as myeloid or lymphoid based on the lineage of the blast cells. Over the past three decades, remarkable advances have been made in the classification and treatment of acute leukemias. In the last years, the research into the molecular pathogenesis of acute leukemia has progressed. The knowledge of chromosomal translocations breakpoints and possible candidate oncogenes and tumor suppressor genes has allowed the integration of all these events into multistep cascades that impact specific signal transduction pathways and lead to leukemic transformation.",,"['Camos, Mireia', 'Colomer, Dolors']","['Camos M', 'Colomer D']","[""Unitat d'Hematopatologia, Hospital Clinic, Institut d'Investigacions Biomediques August Pi I Sunyer, Barcelona, Spain.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Italy,Clin Transl Oncol,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,101247119,"['0 (Oncogene Proteins, Fusion)']",IM,"['Acute Disease', 'Chromosome Aberrations', 'Gene Rearrangement', 'Humans', 'Leukemia, Myeloid/*genetics', 'Mutation', 'Oncogene Proteins, Fusion', 'Signal Transduction']",2006/09/06 09:00,2006/09/29 09:00,['2006/09/06 09:00'],"['2006/09/06 09:00 [pubmed]', '2006/09/29 09:00 [medline]', '2006/09/06 09:00 [entrez]']","['948 [pii]', '10.1007/s12094-006-0060-6 [doi]']",ppublish,Clin Transl Oncol. 2006 Aug;8(8):550-9. doi: 10.1007/s12094-006-0060-6.,,,72,,,,,,,,,,,,,,
