PMID,OWN,STAT,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DCOM,LID,OTO,OT,RN,SB,MH,MID,CI,CON,COIS,CIN,OID,SI,CN,IR,FIR,EIN,TT,UOF,PS,FPS,RIN,GN
22712859,NLM,MEDLINE,20120620,1365-2230 (Electronic) 0307-6938 (Linking),37,5,2012 Jul,Congenital papulonodular eruption: presenting sign of congenital leukaemia cutis.,509-11,"Congenital leukaemia (CL) is a rare malignancy that accounts for < 1% of cases of childhood leukaemias. Leukaemia cutis (LC) refers to cutaneous infiltration with leukaemic cells, and is seen in 30-50% of CL cases. It may precede, follow or occur simultaneously with leukaemia. If left untreated, the prognosis is usually poor, but early diagnosis and treatment may result in a favourable prognosis. We report a case of congenital leukaemia cutis with a progressive, violaceous papulonodular eruption (a 'blueberry muffin' rash), which had been noted at birth, as a presenting sign of acute myeloid leukaemia (AML), which on investigation was classified as AML, FAB M2 type with a t(8; 21)(p11;q22) chromosomal defect. The patient had a favourable response to AML chemotherapy.","['Nanda, A', 'El-Kamel, M F', 'Al-Oneizi, E M', 'Al-Ajmi, M', 'Al-Enezi, E M', 'Madda, J P']","['Nanda A', 'El-Kamel MF', 'Al-Oneizi EM', 'Al-Ajmi M', 'Al-Enezi EM', 'Madda JP']","[""As'ad Al-Hamad Dermatology Center, Al-Sabah Hospital, Kuwait. artinanda@hotmail.com""]",['eng'],,"['Case Reports', 'Journal Article']",,England,Clin Exp Dermatol,Clinical and experimental dermatology,7606847,,2012/06/21 06:00,2012/10/04 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/10/04 06:00 [medline]']",['10.1111/j.1365-2230.2011.04270.x [doi]'],ppublish,Clin Exp Dermatol. 2012 Jul;37(5):509-11. doi: 10.1111/j.1365-2230.2011.04270.x.,20121003,10.1111/j.1365-2230.2011.04270.x [doi],,,,IM,"['Female', 'Humans', 'Infant, Newborn', 'Leukemia, Myeloid, Acute/*congenital/pathology', 'Skin Neoplasms/*congenital/pathology']",,['(c) The Author(s). CED (c) 2012 British Association of Dermatologists.'],,,,,,,,,,,,,,,
22712837,NLM,MEDLINE,20211203,1029-2403 (Electronic) 1026-8022 (Linking),54,1,2013 Jan,XRCC1 Arg399Gln and Arg194Trp polymorphisms in childhood acute lymphoblastic leukemia risk: a meta-analysis.,153-9,"The purpose of this study was to evaluate the association between X-ray repair cross-complementing group 1 (XRCC1) gene Arg399Gln and Arg194Trp polymorphisms and childhood acute lymphoblastic leukemia risk (ALL) risk. A systematic search of three databases was conducted. Odds ratios (ORs) with 95% confidence intervals (CIs) for XRCC1 polymorphisms and childhood ALL were calculated with fixed-effects models and random-effects models. This meta-analysis showed that Arg399Gln polymorphism was associated with increased risk of childhood ALL (Gln/Arg vs. Arg/Arg, OR = 1.25, 95% CI = 0.95-1.65, p = 0.032; Gln/Gln vs. Arg/Arg, OR = 1.44, 95% CI = 1.07-1.93, p = 0.448; dominant model, OR = 1.27, 95% CI = 0.98-1.66, p = 0.026; recessive model, OR = 1.16, 95% CI = 0.88-1.53, p = 0.646), while failing to detect links with the Arg194Trp polymorphism studied. In subgroup analyses, the pooled results showed that Arg399Gln polymorphism was associated with an increased risk of childhood ALL in Asians and larger sample size. However, no evidence of a significant association was observed in any subgroup of the Arg194Trp polymorphism. Our results provide evidence that the XRCC1 Arg399Gln polymorphism is associated with an increased risk of childhood ALL in the total population, especially Asians.","['Wang, Rensheng', 'Hu, Xueying', 'Zhou, Yang', 'Feng, Qiming', 'Su, Li', 'Long, Jianxiong', 'Wei, Bo']","['Wang R', 'Hu X', 'Zhou Y', 'Feng Q', 'Su L', 'Long J', 'Wei B']","[""Department of Radiotherapy, First Affiliated Hospital, Guangxi Medical University, Nanning, People's Republic of China.""]",['eng'],,"['Journal Article', 'Meta-Analysis']",20120709,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,2012/06/21 06:00,2013/05/17 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2013/05/17 06:00 [medline]']",['10.3109/10428194.2012.704031 [doi]'],ppublish,Leuk Lymphoma. 2013 Jan;54(1):153-9. doi: 10.3109/10428194.2012.704031. Epub 2012 Jul 9.,20130515,10.3109/10428194.2012.704031 [doi],,,"['0 (DNA-Binding Proteins)', '0 (X-ray Repair Cross Complementing Protein 1)', '0 (XRCC1 protein, human)']",IM,"['Amino Acid Substitution', 'Asians/genetics', 'DNA-Binding Proteins/*genetics', 'Genetic Predisposition to Disease', 'Humans', 'Odds Ratio', '*Polymorphism, Genetic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Publication Bias', 'Risk', 'X-ray Repair Cross Complementing Protein 1']",,,,,,,,,,,,,,,,,
22712835,NLM,MEDLINE,20211203,1029-2403 (Electronic) 1026-8022 (Linking),54,1,2013 Jan,Hyperpigmentation of the hard palate associated with imatinib therapy for chronic myeloid leukemia with a genetic variation in the proto-oncogene c-KIT.,186-8,,"['Khoo, Teh-Liane', 'Catalano, Alberto', 'Supple, Shane', 'Chong, Li', 'Yeoh, Sue-Ching', 'Yeung, Stephen', 'Iland, Harry']","['Khoo TL', 'Catalano A', 'Supple S', 'Chong L', 'Yeoh SC', 'Yeung S', 'Iland H']",,['eng'],,"['Case Reports', 'Letter']",20120814,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,2012/06/21 06:00,2013/05/17 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2013/05/17 06:00 [medline]']",['10.3109/10428194.2012.702904 [doi]'],ppublish,Leuk Lymphoma. 2013 Jan;54(1):186-8. doi: 10.3109/10428194.2012.702904. Epub 2012 Aug 14.,20130515,10.3109/10428194.2012.702904 [doi],,,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (MAS1 protein, human)', '0 (Piperazines)', '0 (Proto-Oncogene Mas)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Antineoplastic Agents/*adverse effects/therapeutic use', 'Base Sequence', 'Benzamides/*adverse effects/therapeutic use', 'Female', 'Genetic Variation', 'Heterozygote', 'Humans', 'Hyperpigmentation/*chemically induced', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/genetics', 'Middle Aged', 'Mutation', 'Palate, Hard/*pathology', 'Piperazines/*adverse effects/therapeutic use', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins c-kit/genetics', 'Pyrimidines/*adverse effects/therapeutic use']",,,,,,,,,,,,,,,,,
22712832,NLM,MEDLINE,20151119,1521-0669 (Electronic) 0888-0018 (Linking),29,5,2012 Aug,"Adherence to leukemia maintenance therapy: a comparative study among children, adolescents, and adults.",428-39,"This study describes patient adherence to leukemia maintenance therapy and the factors associated with nonadherence, with a particular focus on the different age groups concerned. Sixty-four in-depth interviews were performed in three centers among 31 parents of children, 12 parents of adolescents, 12 adolescents, and 9 adult patients. Adherence was determined through a multimethod approach based on patient and/or parent responses to three self-administered questions and patient and/or parent interviews. The results were compared with physician evaluation of adherence. Factors explaining nonadherence were investigated in the in-depth interviews and by statistical analysis of self-administered questionnaires. Intentional nonadherence occurred rarely (4/52 patients, 8%) following poor tolerance of the maintenance therapy. Despite a high motivation to follow the maintenance therapy, repeated forgetfulness (8/52, 15%) was not rare and rarely detected by physicians. Nonadherence increased with age, but also existed among children. Outings, the administration of therapy at bedtime, the lack of monitoring, a low socioeconomic status, and the hepatic side effects of the treatment were also associated with nonadherence. Declared nonadherence of leukemia maintenance therapy is not negligible and should be screened at follow-up consultations using three simple questions.","['Mancini, Julien', 'Simeoni, Marie-Claude', 'Parola, Nathalie', 'Clement, Audrey', 'Vey, Norbert', 'Sirvent, Nicolas', 'Michel, Gerard', 'Auquier, Pascal']","['Mancini J', 'Simeoni MC', 'Parola N', 'Clement A', 'Vey N', 'Sirvent N', 'Michel G', 'Auquier P']","['School of Medicine, Aix-Marseille University, Marseille, France. julien.mancini@ap-hm.fr']",['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",20120619,England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,,2012/06/21 06:00,2012/12/18 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/12/18 06:00 [medline]']",['10.3109/08880018.2012.693150 [doi]'],ppublish,Pediatr Hematol Oncol. 2012 Aug;29(5):428-39. doi: 10.3109/08880018.2012.693150. Epub 2012 Jun 19.,20121217,10.3109/08880018.2012.693150 [doi],,,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia/*psychology/*therapy', 'Male', 'Patient Compliance/*psychology', '*Surveys and Questionnaires']",,,,,,,,,,,,,,,,,
22712687,NLM,MEDLINE,20120712,1365-2141 (Electronic) 0007-1048 (Linking),158,3,2012 Aug,Disseminated bread yeast fungaemia in a baker's wife with acute myeloid leukaemia.,298,,"['Choi, G', 'Meijer, S L', 'Hazenberg, M D']","['Choi G', 'Meijer SL', 'Hazenberg MD']","['Department of Haematology, University of Amsterdam, The Netherlands. c.w.choi@amc.nl']",['eng'],,"['Case Reports', 'Journal Article']",20120620,England,Br J Haematol,British journal of haematology,0372544,,2012/06/21 06:00,2012/10/24 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/10/24 06:00 [medline]']",['10.1111/j.1365-2141.2012.09212.x [doi]'],ppublish,Br J Haematol. 2012 Aug;158(3):298. doi: 10.1111/j.1365-2141.2012.09212.x. Epub 2012 Jun 20.,20121023,10.1111/j.1365-2141.2012.09212.x [doi],,,,IM,"['Bread/*microbiology', 'Female', 'Food Microbiology', 'Fungemia/microbiology', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*microbiology', 'Middle Aged', 'Occupational Exposure/*adverse effects', 'Saccharomyces cerevisiae/*isolation & purification']",,,,,,,,,,,,,,,,,
22712628,NLM,MEDLINE,20120712,1365-2141 (Electronic) 0007-1048 (Linking),158,3,2012 Aug,Epigenetics and blood disorders.,307-22,"The last three decades of cancer research were guided by the hypothesis that cancer cells evolve due to the accumulation of many genetic aberrations over time. While this is still true for most solid cancers, it might be different in haemato-malignant diseases, which are mostly characterized by chromosomal translocations that exhibit only few additional mutations. Some of the resulting fusion gene products functionally interfer with epigenetic mechanisms. Recent findings of mutated IDH1, IDH2, DNMT3A or TET2 in myelodysplastic syndrome/acute myeloid leukaemia patients underscore this notion, and point to the importance of epigenetic changes for developing tumour cells. This review aims (i) to give an overview about the different components of the epigenetic system, (ii) to describe the functions of different proteins or complexes that are involved in setting-up the epigenetic layer, (iii) to highlight some recent findings, and (iv) to describe the failures and successes when using drugs that are targeting epigenetic components.","['Scholz, Bastian', 'Marschalek, Rolf']","['Scholz B', 'Marschalek R']","['Institute of Pharmaceutical Biology/DCAL, Biocentre, Goethe-University, Frankfurt/Main, Germany.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20120620,England,Br J Haematol,British journal of haematology,0372544,,2012/06/21 06:00,2012/10/24 06:00,['2012/06/21 06:00'],"['2012/03/23 00:00 [received]', '2012/05/09 00:00 [accepted]', '2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/10/24 06:00 [medline]']",['10.1111/j.1365-2141.2012.09193.x [doi]'],ppublish,Br J Haematol. 2012 Aug;158(3):307-22. doi: 10.1111/j.1365-2141.2012.09193.x. Epub 2012 Jun 20.,20121023,10.1111/j.1365-2141.2012.09193.x [doi],,,,IM,"['Epigenesis, Genetic', 'Hematologic Diseases/*genetics', 'Humans']",,['(c) 2012 Blackwell Publishing Ltd.'],,,,,,,,,,,,,,,
22712614,NLM,MEDLINE,20191210,1365-2141 (Electronic) 0007-1048 (Linking),158,5,2012 Sep,Successful treatment with low-dose gemtuzumab ozogamicin in combination chemotherapy followed by stem cell transplantation for children with refractory acute myeloid leukaemia.,666-8,,"['Yoshida, Nao', 'Sakaguchi, Hirotoshi', 'Matsumoto, Kimikazu', 'Kato, Koji']","['Yoshida N', 'Sakaguchi H', 'Matsumoto K', 'Kato K']",,['eng'],,"['Case Reports', 'Letter']",20120619,England,Br J Haematol,British journal of haematology,0372544,,2012/06/21 06:00,2012/10/20 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/10/20 06:00 [medline]']",['10.1111/j.1365-2141.2012.09192.x [doi]'],ppublish,Br J Haematol. 2012 Sep;158(5):666-8. doi: 10.1111/j.1365-2141.2012.09192.x. Epub 2012 Jun 19.,20121019,10.1111/j.1365-2141.2012.09192.x [doi],,,"['0 (Aminoglycosides)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antineoplastic Agents)', '93NS566KF7 (Gemtuzumab)']",IM,"['Aminoglycosides/*administration & dosage', 'Antibodies, Monoclonal, Humanized/*administration & dosage', 'Antineoplastic Agents/*administration & dosage', 'Child', 'Combined Modality Therapy/methods', 'Drug Resistance, Neoplasm', 'Female', 'Gemtuzumab', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Recurrence', 'Stem Cell Transplantation/*methods']",,,,,,,,,,,,,,,,,
22712605,NLM,MEDLINE,20220114,1533-0338 (Electronic) 1533-0338 (Linking),11,4,2012 Aug,Macromolecular changes in nilotinib resistant K562 cells; an in vitro study by Fourier transform infrared spectroscopy.,333-44,"Nilotinib is a second generation tyrosine kinase inhibitor which is used in both first and second line treatment of chronic myeloid leukemia (CML). In the present work, the effects of nilotinib resistance on K562 cells were investigated at the molecular level using Fourier transform infrared (FT-IR) spectroscopy. Human K562 CML cells were exposed to step-wise increasing concentrations of nilotinib, and sub-clones of K562 cells resistant to 50nM nilotinib were generated and referred to as K562/NIL-50 cells. Antiproliferative effects of nilotinib were determined by XTT cell proliferation assay. Changes in macromolecules in parental and resistant cells were studied by FT-IR spectroscopy. Nilotinib resistance caused significant changes which indicated increases in the level of glycogen and membrane/lipid order. The amount of unsaturated lipids increased in the nilotinib resistant cells indicating lipid peroxidation. The total amount of lipids did not change significantly but the relative proportion of cholesterol and triglycerides altered considerably. Moreover, the transcriptional status decreased but metabolic turn-over increased as revealed by the FT-IR spectra. In addition, changes in the proteome and structural changes in both proteins and the nucleus were observed in the K562/NIL-50 cells. Protein secondary structural analyses revealed that alpha helix structure and random coil structure decreased, however, anti-parallel beta sheet structure, beta sheet structure and turns structure increased. These results indicate that the FT-IR technique provides a method for analyzing drug resistance related structural changes in leukemia and other cancer types.","['Ceylan, Cagatay', 'Camgoz, Aylin', 'Baran, Yusuf']","['Ceylan C', 'Camgoz A', 'Baran Y']","['Izmir Institute of Technology, Department of Food Engineering, Urla, Izmir, Turkey. cagatayceylan@iyte.edu.tr']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20120615,United States,Technol Cancer Res Treat,Technology in cancer research & treatment,101140941,,2012/06/21 06:00,2013/06/28 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2013/06/28 06:00 [medline]']","['product-p17965.html [pii]', '10.7785/tcrt.2012.500281 [doi]']",ppublish,Technol Cancer Res Treat. 2012 Aug;11(4):333-44. doi: 10.7785/tcrt.2012.500281. Epub 2012 Jun 15.,20130626,,,,"['0 (Antineoplastic Agents)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'F41401512X (nilotinib)']",IM,"['Antineoplastic Agents/*pharmacology', 'Cell Proliferation/drug effects', '*Drug Resistance, Neoplasm', 'Drug Screening Assays, Antitumor/methods', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/metabolism', 'Humans', 'K562 Cells', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Protein Kinase Inhibitors/pharmacology', 'Pyrimidines/*pharmacology', 'Spectroscopy, Fourier Transform Infrared']",,,,,,,,,,,,,,,,,
22712581,NLM,MEDLINE,20161125,1478-6427 (Electronic) 1478-6419 (Linking),27,8,2013 Apr,"Isolation, characterisation and biological evaluation of a phenoxazine, a natural dyestuff isolated from leaves of Peristrophe bivalvis.",771-4,"Peristrophe bivalvis (L.) Merr. (Acanthaceae) is a wild growing and cultivated plant used for dyeing of foods by the ethnic minorities of Vietnam. The major component of the colour aqueous extract (CAE) of its leaves was identified as peristrophine by spectral analysis, especially the 2D NMR spectra (HSQC, HMBC and NOESY). Considering the widespread utilisation of the decoction of this plant for food dyeing, we evaluated the acute oral toxicity of the CAE. Based on the results in an acute toxicity study in mice, the LD50 value of the CAE was determined as 9100 +/- 290 mg kg(-1) body weight. Additionally, in vitro cytotoxic assay showed an inhibition of peristrophine against Hepatocellular carcinoma (HepG2, IC503.90 microg mL(-1)). CAE and peristrophine (1) have also been tested for their ability to affect the cell number of the OCI acute myeloid leukaemia cell line. CAE and peristrophine significantly decreased the OCI cell number at different concentrations and times of treatment.","['Thuy, Trinh Thi', 'Huong, Nguyen Thi Thanh', 'Nhung, Le Thi Hong', 'Ninh, Pham Thi', 'Delfino, Domenico V', 'Van Sung, Tran']","['Thuy TT', 'Huong NT', 'Nhung le TH', 'Ninh PT', 'Delfino DV', 'Van Sung T']","['Department of Organic Synthesis Institute of Chemistry, Vietnam Academy of Science and Technology, 18-Hoang Quoc Viet, Cau Giay, Hanoi, Vietnam.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120619,England,Nat Prod Res,Natural product research,101167924,,2012/06/21 06:00,2014/02/13 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2014/02/13 06:00 [medline]']",['10.1080/14786419.2012.698409 [doi]'],ppublish,Nat Prod Res. 2013 Apr;27(8):771-4. doi: 10.1080/14786419.2012.698409. Epub 2012 Jun 19.,20140212,10.1080/14786419.2012.698409 [doi],,,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Coloring Agents)', '0 (Oxazines)', '0 (peristrophine)', 'C2ZWT499SG (phenoxazine)']",IM,"['Acanthaceae/*chemistry/toxicity', 'Animals', 'Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification', 'Coloring Agents/chemistry/*isolation & purification', 'Drug Screening Assays, Antitumor', 'Hep G2 Cells', 'Humans', 'Magnetic Resonance Spectroscopy', 'Mice', 'Molecular Structure', 'Oxazines/chemistry/*isolation & purification', 'Plant Leaves/chemistry', 'Spectrometry, Mass, Electrospray Ionization']",,,,,,,,,,,,,,,,,
22712573,NLM,MEDLINE,20120813,1365-2141 (Electronic) 0007-1048 (Linking),158,5,2012 Sep,Mimicking the tumour microenvironment: three different co-culture systems induce a similar phenotype but distinct proliferative signals in primary chronic lymphocytic leukaemia cells.,589-99,"Interactions in the tumour microenvironment can promote chronic lymphocytic leukaemia (CLL) cell survival, proliferation and drug resistance. A detailed comparison of three co-culture systems designed to mimic the CLL lymph node and vascular microenvironments were performed; two were mouse fibroblast cell lines transfected with human CD40LG or CD31 and the third was a human microvascular endothelial cell line, HMEC-1. All three co-culture systems markedly enhanced CLL cell survival and induced a consistent change in CLL cell phenotype, characterized by increased expression of CD38, CD69, CD44 and ITGA4 (CD49d); this phenotype was absent following co-culture on untransfected mouse fibroblasts. In contrast to HMEC-1 cells, the CD40LG and CD31-expressing fibroblasts also induced ZAP70 expression and marked CLL cell proliferation as evidenced by carboxyfluorescein succinimidyl ester labelling and increased Ki-67 expression. Taken together, our data show that co-culture on different stroma induced a remarkably similar activation phenotype in CLL cells but only the CD40LG and CD31-expressing fibroblasts increased ZAP70 expression and CLL cell proliferation, indicating that ZAP70 may play a critical role in this process. This comparative study reveals a number of striking similarities between the co-culture systems tested but also highlights important differences that should be considered when selecting which system to use for in-vitro investigations.","['Hamilton, Emma', 'Pearce, Laurence', 'Morgan, Liam', 'Robinson, Sophie', 'Ware, Vicki', 'Brennan, Paul', 'Thomas, N Shaun B', 'Yallop, Deborah', 'Devereux, Stephen', 'Fegan, Chris', 'Buggins, Andrea G S', 'Pepper, Chris']","['Hamilton E', 'Pearce L', 'Morgan L', 'Robinson S', 'Ware V', 'Brennan P', 'Thomas NS', 'Yallop D', 'Devereux S', 'Fegan C', 'Buggins AG', 'Pepper C']","[""Department of Haematology, King's College London, London, UK.""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120619,England,Br J Haematol,British journal of haematology,0372544,,2012/06/21 06:00,2012/10/20 06:00,['2012/06/21 06:00'],"['2012/01/16 00:00 [received]', '2012/05/04 00:00 [accepted]', '2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/10/20 06:00 [medline]']",['10.1111/j.1365-2141.2012.09191.x [doi]'],ppublish,Br J Haematol. 2012 Sep;158(5):589-99. doi: 10.1111/j.1365-2141.2012.09191.x. Epub 2012 Jun 19.,20121019,10.1111/j.1365-2141.2012.09191.x [doi],,,"['0 (Antigens, CD)']",IM,"['Animals', 'Antigens, CD/metabolism', 'Cell Communication/*physiology', 'Cell Culture Techniques/methods', 'Cell Line, Tumor', '*Cell Proliferation', 'Cell Survival', 'Coculture Techniques/methods', 'Endothelial Cells/pathology', 'Fibroblasts/pathology', 'Flow Cytometry', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Leukocytes, Mononuclear/pathology', 'Mice', 'Microvessels/pathology', 'Phenotype', 'Transfection', 'Tumor Microenvironment/*physiology']",,['(c) 2012 Blackwell Publishing Ltd.'],,,,,,,,,,,,,,,
22712502,NLM,MEDLINE,20211203,1742-4658 (Electronic) 1742-464X (Linking),279,16,2012 Aug,"Erythroid differentiation-associated gene interacts with NPM1 (nucleophosmin/B23) and increases its protein stability, resisting cell apoptosis.",2848-62,"Erythroid differentiation-associated gene (EDAG) is a haematopoietic tissue-specific transcription regulator that plays a key role in maintaining the homeostasis of haematopoietic lineage commitment. In acute myeloid leukaemia (AML) patients, the high expression level of EDAG is associated with poor prognosis. NPM1 (nucleophosmin/B23), a ubiquitous nucleolar phosphoprotein, comprises a multifunctional protein that is involved in several cellular processes, including ribosome biogenesis, centrosome duplication, cell cycle progression, cell growth and transformation. Various studies have implicated NPM1 overexpression in promoting tumour cell proliferation, blocking the differentiation of leukaemia cells and resisting apoptosis. In the present study, using co-immunoprecipitation, we characterized EDAG as a physiological binding partner of NPM1; The N-terminal (amino acids 1-124) region of EDAG interacts with the N-terminal (amino acids 118-187) of NPM1. Under cycloheximide treatment, the stability of NPM1 protein was enhanced by EDAG overexpression, whereas knockdown of EDAG by lentivirus-mediated small interfering RNA resulted in an increased degradation rate of NPM1 in K562 cells. During 4beta-phorbol l2-myristate 13-acetate-induced K562 megakaryocytic differentiation, overexpression of EDAG prevented the down-regulation of NPM1 proteins, whereas knockdown of EDAG accelerated the down-regulation of NPM1. EDAG deletion mutant lacking the binding domain with NPM1 lost the ability to stabilize NPM1 protein. Furthermore, knockdown of EDAG in K562 cells led to increased cell apoptosis induced by imatinib, and re-expression of NPM1 attenuated the increased apoptosis. These results suggest that EDAG enhances the protein stability of NPM1 via binding to NPM1, which plays a critical role in the anti-apoptosis of leukaemia cells.","['Zhang, Mei-Jiang', 'Ding, Ya-Li', 'Xu, Cheng-Wang', 'Yang, Yang', 'Lian, Wen-Xi', 'Zhan, Yi-Qun', 'Li, Wei', 'Xu, Wang-Xiang', 'Yu, Miao', 'Ge, Chang-Hui', 'Ning, Hong-Mei', 'Li, Chang-Yan', 'Yang, Xiao-Ming']","['Zhang MJ', 'Ding YL', 'Xu CW', 'Yang Y', 'Lian WX', 'Zhan YQ', 'Li W', 'Xu WX', 'Yu M', 'Ge CH', 'Ning HM', 'Li CY', 'Yang XM']","['Department of Pharmaceutical Engineering, Tianjin University, Tianjin, China.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120705,England,FEBS J,The FEBS journal,101229646,,2012/06/21 06:00,2012/10/10 06:00,['2012/06/21 06:00'],"['2012/06/21 06:00 [entrez]', '2012/06/21 06:00 [pubmed]', '2012/10/10 06:00 [medline]']",['10.1111/j.1742-4658.2012.08663.x [doi]'],ppublish,FEBS J. 2012 Aug;279(16):2848-62. doi: 10.1111/j.1742-4658.2012.08663.x. Epub 2012 Jul 5.,20121009,10.1111/j.1742-4658.2012.08663.x [doi],,,"['0 (Benzamides)', '0 (HEMGN protein, human)', '0 (NPM1 protein, human)', '0 (Nuclear Proteins)', '0 (Piperazines)', '0 (Pyrimidines)', '117896-08-9 (Nucleophosmin)', '8A1O1M485B (Imatinib Mesylate)', '98600C0908 (Cycloheximide)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Apoptosis/*drug effects', 'Benzamides', 'Cycloheximide/pharmacology', 'Down-Regulation/drug effects', 'Gene Knockdown Techniques', 'HEK293 Cells', 'Humans', 'Imatinib Mesylate', 'Immunoprecipitation', 'K562 Cells', 'Leukemia, Myeloid, Acute/drug therapy/metabolism', 'Nuclear Proteins/*metabolism', 'Nucleophosmin', 'Piperazines/therapeutic use', 'Pyrimidines/therapeutic use', 'Tetradecanoylphorbol Acetate/pharmacology']",,['(c) 2012 The Authors Journal compilation (c) 2012 FEBS.'],,,,,,,,,,,,,,,
