PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,CIN,CI,GR,MID,OTO,OT,CON,SI,TT,ECI,EIN,OID,CN,RIN,GN,IR,FIR,COIS,PS,FPS,ROF
22845317,NLM,MEDLINE,20121203,20151119,1465-3338 (Electronic) 0307-9457 (Linking),41,1,2012,The long view: 40 years of avian leukosis research.,11-9,10.1080/03079457.2011.646237 [doi],"['Payne, L N', 'Nair, V']","['Payne LN', 'Nair V']",['eng'],"['Historical Article', 'Journal Article', 'Review']",,England,Avian Pathol,Avian pathology : journal of the W.V.P.A,8210638,"['0 (Retroviridae Proteins)', '0 (avian retrovirus proteins)']",IM,"['Animals', 'Avian Leukosis/*pathology/*virology', 'Avian Leukosis Virus/*genetics/metabolism', 'History, 20th Century', 'History, 21st Century', 'Poultry', 'Research/*history', 'Retroviridae Proteins/*genetics']",,2012/08/01 06:00,2012/12/10 06:00,['2012/08/01 06:00'],"['2012/08/01 06:00 [entrez]', '2012/08/01 06:00 [pubmed]', '2012/12/10 06:00 [medline]']",['10.1080/03079457.2011.646237 [doi]'],ppublish,Avian Pathol. 2012;41(1):11-9. doi: 10.1080/03079457.2011.646237.,"The present review is aimed at the non-specialist reader and is one of a number being written on important diseases of poultry to celebrate the 40th anniversary of the birth of Avian Pathology, the journal of the World Veterinary Poultry Association. The diseases of the avian leukosis complex have a number of features of distinction. They were the first neoplastic diseases in any species to be shown, 100 years ago, to be transmissible and caused by viruses, and have consequently been studied extensively by biomedical scientists as models for the role of viruses in cancer. They also became, from around the 1920s, the major cause of mortality and economic loss to the developed poultry industry, and were studied by agricultural scientists searching to understand and control them. The remit of the review is to cover research carried out over the 40 years since 1971, when the journal was founded. In this review on avian leukosis, an introductory summary is given of knowledge acquired over the preceding 60 years. Subsequently a selection is provided of discoveries, both fundamental and more applied, that seem to us to be of particular importance and interest. Much of the work was carried out by biomedical scientists interested in cancer. Probably the most significant was the discovery in the avian retroviruses of oncogenes that cause leukosis and other tumours and of their origin from proto-oncogenes in normal cells. These oncogenes are involved in cancer in many species, including chickens and humans. Other work was performed by agricultural scientists interested in poultry disease. Interests of the two groups have overlapped, particularly as a result of a shift of emphasis to molecular biology research.","['2 Manor Green, Harwell, Didcot, Oxon, UK.']",,,,,,,,,,,,,,,,,,,,,
22845170,NLM,MEDLINE,20130214,20211021,1365-2141 (Electronic) 0007-1048 (Linking),159,1,2012 Oct,Multiple clonal MLL fusions in a patient receiving CHOP-based chemotherapy.,50-7,10.1111/j.1365-2141.2012.09248.x [doi],"['Shih, Shyh-Jen', 'Fass, Joseph', 'Buffalo, Vincent', 'Lin, Dawei', 'Singh, Sheetal P', 'Diaz, Manuel O', 'Vaughan, Andrew T']","['Shih SJ', 'Fass J', 'Buffalo V', 'Lin D', 'Singh SP', 'Diaz MO', 'Vaughan AT']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20120730,England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 3.5.4.5 (Cytidine Deaminase)', 'VB0R961HZT (Prednisone)', 'CHOP protocol']",IM,"['Amino Acid Sequence', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/adverse effects/*therapeutic use', 'Base Sequence', 'Cyclophosphamide/administration & dosage/adverse effects', 'Cytidine Deaminase/genetics/metabolism', 'DNA-Binding Proteins/genetics', 'Doxorubicin/administration & dosage/adverse effects', 'Gene Fusion', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Leukemia, Myeloid, Acute/blood/chemically induced/enzymology/genetics', 'Lymphoma, Large B-Cell, Diffuse/blood/*drug therapy/enzymology/*genetics', 'Molecular Sequence Data', 'Mutation', 'Myeloid-Lymphoid Leukemia Protein/*genetics', 'Prednisone/administration & dosage/adverse effects', 'Transcription Factors/genetics', 'Translocation, Genetic', 'Vincristine/administration & dosage/adverse effects']",PMC3444640,2012/08/01 06:00,2013/02/15 06:00,['2012/08/01 06:00'],"['2012/04/06 00:00 [received]', '2012/06/25 00:00 [accepted]', '2012/08/01 06:00 [entrez]', '2012/08/01 06:00 [pubmed]', '2013/02/15 06:00 [medline]']",['10.1111/j.1365-2141.2012.09248.x [doi]'],ppublish,Br J Haematol. 2012 Oct;159(1):50-7. doi: 10.1111/j.1365-2141.2012.09248.x. Epub 2012 Jul 30.,"MLL rearrangements were analysed in the blood of a patient receiving chemotherapy for diffuse large B-cell lymphoma using inverse polymerase chain reaction targeting exon 12, parallel sequencing and a custom algorithm design. Of thirteen MLL rearrangements detected, five were capable of generating MLL fusion genes, including MLL-MLLT3, the most common fusion in acute myeloid leukaemia (AML). Other fusions, all previously clinically unobserved, included MLL-NKD1, a fusion to the negative regulator of Wnt/beta-catenin signaling, a pathway linked to leukaemic cell proliferation. The majority of the fusions exhibited clonal persistence from before treatment until 6 months post-chemotherapy, suggesting the fusions may confer a survival advantage to the mutant clone. MLL breakpoints were partly clustered at a specific location, indicating commonality in the process of their formation. Further, the same MLL breakpoint location exhibited a 50-100-fold increase in C to T transitions, consistent with attack by activation-induced cytidine deaminase (AICDA). As is also observed in AML and acute lymphoblastic leukaemia, in this single patient setting, MLL is capable of interacting with multiple fusion partners. This finding defines a discrete site of MLL susceptibility to fragmentation, linked to possible deregulation of AICDA function.","['Department of Radiation Oncology, University of California Davis, Sacramento, CA 95817, USA.']",,['(c) 2012 Blackwell Publishing Ltd.'],"['P01 CA105049/CA/NCI NIH HHS/United States', 'CA10504/CA/NCI NIH HHS/United States']",['NIHMS391121'],,,,,,,,,,,,,,,,,
22845006,NLM,MEDLINE,20130214,20120917,1365-2141 (Electronic) 0007-1048 (Linking),159,1,2012 Oct,Regression of a renal cell carcinoma following allogeneic peripheral blood stem cell transplant for acute myeloid leukaemia: evidence of a graft-versus-tumour effect without significant graft-versus-host disease.,1,10.1111/j.1365-2141.2012.09238.x [doi],"['Scott, Martin', 'Lawrance, Jeremy', 'Dennis, Mike']","['Scott M', 'Lawrance J', 'Dennis M']",['eng'],"['Case Reports', 'Journal Article']",20120727,England,Br J Haematol,British journal of haematology,0372544,,IM,"['Aged', 'Carcinoma, Renal Cell/*immunology/pathology', 'Graft vs Tumor Effect/*immunology', 'Humans', 'Kidney Neoplasms/*immunology/pathology', 'Leukemia, Myeloid, Acute/*immunology/*surgery', 'Male', 'Neoplasm Regression, Spontaneous', 'Peripheral Blood Stem Cell Transplantation/*methods', 'Transplantation Conditioning/methods', 'Transplantation, Homologous', 'Treatment Outcome']",,2012/08/01 06:00,2013/02/15 06:00,['2012/08/01 06:00'],"['2012/08/01 06:00 [entrez]', '2012/08/01 06:00 [pubmed]', '2013/02/15 06:00 [medline]']",['10.1111/j.1365-2141.2012.09238.x [doi]'],ppublish,Br J Haematol. 2012 Oct;159(1):1. doi: 10.1111/j.1365-2141.2012.09238.x. Epub 2012 Jul 27.,,"['Haematology and Transplant Unit, The Christie Hospital NHS Foundation Trust, Manchester, UK. martinscott@doctors.org.uk']",,,,,,,,,,,,,,,,,,,,,
22844756,NLM,MEDLINE,20121011,20180222,0029-0831 (Print) 0029-0831 (Linking),44,4,2012 Jul,[A 13-year-old girl with acute lymphocystic leukemia who caused headache and vomiting during chronic graft versus host disease].,275-6,,"['Komatsu, H']",['Komatsu H'],['jpn'],"['Case Reports', 'Journal Article']",,Japan,No To Hattatsu,No to hattatsu = Brain and development,0215224,['0 (Immunosuppressive Agents)'],IM,"['Adolescent', 'Brain/pathology/physiopathology', 'Female', 'Graft vs Host Disease/complications/diagnosis/*drug therapy', 'Headache/*etiology', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Peripheral Blood Stem Cell Transplantation', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*therapy', 'Vomiting/*etiology']",,2012/08/01 06:00,2012/10/12 06:00,['2012/08/01 06:00'],"['2012/08/01 06:00 [entrez]', '2012/08/01 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",,ppublish,No To Hattatsu. 2012 Jul;44(4):275-6.,,['ohta_hiroko@kurume-u.ac.jp'],,,,,,,,,,,,,,,,,,,,,
22844683,NLM,MEDLINE,20120814,20161125,1167-7422 (Print) 1167-7422 (Linking),21,127,2012 May,Romiplostim: leukaemia after myelodysplastic syndromes.,129,,,,['eng'],['Journal Article'],,France,Prescrire Int,Prescrire international,9439295,"['0 (Receptors, Fc)', '0 (Receptors, Thrombopoietin)', '0 (Recombinant Fusion Proteins)', '9014-42-0 (Thrombopoietin)', 'GN5XU2DXKV (romiplostim)']",,"['Clinical Trials as Topic', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Myelodysplastic Syndromes/complications/*drug therapy', 'Purpura, Thrombocytopenic/etiology/*prevention & control', 'Receptors, Fc/therapeutic use', 'Receptors, Thrombopoietin/*agonists', 'Recombinant Fusion Proteins/*adverse effects/therapeutic use', 'Thrombopoietin/*adverse effects/therapeutic use']",,2012/08/01 06:00,2012/08/15 06:00,['2012/08/01 06:00'],"['2012/08/01 06:00 [entrez]', '2012/08/01 06:00 [pubmed]', '2012/08/15 06:00 [medline]']",,ppublish,Prescrire Int. 2012 May;21(127):129.,,,,,,,,,,,,,,,,,,,,,,,
22844672,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,"[Immunotherapy with allogeneic NK cells after stem cell transplantation: harnessing a potent ""killer"" of tumor cells].",239-45,,"['Kloss, Stephan', 'Kohl, Ulrike']","['Kloss S', 'Kohl U']",['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,,IM,"['Cytotoxicity, Immunologic', 'Humans', 'Immunotherapy', 'Killer Cells, Natural/*immunology', 'Leukemia/*therapy', 'Monitoring, Immunologic', 'Stem Cell Transplantation/*methods']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200474 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):239-45. doi: 10.1002/pauz.201200474.,,"['Zentrum fur Kinder- und Jugendmedizin, Frankfurt.']",,,,,,,,,"Immuntherapien mit allogenen NK-Zellen nach Stammzelltransplantation : Potente ""Killer"" von Tumorzellen nutzbar machen.",,,,,,,,,,,,
22844671,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Sequelae after successful treatment of ALL in childhood and adolescence: follow-up is precautionary].,234-8,,"['Langer, Thorsten']",['Langer T'],['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,"['0 (Antibiotics, Antineoplastic)']",IM,"['Antibiotics, Antineoplastic/adverse effects', 'Child', 'Fertility/physiology', 'Heart Diseases/chemically induced', 'Humans', 'Long-Term Care', 'Myocardial Infarction/complications', 'Nervous System Diseases/etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*therapy', 'Puberty/physiology']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200473 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):234-8. doi: 10.1002/pauz.201200473.,,"['Kinder- und Jugendklinik, Abteilung fur Hamatologie, Onkologie und Zelltherapie, Erlangen. thorsten.langer@uk-erlangen.de']",,,,,,,,,Spatfolgen nach erfolgreicher Therapie einer ALL im Kindes- und Jugendalter : Nachsorge ist Vorsorge.,,,,,,,,,,,,
22844670,NLM,MEDLINE,20121010,20191210,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Infectious complications in acute lymphoblastic leukemia: Individually tailored prevention and treatment].,228-33,,"['Lehrnbecher, Thomas']",['Lehrnbecher T'],['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)']",IM,"['Anti-Bacterial Agents/therapeutic use', 'Antineoplastic Agents/adverse effects', 'Child', 'Humans', 'Immunity/drug effects', 'Infection Control/*methods', 'Infections/*drug therapy/*etiology/microbiology', 'Leukemia, Myeloid/complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200472 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):228-33. doi: 10.1002/pauz.201200472.,,"['Padiatrische Hamatologie, Onkologie und Hamostaseologie, Zentrum fur Kinder- und Jugendmedizin - Klinik III, Klinikum der Johann Wolfgang Goethe-Universitat Frankfurt am Main, Frankfurt, Deutschland. Thomas.Lehrnbecher@kgu.de']",,,,,,,,,Infektiose Komplikationen bei akuter lymphatischer Leukamie : Individuell zugeschnittene Prophylaxe und Therapie.,,,,,,,,,,,,
22844669,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Stem cell transplantation for acute leukemias: Balancing risks and benefits of different treatment methods].,222-7,,"['Klingebiel, Thomas', 'Bader, Peter']","['Klingebiel T', 'Bader P']",['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,,IM,"['Bone Marrow Transplantation', 'Child', 'Cord Blood Stem Cell Transplantation', 'Humans', 'Philadelphia Chromosome', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/*therapy', 'Risk Assessment', '*Stem Cell Transplantation/adverse effects/methods', 'Survival']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200471 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):222-7. doi: 10.1002/pauz.201200471.,,"['Zentrum fur Kinder- und Jugendmedizin, Klinik II/III (Padiatrische Hamatologie und Onkologie), Klinikum der Goethe Universitat, Frankfurt. thomas.klingebiel@kgu.de']",,,,,,,,,Stammzelltransplantation bei akuten Leukamien : Abwagen von Risiken und Nutzen verschiedener Behandlungsverfahren.,,,,,,,,,,,,
22844668,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Treatment of children and adolescents with relapsed ALL: therapy target long-term healing].,214-21,,"['Tallen, Gesche', 'Henze, Gunter', 'von Stackelberg, Arend']","['Tallen G', 'Henze G', 'von Stackelberg A']",['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Antineoplastic Agents/administration & dosage/*therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Critical Care', 'Humans', 'Palliative Care', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Recurrence']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200470 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):214-21. doi: 10.1002/pauz.201200470.,,"['Kinderklinik m. S. Hamatologie/Onkologie, Campus Virchow-Klinikum, Berlin. gesche.tallen@charite.de']",,,,,,,,,Behandlung von Kindern und Jugendlichen mit Rezidiv einer ALL : Therapieziel langfristige Heilung.,,,,,,,,,,,,
22844667,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Treatment of acute lymphoblastic leukemia in childhood: state of things and outlook for the future].,203-13,,"['Stanulla, Martin', 'Bourquin, Jean-Pierre']","['Stanulla M', 'Bourquin JP']",['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,"['0 (Antibodies, Neoplasm)', '0 (Antineoplastic Agents)']",IM,"['Acute Disease', 'Adolescent', 'Age of Onset', 'Antibodies, Neoplasm/therapeutic use', 'Antineoplastic Agents/therapeutic use', 'Child', 'Critical Care', 'Drug Resistance, Neoplasm', 'Humans', 'Infant', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/pathology/*therapy', 'Prognosis', 'Risk Assessment']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200469 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):203-13. doi: 10.1002/pauz.201200469.,,"['Kinderklinik am Universitatsklinikum, Schleswig-Holstein, Campus Kiel, Kiel. martin.stanulla@uk-sh.de']",,,,,,,,,Behandlung der akuten lymphoblastischen Leukamie im Kindesalter : Stand der Dinge und Ausblick in die Zukunft.,,,,,,,,,,,,
22844666,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Translocations of the MLL gene: New insights into high-risk leukemia].,196-200,,"['Marschalek, Rolf']",['Marschalek R'],['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,"['0 (Antineoplastic Agents)', '0 (Oncogene Proteins, Fusion)']",IM,"['Adult', 'Antineoplastic Agents/pharmacology/therapeutic use', 'Child', 'Epigenesis, Genetic', 'Humans', 'Leukemia, Myeloid/drug therapy/*genetics', 'Oncogene Proteins, Fusion/genetics', 'Promoter Regions, Genetic', 'Survival', 'Translocation, Genetic/drug effects/*genetics']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200468 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):196-200. doi: 10.1002/pauz.201200468.,,"['Universitat Frankfurt, Institut fur Pharmazeutische Biologie, Frankfurt am Main. Rolf.Marschalek@em.uni-frankfurt.de']",,,,,,,,,Translokationen des MLL-Gens : Neue Erkenntnisse zu Hochrisiko-Leukamien.,,,,,,,,,,,,
22844665,NLM,MEDLINE,20121010,20191112,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Genetic basis of leukemia: Serious consequences of chromosomal translocations].,190-5,,"['Marschalek, Rolf']",['Marschalek R'],['ger'],"['Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,,IM,"['Adult', 'Child', 'Humans', 'Leukemia/*genetics', 'Leukemia, Myeloid/genetics', 'Lymphoma/genetics', 'Mutation/genetics/physiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Translocation, Genetic/*genetics']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201200467 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):190-5. doi: 10.1002/pauz.201200467.,,"['Universitat Frankfurt, Institut fur Pharmazeutische Biologie, Frankfurt am Main. Rolf.Marschalek@em.uni-frankfurt.de']",,,,,,,,,Genetische Grundlagen von Leukamie-Erkrankungen : Gravierende Folgen chromosomaler Translokationen.,,,,,,,,,,,,
22844664,NLM,MEDLINE,20121010,20220114,1615-1003 (Electronic) 0048-3664 (Linking),41,3,2012 May,[Leukemia: A highly malignant disease].,186-9,,"['Marschalek, Rolf', 'Zundorf, Ilse', 'Dingermann, Theo']","['Marschalek R', 'Zundorf I', 'Dingermann T']",['ger'],"['Historical Article', 'Journal Article', 'Review']",,Germany,Pharm Unserer Zeit,Pharmazie in unserer Zeit,0337763,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '0 (Thiazoles)', '5688UTC01R (Tretinoin)', '8A1O1M485B (Imatinib Mesylate)', 'F41401512X (nilotinib)', 'RBZ1571X5H (Dasatinib)']",IM,"['Animals', 'Antineoplastic Agents/therapeutic use', 'Benzamides', 'Dasatinib', 'Disease Models, Animal', 'History, 19th Century', 'Humans', 'Imatinib Mesylate', 'Leukemia/diagnosis/genetics/pathology/*therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/history/pathology', 'Philadelphia Chromosome', 'Piperazines/therapeutic use', 'Pyrimidines/therapeutic use', 'Thiazoles/therapeutic use', 'Tretinoin/therapeutic use']",,2012/07/31 06:00,2012/10/12 06:00,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/10/12 06:00 [medline]']",['10.1002/pauz.201100466 [doi]'],ppublish,Pharm Unserer Zeit. 2012 May;41(3):186-9. doi: 10.1002/pauz.201100466.,,"['Universitat Frankfurt, Institut fur Pharmazeutische Biologie, Frankfurt am Main. Rolf.Marschalek@em.uni-frankfurt.de']",,,,,,,,,Leukamie : Eine hochmaligne Erkrankung.,,,,,,,,,,,,
22844610,NLM,PubMed-not-MEDLINE,20120823,20211021,2090-4606 (Electronic) 2090-4592 (Linking),2012,,2012,Cutaneous T-cell lymphoma in asians.,575120,10.5402/2012/575120 [doi],"['Jang, Min Soo', 'Kang, Dong Young', 'Park, Jong Bin', 'Kim, Sang Tae', 'Suh, Kee Suck']","['Jang MS', 'Kang DY', 'Park JB', 'Kim ST', 'Suh KS']",['eng'],['Journal Article'],20120715,Egypt,ISRN Dermatol,ISRN dermatology,101566611,,,,PMC3403505,2012/07/31 06:00,2012/07/31 06:01,['2012/07/31 06:00'],"['2012/04/22 00:00 [received]', '2012/05/20 00:00 [accepted]', '2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/07/31 06:01 [medline]']",['10.5402/2012/575120 [doi]'],ppublish,ISRN Dermatol. 2012;2012:575120. doi: 10.5402/2012/575120. Epub 2012 Jul 15.,"Cutaneous T-cell lymphoma describes a heterogeneous group of neoplasms of skin homing T cells that vary considerably in clinical presentation, histologic appearance, immunophenotype, and prognosis. This paper addresses the cutaneous T-cell lymphoma in Asians with respect to clinical-epidemiologic and histopathological features. Compared with Western countries, Asia usually has higher rates of cutaneous T-cell lymphomas such as extranodal NK/T-cell lymphoma, hydroa vacciniforme-like lymphoma, subcutaneous panniculitis T-cell lymphoma, and adult T-cell leukemia/lymphoma and lower rates of cutaneous B-cell lymphomas. Among many variants of mycosis fungoides, hypopigmented lesions, pityriasis lichenoides-like lesions, and ichthyosiform lesions are more prevalent in Asia than in the West. Adult T-cell leukemia/lymphoma is endemic in southwestern Japan especially in the Kyushu island. The clinicopathologic characteristics of cutaneous lymphoma vary according to geography, and this may be ascribed to genetic and environmental etiologic factors.","['Department of Dermatology, Kosin University College of Medicine, 34 Amnam-Dong, Seo-gu, Busan 602-702, Republic of Korea.']",,,,,,,,,,,,,,,,,,,,,
22844583,NLM,PubMed-not-MEDLINE,,20211021,2075-907X (Print) 2075-907X (Linking),3,S1,2012,Cell Trafficking in Chronic Lymphocytic Leukemia.,,-3 [pii],"['Davids, Matthew S', 'Burger, Jan A']","['Davids MS', 'Burger JA']",['eng'],['Journal Article'],20120221,United Arab Emirates,Open J Hematol,Open journal of hematology,101564042,,,,PMC3404599,2012/07/31 06:00,2012/07/31 06:01,['2012/07/31 06:00'],"['2012/07/31 06:00 [entrez]', '2012/07/31 06:00 [pubmed]', '2012/07/31 06:01 [medline]']",['10.13055/ojhmt_3_s1_03.120221 [doi]'],ppublish,Open J Hematol. 2012;3(S1). doi: 10.13055/ojhmt_3_s1_03.120221. Epub 2012 Feb 21.,"Chronic lymphocytic leukemia (CLL) is an indolent lymphoproliferative disorder characterized by both circulating peripheral disease as well as involvement of the lymph nodes and bone marrow. Increasing evidence suggests that the stromal microenvironment provides anti-apoptotic and pro-survival signals to CLL cells, and may contribute significantly to resistance to a wide variety of treatments. Our understanding of the complex interactions involved in CLL cell trafficking continues to grow. Chemokines and corresponding chemokine receptors are key factors for organizing CLL cell trafficking and homing and the complex cellular interactions between CLL and accessory cells. Important chemokines include CCL3, CCL4, and CCL22, which are released by CLL cells, and CXCL12, CXCL13, CXCL9, 10, 11, CCL 19, and CCL21, which are constitutively secreted by various stromal cells. Integrins such as VLA-4 (CD49d) as well as selectins and CD44 also likely play a role in directing CLL cell migration within the tissue microenvironments. Data are also emerging that other molecules such as MMP-9 and cytoskeletal proteins also contribute to CLL cell trafficking. Though this interplay is complex, it is critical that we improve our understanding of CLL cell trafficking to facilitate the development of novel therapies that target these pathways. Several drugs in clinical development, such as CXCR4 antagonists and PI3K, Btk, and Syk inhibitors appear to modulate CLL cell trafficking and CLL-stroma interactions. Here, we review the current understanding of the molecular interactions that underlie CLL cell trafficking and we highlight some of the promising approaches underway to target these pathways therapeutically in CLL.","['Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.']",,,"['L30 CA162376-01/CA/NCI NIH HHS/United States', 'T32 CA009172/CA/NCI NIH HHS/United States']",['NIHMS359497'],,,,,,,,,,,,,,,,,
