PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,CN,LA,GR,PT,DEP,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SI,CON,RF,PMC,MID,CIN,CI,OID,IR,FIR,TT,EIN,PS,FPS,OTO,OT,ROF
19387466,NLM,MEDLINE,20090923,20151119,1476-5551 (Electronic) 0887-6924 (Linking),23,9,2009 Sep,Involvement of mast cells by the malignant process in patients with Philadelphia chromosome negative myeloproliferative neoplasms.,1577-86,10.1038/leu.2009.85 [doi],"The Philadelphia chromosome negative myeloproliferative neoplasms (MPNs) are clonal hematologic malignancies frequently characterized by a mutation in JAK2 (JAK2V617F). Peripheral blood (PB) CD34(+) cells from patients with polycythemia vera (PV) and primary myelofibrosis (PMF) generated in vitro significantly fewer mast cells (MCs) than normal PB CD34(+) cells. The numbers of MC progenitors assayed from MPN CD34(+) cells were, however, similar to that assayed from normal CD34(+) cells. A higher percentage of the cultured MPN MCs expressed FcvarepsilonRIalpha, CD63 and CD69 than normal MCs, suggesting that cultured MPN MCs are associated with an increased state of MC activation. Further analysis showed that a higher proportion of cultured PV and PMF MCs underwent apoptosis in vitro. By using JAK2V617F, MplW515L and chromosomal abnormalities as clonality markers, we showed that the malignant process involved MPN MCs. JAK2V617F-positive MC colonies were assayable from the PB CD34(+) cells of each of the 17 JAK2V617F positive MPN patients studied. Furthermore, erlotinib, a JAK2 inhibitor, was able to inhibit JAK2V617F-positive PV MC progenitor cells, indicating that malignant MC progenitor cells are a potential cellular target for such JAK2 inhibitor-directed therapy.","['Wang, J', 'Ishii, T', 'Zhang, W', 'Sozer, S', 'Dai, Y', 'Mascarenhas, J', 'Najfeld, V', 'Zhao, Z J', 'Hoffman, R', 'Wisch, N', 'Xu, M']","['Wang J', 'Ishii T', 'Zhang W', 'Sozer S', 'Dai Y', 'Mascarenhas J', 'Najfeld V', 'Zhao ZJ', 'Hoffman R', 'Wisch N', 'Xu M']","['Division of Hematology/Oncology, Department of Medicine, Tisch Cancer Institute, New York, NY 10029-6574, USA.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",20090423,England,Leukemia,Leukemia,8704895,IM,"['Antigens, CD34/analysis', 'Cells, Cultured', 'Erlotinib Hydrochloride', 'Humans', 'Janus Kinase 2/genetics', 'Mast Cells/*physiology', 'Mutation', 'Polycythemia Vera/genetics/*pathology', 'Primary Myelofibrosis/genetics/*pathology', 'Quinazolines/pharmacology', 'Receptors, Thrombopoietin/genetics', 'Thrombocythemia, Essential/genetics/*pathology']",2009/04/24 09:00,2009/09/24 06:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/09/24 06:00 [medline]']","['leu200985 [pii]', '10.1038/leu.2009.85 [doi]']",ppublish,Leukemia. 2009 Sep;23(9):1577-86. doi: 10.1038/leu.2009.85. Epub 2009 Apr 23.,"['0 (Antigens, CD34)', '0 (Quinazolines)', '0 (Receptors, Thrombopoietin)', '143641-95-6 (MPL protein, human)', 'DA87705X9K (Erlotinib Hydrochloride)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",,,,,,,,,,,,,,,,,
19387465,NLM,MEDLINE,20090805,20130304,1476-5551 (Electronic) 0887-6924 (Linking),23,7,2009 Jul,A novel pedigree with heterozygous germline RUNX1 mutation causing familial MDS-related AML: can these families serve as a multistep model for leukemic transformation?,1364-6,10.1038/leu.2009.87 [doi],,"['Ripperger, T', 'Steinemann, D', 'Gohring, G', 'Finke, J', 'Niemeyer, C M', 'Strahm, B', 'Schlegelberger, B']","['Ripperger T', 'Steinemann D', 'Gohring G', 'Finke J', 'Niemeyer CM', 'Strahm B', 'Schlegelberger B']",,,['eng'],,"['Letter', ""Research Support, Non-U.S. Gov't""]",20090423,England,Leukemia,Leukemia,8704895,IM,"['Adolescent', 'Core Binding Factor Alpha 2 Subunit/*genetics', 'Female', '*Germ-Line Mutation', '*Heterozygote', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*complications', 'Male', '*Models, Biological', 'Myelodysplastic Syndromes/complications/*genetics', 'Pedigree']",2009/04/24 09:00,2009/08/06 09:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/08/06 09:00 [medline]']","['leu200987 [pii]', '10.1038/leu.2009.87 [doi]']",ppublish,Leukemia. 2009 Jul;23(7):1364-6. doi: 10.1038/leu.2009.87. Epub 2009 Apr 23.,['0 (Core Binding Factor Alpha 2 Subunit)'],,,,,,,,,,,,,,,,,
19387464,NLM,MEDLINE,20090923,20211203,1476-5551 (Electronic) 0887-6924 (Linking),23,9,2009 Sep,Wnt signaling pathway is epigenetically regulated by methylation of Wnt antagonists in acute myeloid leukemia.,1658-66,10.1038/leu.2009.86 [doi],"Activation of the Wnt signaling pathway has been implicated recently in the pathogenesis of leukemia. We studied the function of epigenetic regulation of the Wnt pathway and its prognostic relevance in acute myelogenous leukemia (AML). We used a methylation-specific polymerase chain reaction approach to analyze the promoter methylation status of a panel of Wnt antagonists including sFRP1, sFRP2, sFRP4, sFRP5, DKK1 and DKK3. Aberrant methylation of Wnt antagonists was detected in four AML cell lines and in up to 64% of AML marrow samples. Treatment of the cell lines with 5-aza-2'-deoxycytidine induced reexpression of methylated Wnt antagonists and inactivation of the Wnt pathway by downregulating the Wnt pathway genes cyclin D1, TCF1 and LEF1 and reducing nuclear localization of beta-catenin. In a subgroup of patients 60 years and younger with newly diagnosed AML and intermediate-risk cytogenetics, abnormal methylation of Wnt antagonists was associated with decreased 4-year relapse-free survival (28 vs 61%, respectively, P=0.03). Our results indicate a function of the epigenetic regulation of the Wnt pathway in predicting relapse in a subgroup of AML patients.","['Valencia, A', 'Roman-Gomez, J', 'Cervera, J', 'Such, E', 'Barragan, E', 'Bolufer, P', 'Moscardo, F', 'Sanz, G F', 'Sanz, M A']","['Valencia A', 'Roman-Gomez J', 'Cervera J', 'Such E', 'Barragan E', 'Bolufer P', 'Moscardo F', 'Sanz GF', 'Sanz MA']","['Department of Hematology, Hospital Universitario La Fe, Valencia, Spain.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090423,England,Leukemia,Leukemia,8704895,IM,"['Adult', 'Aged', 'Ataxia Telangiectasia Mutated Proteins', 'Azacitidine/analogs & derivatives/pharmacology', 'Cell Cycle/drug effects', 'Cell Cycle Proteins/genetics', 'Cell Line, Tumor', '*DNA Methylation', 'Decitabine', '*Epigenesis, Genetic', 'Female', 'Genes, bcl-1', 'Humans', 'Intercellular Signaling Peptides and Proteins/genetics', 'Leukemia, Myeloid, Acute/*genetics/mortality', 'Male', 'Membrane Proteins/genetics', 'Middle Aged', 'Prognosis', 'Promoter Regions, Genetic', 'Protein Serine-Threonine Kinases/genetics', '*Signal Transduction', 'Wnt Proteins/*antagonists & inhibitors/physiology']",2009/04/24 09:00,2009/09/24 06:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/09/24 06:00 [medline]']","['leu200986 [pii]', '10.1038/leu.2009.86 [doi]']",ppublish,Leukemia. 2009 Sep;23(9):1658-66. doi: 10.1038/leu.2009.86. Epub 2009 Apr 23.,"['0 (Cell Cycle Proteins)', '0 (DKK1 protein, human)', '0 (Intercellular Signaling Peptides and Proteins)', '0 (Membrane Proteins)', '0 (SFRP2 protein, human)', '0 (Wnt Proteins)', '776B62CQ27 (Decitabine)', 'EC 2.7.11.1 (ATR protein, human)', 'EC 2.7.11.1 (Ataxia Telangiectasia Mutated Proteins)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)', 'M801H13NRU (Azacitidine)']",,,,,,,,,,,,,,,,,
19387338,NLM,MEDLINE,20100112,20090701,1473-5741 (Electronic) 0959-4973 (Linking),20,6,2009 Jul,New cytotoxic rosamine derivatives selectively accumulate in the mitochondria of cancer cells.,461-8,10.1097/CAD.0b013e32832b7bee [doi],"Conventional cytotoxic anticancer drugs that target all rapidly dividing cells are nonselective in their mechanism of action, because they disrupt essential components that are crucial to both malignant and proliferating normal cells. Instead, targeting cellular functions that are distinctly different between normal and cancer cells may provide a basis for selective killing of tumor cells. One such strategy that is still largely unexplored is to utilize the relatively higher negative mitochondrial membrane potential in carcinoma cells compared with adjacent normal epithelial cells to enhance accumulation and retention of cytotoxic lipophilic cations in the former. In this study, the anticancer activities of a new class of rosamines with cyclic amine substituents and their structure-activity relationships were investigated. From an in-vitro cell growth inhibition assay, 14 of the rosamines inhibited the growth of human leukemia HL-60 cells by 50% at micromolar or lower concentrations. Derivatives containing hydrophilic substituents had less potent activity, whereas aryl substitution at the meso position conferred extra activity with thiofuran and para-iodo aryl substitutions being the most potent. In addition, both compounds were at least 10-fold more cytotoxic than rhodamine 123 against a panel of cell lines of different tissue origin and similar to rhodamine 123, exhibited more cytotoxicity against cancer cells compared with immortalized normal epithelial cells of the same organ type. In subsequent experiments, the para-iodo aryl substituted rosamine was found to localize exclusively within the mitochondria and induced apoptosis as the major mode of cell death. Our results suggest that these compounds offer potential for the design of mitochondria-targeting agents that either directly kill or deliver cytotoxic drugs to selectively kill cancer cells.","['Lim, Siang Hui', 'Wu, Liangxing', 'Burgess, Kevin', 'Lee, Hong Boon']","['Lim SH', 'Wu L', 'Burgess K', 'Lee HB']","['Cancer Research Initiatives Foundation (CARIF), Subang Jaya Medical Centre, Subang Jaya, Selangor Darul Ehsan, Malaysia.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Anticancer Drugs,Anti-cancer drugs,9100823,IM,"['Antineoplastic Agents/chemistry/*pharmacology', 'Apoptosis/drug effects', 'Cell Culture Techniques', 'Cell Cycle/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Humans', 'Inhibitory Concentration 50', 'Membrane Potential, Mitochondrial/drug effects', 'Mitochondria/drug effects/*metabolism', 'Molecular Structure', 'Structure-Activity Relationship', 'Xanthenes/chemistry/*pharmacology']",2009/04/24 09:00,2010/01/13 06:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2010/01/13 06:00 [medline]']",['10.1097/CAD.0b013e32832b7bee [doi]'],ppublish,Anticancer Drugs. 2009 Jul;20(6):461-8. doi: 10.1097/CAD.0b013e32832b7bee.,"['0 (Antineoplastic Agents)', '0 (Xanthenes)']",,,,,,,,,,,,,,,,,
19387020,NLM,MEDLINE,20090505,20090423,1533-4406 (Electronic) 0028-4793 (Linking),360,17,2009 Apr 23,Deletion of IKZF1 and prognosis in acute lymphoblastic leukemia.,1787; author reply 1787-8,10.1056/NEJMc090454 [doi],,"['Medeiros, Bruno C']",['Medeiros BC'],,,['eng'],,"['Comment', 'Letter']",,United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['*Gene Deletion', 'Gene Expression Profiling', 'Genes, abl', 'Humans', 'Ikaros Transcription Factor/*genetics', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis']",2009/04/24 09:00,2009/05/06 09:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/05/06 09:00 [medline]']","['360/17/1787 [pii]', '10.1056/NEJMc090454 [doi]']",ppublish,N Engl J Med. 2009 Apr 23;360(17):1787; author reply 1787-8. doi: 10.1056/NEJMc090454.,"['0 (IKZF1 protein, human)', '148971-36-2 (Ikaros Transcription Factor)']",,['N Engl J Med. 2009 Jan 29;360(5):470-80. PMID: 19129520'],,,,,,,,,,,,,,,
19387008,NLM,MEDLINE,20090716,20210206,1528-0020 (Electronic) 0006-4971 (Linking),113,24,2009 Jun 11,Frequent CBL mutations associated with 11q acquired uniparental disomy in myeloproliferative neoplasms.,6182-92,10.1182/blood-2008-12-194548 [doi],"Recent evidence has demonstrated that acquired uniparental disomy (aUPD) is a novel mechanism by which pathogenetic mutations in cancer may be reduced to homozygosity. To help identify novel mutations in myeloproliferative neoplasms (MPNs), we performed a genome-wide single nucleotide polymorphism (SNP) screen to identify aUPD in 58 patients with atypical chronic myeloid leukemia (aCML; n = 30), JAK2 mutation-negative myelofibrosis (MF; n = 18), or JAK2 mutation-negative polycythemia vera (PV; n = 10). Stretches of homozygous, copy neutral SNP calls greater than 20Mb were seen in 10 (33%) aCML and 1 (6%) MF, but were absent in PV. In total, 7 different chromosomes were involved with 7q and 11q each affected in 10% of aCML cases. CBL mutations were identified in all 3 cases with 11q aUPD and analysis of 574 additional MPNs revealed a total of 27 CBL variants in 26 patients with aCML, myelofibrosis or chronic myelomonocytic leukemia. Most variants were missense substitutions in the RING or linker domains that abrogated CBL ubiquitin ligase activity and conferred a proliferative advantage to 32D cells overexpressing FLT3. We conclude that acquired, transforming CBL mutations are a novel and widespread pathogenetic abnormality in morphologically related, clinically aggressive MPNs.","['Grand, Francis H', 'Hidalgo-Curtis, Claire E', 'Ernst, Thomas', 'Zoi, Katerina', 'Zoi, Christine', 'McGuire, Carolann', 'Kreil, Sebastian', 'Jones, Amy', 'Score, Joannah', 'Metzgeroth, Georgia', 'Oscier, David', 'Hall, Andrew', 'Brandts, Christian', 'Serve, Hubert', 'Reiter, Andreas', 'Chase, Andrew J', 'Cross, Nicholas C P']","['Grand FH', 'Hidalgo-Curtis CE', 'Ernst T', 'Zoi K', 'Zoi C', 'McGuire C', 'Kreil S', 'Jones A', 'Score J', 'Metzgeroth G', 'Oscier D', 'Hall A', 'Brandts C', 'Serve H', 'Reiter A', 'Chase AJ', 'Cross NC']","['Wessex Regional Genetics Laboratory, Salisbury, United Kingdom.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090422,United States,Blood,Blood,7603509,IM,"['Alternative Splicing', 'Amino Acid Sequence', 'Chromosomes, Human, Pair 11/*genetics', 'Genome, Human', 'Genome-Wide Association Study', 'Humans', 'Janus Kinase 2/genetics/metabolism', 'Microsatellite Repeats', 'Molecular Sequence Data', 'Mutation, Missense/*genetics', 'Myeloid Cells/metabolism/pathology', 'Myeloproliferative Disorders/*genetics', 'Polymorphism, Single Nucleotide/*genetics', 'Prognosis', 'Proto-Oncogene Proteins c-cbl/*genetics', 'Sequence Homology, Amino Acid', 'Survival Rate', 'Uniparental Disomy/*genetics', 'fms-Like Tyrosine Kinase 3/antagonists & inhibitors/genetics/metabolism']",2009/04/24 09:00,2009/07/17 09:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/07/17 09:00 [medline]']","['S0006-4971(20)37298-0 [pii]', '10.1182/blood-2008-12-194548 [doi]']",ppublish,Blood. 2009 Jun 11;113(24):6182-92. doi: 10.1182/blood-2008-12-194548. Epub 2009 Apr 22.,"['EC 2.3.2.27 (Proto-Oncogene Proteins c-cbl)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)', 'EC 2.7.10.2 (Janus Kinase 2)', 'EC 6.3.2.- (CBL protein, human)']",,,,,,,,,,,,,,,,,
19387007,NLM,MEDLINE,20090909,20210206,1528-0020 (Electronic) 0006-4971 (Linking),114,3,2009 Jul 16,Spontaneous regression of chronic lymphocytic leukemia: clinical and biologic features of 9 cases.,638-46,10.1182/blood-2008-12-196568 [doi],"In chronic lymphocytic leukemia (CLL), spontaneous regressions are an exceptional phenomenon, whose biologic features are unknown. We describe 9 CLL patients who underwent a spontaneous clinical regression over an 11-year follow-up, despite a residual neoplastic clone detected by flow cytometry. CD38 and ZAP-70 were negative in all cases. Immunoglobulin heavy chain variable region (IgVH) genes, mutated in all 7 evaluable patients, were restricted to the VH3 family in 6, with the usage of V(H)3-30 gene in 2. The light chain variable region genes were mutated in 6 of 8 cases, with the use of V(kappa)4-1 gene in 3. Microarray analysis of CLL cells showed a distinctive genomic profile with an overrepresentation of BCR-related and ribosomal genes, regulators of signal transduction and transcription. The number of activated T lymphocytes expressing IFN-gamma, TNF-alpha, and IL-4 was similar between CLL in spontaneous regression and healthy persons. In conclusion, spontaneous clinical regressions can occur in CLL despite the persistence of the neoplastic clone, and the biologic features include negative CD38 and ZAP-70, mutated V(H)3-30 and V(kappa)4-1 genes. The peculiar gene profile suggests that BCR signaling may play an important role in this scenario as the most significant feature of the leukemic clone in regression.","['Del Giudice, Ilaria', 'Chiaretti, Sabina', 'Tavolaro, Simona', 'De Propris, Maria Stefania', 'Maggio, Roberta', 'Mancini, Francesca', 'Peragine, Nadia', 'Santangelo, Simona', 'Marinelli, Marilisa', 'Mauro, Francesca Romana', 'Guarini, Anna', 'Foa, Robin']","['Del Giudice I', 'Chiaretti S', 'Tavolaro S', 'De Propris MS', 'Maggio R', 'Mancini F', 'Peragine N', 'Santangelo S', 'Marinelli M', 'Mauro FR', 'Guarini A', 'Foa R']","['Division of Hematology, Department of Cellular Biotechnologies and Hematology, Sapienza University, Via Benevento 6, Rome, Italy.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090422,United States,Blood,Blood,7603509,IM,"['ADP-ribosyl Cyclase 1/analysis', 'Adult', 'Aged', 'Clone Cells', 'Female', 'Follow-Up Studies', 'Gene Expression Profiling', 'Gene Expression Regulation, Leukemic', 'Genes, Immunoglobulin', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/immunology/*pathology', 'Male', 'Middle Aged', 'Receptors, Antigen, B-Cell/genetics', '*Remission, Spontaneous', 'ZAP-70 Protein-Tyrosine Kinase/analysis']",2009/04/24 09:00,2009/09/10 06:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/09/10 06:00 [medline]']","['S0006-4971(20)37061-0 [pii]', '10.1182/blood-2008-12-196568 [doi]']",ppublish,Blood. 2009 Jul 16;114(3):638-46. doi: 10.1182/blood-2008-12-196568. Epub 2009 Apr 22.,"['0 (Receptors, Antigen, B-Cell)', 'EC 2.7.10.2 (ZAP-70 Protein-Tyrosine Kinase)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",,,,,,['Blood. 2009 Jul 16;114(3):498. PMID: 19608757'],,,,,,,,,,,
19386841,NLM,MEDLINE,20090716,20211020,1098-660X (Electronic) 0095-1137 (Linking),47,6,2009 Jun,Cutaneous infection caused by Macrophomina phaseolina in a child with acute myeloid leukemia.,1969-72,10.1128/JCM.02397-08 [doi],"We report a case of Macrophomina phaseolina skin infection in an immunocompromised child with acute myeloid leukemia, which was treated successfully with posaconazole without recurrence after a hematopoietic stem cell transplant. The fungus was identified by DNA sequencing using both the internal transcribed spacer and D1/D2 region of the 28S ribosomal DNA gene.","['Srinivasan, Ashok', 'Wickes, Brian L', 'Romanelli, Anna M', 'Debelenko, Larisa', 'Rubnitz, Jeffrey E', 'Sutton, Deanna A', 'Thompson, Elizabeth H', 'Fothergill, Annette W', 'Rinaldi, Michael G', 'Hayden, Randall T', 'Shenep, Jerry L']","['Srinivasan A', 'Wickes BL', 'Romanelli AM', 'Debelenko L', 'Rubnitz JE', 'Sutton DA', 'Thompson EH', 'Fothergill AW', 'Rinaldi MG', 'Hayden RT', 'Shenep JL']","[""Department of Oncology, St. Jude Children's Research Hospital, 262 Danny Thomas Place, MS 260, Memphis, TN 38105, USA. ashok.srinivasan@stjude.org""]",,['eng'],"['P30 CA021765/CA/NCI NIH HHS/United States', 'T32 DE014318/DE/NIDCR NIH HHS/United States', 'P30 CA 21765/CA/NCI NIH HHS/United States', 'DE14318/DE/NIDCR NIH HHS/United States']","['Case Reports', 'Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",20090422,United States,J Clin Microbiol,Journal of clinical microbiology,7505564,IM,"['Antifungal Agents/therapeutic use', 'Ascomycota/*isolation & purification', 'Child', 'DNA, Fungal/chemistry/genetics', 'DNA, Ribosomal Spacer/chemistry/genetics', 'Dermatomycoses/*diagnosis/drug therapy/microbiology', 'Female', 'Humans', 'Immunocompromised Host', 'Leukemia, Myeloid, Acute/*complications', 'Molecular Sequence Data', 'Sequence Analysis, DNA', 'Skin/pathology', 'Triazoles/therapeutic use']",2009/04/24 09:00,2009/07/17 09:00,['2009/04/24 09:00'],"['2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/07/17 09:00 [medline]']","['JCM.02397-08 [pii]', '10.1128/JCM.02397-08 [doi]']",ppublish,J Clin Microbiol. 2009 Jun;47(6):1969-72. doi: 10.1128/JCM.02397-08. Epub 2009 Apr 22.,"['0 (Antifungal Agents)', '0 (DNA, Fungal)', '0 (DNA, Ribosomal Spacer)', '0 (Triazoles)', '6TK1G07BHZ (posaconazole)']","['GENBANK/FJ415067', 'GENBANK/FJ415068']",,,PMC2691108,,,,,,,,,,,,,
19386541,NLM,MEDLINE,20090710,20090602,1873-5967 (Electronic) 1386-6532 (Linking),45,2,2009 Jun,Age and gender specific prevalence of HTLV-1.,135-8,10.1016/j.jcv.2009.03.012 [doi],"BACKGROUND: The seroprevalence of Human T-cell Leukemia Virus Type 1 (HTLV-1) is female predominant despite the higher incidence of Adult T-cell Leukemia (ATL) in males. If the mother-to-child transmission of HTLV-1 is more common for male infants than in female infants, longer exposure to the virus for males may explain the paradoxically higher incidence of ATL. OBJECTIVES: To test the hypothesis that the seroprevalence of HTLV-1 is male predominant during adolescence. STUDY DESIGN: The presence of HTLV-1 antibody in 272,043 blood samples donated to a regional blood bank in an HTLV-1 high-endemic region was assessed. RESULTS: The entire population of female donors had a significantly higher seroprevalence compared to males (2.05% and 1.80%, respectively, p<0.0001). However, compared with male donors, the carrier rate for female donors was lower for the youngest subgroup (16-19 years, p=0.0011); was similar for the next two age subgroups (20-29 years and 30-39 years); and was significantly higher for the last two age subgroups (40-49 years and over 50-64 years, both p<0.0001). In general, older age subgroups led to higher seroprevalence in both genders. CONCLUSIONS: HTLV-1 infection is more common for males until after age 20, when male to female sexual transmission becomes likely. This suggests that mother-to-child transmission is more common for males.","['Eshima, Nobuoki', 'Iwata, Osuke', 'Iwata, Sachiko', 'Tabata, Minoru', 'Higuchi, Yasunori', 'Matsuishi, Toyojiro', 'Karukaya, Shigeru']","['Eshima N', 'Iwata O', 'Iwata S', 'Tabata M', 'Higuchi Y', 'Matsuishi T', 'Karukaya S']","['Department of Biostatistics, Faculty of Medicine, Oita University, Oita 879-5593, Japan.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090421,Netherlands,J Clin Virol,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,9815671,IM,"['Adolescent', 'Adult', 'Age Factors', 'Antibodies, Viral/blood', 'Female', 'HTLV-I Infections/*epidemiology/transmission/virology', 'Human T-lymphotropic virus 1/*isolation & purification', 'Humans', 'Infectious Disease Transmission, Vertical', 'Male', 'Middle Aged', 'Seroepidemiologic Studies', 'Sex Factors', 'Young Adult']",2009/04/24 09:00,2009/07/11 09:00,['2009/04/24 09:00'],"['2008/12/10 00:00 [received]', '2009/03/18 00:00 [revised]', '2009/03/18 00:00 [accepted]', '2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/07/11 09:00 [medline]']","['S1386-6532(09)00127-9 [pii]', '10.1016/j.jcv.2009.03.012 [doi]']",ppublish,J Clin Virol. 2009 Jun;45(2):135-8. doi: 10.1016/j.jcv.2009.03.012. Epub 2009 Apr 21.,"['0 (Antibodies, Viral)']",,,,,,,,,,,,,,,,,
19386523,NLM,MEDLINE,20090907,20211020,1096-0961 (Electronic) 1079-9796 (Linking),43,1,2009 Jul-Aug,Post-translational modifications of Runx1 regulate its activity in the cell.,30-4,10.1016/j.bcmd.2009.03.005 [doi],"In this report we review the current knowledge of the interaction of RUNX1(AML1) with serine/threonine kinases, lysine and arginine methyltransferases, lysine acetyltransferases, and histone deacetylases. We also discuss the effect of RUNX1-ETO fusion gene on DNA methylation. RUNX1 post-transcriptional modification can affect its role in influencing differentiation and self-renewal of hematopoietic cells. The goal of these studies is to develop targets for improved leukemia therapy.","['Wang, Lan', 'Huang, Gang', 'Zhao, Xinyang', 'Hatlen, Megan A', 'Vu, Ly', 'Liu, Fan', 'Nimer, Stephen D']","['Wang L', 'Huang G', 'Zhao X', 'Hatlen MA', 'Vu L', 'Liu F', 'Nimer SD']","['Sloan Kettering Institute, Memorial Sloan-Kettering Cancer Center, New York, NY 10065, USA.']",,['eng'],"['R01 DK043025-10/DK/NIDDK NIH HHS/United States', 'R01 DK052621/DK/NIDDK NIH HHS/United States', 'R01 DK052621-08/DK/NIDDK NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20090421,United States,Blood Cells Mol Dis,"Blood cells, molecules & diseases",9509932,IM,"['Acetyltransferases/metabolism', 'Animals', 'Core Binding Factor Alpha 2 Subunit/chemistry/*genetics/*metabolism', 'DNA Methylation', 'Histone Deacetylases/metabolism', 'Humans', 'Methyltransferases/metabolism', '*Protein Processing, Post-Translational']",2009/04/24 09:00,2009/09/08 06:00,['2009/04/24 09:00'],"['2009/03/19 00:00 [received]', '2009/03/23 00:00 [accepted]', '2009/04/24 09:00 [entrez]', '2009/04/24 09:00 [pubmed]', '2009/09/08 06:00 [medline]']","['S1079-9796(09)00065-5 [pii]', '10.1016/j.bcmd.2009.03.005 [doi]']",ppublish,Blood Cells Mol Dis. 2009 Jul-Aug;43(1):30-4. doi: 10.1016/j.bcmd.2009.03.005. Epub 2009 Apr 21.,"['0 (Core Binding Factor Alpha 2 Subunit)', 'EC 2.1.1.- (Methyltransferases)', 'EC 2.3.1.- (Acetyltransferases)', 'EC 3.5.1.98 (Histone Deacetylases)']",,,59,PMC2743917,['NIHMS125105'],,,,,,,,,,,,
