PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,AD,CI,RF,GR,EIN,DEP,CN,CON,CIN,MID,SI,LID,UIN,UOF
13040217,NLM,MEDLINE,20030501,20181201,0300-9092 (Print) 0300-9092 (Linking),1,,1953 Jan-Feb,[Leukemia like blood reaction in puerperal infection].,67-8,"['EVNIN, I A I', 'CHERNIAK, F S']","['EVNIN IA', 'CHERNIAK FS']",['und'],['Journal Article'],Russia (Federation),Akush Ginekol (Mosk),Akusherstvo i ginekologiia,0370456,,OM,"['*Diagnosis, Differential', 'Female', 'Humans', '*Leukemia', 'Pregnancy', 'Puerperal Infection/*diagnosis']",['CLML: 5324:10504:555'],['NLM'],['*PUERPERAL INFECTION/differential diagnosis'],1953/01/01 00:00,1953/01/01 00:01,['1953/01/01 00:00'],"['1953/01/01 00:00 [pubmed]', '1953/01/01 00:01 [medline]', '1953/01/01 00:00 [entrez]']",ppublish,Akush Ginekol (Mosk). 1953 Jan-Feb;1:67-8.,,O leikemoidnoi reaktsii krovi pri rodovom sepsise.,,,,,,,,,,,,,,,,
13040140,NLM,MEDLINE,20030501,20181201,0365-6403 (Print) 0365-6403 (Linking),8,2,1953 Jan 9,[Electrophoresis of blood proteins in leukemias].,30-3,"['KANZOW, U']",['KANZOW U'],['und'],['Journal Article'],Germany,Arztl Wochensch,Arztliche Wochenschrift,14640350R,['0 (Blood Proteins)'],OM,"['*Blood Proteins', '*Electrophoresis', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid/*blood']",['CLML: 5324:10427:102:361:362'],['NLM'],"['*BLOOD PROTEINS', '*LEUKEMIA, LYMPHATIC/blood in', '*LEUKEMIA, MYELOCYTIC/blood in']",1953/01/09 00:00,1953/01/09 00:01,['1953/01/09 00:00'],"['1953/01/09 00:00 [pubmed]', '1953/01/09 00:01 [medline]', '1953/01/09 00:00 [entrez]']",ppublish,Arztl Wochensch. 1953 Jan 9;8(2):30-3.,,Elektrophoretische Serumeiweissuntersuchungen bei Leukamien.,,,,,,,,,,,,,,,,
13039963,NLM,MEDLINE,20030501,20181201,0365-463X (Print) 0365-463X (Linking),272,,1952,Treatment of lymphomatous diseases with triethylene melamine.,1-36,"['MEYER, L M', 'SCHWARTZ, S O', 'SAWITSKY, A', 'BEYERS, M R', 'RITZ, N D', 'BRAHIN, C', 'DIEFENBACH, W', 'KLEINSCHMIDT, W', 'FRIEDMAN, I']","['MEYER LM', 'SCHWARTZ SO', 'SAWITSKY A', 'BEYERS MR', 'RITZ ND', 'BRAHIN C', 'DIEFENBACH W', 'KLEINSCHMIDT W', 'FRIEDMAN I']",['eng'],['Journal Article'],Sweden,Acta Med Scand Suppl,Acta medica Scandinavica. Supplementum,0370331,['F7IY6HZG9D (Triethylenemelamine)'],OM,"['Hodgkin Disease/*therapy', 'Leukemia/*therapy', '*Lymphoma', 'Lymphoma, Non-Hodgkin/*therapy', 'Triethylenemelamine/*therapeutic use']",['CLML: 5324:10250:303:361:383:662'],['NLM'],"[""*HODGKIN'S DISEASE/therapy"", '*LEUKEMIA/therapy', '*LYMPHOSARCOMA/therapy', '*TRIETHYLENE MELAMINE/therapeutic use']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Acta Med Scand Suppl. 1952;272:1-36.,,,,,,,,,,,,,,,,,,
13039937,NLM,MEDLINE,20030501,20181201,0001-5989 (Print) 0001-5989 (Linking),4,1,1953,"The histamine content of granulocytes, as a possible characteristic of myelocytic leukaemia.",17-34,"['BIKICH, G', 'BORBOLA, J', 'TANOS, B', 'KELEMEN, E']","['BIKICH G', 'BORBOLA J', 'TANOS B', 'KELEMEN E']","['eng', 'und']",['Journal Article'],Hungary,Acta Med Acad Sci Hung,Acta medica Academiae Scientiarum Hungaricae,0370323,['820484N8I3 (Histamine)'],OM,"['*Granulocytes', '*Histamine', 'Humans', 'Leukemia, Myeloid/*blood', '*Leukocyte Count', '*Leukocytes']",['CLML: 5324:10224:301:362:362'],['NLM'],"['*HISTAMINE', '*LEUKEMIA, MYELOCYTIC/blood in', '*LEUKOCYTES']",1953/01/01 00:00,1953/01/01 00:01,['1953/01/01 00:00'],"['1953/01/01 00:00 [pubmed]', '1953/01/01 00:01 [medline]', '1953/01/01 00:00 [entrez]']",ppublish,Acta Med Acad Sci Hung. 1953;4(1):17-34.,,,,,,,,,,,,,,,,,,
13039846,NLM,MEDLINE,20030501,20181201,1784-3286 (Print) 1784-3286 (Linking),7,6,1952 Nov-Dec,[Leukemoid reaction with undetermined etiology; diagnostic and therapeutical comments].,573-9,"['DELCOURT, A', 'DELCOURT, R']","['DELCOURT A', 'DELCOURT R']",['und'],['Journal Article'],England,Acta Clin Belg,Acta clinica Belgica,0370306,,OM,"['Humans', '*Leukemia', '*Leukemoid Reaction', '*Lymphocytosis', '*Splenomegaly']",['CLML: 5324:10133:361:382:614'],['NLM'],"['*LEUKEMIA', '*LYMPHOCYTOSIS', '*SPLENOMEGALY']",1952/11/01 00:00,1952/11/01 00:01,['1952/11/01 00:00'],"['1952/11/01 00:00 [pubmed]', '1952/11/01 00:01 [medline]', '1952/11/01 00:00 [entrez]']",ppublish,Acta Clin Belg. 1952 Nov-Dec;7(6):573-9.,,Reaction leucemoide a etiologie indeterminee; considerations diagnostiques et therapeutiques.,,,,,,,,,,,,,,,,
13039612,NLM,MEDLINE,20030501,20190916,0888-2479 (Print) 0888-2479 (Linking),91,5,1953 May,Clinical use of triethylene melamine; report of seventy-five cases.,602-17,"['BOND, W H', 'ROHN, R J', 'DYKE, R W', 'FOUTS, P J']","['BOND WH', 'ROHN RJ', 'DYKE RW', 'FOUTS PJ']",['eng'],['Journal Article'],United States,AMA Arch Intern Med,A.M.A. archives of internal medicine,14470100R,['F7IY6HZG9D (Triethylenemelamine)'],OM,"['Leukemia/*therapy', 'Triethylenemelamine/*therapeutic use']",['CLML: 5324:9899:361:662'],['NLM'],"['*LEUKEMIA/therapy', '*TRIETHYLENE MELAMINE/therapeutic use']",1953/05/01 00:00,1953/05/01 00:01,['1953/05/01 00:00'],"['1953/05/01 00:00 [pubmed]', '1953/05/01 00:01 [medline]', '1953/05/01 00:00 [entrez]']",ppublish,AMA Arch Intern Med. 1953 May;91(5):602-17. doi: 10.1001/archinte.1953.00240170028003.,['10.1001/archinte.1953.00240170028003 [doi]'],,,,,,,,,,,,,,,,,
13039579,NLM,MEDLINE,20030501,20181201,0096-5979 (Print) 0096-5979 (Linking),67,4,1953 Apr,Chronic lymphatic leukemia with secondary leukemid.,426-7,"['RUPPE, J P Jr']",['RUPPE JP Jr'],['eng'],['Journal Article'],United States,AMA Arch Derm Syphilol,A.M.A. archives of dermatology and syphilology,14470040R,,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphocytic, Chronic, B-Cell', '*Leukemia, Lymphoid', '*Lymphatic Vessels']",['CLML: 5324:9866:361'],['NLM'],"['*LEUKEMIA, LYMPHATIC']",1953/04/01 00:00,1953/04/01 00:01,['1953/04/01 00:00'],"['1953/04/01 00:00 [pubmed]', '1953/04/01 00:01 [medline]', '1953/04/01 00:00 [entrez]']",ppublish,AMA Arch Derm Syphilol. 1953 Apr;67(4):426-7.,,,,,,,,,,,,,,,,,,
13039578,NLM,MEDLINE,20030501,20181201,0096-5979 (Print) 0096-5979 (Linking),67,4,1953 Apr,Reticuloendotheliosis (Letterer-Siwe).,424-6,"['TEICHER, R']",['TEICHER R'],['eng'],['Journal Article'],United States,AMA Arch Derm Syphilol,A.M.A. archives of dermatology and syphilology,14470040R,"['Reticuloendotheliosis, X-linked']",OM,"['Child', '*Genetic Diseases, X-Linked', 'Humans', 'Infant', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['CLML: 5324:9865:573'],['NLM'],['*RETICULOENDOTHELIOSIS/in infant and child'],1953/04/01 00:00,1953/04/01 00:01,['1953/04/01 00:00'],"['1953/04/01 00:00 [pubmed]', '1953/04/01 00:01 [medline]', '1953/04/01 00:00 [entrez]']",ppublish,AMA Arch Derm Syphilol. 1953 Apr;67(4):424-6.,,,,,,,,,,,,,,,,,,
13039309,NLM,MEDLINE,20030501,20181201,0044-0531 (Print) 0044-0531 (Linking),3,4,1952 Aug,[Histioglobocytes and their hemopoietic significance; contribution hemocytoblastic leukemia].,250-65,"['NAGANO, A', 'TAKEUCHI, M']","['NAGANO A', 'TAKEUCHI M']",['und'],['Journal Article'],Japan,Yokohama Med Bull,Yokohama medical bulletin,0417415,,OM,['*Leukemia'],['CLML: 5324:9493:361'],['NLM'],['*LEUKEMIA'],1952/08/01 00:00,1952/08/01 00:01,['1952/08/01 00:00'],"['1952/08/01 00:00 [pubmed]', '1952/08/01 00:01 [medline]', '1952/08/01 00:00 [entrez]']",ppublish,Yokohama Med Bull. 1952 Aug;3(4):250-65.,,Uber die histioglobozyten und ihre hamatopoetische Bedeutung; Beitrage zur Stammzellenleukamie.,,,,,,,,,,,,,,,,
13038691,NLM,MEDLINE,20030501,20181201,0040-3660 (Print) 0040-3660 (Linking),24,6,1952 Nov-Dec,[Tumor-like leukemias].,59-65,"['KOST, E A']",['KOST EA'],['und'],['Journal Article'],Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,,OM,"['*Diagnosis, Differential', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*diagnosis', '*Neoplasms']",['CLML: 5324:8860:362'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/differential diagnosis']",1952/11/01 00:00,1952/11/01 00:01,['1952/11/01 00:00'],"['1952/11/01 00:00 [pubmed]', '1952/11/01 00:01 [medline]', '1952/11/01 00:00 [entrez]']",ppublish,Ter Arkh. 1952 Nov-Dec;24(6):59-65.,,K voprosu o opukholepodobnykh leikozakh.,,,,,,,,,,,,,,,,
13038539,NLM,MEDLINE,20030501,20190702,0038-4348 (Print) 0038-4348 (Linking),46,3,1953 Mar,The role of chemotherapy in the management of malignant lymphomas and leukemias.,259-68,"['RUNDLES, R W', 'BARTON, W B', 'COONRAD, E V']","['RUNDLES RW', 'BARTON WB', 'COONRAD EV']",['eng'],['Journal Article'],United States,South Med J,Southern medical journal,0404522,"['0 (Folic Acid Antagonists)', '0 (Nitrogen Mustard Compounds)', '3IN71E75Z5 (Urethane)', '50D9XSG0VR (Mechlorethamine)', '9002-60-2 (Adrenocorticotropic Hormone)', 'V27W9254FZ (Cortisone)']",OM,"['Adrenocorticotropic Hormone/*therapeutic use', 'Cortisone/*therapeutic use', '*Disease Management', 'Folic Acid Antagonists/*therapeutic use', 'Humans', 'Leukemia/*therapy', '*Lymphoma', '*Mechlorethamine', 'Nitrogen Mustard Compounds/*therapeutic use', 'Urethane/*therapeutic use']",['CLML: 5324:8708:10:169:254:361:383:445:683'],['NLM'],"['*ACTH/therapeutic use', '*CORTISONE/therapeutic use', '*FOLIC ACID ANTAGONISTS/therapeutic use', '*LEUKEMIA/therapy', '*LYMPHOMA', '*NITROGEN MUSTARDS/therapeutic use', '*URETHANE/therapeutic use']",1953/03/01 00:00,1953/03/01 00:01,['1953/03/01 00:00'],"['1953/03/01 00:00 [pubmed]', '1953/03/01 00:01 [medline]', '1953/03/01 00:00 [entrez]']",ppublish,South Med J. 1953 Mar;46(3):259-68. doi: 10.1097/00007611-195303000-00007.,['10.1097/00007611-195303000-00007 [doi]'],,,,,,,,,,,,,,,,,
13038362,NLM,MEDLINE,20030501,20181201,0048-8364 (Print) 0048-8364 (Linking),5,9,1952 Sep,[Observations on histology of lymphatic vessels in lympathic leukemia].,1149-56,"['DAL ZOTTO, E', 'BORELLI, C']","['DAL ZOTTO E', 'BORELLI C']",['und'],['Journal Article'],Italy,Riv Anat Patol Oncol,Rivista di anatomia patologica e di oncologia,0404350,,OM,"['*Histological Techniques', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*pathology', '*Lymphatic Vessels']",['CLML: 5324:8531:362'],['NLM'],"['*LEUKEMIA, LYMPHATIC/pathology']",1952/09/01 00:00,1952/09/01 00:01,['1952/09/01 00:00'],"['1952/09/01 00:00 [pubmed]', '1952/09/01 00:01 [medline]', '1952/09/01 00:00 [entrez]']",ppublish,Riv Anat Patol Oncol. 1952 Sep;5(9):1149-56.,,Osservazioni sul comportamento istologico dei vasi linfatici nella linfoadenia leucemica.,,,,,,,,,,,,,,,,
13037970,NLM,MEDLINE,20030501,20181201,,27,1,1953,Leukemia cutis simulating venereal disease.,18-20,"['BLUEFARB, S M', 'WEBSTER, J R']","['BLUEFARB SM', 'WEBSTER JR']",['eng'],['Journal Article'],United States,Q Bull Northwest Univ Med Sch,"Quarterly bulletin. Northwestern University (Evanston, Ill.). Medical School",19220080R,,OM,"['*Diagnosis, Differential', 'Genitalia/*pathology', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphatic Vessels', 'Sexually Transmitted Diseases/*diagnosis']",['CLML: 5324:8121:266:362:695'],['NLM'],"['*GENITALIA/pathology', '*LEUKEMIA, LYMPHATIC/manifestations', '*VENEREAL DISEASES/differential diagnosis']",1953/01/01 00:00,1953/01/01 00:01,['1953/01/01 00:00'],"['1953/01/01 00:00 [pubmed]', '1953/01/01 00:01 [medline]', '1953/01/01 00:00 [entrez]']",ppublish,Q Bull Northwest Univ Med Sch. 1953;27(1):18-20.,,,PMC3803288,,,,,,,,,,,,,,,
13037968,NLM,MEDLINE,20030501,20181201,,27,1,1953,Acute leukemia with urological manifestations.,10-3,"['BAKER, W J', 'CHENOWETH, C']","['BAKER WJ', 'CHENOWETH C']",['eng'],['Journal Article'],United States,Q Bull Northwest Univ Med Sch,"Quarterly bulletin. Northwestern University (Evanston, Ill.). Medical School",19220080R,,OM,"['*Acute Disease', 'Humans', '*Leukemia', 'Urinary Tract/*pathology', '*Urological Manifestations']",['CLML: 5324:8119:361:684'],['NLM'],"['*LEUKEMIA/manifestations', '*URINARY TRACT/pathology']",1953/01/01 00:00,1953/01/01 00:01,['1953/01/01 00:00'],"['1953/01/01 00:00 [pubmed]', '1953/01/01 00:01 [medline]', '1953/01/01 00:00 [entrez]']",ppublish,Q Bull Northwest Univ Med Sch. 1953;27(1):10-3.,,,PMC3803292,,,,,,,,,,,,,,,
