PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,AB,PMC,IP,LID
13949796,NLM,MEDLINE,19981101,20181201,0033-0450 (Print) 0033-0450 (Linking),90,1962 Oct 10,[Acute bone marrow aplasias].,521-3,"['de GRAILLY', 'MERIAUZ, J', 'MOULINER, J', 'LEURET JPBIESSY, R']","['de GRAILLY', 'MERIAUZ J', 'MOULINER J', 'LEURET JPBIESSY R']",['fre'],['Journal Article'],France,Prog Med (Paris),Le Progres medical,2984825R,OM,"['*Anemia', '*Anemia, Aplastic', '*Bone Marrow', 'Humans', '*Leukemia', '*Leukemia, Myeloid']",['NLM'],"['*ANEMIA, APLASTIC', '*LEUKEMIA, MYELOCYTIC']",1962/10/10 00:00,1962/10/10 00:01,['1962/10/10 00:00'],"['1962/10/10 00:00 [pubmed]', '1962/10/10 00:01 [medline]', '1962/10/10 00:00 [entrez]']",ppublish,Prog Med (Paris). 1962 Oct 10;90:521-3.,,,,,,
13949763,NLM,MEDLINE,19981101,20181201,0301-1585 (Print) 0301-1585 (Linking),65,1963,[Studies on the problem of the ability to grow the virus of mouse myeloid leukemia in tissue culture].,385-95,"['GRAFFI, A', 'BAUMBACH, L', 'SCHRAMM, T', 'BIERWOLF, D']","['GRAFFI A', 'BAUMBACH L', 'SCHRAMM T', 'BIERWOLF D']",['ger'],['Journal Article'],Germany,Z Krebsforsch,Zeitschrift fur Krebsforschung,1302230,OM,"['*Leukemia', '*Leukemia, Experimental', '*Leukemia, Myeloid', '*Oncogenic Viruses']",['NLM'],"['*LEUKEMIA, EXPERIMENTAL', '*TUMOR VIRUSES']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Z Krebsforsch. 1963;65:385-95.,,,,,,
13949760,NLM,MEDLINE,19981101,20181201,0001-5318 (Print) 0001-5318 (Linking),9,1962,[On cell-free transmission of transplanted leukoses in rats and mice].,280-92,"['GRAFFI, A', 'GIMMY, J', 'FEY, F']","['GRAFFI A', 'GIMMY J', 'FEY F']",['ger'],['Journal Article'],Germany,Acta Biol Med Ger,Acta biologica et medica Germanica,0370276,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', 'Mice', '*Oncogenic Viruses', 'Rats']",['NLM'],"['*LEUKEMIA, EXPERIMENTAL', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*TUMOR VIRUSES']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Acta Biol Med Ger. 1962;9:280-92.,,,,,,
13949742,NLM,MEDLINE,19981101,20181201,0133-3909 (Print) 0133-3909 (Linking),10,1962,On the therapeutic effect of sulfonoxymannitol in chronic myelosis.,8-10,"['GRAF, F', 'TAKACSI-NAGY, L']","['GRAF F', 'TAKACSI-NAGY L']",['eng'],['Journal Article'],Hungary,Ther Hung,Therapia Hungarica (English edition),8706535,OM,"['*Antineoplastic Agents', 'Humans', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid', '*Mannitol']",['NLM'],"['*ANTINEOPLASTIC AGENTS', '*LEUKEMIA, MYELOCYTIC', '*MANNITOL']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Ther Hung. 1962;10:8-10.,,"['0 (Antineoplastic Agents)', '3OWL53L36A (Mannitol)']",,,,
13949706,NLM,MEDLINE,19981101,20181201,,69,1962 Apr-May,[Cutaneous reticulosis of orthoplastic appearance with malignant lymph node involvement and preceded by an erythematous amyloidosis].,188-90,"['de GRACIANSKY', 'GRUPPER, C']","['de GRACIANSKY', 'GRUPPER C']",['fre'],['Journal Article'],France,Bull Soc Fr Dermatol Syphiligr,Bulletin de la Societe francaise de dermatologie et de syphiligraphie,7503407,OM,"['*Amyloidosis', '*Dermatology', '*Genetic Diseases, X-Linked', '*Hodgkin Disease', 'Humans', '*Leukemia, Hairy Cell', '*Lymph Nodes', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['NLM'],"['*AMYLOIDOSIS', '*DERMATOLOGY', ""*HODGKIN'S DISEASE"", '*RETICULOENDOTHELIOSIS']",1962/04/01 00:00,1962/04/01 00:01,['1962/04/01 00:00'],"['1962/04/01 00:00 [pubmed]', '1962/04/01 00:01 [medline]', '1962/04/01 00:00 [entrez]']",ppublish,Bull Soc Fr Dermatol Syphiligr. 1962 Apr-May;69:188-90.,,"['Reticuloendotheliosis, X-linked']",,,,
13949639,NLM,MEDLINE,19981101,20190501,0021-9746 (Print) 0021-9746 (Linking),16,1963 May,Marrow biopsy in the diagnosis of pyrexia of undetermined origin.,227-31,"['GOWER, N D']",['GOWER ND'],['eng'],['Journal Article'],England,J Clin Pathol,Journal of clinical pathology,0376601,OM,"['*Biopsy', '*Bone Marrow', '*Bone Marrow Examination', '*Carcinoma', '*Carcinoma, Bronchogenic', '*Fever', 'Genetic Diseases, X-Linked', 'Humans', '*Leukemia', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', 'Severe Combined Immunodeficiency']",['NLM'],"['*BONE MARROW EXAMINATION', '*CARCINOMA, BRONCHOGENIC', '*FEVER', '*LEUKEMIA', '*RETICULOENDOTHELIOSIS']",1963/05/01 00:00,1963/05/01 00:01,['1963/05/01 00:00'],"['1963/05/01 00:00 [pubmed]', '1963/05/01 00:01 [medline]', '1963/05/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1963 May;16:227-31. doi: 10.1136/jcp.16.3.227.,['10.1136/jcp.16.3.227 [doi]'],"['Reticuloendotheliosis, X-linked']","Marrow from 62 cases of pyrexia of undetermined origin was examined cytologically, histologically, and bacteriologically. Diagnostic findings were present in five cases (8%), but all these patients presented definite clinical or haematological indications for marrow biopsy. It is concluded that marrow examination is useful in the diagnosis of pyrexia of undetermined origin but that cases for study must be selected in the light of general principles. Fever alone, even though prolonged and undiagnosed, is not an indication for marrow biopsy.",PMC480547,,
13949536,NLM,MEDLINE,19981101,20181201,0035-2640 (Print) 0035-2640 (Linking),13,1963 Jun 1,[Prognosis and treatment of acute leukoses].,2027-46,"['GOUDEMAND, M']",['GOUDEMAND M'],['fre'],['Journal Article'],France,Rev Prat,La Revue du praticien,0404334,OM,"['*Adrenal Cortex Hormones', '*Antineoplastic Agents', 'Humans', '*Leukemia', 'Prognosis', '*Radiotherapy']",['NLM'],"['*ADRENAL CORTEX HORMONES', '*ANTINEOPLASTIC AGENTS', '*LEUKEMIA', '*RADIOTHERAPY']",1963/06/01 00:00,1963/06/01 00:01,['1963/06/01 00:00'],"['1963/06/01 00:00 [pubmed]', '1963/06/01 00:01 [medline]', '1963/06/01 00:00 [entrez]']",ppublish,Rev Prat. 1963 Jun 1;13:2027-46.,,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)']",,,,
13949366,NLM,MEDLINE,19981101,20181201,,32,1962,[Morphology of the oral mucosa in leukemias].,857-60,"['GORZ-KARDASZEWICZ, S']",['GORZ-KARDASZEWICZ S'],['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,OM,"['*Gastrointestinal Tract', 'Humans', '*Leukemia', '*Mouth', '*Mouth Mucosa']",['NLM'],"['*LEUKEMIA', '*MOUTH']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1962;32:857-60.,,,,,,
13948741,NLM,MEDLINE,19981101,20181201,0017-7768 (Print) 0017-7768 (Linking),63,1962 Sep 16,[Epidemiology of leukemia].,218-20,"['GOLDITI, M']",['GOLDITI M'],['heb'],['Journal Article'],Israel,Harefuah,Harefuah,0034351,OM,"['Humans', '*Leukemia']",['NLM'],['*LEUKEMIA'],1962/09/16 00:00,1962/09/16 00:01,['1962/09/16 00:00'],"['1962/09/16 00:00 [pubmed]', '1962/09/16 00:01 [medline]', '1962/09/16 00:00 [entrez]']",ppublish,Harefuah. 1962 Sep 16;63:218-20.,,,,,,
13948731,NLM,MEDLINE,19981101,20181201,0008-5472 (Print) 0008-5472 (Linking),2,1962 Sep,Evaluation of antileukemic agents employing advanced leukemia L-1210 in mice. VI.,749-835,"['GOLDIN, A', 'VENDITTI, J M', 'KLINE, I']","['GOLDIN A', 'VENDITTI JM', 'KLINE I']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Anti-Bacterial Agents', '*Antineoplastic Agents', '*Leukemia L1210', 'Mice', '*Nitrogen Mustard Compounds', '*Purines', '*Quinolines', '*Steroids']",['NLM'],"['*ANTIBIOTICS', '*ANTINEOPLASTIC AGENTS', '*LEUKEMIA L1210', '*NITROGEN MUSTARD COMPOUNDS', '*PURINES', '*QUINOLINES', '*STEROIDS']",1962/09/01 00:00,1962/09/01 00:01,['1962/09/01 00:00'],"['1962/09/01 00:00 [pubmed]', '1962/09/01 00:01 [medline]', '1962/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1962 Sep;2:749-835.,,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)', '0 (Nitrogen Mustard Compounds)', '0 (Purines)', '0 (Quinolines)', '0 (Steroids)', 'W60KTZ3IZY (purine)']",,,,
13948638,NLM,MEDLINE,19981101,20190906,0006-5242 (Print) 0006-5242 (Linking),9,1963 May,[Blood groups and leukemia].,188-93,"['GOLD, E R', 'HOLLANDER, L']","['GOLD ER', 'HOLLANDER L']",['ger'],['Journal Article'],Germany,Blut,Blut,0173401,OM,"['*Antigens', '*Blood Group Antigens', '*Leukemia']",['NLM'],"['*ANTIGENS', '*BLOOD GROUPS', '*LEUKEMIA']",1963/05/01 00:00,1963/05/01 00:01,['1963/05/01 00:00'],"['1963/05/01 00:00 [pubmed]', '1963/05/01 00:01 [medline]', '1963/05/01 00:00 [entrez]']",ppublish,Blut. 1963 May;9:188-93. doi: 10.1007/BF01837809.,['10.1007/BF01837809 [doi]'],"['0 (Antigens)', '0 (Blood Group Antigens)']",,,,
13948580,NLM,MEDLINE,19981101,20181201,0039-4025 (Print) 0039-4025 (Linking),4,1963,[Histochemistry of the glycoprotein complexes in malignant hemopathies. III. Research on intramastocytic acid mucopolysaccharides in acute and chronic leukoses].,93-6,"['GOCIU, M', 'VELICAN, C', 'GROZEA, P']","['GOCIU M', 'VELICAN C', 'GROZEA P']",['rum'],['Journal Article'],Romania,Stud Cercet Med Interna,Studii si cercetari de medicina interna,0417346,OM,"['*Glycoproteins', '*Glycosaminoglycans', '*Histocytochemistry', '*Leukemia', '*Lymph Nodes', '*Mast Cells']",['NLM'],"['*GLYCOPROTEINS', '*LEUKEMIA', '*LYMPH NODES', '*MAST CELLS', '*MUCOPOLYSACCHARIDES']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Stud Cercet Med Interna. 1963;4:93-6.,,"['0 (Glycoproteins)', '0 (Glycosaminoglycans)']",,,,
13948556,NLM,MEDLINE,19981101,20181201,0008-5472 (Print) 0008-5472 (Linking),23,1963 Feb,Biological interrelationships in the chemotherapy of Moloney virus leukemia.,269-78,"['GLYNN, J P', 'MOLONEY, J B', 'CHIRIGOS, M A', 'HUMPHREYS, S R', 'GOLDIN, A']","['GLYNN JP', 'MOLONEY JB', 'CHIRIGOS MA', 'HUMPHREYS SR', 'GOLDIN A']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Cyclophosphamide', '*Leukemia', '*Leukemia, Experimental', '*Melphalan', '*Moloney murine leukemia virus', '*Oncogenic Viruses', '*Radiation Effects', '*Triethylenemelamine']",['NLM'],"['*CYCLOPHOSPHAMIDE', '*LEUKEMIA, EXPERIMENTAL', '*MELPHALAN', '*RADIATION EFFECTS', '*TRIETHYLENE MELAMINE', '*TUMOR VIRUSES']",1963/02/01 00:00,1963/02/01 00:01,['1963/02/01 00:00'],"['1963/02/01 00:00 [pubmed]', '1963/02/01 00:01 [medline]', '1963/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1963 Feb;23:269-78.,,"['8N3DW7272P (Cyclophosphamide)', 'F7IY6HZG9D (Triethylenemelamine)', 'Q41OR9510P (Melphalan)']",,,,
13948304,NLM,MEDLINE,19981101,20181201,0032-3756 (Print) 0032-3756 (Linking),17,1962 Jul 9,[Effect of ionizing radiations on the hematopoietic system in children].,1102-5,"['GIZA, T', 'HANICKA, M', 'REMBIESOWA, H']","['GIZA T', 'HANICKA M', 'REMBIESOWA H']",['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,OM,"['Child', '*Hematopoietic System', 'Humans', '*Leukemia', '*Radiation Injuries', '*Radiation, Ionizing']",['NLM'],"['*LEUKEMIA', '*RADIATION INJURY']",1962/07/09 00:00,1962/07/09 00:01,['1962/07/09 00:00'],"['1962/07/09 00:00 [pubmed]', '1962/07/09 00:01 [medline]', '1962/07/09 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1962 Jul 9;17:1102-5.,,,,,,
13948169,NLM,MEDLINE,19981101,20181201,0025-4053 (Print) 0025-4053 (Linking),99,1962,[Therapeutic appraisal of 69 cases of leukosis].,1048-52,"['GIRAUD, P', 'BERNARD, R', 'ORSINI, A', 'LOUCHET, E', 'OLMER, M']","['GIRAUD P', 'BERNARD R', 'ORSINI A', 'LOUCHET E', 'OLMER M']",['fre'],['Journal Article'],France,Mars Med,Marseille medical,2985228R,OM,"['Humans', '*Leukemia']",['NLM'],['*LEUKEMIA'],1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Mars Med. 1962;99:1048-52.,,,,,,
13947971,NLM,MEDLINE,19981101,20181201,0007-1285 (Print) 0007-1285 (Linking),36,1963 Mar,Leukaemic involvement of the thymus in children.,211-4,"['GILMARTIN, D']",['GILMARTIN D'],['eng'],['Journal Article'],England,Br J Radiol,The British journal of radiology,0373125,OM,"['Child', 'Humans', '*Leukemia', '*Thymus Gland']",['NLM'],"['*LEUKEMIA', '*THYMUS GLAND']",1963/03/01 00:00,1963/03/01 00:01,['1963/03/01 00:00'],"['1963/03/01 00:00 [pubmed]', '1963/03/01 00:01 [medline]', '1963/03/01 00:00 [entrez]']",ppublish,Br J Radiol. 1963 Mar;36:211-4. doi: 10.1259/0007-1285-36-423-211.,['10.1259/0007-1285-36-423-211 [doi]'],,,,,
13947963,NLM,MEDLINE,19981101,20181201,0025-4053 (Print) 0025-4053 (Linking),100,1963,[Apropos of a case of myeloid splenomegaly with acute blastic transformation].,59-62,"['GILLY, R W', 'RENAULT, B', 'SICARD, D', 'WIART, M', 'GUILLEMIN, R', 'BERATO']","['GILLY RW', 'RENAULT B', 'SICARD D', 'WIART M', 'GUILLEMIN R', 'BERATO']",['fre'],['Journal Article'],France,Mars Med,Marseille medical,2985228R,OM,"['Humans', '*Leukemia', '*Leukemia, Myeloid', '*Lymphocyte Activation', '*Osteolysis, Essential', '*Splenomegaly']",['NLM'],"['*LEUKEMIA, MYELOCYTIC', '*SPLENOMEGALY']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Mars Med. 1963;100:59-62.,,['Myeloid splenomegaly'],,,,
13947849,NLM,MEDLINE,19981101,20181201,0002-9580 (Print) 0002-9580 (Linking),88,1962 Nov,Necrotizing enteropathy: roentgenographic features.,942-52,"['GILDENHORN, H L', 'SPRINGER, E B', 'AMROMIN, G D']","['GILDENHORN HL', 'SPRINGER EB', 'AMROMIN GD']",['eng'],['Journal Article'],United States,Am J Roentgenol Radium Ther Nucl Med,"The American journal of roentgenology, radium therapy, and nuclear medicine",7605534,OM,"['Humans', '*Intestinal Diseases', '*Leukemia', '*Lymphoma', '*Necrosis']",['NLM'],"['*INTESTINAL DISEASES', '*LEUKEMIA', '*LYMPHOMA', '*NECROSIS']",1962/11/01 00:00,1962/11/01 00:01,['1962/11/01 00:00'],"['1962/11/01 00:00 [pubmed]', '1962/11/01 00:01 [medline]', '1962/11/01 00:00 [entrez]']",ppublish,Am J Roentgenol Radium Ther Nucl Med. 1962 Nov;88:942-52.,,,,,,
13947779,NLM,MEDLINE,19981101,20181201,0008-5480 (Print) 0008-5480 (Linking),15,1962,The DNA metabolism studied by employing tritiated thimidine in acute and chronic leukemias.,181-7,"['GIGANTE, D', 'TEODORI, S', 'ZOPPINI, A']","['GIGANTE D', 'TEODORI S', 'ZOPPINI A']",['eng'],['Journal Article'],Italy,Cancro,Il Cancro,0421125,OM,"['*DNA', '*DNA, Neoplasm', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', '*Neoplasms', '*Thymidine']",['NLM'],"['*DNA, NEOPLASM', '*LEUKEMIA, LYMPHOCYTIC', '*THYMIDINE']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Cancro. 1962;15:181-7.,,"['0 (DNA, Neoplasm)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",,,,
