PMID,OWN,STAT,DCOM,LR,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,IS,AID,PMC,GR,CIN,EIN,TT,CON,SI,GS
2175917,NLM,MEDLINE,19910207,20190501,87,24,1990 Dec,Activation of erythropoietin receptors by Friend viral gp55 and by erythropoietin and down-modulation by the murine Fv-2r resistance gene.,9985-9,"The leukemogenic membrane glycoprotein (gp55) encoded by Friend spleen focus-forming virus appears to bind to erythropoietin receptors (EpoR) sto stimulate erythroblastosis [Li, J.-P., D'Andrea, A.D., Lodish, H.F. & Baltimore, D. (1990) Nature (London) 343, 762-764]. To directly compare the effects of gp55 with erythropoietin (Epo), we produced retrovirions that encode either gp55, Epo, or EpoR. After infection with EpoR virus, interleukin 3-dependent DA-3 cells bound 125I-labeled Epo and grew without interleukin 3 in the presence of Epo. These latter cells, but not parental DA-3 cells, became factor-independent after superinfection either with Epo virus or with Friend spleen focus-forming virus. In addition, Epo virus caused a disease in mice that mimicked Friend erythroleukemia. Although Fv-2r homozygotes are susceptible to all other retroviral diseases, they are resistant to both Epo viral and Friend viral erythroleukemias. These results indicate that both gp55 and Epo stimulate EpoR and that the Fv-2 gene encodes a protein that controls response to these ligands. However, the Fv-2 protein is not EpoR because the corresponding genes map to opposite ends of mouse chromosome 9. These results have important implications for understanding signal transduction by EpoR and the role of host genetic variation in controlling susceptibility to an oncogenic protein.","['Hoatlin, M E', 'Kozak, S L', 'Lilly, F', 'Chakraborti, A', 'Kozak, C A', 'Kabat, D']","['Hoatlin ME', 'Kozak SL', 'Lilly F', 'Chakraborti A', 'Kozak CA', 'Kabat D']","['Department of Biochemistry and Molecular Biology, Oregon Health Sciences University, Portland 97201-3098.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Oligonucleotide Probes)', '0 (Receptors, Cell Surface)', '0 (Receptors, Erythropoietin)', '0 (Viral Envelope Proteins)', '11096-26-7 (Erythropoietin)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'Down-Regulation', 'Erythropoietin/genetics/*metabolism', 'Friend murine leukemia virus/*genetics', 'Genetic Vectors', 'Humans', 'Leukemia, Experimental/*genetics', 'Mice', 'Molecular Sequence Data', 'Oligonucleotide Probes', 'Plasmids', 'Receptors, Cell Surface/genetics/*metabolism', 'Receptors, Erythropoietin', 'Restriction Mapping', 'Spleen Focus-Forming Viruses/*genetics', 'Viral Envelope Proteins/*genetics/metabolism']",,1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1990 Dec;87(24):9985-9. doi: 10.1073/pnas.87.24.9985.,0027-8424 (Print) 0027-8424 (Linking),['10.1073/pnas.87.24.9985 [doi]'],PMC55299,"['AI28572/AI/NIAID NIH HHS/United States', 'CA19931/CA/NCI NIH HHS/United States', 'CA25810/CA/NCI NIH HHS/United States']",,,,,,['Fv-2<up>r</up>']
2175916,NLM,MEDLINE,19910207,20190501,87,24,1990 Dec,Long-term expression of a T-cell receptor beta-chain gene in mice reconstituted with retrovirus-infected hematopoietic stem cells.,9803-7,"To determine the feasibility of retrovirus-mediated gene transfer into stem cells for studying T-cell development, we constructed a high-titer retrovirus vector containing the neomycin phosphotransferase (neo) gene and a murine T-cell receptor (TCR) beta-chain gene with the V beta 6 variable segment. The TCR gene was placed under the control of the human beta-actin promoter and enhancer. Bone marrow cells pretreated with 5-fluorouracil were infected by coculturing with psi-2 virus-producing cells in the presence of recombinant interleukins 1, 2, 4, and 6 as well as interleukin 3 from WEHI-3 conditioned medium. The infected cells were transplanted into irradiated mice, and expression of the exogenous V beta 6 gene was examined with a V beta 6-specific monoclonal antibody, RNase protection, and polymerase chain reaction amplification. Three of seven mice expressed the retroviral TCR gene on the surface of a significant proportion of mature T cells 5-6 months after transplantation. In mice analyzed less than 1 month after transplantation, up to 30% of mature T cells expressed V beta 6 TCRs, an increase of at least 20% above the level of endogenous V beta 6 expression. DNA analysis revealed that pluripotent hematopoietic stem cells were infected by the retroviral vector in a long-term reconstituted mouse that showed increased V beta 6 expression.","['Kang, J', 'Wither, J', 'Hozumi, N']","['Kang J', 'Wither J', 'Hozumi N']","['Division of Molecular Immunology and Neurobiology, Samuel Lunenfeld Research Institute, Mount Sinai Hospital, Toronto, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Actins)', '0 (Macromolecular Substances)', '0 (Oligonucleotide Probes)', '0 (Receptors, Antigen, T-Cell)', 'EC 2.7.- (Phosphotransferases)', 'EC 2.7.1.95 (Kanamycin Kinase)']",IM,"['Actins/genetics', 'Animals', 'Base Sequence', 'Bone Marrow Cells', 'Cell Line', 'Enhancer Elements, Genetic', 'Female', 'Gene Expression', 'Genetic Vectors', 'Hematopoietic Stem Cells/cytology/*immunology', 'Kanamycin Kinase', 'Macromolecular Substances', 'Mice', 'Mice, Inbred C57BL', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics', 'Oligonucleotide Probes', 'Phosphotransferases/genetics', 'Polymerase Chain Reaction', 'Promoter Regions, Genetic', 'Receptors, Antigen, T-Cell/*genetics', 'Repetitive Sequences, Nucleic Acid', '*Transfection']",,1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1990 Dec;87(24):9803-7. doi: 10.1073/pnas.87.24.9803.,0027-8424 (Print) 0027-8424 (Linking),['10.1073/pnas.87.24.9803 [doi]'],PMC55262,,,,,,,
2175708,NLM,MEDLINE,19910207,20190907,45,5,1990 Nov,T-lymphoblastic transformation of chronic myelocytic leukemia following T-lymphoblastic and myeloblastic biphenotypic crisis in the lymph nodes with rearrangement of bcr and TCR-beta genes.,282-4,,"['Hirose, Y', 'Tachibana, J', 'Takiguchi, T', 'Tatsumi, E', 'Konda, S']","['Hirose Y', 'Tachibana J', 'Takiguchi T', 'Tatsumi E', 'Konda S']",,['eng'],"['Case Reports', 'Letter']",England,Eur J Haematol,European journal of haematology,8703985,"['0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,"['Blast Crisis/*pathology', 'Gene Rearrangement', '*Gene Rearrangement, beta-Chain T-Cell Antigen Receptor', 'Humans', 'Immunophenotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/*pathology', 'Lymph Nodes/*pathology', 'Lymphocyte Activation', 'Male', 'Middle Aged', '*Protein-Tyrosine Kinases', 'Proto-Oncogene Proteins/genetics', 'Proto-Oncogene Proteins c-bcr', 'T-Lymphocytes/immunology/*pathology']",,1990/11/01 00:00,1990/11/01 00:01,['1990/11/01 00:00'],"['1990/11/01 00:00 [pubmed]', '1990/11/01 00:01 [medline]', '1990/11/01 00:00 [entrez]']",ppublish,Eur J Haematol. 1990 Nov;45(5):282-4. doi: 10.1111/j.1600-0609.1990.tb00479.x.,0902-4441 (Print) 0902-4441 (Linking),['10.1111/j.1600-0609.1990.tb00479.x [doi]'],,,,,,,,['bcr']
2175700,NLM,MEDLINE,19910207,20061115,12,6,1990,[Immunocytochemical analysis of bovine leukemia virus antigen expression in cells of FLK 44/2 culture].,50-2,The expression of BLV antigens has been studied in cells of virus-producing culture FLK 44/2. Monitoring of reactivity of antiviral polyclonal and monoclonal antibodies with cells of the virus-producing culture performed immunocytochemically has revealed the heterogeneity of the cell population both by different forms and by the level of viral expression. A change in the amount of cells reacting with antiviral antibodies during development of the population in vitro is considered as a result of the cell growth cycle-dependent process.,"['Nemeikaite, A I', 'Adomaitene, D I']","['Nemeikaite AI', 'Adomaitene DI']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Ukraine,Eksp Onkol,Eksperimental'naia onkologiia,8406659,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Viral)']",IM,"['Animals', 'Antibodies, Monoclonal/immunology', 'Antigens, Viral/*analysis', 'Cattle', 'Cells, Cultured', 'Immunohistochemistry', 'Leukemia Virus, Bovine/*immunology', 'Leukemia, Experimental/*immunology', 'Time Factors']",,1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Eksp Onkol. 1990;12(6):50-2.,0204-3564 (Print) 0204-3564 (Linking),,,,,,Immunotsitokhimicheskii analiz ekspressii antigenov virusa leikoza krupnogo rogatogo skota v kletkakh kul'tury FLK 44/2.,,,
2175677,NLM,MEDLINE,19910201,20211103,63,6,1990 Dec 21,A putative truncated cytokine receptor gene transduced by the myeloproliferative leukemia virus immortalizes hematopoietic progenitors.,1137-47,"The myeloproliferative leukemia virus (MPLV) is an acute leukemogenic murine replication-defective retrovirus. By sequencing the envelope gene of a biologically active MPLV clone, we found that this region comprises a novel oncogene named v-mpl in phase with two parts of the Friend murine leukemia virus envelope gene. The MPLV env region could encode an env-mpl fusion polypeptide that presents the characteristics of a transmembrane protein. We show that in vitro infection of bone marrow cells with helper-free MPLV readily yields immortalized factor-independent hematopoietic cell lines of different lineages. In mice, the c-mpl proto-oncogene is expressed in hematopoietic tissues as a 3 kb mRNA. Since v-mpl shares strong structural analogies with the hematopoietin receptor superfamily, it is likely that MPLV has transduced a truncated form of an as yet unidentified hematopoietic growth factor receptor.","['Souyri, M', 'Vigon, I', 'Penciolelli, J F', 'Heard, J M', 'Tambourin, P', 'Wendling, F']","['Souyri M', 'Vigon I', 'Penciolelli JF', 'Heard JM', 'Tambourin P', 'Wendling F']","['INSERM U 152 Hopital Cochin, Paris, France.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell,Cell,0413066,"['0 (DNA, Viral)', '0 (RNA, Viral)', '0 (Receptors, Cell Surface)', '0 (Viral Envelope Proteins)']",IM,"['Amino Acid Sequence', 'Animals', 'Bone Marrow Cells', 'Cell Line', '*Cell Transformation, Neoplastic', 'Colony-Forming Units Assay', 'DNA, Viral/genetics/isolation & purification', 'Gene Library', 'Genes, Viral', 'Hematopoietic Stem Cells/cytology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Mice, Nude', 'Molecular Sequence Data', 'Muridae', '*Oncogenes', 'RNA, Viral/genetics/isolation & purification', 'Receptors, Cell Surface/*genetics', 'Retroviridae/*genetics', 'Viral Envelope Proteins/genetics']",,1990/12/21 00:00,1990/12/21 00:01,['1990/12/21 00:00'],"['1990/12/21 00:00 [pubmed]', '1990/12/21 00:01 [medline]', '1990/12/21 00:00 [entrez]']",ppublish,Cell. 1990 Dec 21;63(6):1137-47. doi: 10.1016/0092-8674(90)90410-g.,0092-8674 (Print) 0092-8674 (Linking),"['0092-8674(90)90410-G [pii]', '10.1016/0092-8674(90)90410-g [doi]']",,,,,,,"['GENBANK/M38401', 'GENBANK/M60350']","['c-mpl', 'env', 'v-mpl']"
2175544,NLM,MEDLINE,19910125,20181113,137,6,1990 Dec,Detection of HTLV-I proviral sequences in CD30-positive large cell cutaneous T-cell lymphomas.,1317-22,"To investigate the possibility that cutaneous T-cell lymphomas of large cell type may be associated with human T-cell leukemia/lymphoma virus type I infection in nonendemic regions, tissue samples from six cases of large cell cutaneous T-cell lymphoma and four cases of small cell cutaneous T-cell lymphoma were screened for the presence of integrated proviral human T-cell leukemia/lymphoma virus type I DNA. Combined use of Southern blot hybridization and enzymatic DNA amplification revealed human T-cell leukemia/lymphoma virus type I-specific sequences in all cases of large cell cutaneous T-cell lymphoma and in none of the cases of small cell cutaneous T-cell lymphoma. These results suggest that in nonendemic areas, a significant proportion of large cell cutaneous T-cell lymphoma cases are associated with human T-cell leukemia/lymphoma virus type I.","['Anagnostopoulos, I', 'Hummel, M', 'Kaudewitz, P', 'Herbst, H', 'Braun-Falco, O', 'Stein, H']","['Anagnostopoulos I', 'Hummel M', 'Kaudewitz P', 'Herbst H', 'Braun-Falco O', 'Stein H']","['Steglitz Medical Center, Free University of Berlin, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Pathol,The American journal of pathology,0370502,"['0 (Antigens, CD)', '0 (Antigens, Differentiation)', '0 (Antigens, Neoplasm)', '0 (DNA, Neoplasm)', '0 (Ki-1 Antigen)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antigens, CD/analysis', 'Antigens, Differentiation/*analysis', 'Antigens, Neoplasm/*analysis', 'Blotting, Southern', 'DNA, Neoplasm/genetics', 'Female', '*Genes, Viral', 'Human T-lymphotropic virus 1/*genetics', 'Humans', 'Ki-1 Antigen', 'Lymphoma, T-Cell, Cutaneous/*genetics/immunology/pathology', 'Male', 'Middle Aged', 'Polymerase Chain Reaction', 'Proviruses/*genetics']",,1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Am J Pathol. 1990 Dec;137(6):1317-22.,0002-9440 (Print) 0002-9440 (Linking),,PMC1877736,,,,,,,
2175468,NLM,MEDLINE,19910131,20151119,32,7,1990,[The cytological and immunological characteristics of a virus-producing FLK 44/2 culture].,728-35,"Results obtained from cytological and immunological analysis of FLK 44/2 cells indicate the transformation and heterogenization of BLV-producing cell culture. Karyotypic changes of the culture were observed, as well as alterations in its antigenic specificity leading to antigenic diversion. The cell population displayed a high proliferation activity limited by topoinhibition and culture medium exhaustion. An immunocytochemical investigation of virus-producing cell population, using monoclonal and polyclonal antibodies against BLV revealed various cellular forms of BLV-expression. A possibility is discussed to use the immunological approach for selection and establishment of cellular clones exhibiting appropriate virus production parameters.","['Adomaitene, D I', 'Nemeikaite, A I', 'Sadauskas, P B']","['Adomaitene DI', 'Nemeikaite AI', 'Sadauskas PB']",,['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Tsitologiia,Tsitologiia,0417363,"['0 (Antibodies, Monoclonal)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Cell Division', 'Cell Line, Transformed', 'Cells, Cultured/cytology/immunology/microbiology', 'Embryo, Mammalian', 'Gene Expression Regulation, Viral/physiology', 'Immunodiffusion', 'Immunohistochemistry', 'Karyotyping', 'Kidney/*cytology/immunology/microbiology', 'Leukemia Virus, Bovine/genetics/*growth & development', 'Sheep', 'Virus Cultivation/methods']",,1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Tsitologiia. 1990;32(7):728-35.,0041-3771 (Print) 0041-3771 (Linking),,,,,,Tsitologicheskaia i immunologicheskaia kharakteristika virusprodutsiruiushchei kul'tury FLK 44/2.,,,
2175392,NLM,MEDLINE,19910131,20190918,33,6,1990 Jun,Prophylaxis of fungal infections with itraconazole in immunocompromised cancer patients.,291-5,"During a period of 32 months (August 1986 until April 1989) 108 patients (74 women, 34 men; mean age 53 years) with neoplastic diseases (59 patients with solid tumors, 45 patients with lymphomas, two patients with acute leukaemias, one patient with chronic myelogenous leukaemia, one patient with aplastic anaemia) were studied in the Department of Internal Medicine of the University Erlangen-Nuremberg. Most were treated with a cytostatic chemotherapy. In order to prevent a mycotic infection in these immunocompromised patients, itraconazole, a new broad-spectrum antimycotic drug of the azole group, was given in an oral dosage of 100 mg day-1 (mean duration of prophylactic treatment 24 months). Localized Candida infections involving the oropharynx and the female genital organs were diagnosed in 16 patients (14.8%). Candida endophthalmitis occurred in one patient (0.9%). The serum concentration of Candida antibodies was significantly elevated in one patient (0.9%) without evidence of fungemia. Itraconazole had to be discontinued in four cases (3.7%) due to minor side effects of the drug (nausea, stomach complaints). Itraconazole appears to be a safe and effective antimycotic drug in long-term use in neutropenic patients.","['Muhldorfer, S M', 'Konig, H J']","['Muhldorfer SM', 'Konig HJ']","['Medizinische Klinik I, Friedrich-Alexander-Universitat Erlangen-Nurnberg, Germany FR.']",['eng'],['Journal Article'],Germany,Mycoses,Mycoses,8805008,"['0 (Antifungal Agents)', '304NUG5GF4 (Itraconazole)', 'R9400W927I (Ketoconazole)']",IM,"['Adult', 'Aged', 'Antifungal Agents/*therapeutic use', 'Female', 'Humans', 'Immune Tolerance', 'Itraconazole', 'Ketoconazole/*analogs & derivatives/therapeutic use', 'Male', 'Middle Aged', 'Mycoses/*prevention & control', 'Neoplasms/*complications', 'Opportunistic Infections/*prevention & control']",,1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']",ppublish,Mycoses. 1990 Jun;33(6):291-5. doi: 10.1111/myc.1990.33.6.291.,0933-7407 (Print) 0933-7407 (Linking),['10.1111/myc.1990.33.6.291 [doi]'],,,,,,,,
2175360,NLM,MEDLINE,19910131,20190710,216,3,1990 Dec 5,Characterization of murine erythropoietin receptor genes.,567-75,"We have isolated and characterized the murine genomic and complementary DNAs encoding erythropoietin (Epo) receptor from Epo-responsive and unresponsive mouse erythroleukemia cells. Two classes of Epo receptor cDNAs were isolated from Epo-responsive cells. One is a 55,000 Mr membrane-bound Epo receptor, and the other is a 29,000 Mr soluble Epo receptor lacking the transmembrane and cytoplasmic domains. As a result of alternative splicing, two insert sequences containing termination codons are produced, and the encoded polypeptide diverges four amino acids upstream from the transmembrane domain, adding 20 new amino acids before terminating. Amino acid sequence of the Epo receptor cDNA isolated from Epo-responsive cells was identical with that of Epo-unresponsive cells, indicating that Epo-responsiveness does not depend upon the primary structure of the Epo receptor (binding) protein. Analysis of 6.6 x 10(3) base-pairs (kb) genomic DNA segments covering complete Epo receptor gene and promoter regions revealed that potential regulatory elements (NF-E1, GF-1 or Eryf 1) for erythroid-specific and differentiation stage-specific gene expression are located in the promoter and 3' noncoding regions.","['Kuramochi, S', 'Ikawa, Y', 'Todokoro, K']","['Kuramochi S', 'Ikawa Y', 'Todokoro K']","['Tsukuba Life Science Center, Institute of Physical and Chemical Research (RIKEN), Ibaraki, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Mol Biol,Journal of molecular biology,2985088R,"['0 (Receptors, Cell Surface)', '0 (Receptors, Erythropoietin)', '11096-26-7 (Erythropoietin)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Blotting, Northern', 'Blotting, Southern', 'Cell Differentiation', 'Cloning, Molecular', '*Erythropoietin/physiology', 'Gene Expression Regulation/genetics', 'Genomic Library', 'Leukemia, Erythroblastic, Acute', 'Mice', 'Molecular Sequence Data', 'Receptors, Cell Surface/*genetics', 'Receptors, Erythropoietin', 'Transcription, Genetic']",,1990/12/05 00:00,1990/12/05 00:01,['1990/12/05 00:00'],"['1990/12/05 00:00 [pubmed]', '1990/12/05 00:01 [medline]', '1990/12/05 00:00 [entrez]']",ppublish,J Mol Biol. 1990 Dec 5;216(3):567-75. doi: 10.1016/0022-2836(90)90384-x.,0022-2836 (Print) 0022-2836 (Linking),"['0022-2836(90)90384-X [pii]', '10.1016/0022-2836(90)90384-x [doi]']",,,,,,,['GENBANK/X53081'],
2175356,NLM,MEDLINE,19910129,20190709,33,12,1990 Dec,"Arabinofuranosylpyrrolo[2,3-d]pyrimidines as potential agents for human cytomegalovirus infections.",3160-9,"Protection of the 3'- and 5'-hydroxyl groups of the nucleoside antibiotic toyocamycin (1) with 1,3-dichloro-1,1,3,3-tetraisopropyldisiloxane was followed by (trifluoromethyl)sulfonylation of the 2'-hydroxyl group. A displacement of the resulting triflate ester moiety with lithium chloride, lithium bromide, sodium iodide, and lithium azide in hexamethylphosphoramide was followed by a removal of the disilyl moiety with tetra-n-butylammonium fluoride to afford the appropriate (2'-deoxy-2'-substituted-arabinofuranosyl)toyocamycin analogues 6a-d. Hydrolysis of the carbonitrile moieties of 6a-d with hydrogen peroxide gave the corresponding sangivamycin analogues (7a-d). A reduction of the azido moiety of 6a and 7a with 1,3-propanedithiol furnished the corresponding amino derivatives (6e and 7e). The antiproliferative activity of 6a-e and 7a-e was evaluated in L1210 cell cultures. None of these compounds caused significant inhibition of cell growth. Evaluation of these compounds for antiviral activity showed that all the toyocamycin analogues were active against human CMV, but of the sangivamycin analogues, only (2'-deoxy-2'-azidoarabinosyl)sangivamycin (7a) was active against this virus. None of the compounds were active against HSV-1 or HSV-2. (2'-Deoxy-2'-aminoarabinofuranosyl)toyocamycin (6e) was studied more extensively and showed some separation between antiviral activity and cytotoxicity as measured by effects on DNA synthesis, cell growth, and cell-plating efficiency. Although 6e also was active against murine CMV in vitro, it was not active against this virus in infected mice. We conclude that arabinosylpyrrolopyrimidines have potential as antivirals, but no members of the current series are potent enough to show significant activity in vivo.","['Krawczyk, S H', 'Bernier-Rodriguez, M', 'Nassiri, M R', 'Kern, E R', 'Wotring, L L', 'Drach, J C', 'Townsend, L B']","['Krawczyk SH', 'Bernier-Rodriguez M', 'Nassiri MR', 'Kern ER', 'Wotring LL', 'Drach JC', 'Townsend LB']","['Department of Medicinal Chemistry, College of Pharmacy, University of Michigan, Ann Arbor 48109-1065.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antiviral Agents)', '0 (Arabinonucleosides)', '0 (Pyrimidine Nucleosides)', '18417-89-5 (sangivamycin)', 'L7995C4D7F (Toyocamycin)']",IM,"['Animals', 'Antiviral Agents/chemical synthesis/*pharmacology/therapeutic use', 'Arabinonucleosides/chemical synthesis/*pharmacology/therapeutic use', 'Cell Division/drug effects', 'Chemical Phenomena', 'Chemistry', 'Cytomegalovirus/*drug effects', 'Cytomegalovirus Infections/*drug therapy', 'Humans', 'Leukemia L1210/pathology', 'Mice', 'Molecular Structure', 'Pyrimidine Nucleosides/chemical synthesis/*pharmacology/therapeutic use', 'Simplexvirus/drug effects', 'Structure-Activity Relationship', 'Toyocamycin/*analogs & derivatives/chemical synthesis/pharmacology/therapeutic use', 'Tumor Cells, Cultured']",,1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,J Med Chem. 1990 Dec;33(12):3160-9. doi: 10.1021/jm00174a011.,0022-2623 (Print) 0022-2623 (Linking),['10.1021/jm00174a011 [doi]'],,"['N01-AI-42554/AI/NIAID NIH HHS/United States', 'N01-AI-62518/AI/NIAID NIH HHS/United States', 'N01-AI-72641/AI/NIAID NIH HHS/United States', 'etc.']",,,,,,
2175343,NLM,MEDLINE,19910131,20190508,172,6,1990 Dec 1,Rearrangements and aberrant expression of the retinoic acid receptor alpha gene in acute promyelocytic leukemias.,1571-5,"Although acute promyelocytic leukemias (APLs) are consistently associated with a reciprocal chromosome 15;17 translocation, the gene(s) directly affected by the breakpoints have never been isolated. The chromosome 17 breakpoint maps to near the retinoic acid receptor alpha (RAR alpha) locus. Investigation of 20 APLs and a large series of other neoplastic patients and normal controls revealed RAR alpha gene rearrangements and aberrant transcripts only in the APL cases. These findings suggest that the RAR alpha gene is involved in the APL chromosome 17 breakpoint, is implicated in leukemogenesis, and could be used as a marker for identifying leukemic promyelocytes.","['Longo, L', 'Pandolfi, P P', 'Biondi, A', 'Rambaldi, A', 'Mencarelli, A', 'Lo Coco, F', 'Diverio, D', 'Pegoraro, L', 'Avanzi, G', 'Tabilio, A']","['Longo L', 'Pandolfi PP', 'Biondi A', 'Rambaldi A', 'Mencarelli A', 'Lo Coco F', 'Diverio D', 'Pegoraro L', 'Avanzi G', 'Tabilio A', 'et al.']","['Istituto di Clinica Medica I, University of Perugia, Policlinico Monteluce, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Carrier Proteins)', '0 (DNA Probes)', '0 (DNA, Neoplasm)', '0 (Receptors, Retinoic Acid)', '5688UTC01R (Tretinoin)']",IM,"['Blotting, Northern', 'Blotting, Southern', 'Carrier Proteins/*genetics', 'DNA Probes', 'DNA, Neoplasm/genetics/isolation & purification', '*Gene Rearrangement', 'Genes', 'Humans', 'Karyotyping', 'Leukemia, Promyelocytic, Acute/*genetics/metabolism', 'Receptors, Retinoic Acid', 'Restriction Mapping', 'Tretinoin/metabolism']",,1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,J Exp Med. 1990 Dec 1;172(6):1571-5. doi: 10.1084/jem.172.6.1571.,0022-1007 (Print) 0022-1007 (Linking),['10.1084/jem.172.6.1571 [doi]'],PMC2188762,,,,,,,
2175304,NLM,MEDLINE,19910129,20190723,43,10,1990 Oct,"Saintopin, a new antitumor antibiotic with topoisomerase II dependent DNA cleavage activity, from Paecilomyces.",1344-6,,"['Yamashita, Y', 'Saitoh, Y', 'Ando, K', 'Takahashi, K', 'Ohno, H', 'Nakano, H']","['Yamashita Y', 'Saitoh Y', 'Ando K', 'Takahashi K', 'Ohno H', 'Nakano H']",,['eng'],['Letter'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,"['0 (Antibiotics, Antineoplastic)', '0 (Benz(a)Anthracenes)', '131190-63-1 (saintopin)', '9007-49-2 (DNA)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",IM,"['Animals', 'Antibiotics, Antineoplastic/chemistry/isolation & purification/*pharmacology', 'Benz(a)Anthracenes/chemistry/isolation & purification/pharmacology', 'DNA/*metabolism', 'DNA Topoisomerases, Type II/*drug effects/genetics', 'Fermentation', 'Gram-Positive Bacteria/drug effects', 'HeLa Cells', 'Humans', 'Leukemia P388/drug therapy', 'Mice', 'Molecular Structure', 'Paecilomyces/*metabolism', 'Soil Microbiology']",,1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,J Antibiot (Tokyo). 1990 Oct;43(10):1344-6. doi: 10.7164/antibiotics.43.1344.,0021-8820 (Print) 0021-8820 (Linking),['10.7164/antibiotics.43.1344 [doi]'],,,,,,,,
