PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GS,SI,CIN,PMC,RF,GR,CON,EIN,TT,EFR,CRI,OID,OAB,OABL,OTO,OT,GN
8274607,NLM,MEDLINE,19940210,20190512,1058-4838 (Print) 1058-4838 (Linking),17 Suppl 2,,1993 Nov,Pneumocystis carinii pneumonia in patients without AIDS.,S416-22,"In the 1980s, tens of thousands of cases of Pneumocystis carinii pneumonia (PCP) occurred in persons with AIDS, making it the most common opportunistic infection encountered in this patient population. Thus, the presentation and clinical course of PCP became well-known to many physicians. Overshadowed by this epidemic was the continued occurrence of PCP in persons not infected with the human immunodeficiency virus, most notably those receiving immunosuppressive therapy for neoplastic disease or other indications. A review from Memorial Sloan-Kettering Cancer Center has demonstrated that, in addition to those patients previously defined as at risk--those with acute lymphocytic leukemia or allogeneic bone marrow transplantation--patients receiving corticosteroid therapy for a primary or metastatic brain neoplasm are at risk for PCP and should receive prophylaxis. Among patients with neoplastic disease, the disease may be more fulminant and the mortality rate higher--approaching 50% in most series. Wider use of prophylaxis should decrease the frequency of this disease, while prompt initiation of therapy in patients with a compatible syndrome should help to lower mortality rates.","['Sepkowitz, K A']",['Sepkowitz KA'],"['Infectious Disease Service, Memorial Sloan-Kettering Cancer Center, Cornell University Medical College, New York, New York 10021.']",['eng'],"['Journal Article', 'Review']",United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,['0 (Adrenal Cortex Hormones)'],IM,"['Adrenal Cortex Hormones/adverse effects', 'Bone Marrow Transplantation/adverse effects', 'Humans', 'Leukemia, Lymphoid/complications', 'New York City/epidemiology', 'Pneumonia, Pneumocystis/*epidemiology/etiology/*prevention & control', 'Risk Factors', 'Time Factors']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1093/clinids/17.supplement_2.s416 [doi]'],ppublish,Clin Infect Dis. 1993 Nov;17 Suppl 2:S416-22. doi: 10.1093/clinids/17.supplement_2.s416.,,,,,84,,,,,,,,,,,,
8274603,NLM,MEDLINE,19940210,20190512,1058-4838 (Print) 1058-4838 (Linking),17 Suppl 2,,1993 Nov,Prevention of infection in patients with B cell defects: focus on intravenous immunoglobulin.,S372-5,"Data with regard to B lymphocyte defects in patients with nonhematologic malignancies are limited. The incidence of bacterial infections following cytotoxic chemotherapy and major surgery appears to be higher for some patients with malignancies, but the infecting organisms are different than those found in patients with primary antibody deficiency. An exception to this are bacterial infections associated with hematologic malignancies, which usually are due to encapsulated bacteria. Antibody replacement therapy with intravenous immunoglobulin may reduce the frequency of infections in patients with hematologic malignancies or in those who have received chemotherapy or undergone major surgery for other malignancies. Better definition of B lymphocyte defects and additional trials of intravenous immunoglobulin therapy to define its role, particularly in relation to other methods of reducing infections, such as antibiotic prophylaxis, are needed.","['Yap, P L']",['Yap PL'],"['Edinburgh & South East Scotland Blood Transfusion Service, United Kingdom.']",['eng'],['Journal Article'],United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,"['0 (Immunoglobulins, Intravenous)']",IM,"['*B-Lymphocytes', 'Carcinoma, Small Cell/complications', 'Gastrointestinal Neoplasms/complications', 'Gram-Negative Bacterial Infections/prevention & control', 'Humans', '*Immunocompromised Host', 'Immunoglobulins, Intravenous/*therapeutic use', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications', 'Multiple Myeloma/complications', 'Opportunistic Infections/*prevention & control']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1093/clinids/17.supplement_2.s372 [doi]'],ppublish,Clin Infect Dis. 1993 Nov;17 Suppl 2:S372-5. doi: 10.1093/clinids/17.supplement_2.s372.,,,,,,,,,,,,,,,,,
8274602,NLM,MEDLINE,19940210,20190512,1058-4838 (Print) 1058-4838 (Linking),17 Suppl 2,,1993 Nov,Prevention of infections in patients with T cell defects.,S368-71,"Although no specific infection is limited entirely to hosts with T-lymphocyte defects, certain microbial organisms have an affinity for such individuals. Effective, safe, and feasible methods are available for the prevention of two of the major life-threatening infections in patients with T-lymphocyte defects, although none of these methods is ideal. Trimethoprim-sulfamethoxazole administered orally daily or thrice weekly is highly effective for the prevention of Pneumocystis carinii pneumonia. For patients who cannot tolerate this drug combination, monthly inhalation of aerosolized pentamidine is an alternative prophylactic approach. Additional drugs in clinical or preclinical trials offer promise for use in preventing this pneumonitis. Varicella is one of the most frequent serious viral infections in patients with cancer, especially children. Varicella-zoster immune globulin (VZIG) has proven effective in reducing the frequency of infection in exposed susceptible individuals; however, breakthrough infections are not uncommon. Of 358 children with acute lymphoblastic leukemia, 62 received VZIG following exposure to varicella, and 16 (26%) of these had breakthrough varicella. A live attenuated varicella-zoster virus vaccine offers promise, especially for the universal immunization of individuals before immunocompromise occurs.","['Hughes, W T']",['Hughes WT'],"[""Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, Tennessee 38105.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,,IM,"['Chickenpox/prevention & control', 'Child', 'Humans', '*Immunocompromised Host', 'Immunologic Deficiency Syndromes/*complications', 'Leukemia, Lymphoid/complications', 'Opportunistic Infections/*prevention & control', 'Pneumonia, Pneumocystis/prevention & control', 'T-Lymphocytes/*immunology']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1093/clinids/17.supplement_2.s368 [doi]'],ppublish,Clin Infect Dis. 1993 Nov;17 Suppl 2:S368-71. doi: 10.1093/clinids/17.supplement_2.s368.,,,,,,"['ACTG 175501/CT/CIT NIH HHS/United States', 'P30 CA 21765/CA/NCI NIH HHS/United States', 'R01 AI 20673-10/AI/NIAID NIH HHS/United States']",,,,,,,,,,,
8274601,NLM,MEDLINE,19940210,20190512,1058-4838 (Print) 1058-4838 (Linking),17 Suppl 2,,1993 Nov,Prevention of infections in the neutropenic patient.,S359-67,"Infections are still a frequent cause of morbidity in patients with hematologic malignancies. Until 10 years ago the microorganisms most frequently encountered were aerobic gram-negative bacilli, which in many centers were responsible for, on average, one infection per neutropenic period. Many different approaches to the prevention of these infections have been designed. Patients have been kept in strict isolation and given broad-spectrum antibiotics prophylactically. This approach has led to a decrease in the incidence of infections in these patients, but compliance and emergence of resistance have been important limiting factors. The rationale of selective decontamination with trimethoprim-sulfamethoxazole or quinolones was that the elimination of potentially pathogenic aerobic gram-negative bacilli from the gastrointestinal tract would prevent colonization and subsequent infection. The use of these antibiotics has led to a shift in the spectrum of infections. Infections due to gram-negative bacilli have been virtually eliminated, but the number of infections caused by gram-positive bacteria is rapidly increasing; however, the latter infections are most often only minor. In some centers quinolones are now used together with agents active against these gram-positive bacteria. The approach of selective decontamination has not led to fewer febrile episodes or to a lower mortality in neutropenic patients. Future studies should be directed towards identifying the cause of febrile episodes and the epidemiology of gram-positive bacterial infections.","['Verhoef, J']",['Verhoef J'],"['Eijkman-Winkler Institute for Medical and Clinical Microbiology, University Hospital Utrecht, The Netherlands.']",['eng'],['Journal Article'],United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,"['0 (Quinolones)', '8064-90-2 (Trimethoprim, Sulfamethoxazole Drug Combination)']",IM,"['Acute Disease', 'Bacterial Infections/epidemiology/prevention & control', 'Communicable Diseases/drug therapy/epidemiology', 'Humans', '*Infection Control/trends', 'Leukemia/*complications', 'Neutropenia/*complications', 'Quinolones/therapeutic use', 'Trimethoprim, Sulfamethoxazole Drug Combination/therapeutic use']",1993/11/01 00:00,1993/11/01 00:01,['1993/11/01 00:00'],"['1993/11/01 00:00 [pubmed]', '1993/11/01 00:01 [medline]', '1993/11/01 00:00 [entrez]']",['10.1093/clinids/17.supplement_2.s359 [doi]'],ppublish,Clin Infect Dis. 1993 Nov;17 Suppl 2:S359-67. doi: 10.1093/clinids/17.supplement_2.s359.,,,,,,,,,,,,,,,,,
8274477,NLM,MEDLINE,19940204,20191101,1049-8834 (Print) 1049-8834 (Linking),14,1,1994 Jan,"Oxidized LDL induces monocytic cell expression of interleukin-8, a chemokine with T-lymphocyte chemotactic activity.",47-53,"T lymphocytes, macrophages, and oxidized low-density lipoprotein (Ox-LDL) are collocalized in early atherosclerotic lesions. Using a low-endotoxin in vitro system, we observed that Ox-LDL but not native LDL induced the production, by both freshly adherent human peripheral blood monocytes and human monocytic THP-1 cells, of the alpha chemokine interleukin (IL)-8, a potent chemoattractant for T lymphocytes. Marked IL-8 induction by Ox-LDL did not require IL-1 beta generation in THP-1 cells. Ox-LDL-induced chemokine production was selective, as Ox-LDL did not stimulate the production by THP-1 cells of the T-lymphocyte chemotactic beta chemokine macrophage inflammatory protein (MIP)-1 alpha. IL-8 induction increased in proportion to the extent of oxidation of LDL as measured by the content of lipid oxidation end products. To identify potentially active components of Ox-LDL, we tested malondialdehyde, an arachidonate-derived lipid oxidation product, and 9-hydroxyoctadecadienoic acid, an oxidation product of linoleate, the major polyunsaturated fatty acid in LDL, and observed that they induced IL-8 generation in the absence of Ox-LDL. Furthermore, when most free lipid oxidation products were removed from Ox-LDL by dialysis, some IL-8-inducing activity was released into the dialysate. However, the major IL-8-inducing activity was not dialyzable. To address the nature of the LDL particle modification required to induce IL-8, acetylated or malondialdehyde-treated native LDL particles were monitored for activity. Neither procedure rendered LDL capable of inducing IL-8. However, phospholipase A2-treated LDL induced THP-1 cell expression of IL-8.(ABSTRACT TRUNCATED AT 250 WORDS)","['Terkeltaub, R', 'Banka, C L', 'Solan, J', 'Santoro, D', 'Brand, K', 'Curtiss, L K']","['Terkeltaub R', 'Banka CL', 'Solan J', 'Santoro D', 'Brand K', 'Curtiss LK']","['VA Medical Center, San Diego, CA 92161.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arterioscler Thromb,Arteriosclerosis and thrombosis : a journal of vascular biology,9101388,"['0 (Interleukin-1)', '0 (Interleukin-8)', '0 (Linoleic Acids)', '0 (Linoleic Acids, Conjugated)', '0 (Lipoproteins, LDL)', '0 (Thiobarbituric Acid Reactive Substances)', '15514-85-9 (9-hydroxy-10,12-octadecadienoic acid)', '4Y8F71G49Q (Malondialdehyde)', 'EC 3.1.1.32 (Phospholipases A)', 'EC 3.1.1.4 (Phospholipases A2)']",IM,"['Acetylation', '*Chemotaxis, Leukocyte', 'Humans', 'Interleukin-1/biosynthesis', 'Interleukin-8/*biosynthesis', 'Leukemia, Myeloid', 'Linoleic Acids/pharmacology', '*Linoleic Acids, Conjugated', 'Lipoproteins, LDL/*pharmacology', 'Malondialdehyde/pharmacology', 'Monocytes/drug effects/*metabolism', 'Oxidation-Reduction', 'Phospholipases A/pharmacology', 'Phospholipases A2', 'T-Lymphocytes/*physiology', 'Thiobarbituric Acid Reactive Substances/metabolism', 'Tumor Cells, Cultured']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",['10.1161/01.atv.14.1.47 [doi]'],ppublish,Arterioscler Thromb. 1994 Jan;14(1):47-53. doi: 10.1161/01.atv.14.1.47.,,,,,,"['DK-36702/DK/NIDDK NIH HHS/United States', 'HL-35297/HL/NHLBI NIH HHS/United States', 'HL-50060/HL/NHLBI NIH HHS/United States']",,,,,,,,,,,
8274459,NLM,MEDLINE,19940209,20191023,0923-1811 (Print) 0923-1811 (Linking),6,2,1993 Oct,T-cell receptor gene rearrangement in cells infiltrating skin eruptions specific to adult T-cell leukemia.,134-7,We examined T-cell receptor gene rearrangement in skin lesions and peripheral blood from 6 patients with adult T-cell leukemia (ATL) using the Southern blot method and a c beta 1 probe. A rearrangement signal common to skin lesions of all 6 patients was observed. One patient (Case 4) exhibited another rearrangement signal in the skin lesion and an identical signal was detected in the peripheral blood. This is the first report describing a specific pattern of T-cell receptor gene rearrangement in ATL. The signal obtained is assumed to represent receptors of T cells involved in surveillance of HTLV-I infected T cells.,"['Kanekura, T', 'Setoyama, M', 'Hamada, T', 'Katahira, Y', 'Tashiro, M']","['Kanekura T', 'Setoyama M', 'Hamada T', 'Katahira Y', 'Tashiro M']","['Department of Dermatology, Faculty of Medicine, Kagoshima University, Japan.']",['eng'],"['Comparative Study', 'Journal Article']",Netherlands,J Dermatol Sci,Journal of dermatological science,9011485,"['0 (DNA, Neoplasm)', '0 (DNA, Viral)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Aged', 'Blotting, Southern', 'DNA, Neoplasm/genetics', 'DNA, Viral/analysis', 'Female', '*Gene Rearrangement', 'HTLV-I Infections/genetics', 'Humans', 'Leukemia, T-Cell/blood/*genetics', 'Male', 'Middle Aged', 'Receptors, Antigen, T-Cell/*genetics', 'Skin Diseases/*genetics']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']","['0923-1811(93)90003-8 [pii]', '10.1016/0923-1811(93)90003-8 [doi]']",ppublish,J Dermatol Sci. 1993 Oct;6(2):134-7. doi: 10.1016/0923-1811(93)90003-8.,,,,,,,,,,,,,,,,,
8274451,NLM,MEDLINE,19940210,20091119,1044-9523 (Print) 1044-9523 (Linking),4,10,1993 Oct,"Identification of 21 novel human protein kinases, including 3 members of a family related to the cell cycle regulator nimA of Aspergillus nidulans.",821-30,"The nimA gene encodes a protein-serine/threonine kinase that is required along with the p34cdc2 kinase for mitosis in Aspergillus nidulans. We have searched for human protein kinases that are related to the NIMA protein kinase using the polymerase chain reaction. Different pairs of degenerate oligonucleotides specific for conserved amino acid motifs in the catalytic domain of NIMA were used as primers in the polymerase chain reaction to amplify partial complementary DNAs (cDNAs) of protein kinases expressed in the promyelocytic leukemia cell line HL-60. Forty-one distinct cDNAs representing a broad spectrum of serine/threonine- and tyrosine-specific protein kinases were identified, and the sequences for 21 of these protein kinases were found to be unique. Three of these cDNAs represent a family of protein kinases whose members are related to NIMA and the murine nimA-related protein kinase Nek1. We discuss the success of this polymerase chain reaction approach with respect to the use of multiple primer pairs, the influence of primer degeneracy, and the tolerance of cDNA amplification to mismatches between primers and template mRNA.","['Schultz, S J', 'Nigg, E A']","['Schultz SJ', 'Nigg EA']","['Swiss Institute for Experimental Cancer Research, Epalinges.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell Growth Differ,Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research,9100024,"['0 (DNA Primers)', 'EC 2.7.- (Protein Kinases)']",IM,"['Amino Acid Sequence', 'Aspergillus nidulans/*genetics', 'Base Sequence', 'Catalysis', 'Cell Cycle/*genetics', 'DNA Primers', '*Genes, Regulator', 'Humans', 'Molecular Sequence Data', '*Multigene Family', 'Polymerase Chain Reaction', 'Protein Kinases/*genetics', 'Protein Structure, Tertiary', 'Sequence Alignment', 'Tumor Cells, Cultured']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",,ppublish,Cell Growth Differ. 1993 Oct;4(10):821-30.,"['nek1', 'nimA']","['GENBANK/Z25421', 'GENBANK/Z25422', 'GENBANK/Z25423', 'GENBANK/Z25424', 'GENBANK/Z25425', 'GENBANK/Z25426', 'GENBANK/Z25427', 'GENBANK/Z25428', 'GENBANK/Z25429', 'GENBANK/Z25430', 'GENBANK/Z25431', 'GENBANK/Z25432', 'GENBANK/Z25433', 'GENBANK/Z25434', 'GENBANK/Z25435', 'GENBANK/Z25436', 'GENBANK/Z25437']",,,,,,,,,,,,,,,
8274279,NLM,MEDLINE,19940204,20190821,0896-6273 (Print) 0896-6273 (Linking),11,6,1993 Dec,Cytokine-induced programmed death of cultured sympathetic neurons.,1123-32,"Programmed cell death (PCD) of sympathetic neurons is inhibited by nerve growth factor. However, factors that induce PCD of these cells are unknown. Leukemia inhibitory factor (LIF) and ciliary neurotrophic factor, neuropoietic cytokines known to regulate sympathetic neuron gene expression, were examined for effects on survival of cultured sympathetic neurons. Treatment with LIF or ciliary neurotrophic factor caused neuronal death in a dose-dependent fashion. Inhibition of RNA or protein synthesis, or treatment with potassium, all of which prevent PCD after nerve growth factor deprivation, prevented LIF-induced death. The morphologic and ultrastructural characteristics of the neuronal death induced by LIF and by nerve growth factor deprivation were similar. Furthermore, LIF treatment resulted in DNA fragmentation with a characteristic ""ladder"" on Southern blot analysis. These observations suggest that neuron numbers may be regulated by factors which initiate PCD, as well as by factors which prevent it.","['Kessler, J A', 'Ludlam, W H', 'Freidin, M M', 'Hall, D H', 'Michaelson, M D', 'Spray, D C', 'Dougherty, M', 'Batter, D K']","['Kessler JA', 'Ludlam WH', 'Freidin MM', 'Hall DH', 'Michaelson MD', 'Spray DC', 'Dougherty M', 'Batter DK']","['Department of Neurology, Albert Einstein College of Medicine, Bronx, New York 10461.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Neuron,Neuron,8809320,"['0 (Ciliary Neurotrophic Factor)', '0 (Cytokines)', '0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '0 (Nerve Growth Factors)', '0 (Nerve Tissue Proteins)', '0 (Receptors, Nerve Growth Factor)', 'SY7Q814VUP (Calcium)']",IM,"['Analysis of Variance', 'Animals', 'Animals, Newborn', 'Apoptosis/*drug effects', 'Calcium/metabolism', 'Cell Survival/drug effects', 'Cells, Cultured', 'Ciliary Neurotrophic Factor', 'Cytokines/*pharmacology', 'DNA Damage/drug effects', 'Dose-Response Relationship, Drug', 'Growth Inhibitors/*pharmacology', '*Interleukin-6', 'Kinetics', 'Leukemia Inhibitory Factor', 'Lymphokines/*pharmacology', 'Microscopy, Electron', 'Nerve Growth Factors/metabolism/*pharmacology', 'Nerve Tissue Proteins/*pharmacology', 'Neurons/*cytology/drug effects/ultrastructure', 'Rats', 'Receptors, Nerve Growth Factor/metabolism', 'Superior Cervical Ganglion/*cytology', 'Time Factors']",1993/12/01 00:00,1993/12/01 00:01,['1993/12/01 00:00'],"['1993/12/01 00:00 [pubmed]', '1993/12/01 00:01 [medline]', '1993/12/01 00:00 [entrez]']","['0896-6273(93)90225-G [pii]', '10.1016/0896-6273(93)90225-g [doi]']",ppublish,Neuron. 1993 Dec;11(6):1123-32. doi: 10.1016/0896-6273(93)90225-g.,,,,,,"['NS20013/NS/NINDS NIH HHS/United States', 'NS20778/NS/NINDS NIH HHS/United States']",,,,,,,,,,,
8274267,NLM,MEDLINE,19940210,20190914,0829-8211 (Print) 0829-8211 (Linking),71,5-6,1993 May-Jun,Expression of the protooncogene c-jun is maintained during myogenic differentiation in rat L6 myoblasts.,260-9,"Skeletal myoblasts undergo terminal differentiation when maintained under low-mitogen conditions. We have examined the expression of c-jun, one of the growth-factor-inducible immediate-early genes, during myogenic differentiation of L6 myoblasts. The steady-state levels of c-jun mRNA, c-Jun polypeptide, and activator protein 1 binding activity were not markedly altered in L6 cells undergoing myogenic differentiation. Although expression of c-jun is induced by serum mitogens in fibroblasts and other cell lines, addition of high serum to proliferating myoblasts resulted in the activation of another immediate early gene junB, but not c-jun mRNA expression. These results indicate that regulation of c-jun may differ from that of other immediate early genes in L6 cells. Manipulation of myogenesis by exposing L6 cells to dimethyl sulfoxide also suggested that expression of myogenin and muscle differentiation could occur in the presence of high levels of c-Jun. Furthermore, expression of c-jun from Moloney murine leukaemia viral long-terminal repeat in transfected L6 cells confirmed that constitutive expression of c-jun does not interfere with myogenesis in L6 myoblasts. Therefore, regulation of c-jun expression in rat L6 cells differs from that in the mouse C2 cell line.","['Thinakaran, G', 'Bag, J']","['Thinakaran G', 'Bag J']","['Department of Molecular Biology and Genetics, University of Guelph, ON, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Canada,Biochem Cell Biol,Biochemistry and cell biology = Biochimie et biologie cellulaire,8606068,"['0 (Myog protein, rat)', '0 (Myogenin)', '0 (Proto-Oncogene Proteins c-jun)', '0 (RNA, Messenger)', '9007-49-2 (DNA)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Base Sequence', 'Blood', 'Cell Differentiation/drug effects/*genetics', 'Cell Line', 'DNA/metabolism', 'Dimethyl Sulfoxide/pharmacology', '*Gene Expression', '*Genes, jun', 'Half-Life', 'Moloney murine leukemia virus/genetics', 'Muscles/*cytology', 'Myogenin/genetics', 'Proto-Oncogene Proteins c-jun/metabolism', 'RNA, Messenger/metabolism', 'Rats', 'Repetitive Sequences, Nucleic Acid', 'Transcription, Genetic', 'Transfection']",1993/05/01 00:00,1993/05/01 00:01,['1993/05/01 00:00'],"['1993/05/01 00:00 [pubmed]', '1993/05/01 00:01 [medline]', '1993/05/01 00:00 [entrez]']",['10.1139/o93-040 [doi]'],ppublish,Biochem Cell Biol. 1993 May-Jun;71(5-6):260-9. doi: 10.1139/o93-040.,['c-jun'],,,,,,,,,,,,,,,,
8274203,NLM,MEDLINE,19940208,20061115,1001-652X (Print) 1001-652X (Linking),36,9,1993 Sep,Molecular study on the chromosome 15 breakpoints in the translocation t(15; 17) in acute promyelocytic leukemia (APL).,1101-9,"Chromosomal translocation t(15; 17) is a specific marker of acute promyelocytic leukemia (APL). In this study, molecular cloning of the t(15; 17) breakpoint was carried out in a Chinese APL patient. It has been shown that the retinoic acid receptor alpha (RARA) gene, normally located on chromosome 17, was fused with a new transcription unit PML, normally localized on chromosome 15. We have subsequently cloned a portion of the PML gene and generated a panel of probes. A PML gene rearrangement was detected in 33 out of 36 APL cases studied. 24 rearrangements were clustered in a 4.4 kb region, designated here as PMLbcr1 whereas 9 rearrangements were concentrated in a 6.5 kb region, defining another breakpoint cluster region (PMLbcr2). These two types of rearrangement constitute the basis for the heterogeneity of the PML-RARA fusion gene and its possible biological significance remains to be explored.","['Dong, S', 'Tong, J H', 'Huang, W', 'Chen, S J', 'Chen, Z', 'Wang, Z Y', 'Geng, J P', 'Qi, Z W']","['Dong S', 'Tong JH', 'Huang W', 'Chen SJ', 'Chen Z', 'Wang ZY', 'Geng JP', 'Qi ZW']","['Laboratory of Molecular Biology, Shanghai Institute of Hematology, Shanghai Rui-Jin Hospital, Shanghai Second Medical University, PRC.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Sci China B,"Science in China. Series B, Chemistry, life sciences & earth sciences",8913082,"['0 (Neoplasm Proteins)', '0 (Receptors, Retinoic Acid)']",IM,"['Adolescent', 'Adult', 'Aged', 'Amino Acid Sequence', 'Base Sequence', 'Child', 'Child, Preschool', '*Chromosomes, Human, Pair 15', '*Chromosomes, Human, Pair 17', 'Cloning, Molecular', 'Female', 'Gene Rearrangement', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics', 'Male', 'Middle Aged', 'Molecular Sequence Data', 'Neoplasm Proteins/genetics', 'Receptors, Retinoic Acid/genetics', '*Translocation, Genetic']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",,ppublish,Sci China B. 1993 Sep;36(9):1101-9.,,,,,,,,,,,,,,,,,
8274156,NLM,MEDLINE,19940131,20190623,0006-2952 (Print) 0006-2952 (Linking),46,12,1993 Dec 14,"The in vivo metabolic stability of dipeptide analogues of the quinazoline antifolate, ICI 198583, in mice.",2229-34,"In the search for quinazoline thymidylate synthase inhibitors that are not subject to intracellular polyglutamation, a class of dipeptide analogues of the diglutamate of 2-desamino-2-methyl-N10-propargyl-5,8-dideazafolic acid (ICI 198583-gamma-L-glu) has been evaluated for their stability to in vivo hydrolysis. Replacement of the second glutamate with another amino acid, e.g. alanine, prevented polyglutamation in vitro but such compounds were subject to hydrolysis when injected into mice. The extent of hydrolysis was measured in plasma, liver and kidney by HPLC analysis of tissue removed from mice 1 hr after i.p. injection. The enzyme responsible for this hydrolysis is thought to be a gamma-glutamyl hydrolase which hydrolyses the amide bond, releasing ICI 198583 which may then be polyglutamated. Development of stable dipeptide compounds was achieved by structural modification in two principal ways: either by replacement of the second amino acid (e.g. glutamate or alanine) with its D-enantiomer or removal of the carboxyl on the alpha-carbon of the second amino acid (alpha'-COOH). In this second approach two series of compounds were investigated. Monocarboxylate-derived dipeptides, e.g. ICI 198583-gamma-L-phenylalanine or ICI 198583-gamma-phenylglycine, resulted in stable compounds after removal of the alpha'-COOH (to give -ethylamide and -benzylamide derivatives, respectively). However, for the dicarboxylic amino acids a less clear picture emerged. Although removal of the alpha'-COOH from ICI198583-gamma-L-glutamate to give ICI 198583-gamma-gamma-aminobutyric acid resulted in a stable compound, the corresponding aspartate analogue (-beta-alanine) was subject to hydrolysis.","['Jodrell, D I', 'Gibson, W', 'Bisset, G M', 'Boyle, F T', 'Judson, I R', 'Jackman, A L']","['Jodrell DI', 'Gibson W', 'Bisset GM', 'Boyle FT', 'Judson IR', 'Jackman AL']","['Drug Development Section, Institute of Cancer Research, Sutton, Surrey, U.K.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem Pharmacol,Biochemical pharmacology,0101032,"['0 (Dipeptides)', '0 (Folic Acid Antagonists)', '935E97BOY8 (Folic Acid)', 'EC 2.1.1.45 (Thymidylate Synthase)', 'N8VP1Y24AU (ICI 198583)']",IM,"['Animals', 'Dipeptides/chemistry/*metabolism', 'Drug Stability', 'Folic Acid/*analogs & derivatives/chemistry/metabolism', 'Folic Acid Antagonists/chemistry/*metabolism', 'Leukemia L1210', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Stereoisomerism', 'Thymidylate Synthase/antagonists & inhibitors', 'Tumor Cells, Cultured']",1993/12/14 00:00,1993/12/14 00:01,['1993/12/14 00:00'],"['1993/12/14 00:00 [pubmed]', '1993/12/14 00:01 [medline]', '1993/12/14 00:00 [entrez]']","['0006-2952(93)90613-2 [pii]', '10.1016/0006-2952(93)90613-2 [doi]']",ppublish,Biochem Pharmacol. 1993 Dec 14;46(12):2229-34. doi: 10.1016/0006-2952(93)90613-2.,,,,,,,,,,,,,,,,,
