PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,TT,PMC,AB,OID
5291054,NLM,MEDLINE,19720511,20041117,0022-1961 (Print) 0022-1961 (Linking),28,5,1971,[Case of myelogenous leukemia complicated with early stomach cancer and gastric ulcer].,982-7,"['Uchida, S', 'Miyamoto, N', 'Murao, H', 'Saito, T']","['Uchida S', 'Miyamoto N', 'Murao H', 'Saito T']",['jpn'],['Journal Article'],Japan,Naika,Naika. Internal medicine,0413541,IM,"['Adenocarcinoma/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Stomach Neoplasms/*complications', 'Stomach Ulcer/*complications']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Naika. 1971;28(5):982-7.,,,,,,
5290858,NLM,MEDLINE,19720501,20071115,0004-1955 (Print) 0004-1955 (Linking),33,3,1971,[Bone marrow biopsy in the diagnosis of blood diseases].,3-11,"['Nemenova, N M', 'Protasova, T G', 'Voronin, V M']","['Nemenova NM', 'Protasova TG', 'Voronin VM']",['rus'],['Journal Article'],Russia (Federation),Arkh Patol,Arkhiv patologii,0370604,IM,"['Acromegaly/pathology', 'Adipose Tissue/anatomy & histology', 'Anemia, Aplastic/diagnosis/therapy', 'Bone Marrow/anatomy & histology/pathology', '*Bone Marrow Examination', 'Diagnosis, Differential', 'Hematologic Diseases/*diagnosis/drug therapy/pathology', 'Hematopoiesis', 'Humans', 'Ilium', 'Leukemia/diagnosis/drug therapy/pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid/drug therapy/pathology', 'Obesity/pathology', 'Splenomegaly/diagnosis', 'Sternum']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Arkh Patol. 1971;33(3):3-11.,,,Biopsiia kostnogo mozga v diagnostike zabolevanii sistemy krovi.,,,
5290853,NLM,MEDLINE,19720501,20190913,0003-4800 (Print) 0003-4800 (Linking),35,2,1971 Oct,Data on the linkage relationships of the HL-A and -haptoglobin loci in man.,161-6,"['Hardisty, R M', 'Till, M M', 'Lawler, S D', 'Klouda, P T', 'Batchelor, J R', 'Edwards, J H', 'Stuart, J', 'Cook, P J', 'Robson, E B']","['Hardisty RM', 'Till MM', 'Lawler SD', 'Klouda PT', 'Batchelor JR', 'Edwards JH', 'Stuart J', 'Cook PJ', 'Robson EB']",['eng'],['Journal Article'],England,Ann Hum Genet,Annals of human genetics,0416661,IM,"['Child', 'Female', 'Genetic Linkage', '*Genetics, Medical', '*Haptoglobins', '*Histocompatibility', 'Humans', 'Leukemia, Lymphoid/genetics', 'Lymphocytes/*immunology', 'Male', 'Recombination, Genetic']",1971/10/01 00:00,1971/10/01 00:01,['1971/10/01 00:00'],"['1971/10/01 00:00 [pubmed]', '1971/10/01 00:01 [medline]', '1971/10/01 00:00 [entrez]']",ppublish,Ann Hum Genet. 1971 Oct;35(2):161-6. doi: 10.1111/j.1469-1809.1956.tb01388.x.,['0 (Haptoglobins)'],['10.1111/j.1469-1809.1956.tb01388.x [doi]'],,,,
5290852,NLM,MEDLINE,19720428,20071115,0049-6804 (Print) 0049-6804 (Linking),5,,1971 May,[State of arterial tonus in patients with leukemia].,43-6,"['Denisiuk, V I']",['Denisiuk VI'],['rus'],['Journal Article'],Ukraine,Vrach Delo,Vrachebnoe delo,0413607,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Arteries/*physiopathology', 'Female', 'Humans', 'Leukemia/*physiopathology', 'Leukemia, Lymphoid/physiopathology', 'Leukemia, Myeloid/physiopathology', 'Male', 'Middle Aged', 'Pulse', 'Vasomotor System/physiopathology']",1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",ppublish,Vrach Delo. 1971 May;5:43-6.,,,Sostoianie tonusa arterii u bel'nykh leikozom.,,,
5290847,NLM,MEDLINE,19720428,20071115,0552-2080 (Print) 0552-2080 (Linking),16,12,1971 Dec,[Prolonged remissions of acute leukemia in children].,3-6,"['Kurmashov, V I', ""Koshel', I V""]","['Kurmashov VI', ""Koshel' IV""]",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Acute Disease', 'Adolescent', 'Child', 'Humans', '*Leukemia, Lymphoid', '*Leukemia, Myeloid, Acute', 'Time Factors']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1971 Dec;16(12):3-6.,,,Dlitel'nye remissii ostrogo leikoza u detei.,,,
5290846,NLM,MEDLINE,19720428,20041117,0552-2080 (Print) 0552-2080 (Linking),16,12,1971 Dec,[Aneuploid lines of cells in patients with chronic myeloleukemia not during blastic crises].,10-6,"['Fleishman, E V', 'Volkova, M A']","['Fleishman EV', 'Volkova MA']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['*Aneuploidy', '*Cell Line', '*Chromosome Aberrations', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Leukocytes/*cytology', 'Male', 'Middle Aged']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1971 Dec;16(12):10-6.,,,Aneuploidnye linii kletok u bol'nykh khronicheskim mieloleikozom vne blastnykh krizov.,,,
5290605,NLM,MEDLINE,19720420,20191030,0035-2977 (Print) 0035-2977 (Linking),14,2,1971 Jun,"[Blood frozen with the Huggins's method. Experimental and clinical results obtained at the ""Jean Julliard"" transfusion-resuscitation center].",235-45,"['Fabre, G', 'Fort, V', 'Gineste, J', 'Hainaut, J', 'Monteux, J', 'Saint-Blancard, J', 'Wajcman, H']","['Fabre G', 'Fort V', 'Gineste J', 'Hainaut J', 'Monteux J', 'Saint-Blancard J', 'Wajcman H']",['fre'],['Journal Article'],France,Rev Fr Transfus,Revue francaise de transfusion,7509498,IM,"['Adult', '*Blood Preservation', '*Blood Transfusion', 'Chromium Isotopes', 'Erythrocyte Aging', 'Erythrocytes/analysis/enzymology', '*Freezing', 'Glucosephosphate Dehydrogenase/blood', 'Hemoglobins/analysis', 'Hemolysis', 'Humans', 'Isotope Labeling', 'Leukemia, Myeloid/*therapy', 'Male', 'Methods', 'Osmotic Fragility']",1971/06/01 00:00,1971/06/01 00:01,['1971/06/01 00:00'],"['1971/06/01 00:00 [pubmed]', '1971/06/01 00:01 [medline]', '1971/06/01 00:00 [entrez]']",ppublish,Rev Fr Transfus. 1971 Jun;14(2):235-45. doi: 10.1016/s0035-2977(71)80040-8.,"['0 (Chromium Isotopes)', '0 (Hemoglobins)', 'EC 1.1.1.49 (Glucosephosphate Dehydrogenase)']",['10.1016/s0035-2977(71)80040-8 [doi]'],"Sang congele par le procede de Huggins. Resultats experimentaux et cliniques obtenusd au centre de transfusion-reamimation de l'Armee ""Jean Julliard"".",,,
5290566,NLM,MEDLINE,19720419,20141120,0027-8874 (Print) 0027-8874 (Linking),46,5,1971 May,In vitro growth of normal and leukemic human bone marrow.,989-1000,"['Brown, C H 3rd', 'Carbone, P P']","['Brown CH 3rd', 'Carbone PP']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Bone Marrow/*growth & development', '*Bone Marrow Cells', 'Cell Line', '*Culture Media', 'Culture Techniques', 'Embryo, Mammalian', 'Humans', 'Kidney', 'Leukemia, Lymphoid/*pathology', 'Leukemia, Myeloid/pathology', 'Leukemia, Myeloid, Acute/*pathology', 'Leukocytes', 'Methylcellulose/*pharmacology', 'Monocytes/growth & development']",1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1971 May;46(5):989-1000.,"['0 (Culture Media)', '9004-67-5 (Methylcellulose)']",,,,,
5290523,NLM,MEDLINE,19720418,20001218,0491-0982 (Print) 0491-0982 (Linking),53,6,1971 Nov-Dec,[A case of acute leukemia in dentistry].,429-31,"['Blazheva, Z', 'Popnikolov, K']","['Blazheva Z', 'Popnikolov K']",['bul'],['Journal Article'],Bulgaria,Stomatologiia (Sofiia),Stomatologiia. Stomatology,0404542,,"['Dentistry', 'Gingival Hypertrophy/etiology', 'Leukemia/complications', 'Oral Manifestations']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,Stomatologiia (Sofiia). 1971 Nov-Dec;53(6):429-31.,,,Edin sluchai v stomatologichnata praktika s leucosis acuta.,,,
5290389,NLM,MEDLINE,19720418,20211203,0035-9203 (Print) 0035-9203 (Linking),65,6,1971,Chronic myelocytic leukaemia in African children.,840-1,"['Lowe, R F']",['Lowe RF'],['eng'],['Journal Article'],England,Trans R Soc Trop Med Hyg,Transactions of the Royal Society of Tropical Medicine and Hygiene,7506129,IM,"['Blacks', 'Child', 'Humans', 'Leukemia, Myeloid/*epidemiology', 'Zimbabwe']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",ppublish,Trans R Soc Trop Med Hyg. 1971;65(6):840-1. doi: 10.1016/0035-9203(71)90104-0.,,['10.1016/0035-9203(71)90104-0 [doi]'],,,,
5290296,NLM,MEDLINE,19720415,20041117,0047-1860 (Print) 0047-1860 (Linking),19,,1971 Aug,[Improved standard fibrin plate method and development of methods for rapid analysis of fibrinogen-fibrin degradation products].,Suppl:258,"['Honi, S', 'Inaoka, Y', 'Ishibashi, K', 'Kawagoe, H']","['Honi S', 'Inaoka Y', 'Ishibashi K', 'Kawagoe H']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,IM,"['*Blood Coagulation Tests', 'Female', 'Fibrinogen/*analysis', '*Fibrinolysis', 'Humans', 'Leukemia, Myeloid/diagnosis', 'Male', 'Methods', 'Prostatic Neoplasms/diagnosis', 'Uterine Neoplasms/diagnosis']",1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",ppublish,Rinsho Byori. 1971 Aug;19:Suppl:258.,['9001-32-5 (Fibrinogen)'],,,,,
5290295,NLM,MEDLINE,19720415,20041117,0047-1860 (Print) 0047-1860 (Linking),19,,1971 Aug,[FDP (fibrinogen degradation products) determination by TRCHII (tanned red cell haemogglutination inhibition immunoassay) method].,Suppl:256,"['Abe, K', 'Endo, E', 'Kato, M']","['Abe K', 'Endo E', 'Kato M']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,IM,"['Fibrinogen/*analysis', '*Hemagglutination Inhibition Tests', 'Hemorrhage/diagnosis', 'Humans', 'Leukemia, Myeloid/diagnosis', 'Nephritis/diagnosis', 'Vascular Diseases/diagnosis']",1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",ppublish,Rinsho Byori. 1971 Aug;19:Suppl:256.,['9001-32-5 (Fibrinogen)'],,,,,
5290294,NLM,MEDLINE,19720415,20041117,0047-1860 (Print) 0047-1860 (Linking),19,,1971 Aug,[Evaluation of FDP (fibrinogen degradation products) determination by erythrocyte agglutination inhibition reaction].,Suppl:255,"['Watanabe, K', 'Usuda, F', 'Fukui, R', 'Sugita, H']","['Watanabe K', 'Usuda F', 'Fukui R', 'Sugita H']",['jpn'],['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,IM,"['Fibrinogen/*analysis', '*Hemagglutination Inhibition Tests', 'Humans', 'Leukemia, Myeloid/diagnosis']",1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",ppublish,Rinsho Byori. 1971 Aug;19:Suppl:255.,['9001-32-5 (Fibrinogen)'],,,,,
5290218,NLM,MEDLINE,19720413,20190825,0014-2972 (Print) 0014-2972 (Linking),2,1,1971 Nov,HL-A antigens in haematological malignant diseases.,39-42,"['Jeannet, M', 'Magnin, C']","['Jeannet M', 'Magnin C']",['eng'],['Journal Article'],England,Eur J Clin Invest,European journal of clinical investigation,0245331,IM,"['Antigens/*analysis', 'Antigens, Neoplasm/analysis', 'Hodgkin Disease/*immunology', 'Humans', 'Leukemia/*immunology', 'Leukemia, Lymphoid/immunology', 'Leukemia, Myeloid/immunology', 'Leukemia, Myeloid, Acute/immunology', 'Lymphoma/*immunology']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,Eur J Clin Invest. 1971 Nov;2(1):39-42. doi: 10.1111/j.1365-2362.1971.tb00566.x.,"['0 (Antigens)', '0 (Antigens, Neoplasm)']",['10.1111/j.1365-2362.1971.tb00566.x [doi]'],,,,
5290167,NLM,MEDLINE,19720411,20080620,0032-3756 (Print) 0032-3756 (Linking),26,48,1971 Nov 29,[Immunoelectrophoretic studies of serum proteins in patients with Hodgkin's disease and acute myeloid leukemia].,1859-62,"['Singer, Z', 'Salwa, J', 'Harlozinska, A']","['Singer Z', 'Salwa J', 'Harlozinska A']",['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,IM,"['Adolescent', 'Adult', 'Aged', 'Blood Proteins/*analysis', 'Hodgkin Disease/*blood', 'Humans', 'Immunoelectrophoresis', 'Leukemia, Myeloid, Acute/*blood', 'Middle Aged']",1971/11/29 00:00,1971/11/29 00:01,['1971/11/29 00:00'],"['1971/11/29 00:00 [pubmed]', '1971/11/29 00:01 [medline]', '1971/11/29 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1971 Nov 29;26(48):1859-62.,['0 (Blood Proteins)'],,Badania immunoelektroforetyczne bialek surowicy chorych na ziarnice zlosliwa i ostra bialaczke szpikowa.,,,
5290030,NLM,MEDLINE,19720406,20131121,0004-4172 (Print) 0004-4172 (Linking),21,11,1971 Nov,"[Antiphlogistic and analgetic effect of indomethazine in patients with inflammatory joint diseases, carcinoma, lymphogranulomatosis and chronic myelosis].",1831-2,"['Hiemeyer, V']",['Hiemeyer V'],['ger'],['Journal Article'],Germany,Arzneimittelforschung,Arzneimittel-Forschung,0372660,IM,"['Adult', 'Aged', 'Arthritis/*drug therapy', 'Female', 'Gout/drug therapy', 'Hodgkin Disease/drug therapy', 'Humans', 'Indomethacin/adverse effects/*therapeutic use', 'Leukemia, Myeloid/drug therapy', 'Male', 'Middle Aged', 'Neoplasms/*drug therapy', 'Spondylitis, Ankylosing/drug therapy']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",ppublish,Arzneimittelforschung. 1971 Nov;21(11):1831-2.,['XXE1CET956 (Indomethacin)'],,"Zur antiphlogistischen und analgetischen Wirkung von Indometacin bei Patienten mit entzundlichen Gelenkerkrankungen, Karzinomen, Lymphogranulomatose und chronischer Myelose.",,,
