PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,TT,AD
6996728,NLM,MEDLINE,19801125,20190610,0006-3002 (Print) 0006-3002 (Linking),605,3,1980 Sep 22,"Globin mRNA in Friend cells: its structure, function and synthesis.",347-64,"Accumulation of haemoglobin in induced MEL cells begins with the activation of transcription of the globin genes. Though much has been learned of cellular events affecting expression of the globin genes, e.g., from noninducible variants of MEL cells and cell fusion between MEL cells and other cell types, there is at present no in vitro system available that would permit more detailed study of the molecular events leading to transcription of the globin genes. Presumably, with the availability of cloned chromosomal genes such systems will soon be found. The products of transcription detected in induced MEL cells are 15 S and 11 S species which are precursor forms of beta- and alpha-globin mRNA, respectively. An unmodified primary transcript has not been detected. The 15 S species possesses a fully methylated 'cap' 1 structure the 5' end and poly(A) at the 3' end. Conceivably, there could be cleaving or splicing events preceding the 'capping' and polyadenylation, but all these reactions must occur extremely rapidly, since with a t 1/2 approx. 2 min a large proportion of the 15 S beta-globin RNA must be newly synthesised. It also contains the two intervening sequences found in the chromosomal genes. Selective processing occurs since from pulse and pulse-chase experiments most if not all of the 15 S beta-globin RNA is processed to mature 10 S beta-globin RNA very rapidly, whereas less than 10% of newly synthesised nuclear RNA (HnRNA) leaves the nucleus, the remainder being hydrolysed in the nucleus with a t 1/2 approx. 20 min. Perhaps rapid processing permits efficient transport to the cytoplasm. Further processing occurs in steps; apparently the large intervening sequence is removed first followed by the small intervening sequence. These steps do not appear to be rate limiting events and these sequences have not been detected separately from the 15 S beta-globin RNA. Such results and the wide divergency of intervening sequences, suggest that the intervening sequences per se play no essential function in the cell, though their presence in the nuclear transcript appears to necessary for processing to the mRNA. The selective processing accounts for more increase of the globin RNA in MEL cells, and further accumulation occurs by virtue of the stability of globin mRNA (t 1/2 approx. 17 h) compared with the bulk of poly(A)-RNA (t 1/2 approx. 3 h). It would appear, however, that specific destabilization of a class of stable mRNA (t 1/2 approx. 35 h) is necessary to allow globin mRNA to asccount for 90% of the mRNA population in reticulocytes.","['Curtis, P J']",['Curtis PJ'],['eng'],,"['Journal Article', 'Review']",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (RNA, Messenger)', '9004-22-2 (Globins)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Base Sequence', 'Cell Line', 'Cell Nucleus/metabolism', 'Dimethyl Sulfoxide/pharmacology', 'Genetic Code', 'Globins/*biosynthesis', 'Kinetics', 'Leukemia, Experimental/*metabolism', 'Mice', 'Nucleic Acid Conformation', '*Protein Biosynthesis', 'RNA, Messenger/*metabolism', '*Transcription, Genetic']",1980/09/22 00:00,1980/09/22 00:01,['1980/09/22 00:00'],"['1980/09/22 00:00 [pubmed]', '1980/09/22 00:01 [medline]', '1980/09/22 00:00 [entrez]']","['0304-419X(80)90016-5 [pii]', '10.1016/0304-419x(80)90016-5 [doi]']",ppublish,Biochim Biophys Acta. 1980 Sep 22;605(3):347-64. doi: 10.1016/0304-419x(80)90016-5.,152,,,
6996727,NLM,MEDLINE,19801125,20190610,0006-3002 (Print) 0006-3002 (Linking),605,3,1980 Sep 22,Chemically induced murine erythroleukemic differentiation.,325-46,,"['Reuben, R C', 'Rifkind, R A', 'Marks, P A']","['Reuben RC', 'Rifkind RA', 'Marks PA']",['eng'],"['AM-25274/AM/NIADDK NIH HHS/United States', 'CA-18314/CA/NCI NIH HHS/United States', 'CA-24394/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (Acetamides)', '0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)', '0 (RNA, Messenger)', '12634-43-4 (Spectrin)', '9004-22-2 (Globins)', 'EC 2.7.7.7 (DNA-Directed DNA Polymerase)']",IM,"['Acetamides/pharmacology', 'Animals', 'Anti-Bacterial Agents/pharmacology', 'Antineoplastic Agents/pharmacology', 'Cell Cycle', 'Cell Differentiation/*drug effects', 'Cell Line', 'DNA-Directed DNA Polymerase/metabolism', 'Globins/biosynthesis', 'Kinetics', 'Leukemia, Experimental/*physiopathology', 'Mice', 'Protein Biosynthesis', 'RNA, Messenger/biosynthesis', 'Spectrin/biosynthesis', 'Transcription, Genetic']",1980/09/22 00:00,1980/09/22 00:01,['1980/09/22 00:00'],"['1980/09/22 00:00 [pubmed]', '1980/09/22 00:01 [medline]', '1980/09/22 00:00 [entrez]']","['0304-419X(80)90015-3 [pii]', '10.1016/0304-419x(80)90015-3 [doi]']",ppublish,Biochim Biophys Acta. 1980 Sep 22;605(3):325-46. doi: 10.1016/0304-419x(80)90015-3.,92,,,
6996726,NLM,MEDLINE,19801125,20190610,0006-3002 (Print) 0006-3002 (Linking),605,3,1980 Sep 22,The molecular biology of Friend virus.,305-24,,"['Troxler, D H', 'Ruscetti, S K', 'Scolnick, E M']","['Troxler DH', 'Ruscetti SK', 'Scolnick EM']",['eng'],,"['Journal Article', 'Review']",Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['0 (DNA, Viral)']",IM,"['Animals', 'Cell Line', 'Cell Transformation, Viral', 'DNA, Viral/*analysis', 'Friend murine leukemia virus/genetics/*physiology', '*Genes, Viral', 'Leukemia, Experimental/*physiopathology', 'Mice', 'Species Specificity', 'Spleen/microbiology', 'Virus Replication']",1980/09/22 00:00,1980/09/22 00:01,['1980/09/22 00:00'],"['1980/09/22 00:00 [pubmed]', '1980/09/22 00:01 [medline]', '1980/09/22 00:00 [entrez]']","['0304-419X(80)90014-1 [pii]', '10.1016/0304-419x(80)90014-1 [doi]']",ppublish,Biochim Biophys Acta. 1980 Sep 22;605(3):305-24. doi: 10.1016/0304-419x(80)90014-1.,79,,,
6996564,NLM,MEDLINE,19801024,20131121,0066-4154 (Print) 0066-4154 (Linking),49,,1980,On the mechanism of action of folate- and biopterin-requiring enzymes.,227-51,,"['Benkovic, S J']",['Benkovic SJ'],['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Annu Rev Biochem,Annual review of biochemistry,2985150R,"['0 (Formates)', '0 (Pteridines)', '1HG84L3525 (Formaldehyde)', '22150-76-1 (Biopterin)', '935E97BOY8 (Folic Acid)', 'EC 1.- (Mixed Function Oxygenases)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'EC 1.5.1.5 (Methylenetetrahydrofolate Dehydrogenase (NADP))', 'EC 2.1.2.1 (Glycine Hydroxymethyltransferase)']",IM,"['Animals', 'Bacteria/enzymology', 'Biopterin/*pharmacology', 'Folic Acid/*pharmacology', 'Formaldehyde/metabolism', 'Formates/metabolism', 'Glycine Hydroxymethyltransferase/metabolism', 'Leukemia L1210/enzymology', 'Liver/enzymology', 'Methylenetetrahydrofolate Dehydrogenase (NADP)/metabolism', 'Mice', 'Mixed Function Oxygenases/*metabolism', 'Molecular Conformation', 'Oxidation-Reduction', 'Pteridines/*pharmacology', 'Tetrahydrofolate Dehydrogenase/*metabolism']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1146/annurev.bi.49.070180.001303 [doi]'],ppublish,Annu Rev Biochem. 1980;49:227-51. doi: 10.1146/annurev.bi.49.070180.001303.,161,,,
6996457,NLM,MEDLINE,19801024,20190622,0065-2598 (Print) 0065-2598 (Linking),127,,1980,Release of vitamin binding proteins from granulocytes by lithium: vitamin B12 and folate binding proteins.,61-78,,"['Herbert, V', 'Colman, N']","['Herbert V', 'Colman N']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,"['935E97BOY8 (Folic Acid)', '9FN79X2M3F (Lithium)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Cell Division/drug effects', 'Drinking', 'Folic Acid/*metabolism', 'Granulocytes/cytology/*drug effects', 'Humans', 'Leukemia, Myeloid/epidemiology', 'Leukemia, Myeloid, Acute/epidemiology', 'Lithium/*pharmacology', 'Protein Binding', 'Texas', 'Vitamin B 12/*metabolism']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1007/978-1-4757-0259-0_3 [doi]'],ppublish,Adv Exp Med Biol. 1980;127:61-78. doi: 10.1007/978-1-4757-0259-0_3.,44,,,
6996447,NLM,MEDLINE,19801021,20191031,0065-230X (Print) 0065-230X (Linking),31,,1980,The epidemiology of leukemia.,1-76,,"['Alderson, M']",['Alderson M'],['eng'],,"['Journal Article', 'Review']",United States,Adv Cancer Res,Advances in cancer research,0370416,"['0 (Antineoplastic Agents)', '0 (Immunosuppressive Agents)', '0 (Mycotoxins)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Agents/adverse effects', 'Child', 'Child, Preschool', 'Drug-Related Side Effects and Adverse Reactions', 'Female', 'Fetus/radiation effects', 'Humans', 'Immunologic Surveillance', 'Immunosuppressive Agents/adverse effects', 'Infant', 'Infant, Newborn', 'Leukemia/epidemiology/*etiology/genetics/mortality/transmission', 'Leukemia, Lymphoid/mortality', 'Leukemia, Myeloid/mortality', 'Leukemia, Radiation-Induced/mortality', 'Male', 'Marriage', 'Middle Aged', 'Mycotoxins/toxicity', 'Occupational Diseases/etiology/mortality', 'Pregnancy', 'Pregnancy Complications, Infectious/complications', 'Radiation Effects', 'Radiotherapy/adverse effects', 'Serologic Tests', 'Sex Factors', 'Social Class', 'Space-Time Clustering']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']","['S0065-230X(08)60656-9 [pii]', '10.1016/s0065-230x(08)60656-9 [doi]']",ppublish,Adv Cancer Res. 1980;31:1-76. doi: 10.1016/s0065-230x(08)60656-9.,315,,,
6996351,NLM,MEDLINE,19801021,20071115,0044-2542 (Print) 0044-2542 (Linking),35,2,1980 Jan 15,[Membrane markers of lymphoid cells in immunoproliferative diseases of man].,66-9,"The study of membrane markers of the proliferating cells in peripheral T cell neoplasia, in acute lymphoblastic leukemias and in various B-derived malignancies has allowed to get insight into the various steps of the differentiation process of normal human lymphoid cells.","['Seligmann, M', 'Brouet, J C', ""Preud'homme, J L""]","['Seligmann M', 'Brouet JC', ""Preud'homme JL""]",['ger'],,"['English Abstract', 'Journal Article', 'Review']",Germany,Z Gesamte Inn Med,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,21730470R,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",IM,"['Antigens, Neoplasm/*immunology', 'Antigens, Surface/*immunology', 'B-Lymphocytes/pathology', 'Cell Differentiation', 'Clone Cells/immunology', 'Humans', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/cytology', 'Sezary Syndrome/*immunology', 'T-Lymphocytes/pathology']",1980/01/15 00:00,1980/01/15 00:01,['1980/01/15 00:00'],"['1980/01/15 00:00 [pubmed]', '1980/01/15 00:01 [medline]', '1980/01/15 00:00 [entrez]']",,ppublish,Z Gesamte Inn Med. 1980 Jan 15;35(2):66-9.,22,,Membranmarker von Lymphoidzellen bei immunproliferativen Erkrankungen des Menschen.,
6996205,NLM,MEDLINE,19801024,20061115,0340-6245 (Print) 0340-6245 (Linking),43,1,1980 Feb 29,Molecular subunits and transamidase activity of factor XIII during disseminated intravascular coagulation in acute leukaemia.,6-9,,"['Rodeghiero, F', 'Barbui, T', 'Battista, R', 'Chisesi, T', 'Rigoni, G', 'Dini, E']","['Rodeghiero F', 'Barbui T', 'Battista R', 'Chisesi T', 'Rigoni G', 'Dini E']",['eng'],,['Journal Article'],Germany,Thromb Haemost,Thrombosis and haemostasis,7608063,"['0 (Blood Coagulation Factors)', '9013-56-3 (Factor XIII)', 'EC 2.1.4.- (Amidinotransferases)', 'EC 3.4.- (Peptide Hydrolases)']",IM,"['Acute Disease', 'Amidinotransferases/metabolism', 'Blood Coagulation Factors/metabolism', 'Disseminated Intravascular Coagulation/*enzymology', 'Factor XIII/*metabolism', 'Humans', 'Leukemia/*enzymology', 'Peptide Hydrolases/metabolism']",1980/02/29 00:00,1980/02/29 00:01,['1980/02/29 00:00'],"['1980/02/29 00:00 [pubmed]', '1980/02/29 00:01 [medline]', '1980/02/29 00:00 [entrez]']",,ppublish,Thromb Haemost. 1980 Feb 29;43(1):6-9.,,,,
6996116,NLM,MEDLINE,19801027,20140912,0256-9574 (Print),57,11,1980 Mar 15,The University of Cape Town leukaemia centre: the first 5 years.,396-9,"In the last 5 years there has been an increasing commitment to cell support regimens and bone marrow transplantation in leukaemia and the clinical service has developed in parallel with laboratory-based research programmes. In the acute leukaemias there has been a major attempt to improve diagnostic accuracy and to classify the tumours functionally, while the clinical approach is currently comparing bone marrow transplantation during the first complete remission with early or late cytotoxic intensification programmes. As regards cell support, allogeneic granulocytes and platelets are being provided for patients in both the leukaemia and the transplantation programmes. In addition, new techniques are being developed for increasing the efficiency of cell collection and characterizing their in vitro function. Bone marrow transplantation is the preferred form of treatment for patients with severe acute aplastic anaemia. Laboratory research is directed at defining graft-versus-host disease and attempting to eliminate this phenomenon with immunological adjuvants.","['Jacobs, P', 'Dubovsky, D W', 'Kernoff, L M']","['Jacobs P', 'Dubovsky DW', 'Kernoff LM']",['eng'],,['Journal Article'],South Africa,S Afr Med J,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,0404520,"['04079A1RDZ (Cytarabine)', '80168379AG (Doxorubicin)', 'L36H50F353 (Podophyllotoxin)']",IM,"['Academic Medical Centers', 'Acute Disease', 'Bone Marrow Transplantation', 'Cytarabine/therapeutic use', 'Doxorubicin/therapeutic use', 'Drug Therapy, Combination', 'Humans', 'Leukapheresis', 'Leukemia/*therapy', 'Podophyllotoxin/therapeutic use', 'South Africa', 'Transplantation, Homologous']",1980/03/15 00:00,1980/03/15 00:01,['1980/03/15 00:00'],"['1980/03/15 00:00 [pubmed]', '1980/03/15 00:01 [medline]', '1980/03/15 00:00 [entrez]']",,ppublish,S Afr Med J. 1980 Mar 15;57(11):396-9.,,,,
6996097,NLM,MEDLINE,19801024,20191023,0037-198X (Print) 0037-198X (Linking),15,3,1980 Jul,The classification and pathology of the lymphomas and leukemias.,203-18,,"['Callihan, T R', 'Berard, C W']","['Callihan TR', 'Berard CW']",['eng'],,['Journal Article'],United States,Semin Roentgenol,Seminars in roentgenology,0053252,,IM,"['Burkitt Lymphoma/pathology', 'Hodgkin Disease/pathology', 'Humans', 'Leukemia/*classification/pathology', 'Leukemia, Lymphoid/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Lymphoma/*classification/pathology', 'Lymphoma, Follicular/pathology', 'Lymphoma, Large B-Cell, Diffuse/classification/pathology', 'Lymphoma, Non-Hodgkin/classification/pathology']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']","['0037-198X(80)90047-4 [pii]', '10.1016/0037-198x(80)90047-4 [doi]']",ppublish,Semin Roentgenol. 1980 Jul;15(3):203-18. doi: 10.1016/0037-198x(80)90047-4.,,,,
6996060,NLM,MEDLINE,19801024,20190904,0080-0015 (Print) 0080-0015 (Linking),72,,1980,Hairy--cell leukaemia.,1-123,,"['Cawley, J C', 'Burns, G F', 'Hayhoe, G J']","['Cawley JC', 'Burns GF', 'Hayhoe GJ']",['eng'],,"['Journal Article', 'Review']",Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,,IM,"['Diagnosis, Differential', 'Humans', '*Leukemia, Hairy Cell/blood/diagnosis/epidemiology/immunology/pathology/therapy']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",['10.1007/978-3-642-81437-2 [doi]'],ppublish,Recent Results Cancer Res. 1980;72:1-123. doi: 10.1007/978-3-642-81437-2.,391,,,
6996043,NLM,MEDLINE,19801024,20131121,0033-2240 (Print) 0033-2240 (Linking),37,4,1980,[Lycurim in the treatment of patients with chronic lymphocytic leukemia (author's transl)].,429-35,,"['Janicki, K', 'Skotnicki, A S', 'Blicharski, J', 'Kwiatkowski, A', 'Sliwczynska-Dura, B', 'Lisiewicz, J']","['Janicki K', 'Skotnicki AS', 'Blicharski J', 'Kwiatkowski A', 'Sliwczynska-Dura B', 'Lisiewicz J']",['pol'],,"['Clinical Trial', 'English Abstract', 'Journal Article']",Poland,Przegl Lek,Przeglad lekarski,19840720R,"['0 (Alkylating Agents)', '0 (Immunosuppressive Agents)', 'RA96B954X6 (Erythritol)', 'YIY0662KX9 (ritrosulfan)']",IM,"['Adult', 'Aged', 'Alkylating Agents/*therapeutic use', 'Clinical Trials as Topic', 'Erythritol/*analogs & derivatives/therapeutic use', 'Female', 'Follow-Up Studies', 'Humans', 'Immunosuppressive Agents', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Middle Aged']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Przegl Lek. 1980;37(4):429-35.,,,Lycurim w leczeniu chorych z bialaczka limfatyczna przewlekla.,
6995975,NLM,MEDLINE,19801021,20201209,0552-2080 (Print) 0552-2080 (Linking),25,7,1980 Jul,[Results of a cooperative clinical study of Soviet L-asparaginase from E. coli].,3-9,,"[""Kondrat'eva, N A"", 'Lorie, Iu I', 'Kruglova, G V', ""Vorob'ev, A I"", 'Brilliant, M D']","[""Kondrat'eva NA"", 'Lorie IuI', 'Kruglova GV', ""Vorob'ev AI"", 'Brilliant MD']",['rus'],,"['Clinical Trial', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,['EC 3.5.1.1 (Asparaginase)'],IM,"['Adolescent', 'Adult', 'Aged', 'Asparaginase/adverse effects/*therapeutic use', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Drug Tolerance', 'Escherichia coli/*enzymology', 'Humans', 'Infant', 'Leukemia/drug therapy', 'Lymphoma, Large B-Cell, Diffuse/drug therapy', 'Lymphoma, Non-Hodgkin/drug therapy', 'Middle Aged', 'USSR']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1980 Jul;25(7):3-9.,,,Rezul'taty kooperirovannogo klinicheskogo izucheniia otechestvennoi L-asparaginazy iz E. coli.,
6995974,NLM,MEDLINE,19801021,20211203,0552-2080 (Print) 0552-2080 (Linking),25,7,1980 Jul,[Determination of the adaptability of donor myelokaryocytes after histocompatible marrow allografts under immunodepression].,28-31,,"['Poreshina, L P', 'Liubimova, L S', 'Tananov, A T', 'Umbetkulova, E K', 'Korenevskaia, M I']","['Poreshina LP', 'Liubimova LS', 'Tananov AT', 'Umbetkulova EK', 'Korenevskaia MI']",['rus'],,"['Case Reports', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/therapy', 'Bone Marrow Cells', '*Bone Marrow Transplantation', 'Female', 'Graft Survival/*drug effects', 'Histocompatibility/*drug effects', 'Histocompatibility Testing', 'Humans', '*Immunosuppression Therapy', 'Leukemia, Lymphoid/therapy', 'Leukemia, Myeloid, Acute/therapy', 'Male', '*Tissue Donors', 'Transplantation, Homologous']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1980 Jul;25(7):28-31.,,,Opredelenie prizhivliaemosti donorskikh mielokariotsitov posle gistosovmestimykh allomielotransplantatsii v usloviiakh immunodepressii.,
6995973,NLM,MEDLINE,19801021,20071115,0552-2080 (Print) 0552-2080 (Linking),25,7,1980 Jul,[Granulocytopoiesis in hypoplastic anemia and acute leukemias studied using the 2-layer agar culture method].,14-6,,"['Fainshtein, F E', 'Turbina, N S', 'Kovaleva, L G', 'Vakhrusheva, M V', 'Kuzdenbaeva, R S']","['Fainshtein FE', 'Turbina NS', 'Kovaleva LG', 'Vakhrusheva MV', 'Kuzdenbaeva RS']",['rus'],,"['English Abstract', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,['9002-18-0 (Agar)'],IM,"['Agar', 'Anemia, Aplastic/*physiopathology', 'Bone Marrow/physiopathology', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Cytological Techniques', 'Granulocytes/*physiology', '*Hematopoiesis', 'Humans', 'Leukemia, Lymphoid/*physiopathology', 'Leukemia, Myeloid, Acute/*physiopathology']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1980 Jul;25(7):14-6.,,,Granulotsitopoez pri gipoplasticheskoi anemii i ostrykh leikozakh s ispol'zovaniem metoda dvusloinykh agarovykh kul'tur.,
6995972,NLM,MEDLINE,19801021,20171117,0552-2080 (Print) 0552-2080 (Linking),25,5,1980 May,[Immunosuppressive effect of cytostatics].,23-7,,"['Umbetkulova, E K', 'Liubimova, L S', 'Udovichenko, A I', 'Ermakova, G L', 'Martynova, V A']","['Umbetkulova EK', 'Liubimova LS', 'Udovichenko AI', 'Ermakova GL', 'Martynova VA']",['rus'],,['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,"['0 (Antineoplastic Agents)', '0 (Aziridines)', '0 (Immunosuppressive Agents)', '0 (Organophosphorus Compounds)', '0 (Purines)', '5J49Q6B70F (Vincristine)', '7AYY495RE0 (pumitepa)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'E7437K3983 (Carubicin)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'FTK8U1GZNX (Thioguanine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*administration & dosage', 'Asparaginase/administration & dosage', 'Aziridines/administration & dosage', 'Bone Marrow Transplantation', 'Carubicin/administration & dosage', 'Cyclophosphamide/administration & dosage', 'Drug Therapy, Combination', 'Graft Survival/*drug effects', 'Humans', 'Immunosuppressive Agents', 'Leukemia, Lymphoid/*therapy', 'Leukemia, Myeloid, Acute/*therapy', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Middle Aged', 'Organophosphorus Compounds/administration & dosage', 'Prednisolone/administration & dosage', '*Purines', 'Thioguanine/administration & dosage', 'Transplantation, Homologous', 'Vincristine/administration & dosage']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1980 May;25(5):23-7.,,,K voprosu ob immunodepressivnom deistvii tsitostaticheskikh khimiopreparatov.,
6995971,NLM,MEDLINE,19801021,20061115,0552-2080 (Print) 0552-2080 (Linking),25,5,1980 May,[Determination of Y-chromatin in the hematopoietic cells as a marker of bone marrow transplants].,19-23,,"['Korenevskaia, M I', 'Liubimova, L S', 'Umbetkulova, E K', 'Bulychova, T I', 'Danilevich, C V']","['Korenevskaia MI', 'Liubimova LS', 'Umbetkulova EK', 'Bulychova TI', 'Danilevich CV']",['rus'],,"['English Abstract', 'Journal Article']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,IM,"['Adolescent', 'Anemia, Aplastic/genetics/therapy', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Female', 'Hematopoietic Stem Cells/*analysis', 'Humans', 'Karyotyping/methods', 'Leukemia/genetics/therapy', 'Male', 'Sex Chromatin/*analysis', 'Transplantation, Homologous', 'Transplantation, Isogeneic', 'Y Chromosome']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1980 May;25(5):19-23.,,,Opredelenie Y-khromatina v gemopoeticheskikh kletkakh kak markera mielotransplantatov.,
6995953,NLM,MEDLINE,19801024,20170306,,63,6,1980 Jun,[Blast transformation of malignant lymphoma].,581-6,,"['Rupniewska, Z M']",['Rupniewska ZM'],['pol'],,"['Journal Article', 'Review']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,,IM,"['B-Lymphocytes', 'Cell Transformation, Neoplastic/*pathology', 'Hodgkin Disease/pathology', 'Humans', 'Immunoblastic Lymphadenopathy/pathology', 'Leukemia, Lymphoid/pathology', 'Lymphoma/etiology/*pathology', 'Lymphoma, Large B-Cell, Diffuse/pathology']",1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 1980 Jun;63(6):581-6.,34,,Transformacja blastyczna chloniakow zlosliwych.,
6995837,NLM,MEDLINE,19801024,20071115,0028-4793 (Print) 0028-4793 (Linking),303,10,1980 Sep 4,Transplantation of marrow from an unrelated donor to a patient with acute leukemia.,565-7,,"['Hansen, J A', 'Clift, R A', 'Thomas, E D', 'Buckner, C D', 'Storb, R', 'Giblett, E R']","['Hansen JA', 'Clift RA', 'Thomas ED', 'Buckner CD', 'Storb R', 'Giblett ER']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,N Engl J Med,The New England journal of medicine,0255562,['0 (HLA Antigens)'],IM,"['*Bone Marrow Transplantation', 'Child', 'Female', 'HLA Antigens/analysis', 'Histocompatibility Testing', 'Humans', 'Leukemia, Lymphoid/*therapy', 'Remission, Spontaneous', 'Time Factors', '*Tissue Donors', 'Transplantation, Homologous']",1980/09/04 00:00,1980/09/04 00:01,['1980/09/04 00:00'],"['1980/09/04 00:00 [pubmed]', '1980/09/04 00:01 [medline]', '1980/09/04 00:00 [entrez]']",['10.1056/NEJM198009043031007 [doi]'],ppublish,N Engl J Med. 1980 Sep 4;303(10):565-7. doi: 10.1056/NEJM198009043031007.,,,,
