PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB
4530776,NLM,MEDLINE,19750317,20180216,0301-0147 (Print) 0301-0147 (Linking),3,1,1974,Hemostatic defects in experimental leukemia.,46-54,"['Rasche, H', 'Hoelzer, D', 'Dietrich, M', 'Keller, A']","['Rasche H', 'Hoelzer D', 'Dietrich M', 'Keller A']",['eng'],['Journal Article'],,Switzerland,Haemostasis,Haemostasis,0371574,"['0 (Antithrombins)', '9001-30-3 (Factor XII)', '9001-32-5 (Fibrinogen)']",IM,"['Animals', 'Antithrombins/analysis', 'Blood Cell Count', 'Blood Coagulation Tests', 'Blood Platelets', 'Disease Models, Animal', 'Factor XII/analysis', 'Female', 'Fibrinogen/analysis', 'Hemorrhagic Disorders/*etiology', 'Leukemia, Experimental/*blood/complications', 'Leukemia, Monocytic, Acute/blood', 'Leukemia, Myeloid, Acute/blood', 'Leukocyte Count', 'Male', 'Rats', 'Rats, Inbred Strains', 'Thrombelastography']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",ppublish,Haemostasis. 1974;3(1):46-54. doi: 10.1159/000214041.,['10.1159/000214041 [doi]'],,
4530768,NLM,MEDLINE,19750318,20131121,0012-0472 (Print) 0012-0472 (Linking),99,51,1974 Dec 20,[Undesired side-effects of busulfan].,2614-5,"['Japp, H']",['Japp H'],['ger'],['Journal Article'],Unerwunschte Nebenwirkungen von Busulfan,Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,['G1LN9045DK (Busulfan)'],IM,"['Addison Disease/chemically induced', 'Busulfan/*adverse effects/therapeutic use/toxicity', 'Carcinoma in Situ/chemically induced', 'Chromosome Aberrations', 'Epithelial Cells', 'Epithelium/drug effects', 'Female', 'Humans', 'Hypothalamo-Hypophyseal System/drug effects', 'Infertility/chemically induced', 'Leukemia, Myeloid/drug therapy', 'Male', 'Myeloproliferative Disorders/chemically induced', 'Pigmentation Disorders/chemically induced', 'Pulmonary Fibrosis/chemically induced', 'Uterine Cervical Neoplasms/chemically induced']",1974/12/20 00:00,1974/12/20 00:01,['1974/12/20 00:00'],"['1974/12/20 00:00 [pubmed]', '1974/12/20 00:01 [medline]', '1974/12/20 00:00 [entrez]']",ppublish,Dtsch Med Wochenschr. 1974 Dec 20;99(51):2614-5. doi: 10.1055/s-0028-1108180.,['10.1055/s-0028-1108180 [doi]'],,
4530762,NLM,MEDLINE,19750317,20190706,0009-8981 (Print) 0009-8981 (Linking),56,2,1974 Oct 30,Electrophoretic analysis of polymorphonuclear cell membrane.,211-3,"['Kitao, T', 'Hattori, K', 'Takeshita, M']","['Kitao T', 'Hattori K', 'Takeshita M']",['eng'],['Journal Article'],,Netherlands,Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry,1302422,,IM,"['Cell Membrane/*metabolism', 'Electrophoresis, Disc', 'Humans', 'Leukemia, Myeloid/blood', 'Neutrophils/*metabolism', 'Polycythemia/blood', 'Remission, Spontaneous']",1974/10/30 00:00,1974/10/30 00:01,['1974/10/30 00:00'],"['1974/10/30 00:00 [pubmed]', '1974/10/30 00:01 [medline]', '1974/10/30 00:00 [entrez]']",ppublish,Clin Chim Acta. 1974 Oct 30;56(2):211-3. doi: 10.1016/0009-8981(74)90230-7.,"['0009-8981(74)90230-7 [pii]', '10.1016/0009-8981(74)90230-7 [doi]']",,
4530748,NLM,MEDLINE,19750317,20181130,0009-0530 (Print) 0009-0530 (Linking),23,8,1974 Oct,[Use of enzymes in therapy].,320-5,"['Kocna, A']",['Kocna A'],['cze'],['Journal Article'],Vyuziti enzymu v terapii,Czech Republic,Cesk Farm,Ceskoslovenska farmacie,0372720,"['0 (Anti-Inflammatory Agents)', '0 (Antidotes)', '0 (Antineoplastic Agents)', '0 (Gastrointestinal Agents)', '0 (Hemostatics)', '0 (Immunosuppressive Agents)']",IM,"['Anti-Inflammatory Agents', 'Antidotes', 'Antineoplastic Agents', 'Drug Synergism', '*Enzyme Therapy', 'Gastrointestinal Agents', 'Hemostatics', 'Humans', 'Immunosuppressive Agents', 'Leukemia, Lymphoid/drug therapy', 'Obesity/drug therapy']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Cesk Farm. 1974 Oct;23(8):320-5.,,,
4530746,NLM,MEDLINE,19750310,20190620,0008-543X (Print) 0008-543X (Linking),34,6,1974 Dec,The prognostic value of bone marrow lymphocytes in acute lymphocytic leukemia of childhood.,2009-13,"['Green, A A']",['Green AA'],['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,"['5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Age Factors', 'Bone Marrow/*pathology', '*Bone Marrow Cells', 'Bone Marrow Examination', 'Cell Count', 'Child', 'Child, Preschool', 'Daunorubicin/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphoid/drug therapy/*pathology', '*Lymphocytes', 'Lymphopenia/*complications/etiology', 'Male', 'Prednisone/therapeutic use', 'Prognosis', 'Remission, Spontaneous', 'Retrospective Studies', 'Vincristine/therapeutic use']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,Cancer. 1974 Dec;34(6):2009-13. doi: 10.1002/1097-0142(197412)34:6<2009::aid-cncr2820340619>3.0.co;2-n.,['10.1002/1097-0142(197412)34:6<2009::aid-cncr2820340619>3.0.co;2-n [doi]'],,
4530732,NLM,MEDLINE,19750318,20141120,0006-3029 (Print) 0006-3029 (Linking),19,1,1974 Jan-Feb,[Letter: Evaluation of blood changes in cancer using radiation chemistry methods].,186-8,"['Sharpatyi, V A', 'Zakatova, N V']","['Sharpatyi VA', 'Zakatova NV']",['rus'],"['English Abstract', 'Journal Article']",Ob otsenke izmenenii v krovi pri rakovom zabolevanii s pomoshch'iu radiatsionno-khimicheskoi metodiki,Russia (Federation),Biofizika,Biofizika,0372666,['0 (Free Radicals)'],IM,"['Animals', 'Blood/radiation effects', 'Electrons', '*Free Radicals', 'Humans', 'In Vitro Techniques', 'Leukemia, Experimental/*blood', 'Leukemia, Myeloid/*blood', '*Radiochemistry', 'Rats']",1974/01/01 00:00,1974/01/01 00:01,['1974/01/01 00:00'],"['1974/01/01 00:00 [pubmed]', '1974/01/01 00:01 [medline]', '1974/01/01 00:00 [entrez]']",ppublish,Biofizika. 1974 Jan-Feb;19(1):186-8.,,,
4530730,NLM,MEDLINE,19750310,20190704,0007-1048 (Print) 0007-1048 (Linking),28,2,1974 Oct,Granulocyte colony stimulating activity and vitamin B12 binding proteins in human urine.,191-7,"['Gibson, E L', 'Herbert, V', 'Robinson, W A']","['Gibson EL', 'Herbert V', 'Robinson WA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,England,Br J Haematol,British journal of haematology,0372544,"['0 (Cobalt Radioisotopes)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Adrenal Gland Neoplasms/urine', 'Adult', 'Binding Sites', 'Cells, Cultured', 'Centrifugation', 'Cobalt Radioisotopes', 'Dialysis', 'Female', 'Granulocytes/*metabolism', 'Hodgkin Disease/urine', 'Humans', 'Leukemia, Lymphoid/urine', 'Leukemia, Myeloid/urine', 'Leukocytes/*metabolism', 'Lung Neoplasms/urine', 'Male', 'Melanoma/urine', 'Multiple Myeloma/urine', 'Protein Binding', '*Proteinuria/metabolism', 'Pyelonephritis/urine', 'Time Factors', 'Vitamin B 12/*urine']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Br J Haematol. 1974 Oct;28(2):191-7. doi: 10.1111/j.1365-2141.1974.tb06653.x.,['10.1111/j.1365-2141.1974.tb06653.x [doi]'],,
4530729,NLM,MEDLINE,19750227,20190704,0007-0963 (Print) 0007-0963 (Linking),91,5,1974 Nov,A leukaemic acute lymphoblastic leukaemia presenting with cutaneous lesions.,587-9,"['Cochrane, T', 'Milne, J A']","['Cochrane T', 'Milne JA']",['eng'],['Journal Article'],,England,Br J Dermatol,The British journal of dermatology,0004041,,IM,"['Biopsy', 'Bone Marrow Examination', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications/diagnosis', 'Lymphocytes', 'Middle Aged', 'Purpura/etiology', 'Skin/pathology', '*Skin Manifestations', 'Thoracic Neoplasms/pathology']",1974/11/01 00:00,1974/11/01 00:01,['1974/11/01 00:00'],"['1974/11/01 00:00 [pubmed]', '1974/11/01 00:01 [medline]', '1974/11/01 00:00 [entrez]']",ppublish,Br J Dermatol. 1974 Nov;91(5):587-9. doi: 10.1111/j.1365-2133.1974.tb12950.x.,['10.1111/j.1365-2133.1974.tb12950.x [doi]'],,
4530709,NLM,MEDLINE,19750213,20131121,0004-1556 (Print) 0004-1556 (Linking),31,10,1974 Oct,Chronic leukemias myelogenous.,750-2,"['Weinrach, R S']",['Weinrach RS'],['eng'],['Journal Article'],,United States,Ariz Med,Arizona medicine,0372465,['G1LN9045DK (Busulfan)'],IM,"['Busulfan/therapeutic use', 'Humans', '*Leukemia, Myeloid/diagnosis/drug therapy']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Ariz Med. 1974 Oct;31(10):750-2.,,,
4530701,NLM,MEDLINE,19750125,20190501,1468-2044 (Electronic) 0003-9888 (Linking),49,10,1974 Oct,Proceedings: Use of a continuous flow cell separator in paediatrics.,819,"['Pole, J R']",['Pole JR'],['eng'],['Journal Article'],,England,Arch Dis Child,Archives of disease in childhood,0372434,,IM,"['*Blood Transfusion', '*Cell Separation', 'Child', 'Erythroblastosis, Fetal/therapy', 'Female', 'Humans', 'Leukemia, Myeloid/therapy', '*Leukocytes', 'Metabolic Diseases/therapy', 'Neutropenia/therapy', 'Pregnancy']",1974/10/01 00:00,1974/10/01 00:01,['1974/10/01 00:00'],"['1974/10/01 00:00 [pubmed]', '1974/10/01 00:01 [medline]', '1974/10/01 00:00 [entrez]']",ppublish,Arch Dis Child. 1974 Oct;49(10):819. doi: 10.1136/adc.49.10.819-a.,['10.1136/adc.49.10.819-a [doi]'],PMC1649167,
4530691,NLM,MEDLINE,19750218,20190616,0077-8923 (Print) 0077-8923 (Linking),241,0,1974 Nov 29,Multiple cistrons for fetal hemoglobin in man.,70-9,"['Schroeder, W A', 'Huisman, T H']","['Schroeder WA', 'Huisman TH']",['eng'],"['Comparative Study', 'Journal Article']",,United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,"['0 (Amino Acids)', '0 (Hemoglobins, Abnormal)', '9034-63-3 (Fetal Hemoglobin)', 'J64922108F (Benzene)']",IM,"['Adult', 'Alleles', 'Amino Acid Sequence', 'Amino Acids/analysis', 'Anemia/blood', 'Benzene/poisoning', 'Child, Preschool', 'Fanconi Syndrome/blood', 'Female', '*Fetal Hemoglobin', '*Genes', 'Genetic Linkage', 'Hemoglobins, Abnormal', 'Heterozygote', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/blood', 'Mutation', '*Operon', 'Pregnancy']",1974/11/29 00:00,1974/11/29 00:01,['1974/11/29 00:00'],"['1974/11/29 00:00 [pubmed]', '1974/11/29 00:01 [medline]', '1974/11/29 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1974 Nov 29;241(0):70-9. doi: 10.1111/j.1749-6632.1974.tb21867.x.,['10.1111/j.1749-6632.1974.tb21867.x [doi]'],,
4530682,NLM,MEDLINE,19750218,20190616,0077-8923 (Print) 0077-8923 (Linking),241,0,1974 Nov 29,Hemoglobin biosynthesis in murine virus-induced leukemia cells in vitro.,582-8,"['Friend, C', 'Scher, W', 'Preisler, H']","['Friend C', 'Scher W', 'Preisler H']",['eng'],['Journal Article'],,United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,"['0 (DNA, Neoplasm)', '0 (Hemoglobins)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)', '0 (RNA, Ribosomal)', '10028-17-8 (Tritium)', '8696NH0Y2X (Dimethylformamide)', '9004-22-2 (Globins)', 'G34N38R2N1 (Bromodeoxyuridine)', 'GMW67QNF9C (Leucine)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Bromodeoxyuridine/pharmacology', 'Cell Line', '*Cell Transformation, Neoplastic', 'DNA, Neoplasm/biosynthesis', 'Dimethyl Sulfoxide/pharmacology', 'Dimethylformamide/pharmacology', 'Friend murine leukemia virus/*metabolism', 'Globins/biosynthesis', 'Hemoglobins/*biosynthesis', 'Leucine/metabolism', 'Leukemia, Experimental/*metabolism', 'Mice', 'Mitosis/drug effects', 'Neoplasm Proteins/biosynthesis', 'Polyribosomes/drug effects/metabolism', 'Protein Biosynthesis/drug effects', 'RNA, Neoplasm/biosynthesis', 'RNA, Ribosomal/metabolism', 'Thymidine/metabolism', 'Time Factors', 'Transcription, Genetic/drug effects', 'Tritium', 'Uridine/metabolism']",1974/11/29 00:00,1974/11/29 00:01,['1974/11/29 00:00'],"['1974/11/29 00:00 [pubmed]', '1974/11/29 00:01 [medline]', '1974/11/29 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1974 Nov 29;241(0):582-8. doi: 10.1111/j.1749-6632.1974.tb21914.x.,['10.1111/j.1749-6632.1974.tb21914.x [doi]'],,
4530647,NLM,MEDLINE,19750206,20190619,0003-4819 (Print) 0003-4819 (Linking),81,6,1974 Dec,"Letter: ""Swiss-cheese"" platelets.",860-1,"['Maldonado, J E']",['Maldonado JE'],['eng'],['Journal Article'],,United States,Ann Intern Med,Annals of internal medicine,0372351,,IM,"['Blood Platelet Disorders/*blood', 'Blood Platelets/*ultrastructure', 'Humans', 'Leukemia, Myeloid/*blood', 'Microscopy, Electron', 'Myeloproliferative Disorders/*blood']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1974 Dec;81(6):860-1. doi: 10.7326/0003-4819-81-6-860_2.,['10.7326/0003-4819-81-6-860_2 [doi]'],,
4530645,NLM,MEDLINE,19750206,20190619,0003-4819 (Print) 0003-4819 (Linking),81,6,1974 Dec,Daunorubicin-prednisone treatment of erythroleukemia.,746-50,"['Bloomfield, C D', 'Brunning, R D', 'Kennedy, B J']","['Bloomfield CD', 'Brunning RD', 'Kennedy BJ']",['eng'],['Journal Article'],,United States,Ann Intern Med,Annals of internal medicine,0372351,"['0 (Gentamicins)', 'G42ZU72N5G (Carbenicillin)', 'R72LW146E6 (Cephalothin)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Adult', 'Bone Marrow Examination', 'Carbenicillin/administration & dosage/therapeutic use', 'Cephalothin/administration & dosage/therapeutic use', 'Daunorubicin/administration & dosage/*therapeutic use', 'Drug Evaluation', 'Drug Therapy, Combination', 'Erythrocyte Count', 'Female', 'Gentamicins/administration & dosage/therapeutic use', 'Humans', 'Injections, Intravenous', 'Leukemia, Erythroblastic, Acute/diagnosis/*drug therapy', 'Male', 'Middle Aged', 'Prednisone/administration & dosage/*therapeutic use', 'Recurrence', 'Remission, Spontaneous', 'Time Factors']",1974/12/01 00:00,1974/12/01 00:01,['1974/12/01 00:00'],"['1974/12/01 00:00 [pubmed]', '1974/12/01 00:01 [medline]', '1974/12/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1974 Dec;81(6):746-50. doi: 10.7326/0003-4819-81-6-746.,['10.7326/0003-4819-81-6-746 [doi]'],,
