PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,LID,AD,PMC,SI,EIN,RF,PS,FPS,CIN
3566296,NLM,MEDLINE,19870427,20181130,0385-0684 (Print) 0385-0684 (Linking),14,3 Pt 2,1987 Mar,[Antitumor activity of new derivatives of camptothecin].,850-7,"With the purpose of obtaining more potent and less toxic camptothecin (CPT) analogs, we prepared many derivatives of CPT. Among them, 7-ethyl-CPT (SN 22) and 7-ethyl-10-hydroxy-CPT (SN 38) showed strong antitumor activity with less toxicity. They were, however, insoluble and when they were made soluble, their activity was markedly diminished, as a result of cleavage of the delta-lactone ring. We therefore attempted to make soluble derivatives without breaking the delta-lactone ring and obtained 7-ethyl-10-[4-(1-piperidino)-1-piperidino]-carbonyloxy-CPT (CPT-11), which showed very strong antitumor activity by i.p., i.v. or p.o. administration against the ascites type of L1210 leukemia, P388 leukemia, sarcoma 180, Meth A fibrosarcoma, B16 melanoma, Ehrlich carcinoma and MH134 hepatoma and the solid type of sarcoma 180, Meth A fibrosarcoma, Lewis lung carcinoma, C3H/HeN mammary carcinoma, Ehrlich carcinoma and MH134 hepatoma. The antileukemic activity of CPT-11 against L1210 was much higher than that of adriamycin. The acute toxicity of CPT-11 was extremely low, particularly in the case of oral administration, the LD50 being 765.3 mg/kg, 22 times greater than that of CPT-Na.","['Nitta, K', 'Yokokura, T', 'Sawada, S', 'Kunimoto, T', 'Tanaka, T', 'Uehara, N', 'Baba, H', 'Takeuchi, M', 'Miyasaka, T', 'Mutai, M']","['Nitta K', 'Yokokura T', 'Sawada S', 'Kunimoto T', 'Tanaka T', 'Uehara N', 'Baba H', 'Takeuchi M', 'Miyasaka T', 'Mutai M']",['jpn'],,['Journal Article'],Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antineoplastic Agents)', '7673326042 (Irinotecan)', '78287-27-1 (7-ethylcamptothecin)', '80168379AG (Doxorubicin)', 'XT3Z54Z28A (Camptothecin)']",IM,"['Animals', 'Antineoplastic Agents/pharmacology/*therapeutic use', 'Camptothecin/*analogs & derivatives/pharmacology/therapeutic use', 'Doxorubicin/therapeutic use', 'Irinotecan', 'Lethal Dose 50', 'Leukemia L1210/drug therapy', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C3H', 'Mice, Inbred ICR', 'Neoplasms, Experimental/*drug therapy/pathology']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1987 Mar;14(3 Pt 2):850-7.,,,,,,,,,,
3566295,NLM,MEDLINE,19870427,20121115,0385-0684 (Print) 0385-0684 (Linking),14,3 Pt 2,1987 Mar,"[Spergualin, a new antitumor antibiotic].",845-9,"Spergualin is a new antitumor antibiotic which has a very unique structure. It was shown to have chemotherapeutic effects on mice inoculated with various mouse leukemias such as L-1210 (IMC), L-1210, P388, P815, C1489, EL4 and RL male 1. Among these, spergualin was especially effective against L-1210 (IMC) tumors, where the mice were completely cured at an appropriate drug dosage. These cured mice rejected the second challenge of L-1210, but not other tumors, indicating that specific immunity had been induced by spergualin. Preliminary data suggested that killer T cells were acting as effector cells. There was some correlation between the cytocidal activity of spergualin and the concentrations of amine oxidases in the serum. These results suggest that the induction of tumor-immunity plays an important role in the antitumor activity of spergualin.","['Takeuchi, T']",['Takeuchi T'],['jpn'],,"['English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (Antibiotics, Antineoplastic)', '0 (Guanidines)', '71O2A541CU (spergualin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*therapeutic use', 'Cells, Cultured', 'Cytotoxicity, Immunologic', 'Female', 'Guanidines/therapeutic use', 'Killer Cells, Natural/immunology', 'Leukemia L1210/*drug therapy/immunology', 'Liver Neoplasms, Experimental/drug therapy/immunology', 'Male', 'Mice', 'Rats']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1987 Mar;14(3 Pt 2):845-9.,,,,,,,,,,
3566294,NLM,MEDLINE,19870427,20131121,0385-0684 (Print) 0385-0684 (Linking),14,3 Pt 2,1987 Mar,[The metabolism of high-molecular-weight substances in cells and the effect of anticancer drugs].,837-44,"The term ""high molecular weight substances"" used in this paper implies mostly nucleic acids of certain molecular weight and protein, and the genetic aspects of anti-cancer chemotherapy were discussed. Studies on the mechanism of action of 5-FU have been focused on the inhibition of DNA synthesis, and it has been reported that 5-FU inhibits the growth of thymidylate synthesis deleted FM3A Thy 21 cells even in the presence of thymidine, and that the level of TTP is equal to that in control cells. On the other hand, the active metabolite of 5-FU, FdUMP, is known to bind to synthesized thymidylate and 5, 10-methylene-tetrahydrofolic acid to form a ternary complex. Recently, the cytocidal effect of 5-FU was observed in thymidylate synthetase-deficient cells in the presence of a sufficient amount of thymidine, suggesting that the cytocidal effect of 5-FU might be caused by inhibition of the RNA pathway. In this laboratory, the effect of 5-FU on polysomal patterns and the incorporation of 3H-UR into polysomes was studied in L1210 cells, but no significant difference was observed between normal and 5-FU-treated cells. Ribosomal RNA extracted from the polysomes of 5-FU treated cells appeared to contain a smaller 28S rRNA in comparison to 18S rRNA, indicating that the processing might be inhibited. Expression of mouse H-2Dd mRNA was not influenced by 5-FU at 10(-5) M up to 6 h. Methotrexate (MTX) has a chemical structure similar to folic acid, and is known to bind to DHFR (dihydrofolate reductase), and inhibit the synthesis of TMP. The cellular PRPP content is known to be increased by MTX, which inhibits purine synthesis. The level of PRPP content was found to be increased approximately 25 fold at 3 h after 10(-6) M MTX although normal bone marrow cells showed no increase even after MTX. This increased level of PRPP thus obtained in cancer cells was thought to be used for the phosphorylation of 5-FU. Clinically, sequential chemotherapy using MTX and 5-FU was employed successfully for solid tumors on the basis of the experimental evidence. In order to minimize the adverse effects of anti-cancer drugs, a technique involving the incorporation of the drug-resistant gene into normal bone marrow cells has been designed in this laboratory, and the MTX-resistant cells thus obtained are transplanted into the tumor-bearing mice.","['Kanamaru, R', 'Kakuta, H', 'Sato, T', 'Ishioka, C', 'Konishi, Y', 'Wakui, A', 'Dei, T']","['Kanamaru R', 'Kakuta H', 'Sato T', 'Ishioka C', 'Konishi Y', 'Wakui A', 'Dei T']",['jpn'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,"['0 (RNA, Messenger)', '0 (RNA, Ribosomal)', 'U3P01618RT (Fluorouracil)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'DNA Repair', 'DNA Replication/drug effects', 'Fluorouracil/*metabolism', 'Leukemia L1210/drug therapy/*metabolism', 'Methotrexate/metabolism/*pharmacology', 'Mice', 'Molecular Weight', 'RNA, Messenger/metabolism', 'RNA, Ribosomal/metabolism']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1987 Mar;14(3 Pt 2):837-44.,,,,,,,,,,
3566226,NLM,MEDLINE,19870506,20161021,0233-7525 (Print) 0233-7525 (Linking),32,1,1987 Jan,[Synthesis and antitumor properties of rubomycin 13-cyclohexylidene hydrazone].,27-31,"Rubomycin 13-cyclohexylidene hydrazone (RCH) was synthesized by interaction of rubomycin 13-hydrazone with cyclohexane. Antitumor activity of RCH was studied in comparison to that of the initial rubomycin on mice with ascitic lymphadenosis NK/Ly, Ehrlich carcinoma, hemocytoblastosis La, leukemia P-388, solid lymphosarcoma LIO-1 and sarcoma 180. It was shown that RCH was actually equal to rubomycin by its selective activity against lymphadenosis NK/Ly and sarcoma 180 on its 4- and 2-fold intravenous administration, respectively. RCH was superior to rubomycin by its selective activity against lymphosarcoma LIO-1 and Ehrlich carcinoma and was more efficient in treatment of hemocytoblastosis La. RCH was inferior to rubomycin by its efficacy in treatment of lymphadenosis NK/Ly on its 2-fold oral administration and against leukemia P-388 on its 2-fold intravenous administration. Comparison of RCH with an analogous derivative of carminomycin showed that analogous changes in the chemical structure of rubomycin and carminomycin induced different changes in the chemotherapeutic properties of the initial substances.","['Tarasova, V E', ""Ul'ianova, L A"", 'Povarov, L S', 'Odnoralets, E N']","['Tarasova VE', ""Ul'ianova LA"", 'Povarov LS', 'Odnoralets EN']",['rus'],,"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Antibiot Med Biotekhnol,Antibiotiki i meditsinskaia biotekhnologiia = Antibiotics and medical biotechnology,8502784,"['107283-03-4 (rubomycin 13-cyclohexylidenehydrazone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Daunorubicin/*analogs & derivatives/chemical synthesis/therapeutic use/toxicity', 'Drug Evaluation, Preclinical', 'Lethal Dose 50', 'Male', 'Mice', 'Neoplasms, Experimental/drug therapy', 'Structure-Activity Relationship', 'Time Factors']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Antibiot Med Biotekhnol. 1987 Jan;32(1):27-31.,Sintez i protivoopukholevye svoistva 13-tsiklogeksildengidrazona rubomitsina.,,,,,,,,,
3566179,NLM,MEDLINE,19870427,20131121,0250-7005 (Print) 0250-7005 (Linking),7,1,1987 Jan-Feb,The detection of DNA repair in bromodeoxyuridine versus thymidine containing DNA of individual cells.,13-6,"This study investigates the phenomenon of unscheduled DNA synthesis (UDS) in cells whose DNA contains Bromodeoxyuridine (BrdU) using a double label methodology. The technique utilized is capable of detecting two probes simultaneously from the DNA of individual cells. A significant increase in the degree of UDS in BrdU containing cells was noted compared to cells whose DNA contained only thymidine. However, after adjusting our experimental protocol to eliminate the artifacts produced by the incomplete suppression of DNA synthesis by HU, no significant difference in the degree of UDS could be detected between the two cell populations.","['Navone, A', 'Raza, A']","['Navone A', 'Raza A']",['eng'],"['CA-28734/CA/NCI NIH HHS/United States', 'CA-41285-01/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Greece,Anticancer Res,Anticancer research,8102988,"['0 (DNA, Neoplasm)', 'G34N38R2N1 (Bromodeoxyuridine)', 'VC2W18DGKR (Thymidine)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Animals', '*Bromodeoxyuridine', '*DNA Repair', 'DNA, Neoplasm/metabolism', 'Hydroxyurea/pharmacology', 'Interphase', 'Leukemia, Experimental/*metabolism', 'Mice', '*Thymidine']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Anticancer Res. 1987 Jan-Feb;7(1):13-6.,,,,,,,,,,
3565450,NLM,MEDLINE,19870521,20190626,0002-9343 (Print) 0002-9343 (Linking),82,4,1987 Apr,Clotrimazole treatment for prevention of oral candidiasis in patients with acute leukemia undergoing chemotherapy.,867-8,,"['Aviles, A']",['Aviles A'],['eng'],,['Letter'],United States,Am J Med,The American journal of medicine,0267200,"['0 (Antineoplastic Agents)', '0 (Imidazoles)', 'G07GZ97H65 (Clotrimazole)']",IM,"['Acute Disease', 'Antineoplastic Agents/*adverse effects', 'Candidiasis, Oral/*prevention & control', 'Clotrimazole/*therapeutic use', 'Humans', 'Imidazoles/*therapeutic use', 'Leukemia/*drug therapy']",1987/04/01 00:00,1987/04/01 00:01,['1987/04/01 00:00'],"['1987/04/01 00:00 [pubmed]', '1987/04/01 00:01 [medline]', '1987/04/01 00:00 [entrez]']","['0002-9343(87)90047-7 [pii]', '10.1016/0002-9343(87)90047-7 [doi]']",ppublish,Am J Med. 1987 Apr;82(4):867-8. doi: 10.1016/0002-9343(87)90047-7.,,,,,,,,,,
3564948,NLM,MEDLINE,19870519,20190820,0001-656X (Print) 0001-656X (Linking),75,5,1986 Sep,Large interindividual variations in the pharmacokinetics of oral 6-mercaptopurine in maintenance therapy of children with acute leukaemia and non-Hodgkin lymphoma.,797-803,"The concentrations of 6-mercaptopurine were studied in plasma and red blood cells from 10 children with acute leukaemia or non-Hodgkin lymphoma receiving oral maintenance therapy. The doses varied between 25 and 79 mg/m2 body surface once daily. Large interindividual differences were found in the concentrations both in plasma and in red blood cells. There was no clear relationship between the dose administered and the concentrations obtained. However, in each patient the concentrations in plasma and in red blood cells were very similar. In most patients, the peak concentrations were reached 1-2 hours after dose intake and the concentrations then declined with half-lives less than 1 hour. Further studies are necessary to evaluate the potential value of drug level monitoring in optimizing treatment with oral 6-mercaptopurine.","['Lafolie, P', 'Hayder, S', 'Bjork, O', 'Ahstrom, L', 'Liliemark, J', 'Peterson, C']","['Lafolie P', 'Hayder S', 'Bjork O', 'Ahstrom L', 'Liliemark J', 'Peterson C']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Sweden,Acta Paediatr Scand,Acta paediatrica Scandinavica,0000211,['E7WED276I5 (Mercaptopurine)'],IM,"['Acute Disease', 'Administration, Oral', 'Adolescent', 'Child', 'Child, Preschool', 'Erythrocytes/metabolism', 'Female', 'Humans', 'Kinetics', 'Leukemia/*drug therapy', 'Lymphoma/*drug therapy', 'Male', 'Mercaptopurine/administration & dosage/*blood']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']",['10.1111/j.1651-2227.1986.tb10293.x [doi]'],ppublish,Acta Paediatr Scand. 1986 Sep;75(5):797-803. doi: 10.1111/j.1651-2227.1986.tb10293.x.,,,,,,,,,,
3564847,NLM,MEDLINE,19870512,20110728,0001-5806 (Print) 0001-5806 (Linking),49,8,1986 Dec,The leukocyte membrane and its contribution to thrombosis and haemostasis--with special reference to tissue factor.,1583-94,,"['Tanaka, H', 'Andoh, K', 'Narahara, N', 'Uchiyama, T', 'Kubota, T', 'Takada, M', 'Kobayashi, N', 'Maekawa, T']","['Tanaka H', 'Andoh K', 'Narahara N', 'Uchiyama T', 'Kubota T', 'Takada M', 'Kobayashi N', 'Maekawa T']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Nihon Ketsueki Gakkai Zasshi,Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society,2984803R,"['9001-29-0 (Factor X)', '9035-58-9 (Thromboplastin)']",IM,"['Cell Line', 'Cell Membrane/physiology', 'Factor X/metabolism', 'Hemostasis', 'Humans', 'Leukemia/blood', 'Leukocytes/*physiology', 'Thromboplastin/*physiology', 'Thrombosis/etiology']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",,ppublish,Nihon Ketsueki Gakkai Zasshi. 1986 Dec;49(8):1583-94.,,,,,,,,,,
3564185,NLM,MEDLINE,19870512,20131121,0041-6959 (Print) 0041-6959 (Linking),116,2,1987 Feb,[In vitro test for studying sensitivity to Ara-C in leukemic patients].,114-6,,"['Onetto, N', 'Momparler, R L', 'Momparler, L F', 'Gyger, M', 'Rivard, G E']","['Onetto N', 'Momparler RL', 'Momparler LF', 'Gyger M', 'Rivard GE']",['fre'],,"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Canada,Union Med Can,L'union medicale du Canada,0030444,"['0 (DNA, Neoplasm)', '04079A1RDZ (Cytarabine)']",IM,"['Adolescent', 'Adult', 'Child', '*Colony-Forming Units Assay', 'Cytarabine/*therapeutic use', 'DNA, Neoplasm/blood/*drug effects', 'Humans', 'Leukemia/*drug therapy', 'Middle Aged', '*Tumor Stem Cell Assay']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",,ppublish,Union Med Can. 1987 Feb;116(2):114-6.,Test in vitro pour etudier la sensibilite a l'Ara-C chez les patients leucemiques.,,,,,,,,,
3564007,NLM,MEDLINE,19870511,20190727,0040-8727 (Print) 0040-8727 (Linking),150,4,1986 Dec,Trimethoprim interference in methotrexate assay by an enzyme inhibition assay kit.,481-2,Spurious methotrexate (MTX) concentrations in sera and cerebrospinal fluids from leukemia patients who were given trimethoprim (TMP) were estimated using an MTX assay kit which is based on its inhibition of dihydrofolate reductase. The interference of TMP with MTX was confirmed in the assay system. A concentration of 0.17 microgram/ml of TMP gave a value for an apparent MTX of 10 microM.,"['Kitaoka, S', 'Terasawa, M', 'Goto, E', 'Miyaji, T', 'Tsuchiya, S', 'Konno, T']","['Kitaoka S', 'Terasawa M', 'Goto E', 'Miyaji T', 'Tsuchiya S', 'Konno T']",['eng'],,['Journal Article'],Japan,Tohoku J Exp Med,The Tohoku journal of experimental medicine,0417355,"['0 (Folic Acid Antagonists)', '0 (Reagent Kits, Diagnostic)', 'AN164J8Y0X (Trimethoprim)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Diagnostic Errors', 'Folic Acid Antagonists', 'Humans', 'Leukemia/blood/cerebrospinal fluid/drug therapy', 'Methotrexate/*blood/cerebrospinal fluid', 'Reagent Kits, Diagnostic', 'Trimethoprim/*blood/cerebrospinal fluid']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",['10.1620/tjem.150.481 [doi]'],ppublish,Tohoku J Exp Med. 1986 Dec;150(4):481-2. doi: 10.1620/tjem.150.481.,,,,,,,,,,
3563827,NLM,MEDLINE,19870521,20140912,0256-9574 (Print),71,8,1987 Apr 18,Simultaneous occurrence of multiple myeloma and chronic lymphocytic leukaemia.,540,,"['Taylor, D A', 'Bird, A R', 'Jacobs, P', 'Bosman, R']","['Taylor DA', 'Bird AR', 'Jacobs P', 'Bosman R']",['eng'],,"['Case Reports', 'Letter']",South Africa,S Afr Med J,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,0404520,,IM,"['Aged', 'Humans', 'Leukemia, Lymphoid/*pathology', 'Male', 'Multiple Myeloma/*pathology', 'Neoplasms, Multiple Primary/*pathology']",1987/04/18 00:00,1987/04/18 00:01,['1987/04/18 00:00'],"['1987/04/18 00:00 [pubmed]', '1987/04/18 00:01 [medline]', '1987/04/18 00:00 [entrez]']",,ppublish,S Afr Med J. 1987 Apr 18;71(8):540.,,,,,,,,,,
3563558,NLM,MEDLINE,19870429,20190726,0277-9536 (Print) 0277-9536 (Linking),24,2,1987,The family's adaptation to childhood leukemia.,159-68,"This baseline study obtained data measuring the specific effects of the stress of childhood leukemia on family life and on the lives of individual family members. Mothers, fathers, siblings, and patients were included in the data collection. Specific variables measured were marital adjustment, anxiety level, dynamics of family interaction, and the school behavior of patients and siblings. The data were collected at designated intervals over a one year period beginning at the time of diagnosis. In addition, the data were utilized to speculate on those families that appeared to be at risk for the development of long-term psychosocial problems secondary to, or aggravated by the illness. Results indicated that patterns of coping for families, as well as for individual family members, were relatively constant over time. Families with predominantly stable relationships and adequate support within the family unit were able to maintain their usual quality of life over an extended period of time despite the onset of acute stress. However, families with pre-existing problems prior to diagnosis for the most part experienced increased deterioration in family life and had difficulty coping. Results of the Spielberger State-Trait Anxiety Scale, the Locke-Wallace Marital Adjustment Test, the Moos Family Environment Scale, the MMPI, and school data supporting these conclusions are given.","['Fife, B', 'Norton, J', 'Groom, G']","['Fife B', 'Norton J', 'Groom G']",['eng'],['R01 NU00784/NU/BHP HRSA HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Soc Sci Med,Social science & medicine (1982),8303205,,IM,"['*Adaptation, Psychological', 'Adolescent', 'Anxiety', 'Child', 'Child, Preschool', '*Family', 'Female', 'Humans', 'Infant', 'Leukemia/*psychology', 'Male', 'Stress, Psychological']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",['10.1016/0277-9536(87)90248-6 [doi]'],ppublish,Soc Sci Med. 1987;24(2):159-68. doi: 10.1016/0277-9536(87)90248-6.,,,,,,,,,,
3562515,NLM,MEDLINE,19870501,20081121,0031-7144 (Print) 0031-7144 (Linking),41,11,1986 Nov,"Some substituted imidazo[1,2-b] [1,2,4]triazines and 8H-pyrimido[1,2-b] [1,2,4]triazin-8-ones as potential antineoplastic agents.",812-3,,"['Labouta, I M', 'Soliman, F S', 'Kassem, M G']","['Labouta IM', 'Soliman FS', 'Kassem MG']",['eng'],,['Journal Article'],Germany,Pharmazie,Die Pharmazie,9800766,"['0 (Antineoplastic Agents)', '0 (Imidazoles)', '0 (Pyrimidines)', '0 (Triazines)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Chemical Phenomena', 'Chemistry', 'Imidazoles/*chemical synthesis/pharmacology', 'Leukemia P388/drug therapy', 'Magnetic Resonance Spectroscopy', 'Mice', 'Pyrimidines/*chemical synthesis/pharmacology', 'Triazines/*chemical synthesis/pharmacology']",1986/11/01 00:00,1986/11/01 00:01,['1986/11/01 00:00'],"['1986/11/01 00:00 [pubmed]', '1986/11/01 00:01 [medline]', '1986/11/01 00:00 [entrez]']",,ppublish,Pharmazie. 1986 Nov;41(11):812-3.,,,,,,,,,,
3562280,NLM,MEDLINE,19870506,20031114,0261-3166 (Print) 0261-3166 (Linking),,17,1986,Synthesis of 5'-phosphatidylnucleosides by phospholipase D-catalyzed transphosphatidylation.,73-6,Phospholipase D from Streptomyces effectively catalyzed the transfer reaction of the phosphatidyl residue from phosphatidylcholine to the 5'-hydroxyl group of nucleosides. A variety of 5'-phosphatidylnucleosides were prepared by this reaction in high yields. Some of them showed marked antitumor activities in mice.,"['Shuto, S', 'Ueda, S', 'Itoh, H', 'Endo, E', 'Fukukawa, K', 'Imamura, S', 'Tsujino, M', 'Matsuda, A', 'Ueda, T']","['Shuto S', 'Ueda S', 'Itoh H', 'Endo E', 'Fukukawa K', 'Imamura S', 'Tsujino M', 'Matsuda A', 'Ueda T']",['eng'],,['Journal Article'],England,Nucleic Acids Symp Ser,Nucleic acids symposium series,8007206,"['0 (Antimetabolites, Antineoplastic)', '0 (Nucleotides)', '0 (Phosphatidic Acids)', 'EC 3.1.- (Phospholipases)', 'EC 3.1.4.4 (Phospholipase D)']",IM,"['Animals', 'Antimetabolites, Antineoplastic/*chemical synthesis', 'Leukemia P388/drug therapy', 'Mice', 'Nucleotides/*chemical synthesis/therapeutic use', 'Phosphatidic Acids/*chemical synthesis/therapeutic use', 'Phospholipase D/*metabolism', 'Phospholipases/*metabolism', 'Streptomyces/enzymology', 'Structure-Activity Relationship']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Nucleic Acids Symp Ser. 1986;(17):73-6.,,,,,,,,,,
3562273,NLM,MEDLINE,19870506,20141120,0261-3166 (Print) 0261-3166 (Linking),,17,1986,"The synthesis and biological activity of certain pentaazaacenaphthylenes, hexaazaacenaphthylenes and their corresponding nucleosides.",41-4,"Synthesis of the tricyclic nucleoside 8-amino-6-N-methyl-2-(beta-D-ribo-furanosyl)-1,2,3,5,6,7-hexaazaacena phthylene (5) has been accomplished by the ring closure of an appropriately substituted pyrazolo[3,4-d]-pyrimidine nucleoside followed by the requisite chemical conversions. The formation, isolation and structural elucidation of two unexpected nucleosides formed by a reductive ring cleavage of the hexaazaacenaphthylene ring system is discussed. A comparison of the antitumor and biological activity of 5 with the structurally related tricyclic pentaazaacenaphthylene nucleoside which is currently in phase II clinical trials at the 5'-phosphate pro-drug is also presented.","['Townsend, L B', 'Kawasaki, A M', 'VanSickle, A P', 'Wotring, L L']","['Townsend LB', 'Kawasaki AM', 'VanSickle AP', 'Wotring LL']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nucleic Acids Symp Ser,Nucleic acids symposium series,8007206,"['0 (Acenaphthenes)', '0 (Antimetabolites, Antineoplastic)', '0 (Indicators and Reagents)', '0 (Ribonucleosides)', '0 (Ribonucleotides)', '109947-70-8', '(8-amino-6(N)-methyl-2-ribofuranosyl-1,2,3,5,6,7-hexaazaacenaphthylene)', '2421HMY9N6 (triciribine)', '5L5GE3DV88 (triciribine phosphate)']",IM,"['Acenaphthenes', 'Animals', 'Antimetabolites, Antineoplastic/*chemical synthesis', 'Drug Evaluation, Preclinical', 'Indicators and Reagents', 'Leukemia L1210/drug therapy', 'Mice', 'Ribonucleosides/*chemical synthesis/therapeutic use', 'Ribonucleotides/*chemical synthesis/therapeutic use', 'Structure-Activity Relationship']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Nucleic Acids Symp Ser. 1986;(17):41-4.,,,,,,,,,,
3562221,NLM,MEDLINE,19870506,20161123,,28,6,1986,[Multiple bone localizations in hair cell leukemia. Efficacy of treatment with alpha 2 interferon].,377-9,"We report a case of hairy cell leukemia with multiple bone lesions (skull, tibia, spine, femoral head) clinically, radiologically, and histologically documented. Radiotherapy failed to improve tibial pain. Treatment with alpha interferon resulted in bone pain improvement. Diagnoses and therapy strategies of these unusual features are discussed with respect cases to previously published in the literature.","['Grosbois, B', 'Derennes, V', 'Chales, G', 'Bracq, J', 'Lancien, G', 'Chenal, C', 'Leblay, R']","['Grosbois B', 'Derennes V', 'Chales G', 'Bracq J', 'Lancien G', 'Chenal C', 'Leblay R']",['fre'],,"['Case Reports', 'Journal Article']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,['0 (Interferon Type I)'],IM,"['Bone Diseases/diagnostic imaging/drug therapy/*etiology', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Hairy Cell/complications/*drug therapy', 'Male', 'Middle Aged', 'Radiography']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1986;28(6):377-9.,Localisations osseuses multiples au cours d'une leucemie a tricholeucocytes. Efficacite du traitement par interferon alpha 2.,,,,,,,,,
